entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DisclosureOfContingentLiabilities,DisclosureOfMortgagesAndCollaterals,GrossResult,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,TaxExpense,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,DeferredIncomeAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermLiabilitiesOtherThanProvisions,LongtermTaxPayables,OtherShorttermPayables,OtherShorttermReceivables,ProposedDividendRecognisedInEquity,Provisions,ProvisionsForDeferredTax,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxPayables,ShorttermTaxReceivables,ShorttermTradePayables,DividendPaid,NameAndSurnameOfMemberOfExecutiveBoard
35874585,2016-07-01,2017-06-30,c3,http://regnskaber.virk.dk/58547853/ZG9rdW1lbnRsYWdlcjovLzAzL2Y5LzI1L2FkL2U3Lzg3OTItNDIwYi1hNTkyLWZmZmFiOGEyYWVhYQ.xhtml,http://regnskaber.virk.dk/58547853/ZG9rdW1lbnRsYWdlcjovLzAzLzVlL2NjLzI0LzM4L2E3ZTYtNGMzNC04MGMyLTNjN2IwM2MxYjdmNw.pdf,http://regnskaber.virk.dk/58547853/ZG9rdW1lbnRsYWdlcjovLzAzL2EyLzJmL2FkLzk2LzE2YjQtNDlkNi04Njk1LTg2MmZjZWY1NjMwYw.xml,true,Vadum,9430.0,5.0,Gustav Zimmersvej,9740 Jerslev J,Pajhedevej 1,Regnskabsklasse B,2018-11-21,2018-11-21,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",28574.0,35874585.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Jakob Madsen,Nykredit,BMA Byg ApS,Pajhedes Regnskabsservice,0.0,0.0,Vadum,2016-07-01,2017-06-30,22288.0,28574.0,28574.0,2018-06-30,2017-07-01,true,false,6286.0,false,false,Ingen bistand,urn:ofk:oid:26337067,indberetninger-20180424,2.5955422,35874585.0,AWc_ghbE5OzuYdPkGdtE,2018-11-23T07:40:05.498Z,2018-11-23T07:39:08.472Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-DD-01-XA,2018-11-23T07:39:08.764Z,,,,,,,,,,,,,,,,,,,,,,,,
35874585,2016-07-01,2017-06-30,c5,http://regnskaber.virk.dk/58547853/ZG9rdW1lbnRsYWdlcjovLzAzL2Y5LzI1L2FkL2U3Lzg3OTItNDIwYi1hNTkyLWZmZmFiOGEyYWVhYQ.xhtml,http://regnskaber.virk.dk/58547853/ZG9rdW1lbnRsYWdlcjovLzAzLzVlL2NjLzI0LzM4L2E3ZTYtNGMzNC04MGMyLTNjN2IwM2MxYjdmNw.pdf,http://regnskaber.virk.dk/58547853/ZG9rdW1lbnRsYWdlcjovLzAzL2EyLzJmL2FkLzk2LzE2YjQtNDlkNi04Njk1LTg2MmZjZWY1NjMwYw.xml,true,Vadum,9430.0,5.0,Gustav Zimmersvej,9740 Jerslev J,Pajhedevej 1,Regnskabsklasse B,2018-11-21,2018-11-21,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,35874585.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Jakob Madsen,Nykredit,BMA Byg ApS,Pajhedes Regnskabsservice,,,Vadum,2016-07-01,2017-06-30,22288.0,,,2018-06-30,2017-07-01,true,false,,false,false,Ingen bistand,urn:ofk:oid:26337067,indberetninger-20180424,2.5955422,35874585.0,AWc_ghbE5OzuYdPkGdtE,2018-11-23T07:40:05.498Z,2018-11-23T07:39:08.472Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-DD-01-XA,2018-11-23T07:39:08.764Z,,,,,,,,,,,,,,,,,,,,,,,,
35874585,2017-06-30,2017-06-30,c7,http://regnskaber.virk.dk/58547853/ZG9rdW1lbnRsYWdlcjovLzAzL2Y5LzI1L2FkL2U3Lzg3OTItNDIwYi1hNTkyLWZmZmFiOGEyYWVhYQ.xhtml,http://regnskaber.virk.dk/58547853/ZG9rdW1lbnRsYWdlcjovLzAzLzVlL2NjLzI0LzM4L2E3ZTYtNGMzNC04MGMyLTNjN2IwM2MxYjdmNw.pdf,http://regnskaber.virk.dk/58547853/ZG9rdW1lbnRsYWdlcjovLzAzL2EyLzJmL2FkLzk2LzE2YjQtNDlkNi04Njk1LTg2MmZjZWY1NjMwYw.xml,true,Vadum,9430.0,5.0,Gustav Zimmersvej,9740 Jerslev J,Pajhedevej 1,Regnskabsklasse B,2018-11-21,2018-11-21,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,35874585.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Jakob Madsen,Nykredit,BMA Byg ApS,Pajhedes Regnskabsservice,,,Vadum,2016-07-01,2017-06-30,,,,2018-06-30,2017-07-01,true,false,,false,false,Ingen bistand,urn:ofk:oid:26337067,indberetninger-20180424,2.5955422,35874585.0,AWc_ghbE5OzuYdPkGdtE,2018-11-23T07:40:05.498Z,2018-11-23T07:39:08.472Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-DD-01-XA,2018-11-23T07:39:08.764Z,83702.0,83702.0,50000.0,83702.0,0.0,0.0,64418.0,83702.0,19284.0,5574.0,5574.0,11102.0,0.0,0.0,0.0,0.0,14418.0,13710.0,0.0,0.0,0.0,2608.0,,
35874585,2017-07-01,2017-07-01,c10,http://regnskaber.virk.dk/58547853/ZG9rdW1lbnRsYWdlcjovLzAzL2Y5LzI1L2FkL2U3Lzg3OTItNDIwYi1hNTkyLWZmZmFiOGEyYWVhYQ.xhtml,http://regnskaber.virk.dk/58547853/ZG9rdW1lbnRsYWdlcjovLzAzLzVlL2NjLzI0LzM4L2E3ZTYtNGMzNC04MGMyLTNjN2IwM2MxYjdmNw.pdf,http://regnskaber.virk.dk/58547853/ZG9rdW1lbnRsYWdlcjovLzAzL2EyLzJmL2FkLzk2LzE2YjQtNDlkNi04Njk1LTg2MmZjZWY1NjMwYw.xml,true,Vadum,9430.0,5.0,Gustav Zimmersvej,9740 Jerslev J,Pajhedevej 1,Regnskabsklasse B,2018-11-21,2018-11-21,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,35874585.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Jakob Madsen,Nykredit,BMA Byg ApS,Pajhedes Regnskabsservice,,,Vadum,2016-07-01,2017-06-30,,,,2018-06-30,2017-07-01,true,false,,false,false,Ingen bistand,urn:ofk:oid:26337067,indberetninger-20180424,2.5955422,35874585.0,AWc_ghbE5OzuYdPkGdtE,2018-11-23T07:40:05.498Z,2018-11-23T07:39:08.472Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-DD-01-XA,2018-11-23T07:39:08.764Z,,,,,,,0.0,,,,,,,,,,,,,,,,,
35874585,2017-07-01,2017-07-01,c11,http://regnskaber.virk.dk/58547853/ZG9rdW1lbnRsYWdlcjovLzAzL2Y5LzI1L2FkL2U3Lzg3OTItNDIwYi1hNTkyLWZmZmFiOGEyYWVhYQ.xhtml,http://regnskaber.virk.dk/58547853/ZG9rdW1lbnRsYWdlcjovLzAzLzVlL2NjLzI0LzM4L2E3ZTYtNGMzNC04MGMyLTNjN2IwM2MxYjdmNw.pdf,http://regnskaber.virk.dk/58547853/ZG9rdW1lbnRsYWdlcjovLzAzL2EyLzJmL2FkLzk2LzE2YjQtNDlkNi04Njk1LTg2MmZjZWY1NjMwYw.xml,true,Vadum,9430.0,5.0,Gustav Zimmersvej,9740 Jerslev J,Pajhedevej 1,Regnskabsklasse B,2018-11-21,2018-11-21,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,35874585.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Jakob Madsen,Nykredit,BMA Byg ApS,Pajhedes Regnskabsservice,,,Vadum,2016-07-01,2017-06-30,,,,2018-06-30,2017-07-01,true,false,,false,false,Ingen bistand,urn:ofk:oid:26337067,indberetninger-20180424,2.5955422,35874585.0,AWc_ghbE5OzuYdPkGdtE,2018-11-23T07:40:05.498Z,2018-11-23T07:39:08.472Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-DD-01-XA,2018-11-23T07:39:08.764Z,,,,,,,64418.0,,,,,,,,,,,,,,,,,
35874585,2017-07-01,2017-07-01,c8,http://regnskaber.virk.dk/58547853/ZG9rdW1lbnRsYWdlcjovLzAzL2Y5LzI1L2FkL2U3Lzg3OTItNDIwYi1hNTkyLWZmZmFiOGEyYWVhYQ.xhtml,http://regnskaber.virk.dk/58547853/ZG9rdW1lbnRsYWdlcjovLzAzLzVlL2NjLzI0LzM4L2E3ZTYtNGMzNC04MGMyLTNjN2IwM2MxYjdmNw.pdf,http://regnskaber.virk.dk/58547853/ZG9rdW1lbnRsYWdlcjovLzAzL2EyLzJmL2FkLzk2LzE2YjQtNDlkNi04Njk1LTg2MmZjZWY1NjMwYw.xml,true,Vadum,9430.0,5.0,Gustav Zimmersvej,9740 Jerslev J,Pajhedevej 1,Regnskabsklasse B,2018-11-21,2018-11-21,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,35874585.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Jakob Madsen,Nykredit,BMA Byg ApS,Pajhedes Regnskabsservice,,,Vadum,2016-07-01,2017-06-30,,,,2018-06-30,2017-07-01,true,false,,false,false,Ingen bistand,urn:ofk:oid:26337067,indberetninger-20180424,2.5955422,35874585.0,AWc_ghbE5OzuYdPkGdtE,2018-11-23T07:40:05.498Z,2018-11-23T07:39:08.472Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-DD-01-XA,2018-11-23T07:39:08.764Z,,,,,,,50000.0,,,,,,,,,,,,,,,,,
35874585,2017-07-01,2017-07-01,c9,http://regnskaber.virk.dk/58547853/ZG9rdW1lbnRsYWdlcjovLzAzL2Y5LzI1L2FkL2U3Lzg3OTItNDIwYi1hNTkyLWZmZmFiOGEyYWVhYQ.xhtml,http://regnskaber.virk.dk/58547853/ZG9rdW1lbnRsYWdlcjovLzAzLzVlL2NjLzI0LzM4L2E3ZTYtNGMzNC04MGMyLTNjN2IwM2MxYjdmNw.pdf,http://regnskaber.virk.dk/58547853/ZG9rdW1lbnRsYWdlcjovLzAzL2EyLzJmL2FkLzk2LzE2YjQtNDlkNi04Njk1LTg2MmZjZWY1NjMwYw.xml,true,Vadum,9430.0,5.0,Gustav Zimmersvej,9740 Jerslev J,Pajhedevej 1,Regnskabsklasse B,2018-11-21,2018-11-21,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,35874585.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Jakob Madsen,Nykredit,BMA Byg ApS,Pajhedes Regnskabsservice,,,Vadum,2016-07-01,2017-06-30,,,,2018-06-30,2017-07-01,true,false,,false,false,Ingen bistand,urn:ofk:oid:26337067,indberetninger-20180424,2.5955422,35874585.0,AWc_ghbE5OzuYdPkGdtE,2018-11-23T07:40:05.498Z,2018-11-23T07:39:08.472Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-DD-01-XA,2018-11-23T07:39:08.764Z,,,,,,,14418.0,,,,,,,,,,,,,,,,,
35874585,2017-07-01,2018-06-30,c0,http://regnskaber.virk.dk/58547853/ZG9rdW1lbnRsYWdlcjovLzAzL2Y5LzI1L2FkL2U3Lzg3OTItNDIwYi1hNTkyLWZmZmFiOGEyYWVhYQ.xhtml,http://regnskaber.virk.dk/58547853/ZG9rdW1lbnRsYWdlcjovLzAzLzVlL2NjLzI0LzM4L2E3ZTYtNGMzNC04MGMyLTNjN2IwM2MxYjdmNw.pdf,http://regnskaber.virk.dk/58547853/ZG9rdW1lbnRsYWdlcjovLzAzL2EyLzJmL2FkLzk2LzE2YjQtNDlkNi04Njk1LTg2MmZjZWY1NjMwYw.xml,true,Vadum,9430.0,5.0,Gustav Zimmersvej,9740 Jerslev J,Pajhedevej 1,Regnskabsklasse B,2018-11-21,2018-11-21,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",-22867.0,35874585.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Jakob Madsen,Nykredit,BMA Byg ApS,Pajhedes Regnskabsservice,172.0,0.0,Vadum,2016-07-01,2017-06-30,-18002.0,-23039.0,-22867.0,2018-06-30,2017-07-01,true,false,-5037.0,false,false,Ingen bistand,urn:ofk:oid:26337067,indberetninger-20180424,2.5955422,35874585.0,AWc_ghbE5OzuYdPkGdtE,2018-11-23T07:40:05.498Z,2018-11-23T07:39:08.472Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-DD-01-XA,2018-11-23T07:39:08.764Z,,,,,,,,,,,,,,,,,,,,,,,0.0,
35874585,2017-07-01,2018-06-30,c1,http://regnskaber.virk.dk/58547853/ZG9rdW1lbnRsYWdlcjovLzAzL2Y5LzI1L2FkL2U3Lzg3OTItNDIwYi1hNTkyLWZmZmFiOGEyYWVhYQ.xhtml,http://regnskaber.virk.dk/58547853/ZG9rdW1lbnRsYWdlcjovLzAzLzVlL2NjLzI0LzM4L2E3ZTYtNGMzNC04MGMyLTNjN2IwM2MxYjdmNw.pdf,http://regnskaber.virk.dk/58547853/ZG9rdW1lbnRsYWdlcjovLzAzL2EyLzJmL2FkLzk2LzE2YjQtNDlkNi04Njk1LTg2MmZjZWY1NjMwYw.xml,true,Vadum,9430.0,5.0,Gustav Zimmersvej,9740 Jerslev J,Pajhedevej 1,Regnskabsklasse B,2018-11-21,2018-11-21,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,35874585.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Jakob Madsen,Nykredit,BMA Byg ApS,Pajhedes Regnskabsservice,,,Vadum,2016-07-01,2017-06-30,,,,2018-06-30,2017-07-01,true,false,,false,false,Ingen bistand,urn:ofk:oid:26337067,indberetninger-20180424,2.5955422,35874585.0,AWc_ghbE5OzuYdPkGdtE,2018-11-23T07:40:05.498Z,2018-11-23T07:39:08.472Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-DD-01-XA,2018-11-23T07:39:08.764Z,,,,,,,,,,,,,,,,,,,,,,,,Ole Madsen
35874585,2017-07-01,2018-06-30,c12,http://regnskaber.virk.dk/58547853/ZG9rdW1lbnRsYWdlcjovLzAzL2Y5LzI1L2FkL2U3Lzg3OTItNDIwYi1hNTkyLWZmZmFiOGEyYWVhYQ.xhtml,http://regnskaber.virk.dk/58547853/ZG9rdW1lbnRsYWdlcjovLzAzLzVlL2NjLzI0LzM4L2E3ZTYtNGMzNC04MGMyLTNjN2IwM2MxYjdmNw.pdf,http://regnskaber.virk.dk/58547853/ZG9rdW1lbnRsYWdlcjovLzAzL2EyLzJmL2FkLzk2LzE2YjQtNDlkNi04Njk1LTg2MmZjZWY1NjMwYw.xml,true,Vadum,9430.0,5.0,Gustav Zimmersvej,9740 Jerslev J,Pajhedevej 1,Regnskabsklasse B,2018-11-21,2018-11-21,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,35874585.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Jakob Madsen,Nykredit,BMA Byg ApS,Pajhedes Regnskabsservice,,,Vadum,2016-07-01,2017-06-30,0.0,,,2018-06-30,2017-07-01,true,false,,false,false,Ingen bistand,urn:ofk:oid:26337067,indberetninger-20180424,2.5955422,35874585.0,AWc_ghbE5OzuYdPkGdtE,2018-11-23T07:40:05.498Z,2018-11-23T07:39:08.472Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-DD-01-XA,2018-11-23T07:39:08.764Z,,,,,,,,,,,,,,,,,,,,,,,0.0,
