entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccumulatedRevaluationsOfInvestments,AddressOfAuditorCountry,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfGeneralMeeting,DescriptionOfAuditor,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfExternalExpenses,EmailOfAuditor,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,InvestmentsGross,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,RecognisedButNotOwnedAssets,RecommendationForApprovalOfAnnualReportByGeneralMeeting,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TelephoneNumberOfAuditor,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Equity,ProfitLoss,ProfitLossRelatedToInvestments,GrossProfitLoss,IncomeFromInvestmentsInGroupEnterprises,OtherFinanceIncome,OtherFinanceIncomeFromGroupEnterprises,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Dividend,DividendPaid,LongtermInvestmentsAndReceivables,Assets,ContributedCapital,CurrentAssets,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,OtherShorttermPayables,ProposedDividendRecognisedInEquity,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTaxReceivables,ShorttermTradePayables,RelatedEntityLegalForm,RelatedEntityName,RelatedEntityRegisteredOffice,ShareHeldByEntityOrConsolidatedEnterprisesInRelatedEntity
25374282,2016-07-01,2016-07-01,c172,,http://regnskaber.virk.dk/28247352/ZG9rdW1lbnRsYWdlcjovLzAzLzJkL2RmL2E0LzQyLzk4YTgtNDBmMS05ZGQ2LTY5ZDEyMmFjMDA3NA.pdf,http://regnskaber.virk.dk/28247352/ZG9rdW1lbnRsYWdlcjovLzAzL2QzL2U0L2Y4L2FkL2M4ZmItNDA3Ny05MmIyLWExMWIwNGE3MGJhMA.xml,9289687.0,Danmark,Frederiksberg,2000.0,76.0,Dirch Passers AllÃ©,Ballerup,2750.0,33.0,Gl. RÃ¥dhusvej,"2000, Frederiksberg","Dirch Passers AllÃ©, 76",anpartshaverne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018.",2018-11-22,2018-11-22,2018-11-22,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration.,copenhagen@redmark.dk,29442789.0,25374282.0,29442789.0,mne32116,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018 for JCA Holding ApS.,Ãrsrapport,1452769.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Darnell Vagnild,Jais Andersen,Jais Andersen,"Redmark, Statsautoriseret Revisionspartnerselskab",JCA Holding ApS,"Redmark, Statsautoriseret Revisionspartnerselskab",Ballerup,2016-07-01,2017-06-30,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-06-30,2017-07-01,2018-11-22,KÃ¸benhavn,39163636.0,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:26364235,indberetninger-20180424,2.5118417999999996,25374282.0,AWdZLW6eet7j816DxMpv,2018-11-28T07:17:39.727Z,2018-11-28T07:16:47.853Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-DY-04-MF,2018-11-28T07:16:48.006Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25374282,2016-07-01,2016-07-01,c704,,http://regnskaber.virk.dk/28247352/ZG9rdW1lbnRsYWdlcjovLzAzLzJkL2RmL2E0LzQyLzk4YTgtNDBmMS05ZGQ2LTY5ZDEyMmFjMDA3NA.pdf,http://regnskaber.virk.dk/28247352/ZG9rdW1lbnRsYWdlcjovLzAzL2QzL2U0L2Y4L2FkL2M4ZmItNDA3Ny05MmIyLWExMWIwNGE3MGJhMA.xml,,Danmark,Frederiksberg,2000.0,76.0,Dirch Passers AllÃ©,Ballerup,2750.0,33.0,Gl. RÃ¥dhusvej,"2000, Frederiksberg","Dirch Passers AllÃ©, 76",anpartshaverne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018.",2018-11-22,2018-11-22,2018-11-22,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration.,copenhagen@redmark.dk,29442789.0,25374282.0,29442789.0,mne32116,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018 for JCA Holding ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Darnell Vagnild,Jais Andersen,Jais Andersen,"Redmark, Statsautoriseret Revisionspartnerselskab",JCA Holding ApS,"Redmark, Statsautoriseret Revisionspartnerselskab",Ballerup,2016-07-01,2017-06-30,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-06-30,2017-07-01,2018-11-22,KÃ¸benhavn,39163636.0,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:26364235,indberetninger-20180424,2.5118417999999996,25374282.0,AWdZLW6eet7j816DxMpv,2018-11-28T07:17:39.727Z,2018-11-28T07:16:47.853Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-DY-04-MF,2018-11-28T07:16:48.006Z,125000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25374282,2016-07-01,2016-07-01,c719,,http://regnskaber.virk.dk/28247352/ZG9rdW1lbnRsYWdlcjovLzAzLzJkL2RmL2E0LzQyLzk4YTgtNDBmMS05ZGQ2LTY5ZDEyMmFjMDA3NA.pdf,http://regnskaber.virk.dk/28247352/ZG9rdW1lbnRsYWdlcjovLzAzL2QzL2U0L2Y4L2FkL2M4ZmItNDA3Ny05MmIyLWExMWIwNGE3MGJhMA.xml,,Danmark,Frederiksberg,2000.0,76.0,Dirch Passers AllÃ©,Ballerup,2750.0,33.0,Gl. RÃ¥dhusvej,"2000, Frederiksberg","Dirch Passers AllÃ©, 76",anpartshaverne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018.",2018-11-22,2018-11-22,2018-11-22,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration.,copenhagen@redmark.dk,29442789.0,25374282.0,29442789.0,mne32116,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018 for JCA Holding ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Darnell Vagnild,Jais Andersen,Jais Andersen,"Redmark, Statsautoriseret Revisionspartnerselskab",JCA Holding ApS,"Redmark, Statsautoriseret Revisionspartnerselskab",Ballerup,2016-07-01,2017-06-30,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-06-30,2017-07-01,2018-11-22,KÃ¸benhavn,39163636.0,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:26364235,indberetninger-20180424,2.5118417999999996,25374282.0,AWdZLW6eet7j816DxMpv,2018-11-28T07:17:39.727Z,2018-11-28T07:16:47.853Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-DY-04-MF,2018-11-28T07:16:48.006Z,9289687.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25374282,2016-07-01,2016-07-01,c725,,http://regnskaber.virk.dk/28247352/ZG9rdW1lbnRsYWdlcjovLzAzLzJkL2RmL2E0LzQyLzk4YTgtNDBmMS05ZGQ2LTY5ZDEyMmFjMDA3NA.pdf,http://regnskaber.virk.dk/28247352/ZG9rdW1lbnRsYWdlcjovLzAzL2QzL2U0L2Y4L2FkL2M4ZmItNDA3Ny05MmIyLWExMWIwNGE3MGJhMA.xml,,Danmark,Frederiksberg,2000.0,76.0,Dirch Passers AllÃ©,Ballerup,2750.0,33.0,Gl. RÃ¥dhusvej,"2000, Frederiksberg","Dirch Passers AllÃ©, 76",anpartshaverne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018.",2018-11-22,2018-11-22,2018-11-22,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration.,copenhagen@redmark.dk,29442789.0,25374282.0,29442789.0,mne32116,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018 for JCA Holding ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Darnell Vagnild,Jais Andersen,Jais Andersen,"Redmark, Statsautoriseret Revisionspartnerselskab",JCA Holding ApS,"Redmark, Statsautoriseret Revisionspartnerselskab",Ballerup,2016-07-01,2017-06-30,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-06-30,2017-07-01,2018-11-22,KÃ¸benhavn,39163636.0,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:26364235,indberetninger-20180424,2.5118417999999996,25374282.0,AWdZLW6eet7j816DxMpv,2018-11-28T07:17:39.727Z,2018-11-28T07:16:47.853Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-DY-04-MF,2018-11-28T07:16:48.006Z,14062628.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25374282,2016-07-01,2016-07-01,c728,,http://regnskaber.virk.dk/28247352/ZG9rdW1lbnRsYWdlcjovLzAzLzJkL2RmL2E0LzQyLzk4YTgtNDBmMS05ZGQ2LTY5ZDEyMmFjMDA3NA.pdf,http://regnskaber.virk.dk/28247352/ZG9rdW1lbnRsYWdlcjovLzAzL2QzL2U0L2Y4L2FkL2M4ZmItNDA3Ny05MmIyLWExMWIwNGE3MGJhMA.xml,,Danmark,Frederiksberg,2000.0,76.0,Dirch Passers AllÃ©,Ballerup,2750.0,33.0,Gl. RÃ¥dhusvej,"2000, Frederiksberg","Dirch Passers AllÃ©, 76",anpartshaverne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018.",2018-11-22,2018-11-22,2018-11-22,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration.,copenhagen@redmark.dk,29442789.0,25374282.0,29442789.0,mne32116,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018 for JCA Holding ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Darnell Vagnild,Jais Andersen,Jais Andersen,"Redmark, Statsautoriseret Revisionspartnerselskab",JCA Holding ApS,"Redmark, Statsautoriseret Revisionspartnerselskab",Ballerup,2016-07-01,2017-06-30,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-06-30,2017-07-01,2018-11-22,KÃ¸benhavn,39163636.0,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:26364235,indberetninger-20180424,2.5118417999999996,25374282.0,AWdZLW6eet7j816DxMpv,2018-11-28T07:17:39.727Z,2018-11-28T07:16:47.853Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-DY-04-MF,2018-11-28T07:16:48.006Z,50600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25374282,2016-07-01,2017-06-30,c106,,http://regnskaber.virk.dk/28247352/ZG9rdW1lbnRsYWdlcjovLzAzLzJkL2RmL2E0LzQyLzk4YTgtNDBmMS05ZGQ2LTY5ZDEyMmFjMDA3NA.pdf,http://regnskaber.virk.dk/28247352/ZG9rdW1lbnRsYWdlcjovLzAzL2QzL2U0L2Y4L2FkL2M4ZmItNDA3Ny05MmIyLWExMWIwNGE3MGJhMA.xml,,Danmark,Frederiksberg,2000.0,76.0,Dirch Passers AllÃ©,Ballerup,2750.0,33.0,Gl. RÃ¥dhusvej,"2000, Frederiksberg","Dirch Passers AllÃ©, 76",anpartshaverne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018.",2018-11-22,2018-11-22,2018-11-22,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration.,copenhagen@redmark.dk,29442789.0,25374282.0,29442789.0,mne32116,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018 for JCA Holding ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Darnell Vagnild,Jais Andersen,Jais Andersen,"Redmark, Statsautoriseret Revisionspartnerselskab",JCA Holding ApS,"Redmark, Statsautoriseret Revisionspartnerselskab",Ballerup,2016-07-01,2017-06-30,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-06-30,2017-07-01,2018-11-22,KÃ¸benhavn,39163636.0,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:26364235,indberetninger-20180424,2.5118417999999996,25374282.0,AWdZLW6eet7j816DxMpv,2018-11-28T07:17:39.727Z,2018-11-28T07:16:47.853Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-DY-04-MF,2018-11-28T07:16:48.006Z,,51700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25374282,2016-07-01,2017-06-30,c120,,http://regnskaber.virk.dk/28247352/ZG9rdW1lbnRsYWdlcjovLzAzLzJkL2RmL2E0LzQyLzk4YTgtNDBmMS05ZGQ2LTY5ZDEyMmFjMDA3NA.pdf,http://regnskaber.virk.dk/28247352/ZG9rdW1lbnRsYWdlcjovLzAzL2QzL2U0L2Y4L2FkL2M4ZmItNDA3Ny05MmIyLWExMWIwNGE3MGJhMA.xml,,Danmark,Frederiksberg,2000.0,76.0,Dirch Passers AllÃ©,Ballerup,2750.0,33.0,Gl. RÃ¥dhusvej,"2000, Frederiksberg","Dirch Passers AllÃ©, 76",anpartshaverne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018.",2018-11-22,2018-11-22,2018-11-22,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration.,copenhagen@redmark.dk,29442789.0,25374282.0,29442789.0,mne32116,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018 for JCA Holding ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Darnell Vagnild,Jais Andersen,Jais Andersen,"Redmark, Statsautoriseret Revisionspartnerselskab",JCA Holding ApS,"Redmark, Statsautoriseret Revisionspartnerselskab",Ballerup,2016-07-01,2017-06-30,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-06-30,2017-07-01,2018-11-22,KÃ¸benhavn,39163636.0,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:26364235,indberetninger-20180424,2.5118417999999996,25374282.0,AWdZLW6eet7j816DxMpv,2018-11-28T07:17:39.727Z,2018-11-28T07:16:47.853Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-DY-04-MF,2018-11-28T07:16:48.006Z,,84090.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25374282,2016-07-01,2017-06-30,c174,,http://regnskaber.virk.dk/28247352/ZG9rdW1lbnRsYWdlcjovLzAzLzJkL2RmL2E0LzQyLzk4YTgtNDBmMS05ZGQ2LTY5ZDEyMmFjMDA3NA.pdf,http://regnskaber.virk.dk/28247352/ZG9rdW1lbnRsYWdlcjovLzAzL2QzL2U0L2Y4L2FkL2M4ZmItNDA3Ny05MmIyLWExMWIwNGE3MGJhMA.xml,,Danmark,Frederiksberg,2000.0,76.0,Dirch Passers AllÃ©,Ballerup,2750.0,33.0,Gl. RÃ¥dhusvej,"2000, Frederiksberg","Dirch Passers AllÃ©, 76",anpartshaverne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018.",2018-11-22,2018-11-22,2018-11-22,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration.,copenhagen@redmark.dk,29442789.0,25374282.0,29442789.0,mne32116,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018 for JCA Holding ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Darnell Vagnild,Jais Andersen,Jais Andersen,"Redmark, Statsautoriseret Revisionspartnerselskab",JCA Holding ApS,"Redmark, Statsautoriseret Revisionspartnerselskab",Ballerup,2016-07-01,2017-06-30,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-06-30,2017-07-01,2018-11-22,KÃ¸benhavn,39163636.0,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:26364235,indberetninger-20180424,2.5118417999999996,25374282.0,AWdZLW6eet7j816DxMpv,2018-11-28T07:17:39.727Z,2018-11-28T07:16:47.853Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-DY-04-MF,2018-11-28T07:16:48.006Z,,,1008362.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25374282,2016-07-01,2017-06-30,c3,,http://regnskaber.virk.dk/28247352/ZG9rdW1lbnRsYWdlcjovLzAzLzJkL2RmL2E0LzQyLzk4YTgtNDBmMS05ZGQ2LTY5ZDEyMmFjMDA3NA.pdf,http://regnskaber.virk.dk/28247352/ZG9rdW1lbnRsYWdlcjovLzAzL2QzL2U0L2Y4L2FkL2M4ZmItNDA3Ny05MmIyLWExMWIwNGE3MGJhMA.xml,,Danmark,Frederiksberg,2000.0,76.0,Dirch Passers AllÃ©,Ballerup,2750.0,33.0,Gl. RÃ¥dhusvej,"2000, Frederiksberg","Dirch Passers AllÃ©, 76",anpartshaverne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018.",2018-11-22,2018-11-22,2018-11-22,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration.,copenhagen@redmark.dk,29442789.0,25374282.0,29442789.0,mne32116,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018 for JCA Holding ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Darnell Vagnild,Jais Andersen,Jais Andersen,"Redmark, Statsautoriseret Revisionspartnerselskab",JCA Holding ApS,"Redmark, Statsautoriseret Revisionspartnerselskab",Ballerup,2016-07-01,2017-06-30,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-06-30,2017-07-01,2018-11-22,KÃ¸benhavn,39163636.0,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:26364235,indberetninger-20180424,2.5118417999999996,25374282.0,AWdZLW6eet7j816DxMpv,2018-11-28T07:17:39.727Z,2018-11-28T07:16:47.853Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-DY-04-MF,2018-11-28T07:16:48.006Z,,1144152.0,,-11500.0,1008362.0,717.0,64545.0,1062124.0,-11500.0,-82028.0,,,,,,,,,,,,,,,,,,,,,,,,,
25374282,2016-07-01,2017-06-30,c459,,http://regnskaber.virk.dk/28247352/ZG9rdW1lbnRsYWdlcjovLzAzLzJkL2RmL2E0LzQyLzk4YTgtNDBmMS05ZGQ2LTY5ZDEyMmFjMDA3NA.pdf,http://regnskaber.virk.dk/28247352/ZG9rdW1lbnRsYWdlcjovLzAzL2QzL2U0L2Y4L2FkL2M4ZmItNDA3Ny05MmIyLWExMWIwNGE3MGJhMA.xml,,Danmark,Frederiksberg,2000.0,76.0,Dirch Passers AllÃ©,Ballerup,2750.0,33.0,Gl. RÃ¥dhusvej,"2000, Frederiksberg","Dirch Passers AllÃ©, 76",anpartshaverne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018.",2018-11-22,2018-11-22,2018-11-22,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration.,copenhagen@redmark.dk,29442789.0,25374282.0,29442789.0,mne32116,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018 for JCA Holding ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Darnell Vagnild,Jais Andersen,Jais Andersen,"Redmark, Statsautoriseret Revisionspartnerselskab",JCA Holding ApS,"Redmark, Statsautoriseret Revisionspartnerselskab",Ballerup,2016-07-01,2017-06-30,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-06-30,2017-07-01,2018-11-22,KÃ¸benhavn,39163636.0,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:26364235,indberetninger-20180424,2.5118417999999996,25374282.0,AWdZLW6eet7j816DxMpv,2018-11-28T07:17:39.727Z,2018-11-28T07:16:47.853Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-DY-04-MF,2018-11-28T07:16:48.006Z,,1008362.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
