entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfFinancialInstitutionPostcodeAndTown,AddressOfFinancialInstitutionStreetAndNumber,AddressOfLawFirmPostcodeAndTown,AddressOfLawFirmStreetAndNumber,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnReviewOfFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DescriptionOfAuditor,EmailOfReportingEntity,EmployeeBenefitsExpense,FaxNumberOfReportingEntity,GrossProfitLoss,HomepageOfReportingEntity,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfLawFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,TelephoneNumberOfReportingEntity,TitleOfMemberOfExecutiveBoard,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContractWorkInProgress,ContributedCapital,CurrentAssets,DevelopmentProjectsInProgress,Equity,IntangibleAssets,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,NoncurrentAssets,PlantAndMachinery,PropertyPlantAndEquipment,ProposedDividend,RetainedEarnings,ShorttermDebtToBanks,ShorttermDeferredIncome,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToAssociates,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermTaxPayables,ShorttermTradePayables,ShorttermTradeReceivables,IdentificationNumberCvrOfAuditFirm,NameAndSurnameOfAuditor,NameOfAuditFirm
entity identifier,2011-01-01,2011-12-31,ID_10,http://regnskaber.virk.dk/10813242/Y3ZyLmRrOi8vcGRmcy8yNDIzMTgwMTtBcFMyNjAyMzc7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/10813242/Y3ZyLmRrOi8veGJybHMvWC1EQjVCRjEwNy0yMDEzMDYxOF8xMjM1MzRfODk5.xml,"7190, Billund",RÃ¥dhuspladsen 11,"6200, Aabenraa",Kystvej 22,"7160, TÃ¸rring","Krambovej 7, Hjortsvang","6200, Aabenraa",NÃ¦stmark 25,Til kapitalejerne i Amfitech ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",1999-08-01,2013-04-29,188079.0,Registreret revisor,amfitech@amfitech.dk,3613425.0,75 67 60 81,-5117880.0,www.amfitech.dk,24231801.0,26632315.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Amfitech ApS.,Ãrsrapport,JÃ¸rn Eskildsen,JÃ¸rn Eskildsen,Den Jyske Sparekasse,Compass Advokatfirma,Amfitech ApS,"Intension, Registreret Revisionsaktiselskab",152491.0,-25428.0,-807291.0,-1189313.0,-1316376.0,"0, TÃ¸rring",2012-12-31,2012-01-01,2013-04-29,Aabenraa,382022.0,75 67 60 88,DirektÃ¸r,urn:ofk:oid:14682652,indberetninger-20180424,2.5118417999999996,24231801.0,,2018-04-02T04:54:00.074Z,2013-06-18T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-42.201,2013-06-18T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_12,http://regnskaber.virk.dk/10813242/Y3ZyLmRrOi8vcGRmcy8yNDIzMTgwMTtBcFMyNjAyMzc7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/10813242/Y3ZyLmRrOi8veGJybHMvWC1EQjVCRjEwNy0yMDEzMDYxOF8xMjM1MzRfODk5.xml,"7190, Billund",RÃ¥dhuspladsen 11,"6200, Aabenraa",Kystvej 22,"7160, TÃ¸rring","Krambovej 7, Hjortsvang","6200, Aabenraa",NÃ¦stmark 25,Til kapitalejerne i Amfitech ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",1999-08-01,2013-04-29,,Registreret revisor,amfitech@amfitech.dk,,75 67 60 81,,www.amfitech.dk,24231801.0,26632315.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Amfitech ApS.,Ãrsrapport,JÃ¸rn Eskildsen,JÃ¸rn Eskildsen,Den Jyske Sparekasse,Compass Advokatfirma,Amfitech ApS,"Intension, Registreret Revisionsaktiselskab",,,175000.0,,,"0, TÃ¸rring",2012-12-31,2012-01-01,2013-04-29,Aabenraa,,75 67 60 88,DirektÃ¸r,urn:ofk:oid:14682652,indberetninger-20180424,2.5118417999999996,24231801.0,,2018-04-02T04:54:00.074Z,2013-06-18T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-42.201,2013-06-18T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_14,http://regnskaber.virk.dk/10813242/Y3ZyLmRrOi8vcGRmcy8yNDIzMTgwMTtBcFMyNjAyMzc7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/10813242/Y3ZyLmRrOi8veGJybHMvWC1EQjVCRjEwNy0yMDEzMDYxOF8xMjM1MzRfODk5.xml,"7190, Billund",RÃ¥dhuspladsen 11,"6200, Aabenraa",Kystvej 22,"7160, TÃ¸rring","Krambovej 7, Hjortsvang","6200, Aabenraa",NÃ¦stmark 25,Til kapitalejerne i Amfitech ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",1999-08-01,2013-04-29,,Registreret revisor,amfitech@amfitech.dk,,75 67 60 81,,www.amfitech.dk,24231801.0,26632315.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Amfitech ApS.,Ãrsrapport,JÃ¸rn Eskildsen,JÃ¸rn Eskildsen,Den Jyske Sparekasse,Compass Advokatfirma,Amfitech ApS,"Intension, Registreret Revisionsaktiselskab",,,632290.0,,,"0, TÃ¸rring",2012-12-31,2012-01-01,2013-04-29,Aabenraa,,75 67 60 88,DirektÃ¸r,urn:ofk:oid:14682652,indberetninger-20180424,2.5118417999999996,24231801.0,,2018-04-02T04:54:00.074Z,2013-06-18T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-42.201,2013-06-18T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_16,http://regnskaber.virk.dk/10813242/Y3ZyLmRrOi8vcGRmcy8yNDIzMTgwMTtBcFMyNjAyMzc7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/10813242/Y3ZyLmRrOi8veGJybHMvWC1EQjVCRjEwNy0yMDEzMDYxOF8xMjM1MzRfODk5.xml,"7190, Billund",RÃ¥dhuspladsen 11,"6200, Aabenraa",Kystvej 22,"7160, TÃ¸rring","Krambovej 7, Hjortsvang","6200, Aabenraa",NÃ¦stmark 25,Til kapitalejerne i Amfitech ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",1999-08-01,2013-04-29,,Registreret revisor,amfitech@amfitech.dk,,75 67 60 81,,www.amfitech.dk,24231801.0,26632315.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Amfitech ApS.,Ãrsrapport,JÃ¸rn Eskildsen,JÃ¸rn Eskildsen,Den Jyske Sparekasse,Compass Advokatfirma,Amfitech ApS,"Intension, Registreret Revisionsaktiselskab",,,807290.0,,,"0, TÃ¸rring",2012-12-31,2012-01-01,2013-04-29,Aabenraa,,75 67 60 88,DirektÃ¸r,urn:ofk:oid:14682652,indberetninger-20180424,2.5118417999999996,24231801.0,,2018-04-02T04:54:00.074Z,2013-06-18T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-42.201,2013-06-18T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-12-31,2011-12-31,ID_18,http://regnskaber.virk.dk/10813242/Y3ZyLmRrOi8vcGRmcy8yNDIzMTgwMTtBcFMyNjAyMzc7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/10813242/Y3ZyLmRrOi8veGJybHMvWC1EQjVCRjEwNy0yMDEzMDYxOF8xMjM1MzRfODk5.xml,"7190, Billund",RÃ¥dhuspladsen 11,"6200, Aabenraa",Kystvej 22,"7160, TÃ¸rring","Krambovej 7, Hjortsvang","6200, Aabenraa",NÃ¦stmark 25,Til kapitalejerne i Amfitech ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",1999-08-01,2013-04-29,,Registreret revisor,amfitech@amfitech.dk,,75 67 60 81,,www.amfitech.dk,24231801.0,26632315.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Amfitech ApS.,Ãrsrapport,JÃ¸rn Eskildsen,JÃ¸rn Eskildsen,Den Jyske Sparekasse,Compass Advokatfirma,Amfitech ApS,"Intension, Registreret Revisionsaktiselskab",,,,,,"0, TÃ¸rring",2012-12-31,2012-01-01,2013-04-29,Aabenraa,,75 67 60 88,DirektÃ¸r,urn:ofk:oid:14682652,indberetninger-20180424,2.5118417999999996,24231801.0,,2018-04-02T04:54:00.074Z,2013-06-18T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-42.201,2013-06-18T22:00:00.000Z,3173852.0,652.0,662439.0,-125000.0,2976433.0,163032.0,-647799.0,163032.0,-3173851.0,-2526052.0,197419.0,34387.0,34387.0,-175000.0,-522799.0,-514663.0,-16500.0,-2526052.0,-160646.0,-560382.0,2975781.0,-382022.0,-150397.0,2296467.0,,,
entity identifier,2012-01-01,2012-12-31,ID_0,http://regnskaber.virk.dk/10813242/Y3ZyLmRrOi8vcGRmcy8yNDIzMTgwMTtBcFMyNjAyMzc7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/10813242/Y3ZyLmRrOi8veGJybHMvWC1EQjVCRjEwNy0yMDEzMDYxOF8xMjM1MzRfODk5.xml,"7190, Billund",RÃ¥dhuspladsen 11,"6200, Aabenraa",Kystvej 22,"7160, TÃ¸rring","Krambovej 7, Hjortsvang","6200, Aabenraa",NÃ¦stmark 25,Til kapitalejerne i Amfitech ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",1999-08-01,2013-04-29,,Registreret revisor,amfitech@amfitech.dk,,75 67 60 81,,www.amfitech.dk,24231801.0,26632315.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Amfitech ApS.,Ãrsrapport,JÃ¸rn Eskildsen,JÃ¸rn Eskildsen,Den Jyske Sparekasse,Compass Advokatfirma,Amfitech ApS,"Intension, Registreret Revisionsaktiselskab",,,,,,"0, TÃ¸rring",2012-12-31,2012-01-01,2013-04-29,Aabenraa,,75 67 60 88,DirektÃ¸r,urn:ofk:oid:14682652,indberetninger-20180424,2.5118417999999996,24231801.0,,2018-04-02T04:54:00.074Z,2013-06-18T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-42.201,2013-06-18T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_1,http://regnskaber.virk.dk/10813242/Y3ZyLmRrOi8vcGRmcy8yNDIzMTgwMTtBcFMyNjAyMzc7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/10813242/Y3ZyLmRrOi8veGJybHMvWC1EQjVCRjEwNy0yMDEzMDYxOF8xMjM1MzRfODk5.xml,"7190, Billund",RÃ¥dhuspladsen 11,"6200, Aabenraa",Kystvej 22,"7160, TÃ¸rring","Krambovej 7, Hjortsvang","6200, Aabenraa",NÃ¦stmark 25,Til kapitalejerne i Amfitech ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",1999-08-01,2013-04-29,,Registreret revisor,amfitech@amfitech.dk,,75 67 60 81,,www.amfitech.dk,24231801.0,26632315.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Amfitech ApS.,Ãrsrapport,JÃ¸rn Eskildsen,JÃ¸rn Eskildsen,Den Jyske Sparekasse,Compass Advokatfirma,Amfitech ApS,"Intension, Registreret Revisionsaktiselskab",,,,,,"0, TÃ¸rring",2012-12-31,2012-01-01,2013-04-29,Aabenraa,,75 67 60 88,DirektÃ¸r,urn:ofk:oid:14682652,indberetninger-20180424,2.5118417999999996,24231801.0,,2018-04-02T04:54:00.074Z,2013-06-18T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-42.201,2013-06-18T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_11,http://regnskaber.virk.dk/10813242/Y3ZyLmRrOi8vcGRmcy8yNDIzMTgwMTtBcFMyNjAyMzc7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/10813242/Y3ZyLmRrOi8veGJybHMvWC1EQjVCRjEwNy0yMDEzMDYxOF8xMjM1MzRfODk5.xml,"7190, Billund",RÃ¥dhuspladsen 11,"6200, Aabenraa",Kystvej 22,"7160, TÃ¸rring","Krambovej 7, Hjortsvang","6200, Aabenraa",NÃ¦stmark 25,Til kapitalejerne i Amfitech ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",1999-08-01,2013-04-29,,Registreret revisor,amfitech@amfitech.dk,,75 67 60 81,,www.amfitech.dk,24231801.0,26632315.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Amfitech ApS.,Ãrsrapport,JÃ¸rn Eskildsen,JÃ¸rn Eskildsen,Den Jyske Sparekasse,Compass Advokatfirma,Amfitech ApS,"Intension, Registreret Revisionsaktiselskab",,,1433710.0,,,"0, TÃ¸rring",2012-12-31,2012-01-01,2013-04-29,Aabenraa,,75 67 60 88,DirektÃ¸r,urn:ofk:oid:14682652,indberetninger-20180424,2.5118417999999996,24231801.0,,2018-04-02T04:54:00.074Z,2013-06-18T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-42.201,2013-06-18T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_13,http://regnskaber.virk.dk/10813242/Y3ZyLmRrOi8vcGRmcy8yNDIzMTgwMTtBcFMyNjAyMzc7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/10813242/Y3ZyLmRrOi8veGJybHMvWC1EQjVCRjEwNy0yMDEzMDYxOF8xMjM1MzRfODk5.xml,"7190, Billund",RÃ¥dhuspladsen 11,"6200, Aabenraa",Kystvej 22,"7160, TÃ¸rring","Krambovej 7, Hjortsvang","6200, Aabenraa",NÃ¦stmark 25,Til kapitalejerne i Amfitech ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",1999-08-01,2013-04-29,,Registreret revisor,amfitech@amfitech.dk,,75 67 60 81,,www.amfitech.dk,24231801.0,26632315.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Amfitech ApS.,Ãrsrapport,JÃ¸rn Eskildsen,JÃ¸rn Eskildsen,Den Jyske Sparekasse,Compass Advokatfirma,Amfitech ApS,"Intension, Registreret Revisionsaktiselskab",,,0.0,,,"0, TÃ¸rring",2012-12-31,2012-01-01,2013-04-29,Aabenraa,,75 67 60 88,DirektÃ¸r,urn:ofk:oid:14682652,indberetninger-20180424,2.5118417999999996,24231801.0,,2018-04-02T04:54:00.074Z,2013-06-18T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-42.201,2013-06-18T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_15,http://regnskaber.virk.dk/10813242/Y3ZyLmRrOi8vcGRmcy8yNDIzMTgwMTtBcFMyNjAyMzc7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/10813242/Y3ZyLmRrOi8veGJybHMvWC1EQjVCRjEwNy0yMDEzMDYxOF8xMjM1MzRfODk5.xml,"7190, Billund",RÃ¥dhuspladsen 11,"6200, Aabenraa",Kystvej 22,"7160, TÃ¸rring","Krambovej 7, Hjortsvang","6200, Aabenraa",NÃ¦stmark 25,Til kapitalejerne i Amfitech ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",1999-08-01,2013-04-29,,Registreret revisor,amfitech@amfitech.dk,,75 67 60 81,,www.amfitech.dk,24231801.0,26632315.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2012 - 31. december 2012 for Amfitech ApS.,Ãrsrapport,JÃ¸rn Eskildsen,JÃ¸rn Eskildsen,Den Jyske Sparekasse,Compass Advokatfirma,Amfitech ApS,"Intension, Registreret Revisionsaktiselskab",,,1433710.0,,,"0, TÃ¸rring",2012-12-31,2012-01-01,2013-04-29,Aabenraa,,75 67 60 88,DirektÃ¸r,urn:ofk:oid:14682652,indberetninger-20180424,2.5118417999999996,24231801.0,,2018-04-02T04:54:00.074Z,2013-06-18T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-42.201,2013-06-18T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
