entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfGeneralMeeting,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfExternalExpenses,Equity,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,RecommendationForApprovalOfAnnualReportByGeneralMeeting,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss,GrossProfitLoss,OtherFinanceExpenses,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermLiabilitiesOtherThanProvisions,OtherLongtermPayables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTradePayables,AddressOfAuditorCountry,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,DescriptionOfAuditor,IdentificationNumberCvrOfAuditFirm,NameAndSurnameOfAuditor,NameOfAuditFirm
26396018,2014-07-01,2014-07-01,c720,,http://regnskaber.virk.dk/81069362/ZG9rdW1lbnRsYWdlcjovLzAzLzI3LzRhLzU5Lzg5LzQ2MjAtNDRiZC05ODMyLTNiZjZmMTAyMmNmNg.pdf,http://regnskaber.virk.dk/81069362/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5LzBjLzFhLzk1LzRmNjItNGU2Ny1iOGM0LWVlYjliYmFjYmE1ZA.xml,Roskilde,4000.0,B,Hersegade 5,"4000, Roskilde","Himmelev Bygade, 70",anpartshaverne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2015 - 30. juni 2016.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015/16 for opfyldt.,2016-12-23,2016-12-23,2016-12-23,Andre eksterne omkostninger omfatter omkostninger til administration mv.,125000.0,26396018.0,33780524.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2015 - 30. juni 2016 for Ejendomsselskabet Hersegade ApS.,Ãrsrapport,Michael Willaume,Michael Willaume,Ejendomsselskabet Hersegade ApS,"RIR REVISION, Statsautoriseret Revisionspartnerselskab",Roskilde,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2016-06-30,2015-07-01,2016-12-23,Roskilde,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23337966,indberetninger-20180424,2.5096006,26396018.0,,2018-03-29T09:58:12.908Z,2016-12-23T10:50:53.675Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BK-50-XP,2016-12-23T10:50:54.148Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26396018,2014-07-01,2014-07-01,c741,,http://regnskaber.virk.dk/81069362/ZG9rdW1lbnRsYWdlcjovLzAzLzI3LzRhLzU5Lzg5LzQ2MjAtNDRiZC05ODMyLTNiZjZmMTAyMmNmNg.pdf,http://regnskaber.virk.dk/81069362/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5LzBjLzFhLzk1LzRmNjItNGU2Ny1iOGM0LWVlYjliYmFjYmE1ZA.xml,Roskilde,4000.0,B,Hersegade 5,"4000, Roskilde","Himmelev Bygade, 70",anpartshaverne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2015 - 30. juni 2016.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015/16 for opfyldt.,2016-12-23,2016-12-23,2016-12-23,Andre eksterne omkostninger omfatter omkostninger til administration mv.,-2087000.0,26396018.0,33780524.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2015 - 30. juni 2016 for Ejendomsselskabet Hersegade ApS.,Ãrsrapport,Michael Willaume,Michael Willaume,Ejendomsselskabet Hersegade ApS,"RIR REVISION, Statsautoriseret Revisionspartnerselskab",Roskilde,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2016-06-30,2015-07-01,2016-12-23,Roskilde,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23337966,indberetninger-20180424,2.5096006,26396018.0,,2018-03-29T09:58:12.908Z,2016-12-23T10:50:53.675Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BK-50-XP,2016-12-23T10:50:54.148Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26396018,2014-07-01,2015-06-30,c123,,http://regnskaber.virk.dk/81069362/ZG9rdW1lbnRsYWdlcjovLzAzLzI3LzRhLzU5Lzg5LzQ2MjAtNDRiZC05ODMyLTNiZjZmMTAyMmNmNg.pdf,http://regnskaber.virk.dk/81069362/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5LzBjLzFhLzk1LzRmNjItNGU2Ny1iOGM0LWVlYjliYmFjYmE1ZA.xml,Roskilde,4000.0,B,Hersegade 5,"4000, Roskilde","Himmelev Bygade, 70",anpartshaverne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2015 - 30. juni 2016.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015/16 for opfyldt.,2016-12-23,2016-12-23,2016-12-23,Andre eksterne omkostninger omfatter omkostninger til administration mv.,,26396018.0,33780524.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2015 - 30. juni 2016 for Ejendomsselskabet Hersegade ApS.,Ãrsrapport,Michael Willaume,Michael Willaume,Ejendomsselskabet Hersegade ApS,"RIR REVISION, Statsautoriseret Revisionspartnerselskab",Roskilde,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2016-06-30,2015-07-01,2016-12-23,Roskilde,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23337966,indberetninger-20180424,2.5096006,26396018.0,,2018-03-29T09:58:12.908Z,2016-12-23T10:50:53.675Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BK-50-XP,2016-12-23T10:50:54.148Z,-56000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26396018,2014-07-01,2015-06-30,c3,,http://regnskaber.virk.dk/81069362/ZG9rdW1lbnRsYWdlcjovLzAzLzI3LzRhLzU5Lzg5LzQ2MjAtNDRiZC05ODMyLTNiZjZmMTAyMmNmNg.pdf,http://regnskaber.virk.dk/81069362/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5LzBjLzFhLzk1LzRmNjItNGU2Ny1iOGM0LWVlYjliYmFjYmE1ZA.xml,Roskilde,4000.0,B,Hersegade 5,"4000, Roskilde","Himmelev Bygade, 70",anpartshaverne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2015 - 30. juni 2016.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015/16 for opfyldt.,2016-12-23,2016-12-23,2016-12-23,Andre eksterne omkostninger omfatter omkostninger til administration mv.,,26396018.0,33780524.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2015 - 30. juni 2016 for Ejendomsselskabet Hersegade ApS.,Ãrsrapport,Michael Willaume,Michael Willaume,Ejendomsselskabet Hersegade ApS,"RIR REVISION, Statsautoriseret Revisionspartnerselskab",Roskilde,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2016-06-30,2015-07-01,2016-12-23,Roskilde,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23337966,indberetninger-20180424,2.5096006,26396018.0,,2018-03-29T09:58:12.908Z,2016-12-23T10:50:53.675Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BK-50-XP,2016-12-23T10:50:54.148Z,-56000.0,-15000.0,32000.0,-47000.0,-15000.0,9000.0,,,,,,,,,,,,,,,,,,,,,,,
26396018,2014-07-01,2015-06-30,c742,,http://regnskaber.virk.dk/81069362/ZG9rdW1lbnRsYWdlcjovLzAzLzI3LzRhLzU5Lzg5LzQ2MjAtNDRiZC05ODMyLTNiZjZmMTAyMmNmNg.pdf,http://regnskaber.virk.dk/81069362/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5LzBjLzFhLzk1LzRmNjItNGU2Ny1iOGM0LWVlYjliYmFjYmE1ZA.xml,Roskilde,4000.0,B,Hersegade 5,"4000, Roskilde","Himmelev Bygade, 70",anpartshaverne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2015 - 30. juni 2016.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015/16 for opfyldt.,2016-12-23,2016-12-23,2016-12-23,Andre eksterne omkostninger omfatter omkostninger til administration mv.,,26396018.0,33780524.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2015 - 30. juni 2016 for Ejendomsselskabet Hersegade ApS.,Ãrsrapport,Michael Willaume,Michael Willaume,Ejendomsselskabet Hersegade ApS,"RIR REVISION, Statsautoriseret Revisionspartnerselskab",Roskilde,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2016-06-30,2015-07-01,2016-12-23,Roskilde,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23337966,indberetninger-20180424,2.5096006,26396018.0,,2018-03-29T09:58:12.908Z,2016-12-23T10:50:53.675Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BK-50-XP,2016-12-23T10:50:54.148Z,-56000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26396018,2015-06-30,2015-06-30,c4,,http://regnskaber.virk.dk/81069362/ZG9rdW1lbnRsYWdlcjovLzAzLzI3LzRhLzU5Lzg5LzQ2MjAtNDRiZC05ODMyLTNiZjZmMTAyMmNmNg.pdf,http://regnskaber.virk.dk/81069362/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5LzBjLzFhLzk1LzRmNjItNGU2Ny1iOGM0LWVlYjliYmFjYmE1ZA.xml,Roskilde,4000.0,B,Hersegade 5,"4000, Roskilde","Himmelev Bygade, 70",anpartshaverne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2015 - 30. juni 2016.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015/16 for opfyldt.,2016-12-23,2016-12-23,2016-12-23,Andre eksterne omkostninger omfatter omkostninger til administration mv.,-2018000.0,26396018.0,33780524.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2015 - 30. juni 2016 for Ejendomsselskabet Hersegade ApS.,Ãrsrapport,Michael Willaume,Michael Willaume,Ejendomsselskabet Hersegade ApS,"RIR REVISION, Statsautoriseret Revisionspartnerselskab",Roskilde,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2016-06-30,2015-07-01,2016-12-23,Roskilde,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23337966,indberetninger-20180424,2.5096006,26396018.0,,2018-03-29T09:58:12.908Z,2016-12-23T10:50:53.675Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BK-50-XP,2016-12-23T10:50:54.148Z,,,,,,,203000.0,125000.0,203000.0,192000.0,203000.0,2221000.0,1948000.0,1948000.0,-2143000.0,273000.0,239000.0,203000.0,11000.0,34000.0,,,,,,,,,
26396018,2015-06-30,2015-06-30,c722,,http://regnskaber.virk.dk/81069362/ZG9rdW1lbnRsYWdlcjovLzAzLzI3LzRhLzU5Lzg5LzQ2MjAtNDRiZC05ODMyLTNiZjZmMTAyMmNmNg.pdf,http://regnskaber.virk.dk/81069362/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5LzBjLzFhLzk1LzRmNjItNGU2Ny1iOGM0LWVlYjliYmFjYmE1ZA.xml,Roskilde,4000.0,B,Hersegade 5,"4000, Roskilde","Himmelev Bygade, 70",anpartshaverne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2015 - 30. juni 2016.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015/16 for opfyldt.,2016-12-23,2016-12-23,2016-12-23,Andre eksterne omkostninger omfatter omkostninger til administration mv.,125000.0,26396018.0,33780524.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2015 - 30. juni 2016 for Ejendomsselskabet Hersegade ApS.,Ãrsrapport,Michael Willaume,Michael Willaume,Ejendomsselskabet Hersegade ApS,"RIR REVISION, Statsautoriseret Revisionspartnerselskab",Roskilde,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2016-06-30,2015-07-01,2016-12-23,Roskilde,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23337966,indberetninger-20180424,2.5096006,26396018.0,,2018-03-29T09:58:12.908Z,2016-12-23T10:50:53.675Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BK-50-XP,2016-12-23T10:50:54.148Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26396018,2015-06-30,2015-06-30,c743,,http://regnskaber.virk.dk/81069362/ZG9rdW1lbnRsYWdlcjovLzAzLzI3LzRhLzU5Lzg5LzQ2MjAtNDRiZC05ODMyLTNiZjZmMTAyMmNmNg.pdf,http://regnskaber.virk.dk/81069362/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5LzBjLzFhLzk1LzRmNjItNGU2Ny1iOGM0LWVlYjliYmFjYmE1ZA.xml,Roskilde,4000.0,B,Hersegade 5,"4000, Roskilde","Himmelev Bygade, 70",anpartshaverne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2015 - 30. juni 2016.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015/16 for opfyldt.,2016-12-23,2016-12-23,2016-12-23,Andre eksterne omkostninger omfatter omkostninger til administration mv.,-2143000.0,26396018.0,33780524.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2015 - 30. juni 2016 for Ejendomsselskabet Hersegade ApS.,Ãrsrapport,Michael Willaume,Michael Willaume,Ejendomsselskabet Hersegade ApS,"RIR REVISION, Statsautoriseret Revisionspartnerselskab",Roskilde,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2016-06-30,2015-07-01,2016-12-23,Roskilde,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23337966,indberetninger-20180424,2.5096006,26396018.0,,2018-03-29T09:58:12.908Z,2016-12-23T10:50:53.675Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BK-50-XP,2016-12-23T10:50:54.148Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26396018,2015-07-01,2015-07-01,c181,,http://regnskaber.virk.dk/81069362/ZG9rdW1lbnRsYWdlcjovLzAzLzI3LzRhLzU5Lzg5LzQ2MjAtNDRiZC05ODMyLTNiZjZmMTAyMmNmNg.pdf,http://regnskaber.virk.dk/81069362/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5LzBjLzFhLzk1LzRmNjItNGU2Ny1iOGM0LWVlYjliYmFjYmE1ZA.xml,Roskilde,4000.0,B,Hersegade 5,"4000, Roskilde","Himmelev Bygade, 70",anpartshaverne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2015 - 30. juni 2016.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015/16 for opfyldt.,2016-12-23,2016-12-23,2016-12-23,Andre eksterne omkostninger omfatter omkostninger til administration mv.,125000.0,26396018.0,33780524.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2015 - 30. juni 2016 for Ejendomsselskabet Hersegade ApS.,Ãrsrapport,Michael Willaume,Michael Willaume,Ejendomsselskabet Hersegade ApS,"RIR REVISION, Statsautoriseret Revisionspartnerselskab",Roskilde,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2016-06-30,2015-07-01,2016-12-23,Roskilde,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23337966,indberetninger-20180424,2.5096006,26396018.0,,2018-03-29T09:58:12.908Z,2016-12-23T10:50:53.675Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BK-50-XP,2016-12-23T10:50:54.148Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26396018,2015-07-01,2015-07-01,c199,,http://regnskaber.virk.dk/81069362/ZG9rdW1lbnRsYWdlcjovLzAzLzI3LzRhLzU5Lzg5LzQ2MjAtNDRiZC05ODMyLTNiZjZmMTAyMmNmNg.pdf,http://regnskaber.virk.dk/81069362/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5LzBjLzFhLzk1LzRmNjItNGU2Ny1iOGM0LWVlYjliYmFjYmE1ZA.xml,Roskilde,4000.0,B,Hersegade 5,"4000, Roskilde","Himmelev Bygade, 70",anpartshaverne,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2015 - 30. juni 2016.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015/16 for opfyldt.,2016-12-23,2016-12-23,2016-12-23,Andre eksterne omkostninger omfatter omkostninger til administration mv.,-2142488.0,26396018.0,33780524.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2015 - 30. juni 2016 for Ejendomsselskabet Hersegade ApS.,Ãrsrapport,Michael Willaume,Michael Willaume,Ejendomsselskabet Hersegade ApS,"RIR REVISION, Statsautoriseret Revisionspartnerselskab",Roskilde,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2016-06-30,2015-07-01,2016-12-23,Roskilde,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23337966,indberetninger-20180424,2.5096006,26396018.0,,2018-03-29T09:58:12.908Z,2016-12-23T10:50:53.675Z,regnskab,0.0,,2016-06-30,2015-07-01,X16-BK-50-XP,2016-12-23T10:50:54.148Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
