entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfFinancialInstitutionPostcodeAndTown,AddressOfFinancialInstitutionStreetAndNumber,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfAuditorsReportOnAuditedFinancialStatements,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,IdentificationNumberCvrOfAuditFirmAppointedToPerformAudit,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfAuditedFinancialStatements,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditorAppointedToPerformAudit,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirmAppointedToPerformAudit,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfCompilationOfAuditorsReportOnAuditedFinancialStatements,ProfitLoss,ReportingPeriodEndDate,ReportingPeriodStartDate,TitleOfMemberOfExecutiveBoard,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,GrossProfitLoss,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,DeferredIncomeAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,ProposedDividend,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,SharePremium,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermTaxPayables,ShorttermTaxReceivables,ShorttermTradePayables
entity identifier,2010-10-01,2011-09-30,ID_11,http://regnskaber.virk.dk/88004992/Y3ZyLmRrOi8vcGRmcy8yOTk0MDA4ODtBcFMzODUyMjM7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/88004992/Y3ZyLmRrOi8veGJybHMvWC01Q0RDNjY0QS0yMDEzMDIwNF8yMDIwMDhfOTg1.xml,"4700, NÃ¦stved",Axeltorv 4,"KarrebÃ¦ksminde, 4736","MikkelhÃ¸j 24, c/o Helge Nielsen","4700, NÃ¦stved",Erantisvej 53,Regnskabsklasse B,2013-01-28,2006-10-17,2013-01-28,19723402.0,29940088.0,19723402.0,"Vi har revideret Ã¥rsregnskabet for HELGE NIELSEN HOLDING ApS for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Brian Vahlkvist,Helge Nielsen,Helge  Nielsen,"Revisions-Centret, Registreret revisionsvirksomhed",Diba A/S,HELGE NIELSEN HOLDING ApS,Revisions-Centret,NÃ¦stved,300000.0,2012-09-30,2011-10-01,DirektÃ¸r,urn:ofk:oid:17915522,indberetninger-20180424,2.5118417999999996,29940088.0,,2018-04-01T15:11:15.630Z,2013-02-05T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-357.252,2013-02-05T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2010-10-01,2011-09-30,ID_13,http://regnskaber.virk.dk/88004992/Y3ZyLmRrOi8vcGRmcy8yOTk0MDA4ODtBcFMzODUyMjM7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/88004992/Y3ZyLmRrOi8veGJybHMvWC01Q0RDNjY0QS0yMDEzMDIwNF8yMDIwMDhfOTg1.xml,"4700, NÃ¦stved",Axeltorv 4,"KarrebÃ¦ksminde, 4736","MikkelhÃ¸j 24, c/o Helge Nielsen","4700, NÃ¦stved",Erantisvej 53,Regnskabsklasse B,2013-01-28,2006-10-17,2013-01-28,19723402.0,29940088.0,19723402.0,"Vi har revideret Ã¥rsregnskabet for HELGE NIELSEN HOLDING ApS for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Brian Vahlkvist,Helge Nielsen,Helge  Nielsen,"Revisions-Centret, Registreret revisionsvirksomhed",Diba A/S,HELGE NIELSEN HOLDING ApS,Revisions-Centret,NÃ¦stved,-275350.0,2012-09-30,2011-10-01,DirektÃ¸r,urn:ofk:oid:17915522,indberetninger-20180424,2.5118417999999996,29940088.0,,2018-04-01T15:11:15.630Z,2013-02-05T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-357.252,2013-02-05T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2010-10-01,2011-09-30,ID_15,http://regnskaber.virk.dk/88004992/Y3ZyLmRrOi8vcGRmcy8yOTk0MDA4ODtBcFMzODUyMjM7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/88004992/Y3ZyLmRrOi8veGJybHMvWC01Q0RDNjY0QS0yMDEzMDIwNF8yMDIwMDhfOTg1.xml,"4700, NÃ¦stved",Axeltorv 4,"KarrebÃ¦ksminde, 4736","MikkelhÃ¸j 24, c/o Helge Nielsen","4700, NÃ¦stved",Erantisvej 53,Regnskabsklasse B,2013-01-28,2006-10-17,2013-01-28,19723402.0,29940088.0,19723402.0,"Vi har revideret Ã¥rsregnskabet for HELGE NIELSEN HOLDING ApS for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Brian Vahlkvist,Helge Nielsen,Helge  Nielsen,"Revisions-Centret, Registreret revisionsvirksomhed",Diba A/S,HELGE NIELSEN HOLDING ApS,Revisions-Centret,NÃ¦stved,24650.0,2012-09-30,2011-10-01,DirektÃ¸r,urn:ofk:oid:17915522,indberetninger-20180424,2.5118417999999996,29940088.0,,2018-04-01T15:11:15.630Z,2013-02-05T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-357.252,2013-02-05T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2010-10-01,2011-09-30,ID_9,http://regnskaber.virk.dk/88004992/Y3ZyLmRrOi8vcGRmcy8yOTk0MDA4ODtBcFMzODUyMjM7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/88004992/Y3ZyLmRrOi8veGJybHMvWC01Q0RDNjY0QS0yMDEzMDIwNF8yMDIwMDhfOTg1.xml,"4700, NÃ¦stved",Axeltorv 4,"KarrebÃ¦ksminde, 4736","MikkelhÃ¸j 24, c/o Helge Nielsen","4700, NÃ¦stved",Erantisvej 53,Regnskabsklasse B,2013-01-28,2006-10-17,2013-01-28,19723402.0,29940088.0,19723402.0,"Vi har revideret Ã¥rsregnskabet for HELGE NIELSEN HOLDING ApS for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Brian Vahlkvist,Helge Nielsen,Helge  Nielsen,"Revisions-Centret, Registreret revisionsvirksomhed",Diba A/S,HELGE NIELSEN HOLDING ApS,Revisions-Centret,NÃ¦stved,-24650.0,2012-09-30,2011-10-01,DirektÃ¸r,urn:ofk:oid:17915522,indberetninger-20180424,2.5118417999999996,29940088.0,,2018-04-01T15:11:15.630Z,2013-02-05T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-357.252,2013-02-05T23:00:00.000Z,6299.0,-47389.0,-41090.0,6299.0,16440.0,,,,,,,,,,,,,,,,,,
entity identifier,2011-09-30,2011-09-30,ID_17,http://regnskaber.virk.dk/88004992/Y3ZyLmRrOi8vcGRmcy8yOTk0MDA4ODtBcFMzODUyMjM7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/88004992/Y3ZyLmRrOi8veGJybHMvWC01Q0RDNjY0QS0yMDEzMDIwNF8yMDIwMDhfOTg1.xml,"4700, NÃ¦stved",Axeltorv 4,"KarrebÃ¦ksminde, 4736","MikkelhÃ¸j 24, c/o Helge Nielsen","4700, NÃ¦stved",Erantisvej 53,Regnskabsklasse B,2013-01-28,2006-10-17,2013-01-28,19723402.0,29940088.0,19723402.0,"Vi har revideret Ã¥rsregnskabet for HELGE NIELSEN HOLDING ApS for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Brian Vahlkvist,Helge Nielsen,Helge  Nielsen,"Revisions-Centret, Registreret revisionsvirksomhed",Diba A/S,HELGE NIELSEN HOLDING ApS,Revisions-Centret,NÃ¦stved,,2012-09-30,2011-10-01,DirektÃ¸r,urn:ofk:oid:17915522,indberetninger-20180424,2.5118417999999996,29940088.0,,2018-04-01T15:11:15.630Z,2013-02-05T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-357.252,2013-02-05T23:00:00.000Z,,,,,,2979880.0,820955.0,-125000.0,2979880.0,3664.0,-2699193.0,-2979880.0,-280687.0,-264572.0,-1000639.0,472275.0,-2045829.0,-280687.0,0.0,2158925.0,-9615.0,0.0,-6500.0
entity identifier,2011-10-01,2012-09-30,ID_0,http://regnskaber.virk.dk/88004992/Y3ZyLmRrOi8vcGRmcy8yOTk0MDA4ODtBcFMzODUyMjM7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/88004992/Y3ZyLmRrOi8veGJybHMvWC01Q0RDNjY0QS0yMDEzMDIwNF8yMDIwMDhfOTg1.xml,"4700, NÃ¦stved",Axeltorv 4,"KarrebÃ¦ksminde, 4736","MikkelhÃ¸j 24, c/o Helge Nielsen","4700, NÃ¦stved",Erantisvej 53,Regnskabsklasse B,2013-01-28,2006-10-17,2013-01-28,19723402.0,29940088.0,19723402.0,"Vi har revideret Ã¥rsregnskabet for HELGE NIELSEN HOLDING ApS for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Brian Vahlkvist,Helge Nielsen,Helge  Nielsen,"Revisions-Centret, Registreret revisionsvirksomhed",Diba A/S,HELGE NIELSEN HOLDING ApS,Revisions-Centret,NÃ¦stved,,2012-09-30,2011-10-01,DirektÃ¸r,urn:ofk:oid:17915522,indberetninger-20180424,2.5118417999999996,29940088.0,,2018-04-01T15:11:15.630Z,2013-02-05T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-357.252,2013-02-05T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-10-01,2012-09-30,ID_1,http://regnskaber.virk.dk/88004992/Y3ZyLmRrOi8vcGRmcy8yOTk0MDA4ODtBcFMzODUyMjM7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/88004992/Y3ZyLmRrOi8veGJybHMvWC01Q0RDNjY0QS0yMDEzMDIwNF8yMDIwMDhfOTg1.xml,"4700, NÃ¦stved",Axeltorv 4,"KarrebÃ¦ksminde, 4736","MikkelhÃ¸j 24, c/o Helge Nielsen","4700, NÃ¦stved",Erantisvej 53,Regnskabsklasse B,2013-01-28,2006-10-17,2013-01-28,19723402.0,29940088.0,19723402.0,"Vi har revideret Ã¥rsregnskabet for HELGE NIELSEN HOLDING ApS for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Brian Vahlkvist,Helge Nielsen,Helge  Nielsen,"Revisions-Centret, Registreret revisionsvirksomhed",Diba A/S,HELGE NIELSEN HOLDING ApS,Revisions-Centret,NÃ¦stved,,2012-09-30,2011-10-01,DirektÃ¸r,urn:ofk:oid:17915522,indberetninger-20180424,2.5118417999999996,29940088.0,,2018-04-01T15:11:15.630Z,2013-02-05T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-357.252,2013-02-05T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-10-01,2012-09-30,ID_10,http://regnskaber.virk.dk/88004992/Y3ZyLmRrOi8vcGRmcy8yOTk0MDA4ODtBcFMzODUyMjM7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/88004992/Y3ZyLmRrOi8veGJybHMvWC01Q0RDNjY0QS0yMDEzMDIwNF8yMDIwMDhfOTg1.xml,"4700, NÃ¦stved",Axeltorv 4,"KarrebÃ¦ksminde, 4736","MikkelhÃ¸j 24, c/o Helge Nielsen","4700, NÃ¦stved",Erantisvej 53,Regnskabsklasse B,2013-01-28,2006-10-17,2013-01-28,19723402.0,29940088.0,19723402.0,"Vi har revideret Ã¥rsregnskabet for HELGE NIELSEN HOLDING ApS for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Brian Vahlkvist,Helge Nielsen,Helge  Nielsen,"Revisions-Centret, Registreret revisionsvirksomhed",Diba A/S,HELGE NIELSEN HOLDING ApS,Revisions-Centret,NÃ¦stved,279000.0,2012-09-30,2011-10-01,DirektÃ¸r,urn:ofk:oid:17915522,indberetninger-20180424,2.5118417999999996,29940088.0,,2018-04-01T15:11:15.630Z,2013-02-05T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-357.252,2013-02-05T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-10-01,2012-09-30,ID_12,http://regnskaber.virk.dk/88004992/Y3ZyLmRrOi8vcGRmcy8yOTk0MDA4ODtBcFMzODUyMjM7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/88004992/Y3ZyLmRrOi8veGJybHMvWC01Q0RDNjY0QS0yMDEzMDIwNF8yMDIwMDhfOTg1.xml,"4700, NÃ¦stved",Axeltorv 4,"KarrebÃ¦ksminde, 4736","MikkelhÃ¸j 24, c/o Helge Nielsen","4700, NÃ¦stved",Erantisvej 53,Regnskabsklasse B,2013-01-28,2006-10-17,2013-01-28,19723402.0,29940088.0,19723402.0,"Vi har revideret Ã¥rsregnskabet for HELGE NIELSEN HOLDING ApS for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Brian Vahlkvist,Helge Nielsen,Helge  Nielsen,"Revisions-Centret, Registreret revisionsvirksomhed",Diba A/S,HELGE NIELSEN HOLDING ApS,Revisions-Centret,NÃ¦stved,-270829.0,2012-09-30,2011-10-01,DirektÃ¸r,urn:ofk:oid:17915522,indberetninger-20180424,2.5118417999999996,29940088.0,,2018-04-01T15:11:15.630Z,2013-02-05T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-357.252,2013-02-05T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-10-01,2012-09-30,ID_14,http://regnskaber.virk.dk/88004992/Y3ZyLmRrOi8vcGRmcy8yOTk0MDA4ODtBcFMzODUyMjM7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/88004992/Y3ZyLmRrOi8veGJybHMvWC01Q0RDNjY0QS0yMDEzMDIwNF8yMDIwMDhfOTg1.xml,"4700, NÃ¦stved",Axeltorv 4,"KarrebÃ¦ksminde, 4736","MikkelhÃ¸j 24, c/o Helge Nielsen","4700, NÃ¦stved",Erantisvej 53,Regnskabsklasse B,2013-01-28,2006-10-17,2013-01-28,19723402.0,29940088.0,19723402.0,"Vi har revideret Ã¥rsregnskabet for HELGE NIELSEN HOLDING ApS for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Brian Vahlkvist,Helge Nielsen,Helge  Nielsen,"Revisions-Centret, Registreret revisionsvirksomhed",Diba A/S,HELGE NIELSEN HOLDING ApS,Revisions-Centret,NÃ¦stved,8171.0,2012-09-30,2011-10-01,DirektÃ¸r,urn:ofk:oid:17915522,indberetninger-20180424,2.5118417999999996,29940088.0,,2018-04-01T15:11:15.630Z,2013-02-05T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-357.252,2013-02-05T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,
