entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AdjustmentsForCurrentTaxOfPriorPeriod,AverageNumberOfEmployees,ClassOfReportingEntity,CurrentTaxExpense,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DescriptionOfAuditor,EmployeeBenefitsExpense,GrossProfitLoss,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,InformationOnTypeOfSubmittedReport,InterestExpenseAssignedToGroupEnterprises,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherEmployeeExpense,OtherFinanceExpenses,OtherFinanceIncome,OtherInterestExpenses,OtherInterestIncome,PlaceOfSignatureOfStatement,PostemploymentBenefitExpense,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,SocialSecurityContributions,TaxExpenseOnOrdinaryActivities,WagesAndSalaries,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentDeferredTaxAssets,DeferredIncomeAssets,Equity,FixturesFittingsToolsAndEquipment,Inventories,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,ManufacturedGoodsAndGoodsForResale,NoncurrentAssets,OtherLongtermReceivables,PropertyPlantAndEquipment,RetainedEarnings,ShorttermDebtToBanks,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTradePayables,ShorttermTradeReceivables,NameOfAuditFirm,TypeOfAuditorAssistance,NameAndSurnameOfMemberOfExecutiveBoard
35405186,2017-01-01,2017-12-31,c175,,http://regnskaber.virk.dk/68150453/ZG9rdW1lbnRsYWdlcjovLzAzL2Q5LzhmLzg5LzZjL2MxNTUtNDAzMC04OTY5LWUzNzA0NzAzZTIwYg.pdf,http://regnskaber.virk.dk/68150453/ZG9rdW1lbnRsYWdlcjovLzAzLzNhL2E0Lzg0L2VkL2JkZTItNGJiMC1iMTQ0LTc4M2I1ZjE1MTIwMg.xml,true,Aarhus C,8000.0,29.0,Kystvejen,Aarhus C,8000.0,11.0,SÃ¸nder Alle,8240 Risskov,Brunbjergvej 1,DK-8000 Aarhus C,Kystvejen 29,-1172.0,3.0,Regnskabsklasse B,416856.0,2019-06-13,2013-07-23,2019-06-13,9214.0,Statsautoriseret revisor,2815815.0,4758459.0,20222670.0,35405186.0,20222670.0,mne32168,Ãrsrapport,7545.0,Jesper L. Christensen,RenÃ© Liendgaard Rasmussen,Spar Nord,Inter-Sign ApS,BDO Statsautoriseret revisionsaktieselskab,261558.0,56931.0,4372.0,49386.0,4372.0,Aarhus,103148.0,2017-01-01,2017-12-31,1465187.0,1880871.0,1933430.0,Aarhus,2018-12-31,2018-01-01,true,2019-06-13,Aarhus,10058.0,415684.0,2441051.0,urn:ofk:oid:27559976,indberetninger-20180424,2.5122888,35405186.0,AWt24oEBjptzAuyFipzZ,2019-06-20T21:55:07.438Z,2019-06-20T21:54:43.298Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BQ-13-LP,2019-06-20T21:54:43.518Z,,,,,,,,,,,,,,,,,,,,,,,,,,
35405186,2017-01-01,2017-12-31,c214,,http://regnskaber.virk.dk/68150453/ZG9rdW1lbnRsYWdlcjovLzAzL2Q5LzhmLzg5LzZjL2MxNTUtNDAzMC04OTY5LWUzNzA0NzAzZTIwYg.pdf,http://regnskaber.virk.dk/68150453/ZG9rdW1lbnRsYWdlcjovLzAzLzNhL2E0Lzg0L2VkL2JkZTItNGJiMC1iMTQ0LTc4M2I1ZjE1MTIwMg.xml,true,Aarhus C,8000.0,29.0,Kystvejen,Aarhus C,8000.0,11.0,SÃ¸nder Alle,8240 Risskov,Brunbjergvej 1,DK-8000 Aarhus C,Kystvejen 29,,,Regnskabsklasse B,,2019-06-13,2013-07-23,2019-06-13,,Statsautoriseret revisor,,,20222670.0,35405186.0,20222670.0,mne32168,Ãrsrapport,,Jesper L. Christensen,RenÃ© Liendgaard Rasmussen,Spar Nord,Inter-Sign ApS,BDO Statsautoriseret revisionsaktieselskab,,,,,,Aarhus,,2017-01-01,2017-12-31,1465187.0,,,Aarhus,2018-12-31,2018-01-01,true,2019-06-13,Aarhus,,,,urn:ofk:oid:27559976,indberetninger-20180424,2.5122888,35405186.0,AWt24oEBjptzAuyFipzZ,2019-06-20T21:55:07.438Z,2019-06-20T21:54:43.298Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BQ-13-LP,2019-06-20T21:54:43.518Z,,,,,,,,,,,,,,,,,,,,,,,,,,
35405186,2017-12-31,2017-12-31,c173,,http://regnskaber.virk.dk/68150453/ZG9rdW1lbnRsYWdlcjovLzAzL2Q5LzhmLzg5LzZjL2MxNTUtNDAzMC04OTY5LWUzNzA0NzAzZTIwYg.pdf,http://regnskaber.virk.dk/68150453/ZG9rdW1lbnRsYWdlcjovLzAzLzNhL2E0Lzg0L2VkL2JkZTItNGJiMC1iMTQ0LTc4M2I1ZjE1MTIwMg.xml,true,Aarhus C,8000.0,29.0,Kystvejen,Aarhus C,8000.0,11.0,SÃ¸nder Alle,8240 Risskov,Brunbjergvej 1,DK-8000 Aarhus C,Kystvejen 29,,,Regnskabsklasse B,,2019-06-13,2013-07-23,2019-06-13,,Statsautoriseret revisor,,,20222670.0,35405186.0,20222670.0,mne32168,Ãrsrapport,,Jesper L. Christensen,RenÃ© Liendgaard Rasmussen,Spar Nord,Inter-Sign ApS,BDO Statsautoriseret revisionsaktieselskab,,,,,,Aarhus,,2017-01-01,2017-12-31,,,,Aarhus,2018-12-31,2018-01-01,true,2019-06-13,Aarhus,,,,urn:ofk:oid:27559976,indberetninger-20180424,2.5122888,35405186.0,AWt24oEBjptzAuyFipzZ,2019-06-20T21:55:07.438Z,2019-06-20T21:54:43.298Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BQ-13-LP,2019-06-20T21:54:43.518Z,6971092.0,1449852.0,80000.0,539.0,37897.0,3808445.0,9215.0,2836050.0,6971092.0,3162647.0,72214.0,2836050.0,81429.0,72214.0,9215.0,3728445.0,926942.0,3162647.0,2603761.0,17806.0,78856.0,789737.0,2547519.0,,,
35405186,2018-01-01,2018-01-01,c231,,http://regnskaber.virk.dk/68150453/ZG9rdW1lbnRsYWdlcjovLzAzL2Q5LzhmLzg5LzZjL2MxNTUtNDAzMC04OTY5LWUzNzA0NzAzZTIwYg.pdf,http://regnskaber.virk.dk/68150453/ZG9rdW1lbnRsYWdlcjovLzAzLzNhL2E0Lzg0L2VkL2JkZTItNGJiMC1iMTQ0LTc4M2I1ZjE1MTIwMg.xml,true,Aarhus C,8000.0,29.0,Kystvejen,Aarhus C,8000.0,11.0,SÃ¸nder Alle,8240 Risskov,Brunbjergvej 1,DK-8000 Aarhus C,Kystvejen 29,,,Regnskabsklasse B,,2019-06-13,2013-07-23,2019-06-13,,Statsautoriseret revisor,,,20222670.0,35405186.0,20222670.0,mne32168,Ãrsrapport,,Jesper L. Christensen,RenÃ© Liendgaard Rasmussen,Spar Nord,Inter-Sign ApS,BDO Statsautoriseret revisionsaktieselskab,,,,,,Aarhus,,2017-01-01,2017-12-31,,,,Aarhus,2018-12-31,2018-01-01,true,2019-06-13,Aarhus,,,,urn:ofk:oid:27559976,indberetninger-20180424,2.5122888,35405186.0,AWt24oEBjptzAuyFipzZ,2019-06-20T21:55:07.438Z,2019-06-20T21:54:43.298Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BQ-13-LP,2019-06-20T21:54:43.518Z,,,,,,80000.0,,,,,,,,,,,,,,,,,,,,
35405186,2018-01-01,2018-01-01,c249,,http://regnskaber.virk.dk/68150453/ZG9rdW1lbnRsYWdlcjovLzAzL2Q5LzhmLzg5LzZjL2MxNTUtNDAzMC04OTY5LWUzNzA0NzAzZTIwYg.pdf,http://regnskaber.virk.dk/68150453/ZG9rdW1lbnRsYWdlcjovLzAzLzNhL2E0Lzg0L2VkL2JkZTItNGJiMC1iMTQ0LTc4M2I1ZjE1MTIwMg.xml,true,Aarhus C,8000.0,29.0,Kystvejen,Aarhus C,8000.0,11.0,SÃ¸nder Alle,8240 Risskov,Brunbjergvej 1,DK-8000 Aarhus C,Kystvejen 29,,,Regnskabsklasse B,,2019-06-13,2013-07-23,2019-06-13,,Statsautoriseret revisor,,,20222670.0,35405186.0,20222670.0,mne32168,Ãrsrapport,,Jesper L. Christensen,RenÃ© Liendgaard Rasmussen,Spar Nord,Inter-Sign ApS,BDO Statsautoriseret revisionsaktieselskab,,,,,,Aarhus,,2017-01-01,2017-12-31,,,,Aarhus,2018-12-31,2018-01-01,true,2019-06-13,Aarhus,,,,urn:ofk:oid:27559976,indberetninger-20180424,2.5122888,35405186.0,AWt24oEBjptzAuyFipzZ,2019-06-20T21:55:07.438Z,2019-06-20T21:54:43.298Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BQ-13-LP,2019-06-20T21:54:43.518Z,,,,,,3728446.0,,,,,,,,,,,,,,,,,,,,
35405186,2018-01-01,2018-12-31,c174,,http://regnskaber.virk.dk/68150453/ZG9rdW1lbnRsYWdlcjovLzAzL2Q5LzhmLzg5LzZjL2MxNTUtNDAzMC04OTY5LWUzNzA0NzAzZTIwYg.pdf,http://regnskaber.virk.dk/68150453/ZG9rdW1lbnRsYWdlcjovLzAzLzNhL2E0Lzg0L2VkL2JkZTItNGJiMC1iMTQ0LTc4M2I1ZjE1MTIwMg.xml,true,Aarhus C,8000.0,29.0,Kystvejen,Aarhus C,8000.0,11.0,SÃ¸nder Alle,8240 Risskov,Brunbjergvej 1,DK-8000 Aarhus C,Kystvejen 29,539.0,3.0,Regnskabsklasse B,317446.0,2019-06-13,2013-07-23,2019-06-13,9215.0,Statsautoriseret revisor,2815373.0,4275490.0,20222670.0,35405186.0,20222670.0,mne32168,Ãrsrapport,0.0,Jesper L. Christensen,RenÃ© Liendgaard Rasmussen,Spar Nord,Inter-Sign ApS,BDO Statsautoriseret revisionsaktieselskab,288800.0,38560.0,0.0,38560.0,0.0,Aarhus,7553.0,2017-01-01,2017-12-31,1094357.0,1412342.0,1450902.0,Aarhus,2018-12-31,2018-01-01,true,2019-06-13,Aarhus,12840.0,317985.0,2506180.0,urn:ofk:oid:27559976,indberetninger-20180424,2.5122888,35405186.0,AWt24oEBjptzAuyFipzZ,2019-06-20T21:55:07.438Z,2019-06-20T21:54:43.298Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BQ-13-LP,2019-06-20T21:54:43.518Z,,,,,,,,,,,,,,,,,,,,,,,,BDO Statsautoriseret revisionsaktieselskab,ErklÃ¦ring om udvidet gennemgang,
35405186,2018-01-01,2018-12-31,c213,,http://regnskaber.virk.dk/68150453/ZG9rdW1lbnRsYWdlcjovLzAzL2Q5LzhmLzg5LzZjL2MxNTUtNDAzMC04OTY5LWUzNzA0NzAzZTIwYg.pdf,http://regnskaber.virk.dk/68150453/ZG9rdW1lbnRsYWdlcjovLzAzLzNhL2E0Lzg0L2VkL2JkZTItNGJiMC1iMTQ0LTc4M2I1ZjE1MTIwMg.xml,true,Aarhus C,8000.0,29.0,Kystvejen,Aarhus C,8000.0,11.0,SÃ¸nder Alle,8240 Risskov,Brunbjergvej 1,DK-8000 Aarhus C,Kystvejen 29,,,Regnskabsklasse B,,2019-06-13,2013-07-23,2019-06-13,,Statsautoriseret revisor,,,20222670.0,35405186.0,20222670.0,mne32168,Ãrsrapport,,Jesper L. Christensen,RenÃ© Liendgaard Rasmussen,Spar Nord,Inter-Sign ApS,BDO Statsautoriseret revisionsaktieselskab,,,,,,Aarhus,,2017-01-01,2017-12-31,1094357.0,,,Aarhus,2018-12-31,2018-01-01,true,2019-06-13,Aarhus,,,,urn:ofk:oid:27559976,indberetninger-20180424,2.5122888,35405186.0,AWt24oEBjptzAuyFipzZ,2019-06-20T21:55:07.438Z,2019-06-20T21:54:43.298Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BQ-13-LP,2019-06-20T21:54:43.518Z,,,,,,,,,,,,,,,,,,,,,,,,,,
35405186,2018-01-01,2018-12-31,c248,,http://regnskaber.virk.dk/68150453/ZG9rdW1lbnRsYWdlcjovLzAzL2Q5LzhmLzg5LzZjL2MxNTUtNDAzMC04OTY5LWUzNzA0NzAzZTIwYg.pdf,http://regnskaber.virk.dk/68150453/ZG9rdW1lbnRsYWdlcjovLzAzLzNhL2E0Lzg0L2VkL2JkZTItNGJiMC1iMTQ0LTc4M2I1ZjE1MTIwMg.xml,true,Aarhus C,8000.0,29.0,Kystvejen,Aarhus C,8000.0,11.0,SÃ¸nder Alle,8240 Risskov,Brunbjergvej 1,DK-8000 Aarhus C,Kystvejen 29,,,Regnskabsklasse B,,2019-06-13,2013-07-23,2019-06-13,,Statsautoriseret revisor,,,20222670.0,35405186.0,20222670.0,mne32168,Ãrsrapport,,Jesper L. Christensen,RenÃ© Liendgaard Rasmussen,Spar Nord,Inter-Sign ApS,BDO Statsautoriseret revisionsaktieselskab,,,,,,Aarhus,,2017-01-01,2017-12-31,1094357.0,,,Aarhus,2018-12-31,2018-01-01,true,2019-06-13,Aarhus,,,,urn:ofk:oid:27559976,indberetninger-20180424,2.5122888,35405186.0,AWt24oEBjptzAuyFipzZ,2019-06-20T21:55:07.438Z,2019-06-20T21:54:43.298Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BQ-13-LP,2019-06-20T21:54:43.518Z,,,,,,,,,,,,,,,,,,,,,,,,,,
35405186,2018-01-01,2018-12-31,c307,,http://regnskaber.virk.dk/68150453/ZG9rdW1lbnRsYWdlcjovLzAzL2Q5LzhmLzg5LzZjL2MxNTUtNDAzMC04OTY5LWUzNzA0NzAzZTIwYg.pdf,http://regnskaber.virk.dk/68150453/ZG9rdW1lbnRsYWdlcjovLzAzLzNhL2E0Lzg0L2VkL2JkZTItNGJiMC1iMTQ0LTc4M2I1ZjE1MTIwMg.xml,true,Aarhus C,8000.0,29.0,Kystvejen,Aarhus C,8000.0,11.0,SÃ¸nder Alle,8240 Risskov,Brunbjergvej 1,DK-8000 Aarhus C,Kystvejen 29,,,Regnskabsklasse B,,2019-06-13,2013-07-23,2019-06-13,,Statsautoriseret revisor,,,20222670.0,35405186.0,20222670.0,mne32168,Ãrsrapport,,Jesper L. Christensen,RenÃ© Liendgaard Rasmussen,Spar Nord,Inter-Sign ApS,BDO Statsautoriseret revisionsaktieselskab,,,,,,Aarhus,,2017-01-01,2017-12-31,,,,Aarhus,2018-12-31,2018-01-01,true,2019-06-13,Aarhus,,,,urn:ofk:oid:27559976,indberetninger-20180424,2.5122888,35405186.0,AWt24oEBjptzAuyFipzZ,2019-06-20T21:55:07.438Z,2019-06-20T21:54:43.298Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BQ-13-LP,2019-06-20T21:54:43.518Z,,,,,,,,,,,,,,,,,,,,,,,,BDO Statsautoriseret revisionsaktieselskab,,
35405186,2018-01-01,2018-12-31,c727,,http://regnskaber.virk.dk/68150453/ZG9rdW1lbnRsYWdlcjovLzAzL2Q5LzhmLzg5LzZjL2MxNTUtNDAzMC04OTY5LWUzNzA0NzAzZTIwYg.pdf,http://regnskaber.virk.dk/68150453/ZG9rdW1lbnRsYWdlcjovLzAzLzNhL2E0Lzg0L2VkL2JkZTItNGJiMC1iMTQ0LTc4M2I1ZjE1MTIwMg.xml,true,Aarhus C,8000.0,29.0,Kystvejen,Aarhus C,8000.0,11.0,SÃ¸nder Alle,8240 Risskov,Brunbjergvej 1,DK-8000 Aarhus C,Kystvejen 29,,,Regnskabsklasse B,,2019-06-13,2013-07-23,2019-06-13,,Statsautoriseret revisor,,,20222670.0,35405186.0,20222670.0,mne32168,Ãrsrapport,,Jesper L. Christensen,RenÃ© Liendgaard Rasmussen,Spar Nord,Inter-Sign ApS,BDO Statsautoriseret revisionsaktieselskab,,,,,,Aarhus,,2017-01-01,2017-12-31,,,,Aarhus,2018-12-31,2018-01-01,true,2019-06-13,Aarhus,,,,urn:ofk:oid:27559976,indberetninger-20180424,2.5122888,35405186.0,AWt24oEBjptzAuyFipzZ,2019-06-20T21:55:07.438Z,2019-06-20T21:54:43.298Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BQ-13-LP,2019-06-20T21:54:43.518Z,,,,,,,,,,,,,,,,,,,,,,,,,,RenÃ© Liendgaard Rasmussen
