entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfFinancialInstitutionPostcodeAndTown,AddressOfFinancialInstitutionStreetAndNumber,AddressOfLawFirmPostcodeAndTown,AddressOfLawFirmStreetAndNumber,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,EmailOfReportingEntity,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfFinancialInstitution,NameOfLawFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,ProfitLoss,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TitleOfMemberOfExecutiveBoard,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GrossProfitLoss,OtherFinanceExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,DeferredIncomeAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,NoncurrentAssets,OtherShorttermInvestments,OtherShorttermPayables,PlantAndMachinery,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermDebtToBanks,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermTaxPayables,ShorttermTaxReceivables,ShorttermTradePayables,ShorttermTradeReceivables
21325635,2011-07-01,2012-06-30,ID_10,http://regnskaber.virk.dk/53652312/Y3ZyLmRrOi8vcGRmcy8yMTMyNTYzNTtBcFMyNTExNDY7MjAxMjA3MDE7MjAxMzA2MzA7UjtS.pdf,http://regnskaber.virk.dk/53652312/Y3ZyLmRrOi8veGJybHMvWC05RUYwRDZEOC0yMDEzMTEwN18xOTI1MzhfNDY4.xml,"Herning, 7400",Torvet 18,"7400, Herning",Engdahlvej 12 A,"Frederiksberg C, 1903",Sankt Knuds Vej 3,"7400, Herning",Hans Egedes Vej 20,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,1998-12-01,2013-11-07,Registreret revisor,steen@elcorazon.dk,29509026.0,21325635.0,29509026.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2012 - 30. juni 2013 for El CorazÃ³n ApS.,Ãrsrapport,Bent Frandsen,Steen Gyldendal,Steen Gyldendal,"B. F. RÃ¥dgivning Herning ApS, registreret revisor FSR - danske revisorer",RingkÃ¸bing Landbobank,Advokat Martin Hjelm Kristensen,El CorazÃ³n ApS,"B. F. RÃ¥dgivning Herning ApS, registreret revisor FSR - danske revisorer",0.0,2013-06-30,2012-07-01,2013-10-28,Herning,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",DirektÃ¸r,urn:ofk:oid:13952540,indberetninger-20180424,2.5118406,21325635.0,,2018-04-01T16:49:40.953Z,2013-11-08T23:00:00.000Z,regnskab,0.0,,2013-06-30,2012-07-01,13-272.024,2013-11-08T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21325635,2011-07-01,2012-06-30,ID_12,http://regnskaber.virk.dk/53652312/Y3ZyLmRrOi8vcGRmcy8yMTMyNTYzNTtBcFMyNTExNDY7MjAxMjA3MDE7MjAxMzA2MzA7UjtS.pdf,http://regnskaber.virk.dk/53652312/Y3ZyLmRrOi8veGJybHMvWC05RUYwRDZEOC0yMDEzMTEwN18xOTI1MzhfNDY4.xml,"Herning, 7400",Torvet 18,"7400, Herning",Engdahlvej 12 A,"Frederiksberg C, 1903",Sankt Knuds Vej 3,"7400, Herning",Hans Egedes Vej 20,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,1998-12-01,2013-11-07,Registreret revisor,steen@elcorazon.dk,29509026.0,21325635.0,29509026.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2012 - 30. juni 2013 for El CorazÃ³n ApS.,Ãrsrapport,Bent Frandsen,Steen Gyldendal,Steen Gyldendal,"B. F. RÃ¥dgivning Herning ApS, registreret revisor FSR - danske revisorer",RingkÃ¸bing Landbobank,Advokat Martin Hjelm Kristensen,El CorazÃ³n ApS,"B. F. RÃ¥dgivning Herning ApS, registreret revisor FSR - danske revisorer",29588.0,2013-06-30,2012-07-01,2013-10-28,Herning,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",DirektÃ¸r,urn:ofk:oid:13952540,indberetninger-20180424,2.5118406,21325635.0,,2018-04-01T16:49:40.953Z,2013-11-08T23:00:00.000Z,regnskab,0.0,,2013-06-30,2012-07-01,13-272.024,2013-11-08T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21325635,2011-07-01,2012-06-30,ID_14,http://regnskaber.virk.dk/53652312/Y3ZyLmRrOi8vcGRmcy8yMTMyNTYzNTtBcFMyNTExNDY7MjAxMjA3MDE7MjAxMzA2MzA7UjtS.pdf,http://regnskaber.virk.dk/53652312/Y3ZyLmRrOi8veGJybHMvWC05RUYwRDZEOC0yMDEzMTEwN18xOTI1MzhfNDY4.xml,"Herning, 7400",Torvet 18,"7400, Herning",Engdahlvej 12 A,"Frederiksberg C, 1903",Sankt Knuds Vej 3,"7400, Herning",Hans Egedes Vej 20,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,1998-12-01,2013-11-07,Registreret revisor,steen@elcorazon.dk,29509026.0,21325635.0,29509026.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2012 - 30. juni 2013 for El CorazÃ³n ApS.,Ãrsrapport,Bent Frandsen,Steen Gyldendal,Steen Gyldendal,"B. F. RÃ¥dgivning Herning ApS, registreret revisor FSR - danske revisorer",RingkÃ¸bing Landbobank,Advokat Martin Hjelm Kristensen,El CorazÃ³n ApS,"B. F. RÃ¥dgivning Herning ApS, registreret revisor FSR - danske revisorer",29588.0,2013-06-30,2012-07-01,2013-10-28,Herning,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",DirektÃ¸r,urn:ofk:oid:13952540,indberetninger-20180424,2.5118406,21325635.0,,2018-04-01T16:49:40.953Z,2013-11-08T23:00:00.000Z,regnskab,0.0,,2013-06-30,2012-07-01,13-272.024,2013-11-08T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21325635,2011-07-01,2012-06-30,ID_8,http://regnskaber.virk.dk/53652312/Y3ZyLmRrOi8vcGRmcy8yMTMyNTYzNTtBcFMyNTExNDY7MjAxMjA3MDE7MjAxMzA2MzA7UjtS.pdf,http://regnskaber.virk.dk/53652312/Y3ZyLmRrOi8veGJybHMvWC05RUYwRDZEOC0yMDEzMTEwN18xOTI1MzhfNDY4.xml,"Herning, 7400",Torvet 18,"7400, Herning",Engdahlvej 12 A,"Frederiksberg C, 1903",Sankt Knuds Vej 3,"7400, Herning",Hans Egedes Vej 20,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,1998-12-01,2013-11-07,Registreret revisor,steen@elcorazon.dk,29509026.0,21325635.0,29509026.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2012 - 30. juni 2013 for El CorazÃ³n ApS.,Ãrsrapport,Bent Frandsen,Steen Gyldendal,Steen Gyldendal,"B. F. RÃ¥dgivning Herning ApS, registreret revisor FSR - danske revisorer",RingkÃ¸bing Landbobank,Advokat Martin Hjelm Kristensen,El CorazÃ³n ApS,"B. F. RÃ¥dgivning Herning ApS, registreret revisor FSR - danske revisorer",-29588.0,2013-06-30,2012-07-01,2013-10-28,Herning,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",DirektÃ¸r,urn:ofk:oid:13952540,indberetninger-20180424,2.5118406,21325635.0,,2018-04-01T16:49:40.953Z,2013-11-08T23:00:00.000Z,regnskab,0.0,,2013-06-30,2012-07-01,13-272.024,2013-11-08T23:00:00.000Z,22883.0,552071.0,-616920.0,12467.0,-21345.0,-50844.0,-41966.0,21256.0,,,,,,,,,,,,,,,,,,,,,,,,,
21325635,2012-06-30,2012-06-30,ID_16,http://regnskaber.virk.dk/53652312/Y3ZyLmRrOi8vcGRmcy8yMTMyNTYzNTtBcFMyNTExNDY7MjAxMjA3MDE7MjAxMzA2MzA7UjtS.pdf,http://regnskaber.virk.dk/53652312/Y3ZyLmRrOi8veGJybHMvWC05RUYwRDZEOC0yMDEzMTEwN18xOTI1MzhfNDY4.xml,"Herning, 7400",Torvet 18,"7400, Herning",Engdahlvej 12 A,"Frederiksberg C, 1903",Sankt Knuds Vej 3,"7400, Herning",Hans Egedes Vej 20,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,1998-12-01,2013-11-07,Registreret revisor,steen@elcorazon.dk,29509026.0,21325635.0,29509026.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2012 - 30. juni 2013 for El CorazÃ³n ApS.,Ãrsrapport,Bent Frandsen,Steen Gyldendal,Steen Gyldendal,"B. F. RÃ¥dgivning Herning ApS, registreret revisor FSR - danske revisorer",RingkÃ¸bing Landbobank,Advokat Martin Hjelm Kristensen,El CorazÃ³n ApS,"B. F. RÃ¥dgivning Herning ApS, registreret revisor FSR - danske revisorer",,2013-06-30,2012-07-01,2013-10-28,Herning,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",DirektÃ¸r,urn:ofk:oid:13952540,indberetninger-20180424,2.5118406,21325635.0,,2018-04-01T16:49:40.953Z,2013-11-08T23:00:00.000Z,regnskab,0.0,,2013-06-30,2012-07-01,13-272.024,2013-11-08T23:00:00.000Z,,,,,,,,,710604.0,1130.0,-125000.0,676675.0,52097.0,4471.0,-408073.0,-710604.0,-302531.0,33929.0,263353.0,-228093.0,33929.0,33929.0,0.0,-283073.0,-11706.0,263353.0,-302531.0,-62474.0,412192.0,-258.0,15883.0,0.0,339741.0
21325635,2012-07-01,2013-06-30,ID_0,http://regnskaber.virk.dk/53652312/Y3ZyLmRrOi8vcGRmcy8yMTMyNTYzNTtBcFMyNTExNDY7MjAxMjA3MDE7MjAxMzA2MzA7UjtS.pdf,http://regnskaber.virk.dk/53652312/Y3ZyLmRrOi8veGJybHMvWC05RUYwRDZEOC0yMDEzMTEwN18xOTI1MzhfNDY4.xml,"Herning, 7400",Torvet 18,"7400, Herning",Engdahlvej 12 A,"Frederiksberg C, 1903",Sankt Knuds Vej 3,"7400, Herning",Hans Egedes Vej 20,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,1998-12-01,2013-11-07,Registreret revisor,steen@elcorazon.dk,29509026.0,21325635.0,29509026.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2012 - 30. juni 2013 for El CorazÃ³n ApS.,Ãrsrapport,Bent Frandsen,Steen Gyldendal,Steen Gyldendal,"B. F. RÃ¥dgivning Herning ApS, registreret revisor FSR - danske revisorer",RingkÃ¸bing Landbobank,Advokat Martin Hjelm Kristensen,El CorazÃ³n ApS,"B. F. RÃ¥dgivning Herning ApS, registreret revisor FSR - danske revisorer",,2013-06-30,2012-07-01,2013-10-28,Herning,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",DirektÃ¸r,urn:ofk:oid:13952540,indberetninger-20180424,2.5118406,21325635.0,,2018-04-01T16:49:40.953Z,2013-11-08T23:00:00.000Z,regnskab,0.0,,2013-06-30,2012-07-01,13-272.024,2013-11-08T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21325635,2012-07-01,2013-06-30,ID_1,http://regnskaber.virk.dk/53652312/Y3ZyLmRrOi8vcGRmcy8yMTMyNTYzNTtBcFMyNTExNDY7MjAxMjA3MDE7MjAxMzA2MzA7UjtS.pdf,http://regnskaber.virk.dk/53652312/Y3ZyLmRrOi8veGJybHMvWC05RUYwRDZEOC0yMDEzMTEwN18xOTI1MzhfNDY4.xml,"Herning, 7400",Torvet 18,"7400, Herning",Engdahlvej 12 A,"Frederiksberg C, 1903",Sankt Knuds Vej 3,"7400, Herning",Hans Egedes Vej 20,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,1998-12-01,2013-11-07,Registreret revisor,steen@elcorazon.dk,29509026.0,21325635.0,29509026.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2012 - 30. juni 2013 for El CorazÃ³n ApS.,Ãrsrapport,Bent Frandsen,Steen Gyldendal,Steen Gyldendal,"B. F. RÃ¥dgivning Herning ApS, registreret revisor FSR - danske revisorer",RingkÃ¸bing Landbobank,Advokat Martin Hjelm Kristensen,El CorazÃ³n ApS,"B. F. RÃ¥dgivning Herning ApS, registreret revisor FSR - danske revisorer",,2013-06-30,2012-07-01,2013-10-28,Herning,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",DirektÃ¸r,urn:ofk:oid:13952540,indberetninger-20180424,2.5118406,21325635.0,,2018-04-01T16:49:40.953Z,2013-11-08T23:00:00.000Z,regnskab,0.0,,2013-06-30,2012-07-01,13-272.024,2013-11-08T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21325635,2012-07-01,2013-06-30,ID_11,http://regnskaber.virk.dk/53652312/Y3ZyLmRrOi8vcGRmcy8yMTMyNTYzNTtBcFMyNTExNDY7MjAxMjA3MDE7MjAxMzA2MzA7UjtS.pdf,http://regnskaber.virk.dk/53652312/Y3ZyLmRrOi8veGJybHMvWC05RUYwRDZEOC0yMDEzMTEwN18xOTI1MzhfNDY4.xml,"Herning, 7400",Torvet 18,"7400, Herning",Engdahlvej 12 A,"Frederiksberg C, 1903",Sankt Knuds Vej 3,"7400, Herning",Hans Egedes Vej 20,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,1998-12-01,2013-11-07,Registreret revisor,steen@elcorazon.dk,29509026.0,21325635.0,29509026.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2012 - 30. juni 2013 for El CorazÃ³n ApS.,Ãrsrapport,Bent Frandsen,Steen Gyldendal,Steen Gyldendal,"B. F. RÃ¥dgivning Herning ApS, registreret revisor FSR - danske revisorer",RingkÃ¸bing Landbobank,Advokat Martin Hjelm Kristensen,El CorazÃ³n ApS,"B. F. RÃ¥dgivning Herning ApS, registreret revisor FSR - danske revisorer",0.0,2013-06-30,2012-07-01,2013-10-28,Herning,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",DirektÃ¸r,urn:ofk:oid:13952540,indberetninger-20180424,2.5118406,21325635.0,,2018-04-01T16:49:40.953Z,2013-11-08T23:00:00.000Z,regnskab,0.0,,2013-06-30,2012-07-01,13-272.024,2013-11-08T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21325635,2012-07-01,2013-06-30,ID_13,http://regnskaber.virk.dk/53652312/Y3ZyLmRrOi8vcGRmcy8yMTMyNTYzNTtBcFMyNTExNDY7MjAxMjA3MDE7MjAxMzA2MzA7UjtS.pdf,http://regnskaber.virk.dk/53652312/Y3ZyLmRrOi8veGJybHMvWC05RUYwRDZEOC0yMDEzMTEwN18xOTI1MzhfNDY4.xml,"Herning, 7400",Torvet 18,"7400, Herning",Engdahlvej 12 A,"Frederiksberg C, 1903",Sankt Knuds Vej 3,"7400, Herning",Hans Egedes Vej 20,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,1998-12-01,2013-11-07,Registreret revisor,steen@elcorazon.dk,29509026.0,21325635.0,29509026.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2012 - 30. juni 2013 for El CorazÃ³n ApS.,Ãrsrapport,Bent Frandsen,Steen Gyldendal,Steen Gyldendal,"B. F. RÃ¥dgivning Herning ApS, registreret revisor FSR - danske revisorer",RingkÃ¸bing Landbobank,Advokat Martin Hjelm Kristensen,El CorazÃ³n ApS,"B. F. RÃ¥dgivning Herning ApS, registreret revisor FSR - danske revisorer",173512.0,2013-06-30,2012-07-01,2013-10-28,Herning,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",DirektÃ¸r,urn:ofk:oid:13952540,indberetninger-20180424,2.5118406,21325635.0,,2018-04-01T16:49:40.953Z,2013-11-08T23:00:00.000Z,regnskab,0.0,,2013-06-30,2012-07-01,13-272.024,2013-11-08T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21325635,2012-07-01,2013-06-30,ID_17,http://regnskaber.virk.dk/53652312/Y3ZyLmRrOi8vcGRmcy8yMTMyNTYzNTtBcFMyNTExNDY7MjAxMjA3MDE7MjAxMzA2MzA7UjtS.pdf,http://regnskaber.virk.dk/53652312/Y3ZyLmRrOi8veGJybHMvWC05RUYwRDZEOC0yMDEzMTEwN18xOTI1MzhfNDY4.xml,"Herning, 7400",Torvet 18,"7400, Herning",Engdahlvej 12 A,"Frederiksberg C, 1903",Sankt Knuds Vej 3,"7400, Herning",Hans Egedes Vej 20,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,1998-12-01,2013-11-07,Registreret revisor,steen@elcorazon.dk,29509026.0,21325635.0,29509026.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2012 - 30. juni 2013 for El CorazÃ³n ApS.,Ãrsrapport,Bent Frandsen,Steen Gyldendal,Steen Gyldendal,"B. F. RÃ¥dgivning Herning ApS, registreret revisor FSR - danske revisorer",RingkÃ¸bing Landbobank,Advokat Martin Hjelm Kristensen,El CorazÃ³n ApS,"B. F. RÃ¥dgivning Herning ApS, registreret revisor FSR - danske revisorer",,2013-06-30,2012-07-01,2013-10-28,Herning,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",DirektÃ¸r,urn:ofk:oid:13952540,indberetninger-20180424,2.5118406,21325635.0,,2018-04-01T16:49:40.953Z,2013-11-08T23:00:00.000Z,regnskab,0.0,,2013-06-30,2012-07-01,13-272.024,2013-11-08T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
