entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,Assets,AuditorsReportOnFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,Equity,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,IdentificationOfAuditedFinancialStatements,InformationOnTypeOfSubmittedReport,LiabilitiesAndEquity,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,NameAndSurnameOfMemberOfSupervisoryBoard,TitleOfMemberOfSupervisoryBoard,NameAndSurnameOfMemberOfExecutiveBoard
25448790,2014-10-01,2015-09-30,ID_0,,http://regnskaber.virk.dk/09784452/ZG9rdW1lbnRsYWdlcjovLzAzLzZjL2JjLzhhLzI3LzAzM2MtNGJhNS1hZmE0LWVkYzUyMjQ0ZTQ1ZQ.pdf,http://regnskaber.virk.dk/09784452/ZG9rdW1lbnRsYWdlcjovLzAzLzg5L2QzL2E4LzRkLzNmZGMtNDcxNy1hMzI3LTlmMDUxY2U5MjVkNw.xml,"2730, Herlev",LyskÃ¦r 3 CD,To the shareholders of Avaya Denmark ApS,0.0,Report on the Financial Statements,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 30 September 2015 and of the results of the Company's operations for the financial year 1 October 2014 - 30 September 2015.",2016-02-10,2000-06-14,2016-02-10,0.0,25448790.0,20222670.0,"Today, Management has considered and adopted the Annual Report of Avaya Denmark ApS for the financial year 1 October 2014 - 30 September 2015.","We have audited the Financial Statements of Avaya Denmark ApS for the financial year 1 October 2014 - 30 September 2015 comprising Accounting Policies, Income Statement, Balance Sheet and Notes. The Annual Report is presented in accordance with the Danish Financial Statements Act.",Ãrsrapport,0.0,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Jesper Larsen,Avaya Denmark ApS,Visma Services Danmark A/S,"Copenhagen, 10 February 2016",2013-10-01,2014-09-30,0.0,We recommend that the Annual Report be adopted at the Annual General Meeting.,"101, KÃ¸benhavn",2015-09-30,2014-10-01,2016-02-10,Copenhagen,Managing Director,RevisionspÃ¥tegning,urn:ofk:oid:22036897,indberetninger-20180424,2.5097342,25448790.0,,2018-03-28T23:06:30.214Z,2016-02-29T11:31:46.032Z,regnskab,0.0,,2015-09-30,2014-10-01,X16-AR-14-VV,2016-02-29T11:31:46.155Z,,,
25448790,2014-10-01,2015-09-30,ID_1,,http://regnskaber.virk.dk/09784452/ZG9rdW1lbnRsYWdlcjovLzAzLzZjL2JjLzhhLzI3LzAzM2MtNGJhNS1hZmE0LWVkYzUyMjQ0ZTQ1ZQ.pdf,http://regnskaber.virk.dk/09784452/ZG9rdW1lbnRsYWdlcjovLzAzLzg5L2QzL2E4LzRkLzNmZGMtNDcxNy1hMzI3LTlmMDUxY2U5MjVkNw.xml,"2730, Herlev",LyskÃ¦r 3 CD,To the shareholders of Avaya Denmark ApS,0.0,Report on the Financial Statements,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 30 September 2015 and of the results of the Company's operations for the financial year 1 October 2014 - 30 September 2015.",2016-02-10,2000-06-14,2016-02-10,0.0,25448790.0,20222670.0,"Today, Management has considered and adopted the Annual Report of Avaya Denmark ApS for the financial year 1 October 2014 - 30 September 2015.","We have audited the Financial Statements of Avaya Denmark ApS for the financial year 1 October 2014 - 30 September 2015 comprising Accounting Policies, Income Statement, Balance Sheet and Notes. The Annual Report is presented in accordance with the Danish Financial Statements Act.",Ãrsrapport,0.0,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Jesper Larsen,Avaya Denmark ApS,Visma Services Danmark A/S,"Copenhagen, 10 February 2016",2013-10-01,2014-09-30,0.0,We recommend that the Annual Report be adopted at the Annual General Meeting.,"101, KÃ¸benhavn",2015-09-30,2014-10-01,2016-02-10,Copenhagen,Managing Director,RevisionspÃ¥tegning,urn:ofk:oid:22036897,indberetninger-20180424,2.5097342,25448790.0,,2018-03-28T23:06:30.214Z,2016-02-29T11:31:46.032Z,regnskab,0.0,,2015-09-30,2014-10-01,X16-AR-14-VV,2016-02-29T11:31:46.155Z,,,
25448790,2014-10-01,2015-09-30,ID_10,,http://regnskaber.virk.dk/09784452/ZG9rdW1lbnRsYWdlcjovLzAzLzZjL2JjLzhhLzI3LzAzM2MtNGJhNS1hZmE0LWVkYzUyMjQ0ZTQ1ZQ.pdf,http://regnskaber.virk.dk/09784452/ZG9rdW1lbnRsYWdlcjovLzAzLzg5L2QzL2E4LzRkLzNmZGMtNDcxNy1hMzI3LTlmMDUxY2U5MjVkNw.xml,"2730, Herlev",LyskÃ¦r 3 CD,To the shareholders of Avaya Denmark ApS,0.0,Report on the Financial Statements,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 30 September 2015 and of the results of the Company's operations for the financial year 1 October 2014 - 30 September 2015.",2016-02-10,2000-06-14,2016-02-10,0.0,25448790.0,20222670.0,"Today, Management has considered and adopted the Annual Report of Avaya Denmark ApS for the financial year 1 October 2014 - 30 September 2015.","We have audited the Financial Statements of Avaya Denmark ApS for the financial year 1 October 2014 - 30 September 2015 comprising Accounting Policies, Income Statement, Balance Sheet and Notes. The Annual Report is presented in accordance with the Danish Financial Statements Act.",Ãrsrapport,0.0,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Jesper Larsen,Avaya Denmark ApS,Visma Services Danmark A/S,"Copenhagen, 10 February 2016",2013-10-01,2014-09-30,0.0,We recommend that the Annual Report be adopted at the Annual General Meeting.,"101, KÃ¸benhavn",2015-09-30,2014-10-01,2016-02-10,Copenhagen,Managing Director,RevisionspÃ¥tegning,urn:ofk:oid:22036897,indberetninger-20180424,2.5097342,25448790.0,,2018-03-28T23:06:30.214Z,2016-02-29T11:31:46.032Z,regnskab,0.0,,2015-09-30,2014-10-01,X16-AR-14-VV,2016-02-29T11:31:46.155Z,,,
25448790,2014-10-01,2015-09-30,ID_11,,http://regnskaber.virk.dk/09784452/ZG9rdW1lbnRsYWdlcjovLzAzLzZjL2JjLzhhLzI3LzAzM2MtNGJhNS1hZmE0LWVkYzUyMjQ0ZTQ1ZQ.pdf,http://regnskaber.virk.dk/09784452/ZG9rdW1lbnRsYWdlcjovLzAzLzg5L2QzL2E4LzRkLzNmZGMtNDcxNy1hMzI3LTlmMDUxY2U5MjVkNw.xml,"2730, Herlev",LyskÃ¦r 3 CD,To the shareholders of Avaya Denmark ApS,0.0,Report on the Financial Statements,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 30 September 2015 and of the results of the Company's operations for the financial year 1 October 2014 - 30 September 2015.",2016-02-10,2000-06-14,2016-02-10,0.0,25448790.0,20222670.0,"Today, Management has considered and adopted the Annual Report of Avaya Denmark ApS for the financial year 1 October 2014 - 30 September 2015.","We have audited the Financial Statements of Avaya Denmark ApS for the financial year 1 October 2014 - 30 September 2015 comprising Accounting Policies, Income Statement, Balance Sheet and Notes. The Annual Report is presented in accordance with the Danish Financial Statements Act.",Ãrsrapport,0.0,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Jesper Larsen,Avaya Denmark ApS,Visma Services Danmark A/S,"Copenhagen, 10 February 2016",2013-10-01,2014-09-30,0.0,We recommend that the Annual Report be adopted at the Annual General Meeting.,"101, KÃ¸benhavn",2015-09-30,2014-10-01,2016-02-10,Copenhagen,Managing Director,RevisionspÃ¥tegning,urn:ofk:oid:22036897,indberetninger-20180424,2.5097342,25448790.0,,2018-03-28T23:06:30.214Z,2016-02-29T11:31:46.032Z,regnskab,0.0,,2015-09-30,2014-10-01,X16-AR-14-VV,2016-02-29T11:31:46.155Z,,,
25448790,2014-10-01,2015-09-30,ID_12,,http://regnskaber.virk.dk/09784452/ZG9rdW1lbnRsYWdlcjovLzAzLzZjL2JjLzhhLzI3LzAzM2MtNGJhNS1hZmE0LWVkYzUyMjQ0ZTQ1ZQ.pdf,http://regnskaber.virk.dk/09784452/ZG9rdW1lbnRsYWdlcjovLzAzLzg5L2QzL2E4LzRkLzNmZGMtNDcxNy1hMzI3LTlmMDUxY2U5MjVkNw.xml,"2730, Herlev",LyskÃ¦r 3 CD,To the shareholders of Avaya Denmark ApS,0.0,Report on the Financial Statements,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 30 September 2015 and of the results of the Company's operations for the financial year 1 October 2014 - 30 September 2015.",2016-02-10,2000-06-14,2016-02-10,0.0,25448790.0,20222670.0,"Today, Management has considered and adopted the Annual Report of Avaya Denmark ApS for the financial year 1 October 2014 - 30 September 2015.","We have audited the Financial Statements of Avaya Denmark ApS for the financial year 1 October 2014 - 30 September 2015 comprising Accounting Policies, Income Statement, Balance Sheet and Notes. The Annual Report is presented in accordance with the Danish Financial Statements Act.",Ãrsrapport,0.0,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Jesper Larsen,Avaya Denmark ApS,Visma Services Danmark A/S,"Copenhagen, 10 February 2016",2013-10-01,2014-09-30,0.0,We recommend that the Annual Report be adopted at the Annual General Meeting.,"101, KÃ¸benhavn",2015-09-30,2014-10-01,2016-02-10,Copenhagen,Managing Director,RevisionspÃ¥tegning,urn:ofk:oid:22036897,indberetninger-20180424,2.5097342,25448790.0,,2018-03-28T23:06:30.214Z,2016-02-29T11:31:46.032Z,regnskab,0.0,,2015-09-30,2014-10-01,X16-AR-14-VV,2016-02-29T11:31:46.155Z,,,
25448790,2014-10-01,2015-09-30,ID_13,,http://regnskaber.virk.dk/09784452/ZG9rdW1lbnRsYWdlcjovLzAzLzZjL2JjLzhhLzI3LzAzM2MtNGJhNS1hZmE0LWVkYzUyMjQ0ZTQ1ZQ.pdf,http://regnskaber.virk.dk/09784452/ZG9rdW1lbnRsYWdlcjovLzAzLzg5L2QzL2E4LzRkLzNmZGMtNDcxNy1hMzI3LTlmMDUxY2U5MjVkNw.xml,"2730, Herlev",LyskÃ¦r 3 CD,To the shareholders of Avaya Denmark ApS,0.0,Report on the Financial Statements,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 30 September 2015 and of the results of the Company's operations for the financial year 1 October 2014 - 30 September 2015.",2016-02-10,2000-06-14,2016-02-10,0.0,25448790.0,20222670.0,"Today, Management has considered and adopted the Annual Report of Avaya Denmark ApS for the financial year 1 October 2014 - 30 September 2015.","We have audited the Financial Statements of Avaya Denmark ApS for the financial year 1 October 2014 - 30 September 2015 comprising Accounting Policies, Income Statement, Balance Sheet and Notes. The Annual Report is presented in accordance with the Danish Financial Statements Act.",Ãrsrapport,0.0,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Jesper Larsen,Avaya Denmark ApS,Visma Services Danmark A/S,"Copenhagen, 10 February 2016",2013-10-01,2014-09-30,0.0,We recommend that the Annual Report be adopted at the Annual General Meeting.,"101, KÃ¸benhavn",2015-09-30,2014-10-01,2016-02-10,Copenhagen,Managing Director,RevisionspÃ¥tegning,urn:ofk:oid:22036897,indberetninger-20180424,2.5097342,25448790.0,,2018-03-28T23:06:30.214Z,2016-02-29T11:31:46.032Z,regnskab,0.0,,2015-09-30,2014-10-01,X16-AR-14-VV,2016-02-29T11:31:46.155Z,,,
25448790,2014-10-01,2015-09-30,ID_14,,http://regnskaber.virk.dk/09784452/ZG9rdW1lbnRsYWdlcjovLzAzLzZjL2JjLzhhLzI3LzAzM2MtNGJhNS1hZmE0LWVkYzUyMjQ0ZTQ1ZQ.pdf,http://regnskaber.virk.dk/09784452/ZG9rdW1lbnRsYWdlcjovLzAzLzg5L2QzL2E4LzRkLzNmZGMtNDcxNy1hMzI3LTlmMDUxY2U5MjVkNw.xml,"2730, Herlev",LyskÃ¦r 3 CD,To the shareholders of Avaya Denmark ApS,0.0,Report on the Financial Statements,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 30 September 2015 and of the results of the Company's operations for the financial year 1 October 2014 - 30 September 2015.",2016-02-10,2000-06-14,2016-02-10,0.0,25448790.0,20222670.0,"Today, Management has considered and adopted the Annual Report of Avaya Denmark ApS for the financial year 1 October 2014 - 30 September 2015.","We have audited the Financial Statements of Avaya Denmark ApS for the financial year 1 October 2014 - 30 September 2015 comprising Accounting Policies, Income Statement, Balance Sheet and Notes. The Annual Report is presented in accordance with the Danish Financial Statements Act.",Ãrsrapport,0.0,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Jesper Larsen,Avaya Denmark ApS,Visma Services Danmark A/S,"Copenhagen, 10 February 2016",2013-10-01,2014-09-30,0.0,We recommend that the Annual Report be adopted at the Annual General Meeting.,"101, KÃ¸benhavn",2015-09-30,2014-10-01,2016-02-10,Copenhagen,Managing Director,RevisionspÃ¥tegning,urn:ofk:oid:22036897,indberetninger-20180424,2.5097342,25448790.0,,2018-03-28T23:06:30.214Z,2016-02-29T11:31:46.032Z,regnskab,0.0,,2015-09-30,2014-10-01,X16-AR-14-VV,2016-02-29T11:31:46.155Z,,,
25448790,2014-10-01,2015-09-30,ID_15,,http://regnskaber.virk.dk/09784452/ZG9rdW1lbnRsYWdlcjovLzAzLzZjL2JjLzhhLzI3LzAzM2MtNGJhNS1hZmE0LWVkYzUyMjQ0ZTQ1ZQ.pdf,http://regnskaber.virk.dk/09784452/ZG9rdW1lbnRsYWdlcjovLzAzLzg5L2QzL2E4LzRkLzNmZGMtNDcxNy1hMzI3LTlmMDUxY2U5MjVkNw.xml,"2730, Herlev",LyskÃ¦r 3 CD,To the shareholders of Avaya Denmark ApS,0.0,Report on the Financial Statements,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 30 September 2015 and of the results of the Company's operations for the financial year 1 October 2014 - 30 September 2015.",2016-02-10,2000-06-14,2016-02-10,0.0,25448790.0,20222670.0,"Today, Management has considered and adopted the Annual Report of Avaya Denmark ApS for the financial year 1 October 2014 - 30 September 2015.","We have audited the Financial Statements of Avaya Denmark ApS for the financial year 1 October 2014 - 30 September 2015 comprising Accounting Policies, Income Statement, Balance Sheet and Notes. The Annual Report is presented in accordance with the Danish Financial Statements Act.",Ãrsrapport,0.0,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Jesper Larsen,Avaya Denmark ApS,Visma Services Danmark A/S,"Copenhagen, 10 February 2016",2013-10-01,2014-09-30,0.0,We recommend that the Annual Report be adopted at the Annual General Meeting.,"101, KÃ¸benhavn",2015-09-30,2014-10-01,2016-02-10,Copenhagen,Managing Director,RevisionspÃ¥tegning,urn:ofk:oid:22036897,indberetninger-20180424,2.5097342,25448790.0,,2018-03-28T23:06:30.214Z,2016-02-29T11:31:46.032Z,regnskab,0.0,,2015-09-30,2014-10-01,X16-AR-14-VV,2016-02-29T11:31:46.155Z,,,
25448790,2014-10-01,2015-09-30,ID_2,,http://regnskaber.virk.dk/09784452/ZG9rdW1lbnRsYWdlcjovLzAzLzZjL2JjLzhhLzI3LzAzM2MtNGJhNS1hZmE0LWVkYzUyMjQ0ZTQ1ZQ.pdf,http://regnskaber.virk.dk/09784452/ZG9rdW1lbnRsYWdlcjovLzAzLzg5L2QzL2E4LzRkLzNmZGMtNDcxNy1hMzI3LTlmMDUxY2U5MjVkNw.xml,"2730, Herlev",LyskÃ¦r 3 CD,To the shareholders of Avaya Denmark ApS,0.0,Report on the Financial Statements,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 30 September 2015 and of the results of the Company's operations for the financial year 1 October 2014 - 30 September 2015.",2016-02-10,2000-06-14,2016-02-10,0.0,25448790.0,20222670.0,"Today, Management has considered and adopted the Annual Report of Avaya Denmark ApS for the financial year 1 October 2014 - 30 September 2015.","We have audited the Financial Statements of Avaya Denmark ApS for the financial year 1 October 2014 - 30 September 2015 comprising Accounting Policies, Income Statement, Balance Sheet and Notes. The Annual Report is presented in accordance with the Danish Financial Statements Act.",Ãrsrapport,0.0,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Jesper Larsen,Avaya Denmark ApS,Visma Services Danmark A/S,"Copenhagen, 10 February 2016",2013-10-01,2014-09-30,0.0,We recommend that the Annual Report be adopted at the Annual General Meeting.,"101, KÃ¸benhavn",2015-09-30,2014-10-01,2016-02-10,Copenhagen,Managing Director,RevisionspÃ¥tegning,urn:ofk:oid:22036897,indberetninger-20180424,2.5097342,25448790.0,,2018-03-28T23:06:30.214Z,2016-02-29T11:31:46.032Z,regnskab,0.0,,2015-09-30,2014-10-01,X16-AR-14-VV,2016-02-29T11:31:46.155Z,,,
25448790,2014-10-01,2015-09-30,ID_3,,http://regnskaber.virk.dk/09784452/ZG9rdW1lbnRsYWdlcjovLzAzLzZjL2JjLzhhLzI3LzAzM2MtNGJhNS1hZmE0LWVkYzUyMjQ0ZTQ1ZQ.pdf,http://regnskaber.virk.dk/09784452/ZG9rdW1lbnRsYWdlcjovLzAzLzg5L2QzL2E4LzRkLzNmZGMtNDcxNy1hMzI3LTlmMDUxY2U5MjVkNw.xml,"2730, Herlev",LyskÃ¦r 3 CD,To the shareholders of Avaya Denmark ApS,0.0,Report on the Financial Statements,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 30 September 2015 and of the results of the Company's operations for the financial year 1 October 2014 - 30 September 2015.",2016-02-10,2000-06-14,2016-02-10,0.0,25448790.0,20222670.0,"Today, Management has considered and adopted the Annual Report of Avaya Denmark ApS for the financial year 1 October 2014 - 30 September 2015.","We have audited the Financial Statements of Avaya Denmark ApS for the financial year 1 October 2014 - 30 September 2015 comprising Accounting Policies, Income Statement, Balance Sheet and Notes. The Annual Report is presented in accordance with the Danish Financial Statements Act.",Ãrsrapport,0.0,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Jesper Larsen,Avaya Denmark ApS,Visma Services Danmark A/S,"Copenhagen, 10 February 2016",2013-10-01,2014-09-30,0.0,We recommend that the Annual Report be adopted at the Annual General Meeting.,"101, KÃ¸benhavn",2015-09-30,2014-10-01,2016-02-10,Copenhagen,Managing Director,RevisionspÃ¥tegning,urn:ofk:oid:22036897,indberetninger-20180424,2.5097342,25448790.0,,2018-03-28T23:06:30.214Z,2016-02-29T11:31:46.032Z,regnskab,0.0,,2015-09-30,2014-10-01,X16-AR-14-VV,2016-02-29T11:31:46.155Z,Roland Arnoldus Cornelus van de Geer,Board Member,
