entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,AuditorsReportOnFinancialStatements,AuditorsReportsAccordingToOtherLegislationAndRegulation,ClassOfReportingEntity,CostOfSales,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DescriptionOfAuditor,DisclosureOfDeferredTaxAssetsAndLiabilities,DisclosureOfMainActivitiesAndAccountingAndFinancialMatters,DisclosureOfProvisions,EmployeeBenefitsExpense,IdentificationNumberCvrOfReportingEntity,InformationOnReceivablesFromOwnersAndManagement,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,OtherOperatingExpenses,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,Revenue,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,TitleOfMemberOfExecutiveBoard,WorkPerformedByEntityAndCapitalised,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,DeferredIncomeAssets,Equity,FixturesFittingsToolsAndEquipment,Inventories,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,RawMaterialsAndConsumables,RetainedEarnings,ShorttermDeferredIncome,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxReceivables,ShorttermTradePayables,ShorttermTradeReceivables,NameAndSurnameOfMemberOfSupervisoryBoard,TitleOfMemberOfSupervisoryBoard
entity identifier,2010-10-01,2011-09-30,ID_13,http://regnskaber.virk.dk/09784452/Y3ZyLmRrOi8vcGRmcy8yNTQ0ODc5MDtBcFMyNzEyNDI7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/09784452/Y3ZyLmRrOi8veGJybHMvWC00OTUwQ0YyOS0yMDEzMDMxMl8xMzI2NDhfNzI4.xml,"KÃ¸benhavn S, 2300",Ãrestads Boulevard 73,"2730, Herlev",LyskÃ¦r 3 CD,Til kapitalejerne i Avaya Denmark ApS / To shareholders of  Avaya Denmark ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet / Report on the Financial Statements,Udtalelse om ledelsesberetningen / Statement on Management's Review,Regnskabsklasse B,623621.0,2000-06-14,2013-02-28,269754.0,Statsautoriseret revisor,. Udskudte skatteaktiver / Deferred tax assets,. Virksomhedens formÃ¥l,. HensÃ¦ttelser til udskudt skat,9750181.0,25448790.0,. Tilgodehavender hos virksomhedsdeltagere og ledelse,Ãrsrapport,Jan Wright,Julien Pierre Henry Hannequart,Christiaan Tom de Jongh,"PricewaterhouseCoopers, Statsautoriseret Revisionspartnerselskab",Avaya Denmark ApS,Visma Services Danmark A/S,796771.0,-666201.0,4906172.0,452019.0,509325.0,378755.0,"101, KÃ¸benhavn",2012-09-30,2011-10-01,-17818691.0,2013-02-28,KÃ¸benhavn,-57306.0,Bestyrelsesmedlem/DirektÃ¸r,2647718.0,urn:ofk:oid:15510059,indberetninger-20180424,2.5097342,25448790.0,,2018-04-01T20:24:30.729Z,2013-03-11T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-347.287,2013-03-11T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2010-10-01,2011-09-30,ID_15,http://regnskaber.virk.dk/09784452/Y3ZyLmRrOi8vcGRmcy8yNTQ0ODc5MDtBcFMyNzEyNDI7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/09784452/Y3ZyLmRrOi8veGJybHMvWC00OTUwQ0YyOS0yMDEzMDMxMl8xMzI2NDhfNzI4.xml,"KÃ¸benhavn S, 2300",Ãrestads Boulevard 73,"2730, Herlev",LyskÃ¦r 3 CD,Til kapitalejerne i Avaya Denmark ApS / To shareholders of  Avaya Denmark ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet / Report on the Financial Statements,Udtalelse om ledelsesberetningen / Statement on Management's Review,Regnskabsklasse B,,2000-06-14,2013-02-28,,Statsautoriseret revisor,. Udskudte skatteaktiver / Deferred tax assets,. Virksomhedens formÃ¥l,. HensÃ¦ttelser til udskudt skat,,25448790.0,. Tilgodehavender hos virksomhedsdeltagere og ledelse,Ãrsrapport,Jan Wright,Julien Pierre Henry Hannequart,Christiaan Tom de Jongh,"PricewaterhouseCoopers, Statsautoriseret Revisionspartnerselskab",Avaya Denmark ApS,Visma Services Danmark A/S,,,,452019.0,,,"101, KÃ¸benhavn",2012-09-30,2011-10-01,,2013-02-28,KÃ¸benhavn,,Bestyrelsesmedlem/DirektÃ¸r,,urn:ofk:oid:15510059,indberetninger-20180424,2.5097342,25448790.0,,2018-04-01T20:24:30.729Z,2013-03-11T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-347.287,2013-03-11T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2010-10-01,2011-09-30,ID_17,http://regnskaber.virk.dk/09784452/Y3ZyLmRrOi8vcGRmcy8yNTQ0ODc5MDtBcFMyNzEyNDI7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/09784452/Y3ZyLmRrOi8veGJybHMvWC00OTUwQ0YyOS0yMDEzMDMxMl8xMzI2NDhfNzI4.xml,"KÃ¸benhavn S, 2300",Ãrestads Boulevard 73,"2730, Herlev",LyskÃ¦r 3 CD,Til kapitalejerne i Avaya Denmark ApS / To shareholders of  Avaya Denmark ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet / Report on the Financial Statements,Udtalelse om ledelsesberetningen / Statement on Management's Review,Regnskabsklasse B,,2000-06-14,2013-02-28,,Statsautoriseret revisor,. Udskudte skatteaktiver / Deferred tax assets,. Virksomhedens formÃ¥l,. HensÃ¦ttelser til udskudt skat,,25448790.0,. Tilgodehavender hos virksomhedsdeltagere og ledelse,Ãrsrapport,Jan Wright,Julien Pierre Henry Hannequart,Christiaan Tom de Jongh,"PricewaterhouseCoopers, Statsautoriseret Revisionspartnerselskab",Avaya Denmark ApS,Visma Services Danmark A/S,,,,452019.0,,,"101, KÃ¸benhavn",2012-09-30,2011-10-01,,2013-02-28,KÃ¸benhavn,,Bestyrelsesmedlem/DirektÃ¸r,,urn:ofk:oid:15510059,indberetninger-20180424,2.5097342,25448790.0,,2018-04-01T20:24:30.729Z,2013-03-11T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-347.287,2013-03-11T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-09-30,2011-09-30,ID_19,http://regnskaber.virk.dk/09784452/Y3ZyLmRrOi8vcGRmcy8yNTQ0ODc5MDtBcFMyNzEyNDI7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/09784452/Y3ZyLmRrOi8veGJybHMvWC00OTUwQ0YyOS0yMDEzMDMxMl8xMzI2NDhfNzI4.xml,"KÃ¸benhavn S, 2300",Ãrestads Boulevard 73,"2730, Herlev",LyskÃ¦r 3 CD,Til kapitalejerne i Avaya Denmark ApS / To shareholders of  Avaya Denmark ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet / Report on the Financial Statements,Udtalelse om ledelsesberetningen / Statement on Management's Review,Regnskabsklasse B,,2000-06-14,2013-02-28,,Statsautoriseret revisor,. Udskudte skatteaktiver / Deferred tax assets,. Virksomhedens formÃ¥l,. HensÃ¦ttelser til udskudt skat,,25448790.0,. Tilgodehavender hos virksomhedsdeltagere og ledelse,Ãrsrapport,Jan Wright,Julien Pierre Henry Hannequart,Christiaan Tom de Jongh,"PricewaterhouseCoopers, Statsautoriseret Revisionspartnerselskab",Avaya Denmark ApS,Visma Services Danmark A/S,,,,,,,"101, KÃ¸benhavn",2012-09-30,2011-10-01,,2013-02-28,KÃ¸benhavn,,Bestyrelsesmedlem/DirektÃ¸r,,urn:ofk:oid:15510059,indberetninger-20180424,2.5097342,25448790.0,,2018-04-01T20:24:30.729Z,2013-03-11T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-347.287,2013-03-11T23:00:00.000Z,12418953.0,1814828.0,-125000.0,11805255.0,165940.0,83607.0,-8320685.0,379829.0,197386.0,-12418953.0,-4098268.0,233869.0,613698.0,-1664106.0,0.0,379829.0,197386.0,-8195685.0,-663688.0,-4098268.0,-945453.0,9793041.0,8396322.0,135937.0,-825021.0,1011235.0,,
entity identifier,2011-10-01,2012-09-30,ID_0,http://regnskaber.virk.dk/09784452/Y3ZyLmRrOi8vcGRmcy8yNTQ0ODc5MDtBcFMyNzEyNDI7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/09784452/Y3ZyLmRrOi8veGJybHMvWC00OTUwQ0YyOS0yMDEzMDMxMl8xMzI2NDhfNzI4.xml,"KÃ¸benhavn S, 2300",Ãrestads Boulevard 73,"2730, Herlev",LyskÃ¦r 3 CD,Til kapitalejerne i Avaya Denmark ApS / To shareholders of  Avaya Denmark ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet / Report on the Financial Statements,Udtalelse om ledelsesberetningen / Statement on Management's Review,Regnskabsklasse B,,2000-06-14,2013-02-28,,Statsautoriseret revisor,. Udskudte skatteaktiver / Deferred tax assets,. Virksomhedens formÃ¥l,. HensÃ¦ttelser til udskudt skat,,25448790.0,. Tilgodehavender hos virksomhedsdeltagere og ledelse,Ãrsrapport,Jan Wright,Julien Pierre Henry Hannequart,Christiaan Tom de Jongh,"PricewaterhouseCoopers, Statsautoriseret Revisionspartnerselskab",Avaya Denmark ApS,Visma Services Danmark A/S,,,,,,,"101, KÃ¸benhavn",2012-09-30,2011-10-01,,2013-02-28,KÃ¸benhavn,,Bestyrelsesmedlem/DirektÃ¸r,,urn:ofk:oid:15510059,indberetninger-20180424,2.5097342,25448790.0,,2018-04-01T20:24:30.729Z,2013-03-11T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-347.287,2013-03-11T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-10-01,2012-09-30,ID_1,http://regnskaber.virk.dk/09784452/Y3ZyLmRrOi8vcGRmcy8yNTQ0ODc5MDtBcFMyNzEyNDI7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/09784452/Y3ZyLmRrOi8veGJybHMvWC00OTUwQ0YyOS0yMDEzMDMxMl8xMzI2NDhfNzI4.xml,"KÃ¸benhavn S, 2300",Ãrestads Boulevard 73,"2730, Herlev",LyskÃ¦r 3 CD,Til kapitalejerne i Avaya Denmark ApS / To shareholders of  Avaya Denmark ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet / Report on the Financial Statements,Udtalelse om ledelsesberetningen / Statement on Management's Review,Regnskabsklasse B,,2000-06-14,2013-02-28,,Statsautoriseret revisor,. Udskudte skatteaktiver / Deferred tax assets,. Virksomhedens formÃ¥l,. HensÃ¦ttelser til udskudt skat,,25448790.0,. Tilgodehavender hos virksomhedsdeltagere og ledelse,Ãrsrapport,Jan Wright,Julien Pierre Henry Hannequart,Christiaan Tom de Jongh,"PricewaterhouseCoopers, Statsautoriseret Revisionspartnerselskab",Avaya Denmark ApS,Visma Services Danmark A/S,,,,,,,"101, KÃ¸benhavn",2012-09-30,2011-10-01,,2013-02-28,KÃ¸benhavn,,Bestyrelsesmedlem/DirektÃ¸r,,urn:ofk:oid:15510059,indberetninger-20180424,2.5097342,25448790.0,,2018-04-01T20:24:30.729Z,2013-03-11T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-347.287,2013-03-11T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-10-01,2012-09-30,ID_10,http://regnskaber.virk.dk/09784452/Y3ZyLmRrOi8vcGRmcy8yNTQ0ODc5MDtBcFMyNzEyNDI7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/09784452/Y3ZyLmRrOi8veGJybHMvWC00OTUwQ0YyOS0yMDEzMDMxMl8xMzI2NDhfNzI4.xml,"KÃ¸benhavn S, 2300",Ãrestads Boulevard 73,"2730, Herlev",LyskÃ¦r 3 CD,Til kapitalejerne i Avaya Denmark ApS / To shareholders of  Avaya Denmark ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet / Report on the Financial Statements,Udtalelse om ledelsesberetningen / Statement on Management's Review,Regnskabsklasse B,,2000-06-14,2013-02-28,,Statsautoriseret revisor,. Udskudte skatteaktiver / Deferred tax assets,. Virksomhedens formÃ¥l,. HensÃ¦ttelser til udskudt skat,,25448790.0,. Tilgodehavender hos virksomhedsdeltagere og ledelse,Ãrsrapport,Jan Wright,Julien Pierre Henry Hannequart,Christiaan Tom de Jongh,"PricewaterhouseCoopers, Statsautoriseret Revisionspartnerselskab",Avaya Denmark ApS,Visma Services Danmark A/S,,,,,,,"101, KÃ¸benhavn",2012-09-30,2011-10-01,,2013-02-28,KÃ¸benhavn,,Bestyrelsesmedlem/DirektÃ¸r,,urn:ofk:oid:15510059,indberetninger-20180424,2.5097342,25448790.0,,2018-04-01T20:24:30.729Z,2013-03-11T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-347.287,2013-03-11T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-10-01,2012-09-30,ID_11,http://regnskaber.virk.dk/09784452/Y3ZyLmRrOi8vcGRmcy8yNTQ0ODc5MDtBcFMyNzEyNDI7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/09784452/Y3ZyLmRrOi8veGJybHMvWC00OTUwQ0YyOS0yMDEzMDMxMl8xMzI2NDhfNzI4.xml,"KÃ¸benhavn S, 2300",Ãrestads Boulevard 73,"2730, Herlev",LyskÃ¦r 3 CD,Til kapitalejerne i Avaya Denmark ApS / To shareholders of  Avaya Denmark ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet / Report on the Financial Statements,Udtalelse om ledelsesberetningen / Statement on Management's Review,Regnskabsklasse B,,2000-06-14,2013-02-28,,Statsautoriseret revisor,. Udskudte skatteaktiver / Deferred tax assets,. Virksomhedens formÃ¥l,. HensÃ¦ttelser til udskudt skat,,25448790.0,. Tilgodehavender hos virksomhedsdeltagere og ledelse,Ãrsrapport,Jan Wright,Julien Pierre Henry Hannequart,Christiaan Tom de Jongh,"PricewaterhouseCoopers, Statsautoriseret Revisionspartnerselskab",Avaya Denmark ApS,Visma Services Danmark A/S,,,,,,,"101, KÃ¸benhavn",2012-09-30,2011-10-01,,2013-02-28,KÃ¸benhavn,,Bestyrelsesmedlem/DirektÃ¸r,,urn:ofk:oid:15510059,indberetninger-20180424,2.5097342,25448790.0,,2018-04-01T20:24:30.729Z,2013-03-11T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-347.287,2013-03-11T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-10-01,2012-09-30,ID_12,http://regnskaber.virk.dk/09784452/Y3ZyLmRrOi8vcGRmcy8yNTQ0ODc5MDtBcFMyNzEyNDI7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/09784452/Y3ZyLmRrOi8veGJybHMvWC00OTUwQ0YyOS0yMDEzMDMxMl8xMzI2NDhfNzI4.xml,"KÃ¸benhavn S, 2300",Ãrestads Boulevard 73,"2730, Herlev",LyskÃ¦r 3 CD,Til kapitalejerne i Avaya Denmark ApS / To shareholders of  Avaya Denmark ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet / Report on the Financial Statements,Udtalelse om ledelsesberetningen / Statement on Management's Review,Regnskabsklasse B,635194.0,2000-06-14,2013-02-28,265321.0,Statsautoriseret revisor,. Udskudte skatteaktiver / Deferred tax assets,. Virksomhedens formÃ¥l,. HensÃ¦ttelser til udskudt skat,10137221.0,25448790.0,. Tilgodehavender hos virksomhedsdeltagere og ledelse,Ãrsrapport,Jan Wright,Julien Pierre Henry Hannequart,Christiaan Tom de Jongh,"PricewaterhouseCoopers, Statsautoriseret Revisionspartnerselskab",Avaya Denmark ApS,Visma Services Danmark A/S,1338992.0,-1329015.0,5302715.0,-585417.0,-804064.0,-814041.0,"101, KÃ¸benhavn",2012-09-30,2011-10-01,-17311956.0,2013-02-28,KÃ¸benhavn,218648.0,Bestyrelsesmedlem/DirektÃ¸r,157464.0,urn:ofk:oid:15510059,indberetninger-20180424,2.5097342,25448790.0,,2018-04-01T20:24:30.729Z,2013-03-11T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-347.287,2013-03-11T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-10-01,2012-09-30,ID_14,http://regnskaber.virk.dk/09784452/Y3ZyLmRrOi8vcGRmcy8yNTQ0ODc5MDtBcFMyNzEyNDI7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/09784452/Y3ZyLmRrOi8veGJybHMvWC00OTUwQ0YyOS0yMDEzMDMxMl8xMzI2NDhfNzI4.xml,"KÃ¸benhavn S, 2300",Ãrestads Boulevard 73,"2730, Herlev",LyskÃ¦r 3 CD,Til kapitalejerne i Avaya Denmark ApS / To shareholders of  Avaya Denmark ApS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet / Report on the Financial Statements,Udtalelse om ledelsesberetningen / Statement on Management's Review,Regnskabsklasse B,,2000-06-14,2013-02-28,,Statsautoriseret revisor,. Udskudte skatteaktiver / Deferred tax assets,. Virksomhedens formÃ¥l,. HensÃ¦ttelser til udskudt skat,,25448790.0,. Tilgodehavender hos virksomhedsdeltagere og ledelse,Ãrsrapport,Jan Wright,Julien Pierre Henry Hannequart,Christiaan Tom de Jongh,"PricewaterhouseCoopers, Statsautoriseret Revisionspartnerselskab",Avaya Denmark ApS,Visma Services Danmark A/S,,,,-585417.0,,,"101, KÃ¸benhavn",2012-09-30,2011-10-01,,2013-02-28,KÃ¸benhavn,,Bestyrelsesmedlem/DirektÃ¸r,,urn:ofk:oid:15510059,indberetninger-20180424,2.5097342,25448790.0,,2018-04-01T20:24:30.729Z,2013-03-11T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-347.287,2013-03-11T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
