entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AdditionsToPropertyPlantAndEquipment,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,AdjustmentsForCurrentTaxOfPriorPeriod,AverageNumberOfEmployees,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,CurrentTaxExpense,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DepreciationOfPropertyPlantAndEquipment,EmployeeBenefitsExpense,GrossProfitLoss,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,InterestExpenseAssignedToGroupEnterprises,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherInterestExpenses,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,ValueAdjustmentsOfEquity,WagesAndSalaries,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,DeferredIncomeAssets,Equity,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,NoncurrentAssets,OtherShorttermReceivables,PropertyPlantAndEquipment,Provisions,ProvisionsForDeferredTax,RetainedEarnings,ShorttermDeferredIncome,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTaxReceivablesFromGroupEnterprises,ShorttermTradePayables,ShorttermTradeReceivables,AccumulatedImpairmentLossesAndDepreciationOfPropertyPlantAndEquipment,PropertyPlantAndEquipmentGross,NameOfAuditFirm,TypeOfAuditorAssistance,DescriptionOfAuditor,IdentificationNumberCvrOfAuditFirm,IdentificationNumberOfAuditor,NameAndSurnameOfAuditor
21631779,2017-07-01,2018-06-30,c175,,http://regnskaber.virk.dk/97713612/ZG9rdW1lbnRsYWdlcjovLzAzLzllLzlkLzk2L2QzL2RlYmEtNDExYy1iMzM0LWQzMDYxZTliMWQ1OA.pdf,http://regnskaber.virk.dk/97713612/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzMyLzJmL2MwL2Q0OTgtNGZkMC1iNTI3LWVlYTQ4NjI4ZjllZQ.xml,true,411564.0,Randers C,8900.0,"4, 2.",Thors Bakke,Randers C,8900.0,9.0,DytmÃ¦rsken,8900 Randers C,"Ãstergrave 4, 1.",DK-8900 Randers C,"Thors Bakke 4, 2.",Til kapitalejeren i Omni-Invest ApS nr. III,-1705.0,1.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",12518.0,2019-09-06,1999-04-15,2019-09-10,8213.0,20685.0,27366.0,134470.0,21631779.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019 for Omni-Invest ApS nr. III.,Ãrsrapport,47700.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kjeld Hougaard Enevoldsen,Kjeld Hougaard Enevoldsen,Jyske Bank A/S,Omni-Invest ApS nr. III,BDO Statsautoriseret revisionsaktieselskab,49660.0,1960.0,Randers,2017-07-01,2018-06-30,38418.0,49231.0,98891.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Randers,2019-06-30,2018-07-01,false,2019-09-06,Randers,10813.0,1876784.0,27366.0,urn:ofk:oid:27812991,indberetninger-20180424,2.5095992000000003,21631779.0,AW0gZNyeIXJRhhXBNjRD,2019-09-11T12:55:49.105Z,2019-09-11T12:55:43.392Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-CT-93-WA,2019-09-11T12:55:43.544Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21631779,2017-07-01,2018-06-30,c214,,http://regnskaber.virk.dk/97713612/ZG9rdW1lbnRsYWdlcjovLzAzLzllLzlkLzk2L2QzL2RlYmEtNDExYy1iMzM0LWQzMDYxZTliMWQ1OA.pdf,http://regnskaber.virk.dk/97713612/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzMyLzJmL2MwL2Q0OTgtNGZkMC1iNTI3LWVlYTQ4NjI4ZjllZQ.xml,true,411564.0,Randers C,8900.0,"4, 2.",Thors Bakke,Randers C,8900.0,9.0,DytmÃ¦rsken,8900 Randers C,"Ãstergrave 4, 1.",DK-8900 Randers C,"Thors Bakke 4, 2.",Til kapitalejeren i Omni-Invest ApS nr. III,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",,2019-09-06,1999-04-15,2019-09-10,,20685.0,,,21631779.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019 for Omni-Invest ApS nr. III.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kjeld Hougaard Enevoldsen,Kjeld Hougaard Enevoldsen,Jyske Bank A/S,Omni-Invest ApS nr. III,BDO Statsautoriseret revisionsaktieselskab,,,Randers,2017-07-01,2018-06-30,38418.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Randers,2019-06-30,2018-07-01,false,2019-09-06,Randers,,1876784.0,,urn:ofk:oid:27812991,indberetninger-20180424,2.5095992000000003,21631779.0,AW0gZNyeIXJRhhXBNjRD,2019-09-11T12:55:49.105Z,2019-09-11T12:55:43.392Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-CT-93-WA,2019-09-11T12:55:43.544Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21631779,2018-06-30,2018-06-30,c173,,http://regnskaber.virk.dk/97713612/ZG9rdW1lbnRsYWdlcjovLzAzLzllLzlkLzk2L2QzL2RlYmEtNDExYy1iMzM0LWQzMDYxZTliMWQ1OA.pdf,http://regnskaber.virk.dk/97713612/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzMyLzJmL2MwL2Q0OTgtNGZkMC1iNTI3LWVlYTQ4NjI4ZjllZQ.xml,true,411564.0,Randers C,8900.0,"4, 2.",Thors Bakke,Randers C,8900.0,9.0,DytmÃ¦rsken,8900 Randers C,"Ãstergrave 4, 1.",DK-8900 Randers C,"Thors Bakke 4, 2.",Til kapitalejeren i Omni-Invest ApS nr. III,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",,2019-09-06,1999-04-15,2019-09-10,,20685.0,,,21631779.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019 for Omni-Invest ApS nr. III.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kjeld Hougaard Enevoldsen,Kjeld Hougaard Enevoldsen,Jyske Bank A/S,Omni-Invest ApS nr. III,BDO Statsautoriseret revisionsaktieselskab,,,Randers,2017-07-01,2018-06-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Randers,2019-06-30,2018-07-01,false,2019-09-06,Randers,,1876784.0,,urn:ofk:oid:27812991,indberetninger-20180424,2.5095992000000003,21631779.0,AW0gZNyeIXJRhhXBNjRD,2019-09-11T12:55:49.105Z,2019-09-11T12:55:43.392Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-CT-93-WA,2019-09-11T12:55:43.544Z,1673722.0,526517.0,200000.0,15028.0,308030.0,1112252.0,1673722.0,1316886.0,1112252.0,0.0,1112252.0,48806.0,48806.0,108030.0,18003.0,1316886.0,1189266.0,34953.0,0.0,12518.0,0.0,20000.0,19925.0,,,,,,,,
21631779,2018-07-01,2018-07-01,c231,,http://regnskaber.virk.dk/97713612/ZG9rdW1lbnRsYWdlcjovLzAzLzllLzlkLzk2L2QzL2RlYmEtNDExYy1iMzM0LWQzMDYxZTliMWQ1OA.pdf,http://regnskaber.virk.dk/97713612/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzMyLzJmL2MwL2Q0OTgtNGZkMC1iNTI3LWVlYTQ4NjI4ZjllZQ.xml,true,411564.0,Randers C,8900.0,"4, 2.",Thors Bakke,Randers C,8900.0,9.0,DytmÃ¦rsken,8900 Randers C,"Ãstergrave 4, 1.",DK-8900 Randers C,"Thors Bakke 4, 2.",Til kapitalejeren i Omni-Invest ApS nr. III,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",,2019-09-06,1999-04-15,2019-09-10,,20685.0,,,21631779.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019 for Omni-Invest ApS nr. III.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kjeld Hougaard Enevoldsen,Kjeld Hougaard Enevoldsen,Jyske Bank A/S,Omni-Invest ApS nr. III,BDO Statsautoriseret revisionsaktieselskab,,,Randers,2017-07-01,2018-06-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Randers,2019-06-30,2018-07-01,false,2019-09-06,Randers,,1876784.0,,urn:ofk:oid:27812991,indberetninger-20180424,2.5095992000000003,21631779.0,AW0gZNyeIXJRhhXBNjRD,2019-09-11T12:55:49.105Z,2019-09-11T12:55:43.392Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-CT-93-WA,2019-09-11T12:55:43.544Z,,,,,200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
21631779,2018-07-01,2018-07-01,c249,,http://regnskaber.virk.dk/97713612/ZG9rdW1lbnRsYWdlcjovLzAzLzllLzlkLzk2L2QzL2RlYmEtNDExYy1iMzM0LWQzMDYxZTliMWQ1OA.pdf,http://regnskaber.virk.dk/97713612/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzMyLzJmL2MwL2Q0OTgtNGZkMC1iNTI3LWVlYTQ4NjI4ZjllZQ.xml,true,411564.0,Randers C,8900.0,"4, 2.",Thors Bakke,Randers C,8900.0,9.0,DytmÃ¦rsken,8900 Randers C,"Ãstergrave 4, 1.",DK-8900 Randers C,"Thors Bakke 4, 2.",Til kapitalejeren i Omni-Invest ApS nr. III,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",,2019-09-06,1999-04-15,2019-09-10,,20685.0,,,21631779.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019 for Omni-Invest ApS nr. III.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kjeld Hougaard Enevoldsen,Kjeld Hougaard Enevoldsen,Jyske Bank A/S,Omni-Invest ApS nr. III,BDO Statsautoriseret revisionsaktieselskab,,,Randers,2017-07-01,2018-06-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Randers,2019-06-30,2018-07-01,false,2019-09-06,Randers,,1876784.0,,urn:ofk:oid:27812991,indberetninger-20180424,2.5095992000000003,21631779.0,AW0gZNyeIXJRhhXBNjRD,2019-09-11T12:55:49.105Z,2019-09-11T12:55:43.392Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-CT-93-WA,2019-09-11T12:55:43.544Z,,,,,108030.0,,,,,,,,,,,,,,,,,,,,,,,,,,
21631779,2018-07-01,2018-07-01,c522,,http://regnskaber.virk.dk/97713612/ZG9rdW1lbnRsYWdlcjovLzAzLzllLzlkLzk2L2QzL2RlYmEtNDExYy1iMzM0LWQzMDYxZTliMWQ1OA.pdf,http://regnskaber.virk.dk/97713612/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzMyLzJmL2MwL2Q0OTgtNGZkMC1iNTI3LWVlYTQ4NjI4ZjllZQ.xml,true,411564.0,Randers C,8900.0,"4, 2.",Thors Bakke,Randers C,8900.0,9.0,DytmÃ¦rsken,8900 Randers C,"Ãstergrave 4, 1.",DK-8900 Randers C,"Thors Bakke 4, 2.",Til kapitalejeren i Omni-Invest ApS nr. III,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",,2019-09-06,1999-04-15,2019-09-10,,20685.0,,,21631779.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019 for Omni-Invest ApS nr. III.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kjeld Hougaard Enevoldsen,Kjeld Hougaard Enevoldsen,Jyske Bank A/S,Omni-Invest ApS nr. III,BDO Statsautoriseret revisionsaktieselskab,,,Randers,2017-07-01,2018-06-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Randers,2019-06-30,2018-07-01,false,2019-09-06,Randers,,1876784.0,,urn:ofk:oid:27812991,indberetninger-20180424,2.5095992000000003,21631779.0,AW0gZNyeIXJRhhXBNjRD,2019-09-11T12:55:49.105Z,2019-09-11T12:55:43.392Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-CT-93-WA,2019-09-11T12:55:43.544Z,,,,,,,,,,,,,,,,,,,,,,,,50833.0,1163085.0,,,,,,
21631779,2018-07-01,2019-06-30,c174,,http://regnskaber.virk.dk/97713612/ZG9rdW1lbnRsYWdlcjovLzAzLzllLzlkLzk2L2QzL2RlYmEtNDExYy1iMzM0LWQzMDYxZTliMWQ1OA.pdf,http://regnskaber.virk.dk/97713612/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzMyLzJmL2MwL2Q0OTgtNGZkMC1iNTI3LWVlYTQ4NjI4ZjllZQ.xml,true,411564.0,Randers C,8900.0,"4, 2.",Thors Bakke,Randers C,8900.0,9.0,DytmÃ¦rsken,8900 Randers C,"Ãstergrave 4, 1.",DK-8900 Randers C,"Thors Bakke 4, 2.",Til kapitalejeren i Omni-Invest ApS nr. III,-27334.0,1.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",-25081.0,2019-09-06,1999-04-15,2019-09-10,20685.0,20685.0,18309.0,-197634.0,21631779.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019 for Omni-Invest ApS nr. III.,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kjeld Hougaard Enevoldsen,Kjeld Hougaard Enevoldsen,Jyske Bank A/S,Omni-Invest ApS nr. III,BDO Statsautoriseret revisionsaktieselskab,1535.0,1535.0,Randers,2017-07-01,2018-06-30,-185748.0,-238163.0,-236628.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Randers,2019-06-30,2018-07-01,false,2019-09-06,Randers,-52415.0,1876784.0,18309.0,urn:ofk:oid:27812991,indberetninger-20180424,2.5095992000000003,21631779.0,AW0gZNyeIXJRhhXBNjRD,2019-09-11T12:55:49.105Z,2019-09-11T12:55:43.392Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-CT-93-WA,2019-09-11T12:55:43.544Z,,,,,,,,,,,,,,,,,,,,,,,,,,BDO Statsautoriseret revisionsaktieselskab,RevisionspÃ¥tegning,,,,
21631779,2018-07-01,2019-06-30,c213,,http://regnskaber.virk.dk/97713612/ZG9rdW1lbnRsYWdlcjovLzAzLzllLzlkLzk2L2QzL2RlYmEtNDExYy1iMzM0LWQzMDYxZTliMWQ1OA.pdf,http://regnskaber.virk.dk/97713612/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzMyLzJmL2MwL2Q0OTgtNGZkMC1iNTI3LWVlYTQ4NjI4ZjllZQ.xml,true,411564.0,Randers C,8900.0,"4, 2.",Thors Bakke,Randers C,8900.0,9.0,DytmÃ¦rsken,8900 Randers C,"Ãstergrave 4, 1.",DK-8900 Randers C,"Thors Bakke 4, 2.",Til kapitalejeren i Omni-Invest ApS nr. III,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",,2019-09-06,1999-04-15,2019-09-10,,20685.0,,,21631779.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019 for Omni-Invest ApS nr. III.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kjeld Hougaard Enevoldsen,Kjeld Hougaard Enevoldsen,Jyske Bank A/S,Omni-Invest ApS nr. III,BDO Statsautoriseret revisionsaktieselskab,,,Randers,2017-07-01,2018-06-30,-185748.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Randers,2019-06-30,2018-07-01,false,2019-09-06,Randers,,1876784.0,,urn:ofk:oid:27812991,indberetninger-20180424,2.5095992000000003,21631779.0,AW0gZNyeIXJRhhXBNjRD,2019-09-11T12:55:49.105Z,2019-09-11T12:55:43.392Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-CT-93-WA,2019-09-11T12:55:43.544Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21631779,2018-07-01,2019-06-30,c248,,http://regnskaber.virk.dk/97713612/ZG9rdW1lbnRsYWdlcjovLzAzLzllLzlkLzk2L2QzL2RlYmEtNDExYy1iMzM0LWQzMDYxZTliMWQ1OA.pdf,http://regnskaber.virk.dk/97713612/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzMyLzJmL2MwL2Q0OTgtNGZkMC1iNTI3LWVlYTQ4NjI4ZjllZQ.xml,true,411564.0,Randers C,8900.0,"4, 2.",Thors Bakke,Randers C,8900.0,9.0,DytmÃ¦rsken,8900 Randers C,"Ãstergrave 4, 1.",DK-8900 Randers C,"Thors Bakke 4, 2.",Til kapitalejeren i Omni-Invest ApS nr. III,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",,2019-09-06,1999-04-15,2019-09-10,,20685.0,,,21631779.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019 for Omni-Invest ApS nr. III.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kjeld Hougaard Enevoldsen,Kjeld Hougaard Enevoldsen,Jyske Bank A/S,Omni-Invest ApS nr. III,BDO Statsautoriseret revisionsaktieselskab,,,Randers,2017-07-01,2018-06-30,-185748.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Randers,2019-06-30,2018-07-01,false,2019-09-06,Randers,,1876784.0,,urn:ofk:oid:27812991,indberetninger-20180424,2.5095992000000003,21631779.0,AW0gZNyeIXJRhhXBNjRD,2019-09-11T12:55:49.105Z,2019-09-11T12:55:43.392Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-CT-93-WA,2019-09-11T12:55:43.544Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21631779,2018-07-01,2019-06-30,c307,,http://regnskaber.virk.dk/97713612/ZG9rdW1lbnRsYWdlcjovLzAzLzllLzlkLzk2L2QzL2RlYmEtNDExYy1iMzM0LWQzMDYxZTliMWQ1OA.pdf,http://regnskaber.virk.dk/97713612/ZG9rdW1lbnRsYWdlcjovLzAzLzBjLzMyLzJmL2MwL2Q0OTgtNGZkMC1iNTI3LWVlYTQ4NjI4ZjllZQ.xml,true,411564.0,Randers C,8900.0,"4, 2.",Thors Bakke,Randers C,8900.0,9.0,DytmÃ¦rsken,8900 Randers C,"Ãstergrave 4, 1.",DK-8900 Randers C,"Thors Bakke 4, 2.",Til kapitalejeren i Omni-Invest ApS nr. III,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",,2019-09-06,1999-04-15,2019-09-10,,20685.0,,,21631779.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019 for Omni-Invest ApS nr. III.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kjeld Hougaard Enevoldsen,Kjeld Hougaard Enevoldsen,Jyske Bank A/S,Omni-Invest ApS nr. III,BDO Statsautoriseret revisionsaktieselskab,,,Randers,2017-07-01,2018-06-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Randers,2019-06-30,2018-07-01,false,2019-09-06,Randers,,1876784.0,,urn:ofk:oid:27812991,indberetninger-20180424,2.5095992000000003,21631779.0,AW0gZNyeIXJRhhXBNjRD,2019-09-11T12:55:49.105Z,2019-09-11T12:55:43.392Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-CT-93-WA,2019-09-11T12:55:43.544Z,,,,,,,,,,,,,,,,,,,,,,,,,,BDO Statsautoriseret revisionsaktieselskab,,Statsautoriseret revisor,20222670.0,mne19811,Ole JÃ¸rgensen
