entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AdditionsToPropertyPlantAndEquipment,AddressOfAuditorCountry,AddressOfAuditorPostcodeAndTown,AddressOfAuditorStreetAndNumber,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DepreciationOfPropertyPlantAndEquipment,DescriptionOfAuditor,Equity,HomepageOfReportingEntity,IdentificationNumberCvrOfReportingEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss,AdjustmentsForDeferredTax,AdministrativeExpenses,AverageNumberOfEmployees,CurrentTaxExpense,DistributionCosts,EmployeeBenefitsExpense,ExchangeRateProfit,GrossResult,OtherEmployeeExpense,OtherFinanceExpenses,OtherFinanceIncome,OtherInterestIncome,PostemploymentBenefitExpense,ProfitLossFromOrdinaryActivitiesBeforeTax,SocialSecurityContributions,TaxExpense,TaxExpenseOnOrdinaryActivities,WagesAndSalaries,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,DeferredIncomeAssets,FixturesFittingsToolsAndEquipment,Inventories,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,ManufacturedGoodsAndGoodsForResale,NoncurrentAssets,OtherLongtermReceivables,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermTradePayables,ShorttermTradeReceivables,AccumulatedImpairmentLossesAndDepreciationOfPropertyPlantAndEquipment,PropertyPlantAndEquipmentGross,NameAndSurnameOfAuditor,NameOfAuditFirm,NameAndSurnameOfMemberOfSupervisoryBoard
25826523,2011-01-01,2011-01-01,c244,http://regnskaber.virk.dk/32562852/Y3ZyLmRrOi8vcGRmcy8yNTgyNjUyMztBL1MyODA4ODQ7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/32562852/Y3ZyLmRrOi8veGJybHMvWC1GNzY5MUY0Ny0yMDEzMDQwOV8xOTQ5MzVfMDY1.xml,57237.0,Danmark,2100 KÃ¸benhavn Ã,Gribskovvej 2,2600 Glostrup,Ejby Industrivej 40,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2013-01-31,2013-01-31,-16636.0,Statsaut. revisor,500000.0,www.wilsontool.com,25826523.0,Ãrsrapport,Colin John Blackwell,Colin John Blackwell,Wilson Tool International A/S,Beierholm,Glostrup,Glostrup,2012-12-31,2012-01-01,2013-01-31,KÃ¸benhavn,urn:ofk:oid:20798953,indberetninger-20180424,2.5097403999999996,25826523.0,,2018-04-01T14:01:00.653Z,2013-04-09T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-53.040,2013-04-09T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25826523,2011-01-01,2011-01-01,c289,http://regnskaber.virk.dk/32562852/Y3ZyLmRrOi8vcGRmcy8yNTgyNjUyMztBL1MyODA4ODQ7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/32562852/Y3ZyLmRrOi8veGJybHMvWC1GNzY5MUY0Ny0yMDEzMDQwOV8xOTQ5MzVfMDY1.xml,57237.0,Danmark,2100 KÃ¸benhavn Ã,Gribskovvej 2,2600 Glostrup,Ejby Industrivej 40,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2013-01-31,2013-01-31,-16636.0,Statsaut. revisor,-10337744.0,www.wilsontool.com,25826523.0,Ãrsrapport,Colin John Blackwell,Colin John Blackwell,Wilson Tool International A/S,Beierholm,Glostrup,Glostrup,2012-12-31,2012-01-01,2013-01-31,KÃ¸benhavn,urn:ofk:oid:20798953,indberetninger-20180424,2.5097403999999996,25826523.0,,2018-04-01T14:01:00.653Z,2013-04-09T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-53.040,2013-04-09T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25826523,2011-01-01,2011-12-31,c180,http://regnskaber.virk.dk/32562852/Y3ZyLmRrOi8vcGRmcy8yNTgyNjUyMztBL1MyODA4ODQ7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/32562852/Y3ZyLmRrOi8veGJybHMvWC1GNzY5MUY0Ny0yMDEzMDQwOV8xOTQ5MzVfMDY1.xml,57237.0,Danmark,2100 KÃ¸benhavn Ã,Gribskovvej 2,2600 Glostrup,Ejby Industrivej 40,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2013-01-31,2013-01-31,-16636.0,Statsaut. revisor,,www.wilsontool.com,25826523.0,Ãrsrapport,Colin John Blackwell,Colin John Blackwell,Wilson Tool International A/S,Beierholm,Glostrup,Glostrup,2012-12-31,2012-01-01,2013-01-31,KÃ¸benhavn,urn:ofk:oid:20798953,indberetninger-20180424,2.5097403999999996,25826523.0,,2018-04-01T14:01:00.653Z,2013-04-09T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-53.040,2013-04-09T22:00:00.000Z,365000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25826523,2011-01-01,2011-12-31,c290,http://regnskaber.virk.dk/32562852/Y3ZyLmRrOi8vcGRmcy8yNTgyNjUyMztBL1MyODA4ODQ7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/32562852/Y3ZyLmRrOi8veGJybHMvWC1GNzY5MUY0Ny0yMDEzMDQwOV8xOTQ5MzVfMDY1.xml,57237.0,Danmark,2100 KÃ¸benhavn Ã,Gribskovvej 2,2600 Glostrup,Ejby Industrivej 40,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2013-01-31,2013-01-31,-16636.0,Statsaut. revisor,,www.wilsontool.com,25826523.0,Ãrsrapport,Colin John Blackwell,Colin John Blackwell,Wilson Tool International A/S,Beierholm,Glostrup,Glostrup,2012-12-31,2012-01-01,2013-01-31,KÃ¸benhavn,urn:ofk:oid:20798953,indberetninger-20180424,2.5097403999999996,25826523.0,,2018-04-01T14:01:00.653Z,2013-04-09T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-53.040,2013-04-09T22:00:00.000Z,364535.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25826523,2011-01-01,2011-12-31,c4,http://regnskaber.virk.dk/32562852/Y3ZyLmRrOi8vcGRmcy8yNTgyNjUyMztBL1MyODA4ODQ7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/32562852/Y3ZyLmRrOi8veGJybHMvWC1GNzY5MUY0Ny0yMDEzMDQwOV8xOTQ5MzVfMDY1.xml,57237.0,Danmark,2100 KÃ¸benhavn Ã,Gribskovvej 2,2600 Glostrup,Ejby Industrivej 40,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2013-01-31,2013-01-31,-16636.0,Statsaut. revisor,,www.wilsontool.com,25826523.0,Ãrsrapport,Colin John Blackwell,Colin John Blackwell,Wilson Tool International A/S,Beierholm,Glostrup,Glostrup,2012-12-31,2012-01-01,2013-01-31,KÃ¸benhavn,urn:ofk:oid:20798953,indberetninger-20180424,2.5097403999999996,25826523.0,,2018-04-01T14:01:00.653Z,2013-04-09T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-53.040,2013-04-09T22:00:00.000Z,365000.0,0.0,-3886000.0,10.0,0.0,-4397000.0,5240000.0,242000.0,8408000.0,29000.0,-2000.0,242000.0,0.0,275000.0,365000.0,373000.0,0.0,0.0,4563000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
25826523,2011-12-31,2011-12-31,c5,http://regnskaber.virk.dk/32562852/Y3ZyLmRrOi8vcGRmcy8yNTgyNjUyMztBL1MyODA4ODQ7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/32562852/Y3ZyLmRrOi8veGJybHMvWC1GNzY5MUY0Ny0yMDEzMDQwOV8xOTQ5MzVfMDY1.xml,57237.0,Danmark,2100 KÃ¸benhavn Ã,Gribskovvej 2,2600 Glostrup,Ejby Industrivej 40,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2013-01-31,2013-01-31,-16636.0,Statsaut. revisor,-9473000.0,www.wilsontool.com,25826523.0,Ãrsrapport,Colin John Blackwell,Colin John Blackwell,Wilson Tool International A/S,Beierholm,Glostrup,Glostrup,2012-12-31,2012-01-01,2013-01-31,KÃ¸benhavn,urn:ofk:oid:20798953,indberetninger-20180424,2.5097403999999996,25826523.0,,2018-04-01T14:01:00.653Z,2013-04-09T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-53.040,2013-04-09T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,4424000.0,711000.0,500000.0,4236000.0,43000.0,27000.0,544000.0,4424000.0,13897000.0,161000.0,544000.0,188000.0,161000.0,855000.0,15000.0,27000.0,-9973000.0,13897000.0,12650000.0,2981000.0,392000.0,2923000.0,,,,,
25826523,2012-01-01,2012-01-01,c217,http://regnskaber.virk.dk/32562852/Y3ZyLmRrOi8vcGRmcy8yNTgyNjUyMztBL1MyODA4ODQ7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/32562852/Y3ZyLmRrOi8veGJybHMvWC1GNzY5MUY0Ny0yMDEzMDQwOV8xOTQ5MzVfMDY1.xml,57237.0,Danmark,2100 KÃ¸benhavn Ã,Gribskovvej 2,2600 Glostrup,Ejby Industrivej 40,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2013-01-31,2013-01-31,-16636.0,Statsaut. revisor,,www.wilsontool.com,25826523.0,Ãrsrapport,Colin John Blackwell,Colin John Blackwell,Wilson Tool International A/S,Beierholm,Glostrup,Glostrup,2012-12-31,2012-01-01,2013-01-31,KÃ¸benhavn,urn:ofk:oid:20798953,indberetninger-20180424,2.5097403999999996,25826523.0,,2018-04-01T14:01:00.653Z,2013-04-09T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-53.040,2013-04-09T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-54453.0,81193.0,,,
25826523,2012-01-01,2012-12-31,c1,http://regnskaber.virk.dk/32562852/Y3ZyLmRrOi8vcGRmcy8yNTgyNjUyMztBL1MyODA4ODQ7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/32562852/Y3ZyLmRrOi8veGJybHMvWC1GNzY5MUY0Ny0yMDEzMDQwOV8xOTQ5MzVfMDY1.xml,57237.0,Danmark,2100 KÃ¸benhavn Ã,Gribskovvej 2,2600 Glostrup,Ejby Industrivej 40,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2013-01-31,2013-01-31,-16636.0,Statsaut. revisor,,www.wilsontool.com,25826523.0,Ãrsrapport,Colin John Blackwell,Colin John Blackwell,Wilson Tool International A/S,Beierholm,Glostrup,Glostrup,2012-12-31,2012-01-01,2013-01-31,KÃ¸benhavn,urn:ofk:oid:20798953,indberetninger-20180424,2.5097403999999996,25826523.0,,2018-04-01T14:01:00.653Z,2013-04-09T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-53.040,2013-04-09T22:00:00.000Z,-418632.0,0.0,-3900561.0,10.0,0.0,-4508011.0,5728032.0,105320.0,7884420.0,69750.0,-31.0,105551.0,231.0,220104.0,-418632.0,399519.0,0.0,0.0,5038659.0,,,,,,,,,,,,,,,,,,,,,,,,,Jan Robert Molin,Beierholm,
25826523,2012-01-01,2012-12-31,c106,http://regnskaber.virk.dk/32562852/Y3ZyLmRrOi8vcGRmcy8yNTgyNjUyMztBL1MyODA4ODQ7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/32562852/Y3ZyLmRrOi8veGJybHMvWC1GNzY5MUY0Ny0yMDEzMDQwOV8xOTQ5MzVfMDY1.xml,57237.0,Danmark,2100 KÃ¸benhavn Ã,Gribskovvej 2,2600 Glostrup,Ejby Industrivej 40,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2013-01-31,2013-01-31,-16636.0,Statsaut. revisor,,www.wilsontool.com,25826523.0,Ãrsrapport,Colin John Blackwell,Colin John Blackwell,Wilson Tool International A/S,Beierholm,Glostrup,Glostrup,2012-12-31,2012-01-01,2013-01-31,KÃ¸benhavn,urn:ofk:oid:20798953,indberetninger-20180424,2.5097403999999996,25826523.0,,2018-04-01T14:01:00.653Z,2013-04-09T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-53.040,2013-04-09T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jan Robert Molin,Beierholm,
25826523,2012-01-01,2012-12-31,c179,http://regnskaber.virk.dk/32562852/Y3ZyLmRrOi8vcGRmcy8yNTgyNjUyMztBL1MyODA4ODQ7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/32562852/Y3ZyLmRrOi8veGJybHMvWC1GNzY5MUY0Ny0yMDEzMDQwOV8xOTQ5MzVfMDY1.xml,57237.0,Danmark,2100 KÃ¸benhavn Ã,Gribskovvej 2,2600 Glostrup,Ejby Industrivej 40,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2013-01-31,2013-01-31,-16636.0,Statsaut. revisor,,www.wilsontool.com,25826523.0,Ãrsrapport,Colin John Blackwell,Colin John Blackwell,Wilson Tool International A/S,Beierholm,Glostrup,Glostrup,2012-12-31,2012-01-01,2013-01-31,KÃ¸benhavn,urn:ofk:oid:20798953,indberetninger-20180424,2.5097403999999996,25826523.0,,2018-04-01T14:01:00.653Z,2013-04-09T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-53.040,2013-04-09T22:00:00.000Z,-418632.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
