entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfAuditorCountry,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DepreciationOfPropertyPlantAndEquipment,DescriptionOfAuditor,Equity,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberOfAuditor,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,AdministrativeExpenses,AverageNumberOfEmployees,CurrentTaxExpense,DistributionCosts,ExchangeRateAdjustmentsOtherFinanceExpenses,ExchangeRateAdjustmentsOtherFinanceIncome,GrossProfitLoss,OtherFinanceExpenses,OtherFinanceIncome,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,TaxExpense,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,DeferredIncomeAssets,DepositsLongtermInvestmentsAndReceivables,FixturesFittingsToolsAndEquipment,Inventories,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,ManufacturedGoodsAndGoodsForResale,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermPrepaymentsReceivedFromCustomers,ShorttermReceivables,ShorttermTradePayables,ShorttermTradeReceivables,AccumulatedImpairmentLossesAndDepreciationOfPropertyPlantAndEquipment,PropertyPlantAndEquipmentGross,NameAndSurnameOfMemberOfSupervisoryBoard
25826523,2016-01-01,2016-01-01,c696,,http://regnskaber.virk.dk/32562852/ZG9rdW1lbnRsYWdlcjovLzAzLzI1LzM2LzZhLzMyLzU5MDEtNDgxMi1iOGY1LTc5ZjJjYzQ1MzNjNg.pdf,http://regnskaber.virk.dk/32562852/ZG9rdW1lbnRsYWdlcjovLzAzLzJmLzZhLzg1LzdiLzJlMTktNDM1Ni05MmQ4LTY5MTk4MjQ2YzJjNw.xml,Danmark,SÃ¸borg,2860.0,9.0,Knud HÃ¸jgaards Vej,Glostrup,2600.0,40.0,Ejby Industrivej,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2018-01-31,2018-04-15,-7083.0,Statsaut. revisor,500000.0,32895468.0,25826523.0,mne10848,Ãrsrapport,Jan Molin,Colin J. Blackwell,Colin John Blackwell,Beierholm,Wilson Tool International A/S,Beierholm,Glostrup,2016-01-01,2016-12-31,Glostrup,2017-12-31,2017-01-01,2018-01-31,SÃ¸borg,RevisionspÃ¥tegning,urn:ofk:oid:25762487,indberetninger-20180424,2.5124266,25826523.0,AWPgvCVI0wkEsASktjje,2018-06-08T18:50:19.957Z,2018-06-08T18:50:16.305Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AP-68-CT,2018-06-08T18:50:16.490Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25826523,2016-01-01,2016-01-01,c717,,http://regnskaber.virk.dk/32562852/ZG9rdW1lbnRsYWdlcjovLzAzLzI1LzM2LzZhLzMyLzU5MDEtNDgxMi1iOGY1LTc5ZjJjYzQ1MzNjNg.pdf,http://regnskaber.virk.dk/32562852/ZG9rdW1lbnRsYWdlcjovLzAzLzJmLzZhLzg1LzdiLzJlMTktNDM1Ni05MmQ4LTY5MTk4MjQ2YzJjNw.xml,Danmark,SÃ¸borg,2860.0,9.0,Knud HÃ¸jgaards Vej,Glostrup,2600.0,40.0,Ejby Industrivej,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2018-01-31,2018-04-15,-7083.0,Statsaut. revisor,-12425358.0,32895468.0,25826523.0,mne10848,Ãrsrapport,Jan Molin,Colin J. Blackwell,Colin John Blackwell,Beierholm,Wilson Tool International A/S,Beierholm,Glostrup,2016-01-01,2016-12-31,Glostrup,2017-12-31,2017-01-01,2018-01-31,SÃ¸borg,RevisionspÃ¥tegning,urn:ofk:oid:25762487,indberetninger-20180424,2.5124266,25826523.0,AWPgvCVI0wkEsASktjje,2018-06-08T18:50:19.957Z,2018-06-08T18:50:16.305Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AP-68-CT,2018-06-08T18:50:16.490Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25826523,2016-01-01,2016-12-31,c54,,http://regnskaber.virk.dk/32562852/ZG9rdW1lbnRsYWdlcjovLzAzLzI1LzM2LzZhLzMyLzU5MDEtNDgxMi1iOGY1LTc5ZjJjYzQ1MzNjNg.pdf,http://regnskaber.virk.dk/32562852/ZG9rdW1lbnRsYWdlcjovLzAzLzJmLzZhLzg1LzdiLzJlMTktNDM1Ni05MmQ4LTY5MTk4MjQ2YzJjNw.xml,Danmark,SÃ¸borg,2860.0,9.0,Knud HÃ¸jgaards Vej,Glostrup,2600.0,40.0,Ejby Industrivej,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2018-01-31,2018-04-15,-7083.0,Statsaut. revisor,,32895468.0,25826523.0,mne10848,Ãrsrapport,Jan Molin,Colin J. Blackwell,Colin John Blackwell,Beierholm,Wilson Tool International A/S,Beierholm,Glostrup,2016-01-01,2016-12-31,Glostrup,2017-12-31,2017-01-01,2018-01-31,SÃ¸borg,RevisionspÃ¥tegning,urn:ofk:oid:25762487,indberetninger-20180424,2.5124266,25826523.0,AWPgvCVI0wkEsASktjje,2018-06-08T18:50:19.957Z,2018-06-08T18:50:16.305Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AP-68-CT,2018-06-08T18:50:16.490Z,3857000.0,11.0,0.0,5386000.0,0.0,111000.0,9680000.0,0.0,111000.0,548000.0,548000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
25826523,2016-01-01,2016-12-31,c69,,http://regnskaber.virk.dk/32562852/ZG9rdW1lbnRsYWdlcjovLzAzLzI1LzM2LzZhLzMyLzU5MDEtNDgxMi1iOGY1LTc5ZjJjYzQ1MzNjNg.pdf,http://regnskaber.virk.dk/32562852/ZG9rdW1lbnRsYWdlcjovLzAzLzJmLzZhLzg1LzdiLzJlMTktNDM1Ni05MmQ4LTY5MTk4MjQ2YzJjNw.xml,Danmark,SÃ¸borg,2860.0,9.0,Knud HÃ¸jgaards Vej,Glostrup,2600.0,40.0,Ejby Industrivej,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2018-01-31,2018-04-15,-7083.0,Statsaut. revisor,,32895468.0,25826523.0,mne10848,Ãrsrapport,Jan Molin,Colin J. Blackwell,Colin John Blackwell,Beierholm,Wilson Tool International A/S,Beierholm,Glostrup,2016-01-01,2016-12-31,Glostrup,2017-12-31,2017-01-01,2018-01-31,SÃ¸borg,RevisionspÃ¥tegning,urn:ofk:oid:25762487,indberetninger-20180424,2.5124266,25826523.0,AWPgvCVI0wkEsASktjje,2018-06-08T18:50:19.957Z,2018-06-08T18:50:16.305Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AP-68-CT,2018-06-08T18:50:16.490Z,,,,,,,,,,548000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25826523,2016-12-31,2016-12-31,c70,,http://regnskaber.virk.dk/32562852/ZG9rdW1lbnRsYWdlcjovLzAzLzI1LzM2LzZhLzMyLzU5MDEtNDgxMi1iOGY1LTc5ZjJjYzQ1MzNjNg.pdf,http://regnskaber.virk.dk/32562852/ZG9rdW1lbnRsYWdlcjovLzAzLzJmLzZhLzg1LzdiLzJlMTktNDM1Ni05MmQ4LTY5MTk4MjQ2YzJjNw.xml,Danmark,SÃ¸borg,2860.0,9.0,Knud HÃ¸jgaards Vej,Glostrup,2600.0,40.0,Ejby Industrivej,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2018-01-31,2018-04-15,-7083.0,Statsaut. revisor,-11378000.0,32895468.0,25826523.0,mne10848,Ãrsrapport,Jan Molin,Colin J. Blackwell,Colin John Blackwell,Beierholm,Wilson Tool International A/S,Beierholm,Glostrup,2016-01-01,2016-12-31,Glostrup,2017-12-31,2017-01-01,2018-01-31,SÃ¸borg,RevisionspÃ¥tegning,urn:ofk:oid:25762487,indberetninger-20180424,2.5124266,25826523.0,AWPgvCVI0wkEsASktjje,2018-06-08T18:50:19.957Z,2018-06-08T18:50:16.305Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AP-68-CT,2018-06-08T18:50:16.490Z,,,,,,,,,,,,,6893000.0,1189000.0,500000.0,6736000.0,30000.0,129000.0,28000.0,763000.0,6893000.0,18271000.0,129000.0,763000.0,157000.0,1623000.0,55000.0,28000.0,-11878000.0,18271000.0,16346000.0,4000.0,4784000.0,298000.0,4699000.0,,,
25826523,2017-01-01,2017-01-01,c206,,http://regnskaber.virk.dk/32562852/ZG9rdW1lbnRsYWdlcjovLzAzLzI1LzM2LzZhLzMyLzU5MDEtNDgxMi1iOGY1LTc5ZjJjYzQ1MzNjNg.pdf,http://regnskaber.virk.dk/32562852/ZG9rdW1lbnRsYWdlcjovLzAzLzJmLzZhLzg1LzdiLzJlMTktNDM1Ni05MmQ4LTY5MTk4MjQ2YzJjNw.xml,Danmark,SÃ¸borg,2860.0,9.0,Knud HÃ¸jgaards Vej,Glostrup,2600.0,40.0,Ejby Industrivej,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2018-01-31,2018-04-15,-7083.0,Statsaut. revisor,,32895468.0,25826523.0,mne10848,Ãrsrapport,Jan Molin,Colin J. Blackwell,Colin John Blackwell,Beierholm,Wilson Tool International A/S,Beierholm,Glostrup,2016-01-01,2016-12-31,Glostrup,2017-12-31,2017-01-01,2018-01-31,SÃ¸borg,RevisionspÃ¥tegning,urn:ofk:oid:25762487,indberetninger-20180424,2.5124266,25826523.0,AWPgvCVI0wkEsASktjje,2018-06-08T18:50:19.957Z,2018-06-08T18:50:16.305Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AP-68-CT,2018-06-08T18:50:16.490Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-97122.0,125449.0,
25826523,2017-01-01,2017-12-31,c1,,http://regnskaber.virk.dk/32562852/ZG9rdW1lbnRsYWdlcjovLzAzLzI1LzM2LzZhLzMyLzU5MDEtNDgxMi1iOGY1LTc5ZjJjYzQ1MzNjNg.pdf,http://regnskaber.virk.dk/32562852/ZG9rdW1lbnRsYWdlcjovLzAzLzJmLzZhLzg1LzdiLzJlMTktNDM1Ni05MmQ4LTY5MTk4MjQ2YzJjNw.xml,Danmark,SÃ¸borg,2860.0,9.0,Knud HÃ¸jgaards Vej,Glostrup,2600.0,40.0,Ejby Industrivej,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2018-01-31,2018-04-15,-7083.0,Statsaut. revisor,,32895468.0,25826523.0,mne10848,Ãrsrapport,Jan Molin,Colin J. Blackwell,Colin John Blackwell,Beierholm,Wilson Tool International A/S,Beierholm,Glostrup,2016-01-01,2016-12-31,Glostrup,2017-12-31,2017-01-01,2018-01-31,SÃ¸borg,RevisionspÃ¥tegning,urn:ofk:oid:25762487,indberetninger-20180424,2.5124266,25826523.0,AWPgvCVI0wkEsASktjje,2018-06-08T18:50:19.957Z,2018-06-08T18:50:16.305Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AP-68-CT,2018-06-08T18:50:16.490Z,3902032.0,11.0,0.0,5450850.0,107903.0,0.0,9501107.0,107903.0,0.0,40322.0,40322.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
25826523,2017-01-01,2017-12-31,c1965,,http://regnskaber.virk.dk/32562852/ZG9rdW1lbnRsYWdlcjovLzAzLzI1LzM2LzZhLzMyLzU5MDEtNDgxMi1iOGY1LTc5ZjJjYzQ1MzNjNg.pdf,http://regnskaber.virk.dk/32562852/ZG9rdW1lbnRsYWdlcjovLzAzLzJmLzZhLzg1LzdiLzJlMTktNDM1Ni05MmQ4LTY5MTk4MjQ2YzJjNw.xml,Danmark,SÃ¸borg,2860.0,9.0,Knud HÃ¸jgaards Vej,Glostrup,2600.0,40.0,Ejby Industrivej,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2018-01-31,2018-04-15,-7083.0,Statsaut. revisor,,32895468.0,25826523.0,mne10848,Ãrsrapport,Jan Molin,Colin J. Blackwell,Colin John Blackwell,Beierholm,Wilson Tool International A/S,Beierholm,Glostrup,2016-01-01,2016-12-31,Glostrup,2017-12-31,2017-01-01,2018-01-31,SÃ¸borg,RevisionspÃ¥tegning,urn:ofk:oid:25762487,indberetninger-20180424,2.5124266,25826523.0,AWPgvCVI0wkEsASktjje,2018-06-08T18:50:19.957Z,2018-06-08T18:50:16.305Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AP-68-CT,2018-06-08T18:50:16.490Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25826523,2017-01-01,2017-12-31,c207,,http://regnskaber.virk.dk/32562852/ZG9rdW1lbnRsYWdlcjovLzAzLzI1LzM2LzZhLzMyLzU5MDEtNDgxMi1iOGY1LTc5ZjJjYzQ1MzNjNg.pdf,http://regnskaber.virk.dk/32562852/ZG9rdW1lbnRsYWdlcjovLzAzLzJmLzZhLzg1LzdiLzJlMTktNDM1Ni05MmQ4LTY5MTk4MjQ2YzJjNw.xml,Danmark,SÃ¸borg,2860.0,9.0,Knud HÃ¸jgaards Vej,Glostrup,2600.0,40.0,Ejby Industrivej,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2018-01-31,2018-04-15,-7083.0,Statsaut. revisor,,32895468.0,25826523.0,mne10848,Ãrsrapport,Jan Molin,Colin J. Blackwell,Colin John Blackwell,Beierholm,Wilson Tool International A/S,Beierholm,Glostrup,2016-01-01,2016-12-31,Glostrup,2017-12-31,2017-01-01,2018-01-31,SÃ¸borg,RevisionspÃ¥tegning,urn:ofk:oid:25762487,indberetninger-20180424,2.5124266,25826523.0,AWPgvCVI0wkEsASktjje,2018-06-08T18:50:19.957Z,2018-06-08T18:50:16.305Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AP-68-CT,2018-06-08T18:50:16.490Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25826523,2017-01-01,2017-12-31,c68,,http://regnskaber.virk.dk/32562852/ZG9rdW1lbnRsYWdlcjovLzAzLzI1LzM2LzZhLzMyLzU5MDEtNDgxMi1iOGY1LTc5ZjJjYzQ1MzNjNg.pdf,http://regnskaber.virk.dk/32562852/ZG9rdW1lbnRsYWdlcjovLzAzLzJmLzZhLzg1LzdiLzJlMTktNDM1Ni05MmQ4LTY5MTk4MjQ2YzJjNw.xml,Danmark,SÃ¸borg,2860.0,9.0,Knud HÃ¸jgaards Vej,Glostrup,2600.0,40.0,Ejby Industrivej,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2018-01-31,2018-04-15,-7083.0,Statsaut. revisor,,32895468.0,25826523.0,mne10848,Ãrsrapport,Jan Molin,Colin J. Blackwell,Colin John Blackwell,Beierholm,Wilson Tool International A/S,Beierholm,Glostrup,2016-01-01,2016-12-31,Glostrup,2017-12-31,2017-01-01,2018-01-31,SÃ¸borg,RevisionspÃ¥tegning,urn:ofk:oid:25762487,indberetninger-20180424,2.5124266,25826523.0,AWPgvCVI0wkEsASktjje,2018-06-08T18:50:19.957Z,2018-06-08T18:50:16.305Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AP-68-CT,2018-06-08T18:50:16.490Z,,,,,,,,,,40322.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
