entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccumulatedImpairmentLossesAndDepreciationOfInvestments,AccumulatedRevaluationsOfInvestments,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddresseeOfAuditorsReportOnOtherReport,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfGeneralMeeting,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,InvestmentsGross,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,RelatedEntityLegalForm,RelatedEntityName,RelatedEntityRegisteredOffice,ReportingPeriodEndDate,ReportingPeriodStartDate,ShareHeldByEntityOrConsolidatedEnterprisesInRelatedEntity,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Equity,ProfitLoss,AmortisationOfGoodwillOfInvestments,ProfitLossRelatedToInvestments,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,GrossProfitLoss,IncomeFromInvestmentsInGroupEnterprises,OtherFinanceExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,DividendPaid,LongtermInvestmentsAndReceivables,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsInGroupEnterprises,LongtermLiabilitiesOtherThanProvisions,LongtermMortgageDebt,NoncurrentAssets,OtherShorttermInvestments,OtherShorttermPayables,PropertyPlantAndEquipment,RetainedEarnings,ShorttermDebtToBanks,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermTaxReceivables,ShorttermTradePayables
20290234,2014-06-01,2014-06-01,c176,,http://regnskaber.virk.dk/43209202/ZG9rdW1lbnRsYWdlcjovLzAzLzc4L2NjL2M0LzAyL2Q3YjUtNGI1Ny05ZjgxLWNmMmJhMDhiZmNlNg.pdf,http://regnskaber.virk.dk/43209202/ZG9rdW1lbnRsYWdlcjovLzAzL2Y5L2ViL2Y1LzdiLzk3NmItNDI2OC04ZmIwLTI5YzJjYmNjNmM0NA.xml,42576.0,346339.0,Hedensted,8722.0,25.0,Skovparken,"7000, Fredericia",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juni - 31. december 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-03-16,2016-03-16,2016-05-17,20290234.0,25492145.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. juni - 31. december 2015 for CN Holding Hedensted ApS.,Ãrsrapport,864304.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Carsten Nielsen,Carsten Nielsen,CN Holding Hedensted ApS,"BRANDT, Statsautoriseret Revisionspartnerselskab",Hedensted,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Hedensted,A/S,Arki Gulve A/S,Horsens,2015-12-31,2015-06-01,100.0,2016-03-16,Fredericia,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22377874,indberetninger-20180424,2.5097403999999996,20290234.0,,2018-03-28T21:10:58.082Z,2016-05-18T08:16:37.806Z,regnskab,0.0,,2015-12-31,2015-06-01,X16-AW-09-YW,2016-05-18T08:16:37.931Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20290234,2014-06-01,2014-06-01,c720,,http://regnskaber.virk.dk/43209202/ZG9rdW1lbnRsYWdlcjovLzAzLzc4L2NjL2M0LzAyL2Q3YjUtNGI1Ny05ZjgxLWNmMmJhMDhiZmNlNg.pdf,http://regnskaber.virk.dk/43209202/ZG9rdW1lbnRsYWdlcjovLzAzL2Y5L2ViL2Y1LzdiLzk3NmItNDI2OC04ZmIwLTI5YzJjYmNjNmM0NA.xml,,,Hedensted,8722.0,25.0,Skovparken,"7000, Fredericia",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juni - 31. december 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-03-16,2016-03-16,2016-05-17,20290234.0,25492145.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. juni - 31. december 2015 for CN Holding Hedensted ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Carsten Nielsen,Carsten Nielsen,CN Holding Hedensted ApS,"BRANDT, Statsautoriseret Revisionspartnerselskab",Hedensted,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Hedensted,A/S,Arki Gulve A/S,Horsens,2015-12-31,2015-06-01,100.0,2016-03-16,Fredericia,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22377874,indberetninger-20180424,2.5097403999999996,20290234.0,,2018-03-28T21:10:58.082Z,2016-05-18T08:16:37.806Z,regnskab,0.0,,2015-12-31,2015-06-01,X16-AW-09-YW,2016-05-18T08:16:37.931Z,125000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20290234,2014-06-01,2014-06-01,c735,,http://regnskaber.virk.dk/43209202/ZG9rdW1lbnRsYWdlcjovLzAzLzc4L2NjL2M0LzAyL2Q3YjUtNGI1Ny05ZjgxLWNmMmJhMDhiZmNlNg.pdf,http://regnskaber.virk.dk/43209202/ZG9rdW1lbnRsYWdlcjovLzAzL2Y5L2ViL2Y1LzdiLzk3NmItNDI2OC04ZmIwLTI5YzJjYmNjNmM0NA.xml,,,Hedensted,8722.0,25.0,Skovparken,"7000, Fredericia",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juni - 31. december 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-03-16,2016-03-16,2016-05-17,20290234.0,25492145.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. juni - 31. december 2015 for CN Holding Hedensted ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Carsten Nielsen,Carsten Nielsen,CN Holding Hedensted ApS,"BRANDT, Statsautoriseret Revisionspartnerselskab",Hedensted,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Hedensted,A/S,Arki Gulve A/S,Horsens,2015-12-31,2015-06-01,100.0,2016-03-16,Fredericia,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22377874,indberetninger-20180424,2.5097403999999996,20290234.0,,2018-03-28T21:10:58.082Z,2016-05-18T08:16:37.806Z,regnskab,0.0,,2015-12-31,2015-06-01,X16-AW-09-YW,2016-05-18T08:16:37.931Z,282475.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20290234,2014-06-01,2014-06-01,c741,,http://regnskaber.virk.dk/43209202/ZG9rdW1lbnRsYWdlcjovLzAzLzc4L2NjL2M0LzAyL2Q3YjUtNGI1Ny05ZjgxLWNmMmJhMDhiZmNlNg.pdf,http://regnskaber.virk.dk/43209202/ZG9rdW1lbnRsYWdlcjovLzAzL2Y5L2ViL2Y1LzdiLzk3NmItNDI2OC04ZmIwLTI5YzJjYmNjNmM0NA.xml,,,Hedensted,8722.0,25.0,Skovparken,"7000, Fredericia",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juni - 31. december 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-03-16,2016-03-16,2016-05-17,20290234.0,25492145.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. juni - 31. december 2015 for CN Holding Hedensted ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Carsten Nielsen,Carsten Nielsen,CN Holding Hedensted ApS,"BRANDT, Statsautoriseret Revisionspartnerselskab",Hedensted,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Hedensted,A/S,Arki Gulve A/S,Horsens,2015-12-31,2015-06-01,100.0,2016-03-16,Fredericia,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22377874,indberetninger-20180424,2.5097403999999996,20290234.0,,2018-03-28T21:10:58.082Z,2016-05-18T08:16:37.806Z,regnskab,0.0,,2015-12-31,2015-06-01,X16-AW-09-YW,2016-05-18T08:16:37.931Z,753862.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20290234,2014-06-01,2014-06-01,c744,,http://regnskaber.virk.dk/43209202/ZG9rdW1lbnRsYWdlcjovLzAzLzc4L2NjL2M0LzAyL2Q3YjUtNGI1Ny05ZjgxLWNmMmJhMDhiZmNlNg.pdf,http://regnskaber.virk.dk/43209202/ZG9rdW1lbnRsYWdlcjovLzAzL2Y5L2ViL2Y1LzdiLzk3NmItNDI2OC04ZmIwLTI5YzJjYmNjNmM0NA.xml,,,Hedensted,8722.0,25.0,Skovparken,"7000, Fredericia",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juni - 31. december 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-03-16,2016-03-16,2016-05-17,20290234.0,25492145.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. juni - 31. december 2015 for CN Holding Hedensted ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Carsten Nielsen,Carsten Nielsen,CN Holding Hedensted ApS,"BRANDT, Statsautoriseret Revisionspartnerselskab",Hedensted,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Hedensted,A/S,Arki Gulve A/S,Horsens,2015-12-31,2015-06-01,100.0,2016-03-16,Fredericia,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22377874,indberetninger-20180424,2.5097403999999996,20290234.0,,2018-03-28T21:10:58.082Z,2016-05-18T08:16:37.806Z,regnskab,0.0,,2015-12-31,2015-06-01,X16-AW-09-YW,2016-05-18T08:16:37.931Z,100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20290234,2014-06-01,2015-05-31,c123,,http://regnskaber.virk.dk/43209202/ZG9rdW1lbnRsYWdlcjovLzAzLzc4L2NjL2M0LzAyL2Q3YjUtNGI1Ny05ZjgxLWNmMmJhMDhiZmNlNg.pdf,http://regnskaber.virk.dk/43209202/ZG9rdW1lbnRsYWdlcjovLzAzL2Y5L2ViL2Y1LzdiLzk3NmItNDI2OC04ZmIwLTI5YzJjYmNjNmM0NA.xml,,,Hedensted,8722.0,25.0,Skovparken,"7000, Fredericia",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juni - 31. december 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-03-16,2016-03-16,2016-05-17,20290234.0,25492145.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. juni - 31. december 2015 for CN Holding Hedensted ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Carsten Nielsen,Carsten Nielsen,CN Holding Hedensted ApS,"BRANDT, Statsautoriseret Revisionspartnerselskab",Hedensted,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Hedensted,A/S,Arki Gulve A/S,Horsens,2015-12-31,2015-06-01,100.0,2016-03-16,Fredericia,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22377874,indberetninger-20180424,2.5097403999999996,20290234.0,,2018-03-28T21:10:58.082Z,2016-05-18T08:16:37.806Z,regnskab,0.0,,2015-12-31,2015-06-01,X16-AW-09-YW,2016-05-18T08:16:37.931Z,,-184761.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20290234,2014-06-01,2015-05-31,c178,,http://regnskaber.virk.dk/43209202/ZG9rdW1lbnRsYWdlcjovLzAzLzc4L2NjL2M0LzAyL2Q3YjUtNGI1Ny05ZjgxLWNmMmJhMDhiZmNlNg.pdf,http://regnskaber.virk.dk/43209202/ZG9rdW1lbnRsYWdlcjovLzAzL2Y5L2ViL2Y1LzdiLzk3NmItNDI2OC04ZmIwLTI5YzJjYmNjNmM0NA.xml,,,Hedensted,8722.0,25.0,Skovparken,"7000, Fredericia",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juni - 31. december 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-03-16,2016-03-16,2016-05-17,20290234.0,25492145.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. juni - 31. december 2015 for CN Holding Hedensted ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Carsten Nielsen,Carsten Nielsen,CN Holding Hedensted ApS,"BRANDT, Statsautoriseret Revisionspartnerselskab",Hedensted,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Hedensted,A/S,Arki Gulve A/S,Horsens,2015-12-31,2015-06-01,100.0,2016-03-16,Fredericia,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22377874,indberetninger-20180424,2.5097403999999996,20290234.0,,2018-03-28T21:10:58.082Z,2016-05-18T08:16:37.806Z,regnskab,0.0,,2015-12-31,2015-06-01,X16-AW-09-YW,2016-05-18T08:16:37.931Z,,,21288.0,-423234.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20290234,2014-06-01,2015-05-31,c3,,http://regnskaber.virk.dk/43209202/ZG9rdW1lbnRsYWdlcjovLzAzLzc4L2NjL2M0LzAyL2Q3YjUtNGI1Ny05ZjgxLWNmMmJhMDhiZmNlNg.pdf,http://regnskaber.virk.dk/43209202/ZG9rdW1lbnRsYWdlcjovLzAzL2Y5L2ViL2Y1LzdiLzk3NmItNDI2OC04ZmIwLTI5YzJjYmNjNmM0NA.xml,,,Hedensted,8722.0,25.0,Skovparken,"7000, Fredericia",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juni - 31. december 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-03-16,2016-03-16,2016-05-17,20290234.0,25492145.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. juni - 31. december 2015 for CN Holding Hedensted ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Carsten Nielsen,Carsten Nielsen,CN Holding Hedensted ApS,"BRANDT, Statsautoriseret Revisionspartnerselskab",Hedensted,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Hedensted,A/S,Arki Gulve A/S,Horsens,2015-12-31,2015-06-01,100.0,2016-03-16,Fredericia,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22377874,indberetninger-20180424,2.5097403999999996,20290234.0,,2018-03-28T21:10:58.082Z,2016-05-18T08:16:37.806Z,regnskab,0.0,,2015-12-31,2015-06-01,X16-AW-09-YW,2016-05-18T08:16:37.931Z,,-467236.0,,,11034.0,-20443.0,-444526.0,7055.0,7182.0,-475876.0,-31477.0,-8640.0,,,,,,,,,,,,,,,,,,,,,,,,,
20290234,2014-06-01,2015-05-31,c474,,http://regnskaber.virk.dk/43209202/ZG9rdW1lbnRsYWdlcjovLzAzLzc4L2NjL2M0LzAyL2Q3YjUtNGI1Ny05ZjgxLWNmMmJhMDhiZmNlNg.pdf,http://regnskaber.virk.dk/43209202/ZG9rdW1lbnRsYWdlcjovLzAzL2Y5L2ViL2Y1LzdiLzk3NmItNDI2OC04ZmIwLTI5YzJjYmNjNmM0NA.xml,,,Hedensted,8722.0,25.0,Skovparken,"7000, Fredericia",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juni - 31. december 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-03-16,2016-03-16,2016-05-17,20290234.0,25492145.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. juni - 31. december 2015 for CN Holding Hedensted ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Carsten Nielsen,Carsten Nielsen,CN Holding Hedensted ApS,"BRANDT, Statsautoriseret Revisionspartnerselskab",Hedensted,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Hedensted,A/S,Arki Gulve A/S,Horsens,2015-12-31,2015-06-01,100.0,2016-03-16,Fredericia,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22377874,indberetninger-20180424,2.5097403999999996,20290234.0,,2018-03-28T21:10:58.082Z,2016-05-18T08:16:37.806Z,regnskab,0.0,,2015-12-31,2015-06-01,X16-AW-09-YW,2016-05-18T08:16:37.931Z,,-282475.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20290234,2014-06-01,2015-05-31,c736,,http://regnskaber.virk.dk/43209202/ZG9rdW1lbnRsYWdlcjovLzAzLzc4L2NjL2M0LzAyL2Q3YjUtNGI1Ny05ZjgxLWNmMmJhMDhiZmNlNg.pdf,http://regnskaber.virk.dk/43209202/ZG9rdW1lbnRsYWdlcjovLzAzL2Y5L2ViL2Y1LzdiLzk3NmItNDI2OC04ZmIwLTI5YzJjYmNjNmM0NA.xml,,,Hedensted,8722.0,25.0,Skovparken,"7000, Fredericia",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juni - 31. december 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2015 for opfyldt.,2016-03-16,2016-03-16,2016-05-17,20290234.0,25492145.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. juni - 31. december 2015 for CN Holding Hedensted ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Carsten Nielsen,Carsten Nielsen,CN Holding Hedensted ApS,"BRANDT, Statsautoriseret Revisionspartnerselskab",Hedensted,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Hedensted,A/S,Arki Gulve A/S,Horsens,2015-12-31,2015-06-01,100.0,2016-03-16,Fredericia,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22377874,indberetninger-20180424,2.5097403999999996,20290234.0,,2018-03-28T21:10:58.082Z,2016-05-18T08:16:37.806Z,regnskab,0.0,,2015-12-31,2015-06-01,X16-AW-09-YW,2016-05-18T08:16:37.931Z,,-282475.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
