entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,RecommendationForApprovalOfAnnualReportByGeneralMeeting,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,AverageNumberOfEmployees,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GrossProfitLoss,OtherFinanceExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,OtherShorttermPayables,OtherShorttermReceivables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,NameAndSurnameOfMemberOfExecutiveBoard
31481074,2016-01-01,2016-12-31,ID_11,,http://regnskaber.virk.dk/47018413/ZG9rdW1lbnRsYWdlcjovLzAzLzNlL2Q2LzA3LzAxL2I3ZGEtNDI0MC1iMmRkLWRjNmQ1YTk4MTllOA.pdf,http://regnskaber.virk.dk/47018413/ZG9rdW1lbnRsYWdlcjovLzAzLzFmLzM3L2VhLzFhLzBlZGItNDE4YS05ZjgzLTgzZmVjOTY2MGEwMA.xml,false,"Ãrhus C, 8000","Inge Lehmanns Gade 10, 6.",Til den daglige ledelse i Skagen Bunker Museum ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-05-07,2018-05-07,2008-06-04,2018-05-08,34330042.0,31481074.0,34330042.0,mne34082,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for Skagen Bunker Museum ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.","Thomas Olesen, cand.merc.aud.",Martin Nielsen,CURA revision,Nordjyske Bank,Skagen Bunker Museum ApS,"CURA revision, Registreret revisionsvirksomhed",HjÃ¸rring,2016-01-01,2016-12-31,25323.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-05-07,Aarhus,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25475154,indberetninger-20180424,2.5118406,31481074.0,AWNq1ZCCx8uVRSOdgk0q,2018-05-16T21:23:51.539Z,2018-05-16T21:22:49.682Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AL-78-EG,2018-05-16T21:22:49.875Z,,,,,,,,,,,,,,,,,,,,,,
31481074,2016-01-01,2016-12-31,ID_8,,http://regnskaber.virk.dk/47018413/ZG9rdW1lbnRsYWdlcjovLzAzLzNlL2Q2LzA3LzAxL2I3ZGEtNDI0MC1iMmRkLWRjNmQ1YTk4MTllOA.pdf,http://regnskaber.virk.dk/47018413/ZG9rdW1lbnRsYWdlcjovLzAzLzFmLzM3L2VhLzFhLzBlZGItNDE4YS05ZjgzLTgzZmVjOTY2MGEwMA.xml,false,"Ãrhus C, 8000","Inge Lehmanns Gade 10, 6.",Til den daglige ledelse i Skagen Bunker Museum ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-05-07,2018-05-07,2008-06-04,2018-05-08,34330042.0,31481074.0,34330042.0,mne34082,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for Skagen Bunker Museum ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.","Thomas Olesen, cand.merc.aud.",Martin Nielsen,CURA revision,Nordjyske Bank,Skagen Bunker Museum ApS,"CURA revision, Registreret revisionsvirksomhed",HjÃ¸rring,2016-01-01,2016-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-05-07,Aarhus,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25475154,indberetninger-20180424,2.5118406,31481074.0,AWNq1ZCCx8uVRSOdgk0q,2018-05-16T21:23:51.539Z,2018-05-16T21:22:49.682Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AL-78-EG,2018-05-16T21:22:49.875Z,1.0,,,,,,,,,,,,,,,,,,,,,
31481074,2016-01-01,2016-12-31,ID_9,,http://regnskaber.virk.dk/47018413/ZG9rdW1lbnRsYWdlcjovLzAzLzNlL2Q2LzA3LzAxL2I3ZGEtNDI0MC1iMmRkLWRjNmQ1YTk4MTllOA.pdf,http://regnskaber.virk.dk/47018413/ZG9rdW1lbnRsYWdlcjovLzAzLzFmLzM3L2VhLzFhLzBlZGItNDE4YS05ZjgzLTgzZmVjOTY2MGEwMA.xml,false,"Ãrhus C, 8000","Inge Lehmanns Gade 10, 6.",Til den daglige ledelse i Skagen Bunker Museum ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-05-07,2018-05-07,2008-06-04,2018-05-08,34330042.0,31481074.0,34330042.0,mne34082,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for Skagen Bunker Museum ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.","Thomas Olesen, cand.merc.aud.",Martin Nielsen,CURA revision,Nordjyske Bank,Skagen Bunker Museum ApS,"CURA revision, Registreret revisionsvirksomhed",HjÃ¸rring,2016-01-01,2016-12-31,-25323.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-05-07,Aarhus,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25475154,indberetninger-20180424,2.5118406,31481074.0,AWNq1ZCCx8uVRSOdgk0q,2018-05-16T21:23:51.539Z,2018-05-16T21:22:49.682Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AL-78-EG,2018-05-16T21:22:49.875Z,,410.0,271220.0,253188.0,181.0,606.0,-18017.0,-18442.0,7306.0,,,,,,,,,,,,,
31481074,2016-12-31,2016-12-31,ID_5,,http://regnskaber.virk.dk/47018413/ZG9rdW1lbnRsYWdlcjovLzAzLzNlL2Q2LzA3LzAxL2I3ZGEtNDI0MC1iMmRkLWRjNmQ1YTk4MTllOA.pdf,http://regnskaber.virk.dk/47018413/ZG9rdW1lbnRsYWdlcjovLzAzLzFmLzM3L2VhLzFhLzBlZGItNDE4YS05ZjgzLTgzZmVjOTY2MGEwMA.xml,false,"Ãrhus C, 8000","Inge Lehmanns Gade 10, 6.",Til den daglige ledelse i Skagen Bunker Museum ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-05-07,2018-05-07,2008-06-04,2018-05-08,34330042.0,31481074.0,34330042.0,mne34082,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for Skagen Bunker Museum ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.","Thomas Olesen, cand.merc.aud.",Martin Nielsen,CURA revision,Nordjyske Bank,Skagen Bunker Museum ApS,"CURA revision, Registreret revisionsvirksomhed",HjÃ¸rring,2016-01-01,2016-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-05-07,Aarhus,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25475154,indberetninger-20180424,2.5118406,31481074.0,AWNq1ZCCx8uVRSOdgk0q,2018-05-16T21:23:51.539Z,2018-05-16T21:22:49.682Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AL-78-EG,2018-05-16T21:22:49.875Z,,,,,,,,,,170893.0,170893.0,125000.0,170893.0,90327.0,170893.0,80566.0,80566.0,0.0,-34673.0,80566.0,0.0,
31481074,2017-01-01,2017-12-31,ID_0,,http://regnskaber.virk.dk/47018413/ZG9rdW1lbnRsYWdlcjovLzAzLzNlL2Q2LzA3LzAxL2I3ZGEtNDI0MC1iMmRkLWRjNmQ1YTk4MTllOA.pdf,http://regnskaber.virk.dk/47018413/ZG9rdW1lbnRsYWdlcjovLzAzLzFmLzM3L2VhLzFhLzBlZGItNDE4YS05ZjgzLTgzZmVjOTY2MGEwMA.xml,false,"Ãrhus C, 8000","Inge Lehmanns Gade 10, 6.",Til den daglige ledelse i Skagen Bunker Museum ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-05-07,2018-05-07,2008-06-04,2018-05-08,34330042.0,31481074.0,34330042.0,mne34082,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for Skagen Bunker Museum ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.","Thomas Olesen, cand.merc.aud.",Martin Nielsen,CURA revision,Nordjyske Bank,Skagen Bunker Museum ApS,"CURA revision, Registreret revisionsvirksomhed",HjÃ¸rring,2016-01-01,2016-12-31,-16344.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-05-07,Aarhus,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25475154,indberetninger-20180424,2.5118406,31481074.0,AWNq1ZCCx8uVRSOdgk0q,2018-05-16T21:23:51.539Z,2018-05-16T21:22:49.682Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AL-78-EG,2018-05-16T21:22:49.875Z,,0.0,251982.0,235638.0,0.0,0.0,-16344.0,-16344.0,0.0,,,,,,,,,,,,,
31481074,2017-01-01,2017-12-31,ID_1,,http://regnskaber.virk.dk/47018413/ZG9rdW1lbnRsYWdlcjovLzAzLzNlL2Q2LzA3LzAxL2I3ZGEtNDI0MC1iMmRkLWRjNmQ1YTk4MTllOA.pdf,http://regnskaber.virk.dk/47018413/ZG9rdW1lbnRsYWdlcjovLzAzLzFmLzM3L2VhLzFhLzBlZGItNDE4YS05ZjgzLTgzZmVjOTY2MGEwMA.xml,false,"Ãrhus C, 8000","Inge Lehmanns Gade 10, 6.",Til den daglige ledelse i Skagen Bunker Museum ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-05-07,2018-05-07,2008-06-04,2018-05-08,34330042.0,31481074.0,34330042.0,mne34082,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for Skagen Bunker Museum ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.","Thomas Olesen, cand.merc.aud.",Martin Nielsen,CURA revision,Nordjyske Bank,Skagen Bunker Museum ApS,"CURA revision, Registreret revisionsvirksomhed",HjÃ¸rring,2016-01-01,2016-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-05-07,Aarhus,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25475154,indberetninger-20180424,2.5118406,31481074.0,AWNq1ZCCx8uVRSOdgk0q,2018-05-16T21:23:51.539Z,2018-05-16T21:22:49.682Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AL-78-EG,2018-05-16T21:22:49.875Z,,,,,,,,,,,,,,,,,,,,,,
31481074,2017-01-01,2017-12-31,ID_10,,http://regnskaber.virk.dk/47018413/ZG9rdW1lbnRsYWdlcjovLzAzLzNlL2Q2LzA3LzAxL2I3ZGEtNDI0MC1iMmRkLWRjNmQ1YTk4MTllOA.pdf,http://regnskaber.virk.dk/47018413/ZG9rdW1lbnRsYWdlcjovLzAzLzFmLzM3L2VhLzFhLzBlZGItNDE4YS05ZjgzLTgzZmVjOTY2MGEwMA.xml,false,"Ãrhus C, 8000","Inge Lehmanns Gade 10, 6.",Til den daglige ledelse i Skagen Bunker Museum ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-05-07,2018-05-07,2008-06-04,2018-05-08,34330042.0,31481074.0,34330042.0,mne34082,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for Skagen Bunker Museum ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.","Thomas Olesen, cand.merc.aud.",Martin Nielsen,CURA revision,Nordjyske Bank,Skagen Bunker Museum ApS,"CURA revision, Registreret revisionsvirksomhed",HjÃ¸rring,2016-01-01,2016-12-31,16344.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-05-07,Aarhus,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25475154,indberetninger-20180424,2.5118406,31481074.0,AWNq1ZCCx8uVRSOdgk0q,2018-05-16T21:23:51.539Z,2018-05-16T21:22:49.682Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AL-78-EG,2018-05-16T21:22:49.875Z,,,,,,,,,,,,,,,,,,,,,,
31481074,2017-01-01,2017-12-31,ID_2,,http://regnskaber.virk.dk/47018413/ZG9rdW1lbnRsYWdlcjovLzAzLzNlL2Q2LzA3LzAxL2I3ZGEtNDI0MC1iMmRkLWRjNmQ1YTk4MTllOA.pdf,http://regnskaber.virk.dk/47018413/ZG9rdW1lbnRsYWdlcjovLzAzLzFmLzM3L2VhLzFhLzBlZGItNDE4YS05ZjgzLTgzZmVjOTY2MGEwMA.xml,false,"Ãrhus C, 8000","Inge Lehmanns Gade 10, 6.",Til den daglige ledelse i Skagen Bunker Museum ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-05-07,2018-05-07,2008-06-04,2018-05-08,34330042.0,31481074.0,34330042.0,mne34082,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for Skagen Bunker Museum ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.","Thomas Olesen, cand.merc.aud.",Martin Nielsen,CURA revision,Nordjyske Bank,Skagen Bunker Museum ApS,"CURA revision, Registreret revisionsvirksomhed",HjÃ¸rring,2016-01-01,2016-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-05-07,Aarhus,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25475154,indberetninger-20180424,2.5118406,31481074.0,AWNq1ZCCx8uVRSOdgk0q,2018-05-16T21:23:51.539Z,2018-05-16T21:22:49.682Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AL-78-EG,2018-05-16T21:22:49.875Z,,,,,,,,,,,,,,,,,,,,,,
31481074,2017-01-01,2017-12-31,ID_3,,http://regnskaber.virk.dk/47018413/ZG9rdW1lbnRsYWdlcjovLzAzLzNlL2Q2LzA3LzAxL2I3ZGEtNDI0MC1iMmRkLWRjNmQ1YTk4MTllOA.pdf,http://regnskaber.virk.dk/47018413/ZG9rdW1lbnRsYWdlcjovLzAzLzFmLzM3L2VhLzFhLzBlZGItNDE4YS05ZjgzLTgzZmVjOTY2MGEwMA.xml,false,"Ãrhus C, 8000","Inge Lehmanns Gade 10, 6.",Til den daglige ledelse i Skagen Bunker Museum ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-05-07,2018-05-07,2008-06-04,2018-05-08,34330042.0,31481074.0,34330042.0,mne34082,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for Skagen Bunker Museum ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.","Thomas Olesen, cand.merc.aud.",Martin Nielsen,CURA revision,Nordjyske Bank,Skagen Bunker Museum ApS,"CURA revision, Registreret revisionsvirksomhed",HjÃ¸rring,2016-01-01,2016-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-05-07,Aarhus,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25475154,indberetninger-20180424,2.5118406,31481074.0,AWNq1ZCCx8uVRSOdgk0q,2018-05-16T21:23:51.539Z,2018-05-16T21:22:49.682Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AL-78-EG,2018-05-16T21:22:49.875Z,,,,,,,,,,,,,,,,,,,,,,Martin Nielsen
31481074,2017-01-01,2017-12-31,ID_4,,http://regnskaber.virk.dk/47018413/ZG9rdW1lbnRsYWdlcjovLzAzLzNlL2Q2LzA3LzAxL2I3ZGEtNDI0MC1iMmRkLWRjNmQ1YTk4MTllOA.pdf,http://regnskaber.virk.dk/47018413/ZG9rdW1lbnRsYWdlcjovLzAzLzFmLzM3L2VhLzFhLzBlZGItNDE4YS05ZjgzLTgzZmVjOTY2MGEwMA.xml,false,"Ãrhus C, 8000","Inge Lehmanns Gade 10, 6.",Til den daglige ledelse i Skagen Bunker Museum ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-05-07,2018-05-07,2008-06-04,2018-05-08,34330042.0,31481074.0,34330042.0,mne34082,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for Skagen Bunker Museum ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.","Thomas Olesen, cand.merc.aud.",Martin Nielsen,CURA revision,Nordjyske Bank,Skagen Bunker Museum ApS,"CURA revision, Registreret revisionsvirksomhed",HjÃ¸rring,2016-01-01,2016-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,false,2018-05-07,Aarhus,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25475154,indberetninger-20180424,2.5118406,31481074.0,AWNq1ZCCx8uVRSOdgk0q,2018-05-16T21:23:51.539Z,2018-05-16T21:22:49.682Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AL-78-EG,2018-05-16T21:22:49.875Z,,,,,,,,,,,,,,,,,,,,,,
