entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfLawFirmDistrictName,AddressOfLawFirmPostCodeIdentifier,AddressOfLawFirmStreetBuildingIdentifier,AddressOfLawFirmStreetName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AdjustmentsForCurrentTaxOfPriorPeriod,AdjustmentsForDeferredTax,AverageNumberOfEmployees,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,CurrentTaxExpense,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DescriptionOfAuditor,GrossProfitLoss,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,InterestExpenseAssignedToGroupEnterprises,InterestIncomeFromGroupEnterprises,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfLawFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,OtherInterestExpenses,OtherInterestIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,ReportingResponsibilitiesAccordingToTheDanishExecutiveOrderOnApprovedAuditorsReportsEspeciallyLegislationOnFinancialReportingIncludingAccountingAndStorageOfAccountingRecordsExtendedReview,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,NoncurrentAssets,OtherLongtermReceivables,OtherShorttermPayables,OtherShorttermReceivables,Provisions,ProvisionsForDeferredTax,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTradePayables,AddresseeOfAuditorsReportOnExtendedReviewOfFinancialStatements,NameOfAuditFirm,TypeOfAuditorAssistance
35673237,2015-07-01,2016-06-30,c347,,http://regnskaber.virk.dk/73237653/ZG9rdW1lbnRsYWdlcjovLzAzLzBiL2UzL2ZhLzg2LzYwMDQtNDQ2Yy1iYTY5LTZmYzlmODljNWU3MA.pdf,http://regnskaber.virk.dk/73237653/ZG9rdW1lbnRsYWdlcjovLzAzL2JhL2Q3LzViLzlkL2ZhODEtNGFjNi1hNTQ1LWI3ZDg0ZjQ2OTJmMA.xml,true,Middelfart,5500.0,6.0,Langelandsvej,Fredericia,7000.0,82.0,Prinsessegade,Odense C,5000.0,4.0,Jernbanegade,5580 NÃ¸rre Ãby,TvÃ¦rvejen 15,DK-5500 Middelfart,Langelandsvej 6,442133.0,0.0,1.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017.",0.0,2018-01-19,2014-02-27,2018-01-19,391306.0,Statsautoriseret revisor,2403224.0,20222670.0,35673237.0,20222670.0,mne27873,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017 for Nivapol Technology ApS.,Ãrsrapport,0.0,0.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Claus UrhÃ¸j,Tanya Vangsted,Tanya Vangsted,Handelsbanken Fredericia,Lexsos Advokater,Nivapol Technology ApS,BDO Statsautoriseret revisionsaktieselskab,4233.0,32.0,4233.0,32.0,NÃ¸rre Aaby,2015-07-01,2016-06-30,1565584.0,2007717.0,2011918.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,NÃ¸rre Aaby,2017-06-30,2016-07-01,true,false,2018-01-19,Middelfart,442133.0,urn:ofk:oid:24967965,indberetninger-20180424,2.5124211,35673237.0,,2018-04-03T16:03:08.661Z,2018-01-19T14:09:45.401Z,regnskab,0.0,,2017-06-30,2016-07-01,X18-AB-42-FJ,2018-01-19T14:09:45.530Z,,,,,,,,,,,,,,,,,,,,,,,
35673237,2015-07-01,2016-06-30,c368,,http://regnskaber.virk.dk/73237653/ZG9rdW1lbnRsYWdlcjovLzAzLzBiL2UzL2ZhLzg2LzYwMDQtNDQ2Yy1iYTY5LTZmYzlmODljNWU3MA.pdf,http://regnskaber.virk.dk/73237653/ZG9rdW1lbnRsYWdlcjovLzAzL2JhL2Q3LzViLzlkL2ZhODEtNGFjNi1hNTQ1LWI3ZDg0ZjQ2OTJmMA.xml,true,Middelfart,5500.0,6.0,Langelandsvej,Fredericia,7000.0,82.0,Prinsessegade,Odense C,5000.0,4.0,Jernbanegade,5580 NÃ¸rre Ãby,TvÃ¦rvejen 15,DK-5500 Middelfart,Langelandsvej 6,,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017.",,2018-01-19,2014-02-27,2018-01-19,,Statsautoriseret revisor,,20222670.0,35673237.0,20222670.0,mne27873,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017 for Nivapol Technology ApS.,Ãrsrapport,,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Claus UrhÃ¸j,Tanya Vangsted,Tanya Vangsted,Handelsbanken Fredericia,Lexsos Advokater,Nivapol Technology ApS,BDO Statsautoriseret revisionsaktieselskab,,,,,NÃ¸rre Aaby,2015-07-01,2016-06-30,1565584.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,NÃ¸rre Aaby,2017-06-30,2016-07-01,true,false,2018-01-19,Middelfart,,urn:ofk:oid:24967965,indberetninger-20180424,2.5124211,35673237.0,,2018-04-03T16:03:08.661Z,2018-01-19T14:09:45.401Z,regnskab,0.0,,2017-06-30,2016-07-01,X18-AB-42-FJ,2018-01-19T14:09:45.530Z,,,,,,,,,,,,,,,,,,,,,,,
35673237,2016-06-30,2016-06-30,c398,,http://regnskaber.virk.dk/73237653/ZG9rdW1lbnRsYWdlcjovLzAzLzBiL2UzL2ZhLzg2LzYwMDQtNDQ2Yy1iYTY5LTZmYzlmODljNWU3MA.pdf,http://regnskaber.virk.dk/73237653/ZG9rdW1lbnRsYWdlcjovLzAzL2JhL2Q3LzViLzlkL2ZhODEtNGFjNi1hNTQ1LWI3ZDg0ZjQ2OTJmMA.xml,true,Middelfart,5500.0,6.0,Langelandsvej,Fredericia,7000.0,82.0,Prinsessegade,Odense C,5000.0,4.0,Jernbanegade,5580 NÃ¸rre Ãby,TvÃ¦rvejen 15,DK-5500 Middelfart,Langelandsvej 6,,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017.",,2018-01-19,2014-02-27,2018-01-19,,Statsautoriseret revisor,,20222670.0,35673237.0,20222670.0,mne27873,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017 for Nivapol Technology ApS.,Ãrsrapport,,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Claus UrhÃ¸j,Tanya Vangsted,Tanya Vangsted,Handelsbanken Fredericia,Lexsos Advokater,Nivapol Technology ApS,BDO Statsautoriseret revisionsaktieselskab,,,,,NÃ¸rre Aaby,2015-07-01,2016-06-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,NÃ¸rre Aaby,2017-06-30,2016-07-01,true,false,2018-01-19,Middelfart,,urn:ofk:oid:24967965,indberetninger-20180424,2.5124211,35673237.0,,2018-04-03T16:03:08.661Z,2018-01-19T14:09:45.401Z,regnskab,0.0,,2017-06-30,2016-07-01,X18-AB-42-FJ,2018-01-19T14:09:45.530Z,3544284.0,1965.0,50000.0,1645515.0,3544284.0,1448181.0,75017.0,75017.0,75017.0,32840.0,181117.0,450588.0,450588.0,1595515.0,1448181.0,1338582.0,3467302.0,3286185.0,0.0,76759.0,,,
35673237,2016-07-01,2016-07-01,c703,,http://regnskaber.virk.dk/73237653/ZG9rdW1lbnRsYWdlcjovLzAzLzBiL2UzL2ZhLzg2LzYwMDQtNDQ2Yy1iYTY5LTZmYzlmODljNWU3MA.pdf,http://regnskaber.virk.dk/73237653/ZG9rdW1lbnRsYWdlcjovLzAzL2JhL2Q3LzViLzlkL2ZhODEtNGFjNi1hNTQ1LWI3ZDg0ZjQ2OTJmMA.xml,true,Middelfart,5500.0,6.0,Langelandsvej,Fredericia,7000.0,82.0,Prinsessegade,Odense C,5000.0,4.0,Jernbanegade,5580 NÃ¸rre Ãby,TvÃ¦rvejen 15,DK-5500 Middelfart,Langelandsvej 6,,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017.",,2018-01-19,2014-02-27,2018-01-19,,Statsautoriseret revisor,,20222670.0,35673237.0,20222670.0,mne27873,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017 for Nivapol Technology ApS.,Ãrsrapport,,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Claus UrhÃ¸j,Tanya Vangsted,Tanya Vangsted,Handelsbanken Fredericia,Lexsos Advokater,Nivapol Technology ApS,BDO Statsautoriseret revisionsaktieselskab,,,,,NÃ¸rre Aaby,2015-07-01,2016-06-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,NÃ¸rre Aaby,2017-06-30,2016-07-01,true,false,2018-01-19,Middelfart,,urn:ofk:oid:24967965,indberetninger-20180424,2.5124211,35673237.0,,2018-04-03T16:03:08.661Z,2018-01-19T14:09:45.401Z,regnskab,0.0,,2017-06-30,2016-07-01,X18-AB-42-FJ,2018-01-19T14:09:45.530Z,,,,50000.0,,,,,,,,,,,,,,,,,,,
35673237,2016-07-01,2016-07-01,c730,,http://regnskaber.virk.dk/73237653/ZG9rdW1lbnRsYWdlcjovLzAzLzBiL2UzL2ZhLzg2LzYwMDQtNDQ2Yy1iYTY5LTZmYzlmODljNWU3MA.pdf,http://regnskaber.virk.dk/73237653/ZG9rdW1lbnRsYWdlcjovLzAzL2JhL2Q3LzViLzlkL2ZhODEtNGFjNi1hNTQ1LWI3ZDg0ZjQ2OTJmMA.xml,true,Middelfart,5500.0,6.0,Langelandsvej,Fredericia,7000.0,82.0,Prinsessegade,Odense C,5000.0,4.0,Jernbanegade,5580 NÃ¸rre Ãby,TvÃ¦rvejen 15,DK-5500 Middelfart,Langelandsvej 6,,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017.",,2018-01-19,2014-02-27,2018-01-19,,Statsautoriseret revisor,,20222670.0,35673237.0,20222670.0,mne27873,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017 for Nivapol Technology ApS.,Ãrsrapport,,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Claus UrhÃ¸j,Tanya Vangsted,Tanya Vangsted,Handelsbanken Fredericia,Lexsos Advokater,Nivapol Technology ApS,BDO Statsautoriseret revisionsaktieselskab,,,,,NÃ¸rre Aaby,2015-07-01,2016-06-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,NÃ¸rre Aaby,2017-06-30,2016-07-01,true,false,2018-01-19,Middelfart,,urn:ofk:oid:24967965,indberetninger-20180424,2.5124211,35673237.0,,2018-04-03T16:03:08.661Z,2018-01-19T14:09:45.401Z,regnskab,0.0,,2017-06-30,2016-07-01,X18-AB-42-FJ,2018-01-19T14:09:45.530Z,,,,1595515.0,,,,,,,,,,,,,,,,,,,
35673237,2016-07-01,2017-06-30,c0,,http://regnskaber.virk.dk/73237653/ZG9rdW1lbnRsYWdlcjovLzAzLzBiL2UzL2ZhLzg2LzYwMDQtNDQ2Yy1iYTY5LTZmYzlmODljNWU3MA.pdf,http://regnskaber.virk.dk/73237653/ZG9rdW1lbnRsYWdlcjovLzAzL2JhL2Q3LzViLzlkL2ZhODEtNGFjNi1hNTQ1LWI3ZDg0ZjQ2OTJmMA.xml,true,Middelfart,5500.0,6.0,Langelandsvej,Fredericia,7000.0,82.0,Prinsessegade,Odense C,5000.0,4.0,Jernbanegade,5580 NÃ¸rre Ãby,TvÃ¦rvejen 15,DK-5500 Middelfart,Langelandsvej 6,-521703.0,2368.0,1.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017.",500852.0,2018-01-19,2014-02-27,2018-01-19,0.0,Statsautoriseret revisor,-143909.0,20222670.0,35673237.0,20222670.0,mne27873,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017 for Nivapol Technology ApS.,Ãrsrapport,30147.0,81149.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Claus UrhÃ¸j,Tanya Vangsted,Tanya Vangsted,Handelsbanken Fredericia,Lexsos Advokater,Nivapol Technology ApS,BDO Statsautoriseret revisionsaktieselskab,56751.0,81149.0,26604.0,0.0,NÃ¸rre Aaby,2015-07-01,2016-06-30,-101028.0,-119511.0,-143909.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,NÃ¸rre Aaby,2017-06-30,2016-07-01,true,false,2018-01-19,Middelfart,-18483.0,urn:ofk:oid:24967965,indberetninger-20180424,2.5124211,35673237.0,,2018-04-03T16:03:08.661Z,2018-01-19T14:09:45.401Z,regnskab,0.0,,2017-06-30,2016-07-01,X18-AB-42-FJ,2018-01-19T14:09:45.530Z,,,,,,,,,,,,,,,,,,,,,Til kapitalejeren i Nivapol Technology ApS,BDO Statsautoriseret revisionsaktieselskab,ErklÃ¦ring om udvidet gennemgang
35673237,2016-07-01,2017-06-30,c2,,http://regnskaber.virk.dk/73237653/ZG9rdW1lbnRsYWdlcjovLzAzLzBiL2UzL2ZhLzg2LzYwMDQtNDQ2Yy1iYTY5LTZmYzlmODljNWU3MA.pdf,http://regnskaber.virk.dk/73237653/ZG9rdW1lbnRsYWdlcjovLzAzL2JhL2Q3LzViLzlkL2ZhODEtNGFjNi1hNTQ1LWI3ZDg0ZjQ2OTJmMA.xml,true,Middelfart,5500.0,6.0,Langelandsvej,Fredericia,7000.0,82.0,Prinsessegade,Odense C,5000.0,4.0,Jernbanegade,5580 NÃ¸rre Ãby,TvÃ¦rvejen 15,DK-5500 Middelfart,Langelandsvej 6,,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017.",,2018-01-19,2014-02-27,2018-01-19,,Statsautoriseret revisor,,20222670.0,35673237.0,20222670.0,mne27873,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017 for Nivapol Technology ApS.,Ãrsrapport,,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Claus UrhÃ¸j,Tanya Vangsted,Tanya Vangsted,Handelsbanken Fredericia,Lexsos Advokater,Nivapol Technology ApS,BDO Statsautoriseret revisionsaktieselskab,,,,,NÃ¸rre Aaby,2015-07-01,2016-06-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,NÃ¸rre Aaby,2017-06-30,2016-07-01,true,false,2018-01-19,Middelfart,,urn:ofk:oid:24967965,indberetninger-20180424,2.5124211,35673237.0,,2018-04-03T16:03:08.661Z,2018-01-19T14:09:45.401Z,regnskab,0.0,,2017-06-30,2016-07-01,X18-AB-42-FJ,2018-01-19T14:09:45.530Z,,,,,,,,,,,,,,,,,,,,,,,
35673237,2016-07-01,2017-06-30,c367,,http://regnskaber.virk.dk/73237653/ZG9rdW1lbnRsYWdlcjovLzAzLzBiL2UzL2ZhLzg2LzYwMDQtNDQ2Yy1iYTY5LTZmYzlmODljNWU3MA.pdf,http://regnskaber.virk.dk/73237653/ZG9rdW1lbnRsYWdlcjovLzAzL2JhL2Q3LzViLzlkL2ZhODEtNGFjNi1hNTQ1LWI3ZDg0ZjQ2OTJmMA.xml,true,Middelfart,5500.0,6.0,Langelandsvej,Fredericia,7000.0,82.0,Prinsessegade,Odense C,5000.0,4.0,Jernbanegade,5580 NÃ¸rre Ãby,TvÃ¦rvejen 15,DK-5500 Middelfart,Langelandsvej 6,,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017.",,2018-01-19,2014-02-27,2018-01-19,,Statsautoriseret revisor,,20222670.0,35673237.0,20222670.0,mne27873,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017 for Nivapol Technology ApS.,Ãrsrapport,,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Claus UrhÃ¸j,Tanya Vangsted,Tanya Vangsted,Handelsbanken Fredericia,Lexsos Advokater,Nivapol Technology ApS,BDO Statsautoriseret revisionsaktieselskab,,,,,NÃ¸rre Aaby,2015-07-01,2016-06-30,-101028.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,NÃ¸rre Aaby,2017-06-30,2016-07-01,true,false,2018-01-19,Middelfart,,urn:ofk:oid:24967965,indberetninger-20180424,2.5124211,35673237.0,,2018-04-03T16:03:08.661Z,2018-01-19T14:09:45.401Z,regnskab,0.0,,2017-06-30,2016-07-01,X18-AB-42-FJ,2018-01-19T14:09:45.530Z,,,,,,,,,,,,,,,,,,,,,,,
35673237,2016-07-01,2017-06-30,c42,,http://regnskaber.virk.dk/73237653/ZG9rdW1lbnRsYWdlcjovLzAzLzBiL2UzL2ZhLzg2LzYwMDQtNDQ2Yy1iYTY5LTZmYzlmODljNWU3MA.pdf,http://regnskaber.virk.dk/73237653/ZG9rdW1lbnRsYWdlcjovLzAzL2JhL2Q3LzViLzlkL2ZhODEtNGFjNi1hNTQ1LWI3ZDg0ZjQ2OTJmMA.xml,true,Middelfart,5500.0,6.0,Langelandsvej,Fredericia,7000.0,82.0,Prinsessegade,Odense C,5000.0,4.0,Jernbanegade,5580 NÃ¸rre Ãby,TvÃ¦rvejen 15,DK-5500 Middelfart,Langelandsvej 6,,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017.",,2018-01-19,2014-02-27,2018-01-19,,Statsautoriseret revisor,,20222670.0,35673237.0,20222670.0,mne27873,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017 for Nivapol Technology ApS.,Ãrsrapport,,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Claus UrhÃ¸j,Tanya Vangsted,Tanya Vangsted,Handelsbanken Fredericia,Lexsos Advokater,Nivapol Technology ApS,BDO Statsautoriseret revisionsaktieselskab,,,,,NÃ¸rre Aaby,2015-07-01,2016-06-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,NÃ¸rre Aaby,2017-06-30,2016-07-01,true,false,2018-01-19,Middelfart,,urn:ofk:oid:24967965,indberetninger-20180424,2.5124211,35673237.0,,2018-04-03T16:03:08.661Z,2018-01-19T14:09:45.401Z,regnskab,0.0,,2017-06-30,2016-07-01,X18-AB-42-FJ,2018-01-19T14:09:45.530Z,,,,,,,,,,,,,,,,,,,,,,BDO Statsautoriseret revisionsaktieselskab,
35673237,2016-07-01,2017-06-30,c731,,http://regnskaber.virk.dk/73237653/ZG9rdW1lbnRsYWdlcjovLzAzLzBiL2UzL2ZhLzg2LzYwMDQtNDQ2Yy1iYTY5LTZmYzlmODljNWU3MA.pdf,http://regnskaber.virk.dk/73237653/ZG9rdW1lbnRsYWdlcjovLzAzL2JhL2Q3LzViLzlkL2ZhODEtNGFjNi1hNTQ1LWI3ZDg0ZjQ2OTJmMA.xml,true,Middelfart,5500.0,6.0,Langelandsvej,Fredericia,7000.0,82.0,Prinsessegade,Odense C,5000.0,4.0,Jernbanegade,5580 NÃ¸rre Ãby,TvÃ¦rvejen 15,DK-5500 Middelfart,Langelandsvej 6,,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017.",,2018-01-19,2014-02-27,2018-01-19,,Statsautoriseret revisor,,20222670.0,35673237.0,20222670.0,mne27873,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017 for Nivapol Technology ApS.,Ãrsrapport,,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Claus UrhÃ¸j,Tanya Vangsted,Tanya Vangsted,Handelsbanken Fredericia,Lexsos Advokater,Nivapol Technology ApS,BDO Statsautoriseret revisionsaktieselskab,,,,,NÃ¸rre Aaby,2015-07-01,2016-06-30,-101028.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,NÃ¸rre Aaby,2017-06-30,2016-07-01,true,false,2018-01-19,Middelfart,,urn:ofk:oid:24967965,indberetninger-20180424,2.5124211,35673237.0,,2018-04-03T16:03:08.661Z,2018-01-19T14:09:45.401Z,regnskab,0.0,,2017-06-30,2016-07-01,X18-AB-42-FJ,2018-01-19T14:09:45.530Z,,,,,,,,,,,,,,,,,,,,,,,
