entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorCountry,AddressOfAuditorCountryIdentificationCode,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AuditorsReportsOtherReports,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DescriptionOfAuditor,EmailOfReportingEntity,GrossProfitLoss,IdentificationNumberCvrOfReportingEntity,IdentificationNumberPnrOfAuditFirm,IncomeFromInvestmentsInAssociates,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpense,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInAssociates,NoncurrentAssets,OtherShorttermPayables,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,DividendPaid,IdentificationNumberCvrOfAuditFirm,NameOfAuditFirm
37126934,2015-10-02,2015-12-31,c3,http://regnskaber.virk.dk/43962173/ZG9rdW1lbnRsYWdlcjovLzAzLzliLzk2LzY2L2Q2LzQxZTItNGQyNS1hYjRhLWFhNjc3MDk4NmFjZg.xhtml,http://regnskaber.virk.dk/43962173/ZG9rdW1lbnRsYWdlcjovLzAzLzFiLzc5L2Y2L2UzLzgxYWUtNDlmNy1iZTA2LTJlMDg1NzNjODYyMw.pdf,http://regnskaber.virk.dk/43962173/ZG9rdW1lbnRsYWdlcjovLzAzLzIwLzVkLzA0LzQ5L2E3MzItNGE5NS04MmVkLTZhNWMzMjRmZmRiMg.xml,true,Danmark,DK,Holstebro,7500.0,6.0,Brotorvet,Haderup,7540.0,6.0,Taterbakkevej,7500 Holstebro,"Brotorvet, 6",Til den daglige ledelse i Agerlund Holding ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-04-05,2017-04-11,registreret revisor,KH-tag@privat.dk,-5000.0,37126934.0,1019836211.0,171749.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Preben Hald,JÃ¸rn KjÃ¦r Iversen,Kasper RahbÃ¦k HÃ¸jmark Pedersen,Agerlund Holding ApS,Revisionsfirmaet Iversen & Hald,173.0,Holstebro,2015-10-02,2015-12-31,167714.0,166576.0,-5000.0,2016-12-31,2016-01-01,false,false,2017-04-05,Holstebro,-1138.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23730058,indberetninger-20180424,2.595549,37126934,,2018-03-27T13:42:45.854Z,2017-04-18T12:33:05.517Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AF-72-VW,2017-04-18T12:33:05.829Z,,,,,,,,,,,,,,,,,,,
37126934,2015-10-02,2015-12-31,c5,http://regnskaber.virk.dk/43962173/ZG9rdW1lbnRsYWdlcjovLzAzLzliLzk2LzY2L2Q2LzQxZTItNGQyNS1hYjRhLWFhNjc3MDk4NmFjZg.xhtml,http://regnskaber.virk.dk/43962173/ZG9rdW1lbnRsYWdlcjovLzAzLzFiLzc5L2Y2L2UzLzgxYWUtNDlmNy1iZTA2LTJlMDg1NzNjODYyMw.pdf,http://regnskaber.virk.dk/43962173/ZG9rdW1lbnRsYWdlcjovLzAzLzIwLzVkLzA0LzQ5L2E3MzItNGE5NS04MmVkLTZhNWMzMjRmZmRiMg.xml,true,Danmark,DK,Holstebro,7500.0,6.0,Brotorvet,Haderup,7540.0,6.0,Taterbakkevej,7500 Holstebro,"Brotorvet, 6",Til den daglige ledelse i Agerlund Holding ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-04-05,2017-04-11,registreret revisor,KH-tag@privat.dk,,37126934.0,1019836211.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Preben Hald,JÃ¸rn KjÃ¦r Iversen,Kasper RahbÃ¦k HÃ¸jmark Pedersen,Agerlund Holding ApS,Revisionsfirmaet Iversen & Hald,,Holstebro,2015-10-02,2015-12-31,171749.0,,,2016-12-31,2016-01-01,false,false,2017-04-05,Holstebro,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23730058,indberetninger-20180424,2.595549,37126934,,2018-03-27T13:42:45.854Z,2017-04-18T12:33:05.517Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AF-72-VW,2017-04-18T12:33:05.829Z,,,,,,,,,,,,,,,,,,,
37126934,2015-10-02,2015-12-31,c7,http://regnskaber.virk.dk/43962173/ZG9rdW1lbnRsYWdlcjovLzAzLzliLzk2LzY2L2Q2LzQxZTItNGQyNS1hYjRhLWFhNjc3MDk4NmFjZg.xhtml,http://regnskaber.virk.dk/43962173/ZG9rdW1lbnRsYWdlcjovLzAzLzFiLzc5L2Y2L2UzLzgxYWUtNDlmNy1iZTA2LTJlMDg1NzNjODYyMw.pdf,http://regnskaber.virk.dk/43962173/ZG9rdW1lbnRsYWdlcjovLzAzLzIwLzVkLzA0LzQ5L2E3MzItNGE5NS04MmVkLTZhNWMzMjRmZmRiMg.xml,true,Danmark,DK,Holstebro,7500.0,6.0,Brotorvet,Haderup,7540.0,6.0,Taterbakkevej,7500 Holstebro,"Brotorvet, 6",Til den daglige ledelse i Agerlund Holding ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-04-05,2017-04-11,registreret revisor,KH-tag@privat.dk,,37126934.0,1019836211.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Preben Hald,JÃ¸rn KjÃ¦r Iversen,Kasper RahbÃ¦k HÃ¸jmark Pedersen,Agerlund Holding ApS,Revisionsfirmaet Iversen & Hald,,Holstebro,2015-10-02,2015-12-31,-4035.0,,,2016-12-31,2016-01-01,false,false,2017-04-05,Holstebro,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23730058,indberetninger-20180424,2.595549,37126934,,2018-03-27T13:42:45.854Z,2017-04-18T12:33:05.517Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AF-72-VW,2017-04-18T12:33:05.829Z,,,,,,,,,,,,,,,,,,,
37126934,2015-12-31,2015-12-31,c9,http://regnskaber.virk.dk/43962173/ZG9rdW1lbnRsYWdlcjovLzAzLzliLzk2LzY2L2Q2LzQxZTItNGQyNS1hYjRhLWFhNjc3MDk4NmFjZg.xhtml,http://regnskaber.virk.dk/43962173/ZG9rdW1lbnRsYWdlcjovLzAzLzFiLzc5L2Y2L2UzLzgxYWUtNDlmNy1iZTA2LTJlMDg1NzNjODYyMw.pdf,http://regnskaber.virk.dk/43962173/ZG9rdW1lbnRsYWdlcjovLzAzLzIwLzVkLzA0LzQ5L2E3MzItNGE5NS04MmVkLTZhNWMzMjRmZmRiMg.xml,true,Danmark,DK,Holstebro,7500.0,6.0,Brotorvet,Haderup,7540.0,6.0,Taterbakkevej,7500 Holstebro,"Brotorvet, 6",Til den daglige ledelse i Agerlund Holding ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-04-05,2017-04-11,registreret revisor,KH-tag@privat.dk,,37126934.0,1019836211.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Preben Hald,JÃ¸rn KjÃ¦r Iversen,Kasper RahbÃ¦k HÃ¸jmark Pedersen,Agerlund Holding ApS,Revisionsfirmaet Iversen & Hald,,Holstebro,2015-10-02,2015-12-31,,,,2016-12-31,2016-01-01,false,false,2017-04-05,Holstebro,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23730058,indberetninger-20180424,2.595549,37126934,,2018-03-27T13:42:45.854Z,2017-04-18T12:33:05.517Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AF-72-VW,2017-04-18T12:33:05.829Z,240628.0,50000.0,50000.0,51138.0,1138.0,217714.0,240628.0,22914.0,189490.0,189490.0,189490.0,22914.0,171749.0,-4035.0,22914.0,1138.0,,,
37126934,2016-01-01,2016-01-01,c10,http://regnskaber.virk.dk/43962173/ZG9rdW1lbnRsYWdlcjovLzAzLzliLzk2LzY2L2Q2LzQxZTItNGQyNS1hYjRhLWFhNjc3MDk4NmFjZg.xhtml,http://regnskaber.virk.dk/43962173/ZG9rdW1lbnRsYWdlcjovLzAzLzFiLzc5L2Y2L2UzLzgxYWUtNDlmNy1iZTA2LTJlMDg1NzNjODYyMw.pdf,http://regnskaber.virk.dk/43962173/ZG9rdW1lbnRsYWdlcjovLzAzLzIwLzVkLzA0LzQ5L2E3MzItNGE5NS04MmVkLTZhNWMzMjRmZmRiMg.xml,true,Danmark,DK,Holstebro,7500.0,6.0,Brotorvet,Haderup,7540.0,6.0,Taterbakkevej,7500 Holstebro,"Brotorvet, 6",Til den daglige ledelse i Agerlund Holding ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-04-05,2017-04-11,registreret revisor,KH-tag@privat.dk,,37126934.0,1019836211.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Preben Hald,JÃ¸rn KjÃ¦r Iversen,Kasper RahbÃ¦k HÃ¸jmark Pedersen,Agerlund Holding ApS,Revisionsfirmaet Iversen & Hald,,Holstebro,2015-10-02,2015-12-31,,,,2016-12-31,2016-01-01,false,false,2017-04-05,Holstebro,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23730058,indberetninger-20180424,2.595549,37126934,,2018-03-27T13:42:45.854Z,2017-04-18T12:33:05.517Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AF-72-VW,2017-04-18T12:33:05.829Z,,,,,,50000.0,,,,,,,,,,,,,
37126934,2016-01-01,2016-01-01,c11,http://regnskaber.virk.dk/43962173/ZG9rdW1lbnRsYWdlcjovLzAzLzliLzk2LzY2L2Q2LzQxZTItNGQyNS1hYjRhLWFhNjc3MDk4NmFjZg.xhtml,http://regnskaber.virk.dk/43962173/ZG9rdW1lbnRsYWdlcjovLzAzLzFiLzc5L2Y2L2UzLzgxYWUtNDlmNy1iZTA2LTJlMDg1NzNjODYyMw.pdf,http://regnskaber.virk.dk/43962173/ZG9rdW1lbnRsYWdlcjovLzAzLzIwLzVkLzA0LzQ5L2E3MzItNGE5NS04MmVkLTZhNWMzMjRmZmRiMg.xml,true,Danmark,DK,Holstebro,7500.0,6.0,Brotorvet,Haderup,7540.0,6.0,Taterbakkevej,7500 Holstebro,"Brotorvet, 6",Til den daglige ledelse i Agerlund Holding ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-04-05,2017-04-11,registreret revisor,KH-tag@privat.dk,,37126934.0,1019836211.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Preben Hald,JÃ¸rn KjÃ¦r Iversen,Kasper RahbÃ¦k HÃ¸jmark Pedersen,Agerlund Holding ApS,Revisionsfirmaet Iversen & Hald,,Holstebro,2015-10-02,2015-12-31,,,,2016-12-31,2016-01-01,false,false,2017-04-05,Holstebro,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23730058,indberetninger-20180424,2.595549,37126934,,2018-03-27T13:42:45.854Z,2017-04-18T12:33:05.517Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AF-72-VW,2017-04-18T12:33:05.829Z,,,,,,171749.0,,,,,,,,,,,,,
37126934,2016-01-01,2016-01-01,c12,http://regnskaber.virk.dk/43962173/ZG9rdW1lbnRsYWdlcjovLzAzLzliLzk2LzY2L2Q2LzQxZTItNGQyNS1hYjRhLWFhNjc3MDk4NmFjZg.xhtml,http://regnskaber.virk.dk/43962173/ZG9rdW1lbnRsYWdlcjovLzAzLzFiLzc5L2Y2L2UzLzgxYWUtNDlmNy1iZTA2LTJlMDg1NzNjODYyMw.pdf,http://regnskaber.virk.dk/43962173/ZG9rdW1lbnRsYWdlcjovLzAzLzIwLzVkLzA0LzQ5L2E3MzItNGE5NS04MmVkLTZhNWMzMjRmZmRiMg.xml,true,Danmark,DK,Holstebro,7500.0,6.0,Brotorvet,Haderup,7540.0,6.0,Taterbakkevej,7500 Holstebro,"Brotorvet, 6",Til den daglige ledelse i Agerlund Holding ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-04-05,2017-04-11,registreret revisor,KH-tag@privat.dk,,37126934.0,1019836211.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Preben Hald,JÃ¸rn KjÃ¦r Iversen,Kasper RahbÃ¦k HÃ¸jmark Pedersen,Agerlund Holding ApS,Revisionsfirmaet Iversen & Hald,,Holstebro,2015-10-02,2015-12-31,,,,2016-12-31,2016-01-01,false,false,2017-04-05,Holstebro,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23730058,indberetninger-20180424,2.595549,37126934,,2018-03-27T13:42:45.854Z,2017-04-18T12:33:05.517Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AF-72-VW,2017-04-18T12:33:05.829Z,,,,,,-4035.0,,,,,,,,,,,,,
37126934,2016-01-01,2016-01-01,c13,http://regnskaber.virk.dk/43962173/ZG9rdW1lbnRsYWdlcjovLzAzLzliLzk2LzY2L2Q2LzQxZTItNGQyNS1hYjRhLWFhNjc3MDk4NmFjZg.xhtml,http://regnskaber.virk.dk/43962173/ZG9rdW1lbnRsYWdlcjovLzAzLzFiLzc5L2Y2L2UzLzgxYWUtNDlmNy1iZTA2LTJlMDg1NzNjODYyMw.pdf,http://regnskaber.virk.dk/43962173/ZG9rdW1lbnRsYWdlcjovLzAzLzIwLzVkLzA0LzQ5L2E3MzItNGE5NS04MmVkLTZhNWMzMjRmZmRiMg.xml,true,Danmark,DK,Holstebro,7500.0,6.0,Brotorvet,Haderup,7540.0,6.0,Taterbakkevej,7500 Holstebro,"Brotorvet, 6",Til den daglige ledelse i Agerlund Holding ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-04-05,2017-04-11,registreret revisor,KH-tag@privat.dk,,37126934.0,1019836211.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Preben Hald,JÃ¸rn KjÃ¦r Iversen,Kasper RahbÃ¦k HÃ¸jmark Pedersen,Agerlund Holding ApS,Revisionsfirmaet Iversen & Hald,,Holstebro,2015-10-02,2015-12-31,,,,2016-12-31,2016-01-01,false,false,2017-04-05,Holstebro,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23730058,indberetninger-20180424,2.595549,37126934,,2018-03-27T13:42:45.854Z,2017-04-18T12:33:05.517Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AF-72-VW,2017-04-18T12:33:05.829Z,,,,,,217714.0,,,,,,,,,,,,,
37126934,2016-01-01,2016-12-31,c0,http://regnskaber.virk.dk/43962173/ZG9rdW1lbnRsYWdlcjovLzAzLzliLzk2LzY2L2Q2LzQxZTItNGQyNS1hYjRhLWFhNjc3MDk4NmFjZg.xhtml,http://regnskaber.virk.dk/43962173/ZG9rdW1lbnRsYWdlcjovLzAzLzFiLzc5L2Y2L2UzLzgxYWUtNDlmNy1iZTA2LTJlMDg1NzNjODYyMw.pdf,http://regnskaber.virk.dk/43962173/ZG9rdW1lbnRsYWdlcjovLzAzLzIwLzVkLzA0LzQ5L2E3MzItNGE5NS04MmVkLTZhNWMzMjRmZmRiMg.xml,true,Danmark,DK,Holstebro,7500.0,6.0,Brotorvet,Haderup,7540.0,6.0,Taterbakkevej,7500 Holstebro,"Brotorvet, 6",Til den daglige ledelse i Agerlund Holding ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-04-05,2017-04-11,registreret revisor,KH-tag@privat.dk,-5313.0,37126934.0,1019836211.0,279252.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Preben Hald,JÃ¸rn KjÃ¦r Iversen,Kasper RahbÃ¦k HÃ¸jmark Pedersen,Agerlund Holding ApS,Revisionsfirmaet Iversen & Hald,251.0,Holstebro,2015-10-02,2015-12-31,272550.0,273688.0,-5313.0,2016-12-31,2016-01-01,false,false,2017-04-05,Holstebro,1138.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23730058,indberetninger-20180424,2.595549,37126934,,2018-03-27T13:42:45.854Z,2017-04-18T12:33:05.517Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AF-72-VW,2017-04-18T12:33:05.829Z,,,,,,,,,,,,,,,,,0.0,,
37126934,2016-01-01,2016-12-31,c1,http://regnskaber.virk.dk/43962173/ZG9rdW1lbnRsYWdlcjovLzAzLzliLzk2LzY2L2Q2LzQxZTItNGQyNS1hYjRhLWFhNjc3MDk4NmFjZg.xhtml,http://regnskaber.virk.dk/43962173/ZG9rdW1lbnRsYWdlcjovLzAzLzFiLzc5L2Y2L2UzLzgxYWUtNDlmNy1iZTA2LTJlMDg1NzNjODYyMw.pdf,http://regnskaber.virk.dk/43962173/ZG9rdW1lbnRsYWdlcjovLzAzLzIwLzVkLzA0LzQ5L2E3MzItNGE5NS04MmVkLTZhNWMzMjRmZmRiMg.xml,true,Danmark,DK,Holstebro,7500.0,6.0,Brotorvet,Haderup,7540.0,6.0,Taterbakkevej,7500 Holstebro,"Brotorvet, 6",Til den daglige ledelse i Agerlund Holding ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-04-05,2017-04-11,registreret revisor,KH-tag@privat.dk,,37126934.0,1019836211.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Preben Hald,JÃ¸rn KjÃ¦r Iversen,Kasper RahbÃ¦k HÃ¸jmark Pedersen,Agerlund Holding ApS,Revisionsfirmaet Iversen & Hald,,Holstebro,2015-10-02,2015-12-31,,,,2016-12-31,2016-01-01,false,false,2017-04-05,Holstebro,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23730058,indberetninger-20180424,2.595549,37126934,,2018-03-27T13:42:45.854Z,2017-04-18T12:33:05.517Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AF-72-VW,2017-04-18T12:33:05.829Z,,,,,,,,,,,,,,,,,,36115432.0,Revisionsfirmaet Iversen & Hald
