entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfFinancialInstitutionPostcodeAndTown,AddressOfFinancialInstitutionStreetAndNumber,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,AuditorsReportOnFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,IdentificationOfAuditedFinancialStatements,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,ProfitLoss,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TitleOfMemberOfExecutiveBoard,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,GrossProfitLoss,OtherFinanceExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,NoncurrentAssets,OtherLongtermInvestments,OtherShorttermPayables,RetainedEarnings,ShorttermDebtToBanks,ShorttermLiabilitiesOtherThanProvisions
entity identifier,2011-01-01,2011-12-31,ID_11,http://regnskaber.virk.dk/21073923/Y3ZyLmRrOi8vcGRmcy8zMjkzNzAxMjtBcFM0NzQwMzg7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/21073923/Y3ZyLmRrOi8veGJybHMvWC1FMkQzQkRBRS0yMDEzMDUwN18xMDMxNTBfOTcz.xml,"9000, Aalborg","Finanscenter Jylland Nord, Prinsensgade 11","9000, Aalborg",Birkevej 1A,"9200, Aalborg SV",Vandmanden 10A,Til kapitalejerne i SCHOU GROUP APS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2012 - 31-12-2012.",2010-05-26,2013-05-05,Statsautoriseret revisor,33357966.0,32937012.0,33357966.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2012 - 31-12-2012 for SCHOU GROUP APS.,"Vi har revideret Ã¥rsregnskabet for SCHOU GROUP APS for regnskabsÃ¥ret 01-01-2012 - 31-12-2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Jesper Ovesen,Ole Schou,Ole Schou,ATTIRI Statsautoriseret Revisionsanpartsselskab,Danske Bank,SCHOU GROUP APS,ATTIRI Statsautoriseret Revisionsanpartsselskab,62477.0,"Aalborg, 851",2012-12-31,2012-01-01,2013-05-05,Aalborg,DirektÃ¸r,urn:ofk:oid:20701503,indberetninger-20180424,2.5118406,32937012.0,,2018-04-01T14:48:40.450Z,2013-05-07T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-146.098,2013-05-07T22:00:00.000Z,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_13,http://regnskaber.virk.dk/21073923/Y3ZyLmRrOi8vcGRmcy8zMjkzNzAxMjtBcFM0NzQwMzg7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/21073923/Y3ZyLmRrOi8veGJybHMvWC1FMkQzQkRBRS0yMDEzMDUwN18xMDMxNTBfOTcz.xml,"9000, Aalborg","Finanscenter Jylland Nord, Prinsensgade 11","9000, Aalborg",Birkevej 1A,"9200, Aalborg SV",Vandmanden 10A,Til kapitalejerne i SCHOU GROUP APS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2012 - 31-12-2012.",2010-05-26,2013-05-05,Statsautoriseret revisor,33357966.0,32937012.0,33357966.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2012 - 31-12-2012 for SCHOU GROUP APS.,"Vi har revideret Ã¥rsregnskabet for SCHOU GROUP APS for regnskabsÃ¥ret 01-01-2012 - 31-12-2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Jesper Ovesen,Ole Schou,Ole Schou,ATTIRI Statsautoriseret Revisionsanpartsselskab,Danske Bank,SCHOU GROUP APS,ATTIRI Statsautoriseret Revisionsanpartsselskab,62477.0,"Aalborg, 851",2012-12-31,2012-01-01,2013-05-05,Aalborg,DirektÃ¸r,urn:ofk:oid:20701503,indberetninger-20180424,2.5118406,32937012.0,,2018-04-01T14:48:40.450Z,2013-05-07T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-146.098,2013-05-07T22:00:00.000Z,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_9,http://regnskaber.virk.dk/21073923/Y3ZyLmRrOi8vcGRmcy8zMjkzNzAxMjtBcFM0NzQwMzg7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/21073923/Y3ZyLmRrOi8veGJybHMvWC1FMkQzQkRBRS0yMDEzMDUwN18xMDMxNTBfOTcz.xml,"9000, Aalborg","Finanscenter Jylland Nord, Prinsensgade 11","9000, Aalborg",Birkevej 1A,"9200, Aalborg SV",Vandmanden 10A,Til kapitalejerne i SCHOU GROUP APS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2012 - 31-12-2012.",2010-05-26,2013-05-05,Statsautoriseret revisor,33357966.0,32937012.0,33357966.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2012 - 31-12-2012 for SCHOU GROUP APS.,"Vi har revideret Ã¥rsregnskabet for SCHOU GROUP APS for regnskabsÃ¥ret 01-01-2012 - 31-12-2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Jesper Ovesen,Ole Schou,Ole Schou,ATTIRI Statsautoriseret Revisionsanpartsselskab,Danske Bank,SCHOU GROUP APS,ATTIRI Statsautoriseret Revisionsanpartsselskab,-62476.0,"Aalborg, 851",2012-12-31,2012-01-01,2013-05-05,Aalborg,DirektÃ¸r,urn:ofk:oid:20701503,indberetninger-20180424,2.5118406,32937012.0,,2018-04-01T14:48:40.450Z,2013-05-07T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-146.098,2013-05-07T22:00:00.000Z,4563.0,819.0,-67858.0,-62476.0,,,,,,,,,,,,,,
entity identifier,2011-12-31,2011-12-31,ID_15,http://regnskaber.virk.dk/21073923/Y3ZyLmRrOi8vcGRmcy8zMjkzNzAxMjtBcFM0NzQwMzg7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/21073923/Y3ZyLmRrOi8veGJybHMvWC1FMkQzQkRBRS0yMDEzMDUwN18xMDMxNTBfOTcz.xml,"9000, Aalborg","Finanscenter Jylland Nord, Prinsensgade 11","9000, Aalborg",Birkevej 1A,"9200, Aalborg SV",Vandmanden 10A,Til kapitalejerne i SCHOU GROUP APS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2012 - 31-12-2012.",2010-05-26,2013-05-05,Statsautoriseret revisor,33357966.0,32937012.0,33357966.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2012 - 31-12-2012 for SCHOU GROUP APS.,"Vi har revideret Ã¥rsregnskabet for SCHOU GROUP APS for regnskabsÃ¥ret 01-01-2012 - 31-12-2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Jesper Ovesen,Ole Schou,Ole Schou,ATTIRI Statsautoriseret Revisionsanpartsselskab,Danske Bank,SCHOU GROUP APS,ATTIRI Statsautoriseret Revisionsanpartsselskab,,"Aalborg, 851",2012-12-31,2012-01-01,2013-05-05,Aalborg,DirektÃ¸r,urn:ofk:oid:20701503,indberetninger-20180424,2.5118406,32937012.0,,2018-04-01T14:48:40.450Z,2013-05-07T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-146.098,2013-05-07T22:00:00.000Z,,,,,175358.0,358.0,-80000.0,358.0,-136952.0,-175358.0,-38406.0,175000.0,175000.0,175000.0,-3000.0,-56952.0,-35406.0,-38406.0
entity identifier,2012-01-01,2012-12-31,ID_0,http://regnskaber.virk.dk/21073923/Y3ZyLmRrOi8vcGRmcy8zMjkzNzAxMjtBcFM0NzQwMzg7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/21073923/Y3ZyLmRrOi8veGJybHMvWC1FMkQzQkRBRS0yMDEzMDUwN18xMDMxNTBfOTcz.xml,"9000, Aalborg","Finanscenter Jylland Nord, Prinsensgade 11","9000, Aalborg",Birkevej 1A,"9200, Aalborg SV",Vandmanden 10A,Til kapitalejerne i SCHOU GROUP APS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2012 - 31-12-2012.",2010-05-26,2013-05-05,Statsautoriseret revisor,33357966.0,32937012.0,33357966.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2012 - 31-12-2012 for SCHOU GROUP APS.,"Vi har revideret Ã¥rsregnskabet for SCHOU GROUP APS for regnskabsÃ¥ret 01-01-2012 - 31-12-2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Jesper Ovesen,Ole Schou,Ole Schou,ATTIRI Statsautoriseret Revisionsanpartsselskab,Danske Bank,SCHOU GROUP APS,ATTIRI Statsautoriseret Revisionsanpartsselskab,,"Aalborg, 851",2012-12-31,2012-01-01,2013-05-05,Aalborg,DirektÃ¸r,urn:ofk:oid:20701503,indberetninger-20180424,2.5118406,32937012.0,,2018-04-01T14:48:40.450Z,2013-05-07T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-146.098,2013-05-07T22:00:00.000Z,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_1,http://regnskaber.virk.dk/21073923/Y3ZyLmRrOi8vcGRmcy8zMjkzNzAxMjtBcFM0NzQwMzg7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/21073923/Y3ZyLmRrOi8veGJybHMvWC1FMkQzQkRBRS0yMDEzMDUwN18xMDMxNTBfOTcz.xml,"9000, Aalborg","Finanscenter Jylland Nord, Prinsensgade 11","9000, Aalborg",Birkevej 1A,"9200, Aalborg SV",Vandmanden 10A,Til kapitalejerne i SCHOU GROUP APS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2012 - 31-12-2012.",2010-05-26,2013-05-05,Statsautoriseret revisor,33357966.0,32937012.0,33357966.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2012 - 31-12-2012 for SCHOU GROUP APS.,"Vi har revideret Ã¥rsregnskabet for SCHOU GROUP APS for regnskabsÃ¥ret 01-01-2012 - 31-12-2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Jesper Ovesen,Ole Schou,Ole Schou,ATTIRI Statsautoriseret Revisionsanpartsselskab,Danske Bank,SCHOU GROUP APS,ATTIRI Statsautoriseret Revisionsanpartsselskab,,"Aalborg, 851",2012-12-31,2012-01-01,2013-05-05,Aalborg,DirektÃ¸r,urn:ofk:oid:20701503,indberetninger-20180424,2.5118406,32937012.0,,2018-04-01T14:48:40.450Z,2013-05-07T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-146.098,2013-05-07T22:00:00.000Z,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_10,http://regnskaber.virk.dk/21073923/Y3ZyLmRrOi8vcGRmcy8zMjkzNzAxMjtBcFM0NzQwMzg7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/21073923/Y3ZyLmRrOi8veGJybHMvWC1FMkQzQkRBRS0yMDEzMDUwN18xMDMxNTBfOTcz.xml,"9000, Aalborg","Finanscenter Jylland Nord, Prinsensgade 11","9000, Aalborg",Birkevej 1A,"9200, Aalborg SV",Vandmanden 10A,Til kapitalejerne i SCHOU GROUP APS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2012 - 31-12-2012.",2010-05-26,2013-05-05,Statsautoriseret revisor,33357966.0,32937012.0,33357966.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2012 - 31-12-2012 for SCHOU GROUP APS.,"Vi har revideret Ã¥rsregnskabet for SCHOU GROUP APS for regnskabsÃ¥ret 01-01-2012 - 31-12-2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Jesper Ovesen,Ole Schou,Ole Schou,ATTIRI Statsautoriseret Revisionsanpartsselskab,Danske Bank,SCHOU GROUP APS,ATTIRI Statsautoriseret Revisionsanpartsselskab,6979.0,"Aalborg, 851",2012-12-31,2012-01-01,2013-05-05,Aalborg,DirektÃ¸r,urn:ofk:oid:20701503,indberetninger-20180424,2.5118406,32937012.0,,2018-04-01T14:48:40.450Z,2013-05-07T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-146.098,2013-05-07T22:00:00.000Z,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_12,http://regnskaber.virk.dk/21073923/Y3ZyLmRrOi8vcGRmcy8zMjkzNzAxMjtBcFM0NzQwMzg7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/21073923/Y3ZyLmRrOi8veGJybHMvWC1FMkQzQkRBRS0yMDEzMDUwN18xMDMxNTBfOTcz.xml,"9000, Aalborg","Finanscenter Jylland Nord, Prinsensgade 11","9000, Aalborg",Birkevej 1A,"9200, Aalborg SV",Vandmanden 10A,Til kapitalejerne i SCHOU GROUP APS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2012 - 31-12-2012.",2010-05-26,2013-05-05,Statsautoriseret revisor,33357966.0,32937012.0,33357966.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2012 - 31-12-2012 for SCHOU GROUP APS.,"Vi har revideret Ã¥rsregnskabet for SCHOU GROUP APS for regnskabsÃ¥ret 01-01-2012 - 31-12-2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Jesper Ovesen,Ole Schou,Ole Schou,ATTIRI Statsautoriseret Revisionsanpartsselskab,Danske Bank,SCHOU GROUP APS,ATTIRI Statsautoriseret Revisionsanpartsselskab,6979.0,"Aalborg, 851",2012-12-31,2012-01-01,2013-05-05,Aalborg,DirektÃ¸r,urn:ofk:oid:20701503,indberetninger-20180424,2.5118406,32937012.0,,2018-04-01T14:48:40.450Z,2013-05-07T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-146.098,2013-05-07T22:00:00.000Z,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_16,http://regnskaber.virk.dk/21073923/Y3ZyLmRrOi8vcGRmcy8zMjkzNzAxMjtBcFM0NzQwMzg7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/21073923/Y3ZyLmRrOi8veGJybHMvWC1FMkQzQkRBRS0yMDEzMDUwN18xMDMxNTBfOTcz.xml,"9000, Aalborg","Finanscenter Jylland Nord, Prinsensgade 11","9000, Aalborg",Birkevej 1A,"9200, Aalborg SV",Vandmanden 10A,Til kapitalejerne i SCHOU GROUP APS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2012 - 31-12-2012.",2010-05-26,2013-05-05,Statsautoriseret revisor,33357966.0,32937012.0,33357966.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2012 - 31-12-2012 for SCHOU GROUP APS.,"Vi har revideret Ã¥rsregnskabet for SCHOU GROUP APS for regnskabsÃ¥ret 01-01-2012 - 31-12-2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Jesper Ovesen,Ole Schou,Ole Schou,ATTIRI Statsautoriseret Revisionsanpartsselskab,Danske Bank,SCHOU GROUP APS,ATTIRI Statsautoriseret Revisionsanpartsselskab,,"Aalborg, 851",2012-12-31,2012-01-01,2013-05-05,Aalborg,DirektÃ¸r,urn:ofk:oid:20701503,indberetninger-20180424,2.5118406,32937012.0,,2018-04-01T14:48:40.450Z,2013-05-07T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-146.098,2013-05-07T22:00:00.000Z,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_17,http://regnskaber.virk.dk/21073923/Y3ZyLmRrOi8vcGRmcy8zMjkzNzAxMjtBcFM0NzQwMzg7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/21073923/Y3ZyLmRrOi8veGJybHMvWC1FMkQzQkRBRS0yMDEzMDUwN18xMDMxNTBfOTcz.xml,"9000, Aalborg","Finanscenter Jylland Nord, Prinsensgade 11","9000, Aalborg",Birkevej 1A,"9200, Aalborg SV",Vandmanden 10A,Til kapitalejerne i SCHOU GROUP APS,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2012 - 31-12-2012.",2010-05-26,2013-05-05,Statsautoriseret revisor,33357966.0,32937012.0,33357966.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2012 - 31-12-2012 for SCHOU GROUP APS.,"Vi har revideret Ã¥rsregnskabet for SCHOU GROUP APS for regnskabsÃ¥ret 01-01-2012 - 31-12-2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Jesper Ovesen,Ole Schou,Ole Schou,ATTIRI Statsautoriseret Revisionsanpartsselskab,Danske Bank,SCHOU GROUP APS,ATTIRI Statsautoriseret Revisionsanpartsselskab,,"Aalborg, 851",2012-12-31,2012-01-01,2013-05-05,Aalborg,DirektÃ¸r,urn:ofk:oid:20701503,indberetninger-20180424,2.5118406,32937012.0,,2018-04-01T14:48:40.450Z,2013-05-07T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-146.098,2013-05-07T22:00:00.000Z,,,,,,,,,,,,,,,,,,
