entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AdministrativeExpenses,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,ExtraordinaryProfitLossBeforeTax,GrossResult,IdentificationNumberCvrOfReportingEntity,IncomeFromInvestmentsInAssociates,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,ShorttermReceivables,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInAssociates,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,ProposedDividend,ProposedDividendRecognisedInEquity,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions
33639864,2013-01-01,2013-12-31,c2,http://regnskaber.virk.dk/46893633/ZG9rdW1lbnRsYWdlcjovLzAzL2Y5L2RmLzg0LzIwL2Y5MTMtNDY1Ny1iNWRhLWNlY2YzNDU0MjdjOQ.xhtml,http://regnskaber.virk.dk/46893633/ZG9rdW1lbnRsYWdlcjovLzAzL2NmLzc5Lzc1L2ViLzUyYzQtNGE5Ny05YjZmLTlhZmVjMjU3YWE5YQ.pdf,http://regnskaber.virk.dk/46893633/ZG9rdW1lbnRsYWdlcjovLzAzL2M1LzQyL2NiL2RmLzFhOGQtNGNiOS1iNGZlLTk3MjI3MjQ4OTI4OA.xml,Odense S,5260.0,2.0,Kildebakken,5240 Odense NÃ,Utzons AllÃ© 36,2017.0,Regnskabsklasse B,2015-05-27,2015-05-27,-30256.0,-2017.0,33639864.0,-28239.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Keld Rasmussen,Per Jessen,PER JESSEN HOLDING ApS,Keld Rasmussen,"Odense, den",2013-01-01,2013-12-31,-30256.0,-30256.0,-2017.0,2014-12-31,2014-01-01,75000.0,"Ledelsen har fravalgt revision for det kommende regnskabsÃ¥r, og erklÃ¦rer hermed at betingelserne herfor anses for opfyldte.",direktÃ¸r,Ingen bistand,urn:ofk:oid:5346118,indberetninger-20180424,2.5955619999999997,33639864.0,,2018-03-30T20:31:49.102Z,2015-05-29T07:06:39.823Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AC-50-PD,2015-05-29T07:06:39.875Z,,,,,,,,,,,,,,,,,
33639864,2013-01-01,2013-12-31,c4,http://regnskaber.virk.dk/46893633/ZG9rdW1lbnRsYWdlcjovLzAzL2Y5L2RmLzg0LzIwL2Y5MTMtNDY1Ny1iNWRhLWNlY2YzNDU0MjdjOQ.xhtml,http://regnskaber.virk.dk/46893633/ZG9rdW1lbnRsYWdlcjovLzAzL2NmLzc5Lzc1L2ViLzUyYzQtNGE5Ny05YjZmLTlhZmVjMjU3YWE5YQ.pdf,http://regnskaber.virk.dk/46893633/ZG9rdW1lbnRsYWdlcjovLzAzL2M1LzQyL2NiL2RmLzFhOGQtNGNiOS1iNGZlLTk3MjI3MjQ4OTI4OA.xml,Odense S,5260.0,2.0,Kildebakken,5240 Odense NÃ,Utzons AllÃ© 36,,Regnskabsklasse B,2015-05-27,2015-05-27,,,33639864.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Keld Rasmussen,Per Jessen,PER JESSEN HOLDING ApS,Keld Rasmussen,"Odense, den",2013-01-01,2013-12-31,0.0,,,2014-12-31,2014-01-01,75000.0,"Ledelsen har fravalgt revision for det kommende regnskabsÃ¥r, og erklÃ¦rer hermed at betingelserne herfor anses for opfyldte.",direktÃ¸r,Ingen bistand,urn:ofk:oid:5346118,indberetninger-20180424,2.5955619999999997,33639864.0,,2018-03-30T20:31:49.102Z,2015-05-29T07:06:39.823Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AC-50-PD,2015-05-29T07:06:39.875Z,,,,,,,,,,,,,,,,,
33639864,2013-01-01,2013-12-31,c6,http://regnskaber.virk.dk/46893633/ZG9rdW1lbnRsYWdlcjovLzAzL2Y5L2RmLzg0LzIwL2Y5MTMtNDY1Ny1iNWRhLWNlY2YzNDU0MjdjOQ.xhtml,http://regnskaber.virk.dk/46893633/ZG9rdW1lbnRsYWdlcjovLzAzL2NmLzc5Lzc1L2ViLzUyYzQtNGE5Ny05YjZmLTlhZmVjMjU3YWE5YQ.pdf,http://regnskaber.virk.dk/46893633/ZG9rdW1lbnRsYWdlcjovLzAzL2M1LzQyL2NiL2RmLzFhOGQtNGNiOS1iNGZlLTk3MjI3MjQ4OTI4OA.xml,Odense S,5260.0,2.0,Kildebakken,5240 Odense NÃ,Utzons AllÃ© 36,,Regnskabsklasse B,2015-05-27,2015-05-27,,,33639864.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Keld Rasmussen,Per Jessen,PER JESSEN HOLDING ApS,Keld Rasmussen,"Odense, den",2013-01-01,2013-12-31,-28239.0,,,2014-12-31,2014-01-01,75000.0,"Ledelsen har fravalgt revision for det kommende regnskabsÃ¥r, og erklÃ¦rer hermed at betingelserne herfor anses for opfyldte.",direktÃ¸r,Ingen bistand,urn:ofk:oid:5346118,indberetninger-20180424,2.5955619999999997,33639864.0,,2018-03-30T20:31:49.102Z,2015-05-29T07:06:39.823Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AC-50-PD,2015-05-29T07:06:39.875Z,,,,,,,,,,,,,,,,,
33639864,2013-01-01,2013-12-31,c8,http://regnskaber.virk.dk/46893633/ZG9rdW1lbnRsYWdlcjovLzAzL2Y5L2RmLzg0LzIwL2Y5MTMtNDY1Ny1iNWRhLWNlY2YzNDU0MjdjOQ.xhtml,http://regnskaber.virk.dk/46893633/ZG9rdW1lbnRsYWdlcjovLzAzL2NmLzc5Lzc1L2ViLzUyYzQtNGE5Ny05YjZmLTlhZmVjMjU3YWE5YQ.pdf,http://regnskaber.virk.dk/46893633/ZG9rdW1lbnRsYWdlcjovLzAzL2M1LzQyL2NiL2RmLzFhOGQtNGNiOS1iNGZlLTk3MjI3MjQ4OTI4OA.xml,Odense S,5260.0,2.0,Kildebakken,5240 Odense NÃ,Utzons AllÃ© 36,,Regnskabsklasse B,2015-05-27,2015-05-27,,,33639864.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Keld Rasmussen,Per Jessen,PER JESSEN HOLDING ApS,Keld Rasmussen,"Odense, den",2013-01-01,2013-12-31,-2017.0,,,2014-12-31,2014-01-01,75000.0,"Ledelsen har fravalgt revision for det kommende regnskabsÃ¥r, og erklÃ¦rer hermed at betingelserne herfor anses for opfyldte.",direktÃ¸r,Ingen bistand,urn:ofk:oid:5346118,indberetninger-20180424,2.5955619999999997,33639864.0,,2018-03-30T20:31:49.102Z,2015-05-29T07:06:39.823Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AC-50-PD,2015-05-29T07:06:39.875Z,,,,,,,,,,,,,,,,,
33639864,2013-12-31,2013-12-31,c10,http://regnskaber.virk.dk/46893633/ZG9rdW1lbnRsYWdlcjovLzAzL2Y5L2RmLzg0LzIwL2Y5MTMtNDY1Ny1iNWRhLWNlY2YzNDU0MjdjOQ.xhtml,http://regnskaber.virk.dk/46893633/ZG9rdW1lbnRsYWdlcjovLzAzL2NmLzc5Lzc1L2ViLzUyYzQtNGE5Ny05YjZmLTlhZmVjMjU3YWE5YQ.pdf,http://regnskaber.virk.dk/46893633/ZG9rdW1lbnRsYWdlcjovLzAzL2M1LzQyL2NiL2RmLzFhOGQtNGNiOS1iNGZlLTk3MjI3MjQ4OTI4OA.xml,Odense S,5260.0,2.0,Kildebakken,5240 Odense NÃ,Utzons AllÃ© 36,,Regnskabsklasse B,2015-05-27,2015-05-27,,,33639864.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Keld Rasmussen,Per Jessen,PER JESSEN HOLDING ApS,Keld Rasmussen,"Odense, den",2013-01-01,2013-12-31,,,,2014-12-31,2014-01-01,75000.0,"Ledelsen har fravalgt revision for det kommende regnskabsÃ¥r, og erklÃ¦rer hermed at betingelserne herfor anses for opfyldte.",direktÃ¸r,Ingen bistand,urn:ofk:oid:5346118,indberetninger-20180424,2.5955619999999997,33639864.0,,2018-03-30T20:31:49.102Z,2015-05-29T07:06:39.823Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AC-50-PD,2015-05-29T07:06:39.875Z,51676.0,4314.0,80000.0,4314.0,49676.0,51676.0,2000.0,47362.0,47362.0,47362.0,2000.0,0.0,0.0,0.0,-12638.0,-17686.0,2000.0
33639864,2014-01-01,2014-12-31,c0,http://regnskaber.virk.dk/46893633/ZG9rdW1lbnRsYWdlcjovLzAzL2Y5L2RmLzg0LzIwL2Y5MTMtNDY1Ny1iNWRhLWNlY2YzNDU0MjdjOQ.xhtml,http://regnskaber.virk.dk/46893633/ZG9rdW1lbnRsYWdlcjovLzAzL2NmLzc5Lzc1L2ViLzUyYzQtNGE5Ny05YjZmLTlhZmVjMjU3YWE5YQ.pdf,http://regnskaber.virk.dk/46893633/ZG9rdW1lbnRsYWdlcjovLzAzL2M1LzQyL2NiL2RmLzFhOGQtNGNiOS1iNGZlLTk3MjI3MjQ4OTI4OA.xml,Odense S,5260.0,2.0,Kildebakken,5240 Odense NÃ,Utzons AllÃ© 36,2228.0,Regnskabsklasse B,2015-05-27,2015-05-27,88739.0,88739.0,33639864.0,90967.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Keld Rasmussen,Per Jessen,PER JESSEN HOLDING ApS,Keld Rasmussen,"Odense, den",2013-01-01,2013-12-31,88739.0,88739.0,88739.0,2014-12-31,2014-01-01,75000.0,"Ledelsen har fravalgt revision for det kommende regnskabsÃ¥r, og erklÃ¦rer hermed at betingelserne herfor anses for opfyldte.",direktÃ¸r,Ingen bistand,urn:ofk:oid:5346118,indberetninger-20180424,2.5955619999999997,33639864.0,,2018-03-30T20:31:49.102Z,2015-05-29T07:06:39.823Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AC-50-PD,2015-05-29T07:06:39.875Z,,,,,,,,,,,,,,,,,
33639864,2014-01-01,2014-12-31,c1,http://regnskaber.virk.dk/46893633/ZG9rdW1lbnRsYWdlcjovLzAzL2Y5L2RmLzg0LzIwL2Y5MTMtNDY1Ny1iNWRhLWNlY2YzNDU0MjdjOQ.xhtml,http://regnskaber.virk.dk/46893633/ZG9rdW1lbnRsYWdlcjovLzAzL2NmLzc5Lzc1L2ViLzUyYzQtNGE5Ny05YjZmLTlhZmVjMjU3YWE5YQ.pdf,http://regnskaber.virk.dk/46893633/ZG9rdW1lbnRsYWdlcjovLzAzL2M1LzQyL2NiL2RmLzFhOGQtNGNiOS1iNGZlLTk3MjI3MjQ4OTI4OA.xml,Odense S,5260.0,2.0,Kildebakken,5240 Odense NÃ,Utzons AllÃ© 36,,Regnskabsklasse B,2015-05-27,2015-05-27,,,33639864.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Keld Rasmussen,Per Jessen,PER JESSEN HOLDING ApS,Keld Rasmussen,"Odense, den",2013-01-01,2013-12-31,,,,2014-12-31,2014-01-01,75000.0,"Ledelsen har fravalgt revision for det kommende regnskabsÃ¥r, og erklÃ¦rer hermed at betingelserne herfor anses for opfyldte.",direktÃ¸r,Ingen bistand,urn:ofk:oid:5346118,indberetninger-20180424,2.5955619999999997,33639864.0,,2018-03-30T20:31:49.102Z,2015-05-29T07:06:39.823Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AC-50-PD,2015-05-29T07:06:39.875Z,,,,,,,,,,,,,,,,,
33639864,2014-01-01,2014-12-31,c3,http://regnskaber.virk.dk/46893633/ZG9rdW1lbnRsYWdlcjovLzAzL2Y5L2RmLzg0LzIwL2Y5MTMtNDY1Ny1iNWRhLWNlY2YzNDU0MjdjOQ.xhtml,http://regnskaber.virk.dk/46893633/ZG9rdW1lbnRsYWdlcjovLzAzL2NmLzc5Lzc1L2ViLzUyYzQtNGE5Ny05YjZmLTlhZmVjMjU3YWE5YQ.pdf,http://regnskaber.virk.dk/46893633/ZG9rdW1lbnRsYWdlcjovLzAzL2M1LzQyL2NiL2RmLzFhOGQtNGNiOS1iNGZlLTk3MjI3MjQ4OTI4OA.xml,Odense S,5260.0,2.0,Kildebakken,5240 Odense NÃ,Utzons AllÃ© 36,,Regnskabsklasse B,2015-05-27,2015-05-27,,,33639864.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Keld Rasmussen,Per Jessen,PER JESSEN HOLDING ApS,Keld Rasmussen,"Odense, den",2013-01-01,2013-12-31,0.0,,,2014-12-31,2014-01-01,75000.0,"Ledelsen har fravalgt revision for det kommende regnskabsÃ¥r, og erklÃ¦rer hermed at betingelserne herfor anses for opfyldte.",direktÃ¸r,Ingen bistand,urn:ofk:oid:5346118,indberetninger-20180424,2.5955619999999997,33639864.0,,2018-03-30T20:31:49.102Z,2015-05-29T07:06:39.823Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AC-50-PD,2015-05-29T07:06:39.875Z,,,,,,,,,,,,,,,,,
33639864,2014-01-01,2014-12-31,c5,http://regnskaber.virk.dk/46893633/ZG9rdW1lbnRsYWdlcjovLzAzL2Y5L2RmLzg0LzIwL2Y5MTMtNDY1Ny1iNWRhLWNlY2YzNDU0MjdjOQ.xhtml,http://regnskaber.virk.dk/46893633/ZG9rdW1lbnRsYWdlcjovLzAzL2NmLzc5Lzc1L2ViLzUyYzQtNGE5Ny05YjZmLTlhZmVjMjU3YWE5YQ.pdf,http://regnskaber.virk.dk/46893633/ZG9rdW1lbnRsYWdlcjovLzAzL2M1LzQyL2NiL2RmLzFhOGQtNGNiOS1iNGZlLTk3MjI3MjQ4OTI4OA.xml,Odense S,5260.0,2.0,Kildebakken,5240 Odense NÃ,Utzons AllÃ© 36,,Regnskabsklasse B,2015-05-27,2015-05-27,,,33639864.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Keld Rasmussen,Per Jessen,PER JESSEN HOLDING ApS,Keld Rasmussen,"Odense, den",2013-01-01,2013-12-31,90967.0,,,2014-12-31,2014-01-01,75000.0,"Ledelsen har fravalgt revision for det kommende regnskabsÃ¥r, og erklÃ¦rer hermed at betingelserne herfor anses for opfyldte.",direktÃ¸r,Ingen bistand,urn:ofk:oid:5346118,indberetninger-20180424,2.5955619999999997,33639864.0,,2018-03-30T20:31:49.102Z,2015-05-29T07:06:39.823Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AC-50-PD,2015-05-29T07:06:39.875Z,,,,,,,,,,,,,,,,,
33639864,2014-01-01,2014-12-31,c7,http://regnskaber.virk.dk/46893633/ZG9rdW1lbnRsYWdlcjovLzAzL2Y5L2RmLzg0LzIwL2Y5MTMtNDY1Ny1iNWRhLWNlY2YzNDU0MjdjOQ.xhtml,http://regnskaber.virk.dk/46893633/ZG9rdW1lbnRsYWdlcjovLzAzL2NmLzc5Lzc1L2ViLzUyYzQtNGE5Ny05YjZmLTlhZmVjMjU3YWE5YQ.pdf,http://regnskaber.virk.dk/46893633/ZG9rdW1lbnRsYWdlcjovLzAzL2M1LzQyL2NiL2RmLzFhOGQtNGNiOS1iNGZlLTk3MjI3MjQ4OTI4OA.xml,Odense S,5260.0,2.0,Kildebakken,5240 Odense NÃ,Utzons AllÃ© 36,,Regnskabsklasse B,2015-05-27,2015-05-27,,,33639864.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Keld Rasmussen,Per Jessen,PER JESSEN HOLDING ApS,Keld Rasmussen,"Odense, den",2013-01-01,2013-12-31,-2228.0,,,2014-12-31,2014-01-01,75000.0,"Ledelsen har fravalgt revision for det kommende regnskabsÃ¥r, og erklÃ¦rer hermed at betingelserne herfor anses for opfyldte.",direktÃ¸r,Ingen bistand,urn:ofk:oid:5346118,indberetninger-20180424,2.5955619999999997,33639864.0,,2018-03-30T20:31:49.102Z,2015-05-29T07:06:39.823Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AC-50-PD,2015-05-29T07:06:39.875Z,,,,,,,,,,,,,,,,,
