entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfAuditorCountry,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnExtendedReviewOfFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfGeneralMeeting,DescriptionOfAuditor,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfCostOfSales,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfExternalExpenses,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,RecognisedButNotOwnedAssets,RecommendationForApprovalOfAnnualReportByGeneralMeeting,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TelephoneNumberOfAuditor,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GrossProfitLoss,InterestExpenseAssignedToGroupEnterprises,OtherFinanceExpenses,OtherFinanceIncomeFromGroupEnterprises,OtherInterestExpenses,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,WagesAndSalaries,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,DeferredIncomeAssets,DepositsLongtermInvestmentsAndReceivables,Equity,Inventories,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,ManufacturedGoodsAndGoodsForResale,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTaxReceivables,ShorttermTradePayables
34351058,2017-01-01,2017-12-31,c106,,http://regnskaber.virk.dk/85015343/ZG9rdW1lbnRsYWdlcjovLzAzL2M5LzMxL2VlLzUwLzczYzQtNDU1OC1hNmI3LWJlMWQ3ZGMzMjc2MQ.pdf,http://regnskaber.virk.dk/85015343/ZG9rdW1lbnRsYWdlcjovLzAzLzQzLzk0L2JmLzdmLzQxZDUtNDg2Ny05MDQ4LWE3OTJjNDNiMDFiYw.xml,Danmark,Vejle,7100.0,2.0,Gunhilds Plads,Frederiksberg,2000.0,31 2.,Bernhard Bangs AllÃ©,"7100, Vejle","Gunhilds Plads, 2",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-03-14,2019-03-14,2019-03-14,statsautoriseret revisor,Vareforbrug omfatter omkostninger til kÃ¸b af rÃ¥varer og hjÃ¦lpematerialer med fradrag af rabatter samt Ã¥rets forskydning i varebeholdninger.,"Andre eksterne omkostninger omfatter omkostninger til salg, reklame, administration og lokaler m.v.",32285201.0,34351058.0,32285201.0,mne34103,Direktionen har dags dato aflagt Ã¥rsrapporten for 2018 for EnergiiUpNorth  ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Jesper HÃ¸rby Jensen,Gitte Mia Salling,Gitte Mia Salling,"Martinsen, Statsautoriseret Revisionspartnerselskab",EnergiiUpNorth  ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",Frederiksberg,2017-01-01,2017-12-31,106171.0,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,2019-03-14,Vejle,75 82 10 55,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:26841090,indberetninger-20180424,2.5124266,34351058.0,AWmQOLf5RYGX6_YTF-kX,2019-03-18T09:54:52.431Z,2019-03-18T09:53:49.443Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AS-92-BD,2019-03-18T09:53:49.599Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34351058,2017-01-01,2017-12-31,c120,,http://regnskaber.virk.dk/85015343/ZG9rdW1lbnRsYWdlcjovLzAzL2M5LzMxL2VlLzUwLzczYzQtNDU1OC1hNmI3LWJlMWQ3ZGMzMjc2MQ.pdf,http://regnskaber.virk.dk/85015343/ZG9rdW1lbnRsYWdlcjovLzAzLzQzLzk0L2JmLzdmLzQxZDUtNDg2Ny05MDQ4LWE3OTJjNDNiMDFiYw.xml,Danmark,Vejle,7100.0,2.0,Gunhilds Plads,Frederiksberg,2000.0,31 2.,Bernhard Bangs AllÃ©,"7100, Vejle","Gunhilds Plads, 2",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-03-14,2019-03-14,2019-03-14,statsautoriseret revisor,Vareforbrug omfatter omkostninger til kÃ¸b af rÃ¥varer og hjÃ¦lpematerialer med fradrag af rabatter samt Ã¥rets forskydning i varebeholdninger.,"Andre eksterne omkostninger omfatter omkostninger til salg, reklame, administration og lokaler m.v.",32285201.0,34351058.0,32285201.0,mne34103,Direktionen har dags dato aflagt Ã¥rsrapporten for 2018 for EnergiiUpNorth  ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Jesper HÃ¸rby Jensen,Gitte Mia Salling,Gitte Mia Salling,"Martinsen, Statsautoriseret Revisionspartnerselskab",EnergiiUpNorth  ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",Frederiksberg,2017-01-01,2017-12-31,0.0,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,2019-03-14,Vejle,75 82 10 55,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:26841090,indberetninger-20180424,2.5124266,34351058.0,AWmQOLf5RYGX6_YTF-kX,2019-03-18T09:54:52.431Z,2019-03-18T09:53:49.443Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AS-92-BD,2019-03-18T09:53:49.599Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34351058,2017-01-01,2017-12-31,c3,,http://regnskaber.virk.dk/85015343/ZG9rdW1lbnRsYWdlcjovLzAzL2M5LzMxL2VlLzUwLzczYzQtNDU1OC1hNmI3LWJlMWQ3ZGMzMjc2MQ.pdf,http://regnskaber.virk.dk/85015343/ZG9rdW1lbnRsYWdlcjovLzAzLzQzLzk0L2JmLzdmLzQxZDUtNDg2Ny05MDQ4LWE3OTJjNDNiMDFiYw.xml,Danmark,Vejle,7100.0,2.0,Gunhilds Plads,Frederiksberg,2000.0,31 2.,Bernhard Bangs AllÃ©,"7100, Vejle","Gunhilds Plads, 2",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-03-14,2019-03-14,2019-03-14,statsautoriseret revisor,Vareforbrug omfatter omkostninger til kÃ¸b af rÃ¥varer og hjÃ¦lpematerialer med fradrag af rabatter samt Ã¥rets forskydning i varebeholdninger.,"Andre eksterne omkostninger omfatter omkostninger til salg, reklame, administration og lokaler m.v.",32285201.0,34351058.0,32285201.0,mne34103,Direktionen har dags dato aflagt Ã¥rsrapporten for 2018 for EnergiiUpNorth  ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Jesper HÃ¸rby Jensen,Gitte Mia Salling,Gitte Mia Salling,"Martinsen, Statsautoriseret Revisionspartnerselskab",EnergiiUpNorth  ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",Frederiksberg,2017-01-01,2017-12-31,106171.0,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,2019-03-14,Vejle,75 82 10 55,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:26841090,indberetninger-20180424,2.5124266,34351058.0,AWmQOLf5RYGX6_YTF-kX,2019-03-18T09:54:52.431Z,2019-03-18T09:53:49.443Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AS-92-BD,2019-03-18T09:53:49.599Z,3944.0,524666.0,671536.0,117793.0,119799.0,112990.0,2006.0,136117.0,142926.0,29946.0,524666.0,,,,,,,,,,,,,,,,,,,,,,,,,
34351058,2017-12-31,2017-12-31,c4,,http://regnskaber.virk.dk/85015343/ZG9rdW1lbnRsYWdlcjovLzAzL2M5LzMxL2VlLzUwLzczYzQtNDU1OC1hNmI3LWJlMWQ3ZGMzMjc2MQ.pdf,http://regnskaber.virk.dk/85015343/ZG9rdW1lbnRsYWdlcjovLzAzLzQzLzk0L2JmLzdmLzQxZDUtNDg2Ny05MDQ4LWE3OTJjNDNiMDFiYw.xml,Danmark,Vejle,7100.0,2.0,Gunhilds Plads,Frederiksberg,2000.0,31 2.,Bernhard Bangs AllÃ©,"7100, Vejle","Gunhilds Plads, 2",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-03-14,2019-03-14,2019-03-14,statsautoriseret revisor,Vareforbrug omfatter omkostninger til kÃ¸b af rÃ¥varer og hjÃ¦lpematerialer med fradrag af rabatter samt Ã¥rets forskydning i varebeholdninger.,"Andre eksterne omkostninger omfatter omkostninger til salg, reklame, administration og lokaler m.v.",32285201.0,34351058.0,32285201.0,mne34103,Direktionen har dags dato aflagt Ã¥rsrapporten for 2018 for EnergiiUpNorth  ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Jesper HÃ¸rby Jensen,Gitte Mia Salling,Gitte Mia Salling,"Martinsen, Statsautoriseret Revisionspartnerselskab",EnergiiUpNorth  ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",Frederiksberg,2017-01-01,2017-12-31,,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,2019-03-14,Vejle,75 82 10 55,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:26841090,indberetninger-20180424,2.5124266,34351058.0,AWmQOLf5RYGX6_YTF-kX,2019-03-18T09:54:52.431Z,2019-03-18T09:53:49.443Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AS-92-BD,2019-03-18T09:53:49.599Z,,,,,,,,,,,,2802401.0,115473.0,80000.0,2615873.0,19477.0,4545.0,186528.0,186171.0,5800.0,2802401.0,2616230.0,186528.0,5800.0,186528.0,15700.0,23.0,106171.0,0.0,2616230.0,2552485.0,2494600.0,2470555.0,24321.0,0.0,23724.0
34351058,2018-01-01,2018-12-31,c1,,http://regnskaber.virk.dk/85015343/ZG9rdW1lbnRsYWdlcjovLzAzL2M5LzMxL2VlLzUwLzczYzQtNDU1OC1hNmI3LWJlMWQ3ZGMzMjc2MQ.pdf,http://regnskaber.virk.dk/85015343/ZG9rdW1lbnRsYWdlcjovLzAzLzQzLzk0L2JmLzdmLzQxZDUtNDg2Ny05MDQ4LWE3OTJjNDNiMDFiYw.xml,Danmark,Vejle,7100.0,2.0,Gunhilds Plads,Frederiksberg,2000.0,31 2.,Bernhard Bangs AllÃ©,"7100, Vejle","Gunhilds Plads, 2",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-03-14,2019-03-14,2019-03-14,statsautoriseret revisor,Vareforbrug omfatter omkostninger til kÃ¸b af rÃ¥varer og hjÃ¦lpematerialer med fradrag af rabatter samt Ã¥rets forskydning i varebeholdninger.,"Andre eksterne omkostninger omfatter omkostninger til salg, reklame, administration og lokaler m.v.",32285201.0,34351058.0,32285201.0,mne34103,Direktionen har dags dato aflagt Ã¥rsrapporten for 2018 for EnergiiUpNorth  ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Jesper HÃ¸rby Jensen,Gitte Mia Salling,Gitte Mia Salling,"Martinsen, Statsautoriseret Revisionspartnerselskab",EnergiiUpNorth  ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",Frederiksberg,2017-01-01,2017-12-31,-32328.0,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,2019-03-14,Vejle,75 82 10 55,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:26841090,indberetninger-20180424,2.5124266,34351058.0,AWmQOLf5RYGX6_YTF-kX,2019-03-18T09:54:52.431Z,2019-03-18T09:53:49.443Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AS-92-BD,2019-03-18T09:53:49.599Z,0.0,483789.0,455152.0,133043.0,133472.0,120663.0,429.0,-41446.0,-28637.0,-9118.0,483789.0,,,,,,,,,,,,,,,,,,,,,,,,,
34351058,2018-01-01,2018-12-31,c105,,http://regnskaber.virk.dk/85015343/ZG9rdW1lbnRsYWdlcjovLzAzL2M5LzMxL2VlLzUwLzczYzQtNDU1OC1hNmI3LWJlMWQ3ZGMzMjc2MQ.pdf,http://regnskaber.virk.dk/85015343/ZG9rdW1lbnRsYWdlcjovLzAzLzQzLzk0L2JmLzdmLzQxZDUtNDg2Ny05MDQ4LWE3OTJjNDNiMDFiYw.xml,Danmark,Vejle,7100.0,2.0,Gunhilds Plads,Frederiksberg,2000.0,31 2.,Bernhard Bangs AllÃ©,"7100, Vejle","Gunhilds Plads, 2",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-03-14,2019-03-14,2019-03-14,statsautoriseret revisor,Vareforbrug omfatter omkostninger til kÃ¸b af rÃ¥varer og hjÃ¦lpematerialer med fradrag af rabatter samt Ã¥rets forskydning i varebeholdninger.,"Andre eksterne omkostninger omfatter omkostninger til salg, reklame, administration og lokaler m.v.",32285201.0,34351058.0,32285201.0,mne34103,Direktionen har dags dato aflagt Ã¥rsrapporten for 2018 for EnergiiUpNorth  ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Jesper HÃ¸rby Jensen,Gitte Mia Salling,Gitte Mia Salling,"Martinsen, Statsautoriseret Revisionspartnerselskab",EnergiiUpNorth  ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",Frederiksberg,2017-01-01,2017-12-31,0.0,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,2019-03-14,Vejle,75 82 10 55,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:26841090,indberetninger-20180424,2.5124266,34351058.0,AWmQOLf5RYGX6_YTF-kX,2019-03-18T09:54:52.431Z,2019-03-18T09:53:49.443Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AS-92-BD,2019-03-18T09:53:49.599Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34351058,2018-01-01,2018-12-31,c119,,http://regnskaber.virk.dk/85015343/ZG9rdW1lbnRsYWdlcjovLzAzL2M5LzMxL2VlLzUwLzczYzQtNDU1OC1hNmI3LWJlMWQ3ZGMzMjc2MQ.pdf,http://regnskaber.virk.dk/85015343/ZG9rdW1lbnRsYWdlcjovLzAzLzQzLzk0L2JmLzdmLzQxZDUtNDg2Ny05MDQ4LWE3OTJjNDNiMDFiYw.xml,Danmark,Vejle,7100.0,2.0,Gunhilds Plads,Frederiksberg,2000.0,31 2.,Bernhard Bangs AllÃ©,"7100, Vejle","Gunhilds Plads, 2",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-03-14,2019-03-14,2019-03-14,statsautoriseret revisor,Vareforbrug omfatter omkostninger til kÃ¸b af rÃ¥varer og hjÃ¦lpematerialer med fradrag af rabatter samt Ã¥rets forskydning i varebeholdninger.,"Andre eksterne omkostninger omfatter omkostninger til salg, reklame, administration og lokaler m.v.",32285201.0,34351058.0,32285201.0,mne34103,Direktionen har dags dato aflagt Ã¥rsrapporten for 2018 for EnergiiUpNorth  ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Jesper HÃ¸rby Jensen,Gitte Mia Salling,Gitte Mia Salling,"Martinsen, Statsautoriseret Revisionspartnerselskab",EnergiiUpNorth  ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",Frederiksberg,2017-01-01,2017-12-31,-32328.0,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,2019-03-14,Vejle,75 82 10 55,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:26841090,indberetninger-20180424,2.5124266,34351058.0,AWmQOLf5RYGX6_YTF-kX,2019-03-18T09:54:52.431Z,2019-03-18T09:53:49.443Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AS-92-BD,2019-03-18T09:53:49.599Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34351058,2018-01-01,2018-12-31,c70,,http://regnskaber.virk.dk/85015343/ZG9rdW1lbnRsYWdlcjovLzAzL2M5LzMxL2VlLzUwLzczYzQtNDU1OC1hNmI3LWJlMWQ3ZGMzMjc2MQ.pdf,http://regnskaber.virk.dk/85015343/ZG9rdW1lbnRsYWdlcjovLzAzLzQzLzk0L2JmLzdmLzQxZDUtNDg2Ny05MDQ4LWE3OTJjNDNiMDFiYw.xml,Danmark,Vejle,7100.0,2.0,Gunhilds Plads,Frederiksberg,2000.0,31 2.,Bernhard Bangs AllÃ©,"7100, Vejle","Gunhilds Plads, 2",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-03-14,2019-03-14,2019-03-14,statsautoriseret revisor,Vareforbrug omfatter omkostninger til kÃ¸b af rÃ¥varer og hjÃ¦lpematerialer med fradrag af rabatter samt Ã¥rets forskydning i varebeholdninger.,"Andre eksterne omkostninger omfatter omkostninger til salg, reklame, administration og lokaler m.v.",32285201.0,34351058.0,32285201.0,mne34103,Direktionen har dags dato aflagt Ã¥rsrapporten for 2018 for EnergiiUpNorth  ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Jesper HÃ¸rby Jensen,Gitte Mia Salling,Gitte Mia Salling,"Martinsen, Statsautoriseret Revisionspartnerselskab",EnergiiUpNorth  ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",Frederiksberg,2017-01-01,2017-12-31,,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,2019-03-14,Vejle,75 82 10 55,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:26841090,indberetninger-20180424,2.5124266,34351058.0,AWmQOLf5RYGX6_YTF-kX,2019-03-18T09:54:52.431Z,2019-03-18T09:53:49.443Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AS-92-BD,2019-03-18T09:53:49.599Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34351058,2018-01-01,2018-12-31,c87,,http://regnskaber.virk.dk/85015343/ZG9rdW1lbnRsYWdlcjovLzAzL2M5LzMxL2VlLzUwLzczYzQtNDU1OC1hNmI3LWJlMWQ3ZGMzMjc2MQ.pdf,http://regnskaber.virk.dk/85015343/ZG9rdW1lbnRsYWdlcjovLzAzLzQzLzk0L2JmLzdmLzQxZDUtNDg2Ny05MDQ4LWE3OTJjNDNiMDFiYw.xml,Danmark,Vejle,7100.0,2.0,Gunhilds Plads,Frederiksberg,2000.0,31 2.,Bernhard Bangs AllÃ©,"7100, Vejle","Gunhilds Plads, 2",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-03-14,2019-03-14,2019-03-14,statsautoriseret revisor,Vareforbrug omfatter omkostninger til kÃ¸b af rÃ¥varer og hjÃ¦lpematerialer med fradrag af rabatter samt Ã¥rets forskydning i varebeholdninger.,"Andre eksterne omkostninger omfatter omkostninger til salg, reklame, administration og lokaler m.v.",32285201.0,34351058.0,32285201.0,mne34103,Direktionen har dags dato aflagt Ã¥rsrapporten for 2018 for EnergiiUpNorth  ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Jesper HÃ¸rby Jensen,Gitte Mia Salling,Gitte Mia Salling,"Martinsen, Statsautoriseret Revisionspartnerselskab",EnergiiUpNorth  ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",Frederiksberg,2017-01-01,2017-12-31,,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,2019-03-14,Vejle,75 82 10 55,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:26841090,indberetninger-20180424,2.5124266,34351058.0,AWmQOLf5RYGX6_YTF-kX,2019-03-18T09:54:52.431Z,2019-03-18T09:53:49.443Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AS-92-BD,2019-03-18T09:53:49.599Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34351058,2018-12-31,2018-12-31,c6,,http://regnskaber.virk.dk/85015343/ZG9rdW1lbnRsYWdlcjovLzAzL2M5LzMxL2VlLzUwLzczYzQtNDU1OC1hNmI3LWJlMWQ3ZGMzMjc2MQ.pdf,http://regnskaber.virk.dk/85015343/ZG9rdW1lbnRsYWdlcjovLzAzLzQzLzk0L2JmLzdmLzQxZDUtNDg2Ny05MDQ4LWE3OTJjNDNiMDFiYw.xml,Danmark,Vejle,7100.0,2.0,Gunhilds Plads,Frederiksberg,2000.0,31 2.,Bernhard Bangs AllÃ©,"7100, Vejle","Gunhilds Plads, 2",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-03-14,2019-03-14,2019-03-14,statsautoriseret revisor,Vareforbrug omfatter omkostninger til kÃ¸b af rÃ¥varer og hjÃ¦lpematerialer med fradrag af rabatter samt Ã¥rets forskydning i varebeholdninger.,"Andre eksterne omkostninger omfatter omkostninger til salg, reklame, administration og lokaler m.v.",32285201.0,34351058.0,32285201.0,mne34103,Direktionen har dags dato aflagt Ã¥rsrapporten for 2018 for EnergiiUpNorth  ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Jesper HÃ¸rby Jensen,Gitte Mia Salling,Gitte Mia Salling,"Martinsen, Statsautoriseret Revisionspartnerselskab",EnergiiUpNorth  ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",Frederiksberg,2017-01-01,2017-12-31,,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,2019-03-14,Vejle,75 82 10 55,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:26841090,indberetninger-20180424,2.5124266,34351058.0,AWmQOLf5RYGX6_YTF-kX,2019-03-18T09:54:52.431Z,2019-03-18T09:53:49.443Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AS-92-BD,2019-03-18T09:53:49.599Z,,,,,,,,,,,,2911086.0,177068.0,80000.0,2720353.0,20050.0,4676.0,190733.0,47672.0,13800.0,2911086.0,2863414.0,190733.0,13800.0,190733.0,15500.0,23.0,0.0,-32328.0,2863414.0,2816020.0,2529485.0,2496191.0,0.0,8545.0,31894.0
