entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorCountry,AddressOfAuditorCountryIdentificationCode,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AuditorsReportsOtherReports,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DescriptionOfAuditor,DisclosureOfCollateralsAndAssetsPledgesAsSecurity,DisclosureOfContingentLiabilities,EmployeeBenefitsExpense,GrossResult,IdentificationNumberCvrOfReportingEntity,IdentificationNumberOfAuditor,IdentificationNumberPnrOfAuditFirm,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TaxExpense,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,ContributedCapital,Equity,InvestmentProperty,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermLiabilitiesOtherThanProvisions,LongtermMortgageDebt,NoncurrentAssets,OtherShorttermPayables,PropertyPlantAndEquipment,Provisions,ProvisionsForDeferredTax,RetainedEarnings,ShorttermDebtToBanks,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,IdentificationNumberCvrOfAuditFirm,NameOfAuditFirm
30917723,2016-01-01,2016-12-31,c4,http://regnskaber.virk.dk/32771903/ZG9rdW1lbnRsYWdlcjovLzAzLzU5LzVkL2FkLzA4LzY5YjktNDk4NC05MjAzLTk5OThjYmZjMzZhMQ.xhtml,http://regnskaber.virk.dk/32771903/ZG9rdW1lbnRsYWdlcjovLzAzLzk1LzdjL2YxLzEzLzM3OTYtNGNjMi05MDU1LTliNTdiNzBjNWViZA.pdf,http://regnskaber.virk.dk/32771903/ZG9rdW1lbnRsYWdlcjovLzAzLzQzL2M5L2M4LzMzL2E0NjgtNDgwYS1hZDViLTI1YmZkMzI3Y2Q0YQ.xml,true,Danmark,DK,Aalborg,9000.0,"2, ST th",Overblikket,Aalborg SV,9200.0,16.0,Drastrup Skovvej,9000 Aalborg,Overblikket 2,Til kapitalejerne i Laursen og SÃ¸n ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-06-06,2018-06-06,Registreret revisor FSR,"<p xmlns=""http://www.w3.org/1999/xhtml"">Til sikkerhed for gÃ¦ld til realkreditinstitut kr. 2.012.000, er der givet pant i grund og bygninger med bogfÃ¸rt vÃ¦rdi pÃ¥ kr. 2.900.000. Ejerpantebrev kr. 351.000 i ejendommen ligger til sikkerhed for gÃ¦ld i pengeinstitut.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",0.0,185765.0,30917723.0,mne2587,1000218242.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Ole Dahl,Henrik Laursen,Henrik Laursen,Nykredit Bank,LAURSEN & SÃN ApS,Revisionsfirmaet Ole Dahl,105032.0,Aalborg,2016-01-01,2016-12-31,53750.0,80733.0,185765.0,2017-12-31,2017-01-01,false,false,2018-06-06,Aalborg,"Jeg skal hermed bekrÃ¦fte, at selskabet opfylder betingelserne for fravalg af revision for det kommende Ã¥r",26983.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25742958,indberetninger-20180424,2.5955543999999997,30917723.0,AWPZCWas0wkEsASktfwx,2018-06-07T06:57:45.022Z,2018-06-07T06:57:39.195Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AN-46-HM,2018-06-07T06:57:39.634Z,,,,,,,,,,,,,,,,,,,
30917723,2016-01-01,2016-12-31,c6,http://regnskaber.virk.dk/32771903/ZG9rdW1lbnRsYWdlcjovLzAzLzU5LzVkL2FkLzA4LzY5YjktNDk4NC05MjAzLTk5OThjYmZjMzZhMQ.xhtml,http://regnskaber.virk.dk/32771903/ZG9rdW1lbnRsYWdlcjovLzAzLzk1LzdjL2YxLzEzLzM3OTYtNGNjMi05MDU1LTliNTdiNzBjNWViZA.pdf,http://regnskaber.virk.dk/32771903/ZG9rdW1lbnRsYWdlcjovLzAzLzQzL2M5L2M4LzMzL2E0NjgtNDgwYS1hZDViLTI1YmZkMzI3Y2Q0YQ.xml,true,Danmark,DK,Aalborg,9000.0,"2, ST th",Overblikket,Aalborg SV,9200.0,16.0,Drastrup Skovvej,9000 Aalborg,Overblikket 2,Til kapitalejerne i Laursen og SÃ¸n ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-06-06,2018-06-06,Registreret revisor FSR,"<p xmlns=""http://www.w3.org/1999/xhtml"">Til sikkerhed for gÃ¦ld til realkreditinstitut kr. 2.012.000, er der givet pant i grund og bygninger med bogfÃ¸rt vÃ¦rdi pÃ¥ kr. 2.900.000. Ejerpantebrev kr. 351.000 i ejendommen ligger til sikkerhed for gÃ¦ld i pengeinstitut.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",,,30917723.0,mne2587,1000218242.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Ole Dahl,Henrik Laursen,Henrik Laursen,Nykredit Bank,LAURSEN & SÃN ApS,Revisionsfirmaet Ole Dahl,,Aalborg,2016-01-01,2016-12-31,53750.0,,,2017-12-31,2017-01-01,false,false,2018-06-06,Aalborg,"Jeg skal hermed bekrÃ¦fte, at selskabet opfylder betingelserne for fravalg af revision for det kommende Ã¥r",,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25742958,indberetninger-20180424,2.5955543999999997,30917723.0,AWPZCWas0wkEsASktfwx,2018-06-07T06:57:45.022Z,2018-06-07T06:57:39.195Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AN-46-HM,2018-06-07T06:57:39.634Z,,,,,,,,,,,,,,,,,,,
30917723,2016-12-31,2016-12-31,c8,http://regnskaber.virk.dk/32771903/ZG9rdW1lbnRsYWdlcjovLzAzLzU5LzVkL2FkLzA4LzY5YjktNDk4NC05MjAzLTk5OThjYmZjMzZhMQ.xhtml,http://regnskaber.virk.dk/32771903/ZG9rdW1lbnRsYWdlcjovLzAzLzk1LzdjL2YxLzEzLzM3OTYtNGNjMi05MDU1LTliNTdiNzBjNWViZA.pdf,http://regnskaber.virk.dk/32771903/ZG9rdW1lbnRsYWdlcjovLzAzLzQzL2M5L2M4LzMzL2E0NjgtNDgwYS1hZDViLTI1YmZkMzI3Y2Q0YQ.xml,true,Danmark,DK,Aalborg,9000.0,"2, ST th",Overblikket,Aalborg SV,9200.0,16.0,Drastrup Skovvej,9000 Aalborg,Overblikket 2,Til kapitalejerne i Laursen og SÃ¸n ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-06-06,2018-06-06,Registreret revisor FSR,"<p xmlns=""http://www.w3.org/1999/xhtml"">Til sikkerhed for gÃ¦ld til realkreditinstitut kr. 2.012.000, er der givet pant i grund og bygninger med bogfÃ¸rt vÃ¦rdi pÃ¥ kr. 2.900.000. Ejerpantebrev kr. 351.000 i ejendommen ligger til sikkerhed for gÃ¦ld i pengeinstitut.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",,,30917723.0,mne2587,1000218242.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Ole Dahl,Henrik Laursen,Henrik Laursen,Nykredit Bank,LAURSEN & SÃN ApS,Revisionsfirmaet Ole Dahl,,Aalborg,2016-01-01,2016-12-31,,,,2017-12-31,2017-01-01,false,false,2018-06-06,Aalborg,"Jeg skal hermed bekrÃ¦fte, at selskabet opfylder betingelserne for fravalg af revision for det kommende Ã¥r",,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25742958,indberetninger-20180424,2.5955543999999997,30917723.0,AWPZCWas0wkEsASktfwx,2018-06-07T06:57:45.022Z,2018-06-07T06:57:39.195Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AN-46-HM,2018-06-07T06:57:39.634Z,2900000.0,125000.0,291550.0,2900000.0,2900000.0,2538711.0,2012000.0,2012000.0,2900000.0,75725.0,2900000.0,69739.0,69739.0,166550.0,450986.0,526711.0,0.0,,
30917723,2017-01-01,2017-01-01,c10,http://regnskaber.virk.dk/32771903/ZG9rdW1lbnRsYWdlcjovLzAzLzU5LzVkL2FkLzA4LzY5YjktNDk4NC05MjAzLTk5OThjYmZjMzZhMQ.xhtml,http://regnskaber.virk.dk/32771903/ZG9rdW1lbnRsYWdlcjovLzAzLzk1LzdjL2YxLzEzLzM3OTYtNGNjMi05MDU1LTliNTdiNzBjNWViZA.pdf,http://regnskaber.virk.dk/32771903/ZG9rdW1lbnRsYWdlcjovLzAzLzQzL2M5L2M4LzMzL2E0NjgtNDgwYS1hZDViLTI1YmZkMzI3Y2Q0YQ.xml,true,Danmark,DK,Aalborg,9000.0,"2, ST th",Overblikket,Aalborg SV,9200.0,16.0,Drastrup Skovvej,9000 Aalborg,Overblikket 2,Til kapitalejerne i Laursen og SÃ¸n ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-06-06,2018-06-06,Registreret revisor FSR,"<p xmlns=""http://www.w3.org/1999/xhtml"">Til sikkerhed for gÃ¦ld til realkreditinstitut kr. 2.012.000, er der givet pant i grund og bygninger med bogfÃ¸rt vÃ¦rdi pÃ¥ kr. 2.900.000. Ejerpantebrev kr. 351.000 i ejendommen ligger til sikkerhed for gÃ¦ld i pengeinstitut.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",,,30917723.0,mne2587,1000218242.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Ole Dahl,Henrik Laursen,Henrik Laursen,Nykredit Bank,LAURSEN & SÃN ApS,Revisionsfirmaet Ole Dahl,,Aalborg,2016-01-01,2016-12-31,,,,2017-12-31,2017-01-01,false,false,2018-06-06,Aalborg,"Jeg skal hermed bekrÃ¦fte, at selskabet opfylder betingelserne for fravalg af revision for det kommende Ã¥r",,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25742958,indberetninger-20180424,2.5955543999999997,30917723.0,AWPZCWas0wkEsASktfwx,2018-06-07T06:57:45.022Z,2018-06-07T06:57:39.195Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AN-46-HM,2018-06-07T06:57:39.634Z,,,166550.0,,,,,,,,,,,,,,,,
30917723,2017-01-01,2017-01-01,c11,http://regnskaber.virk.dk/32771903/ZG9rdW1lbnRsYWdlcjovLzAzLzU5LzVkL2FkLzA4LzY5YjktNDk4NC05MjAzLTk5OThjYmZjMzZhMQ.xhtml,http://regnskaber.virk.dk/32771903/ZG9rdW1lbnRsYWdlcjovLzAzLzk1LzdjL2YxLzEzLzM3OTYtNGNjMi05MDU1LTliNTdiNzBjNWViZA.pdf,http://regnskaber.virk.dk/32771903/ZG9rdW1lbnRsYWdlcjovLzAzLzQzL2M5L2M4LzMzL2E0NjgtNDgwYS1hZDViLTI1YmZkMzI3Y2Q0YQ.xml,true,Danmark,DK,Aalborg,9000.0,"2, ST th",Overblikket,Aalborg SV,9200.0,16.0,Drastrup Skovvej,9000 Aalborg,Overblikket 2,Til kapitalejerne i Laursen og SÃ¸n ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-06-06,2018-06-06,Registreret revisor FSR,"<p xmlns=""http://www.w3.org/1999/xhtml"">Til sikkerhed for gÃ¦ld til realkreditinstitut kr. 2.012.000, er der givet pant i grund og bygninger med bogfÃ¸rt vÃ¦rdi pÃ¥ kr. 2.900.000. Ejerpantebrev kr. 351.000 i ejendommen ligger til sikkerhed for gÃ¦ld i pengeinstitut.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",,,30917723.0,mne2587,1000218242.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Ole Dahl,Henrik Laursen,Henrik Laursen,Nykredit Bank,LAURSEN & SÃN ApS,Revisionsfirmaet Ole Dahl,,Aalborg,2016-01-01,2016-12-31,,,,2017-12-31,2017-01-01,false,false,2018-06-06,Aalborg,"Jeg skal hermed bekrÃ¦fte, at selskabet opfylder betingelserne for fravalg af revision for det kommende Ã¥r",,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25742958,indberetninger-20180424,2.5955543999999997,30917723.0,AWPZCWas0wkEsASktfwx,2018-06-07T06:57:45.022Z,2018-06-07T06:57:39.195Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AN-46-HM,2018-06-07T06:57:39.634Z,,,291550.0,,,,,,,,,,,,,,,,
30917723,2017-01-01,2017-01-01,c9,http://regnskaber.virk.dk/32771903/ZG9rdW1lbnRsYWdlcjovLzAzLzU5LzVkL2FkLzA4LzY5YjktNDk4NC05MjAzLTk5OThjYmZjMzZhMQ.xhtml,http://regnskaber.virk.dk/32771903/ZG9rdW1lbnRsYWdlcjovLzAzLzk1LzdjL2YxLzEzLzM3OTYtNGNjMi05MDU1LTliNTdiNzBjNWViZA.pdf,http://regnskaber.virk.dk/32771903/ZG9rdW1lbnRsYWdlcjovLzAzLzQzL2M5L2M4LzMzL2E0NjgtNDgwYS1hZDViLTI1YmZkMzI3Y2Q0YQ.xml,true,Danmark,DK,Aalborg,9000.0,"2, ST th",Overblikket,Aalborg SV,9200.0,16.0,Drastrup Skovvej,9000 Aalborg,Overblikket 2,Til kapitalejerne i Laursen og SÃ¸n ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-06-06,2018-06-06,Registreret revisor FSR,"<p xmlns=""http://www.w3.org/1999/xhtml"">Til sikkerhed for gÃ¦ld til realkreditinstitut kr. 2.012.000, er der givet pant i grund og bygninger med bogfÃ¸rt vÃ¦rdi pÃ¥ kr. 2.900.000. Ejerpantebrev kr. 351.000 i ejendommen ligger til sikkerhed for gÃ¦ld i pengeinstitut.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",,,30917723.0,mne2587,1000218242.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Ole Dahl,Henrik Laursen,Henrik Laursen,Nykredit Bank,LAURSEN & SÃN ApS,Revisionsfirmaet Ole Dahl,,Aalborg,2016-01-01,2016-12-31,,,,2017-12-31,2017-01-01,false,false,2018-06-06,Aalborg,"Jeg skal hermed bekrÃ¦fte, at selskabet opfylder betingelserne for fravalg af revision for det kommende Ã¥r",,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25742958,indberetninger-20180424,2.5955543999999997,30917723.0,AWPZCWas0wkEsASktfwx,2018-06-07T06:57:45.022Z,2018-06-07T06:57:39.195Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AN-46-HM,2018-06-07T06:57:39.634Z,,,125000.0,,,,,,,,,,,,,,,,
30917723,2017-01-01,2017-12-31,c0,http://regnskaber.virk.dk/32771903/ZG9rdW1lbnRsYWdlcjovLzAzLzU5LzVkL2FkLzA4LzY5YjktNDk4NC05MjAzLTk5OThjYmZjMzZhMQ.xhtml,http://regnskaber.virk.dk/32771903/ZG9rdW1lbnRsYWdlcjovLzAzLzk1LzdjL2YxLzEzLzM3OTYtNGNjMi05MDU1LTliNTdiNzBjNWViZA.pdf,http://regnskaber.virk.dk/32771903/ZG9rdW1lbnRsYWdlcjovLzAzLzQzL2M5L2M4LzMzL2E0NjgtNDgwYS1hZDViLTI1YmZkMzI3Y2Q0YQ.xml,true,Danmark,DK,Aalborg,9000.0,"2, ST th",Overblikket,Aalborg SV,9200.0,16.0,Drastrup Skovvej,9000 Aalborg,Overblikket 2,Til kapitalejerne i Laursen og SÃ¸n ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-06-06,2018-06-06,Registreret revisor FSR,"<p xmlns=""http://www.w3.org/1999/xhtml"">Til sikkerhed for gÃ¦ld til realkreditinstitut kr. 2.012.000, er der givet pant i grund og bygninger med bogfÃ¸rt vÃ¦rdi pÃ¥ kr. 2.900.000. Ejerpantebrev kr. 351.000 i ejendommen ligger til sikkerhed for gÃ¦ld i pengeinstitut.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",0.0,144644.0,30917723.0,mne2587,1000218242.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Ole Dahl,Henrik Laursen,Henrik Laursen,Nykredit Bank,LAURSEN & SÃN ApS,Revisionsfirmaet Ole Dahl,55753.0,Aalborg,2016-01-01,2016-12-31,82782.0,88891.0,144644.0,2017-12-31,2017-01-01,false,false,2018-06-06,Aalborg,"Jeg skal hermed bekrÃ¦fte, at selskabet opfylder betingelserne for fravalg af revision for det kommende Ã¥r",6109.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25742958,indberetninger-20180424,2.5955543999999997,30917723.0,AWPZCWas0wkEsASktfwx,2018-06-07T06:57:45.022Z,2018-06-07T06:57:39.195Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AN-46-HM,2018-06-07T06:57:39.634Z,,,,,,,,,,,,,,,,,,,
30917723,2017-01-01,2017-12-31,c1,http://regnskaber.virk.dk/32771903/ZG9rdW1lbnRsYWdlcjovLzAzLzU5LzVkL2FkLzA4LzY5YjktNDk4NC05MjAzLTk5OThjYmZjMzZhMQ.xhtml,http://regnskaber.virk.dk/32771903/ZG9rdW1lbnRsYWdlcjovLzAzLzk1LzdjL2YxLzEzLzM3OTYtNGNjMi05MDU1LTliNTdiNzBjNWViZA.pdf,http://regnskaber.virk.dk/32771903/ZG9rdW1lbnRsYWdlcjovLzAzLzQzL2M5L2M4LzMzL2E0NjgtNDgwYS1hZDViLTI1YmZkMzI3Y2Q0YQ.xml,true,Danmark,DK,Aalborg,9000.0,"2, ST th",Overblikket,Aalborg SV,9200.0,16.0,Drastrup Skovvej,9000 Aalborg,Overblikket 2,Til kapitalejerne i Laursen og SÃ¸n ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-06-06,2018-06-06,Registreret revisor FSR,"<p xmlns=""http://www.w3.org/1999/xhtml"">Til sikkerhed for gÃ¦ld til realkreditinstitut kr. 2.012.000, er der givet pant i grund og bygninger med bogfÃ¸rt vÃ¦rdi pÃ¥ kr. 2.900.000. Ejerpantebrev kr. 351.000 i ejendommen ligger til sikkerhed for gÃ¦ld i pengeinstitut.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",,,30917723.0,mne2587,1000218242.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Ole Dahl,Henrik Laursen,Henrik Laursen,Nykredit Bank,LAURSEN & SÃN ApS,Revisionsfirmaet Ole Dahl,,Aalborg,2016-01-01,2016-12-31,,,,2017-12-31,2017-01-01,false,false,2018-06-06,Aalborg,"Jeg skal hermed bekrÃ¦fte, at selskabet opfylder betingelserne for fravalg af revision for det kommende Ã¥r",,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25742958,indberetninger-20180424,2.5955543999999997,30917723.0,AWPZCWas0wkEsASktfwx,2018-06-07T06:57:45.022Z,2018-06-07T06:57:39.195Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AN-46-HM,2018-06-07T06:57:39.634Z,,,,,,,,,,,,,,,,,,11328881.0,REVISIONSFIRMAET OLE DAHL
30917723,2017-01-01,2017-12-31,c12,http://regnskaber.virk.dk/32771903/ZG9rdW1lbnRsYWdlcjovLzAzLzU5LzVkL2FkLzA4LzY5YjktNDk4NC05MjAzLTk5OThjYmZjMzZhMQ.xhtml,http://regnskaber.virk.dk/32771903/ZG9rdW1lbnRsYWdlcjovLzAzLzk1LzdjL2YxLzEzLzM3OTYtNGNjMi05MDU1LTliNTdiNzBjNWViZA.pdf,http://regnskaber.virk.dk/32771903/ZG9rdW1lbnRsYWdlcjovLzAzLzQzL2M5L2M4LzMzL2E0NjgtNDgwYS1hZDViLTI1YmZkMzI3Y2Q0YQ.xml,true,Danmark,DK,Aalborg,9000.0,"2, ST th",Overblikket,Aalborg SV,9200.0,16.0,Drastrup Skovvej,9000 Aalborg,Overblikket 2,Til kapitalejerne i Laursen og SÃ¸n ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-06-06,2018-06-06,Registreret revisor FSR,"<p xmlns=""http://www.w3.org/1999/xhtml"">Til sikkerhed for gÃ¦ld til realkreditinstitut kr. 2.012.000, er der givet pant i grund og bygninger med bogfÃ¸rt vÃ¦rdi pÃ¥ kr. 2.900.000. Ejerpantebrev kr. 351.000 i ejendommen ligger til sikkerhed for gÃ¦ld i pengeinstitut.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",,,30917723.0,mne2587,1000218242.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Ole Dahl,Henrik Laursen,Henrik Laursen,Nykredit Bank,LAURSEN & SÃN ApS,Revisionsfirmaet Ole Dahl,,Aalborg,2016-01-01,2016-12-31,82782.0,,,2017-12-31,2017-01-01,false,false,2018-06-06,Aalborg,"Jeg skal hermed bekrÃ¦fte, at selskabet opfylder betingelserne for fravalg af revision for det kommende Ã¥r",,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25742958,indberetninger-20180424,2.5955543999999997,30917723.0,AWPZCWas0wkEsASktfwx,2018-06-07T06:57:45.022Z,2018-06-07T06:57:39.195Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AN-46-HM,2018-06-07T06:57:39.634Z,,,,,,,,,,,,,,,,,,,
30917723,2017-01-01,2017-12-31,c2,http://regnskaber.virk.dk/32771903/ZG9rdW1lbnRsYWdlcjovLzAzLzU5LzVkL2FkLzA4LzY5YjktNDk4NC05MjAzLTk5OThjYmZjMzZhMQ.xhtml,http://regnskaber.virk.dk/32771903/ZG9rdW1lbnRsYWdlcjovLzAzLzk1LzdjL2YxLzEzLzM3OTYtNGNjMi05MDU1LTliNTdiNzBjNWViZA.pdf,http://regnskaber.virk.dk/32771903/ZG9rdW1lbnRsYWdlcjovLzAzLzQzL2M5L2M4LzMzL2E0NjgtNDgwYS1hZDViLTI1YmZkMzI3Y2Q0YQ.xml,true,Danmark,DK,Aalborg,9000.0,"2, ST th",Overblikket,Aalborg SV,9200.0,16.0,Drastrup Skovvej,9000 Aalborg,Overblikket 2,Til kapitalejerne i Laursen og SÃ¸n ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-06-06,2018-06-06,Registreret revisor FSR,"<p xmlns=""http://www.w3.org/1999/xhtml"">Til sikkerhed for gÃ¦ld til realkreditinstitut kr. 2.012.000, er der givet pant i grund og bygninger med bogfÃ¸rt vÃ¦rdi pÃ¥ kr. 2.900.000. Ejerpantebrev kr. 351.000 i ejendommen ligger til sikkerhed for gÃ¦ld i pengeinstitut.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",,,30917723.0,mne2587,1000218242.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Ole Dahl,Henrik Laursen,Henrik Laursen,Nykredit Bank,LAURSEN & SÃN ApS,Revisionsfirmaet Ole Dahl,,Aalborg,2016-01-01,2016-12-31,,,,2017-12-31,2017-01-01,false,false,2018-06-06,Aalborg,"Jeg skal hermed bekrÃ¦fte, at selskabet opfylder betingelserne for fravalg af revision for det kommende Ã¥r",,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25742958,indberetninger-20180424,2.5955543999999997,30917723.0,AWPZCWas0wkEsASktfwx,2018-06-07T06:57:45.022Z,2018-06-07T06:57:39.195Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AN-46-HM,2018-06-07T06:57:39.634Z,,,,,,,,,,,,,,,,,,,
