entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AdditionsToPropertyPlantAndEquipment,AddressOfAuditorCountry,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,ClassOfReportingEntity,DateOfApprovalOfReport,DateOfGeneralMeeting,DescriptionOfAuditor,Equity,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,PropertyPlantAndEquipmentGross,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss,AverageNumberOfEmployees,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GrossProfitLoss,InterestExpenseAssignedToGroupEnterprises,OtherFinanceExpenses,OtherFinanceIncome,OtherInterestExpenses,PostemploymentBenefitExpense,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,SocialSecurityContributions,TaxExpenseOnOrdinaryActivities,WagesAndSalaries,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,DeferredIncomeAssets,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermLiabilitiesOtherThanProvisions,LongtermPayablesToGroupEnterprises,NoncurrentAssets,OtherShorttermPayables,PropertyPlantAndEquipment,PropertyPlantAndEquipmentInProgressAndPrepaymentsForPropertyPlantAndEquipment,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTradePayables,ShorttermTradeReceivables,DateOfApprovalOfAnnualReport,PlaceOfSignatureOfStatement,NameAndSurnameOfMemberOfSupervisoryBoard
27723403,2015-01-01,2015-01-01,c470,,http://regnskaber.virk.dk/30432772/ZG9rdW1lbnRsYWdlcjovLzAzLzhkLzc4LzIyL2ViL2ExZmEtNGJiNi05YTM4LWM1N2U5OTkwY2UwYQ.pdf,http://regnskaber.virk.dk/30432772/ZG9rdW1lbnRsYWdlcjovLzAzLzc1LzhmL2NiL2RjLzdlODEtNDM2MC05NWIxLWE2MWRmYWNmMTdkYQ.xml,16837.0,Danmark,Copenhagen,2100.0,28.0,DampfÃ¦rgevej,KÃ¸benhavn,2100.0,4.0,Aldersrogade 6 C,6000 Kolding,Jupitervej 4,kapitalejeren,Regnskabsklasse B,2017-05-31,2017-05-31,statsautoriseret revisor,501000.0,25578196.0,27723403.0,32285201.0,Ãrsrapport,Henrik Kyhnauv,Aidas Rakauskas,Aidas Rakauskas,"KPMG, Statsautoriseret Revisionspartnerselskab",AS24 Danmark A/S,Martinsen Statsautoriseret Revisionspartnerselskab,2015-01-01,2015-12-31,16837.0,2016-12-31,2016-01-01,2017-05-31,KÃ¸benhavn,RevisionspÃ¥tegning,urn:ofk:oid:24210520,indberetninger-20180424,2.5118406,27723403.0,,2018-03-29T11:20:47.107Z,2017-06-15T08:23:50.050Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-14-MY,2017-06-15T08:23:50.340Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27723403,2015-01-01,2015-12-31,c123,,http://regnskaber.virk.dk/30432772/ZG9rdW1lbnRsYWdlcjovLzAzLzhkLzc4LzIyL2ViL2ExZmEtNGJiNi05YTM4LWM1N2U5OTkwY2UwYQ.pdf,http://regnskaber.virk.dk/30432772/ZG9rdW1lbnRsYWdlcjovLzAzLzc1LzhmL2NiL2RjLzdlODEtNDM2MC05NWIxLWE2MWRmYWNmMTdkYQ.xml,16837.0,Danmark,Copenhagen,2100.0,28.0,DampfÃ¦rgevej,KÃ¸benhavn,2100.0,4.0,Aldersrogade 6 C,6000 Kolding,Jupitervej 4,kapitalejeren,Regnskabsklasse B,2017-05-31,2017-05-31,statsautoriseret revisor,,25578196.0,27723403.0,32285201.0,Ãrsrapport,Henrik Kyhnauv,Aidas Rakauskas,Aidas Rakauskas,"KPMG, Statsautoriseret Revisionspartnerselskab",AS24 Danmark A/S,Martinsen Statsautoriseret Revisionspartnerselskab,2015-01-01,2015-12-31,16837.0,2016-12-31,2016-01-01,2017-05-31,KÃ¸benhavn,RevisionspÃ¥tegning,urn:ofk:oid:24210520,indberetninger-20180424,2.5118406,27723403.0,,2018-03-29T11:20:47.107Z,2017-06-15T08:23:50.050Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-14-MY,2017-06-15T08:23:50.340Z,1166897.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27723403,2015-01-01,2015-12-31,c3,,http://regnskaber.virk.dk/30432772/ZG9rdW1lbnRsYWdlcjovLzAzLzhkLzc4LzIyL2ViL2ExZmEtNGJiNi05YTM4LWM1N2U5OTkwY2UwYQ.pdf,http://regnskaber.virk.dk/30432772/ZG9rdW1lbnRsYWdlcjovLzAzLzc1LzhmL2NiL2RjLzdlODEtNDM2MC05NWIxLWE2MWRmYWNmMTdkYQ.xml,16837.0,Danmark,Copenhagen,2100.0,28.0,DampfÃ¦rgevej,KÃ¸benhavn,2100.0,4.0,Aldersrogade 6 C,6000 Kolding,Jupitervej 4,kapitalejeren,Regnskabsklasse B,2017-05-31,2017-05-31,statsautoriseret revisor,,25578196.0,27723403.0,32285201.0,Ãrsrapport,Henrik Kyhnauv,Aidas Rakauskas,Aidas Rakauskas,"KPMG, Statsautoriseret Revisionspartnerselskab",AS24 Danmark A/S,Martinsen Statsautoriseret Revisionspartnerselskab,2015-01-01,2015-12-31,16837.0,2016-12-31,2016-01-01,2017-05-31,KÃ¸benhavn,RevisionspÃ¥tegning,urn:ofk:oid:24210520,indberetninger-20180424,2.5118406,27723403.0,,2018-03-29T11:20:47.107Z,2017-06-15T08:23:50.050Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-14-MY,2017-06-15T08:23:50.340Z,1166897.0,1.0,2434.0,289796.0,1893921.0,10966.0,146707.0,36776.0,135741.0,24480.0,1491760.0,1601691.0,2300.0,324863.0,263016.0,,,,,,,,,,,,,,,,,,,,,,,,,
27723403,2015-12-31,2015-12-31,c4,,http://regnskaber.virk.dk/30432772/ZG9rdW1lbnRsYWdlcjovLzAzLzhkLzc4LzIyL2ViL2ExZmEtNGJiNi05YTM4LWM1N2U5OTkwY2UwYQ.pdf,http://regnskaber.virk.dk/30432772/ZG9rdW1lbnRsYWdlcjovLzAzLzc1LzhmL2NiL2RjLzdlODEtNDM2MC05NWIxLWE2MWRmYWNmMTdkYQ.xml,16837.0,Danmark,Copenhagen,2100.0,28.0,DampfÃ¦rgevej,KÃ¸benhavn,2100.0,4.0,Aldersrogade 6 C,6000 Kolding,Jupitervej 4,kapitalejeren,Regnskabsklasse B,2017-05-31,2017-05-31,statsautoriseret revisor,-3751067.0,25578196.0,27723403.0,32285201.0,Ãrsrapport,Henrik Kyhnauv,Aidas Rakauskas,Aidas Rakauskas,"KPMG, Statsautoriseret Revisionspartnerselskab",AS24 Danmark A/S,Martinsen Statsautoriseret Revisionspartnerselskab,2015-01-01,2015-12-31,16837.0,2016-12-31,2016-01-01,2017-05-31,KÃ¸benhavn,RevisionspÃ¥tegning,urn:ofk:oid:24210520,indberetninger-20180424,2.5118406,27723403.0,,2018-03-29T11:20:47.107Z,2017-06-15T08:23:50.050Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-14-MY,2017-06-15T08:23:50.340Z,,,,,,,,,,,,,,,,17031779.0,1314725.0,501000.0,17031779.0,20000.0,54750.0,17031779.0,20782846.0,5960000.0,5960000.0,0.0,331499.0,0.0,0.0,-4252067.0,14822846.0,3851019.0,15717054.0,12279046.0,405063.0,10235265.0,3363258.0,,,
27723403,2015-12-31,2015-12-31,c472,,http://regnskaber.virk.dk/30432772/ZG9rdW1lbnRsYWdlcjovLzAzLzhkLzc4LzIyL2ViL2ExZmEtNGJiNi05YTM4LWM1N2U5OTkwY2UwYQ.pdf,http://regnskaber.virk.dk/30432772/ZG9rdW1lbnRsYWdlcjovLzAzLzc1LzhmL2NiL2RjLzdlODEtNDM2MC05NWIxLWE2MWRmYWNmMTdkYQ.xml,16837.0,Danmark,Copenhagen,2100.0,28.0,DampfÃ¦rgevej,KÃ¸benhavn,2100.0,4.0,Aldersrogade 6 C,6000 Kolding,Jupitervej 4,kapitalejeren,Regnskabsklasse B,2017-05-31,2017-05-31,statsautoriseret revisor,501000.0,25578196.0,27723403.0,32285201.0,Ãrsrapport,Henrik Kyhnauv,Aidas Rakauskas,Aidas Rakauskas,"KPMG, Statsautoriseret Revisionspartnerselskab",AS24 Danmark A/S,Martinsen Statsautoriseret Revisionspartnerselskab,2015-01-01,2015-12-31,16837.0,2016-12-31,2016-01-01,2017-05-31,KÃ¸benhavn,RevisionspÃ¥tegning,urn:ofk:oid:24210520,indberetninger-20180424,2.5118406,27723403.0,,2018-03-29T11:20:47.107Z,2017-06-15T08:23:50.050Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-14-MY,2017-06-15T08:23:50.340Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27723403,2016-01-01,2016-01-01,c181,,http://regnskaber.virk.dk/30432772/ZG9rdW1lbnRsYWdlcjovLzAzLzhkLzc4LzIyL2ViL2ExZmEtNGJiNi05YTM4LWM1N2U5OTkwY2UwYQ.pdf,http://regnskaber.virk.dk/30432772/ZG9rdW1lbnRsYWdlcjovLzAzLzc1LzhmL2NiL2RjLzdlODEtNDM2MC05NWIxLWE2MWRmYWNmMTdkYQ.xml,16837.0,Danmark,Copenhagen,2100.0,28.0,DampfÃ¦rgevej,KÃ¸benhavn,2100.0,4.0,Aldersrogade 6 C,6000 Kolding,Jupitervej 4,kapitalejeren,Regnskabsklasse B,2017-05-31,2017-05-31,statsautoriseret revisor,501000.0,25578196.0,27723403.0,32285201.0,Ãrsrapport,Henrik Kyhnauv,Aidas Rakauskas,Aidas Rakauskas,"KPMG, Statsautoriseret Revisionspartnerselskab",AS24 Danmark A/S,Martinsen Statsautoriseret Revisionspartnerselskab,2015-01-01,2015-12-31,16837.0,2016-12-31,2016-01-01,2017-05-31,KÃ¸benhavn,RevisionspÃ¥tegning,urn:ofk:oid:24210520,indberetninger-20180424,2.5118406,27723403.0,,2018-03-29T11:20:47.107Z,2017-06-15T08:23:50.050Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-14-MY,2017-06-15T08:23:50.340Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27723403,2016-01-01,2016-12-31,c1,,http://regnskaber.virk.dk/30432772/ZG9rdW1lbnRsYWdlcjovLzAzLzhkLzc4LzIyL2ViL2ExZmEtNGJiNi05YTM4LWM1N2U5OTkwY2UwYQ.pdf,http://regnskaber.virk.dk/30432772/ZG9rdW1lbnRsYWdlcjovLzAzLzc1LzhmL2NiL2RjLzdlODEtNDM2MC05NWIxLWE2MWRmYWNmMTdkYQ.xml,16837.0,Danmark,Copenhagen,2100.0,28.0,DampfÃ¦rgevej,KÃ¸benhavn,2100.0,4.0,Aldersrogade 6 C,6000 Kolding,Jupitervej 4,kapitalejeren,Regnskabsklasse B,2017-05-31,2017-05-31,statsautoriseret revisor,,25578196.0,27723403.0,32285201.0,Ãrsrapport,Henrik Kyhnauv,Aidas Rakauskas,Aidas Rakauskas,"KPMG, Statsautoriseret Revisionspartnerselskab",AS24 Danmark A/S,Martinsen Statsautoriseret Revisionspartnerselskab,2015-01-01,2015-12-31,16837.0,2016-12-31,2016-01-01,2017-05-31,KÃ¸benhavn,RevisionspÃ¥tegning,urn:ofk:oid:24210520,indberetninger-20180424,2.5118406,27723403.0,,2018-03-29T11:20:47.107Z,2017-06-15T08:23:50.050Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-14-MY,2017-06-15T08:23:50.340Z,1406009.0,0.0,0.0,0.0,1992360.0,5766.0,283528.0,93853.0,277762.0,0.0,1802685.0,1992360.0,0.0,396676.0,0.0,,,,,,,,,,,,,,,,,,,,,,,2017-05-31,KÃ¸benhavn,
27723403,2016-01-01,2016-12-31,c122,,http://regnskaber.virk.dk/30432772/ZG9rdW1lbnRsYWdlcjovLzAzLzhkLzc4LzIyL2ViL2ExZmEtNGJiNi05YTM4LWM1N2U5OTkwY2UwYQ.pdf,http://regnskaber.virk.dk/30432772/ZG9rdW1lbnRsYWdlcjovLzAzLzc1LzhmL2NiL2RjLzdlODEtNDM2MC05NWIxLWE2MWRmYWNmMTdkYQ.xml,16837.0,Danmark,Copenhagen,2100.0,28.0,DampfÃ¦rgevej,KÃ¸benhavn,2100.0,4.0,Aldersrogade 6 C,6000 Kolding,Jupitervej 4,kapitalejeren,Regnskabsklasse B,2017-05-31,2017-05-31,statsautoriseret revisor,,25578196.0,27723403.0,32285201.0,Ãrsrapport,Henrik Kyhnauv,Aidas Rakauskas,Aidas Rakauskas,"KPMG, Statsautoriseret Revisionspartnerselskab",AS24 Danmark A/S,Martinsen Statsautoriseret Revisionspartnerselskab,2015-01-01,2015-12-31,16837.0,2016-12-31,2016-01-01,2017-05-31,KÃ¸benhavn,RevisionspÃ¥tegning,urn:ofk:oid:24210520,indberetninger-20180424,2.5118406,27723403.0,,2018-03-29T11:20:47.107Z,2017-06-15T08:23:50.050Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-14-MY,2017-06-15T08:23:50.340Z,1406009.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27723403,2016-01-01,2016-12-31,c32,,http://regnskaber.virk.dk/30432772/ZG9rdW1lbnRsYWdlcjovLzAzLzhkLzc4LzIyL2ViL2ExZmEtNGJiNi05YTM4LWM1N2U5OTkwY2UwYQ.pdf,http://regnskaber.virk.dk/30432772/ZG9rdW1lbnRsYWdlcjovLzAzLzc1LzhmL2NiL2RjLzdlODEtNDM2MC05NWIxLWE2MWRmYWNmMTdkYQ.xml,16837.0,Danmark,Copenhagen,2100.0,28.0,DampfÃ¦rgevej,KÃ¸benhavn,2100.0,4.0,Aldersrogade 6 C,6000 Kolding,Jupitervej 4,kapitalejeren,Regnskabsklasse B,2017-05-31,2017-05-31,statsautoriseret revisor,,25578196.0,27723403.0,32285201.0,Ãrsrapport,Henrik Kyhnauv,Aidas Rakauskas,Aidas Rakauskas,"KPMG, Statsautoriseret Revisionspartnerselskab",AS24 Danmark A/S,Martinsen Statsautoriseret Revisionspartnerselskab,2015-01-01,2015-12-31,16837.0,2016-12-31,2016-01-01,2017-05-31,KÃ¸benhavn,RevisionspÃ¥tegning,urn:ofk:oid:24210520,indberetninger-20180424,2.5118406,27723403.0,,2018-03-29T11:20:47.107Z,2017-06-15T08:23:50.050Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-14-MY,2017-06-15T08:23:50.340Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manuel RaphaÃ«l Olivier
27723403,2016-01-01,2016-12-31,c420,,http://regnskaber.virk.dk/30432772/ZG9rdW1lbnRsYWdlcjovLzAzLzhkLzc4LzIyL2ViL2ExZmEtNGJiNi05YTM4LWM1N2U5OTkwY2UwYQ.pdf,http://regnskaber.virk.dk/30432772/ZG9rdW1lbnRsYWdlcjovLzAzLzc1LzhmL2NiL2RjLzdlODEtNDM2MC05NWIxLWE2MWRmYWNmMTdkYQ.xml,16837.0,Danmark,Copenhagen,2100.0,28.0,DampfÃ¦rgevej,KÃ¸benhavn,2100.0,4.0,Aldersrogade 6 C,6000 Kolding,Jupitervej 4,kapitalejeren,Regnskabsklasse B,2017-05-31,2017-05-31,statsautoriseret revisor,,25578196.0,27723403.0,32285201.0,Ãrsrapport,Henrik Kyhnauv,Aidas Rakauskas,Aidas Rakauskas,"KPMG, Statsautoriseret Revisionspartnerselskab",AS24 Danmark A/S,Martinsen Statsautoriseret Revisionspartnerselskab,2015-01-01,2015-12-31,16837.0,2016-12-31,2016-01-01,2017-05-31,KÃ¸benhavn,RevisionspÃ¥tegning,urn:ofk:oid:24210520,indberetninger-20180424,2.5118406,27723403.0,,2018-03-29T11:20:47.107Z,2017-06-15T08:23:50.050Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-14-MY,2017-06-15T08:23:50.340Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
