entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfAuditorCountry,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,ClassOfReportingEntity,DateOfApprovalOfReport,DateOfGeneralMeeting,DepreciationOfPropertyPlantAndEquipment,DescriptionOfAuditor,Equity,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss,AverageNumberOfEmployees,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GrossProfitLoss,InterestExpenseAssignedToGroupEnterprises,OtherFinanceExpenses,OtherFinanceIncome,OtherInterestExpenses,PostemploymentBenefitExpense,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,SocialSecurityContributions,TaxExpenseOnOrdinaryActivities,WagesAndSalaries,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,DeferredIncomeAssets,FixturesFittingsToolsAndEquipment,Inventories,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermLiabilitiesOtherThanProvisions,LongtermPayablesToGroupEnterprises,NoncurrentAssets,OtherLongtermReceivables,OtherProvisions,OtherShorttermPayables,PropertyPlantAndEquipment,Provisions,RawMaterialsAndConsumables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTaxReceivables,ShorttermTradePayables,ShorttermTradeReceivables,AccumulatedImpairmentLossesAndDepreciationOfPropertyPlantAndEquipment,PropertyPlantAndEquipmentGross,DateOfApprovalOfAnnualReport,PlaceOfSignatureOfStatement,NameAndSurnameOfMemberOfSupervisoryBoard
27723403,2013-01-01,2013-01-01,c470,,http://regnskaber.virk.dk/30432772/ZG9rdW1lbnRsYWdlcjovLzAzL2FhLzRiLzg4LzkxLzJhOTktNDJlNy05NjQ5LTUxYjQyMmMzMmMyMQ.pdf,http://regnskaber.virk.dk/30432772/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzkzLzg4L2RjL2EwOTEtNDdiYi05MmE5LTg4NjBhY2I5ZjkxNA.xml,Danmark,2100 KÃ¸benhavn Ã,Amerika Plads 38,KÃ¸benhavn,2100.0,6000 Kolding,Jupitervej 4,kapitalejeren,Regnskabsklasse B,2015-05-29,2015-05-29,39810.0,statsautoriseret revisor,501000.0,27723403.0,32285201.0,Ãrsrapport,David Olafsson,Aidas Rakauskas,Aidas Rakauskas,"KPMG, Statsautoriseret Revisionspartnerselskab",AS24 Danmark A/S,Martinsen Statsautoriseret Revisionspartnerselskab,2014-12-31,2014-01-01,2015-05-29,KÃ¸benhavn,RevisionspÃ¥tegning,urn:ofk:oid:5563941,indberetninger-20180424,2.5124366,27723403.0,,2018-03-30T23:14:29.522Z,2015-06-21T07:13:03.978Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AE-00-JT,2015-06-21T07:13:04.047Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27723403,2013-01-01,2013-01-01,c494,,http://regnskaber.virk.dk/30432772/ZG9rdW1lbnRsYWdlcjovLzAzL2FhLzRiLzg4LzkxLzJhOTktNDJlNy05NjQ5LTUxYjQyMmMzMmMyMQ.pdf,http://regnskaber.virk.dk/30432772/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzkzLzg4L2RjL2EwOTEtNDdiYi05MmE5LTg4NjBhY2I5ZjkxNA.xml,Danmark,2100 KÃ¸benhavn Ã,Amerika Plads 38,KÃ¸benhavn,2100.0,6000 Kolding,Jupitervej 4,kapitalejeren,Regnskabsklasse B,2015-05-29,2015-05-29,39810.0,statsautoriseret revisor,-5218954.0,27723403.0,32285201.0,Ãrsrapport,David Olafsson,Aidas Rakauskas,Aidas Rakauskas,"KPMG, Statsautoriseret Revisionspartnerselskab",AS24 Danmark A/S,Martinsen Statsautoriseret Revisionspartnerselskab,2014-12-31,2014-01-01,2015-05-29,KÃ¸benhavn,RevisionspÃ¥tegning,urn:ofk:oid:5563941,indberetninger-20180424,2.5124366,27723403.0,,2018-03-30T23:14:29.522Z,2015-06-21T07:13:03.978Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AE-00-JT,2015-06-21T07:13:04.047Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27723403,2013-01-01,2013-12-31,c123,,http://regnskaber.virk.dk/30432772/ZG9rdW1lbnRsYWdlcjovLzAzL2FhLzRiLzg4LzkxLzJhOTktNDJlNy05NjQ5LTUxYjQyMmMzMmMyMQ.pdf,http://regnskaber.virk.dk/30432772/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzkzLzg4L2RjL2EwOTEtNDdiYi05MmE5LTg4NjBhY2I5ZjkxNA.xml,Danmark,2100 KÃ¸benhavn Ã,Amerika Plads 38,KÃ¸benhavn,2100.0,6000 Kolding,Jupitervej 4,kapitalejeren,Regnskabsklasse B,2015-05-29,2015-05-29,39810.0,statsautoriseret revisor,,27723403.0,32285201.0,Ãrsrapport,David Olafsson,Aidas Rakauskas,Aidas Rakauskas,"KPMG, Statsautoriseret Revisionspartnerselskab",AS24 Danmark A/S,Martinsen Statsautoriseret Revisionspartnerselskab,2014-12-31,2014-01-01,2015-05-29,KÃ¸benhavn,RevisionspÃ¥tegning,urn:ofk:oid:5563941,indberetninger-20180424,2.5124366,27723403.0,,2018-03-30T23:14:29.522Z,2015-06-21T07:13:03.978Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AE-00-JT,2015-06-21T07:13:04.047Z,-697874.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27723403,2013-01-01,2013-12-31,c3,,http://regnskaber.virk.dk/30432772/ZG9rdW1lbnRsYWdlcjovLzAzL2FhLzRiLzg4LzkxLzJhOTktNDJlNy05NjQ5LTUxYjQyMmMzMmMyMQ.pdf,http://regnskaber.virk.dk/30432772/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzkzLzg4L2RjL2EwOTEtNDdiYi05MmE5LTg4NjBhY2I5ZjkxNA.xml,Danmark,2100 KÃ¸benhavn Ã,Amerika Plads 38,KÃ¸benhavn,2100.0,6000 Kolding,Jupitervej 4,kapitalejeren,Regnskabsklasse B,2015-05-29,2015-05-29,39810.0,statsautoriseret revisor,,27723403.0,32285201.0,Ãrsrapport,David Olafsson,Aidas Rakauskas,Aidas Rakauskas,"KPMG, Statsautoriseret Revisionspartnerselskab",AS24 Danmark A/S,Martinsen Statsautoriseret Revisionspartnerselskab,2014-12-31,2014-01-01,2015-05-29,KÃ¸benhavn,RevisionspÃ¥tegning,urn:ofk:oid:5563941,indberetninger-20180424,2.5124366,27723403.0,,2018-03-30T23:14:29.522Z,2015-06-21T07:13:03.978Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AE-00-JT,2015-06-21T07:13:04.047Z,-697874.0,1.0,73142.0,498720.0,-160361.0,35350.0,214481.0,30892.0,179131.0,36383.0,-915812.0,-732223.0,3738.0,-217938.0,458599.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27723403,2013-01-01,2013-12-31,c495,,http://regnskaber.virk.dk/30432772/ZG9rdW1lbnRsYWdlcjovLzAzL2FhLzRiLzg4LzkxLzJhOTktNDJlNy05NjQ5LTUxYjQyMmMzMmMyMQ.pdf,http://regnskaber.virk.dk/30432772/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzkzLzg4L2RjL2EwOTEtNDdiYi05MmE5LTg4NjBhY2I5ZjkxNA.xml,Danmark,2100 KÃ¸benhavn Ã,Amerika Plads 38,KÃ¸benhavn,2100.0,6000 Kolding,Jupitervej 4,kapitalejeren,Regnskabsklasse B,2015-05-29,2015-05-29,39810.0,statsautoriseret revisor,,27723403.0,32285201.0,Ãrsrapport,David Olafsson,Aidas Rakauskas,Aidas Rakauskas,"KPMG, Statsautoriseret Revisionspartnerselskab",AS24 Danmark A/S,Martinsen Statsautoriseret Revisionspartnerselskab,2014-12-31,2014-01-01,2015-05-29,KÃ¸benhavn,RevisionspÃ¥tegning,urn:ofk:oid:5563941,indberetninger-20180424,2.5124366,27723403.0,,2018-03-30T23:14:29.522Z,2015-06-21T07:13:03.978Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AE-00-JT,2015-06-21T07:13:04.047Z,-697874.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27723403,2013-12-31,2013-12-31,c4,,http://regnskaber.virk.dk/30432772/ZG9rdW1lbnRsYWdlcjovLzAzL2FhLzRiLzg4LzkxLzJhOTktNDJlNy05NjQ5LTUxYjQyMmMzMmMyMQ.pdf,http://regnskaber.virk.dk/30432772/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzkzLzg4L2RjL2EwOTEtNDdiYi05MmE5LTg4NjBhY2I5ZjkxNA.xml,Danmark,2100 KÃ¸benhavn Ã,Amerika Plads 38,KÃ¸benhavn,2100.0,6000 Kolding,Jupitervej 4,kapitalejeren,Regnskabsklasse B,2015-05-29,2015-05-29,39810.0,statsautoriseret revisor,-5415828.0,27723403.0,32285201.0,Ãrsrapport,David Olafsson,Aidas Rakauskas,Aidas Rakauskas,"KPMG, Statsautoriseret Revisionspartnerselskab",AS24 Danmark A/S,Martinsen Statsautoriseret Revisionspartnerselskab,2014-12-31,2014-01-01,2015-05-29,KÃ¸benhavn,RevisionspÃ¥tegning,urn:ofk:oid:5563941,indberetninger-20180424,2.5124366,27723403.0,,2018-03-30T23:14:29.522Z,2015-06-21T07:13:03.978Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AE-00-JT,2015-06-21T07:13:04.047Z,,,,,,,,,,,,,,,,17183124.0,1100762.0,501000.0,17140880.0,158038.0,21005.0,42244.0,243276.0,17183124.0,21966802.0,0.0,9312500.0,9312500.0,42244.0,0.0,632150.0,138498.0,42244.0,632150.0,243276.0,-5916828.0,12654302.0,8641411.0,15796842.0,5330826.0,0.0,59900.0,3874393.0,10227073.0,,,,,
27723403,2013-12-31,2013-12-31,c472,,http://regnskaber.virk.dk/30432772/ZG9rdW1lbnRsYWdlcjovLzAzL2FhLzRiLzg4LzkxLzJhOTktNDJlNy05NjQ5LTUxYjQyMmMzMmMyMQ.pdf,http://regnskaber.virk.dk/30432772/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzkzLzg4L2RjL2EwOTEtNDdiYi05MmE5LTg4NjBhY2I5ZjkxNA.xml,Danmark,2100 KÃ¸benhavn Ã,Amerika Plads 38,KÃ¸benhavn,2100.0,6000 Kolding,Jupitervej 4,kapitalejeren,Regnskabsklasse B,2015-05-29,2015-05-29,39810.0,statsautoriseret revisor,501000.0,27723403.0,32285201.0,Ãrsrapport,David Olafsson,Aidas Rakauskas,Aidas Rakauskas,"KPMG, Statsautoriseret Revisionspartnerselskab",AS24 Danmark A/S,Martinsen Statsautoriseret Revisionspartnerselskab,2014-12-31,2014-01-01,2015-05-29,KÃ¸benhavn,RevisionspÃ¥tegning,urn:ofk:oid:5563941,indberetninger-20180424,2.5124366,27723403.0,,2018-03-30T23:14:29.522Z,2015-06-21T07:13:03.978Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AE-00-JT,2015-06-21T07:13:04.047Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27723403,2013-12-31,2013-12-31,c496,,http://regnskaber.virk.dk/30432772/ZG9rdW1lbnRsYWdlcjovLzAzL2FhLzRiLzg4LzkxLzJhOTktNDJlNy05NjQ5LTUxYjQyMmMzMmMyMQ.pdf,http://regnskaber.virk.dk/30432772/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzkzLzg4L2RjL2EwOTEtNDdiYi05MmE5LTg4NjBhY2I5ZjkxNA.xml,Danmark,2100 KÃ¸benhavn Ã,Amerika Plads 38,KÃ¸benhavn,2100.0,6000 Kolding,Jupitervej 4,kapitalejeren,Regnskabsklasse B,2015-05-29,2015-05-29,39810.0,statsautoriseret revisor,-5916828.0,27723403.0,32285201.0,Ãrsrapport,David Olafsson,Aidas Rakauskas,Aidas Rakauskas,"KPMG, Statsautoriseret Revisionspartnerselskab",AS24 Danmark A/S,Martinsen Statsautoriseret Revisionspartnerselskab,2014-12-31,2014-01-01,2015-05-29,KÃ¸benhavn,RevisionspÃ¥tegning,urn:ofk:oid:5563941,indberetninger-20180424,2.5124366,27723403.0,,2018-03-30T23:14:29.522Z,2015-06-21T07:13:03.978Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AE-00-JT,2015-06-21T07:13:04.047Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27723403,2014-01-01,2014-01-01,c160,,http://regnskaber.virk.dk/30432772/ZG9rdW1lbnRsYWdlcjovLzAzL2FhLzRiLzg4LzkxLzJhOTktNDJlNy05NjQ5LTUxYjQyMmMzMmMyMQ.pdf,http://regnskaber.virk.dk/30432772/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzkzLzg4L2RjL2EwOTEtNDdiYi05MmE5LTg4NjBhY2I5ZjkxNA.xml,Danmark,2100 KÃ¸benhavn Ã,Amerika Plads 38,KÃ¸benhavn,2100.0,6000 Kolding,Jupitervej 4,kapitalejeren,Regnskabsklasse B,2015-05-29,2015-05-29,39810.0,statsautoriseret revisor,,27723403.0,32285201.0,Ãrsrapport,David Olafsson,Aidas Rakauskas,Aidas Rakauskas,"KPMG, Statsautoriseret Revisionspartnerselskab",AS24 Danmark A/S,Martinsen Statsautoriseret Revisionspartnerselskab,2014-12-31,2014-01-01,2015-05-29,KÃ¸benhavn,RevisionspÃ¥tegning,urn:ofk:oid:5563941,indberetninger-20180424,2.5124366,27723403.0,,2018-03-30T23:14:29.522Z,2015-06-21T07:13:03.978Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AE-00-JT,2015-06-21T07:13:04.047Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1511749.0,1553994.0,,,
27723403,2014-01-01,2014-01-01,c181,,http://regnskaber.virk.dk/30432772/ZG9rdW1lbnRsYWdlcjovLzAzL2FhLzRiLzg4LzkxLzJhOTktNDJlNy05NjQ5LTUxYjQyMmMzMmMyMQ.pdf,http://regnskaber.virk.dk/30432772/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzkzLzg4L2RjL2EwOTEtNDdiYi05MmE5LTg4NjBhY2I5ZjkxNA.xml,Danmark,2100 KÃ¸benhavn Ã,Amerika Plads 38,KÃ¸benhavn,2100.0,6000 Kolding,Jupitervej 4,kapitalejeren,Regnskabsklasse B,2015-05-29,2015-05-29,39810.0,statsautoriseret revisor,501000.0,27723403.0,32285201.0,Ãrsrapport,David Olafsson,Aidas Rakauskas,Aidas Rakauskas,"KPMG, Statsautoriseret Revisionspartnerselskab",AS24 Danmark A/S,Martinsen Statsautoriseret Revisionspartnerselskab,2014-12-31,2014-01-01,2015-05-29,KÃ¸benhavn,RevisionspÃ¥tegning,urn:ofk:oid:5563941,indberetninger-20180424,2.5124366,27723403.0,,2018-03-30T23:14:29.522Z,2015-06-21T07:13:03.978Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AE-00-JT,2015-06-21T07:13:04.047Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
