entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,GrossResult,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,TelephoneNumberOfReportingEntity,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermLiabilitiesOtherThanProvisions,LongtermMortgageDebt,NoncurrentAssets,OtherLongtermReceivables,OtherShorttermPayables,OtherShorttermReceivables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermMortgageDebt,ShorttermPartOfLongtermLiabilitiesOtherThanProvisions,ShorttermPrepaymentsReceivedFromCustomers,ShorttermReceivables,ShorttermTradePayables,NameAndSurnameOfMemberOfExecutiveBoard,NameAndSurnameOfMemberOfSupervisoryBoard,TitleOfMemberOfSupervisoryBoard
33765185,2016-01-01,2016-12-31,ID_10,,http://regnskaber.virk.dk/58156733/ZG9rdW1lbnRsYWdlcjovLzAzLzFkL2EwLzM3LzdhLzBkNTktNDk1ZS1hM2M4LWM3M2JmMWRjOThjMA.pdf,http://regnskaber.virk.dk/58156733/ZG9rdW1lbnRsYWdlcjovLzAzLzI3LzYzLzljL2M2LzYzYjctNGIxZC1iYTljLWM0NjQyYzEyZjk2OA.xml,false,"Frederiksberg, 2000",Dirch Passers AllÃ© 76,Til kapitalejerne i OPP Randers P-hus A/S,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",2018-02-21,2018-02-21,2011-06-20,2018-02-21,3724000.0,30700228.0,33765185.0,30700228.0,Ãrsrapport,"Det er endvidere vores opfattelse, at ledelsesberetningen indeholder en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henrik Reedtz,Lars Olaf Larsen,Ernst & Young Godkendt Revisionspartnerselskab,OPP Randers P-hus A/S,DEAS A/S,2885000.0,3103000.0,Frederiksberg,2016-01-01,2016-12-31,3075000.0,3943000.0,2017-12-31,2017-01-01,false,2018-02-21,Frederiksberg,867000.0,70 30 20 20,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:25139878,indberetninger-20180424,2.5118417999999996,33765185.0,,2018-04-04T03:42:03.673Z,2018-03-06T14:56:14.054Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AF-16-KA,2018-03-06T14:56:14.206Z,,,,,,,,,,,,,,,,,,,,,,,,,
33765185,2016-01-01,2016-12-31,ID_12,,http://regnskaber.virk.dk/58156733/ZG9rdW1lbnRsYWdlcjovLzAzLzFkL2EwLzM3LzdhLzBkNTktNDk1ZS1hM2M4LWM3M2JmMWRjOThjMA.pdf,http://regnskaber.virk.dk/58156733/ZG9rdW1lbnRsYWdlcjovLzAzLzI3LzYzLzljL2M2LzYzYjctNGIxZC1iYTljLWM0NjQyYzEyZjk2OA.xml,false,"Frederiksberg, 2000",Dirch Passers AllÃ© 76,Til kapitalejerne i OPP Randers P-hus A/S,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",2018-02-21,2018-02-21,2011-06-20,2018-02-21,,30700228.0,33765185.0,30700228.0,Ãrsrapport,"Det er endvidere vores opfattelse, at ledelsesberetningen indeholder en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henrik Reedtz,Lars Olaf Larsen,Ernst & Young Godkendt Revisionspartnerselskab,OPP Randers P-hus A/S,DEAS A/S,,,Frederiksberg,2016-01-01,2016-12-31,-3075000.0,,2017-12-31,2017-01-01,false,2018-02-21,Frederiksberg,,70 30 20 20,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:25139878,indberetninger-20180424,2.5118417999999996,33765185.0,,2018-04-04T03:42:03.673Z,2018-03-06T14:56:14.054Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AF-16-KA,2018-03-06T14:56:14.206Z,,,,,,,,,,,,,,,,,,,,,,,,,
33765185,2016-12-31,2016-12-31,ID_8,,http://regnskaber.virk.dk/58156733/ZG9rdW1lbnRsYWdlcjovLzAzLzFkL2EwLzM3LzdhLzBkNTktNDk1ZS1hM2M4LWM3M2JmMWRjOThjMA.pdf,http://regnskaber.virk.dk/58156733/ZG9rdW1lbnRsYWdlcjovLzAzLzI3LzYzLzljL2M2LzYzYjctNGIxZC1iYTljLWM0NjQyYzEyZjk2OA.xml,false,"Frederiksberg, 2000",Dirch Passers AllÃ© 76,Til kapitalejerne i OPP Randers P-hus A/S,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",2018-02-21,2018-02-21,2011-06-20,2018-02-21,,30700228.0,33765185.0,30700228.0,Ãrsrapport,"Det er endvidere vores opfattelse, at ledelsesberetningen indeholder en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henrik Reedtz,Lars Olaf Larsen,Ernst & Young Godkendt Revisionspartnerselskab,OPP Randers P-hus A/S,DEAS A/S,,,Frederiksberg,2016-01-01,2016-12-31,,,2017-12-31,2017-01-01,false,2018-02-21,Frederiksberg,,70 30 20 20,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:25139878,indberetninger-20180424,2.5118417999999996,33765185.0,,2018-04-04T03:42:03.673Z,2018-03-06T14:56:14.054Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AF-16-KA,2018-03-06T14:56:14.206Z,64444000.0,8201000.0,4410000.0,11441000.0,3147000.0,-6748000.0,64444000.0,71192000.0,53003000.0,47205000.0,47205000.0,53003000.0,53003000.0,388000.0,93000.0,-11158000.0,23987000.0,20973000.0,580000.0,1842000.0,3240000.0,205000.0,,,
33765185,2017-01-01,2017-12-31,ID_0,,http://regnskaber.virk.dk/58156733/ZG9rdW1lbnRsYWdlcjovLzAzLzFkL2EwLzM3LzdhLzBkNTktNDk1ZS1hM2M4LWM3M2JmMWRjOThjMA.pdf,http://regnskaber.virk.dk/58156733/ZG9rdW1lbnRsYWdlcjovLzAzLzI3LzYzLzljL2M2LzYzYjctNGIxZC1iYTljLWM0NjQyYzEyZjk2OA.xml,false,"Frederiksberg, 2000",Dirch Passers AllÃ© 76,Til kapitalejerne i OPP Randers P-hus A/S,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",2018-02-21,2018-02-21,2011-06-20,2018-02-21,809000.0,30700228.0,33765185.0,30700228.0,Ãrsrapport,"Det er endvidere vores opfattelse, at ledelsesberetningen indeholder en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henrik Reedtz,Lars Olaf Larsen,Ernst & Young Godkendt Revisionspartnerselskab,OPP Randers P-hus A/S,DEAS A/S,2835000.0,3069000.0,Frederiksberg,2016-01-01,2016-12-31,813000.0,1043000.0,2017-12-31,2017-01-01,false,2018-02-21,Frederiksberg,229000.0,70 30 20 20,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:25139878,indberetninger-20180424,2.5118417999999996,33765185.0,,2018-04-04T03:42:03.673Z,2018-03-06T14:56:14.054Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AF-16-KA,2018-03-06T14:56:14.206Z,,,,,,,,,,,,,,,,,,,,,,,,,
33765185,2017-01-01,2017-12-31,ID_1,,http://regnskaber.virk.dk/58156733/ZG9rdW1lbnRsYWdlcjovLzAzLzFkL2EwLzM3LzdhLzBkNTktNDk1ZS1hM2M4LWM3M2JmMWRjOThjMA.pdf,http://regnskaber.virk.dk/58156733/ZG9rdW1lbnRsYWdlcjovLzAzLzI3LzYzLzljL2M2LzYzYjctNGIxZC1iYTljLWM0NjQyYzEyZjk2OA.xml,false,"Frederiksberg, 2000",Dirch Passers AllÃ© 76,Til kapitalejerne i OPP Randers P-hus A/S,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",2018-02-21,2018-02-21,2011-06-20,2018-02-21,,30700228.0,33765185.0,30700228.0,Ãrsrapport,"Det er endvidere vores opfattelse, at ledelsesberetningen indeholder en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henrik Reedtz,Lars Olaf Larsen,Ernst & Young Godkendt Revisionspartnerselskab,OPP Randers P-hus A/S,DEAS A/S,,,Frederiksberg,2016-01-01,2016-12-31,,,2017-12-31,2017-01-01,false,2018-02-21,Frederiksberg,,70 30 20 20,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:25139878,indberetninger-20180424,2.5118417999999996,33765185.0,,2018-04-04T03:42:03.673Z,2018-03-06T14:56:14.054Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AF-16-KA,2018-03-06T14:56:14.206Z,,,,,,,,,,,,,,,,,,,,,,,,,
33765185,2017-01-01,2017-12-31,ID_11,,http://regnskaber.virk.dk/58156733/ZG9rdW1lbnRsYWdlcjovLzAzLzFkL2EwLzM3LzdhLzBkNTktNDk1ZS1hM2M4LWM3M2JmMWRjOThjMA.pdf,http://regnskaber.virk.dk/58156733/ZG9rdW1lbnRsYWdlcjovLzAzLzI3LzYzLzljL2M2LzYzYjctNGIxZC1iYTljLWM0NjQyYzEyZjk2OA.xml,false,"Frederiksberg, 2000",Dirch Passers AllÃ© 76,Til kapitalejerne i OPP Randers P-hus A/S,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",2018-02-21,2018-02-21,2011-06-20,2018-02-21,,30700228.0,33765185.0,30700228.0,Ãrsrapport,"Det er endvidere vores opfattelse, at ledelsesberetningen indeholder en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henrik Reedtz,Lars Olaf Larsen,Ernst & Young Godkendt Revisionspartnerselskab,OPP Randers P-hus A/S,DEAS A/S,,,Frederiksberg,2016-01-01,2016-12-31,-813000.0,,2017-12-31,2017-01-01,false,2018-02-21,Frederiksberg,,70 30 20 20,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:25139878,indberetninger-20180424,2.5118417999999996,33765185.0,,2018-04-04T03:42:03.673Z,2018-03-06T14:56:14.054Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AF-16-KA,2018-03-06T14:56:14.206Z,,,,,,,,,,,,,,,,,,,,,,,,,
33765185,2017-01-01,2017-12-31,ID_2,,http://regnskaber.virk.dk/58156733/ZG9rdW1lbnRsYWdlcjovLzAzLzFkL2EwLzM3LzdhLzBkNTktNDk1ZS1hM2M4LWM3M2JmMWRjOThjMA.pdf,http://regnskaber.virk.dk/58156733/ZG9rdW1lbnRsYWdlcjovLzAzLzI3LzYzLzljL2M2LzYzYjctNGIxZC1iYTljLWM0NjQyYzEyZjk2OA.xml,false,"Frederiksberg, 2000",Dirch Passers AllÃ© 76,Til kapitalejerne i OPP Randers P-hus A/S,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",2018-02-21,2018-02-21,2011-06-20,2018-02-21,,30700228.0,33765185.0,30700228.0,Ãrsrapport,"Det er endvidere vores opfattelse, at ledelsesberetningen indeholder en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henrik Reedtz,Lars Olaf Larsen,Ernst & Young Godkendt Revisionspartnerselskab,OPP Randers P-hus A/S,DEAS A/S,,,Frederiksberg,2016-01-01,2016-12-31,,,2017-12-31,2017-01-01,false,2018-02-21,Frederiksberg,,70 30 20 20,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:25139878,indberetninger-20180424,2.5118417999999996,33765185.0,,2018-04-04T03:42:03.673Z,2018-03-06T14:56:14.054Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AF-16-KA,2018-03-06T14:56:14.206Z,,,,,,,,,,,,,,,,,,,,,,,Lars Olaf Larsen,,
33765185,2017-01-01,2017-12-31,ID_3,,http://regnskaber.virk.dk/58156733/ZG9rdW1lbnRsYWdlcjovLzAzLzFkL2EwLzM3LzdhLzBkNTktNDk1ZS1hM2M4LWM3M2JmMWRjOThjMA.pdf,http://regnskaber.virk.dk/58156733/ZG9rdW1lbnRsYWdlcjovLzAzLzI3LzYzLzljL2M2LzYzYjctNGIxZC1iYTljLWM0NjQyYzEyZjk2OA.xml,false,"Frederiksberg, 2000",Dirch Passers AllÃ© 76,Til kapitalejerne i OPP Randers P-hus A/S,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",2018-02-21,2018-02-21,2011-06-20,2018-02-21,,30700228.0,33765185.0,30700228.0,Ãrsrapport,"Det er endvidere vores opfattelse, at ledelsesberetningen indeholder en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henrik Reedtz,Lars Olaf Larsen,Ernst & Young Godkendt Revisionspartnerselskab,OPP Randers P-hus A/S,DEAS A/S,,,Frederiksberg,2016-01-01,2016-12-31,,,2017-12-31,2017-01-01,false,2018-02-21,Frederiksberg,,70 30 20 20,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:25139878,indberetninger-20180424,2.5118417999999996,33765185.0,,2018-04-04T03:42:03.673Z,2018-03-06T14:56:14.054Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AF-16-KA,2018-03-06T14:56:14.206Z,,,,,,,,,,,,,,,,,,,,,,,,,
33765185,2017-01-01,2017-12-31,ID_4,,http://regnskaber.virk.dk/58156733/ZG9rdW1lbnRsYWdlcjovLzAzLzFkL2EwLzM3LzdhLzBkNTktNDk1ZS1hM2M4LWM3M2JmMWRjOThjMA.pdf,http://regnskaber.virk.dk/58156733/ZG9rdW1lbnRsYWdlcjovLzAzLzI3LzYzLzljL2M2LzYzYjctNGIxZC1iYTljLWM0NjQyYzEyZjk2OA.xml,false,"Frederiksberg, 2000",Dirch Passers AllÃ© 76,Til kapitalejerne i OPP Randers P-hus A/S,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",2018-02-21,2018-02-21,2011-06-20,2018-02-21,,30700228.0,33765185.0,30700228.0,Ãrsrapport,"Det er endvidere vores opfattelse, at ledelsesberetningen indeholder en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henrik Reedtz,Lars Olaf Larsen,Ernst & Young Godkendt Revisionspartnerselskab,OPP Randers P-hus A/S,DEAS A/S,,,Frederiksberg,2016-01-01,2016-12-31,,,2017-12-31,2017-01-01,false,2018-02-21,Frederiksberg,,70 30 20 20,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:25139878,indberetninger-20180424,2.5118417999999996,33765185.0,,2018-04-04T03:42:03.673Z,2018-03-06T14:56:14.054Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AF-16-KA,2018-03-06T14:56:14.206Z,,,,,,,,,,,,,,,,,,,,,,,,,
33765185,2017-01-01,2017-12-31,ID_5,,http://regnskaber.virk.dk/58156733/ZG9rdW1lbnRsYWdlcjovLzAzLzFkL2EwLzM3LzdhLzBkNTktNDk1ZS1hM2M4LWM3M2JmMWRjOThjMA.pdf,http://regnskaber.virk.dk/58156733/ZG9rdW1lbnRsYWdlcjovLzAzLzI3LzYzLzljL2M2LzYzYjctNGIxZC1iYTljLWM0NjQyYzEyZjk2OA.xml,false,"Frederiksberg, 2000",Dirch Passers AllÃ© 76,Til kapitalejerne i OPP Randers P-hus A/S,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",2018-02-21,2018-02-21,2011-06-20,2018-02-21,,30700228.0,33765185.0,30700228.0,Ãrsrapport,"Det er endvidere vores opfattelse, at ledelsesberetningen indeholder en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Henrik Reedtz,Lars Olaf Larsen,Ernst & Young Godkendt Revisionspartnerselskab,OPP Randers P-hus A/S,DEAS A/S,,,Frederiksberg,2016-01-01,2016-12-31,,,2017-12-31,2017-01-01,false,2018-02-21,Frederiksberg,,70 30 20 20,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:25139878,indberetninger-20180424,2.5118417999999996,33765185.0,,2018-04-04T03:42:03.673Z,2018-03-06T14:56:14.054Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AF-16-KA,2018-03-06T14:56:14.206Z,,,,,,,,,,,,,,,,,,,,,,,,Erik Nielsen,Bestyrelsesformand
