entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,AuditorsReportOnFinancialStatements,AuditorsReportsAccordingToOtherLegislationAndRegulation,ClassOfReportingEntity,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,GainsLossesFromCurrentValueAdjustmentsOfInvestmentAssets,GrossProfitLoss,IdentificationNumberCvrOfReportingEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,StatementOnManagementsReviewAuditorsReportOnAuditedFinancialStatements,TaxExpenseOnOrdinaryActivities,TelephoneNumberOfReportingEntity,TitleOfMemberOfExecutiveBoard,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermLiabilitiesOtherThanProvisions,LongtermMortgageDebt,LongtermReceivablesFromOwnersAndManagement,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,PropertyPlantAndEquipmentInProgressAndPrepaymentsForPropertyPlantAndEquipment,ReserveForLoansAndCollaterals,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermMortgageDebt,ShorttermPrepaymentsReceivedFromCustomers,ShorttermReceivables,ShorttermTradePayables,NameAndSurnameOfMemberOfSupervisoryBoard,TitleOfMemberOfSupervisoryBoard,DescriptionOfAuditor,NameAndSurnameOfAuditor,NameOfAuditFirm
entity identifier,2011-01-01,2011-12-31,ID_11,http://regnskaber.virk.dk/58156733/Y3ZyLmRrOi8vcGRmcy8zMzc2NTE4NTtBL1M0OTkwNzM7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/58156733/Y3ZyLmRrOi8veGJybHMvWC02QzcxOUE5Qy0yMDEzMDIxMl8xNDA2MDJfNjg5.xml,"2000, Frederiksberg","Dirch Passers AllÃ© 76, c/o DEAS A/S","2000, Frederiksberg",Osvald Helmuths Vej 4,Til kapitalejerne i OPP Randers P-hus A/S,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Udtalelse om ledelsesberetningen,Regnskabsklasse B,"Det er endvidere vores opfattelse, af ledelsesberetningen indeholder en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",2011-06-20,2013-02-07,0.0,36.0,33765185.0,Ãrsrapport,Lars Olaf Larsen,Lars Olaf Larsen,OPP Randers P-hus A/S,"Statsautoriseret Revisionspartnerselskab, KPMG",0.0,0.0,27.0,36.0,2012-12-31,2012-01-01,2013-02-07,Frederiksberg,"Vi har i henhold til Ã¥rsregnskabsloven gennemlÃ¦st ledelsesberetningen. Vi har ikke foretaget yderligere handlinger i tillÃ¦g til den udfÃ¸rte revision af Ã¥rsregnskabet. Det er pÃ¥ denne baggrund vores opfattelse, at oplysningerne i ledelsesberetningen er i overensstemmelse med Ã¥rsregnskabet.",-9.0,70 30 20 20,DirektÃ¸r,urn:ofk:oid:18396903,indberetninger-20180424,2.5118406,33765185.0,,2018-04-01T15:56:10.943Z,2013-02-12T23:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-162.091,2013-02-12T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_13,http://regnskaber.virk.dk/58156733/Y3ZyLmRrOi8vcGRmcy8zMzc2NTE4NTtBL1M0OTkwNzM7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/58156733/Y3ZyLmRrOi8veGJybHMvWC02QzcxOUE5Qy0yMDEzMDIxMl8xNDA2MDJfNjg5.xml,"2000, Frederiksberg","Dirch Passers AllÃ© 76, c/o DEAS A/S","2000, Frederiksberg",Osvald Helmuths Vej 4,Til kapitalejerne i OPP Randers P-hus A/S,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Udtalelse om ledelsesberetningen,Regnskabsklasse B,"Det er endvidere vores opfattelse, af ledelsesberetningen indeholder en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",2011-06-20,2013-02-07,,,33765185.0,Ãrsrapport,Lars Olaf Larsen,Lars Olaf Larsen,OPP Randers P-hus A/S,"Statsautoriseret Revisionspartnerselskab, KPMG",,,-27.0,,2012-12-31,2012-01-01,2013-02-07,Frederiksberg,"Vi har i henhold til Ã¥rsregnskabsloven gennemlÃ¦st ledelsesberetningen. Vi har ikke foretaget yderligere handlinger i tillÃ¦g til den udfÃ¸rte revision af Ã¥rsregnskabet. Det er pÃ¥ denne baggrund vores opfattelse, at oplysningerne i ledelsesberetningen er i overensstemmelse med Ã¥rsregnskabet.",,70 30 20 20,DirektÃ¸r,urn:ofk:oid:18396903,indberetninger-20180424,2.5118406,33765185.0,,2018-04-01T15:56:10.943Z,2013-02-12T23:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-162.091,2013-02-12T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_15,http://regnskaber.virk.dk/58156733/Y3ZyLmRrOi8vcGRmcy8zMzc2NTE4NTtBL1M0OTkwNzM7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/58156733/Y3ZyLmRrOi8veGJybHMvWC02QzcxOUE5Qy0yMDEzMDIxMl8xNDA2MDJfNjg5.xml,"2000, Frederiksberg","Dirch Passers AllÃ© 76, c/o DEAS A/S","2000, Frederiksberg",Osvald Helmuths Vej 4,Til kapitalejerne i OPP Randers P-hus A/S,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Udtalelse om ledelsesberetningen,Regnskabsklasse B,"Det er endvidere vores opfattelse, af ledelsesberetningen indeholder en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",2011-06-20,2013-02-07,,,33765185.0,Ãrsrapport,Lars Olaf Larsen,Lars Olaf Larsen,OPP Randers P-hus A/S,"Statsautoriseret Revisionspartnerselskab, KPMG",,,-27.0,,2012-12-31,2012-01-01,2013-02-07,Frederiksberg,"Vi har i henhold til Ã¥rsregnskabsloven gennemlÃ¦st ledelsesberetningen. Vi har ikke foretaget yderligere handlinger i tillÃ¦g til den udfÃ¸rte revision af Ã¥rsregnskabet. Det er pÃ¥ denne baggrund vores opfattelse, at oplysningerne i ledelsesberetningen er i overensstemmelse med Ã¥rsregnskabet.",,70 30 20 20,DirektÃ¸r,urn:ofk:oid:18396903,indberetninger-20180424,2.5118406,33765185.0,,2018-04-01T15:56:10.943Z,2013-02-12T23:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-162.091,2013-02-12T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-12-31,2011-12-31,ID_17,http://regnskaber.virk.dk/58156733/Y3ZyLmRrOi8vcGRmcy8zMzc2NTE4NTtBL1M0OTkwNzM7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/58156733/Y3ZyLmRrOi8veGJybHMvWC02QzcxOUE5Qy0yMDEzMDIxMl8xNDA2MDJfNjg5.xml,"2000, Frederiksberg","Dirch Passers AllÃ© 76, c/o DEAS A/S","2000, Frederiksberg",Osvald Helmuths Vej 4,Til kapitalejerne i OPP Randers P-hus A/S,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Udtalelse om ledelsesberetningen,Regnskabsklasse B,"Det er endvidere vores opfattelse, af ledelsesberetningen indeholder en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",2011-06-20,2013-02-07,,,33765185.0,Ãrsrapport,Lars Olaf Larsen,Lars Olaf Larsen,OPP Randers P-hus A/S,"Statsautoriseret Revisionspartnerselskab, KPMG",,,,,2012-12-31,2012-01-01,2013-02-07,Frederiksberg,"Vi har i henhold til Ã¥rsregnskabsloven gennemlÃ¦st ledelsesberetningen. Vi har ikke foretaget yderligere handlinger i tillÃ¦g til den udfÃ¸rte revision af Ã¥rsregnskabet. Det er pÃ¥ denne baggrund vores opfattelse, at oplysningerne i ledelsesberetningen er i overensstemmelse med Ã¥rsregnskabet.",,70 30 20 20,DirektÃ¸r,urn:ofk:oid:18396903,indberetninger-20180424,2.5118406,33765185.0,,2018-04-01T15:56:10.943Z,2013-02-12T23:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-162.091,2013-02-12T23:00:00.000Z,39606.0,552.0,-4410.0,8217.0,3223.0,5260.0,-39606.0,-44866.0,0.0,-31843.0,-31843.0,0.0,31388.0,-166.0,4443.0,31388.0,31388.0,9643.0,27.0,-13023.0,-12857.0,0.0,7666.0,0.0,,,,,
entity identifier,2012-01-01,2012-12-31,ID_0,http://regnskaber.virk.dk/58156733/Y3ZyLmRrOi8vcGRmcy8zMzc2NTE4NTtBL1M0OTkwNzM7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/58156733/Y3ZyLmRrOi8veGJybHMvWC02QzcxOUE5Qy0yMDEzMDIxMl8xNDA2MDJfNjg5.xml,"2000, Frederiksberg","Dirch Passers AllÃ© 76, c/o DEAS A/S","2000, Frederiksberg",Osvald Helmuths Vej 4,Til kapitalejerne i OPP Randers P-hus A/S,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Udtalelse om ledelsesberetningen,Regnskabsklasse B,"Det er endvidere vores opfattelse, af ledelsesberetningen indeholder en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",2011-06-20,2013-02-07,,,33765185.0,Ãrsrapport,Lars Olaf Larsen,Lars Olaf Larsen,OPP Randers P-hus A/S,"Statsautoriseret Revisionspartnerselskab, KPMG",,,,,2012-12-31,2012-01-01,2013-02-07,Frederiksberg,"Vi har i henhold til Ã¥rsregnskabsloven gennemlÃ¦st ledelsesberetningen. Vi har ikke foretaget yderligere handlinger i tillÃ¦g til den udfÃ¸rte revision af Ã¥rsregnskabet. Det er pÃ¥ denne baggrund vores opfattelse, at oplysningerne i ledelsesberetningen er i overensstemmelse med Ã¥rsregnskabet.",,70 30 20 20,DirektÃ¸r,urn:ofk:oid:18396903,indberetninger-20180424,2.5118406,33765185.0,,2018-04-01T15:56:10.943Z,2013-02-12T23:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-162.091,2013-02-12T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_1,http://regnskaber.virk.dk/58156733/Y3ZyLmRrOi8vcGRmcy8zMzc2NTE4NTtBL1M0OTkwNzM7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/58156733/Y3ZyLmRrOi8veGJybHMvWC02QzcxOUE5Qy0yMDEzMDIxMl8xNDA2MDJfNjg5.xml,"2000, Frederiksberg","Dirch Passers AllÃ© 76, c/o DEAS A/S","2000, Frederiksberg",Osvald Helmuths Vej 4,Til kapitalejerne i OPP Randers P-hus A/S,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Udtalelse om ledelsesberetningen,Regnskabsklasse B,"Det er endvidere vores opfattelse, af ledelsesberetningen indeholder en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",2011-06-20,2013-02-07,,,33765185.0,Ãrsrapport,Lars Olaf Larsen,Lars Olaf Larsen,OPP Randers P-hus A/S,"Statsautoriseret Revisionspartnerselskab, KPMG",,,,,2012-12-31,2012-01-01,2013-02-07,Frederiksberg,"Vi har i henhold til Ã¥rsregnskabsloven gennemlÃ¦st ledelsesberetningen. Vi har ikke foretaget yderligere handlinger i tillÃ¦g til den udfÃ¸rte revision af Ã¥rsregnskabet. Det er pÃ¥ denne baggrund vores opfattelse, at oplysningerne i ledelsesberetningen er i overensstemmelse med Ã¥rsregnskabet.",,70 30 20 20,DirektÃ¸r,urn:ofk:oid:18396903,indberetninger-20180424,2.5118406,33765185.0,,2018-04-01T15:56:10.943Z,2013-02-12T23:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-162.091,2013-02-12T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_10,http://regnskaber.virk.dk/58156733/Y3ZyLmRrOi8vcGRmcy8zMzc2NTE4NTtBL1M0OTkwNzM7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/58156733/Y3ZyLmRrOi8veGJybHMvWC02QzcxOUE5Qy0yMDEzMDIxMl8xNDA2MDJfNjg5.xml,"2000, Frederiksberg","Dirch Passers AllÃ© 76, c/o DEAS A/S","2000, Frederiksberg",Osvald Helmuths Vej 4,Til kapitalejerne i OPP Randers P-hus A/S,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Udtalelse om ledelsesberetningen,Regnskabsklasse B,"Det er endvidere vores opfattelse, af ledelsesberetningen indeholder en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",2011-06-20,2013-02-07,-1515.0,-275.0,33765185.0,Ãrsrapport,Lars Olaf Larsen,Lars Olaf Larsen,OPP Randers P-hus A/S,"Statsautoriseret Revisionspartnerselskab, KPMG",1814.0,-1600.0,-1182.0,-1576.0,2012-12-31,2012-01-01,2013-02-07,Frederiksberg,"Vi har i henhold til Ã¥rsregnskabsloven gennemlÃ¦st ledelsesberetningen. Vi har ikke foretaget yderligere handlinger i tillÃ¦g til den udfÃ¸rte revision af Ã¥rsregnskabet. Det er pÃ¥ denne baggrund vores opfattelse, at oplysningerne i ledelsesberetningen er i overensstemmelse med Ã¥rsregnskabet.",394.0,70 30 20 20,DirektÃ¸r,urn:ofk:oid:18396903,indberetninger-20180424,2.5118406,33765185.0,,2018-04-01T15:56:10.943Z,2013-02-12T23:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-162.091,2013-02-12T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_12,http://regnskaber.virk.dk/58156733/Y3ZyLmRrOi8vcGRmcy8zMzc2NTE4NTtBL1M0OTkwNzM7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/58156733/Y3ZyLmRrOi8veGJybHMvWC02QzcxOUE5Qy0yMDEzMDIxMl8xNDA2MDJfNjg5.xml,"2000, Frederiksberg","Dirch Passers AllÃ© 76, c/o DEAS A/S","2000, Frederiksberg",Osvald Helmuths Vej 4,Til kapitalejerne i OPP Randers P-hus A/S,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Udtalelse om ledelsesberetningen,Regnskabsklasse B,"Det er endvidere vores opfattelse, af ledelsesberetningen indeholder en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",2011-06-20,2013-02-07,,,33765185.0,Ãrsrapport,Lars Olaf Larsen,Lars Olaf Larsen,OPP Randers P-hus A/S,"Statsautoriseret Revisionspartnerselskab, KPMG",,,1182.0,,2012-12-31,2012-01-01,2013-02-07,Frederiksberg,"Vi har i henhold til Ã¥rsregnskabsloven gennemlÃ¦st ledelsesberetningen. Vi har ikke foretaget yderligere handlinger i tillÃ¦g til den udfÃ¸rte revision af Ã¥rsregnskabet. Det er pÃ¥ denne baggrund vores opfattelse, at oplysningerne i ledelsesberetningen er i overensstemmelse med Ã¥rsregnskabet.",,70 30 20 20,DirektÃ¸r,urn:ofk:oid:18396903,indberetninger-20180424,2.5118406,33765185.0,,2018-04-01T15:56:10.943Z,2013-02-12T23:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-162.091,2013-02-12T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_14,http://regnskaber.virk.dk/58156733/Y3ZyLmRrOi8vcGRmcy8zMzc2NTE4NTtBL1M0OTkwNzM7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/58156733/Y3ZyLmRrOi8veGJybHMvWC02QzcxOUE5Qy0yMDEzMDIxMl8xNDA2MDJfNjg5.xml,"2000, Frederiksberg","Dirch Passers AllÃ© 76, c/o DEAS A/S","2000, Frederiksberg",Osvald Helmuths Vej 4,Til kapitalejerne i OPP Randers P-hus A/S,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Udtalelse om ledelsesberetningen,Regnskabsklasse B,"Det er endvidere vores opfattelse, af ledelsesberetningen indeholder en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",2011-06-20,2013-02-07,,,33765185.0,Ãrsrapport,Lars Olaf Larsen,Lars Olaf Larsen,OPP Randers P-hus A/S,"Statsautoriseret Revisionspartnerselskab, KPMG",,,1182.0,,2012-12-31,2012-01-01,2013-02-07,Frederiksberg,"Vi har i henhold til Ã¥rsregnskabsloven gennemlÃ¦st ledelsesberetningen. Vi har ikke foretaget yderligere handlinger i tillÃ¦g til den udfÃ¸rte revision af Ã¥rsregnskabet. Det er pÃ¥ denne baggrund vores opfattelse, at oplysningerne i ledelsesberetningen er i overensstemmelse med Ã¥rsregnskabet.",,70 30 20 20,DirektÃ¸r,urn:ofk:oid:18396903,indberetninger-20180424,2.5118406,33765185.0,,2018-04-01T15:56:10.943Z,2013-02-12T23:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-162.091,2013-02-12T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_18,http://regnskaber.virk.dk/58156733/Y3ZyLmRrOi8vcGRmcy8zMzc2NTE4NTtBL1M0OTkwNzM7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/58156733/Y3ZyLmRrOi8veGJybHMvWC02QzcxOUE5Qy0yMDEzMDIxMl8xNDA2MDJfNjg5.xml,"2000, Frederiksberg","Dirch Passers AllÃ© 76, c/o DEAS A/S","2000, Frederiksberg",Osvald Helmuths Vej 4,Til kapitalejerne i OPP Randers P-hus A/S,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Udtalelse om ledelsesberetningen,Regnskabsklasse B,"Det er endvidere vores opfattelse, af ledelsesberetningen indeholder en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",2011-06-20,2013-02-07,,,33765185.0,Ãrsrapport,Lars Olaf Larsen,Lars Olaf Larsen,OPP Randers P-hus A/S,"Statsautoriseret Revisionspartnerselskab, KPMG",,,,,2012-12-31,2012-01-01,2013-02-07,Frederiksberg,"Vi har i henhold til Ã¥rsregnskabsloven gennemlÃ¦st ledelsesberetningen. Vi har ikke foretaget yderligere handlinger i tillÃ¦g til den udfÃ¸rte revision af Ã¥rsregnskabet. Det er pÃ¥ denne baggrund vores opfattelse, at oplysningerne i ledelsesberetningen er i overensstemmelse med Ã¥rsregnskabet.",,70 30 20 20,DirektÃ¸r,urn:ofk:oid:18396903,indberetninger-20180424,2.5118406,33765185.0,,2018-04-01T15:56:10.943Z,2013-02-12T23:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-162.091,2013-02-12T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
