entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,Assets,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,Equity,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,LiabilitiesAndEquity,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfFinancialInstitution,NameOfLawFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,ProfitLoss,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,NameAndSurnameOfMemberOfExecutiveBoard
34689059,2013-07-01,2014-06-30,ID_0,http://regnskaber.virk.dk/95098643/Y3ZyLmRrOi8vcGRmcy8zNDY4OTA1OTtBcFM1MTYzNDk7MjAxMzA3MDE7MjAxNDA2MzA7UjtS.pdf,http://regnskaber.virk.dk/95098643/Y3ZyLmRrOi8veGJybHMvWC0xMTY0MTAwOS0yMDE0MTIxOF8xMzI4NDdfMjcy.xml,"2800, Kongens Lyngby","Lyngby Hovedgade 47, 1.",Til den daglige ledelse i Sicon Holding ApS,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2014 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. juli 2013 - 30. juni 2014.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2013-08-17,2014-12-13,0.0,34689059.0,32008143.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2013 - 30. juni 2014 for Sicon Holding ApS.,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Thomas Vang Simonsen,Danske Bank,Advokat BB,Sicon Holding ApS,"Revisionsfirmaet Ole Poulsen, Statsautoriseret revisionsvirksomhed",0.0,2014-06-30,2013-07-01,2014-12-13,Kgs. Lyngby,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:14742514,indberetninger-20180424,2.5118406,34689059.0,,2018-04-01T05:54:40.925Z,2014-12-18T23:00:00.000Z,regnskab,0.0,,2014-06-30,2013-07-01,14-314.453,2014-12-18T23:00:00.000Z,
34689059,2013-07-01,2014-06-30,ID_1,http://regnskaber.virk.dk/95098643/Y3ZyLmRrOi8vcGRmcy8zNDY4OTA1OTtBcFM1MTYzNDk7MjAxMzA3MDE7MjAxNDA2MzA7UjtS.pdf,http://regnskaber.virk.dk/95098643/Y3ZyLmRrOi8veGJybHMvWC0xMTY0MTAwOS0yMDE0MTIxOF8xMzI4NDdfMjcy.xml,"2800, Kongens Lyngby","Lyngby Hovedgade 47, 1.",Til den daglige ledelse i Sicon Holding ApS,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2014 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. juli 2013 - 30. juni 2014.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2013-08-17,2014-12-13,0.0,34689059.0,32008143.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2013 - 30. juni 2014 for Sicon Holding ApS.,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Thomas Vang Simonsen,Danske Bank,Advokat BB,Sicon Holding ApS,"Revisionsfirmaet Ole Poulsen, Statsautoriseret revisionsvirksomhed",0.0,2014-06-30,2013-07-01,2014-12-13,Kgs. Lyngby,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:14742514,indberetninger-20180424,2.5118406,34689059.0,,2018-04-01T05:54:40.925Z,2014-12-18T23:00:00.000Z,regnskab,0.0,,2014-06-30,2013-07-01,14-314.453,2014-12-18T23:00:00.000Z,
34689059,2013-07-01,2014-06-30,ID_2,http://regnskaber.virk.dk/95098643/Y3ZyLmRrOi8vcGRmcy8zNDY4OTA1OTtBcFM1MTYzNDk7MjAxMzA3MDE7MjAxNDA2MzA7UjtS.pdf,http://regnskaber.virk.dk/95098643/Y3ZyLmRrOi8veGJybHMvWC0xMTY0MTAwOS0yMDE0MTIxOF8xMzI4NDdfMjcy.xml,"2800, Kongens Lyngby","Lyngby Hovedgade 47, 1.",Til den daglige ledelse i Sicon Holding ApS,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2014 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. juli 2013 - 30. juni 2014.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2013-08-17,2014-12-13,0.0,34689059.0,32008143.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2013 - 30. juni 2014 for Sicon Holding ApS.,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Thomas Vang Simonsen,Danske Bank,Advokat BB,Sicon Holding ApS,"Revisionsfirmaet Ole Poulsen, Statsautoriseret revisionsvirksomhed",0.0,2014-06-30,2013-07-01,2014-12-13,Kgs. Lyngby,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:14742514,indberetninger-20180424,2.5118406,34689059.0,,2018-04-01T05:54:40.925Z,2014-12-18T23:00:00.000Z,regnskab,0.0,,2014-06-30,2013-07-01,14-314.453,2014-12-18T23:00:00.000Z,Thomas Vang Simonsen
34689059,2013-07-01,2014-06-30,ID_3,http://regnskaber.virk.dk/95098643/Y3ZyLmRrOi8vcGRmcy8zNDY4OTA1OTtBcFM1MTYzNDk7MjAxMzA3MDE7MjAxNDA2MzA7UjtS.pdf,http://regnskaber.virk.dk/95098643/Y3ZyLmRrOi8veGJybHMvWC0xMTY0MTAwOS0yMDE0MTIxOF8xMzI4NDdfMjcy.xml,"2800, Kongens Lyngby","Lyngby Hovedgade 47, 1.",Til den daglige ledelse i Sicon Holding ApS,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2014 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. juli 2013 - 30. juni 2014.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2013-08-17,2014-12-13,0.0,34689059.0,32008143.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2013 - 30. juni 2014 for Sicon Holding ApS.,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Thomas Vang Simonsen,Danske Bank,Advokat BB,Sicon Holding ApS,"Revisionsfirmaet Ole Poulsen, Statsautoriseret revisionsvirksomhed",0.0,2014-06-30,2013-07-01,2014-12-13,Kgs. Lyngby,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:14742514,indberetninger-20180424,2.5118406,34689059.0,,2018-04-01T05:54:40.925Z,2014-12-18T23:00:00.000Z,regnskab,0.0,,2014-06-30,2013-07-01,14-314.453,2014-12-18T23:00:00.000Z,
34689059,2013-07-01,2014-06-30,ID_4,http://regnskaber.virk.dk/95098643/Y3ZyLmRrOi8vcGRmcy8zNDY4OTA1OTtBcFM1MTYzNDk7MjAxMzA3MDE7MjAxNDA2MzA7UjtS.pdf,http://regnskaber.virk.dk/95098643/Y3ZyLmRrOi8veGJybHMvWC0xMTY0MTAwOS0yMDE0MTIxOF8xMzI4NDdfMjcy.xml,"2800, Kongens Lyngby","Lyngby Hovedgade 47, 1.",Til den daglige ledelse i Sicon Holding ApS,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2014 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. juli 2013 - 30. juni 2014.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2013-08-17,2014-12-13,0.0,34689059.0,32008143.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2013 - 30. juni 2014 for Sicon Holding ApS.,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Thomas Vang Simonsen,Danske Bank,Advokat BB,Sicon Holding ApS,"Revisionsfirmaet Ole Poulsen, Statsautoriseret revisionsvirksomhed",0.0,2014-06-30,2013-07-01,2014-12-13,Kgs. Lyngby,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:14742514,indberetninger-20180424,2.5118406,34689059.0,,2018-04-01T05:54:40.925Z,2014-12-18T23:00:00.000Z,regnskab,0.0,,2014-06-30,2013-07-01,14-314.453,2014-12-18T23:00:00.000Z,
34689059,2013-07-01,2014-06-30,ID_5,http://regnskaber.virk.dk/95098643/Y3ZyLmRrOi8vcGRmcy8zNDY4OTA1OTtBcFM1MTYzNDk7MjAxMzA3MDE7MjAxNDA2MzA7UjtS.pdf,http://regnskaber.virk.dk/95098643/Y3ZyLmRrOi8veGJybHMvWC0xMTY0MTAwOS0yMDE0MTIxOF8xMzI4NDdfMjcy.xml,"2800, Kongens Lyngby","Lyngby Hovedgade 47, 1.",Til den daglige ledelse i Sicon Holding ApS,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2014 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. juli 2013 - 30. juni 2014.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2013-08-17,2014-12-13,0.0,34689059.0,32008143.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2013 - 30. juni 2014 for Sicon Holding ApS.,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Thomas Vang Simonsen,Danske Bank,Advokat BB,Sicon Holding ApS,"Revisionsfirmaet Ole Poulsen, Statsautoriseret revisionsvirksomhed",0.0,2014-06-30,2013-07-01,2014-12-13,Kgs. Lyngby,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:14742514,indberetninger-20180424,2.5118406,34689059.0,,2018-04-01T05:54:40.925Z,2014-12-18T23:00:00.000Z,regnskab,0.0,,2014-06-30,2013-07-01,14-314.453,2014-12-18T23:00:00.000Z,
34689059,2013-07-01,2014-06-30,ID_6,http://regnskaber.virk.dk/95098643/Y3ZyLmRrOi8vcGRmcy8zNDY4OTA1OTtBcFM1MTYzNDk7MjAxMzA3MDE7MjAxNDA2MzA7UjtS.pdf,http://regnskaber.virk.dk/95098643/Y3ZyLmRrOi8veGJybHMvWC0xMTY0MTAwOS0yMDE0MTIxOF8xMzI4NDdfMjcy.xml,"2800, Kongens Lyngby","Lyngby Hovedgade 47, 1.",Til den daglige ledelse i Sicon Holding ApS,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2014 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. juli 2013 - 30. juni 2014.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2013-08-17,2014-12-13,0.0,34689059.0,32008143.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2013 - 30. juni 2014 for Sicon Holding ApS.,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Thomas Vang Simonsen,Danske Bank,Advokat BB,Sicon Holding ApS,"Revisionsfirmaet Ole Poulsen, Statsautoriseret revisionsvirksomhed",0.0,2014-06-30,2013-07-01,2014-12-13,Kgs. Lyngby,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:14742514,indberetninger-20180424,2.5118406,34689059.0,,2018-04-01T05:54:40.925Z,2014-12-18T23:00:00.000Z,regnskab,0.0,,2014-06-30,2013-07-01,14-314.453,2014-12-18T23:00:00.000Z,
34689059,2013-07-01,2014-06-30,ID_7,http://regnskaber.virk.dk/95098643/Y3ZyLmRrOi8vcGRmcy8zNDY4OTA1OTtBcFM1MTYzNDk7MjAxMzA3MDE7MjAxNDA2MzA7UjtS.pdf,http://regnskaber.virk.dk/95098643/Y3ZyLmRrOi8veGJybHMvWC0xMTY0MTAwOS0yMDE0MTIxOF8xMzI4NDdfMjcy.xml,"2800, Kongens Lyngby","Lyngby Hovedgade 47, 1.",Til den daglige ledelse i Sicon Holding ApS,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2014 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. juli 2013 - 30. juni 2014.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2013-08-17,2014-12-13,0.0,34689059.0,32008143.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2013 - 30. juni 2014 for Sicon Holding ApS.,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Thomas Vang Simonsen,Danske Bank,Advokat BB,Sicon Holding ApS,"Revisionsfirmaet Ole Poulsen, Statsautoriseret revisionsvirksomhed",0.0,2014-06-30,2013-07-01,2014-12-13,Kgs. Lyngby,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:14742514,indberetninger-20180424,2.5118406,34689059.0,,2018-04-01T05:54:40.925Z,2014-12-18T23:00:00.000Z,regnskab,0.0,,2014-06-30,2013-07-01,14-314.453,2014-12-18T23:00:00.000Z,
34689059,2013-07-01,2014-06-30,ID_8,http://regnskaber.virk.dk/95098643/Y3ZyLmRrOi8vcGRmcy8zNDY4OTA1OTtBcFM1MTYzNDk7MjAxMzA3MDE7MjAxNDA2MzA7UjtS.pdf,http://regnskaber.virk.dk/95098643/Y3ZyLmRrOi8veGJybHMvWC0xMTY0MTAwOS0yMDE0MTIxOF8xMzI4NDdfMjcy.xml,"2800, Kongens Lyngby","Lyngby Hovedgade 47, 1.",Til den daglige ledelse i Sicon Holding ApS,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2014 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. juli 2013 - 30. juni 2014.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2013-08-17,2014-12-13,0.0,34689059.0,32008143.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2013 - 30. juni 2014 for Sicon Holding ApS.,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Thomas Vang Simonsen,Danske Bank,Advokat BB,Sicon Holding ApS,"Revisionsfirmaet Ole Poulsen, Statsautoriseret revisionsvirksomhed",0.0,2014-06-30,2013-07-01,2014-12-13,Kgs. Lyngby,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:14742514,indberetninger-20180424,2.5118406,34689059.0,,2018-04-01T05:54:40.925Z,2014-12-18T23:00:00.000Z,regnskab,0.0,,2014-06-30,2013-07-01,14-314.453,2014-12-18T23:00:00.000Z,
34689059,2013-07-01,2014-06-30,ID_9,http://regnskaber.virk.dk/95098643/Y3ZyLmRrOi8vcGRmcy8zNDY4OTA1OTtBcFM1MTYzNDk7MjAxMzA3MDE7MjAxNDA2MzA7UjtS.pdf,http://regnskaber.virk.dk/95098643/Y3ZyLmRrOi8veGJybHMvWC0xMTY0MTAwOS0yMDE0MTIxOF8xMzI4NDdfMjcy.xml,"2800, Kongens Lyngby","Lyngby Hovedgade 47, 1.",Til den daglige ledelse i Sicon Holding ApS,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2014 samt af resultatet af selskabets aktiviteter og pengestrÃ¸mme for regnskabsÃ¥ret 1. juli 2013 - 30. juni 2014.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",2013-08-17,2014-12-13,0.0,34689059.0,32008143.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. juli 2013 - 30. juni 2014 for Sicon Holding ApS.,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Thomas Vang Simonsen,Danske Bank,Advokat BB,Sicon Holding ApS,"Revisionsfirmaet Ole Poulsen, Statsautoriseret revisionsvirksomhed",0.0,2014-06-30,2013-07-01,2014-12-13,Kgs. Lyngby,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:14742514,indberetninger-20180424,2.5118406,34689059.0,,2018-04-01T05:54:40.925Z,2014-12-18T23:00:00.000Z,regnskab,0.0,,2014-06-30,2013-07-01,14-314.453,2014-12-18T23:00:00.000Z,
