entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AdjustmentsForCurrentTaxOfPriorPeriod,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,CurrentTaxExpense,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,DividendPaid,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,InformationOnOmissionOfConsolidatedFinancialStatement,InformationOnTypeOfSubmittedReport,InterestIncomeFromGroupEnterprises,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherExternalExpenses,OtherFinanceIncome,OtherInterestIncome,PlaceOfSignatureOfStatement,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,RevaluationsOfInvestmentsOfTheYear,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,TelephoneNumberOfReportingEntity,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,OtherShorttermPayables,ProposedDividendRecognisedInEquity,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTaxReceivables,AccumulatedRevaluationsOfInvestments,InvestmentsGross,NameOfAuditFirm
27765173,2012-10-01,2013-09-30,c1,http://regnskaber.virk.dk/37156772/Y3ZyLmRrOi8vcGRmcy8yNzc2NTE3MztBcFMzMjk5ODE7MjAxMzEwMDE7MjAxNDA5MzA7UjtS.pdf,http://regnskaber.virk.dk/37156772/Y3ZyLmRrOi8veGJybHMvWC05MjE1NUJDQi0yMDE1MDExNl8xNTQxNTlfNTc1.xml,1.0,Odense C,5000.0,1.0,FÃ¦lledvej,Odense M,5230.0,Munkerisvej 1,5000  Odense C,IsgÃ¥rdsvej 6,DK-5000 Odense C,FÃ¦lledvej 1,Til kapitalejeren i Ãstergaard Invest ApS,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2013 - 30. september 2014.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,-1975.0,2014-12-18,2004-06-01,2015-01-16,Statsautoriseret revisor,-98400.0,27765173.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. oktober 2013 - 30. september 2014 for Ãstergaard Invest ApS.,7477.0,"Der er ikke udarbejdet koncernregnskab, da koncernen opfylder fritagelsesbestemmelserne i Ã¥rsregnskabslovens Â§ 110 om regnskabsaflÃ¦ggelse for mindre koncerner.",Ãrsrapport,8368.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Thomas Brorsen Jensen,Lone Foged Eis-Hansen Ãstergaard,Lone Foged Eis-Hansen Ãstergaard,Danske Bank,Ãstergaard Invest ApS,BDO Statsautoriseret revisionsaktieselskab,-1625.0,8484.0,116.0,Odense,12361.0,14336.0,5852.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Odense kommune,2014-09-30,2013-10-01,-13790.0,2014-12-18,Odense,-1975.0,66192172.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:15636598,indberetninger-20180424,2.5122678,27765173.0,,2018-03-30T08:36:04.236Z,2015-01-16T23:00:00.000Z,regnskab,0.0,,2014-09-30,2013-10-01,14-379.969,2015-01-16T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,
27765173,2012-10-01,2013-09-30,c14,http://regnskaber.virk.dk/37156772/Y3ZyLmRrOi8vcGRmcy8yNzc2NTE3MztBcFMzMjk5ODE7MjAxMzEwMDE7MjAxNDA5MzA7UjtS.pdf,http://regnskaber.virk.dk/37156772/Y3ZyLmRrOi8veGJybHMvWC05MjE1NUJDQi0yMDE1MDExNl8xNTQxNTlfNTc1.xml,1.0,Odense C,5000.0,1.0,FÃ¦lledvej,Odense M,5230.0,Munkerisvej 1,5000  Odense C,IsgÃ¥rdsvej 6,DK-5000 Odense C,FÃ¦lledvej 1,Til kapitalejeren i Ãstergaard Invest ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2013 - 30. september 2014.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2014-12-18,2004-06-01,2015-01-16,Statsautoriseret revisor,-98400.0,27765173.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. oktober 2013 - 30. september 2014 for Ãstergaard Invest ApS.,,"Der er ikke udarbejdet koncernregnskab, da koncernen opfylder fritagelsesbestemmelserne i Ã¥rsregnskabslovens Â§ 110 om regnskabsaflÃ¦ggelse for mindre koncerner.",Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Thomas Brorsen Jensen,Lone Foged Eis-Hansen Ãstergaard,Lone Foged Eis-Hansen Ãstergaard,Danske Bank,Ãstergaard Invest ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Odense,-10515.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Odense kommune,2014-09-30,2013-10-01,-13790.0,2014-12-18,Odense,,66192172.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:15636598,indberetninger-20180424,2.5122678,27765173.0,,2018-03-30T08:36:04.236Z,2015-01-16T23:00:00.000Z,regnskab,0.0,,2014-09-30,2013-10-01,14-379.969,2015-01-16T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,
27765173,2012-10-01,2013-09-30,c30,http://regnskaber.virk.dk/37156772/Y3ZyLmRrOi8vcGRmcy8yNzc2NTE3MztBcFMzMjk5ODE7MjAxMzEwMDE7MjAxNDA5MzA7UjtS.pdf,http://regnskaber.virk.dk/37156772/Y3ZyLmRrOi8veGJybHMvWC05MjE1NUJDQi0yMDE1MDExNl8xNTQxNTlfNTc1.xml,1.0,Odense C,5000.0,1.0,FÃ¦lledvej,Odense M,5230.0,Munkerisvej 1,5000  Odense C,IsgÃ¥rdsvej 6,DK-5000 Odense C,FÃ¦lledvej 1,Til kapitalejeren i Ãstergaard Invest ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2013 - 30. september 2014.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2014-12-18,2004-06-01,2015-01-16,Statsautoriseret revisor,-98400.0,27765173.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. oktober 2013 - 30. september 2014 for Ãstergaard Invest ApS.,,"Der er ikke udarbejdet koncernregnskab, da koncernen opfylder fritagelsesbestemmelserne i Ã¥rsregnskabslovens Â§ 110 om regnskabsaflÃ¦ggelse for mindre koncerner.",Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Thomas Brorsen Jensen,Lone Foged Eis-Hansen Ãstergaard,Lone Foged Eis-Hansen Ãstergaard,Danske Bank,Ãstergaard Invest ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Odense,-75524.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Odense kommune,2014-09-30,2013-10-01,-13790.0,2014-12-18,Odense,,66192172.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:15636598,indberetninger-20180424,2.5122678,27765173.0,,2018-03-30T08:36:04.236Z,2015-01-16T23:00:00.000Z,regnskab,0.0,,2014-09-30,2013-10-01,14-379.969,2015-01-16T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,
27765173,2012-10-01,2013-09-30,c6,http://regnskaber.virk.dk/37156772/Y3ZyLmRrOi8vcGRmcy8yNzc2NTE3MztBcFMzMjk5ODE7MjAxMzEwMDE7MjAxNDA5MzA7UjtS.pdf,http://regnskaber.virk.dk/37156772/Y3ZyLmRrOi8veGJybHMvWC05MjE1NUJDQi0yMDE1MDExNl8xNTQxNTlfNTc1.xml,1.0,Odense C,5000.0,1.0,FÃ¦lledvej,Odense M,5230.0,Munkerisvej 1,5000  Odense C,IsgÃ¥rdsvej 6,DK-5000 Odense C,FÃ¦lledvej 1,Til kapitalejeren i Ãstergaard Invest ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2013 - 30. september 2014.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2014-12-18,2004-06-01,2015-01-16,Statsautoriseret revisor,-98400.0,27765173.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. oktober 2013 - 30. september 2014 for Ãstergaard Invest ApS.,,"Der er ikke udarbejdet koncernregnskab, da koncernen opfylder fritagelsesbestemmelserne i Ã¥rsregnskabslovens Â§ 110 om regnskabsaflÃ¦ggelse for mindre koncerner.",Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Thomas Brorsen Jensen,Lone Foged Eis-Hansen Ãstergaard,Lone Foged Eis-Hansen Ãstergaard,Danske Bank,Ãstergaard Invest ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Odense,98400.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Odense kommune,2014-09-30,2013-10-01,-13790.0,2014-12-18,Odense,,66192172.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:15636598,indberetninger-20180424,2.5122678,27765173.0,,2018-03-30T08:36:04.236Z,2015-01-16T23:00:00.000Z,regnskab,0.0,,2014-09-30,2013-10-01,14-379.969,2015-01-16T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,
27765173,2013-09-30,2013-09-30,c4,http://regnskaber.virk.dk/37156772/Y3ZyLmRrOi8vcGRmcy8yNzc2NTE3MztBcFMzMjk5ODE7MjAxMzEwMDE7MjAxNDA5MzA7UjtS.pdf,http://regnskaber.virk.dk/37156772/Y3ZyLmRrOi8veGJybHMvWC05MjE1NUJDQi0yMDE1MDExNl8xNTQxNTlfNTc1.xml,1.0,Odense C,5000.0,1.0,FÃ¦lledvej,Odense M,5230.0,Munkerisvej 1,5000  Odense C,IsgÃ¥rdsvej 6,DK-5000 Odense C,FÃ¦lledvej 1,Til kapitalejeren i Ãstergaard Invest ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2013 - 30. september 2014.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2014-12-18,2004-06-01,2015-01-16,Statsautoriseret revisor,-98400.0,27765173.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. oktober 2013 - 30. september 2014 for Ãstergaard Invest ApS.,,"Der er ikke udarbejdet koncernregnskab, da koncernen opfylder fritagelsesbestemmelserne i Ã¥rsregnskabslovens Â§ 110 om regnskabsaflÃ¦ggelse for mindre koncerner.",Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Thomas Brorsen Jensen,Lone Foged Eis-Hansen Ãstergaard,Lone Foged Eis-Hansen Ãstergaard,Danske Bank,Ãstergaard Invest ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Odense,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Odense kommune,2014-09-30,2013-10-01,-13790.0,2014-12-18,Odense,,66192172.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:15636598,indberetninger-20180424,2.5122678,27765173.0,,2018-03-30T08:36:04.236Z,2015-01-16T23:00:00.000Z,regnskab,0.0,,2014-09-30,2013-10-01,14-379.969,2015-01-16T23:00:00.000Z,551771.0,7914.0,125000.0,222072.0,0.0,523591.0,551771.0,28180.0,329699.0,329699.0,329699.0,21000.0,98400.0,50409.0,249782.0,28180.0,214158.0,214158.0,7180.0,0.0,,,
27765173,2013-10-01,2013-10-01,c113,http://regnskaber.virk.dk/37156772/Y3ZyLmRrOi8vcGRmcy8yNzc2NTE3MztBcFMzMjk5ODE7MjAxMzEwMDE7MjAxNDA5MzA7UjtS.pdf,http://regnskaber.virk.dk/37156772/Y3ZyLmRrOi8veGJybHMvWC05MjE1NUJDQi0yMDE1MDExNl8xNTQxNTlfNTc1.xml,1.0,Odense C,5000.0,1.0,FÃ¦lledvej,Odense M,5230.0,Munkerisvej 1,5000  Odense C,IsgÃ¥rdsvej 6,DK-5000 Odense C,FÃ¦lledvej 1,Til kapitalejeren i Ãstergaard Invest ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2013 - 30. september 2014.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2014-12-18,2004-06-01,2015-01-16,Statsautoriseret revisor,-98400.0,27765173.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. oktober 2013 - 30. september 2014 for Ãstergaard Invest ApS.,,"Der er ikke udarbejdet koncernregnskab, da koncernen opfylder fritagelsesbestemmelserne i Ã¥rsregnskabslovens Â§ 110 om regnskabsaflÃ¦ggelse for mindre koncerner.",Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Thomas Brorsen Jensen,Lone Foged Eis-Hansen Ãstergaard,Lone Foged Eis-Hansen Ãstergaard,Danske Bank,Ãstergaard Invest ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Odense,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Odense kommune,2014-09-30,2013-10-01,-13790.0,2014-12-18,Odense,,66192172.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:15636598,indberetninger-20180424,2.5122678,27765173.0,,2018-03-30T08:36:04.236Z,2015-01-16T23:00:00.000Z,regnskab,0.0,,2014-09-30,2013-10-01,14-379.969,2015-01-16T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,50409.0,279290.0,
27765173,2013-10-01,2013-10-01,c137,http://regnskaber.virk.dk/37156772/Y3ZyLmRrOi8vcGRmcy8yNzc2NTE3MztBcFMzMjk5ODE7MjAxMzEwMDE7MjAxNDA5MzA7UjtS.pdf,http://regnskaber.virk.dk/37156772/Y3ZyLmRrOi8veGJybHMvWC05MjE1NUJDQi0yMDE1MDExNl8xNTQxNTlfNTc1.xml,1.0,Odense C,5000.0,1.0,FÃ¦lledvej,Odense M,5230.0,Munkerisvej 1,5000  Odense C,IsgÃ¥rdsvej 6,DK-5000 Odense C,FÃ¦lledvej 1,Til kapitalejeren i Ãstergaard Invest ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2013 - 30. september 2014.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2014-12-18,2004-06-01,2015-01-16,Statsautoriseret revisor,-98400.0,27765173.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. oktober 2013 - 30. september 2014 for Ãstergaard Invest ApS.,,"Der er ikke udarbejdet koncernregnskab, da koncernen opfylder fritagelsesbestemmelserne i Ã¥rsregnskabslovens Â§ 110 om regnskabsaflÃ¦ggelse for mindre koncerner.",Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Thomas Brorsen Jensen,Lone Foged Eis-Hansen Ãstergaard,Lone Foged Eis-Hansen Ãstergaard,Danske Bank,Ãstergaard Invest ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Odense,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Odense kommune,2014-09-30,2013-10-01,-13790.0,2014-12-18,Odense,,66192172.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:15636598,indberetninger-20180424,2.5122678,27765173.0,,2018-03-30T08:36:04.236Z,2015-01-16T23:00:00.000Z,regnskab,0.0,,2014-09-30,2013-10-01,14-379.969,2015-01-16T23:00:00.000Z,,,,,,125000.0,,,,,,,,,,,,,,,,,
27765173,2013-10-01,2013-10-01,c146,http://regnskaber.virk.dk/37156772/Y3ZyLmRrOi8vcGRmcy8yNzc2NTE3MztBcFMzMjk5ODE7MjAxMzEwMDE7MjAxNDA5MzA7UjtS.pdf,http://regnskaber.virk.dk/37156772/Y3ZyLmRrOi8veGJybHMvWC05MjE1NUJDQi0yMDE1MDExNl8xNTQxNTlfNTc1.xml,1.0,Odense C,5000.0,1.0,FÃ¦lledvej,Odense M,5230.0,Munkerisvej 1,5000  Odense C,IsgÃ¥rdsvej 6,DK-5000 Odense C,FÃ¦lledvej 1,Til kapitalejeren i Ãstergaard Invest ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2013 - 30. september 2014.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2014-12-18,2004-06-01,2015-01-16,Statsautoriseret revisor,-98400.0,27765173.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. oktober 2013 - 30. september 2014 for Ãstergaard Invest ApS.,,"Der er ikke udarbejdet koncernregnskab, da koncernen opfylder fritagelsesbestemmelserne i Ã¥rsregnskabslovens Â§ 110 om regnskabsaflÃ¦ggelse for mindre koncerner.",Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Thomas Brorsen Jensen,Lone Foged Eis-Hansen Ãstergaard,Lone Foged Eis-Hansen Ãstergaard,Danske Bank,Ãstergaard Invest ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Odense,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Odense kommune,2014-09-30,2013-10-01,-13790.0,2014-12-18,Odense,,66192172.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:15636598,indberetninger-20180424,2.5122678,27765173.0,,2018-03-30T08:36:04.236Z,2015-01-16T23:00:00.000Z,regnskab,0.0,,2014-09-30,2013-10-01,14-379.969,2015-01-16T23:00:00.000Z,,,,,,50409.0,,,,,,,,,,,,,,,,,
27765173,2013-10-01,2013-10-01,c158,http://regnskaber.virk.dk/37156772/Y3ZyLmRrOi8vcGRmcy8yNzc2NTE3MztBcFMzMjk5ODE7MjAxMzEwMDE7MjAxNDA5MzA7UjtS.pdf,http://regnskaber.virk.dk/37156772/Y3ZyLmRrOi8veGJybHMvWC05MjE1NUJDQi0yMDE1MDExNl8xNTQxNTlfNTc1.xml,1.0,Odense C,5000.0,1.0,FÃ¦lledvej,Odense M,5230.0,Munkerisvej 1,5000  Odense C,IsgÃ¥rdsvej 6,DK-5000 Odense C,FÃ¦lledvej 1,Til kapitalejeren i Ãstergaard Invest ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2013 - 30. september 2014.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2014-12-18,2004-06-01,2015-01-16,Statsautoriseret revisor,-98400.0,27765173.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. oktober 2013 - 30. september 2014 for Ãstergaard Invest ApS.,,"Der er ikke udarbejdet koncernregnskab, da koncernen opfylder fritagelsesbestemmelserne i Ã¥rsregnskabslovens Â§ 110 om regnskabsaflÃ¦ggelse for mindre koncerner.",Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Thomas Brorsen Jensen,Lone Foged Eis-Hansen Ãstergaard,Lone Foged Eis-Hansen Ãstergaard,Danske Bank,Ãstergaard Invest ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Odense,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Odense kommune,2014-09-30,2013-10-01,-13790.0,2014-12-18,Odense,,66192172.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:15636598,indberetninger-20180424,2.5122678,27765173.0,,2018-03-30T08:36:04.236Z,2015-01-16T23:00:00.000Z,regnskab,0.0,,2014-09-30,2013-10-01,14-379.969,2015-01-16T23:00:00.000Z,,,,,,249782.0,,,,,,,,,,,,,,,,,
27765173,2013-10-01,2013-10-01,c161,http://regnskaber.virk.dk/37156772/Y3ZyLmRrOi8vcGRmcy8yNzc2NTE3MztBcFMzMjk5ODE7MjAxMzEwMDE7MjAxNDA5MzA7UjtS.pdf,http://regnskaber.virk.dk/37156772/Y3ZyLmRrOi8veGJybHMvWC05MjE1NUJDQi0yMDE1MDExNl8xNTQxNTlfNTc1.xml,1.0,Odense C,5000.0,1.0,FÃ¦lledvej,Odense M,5230.0,Munkerisvej 1,5000  Odense C,IsgÃ¥rdsvej 6,DK-5000 Odense C,FÃ¦lledvej 1,Til kapitalejeren i Ãstergaard Invest ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2013 - 30. september 2014.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2014-12-18,2004-06-01,2015-01-16,Statsautoriseret revisor,-98400.0,27765173.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. oktober 2013 - 30. september 2014 for Ãstergaard Invest ApS.,,"Der er ikke udarbejdet koncernregnskab, da koncernen opfylder fritagelsesbestemmelserne i Ã¥rsregnskabslovens Â§ 110 om regnskabsaflÃ¦ggelse for mindre koncerner.",Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Thomas Brorsen Jensen,Lone Foged Eis-Hansen Ãstergaard,Lone Foged Eis-Hansen Ãstergaard,Danske Bank,Ãstergaard Invest ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Odense,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Odense kommune,2014-09-30,2013-10-01,-13790.0,2014-12-18,Odense,,66192172.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:15636598,indberetninger-20180424,2.5122678,27765173.0,,2018-03-30T08:36:04.236Z,2015-01-16T23:00:00.000Z,regnskab,0.0,,2014-09-30,2013-10-01,14-379.969,2015-01-16T23:00:00.000Z,,,,,,98400.0,,,,,,,,,,,,,,,,,
