entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfFinancialInstitutionPostcodeAndTown,AddressOfFinancialInstitutionStreetAndNumber,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfAuditorsReportOnAuditedFinancialStatements,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,FaxNumberOfReportingEntity,GrossProfitLoss,IdentificationNumberCvrOfReportingEntity,IdentificationOfAuditedFinancialStatements,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditorAppointedToPerformAudit,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirmAppointedToPerformAudit,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfCompilationOfAuditorsReportOnAuditedFinancialStatements,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,TaxExpenseOnOrdinaryActivities,TelephoneNumberOfReportingEntity,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContractWorkInProgress,ContributedCapital,CurrentAssets,DeferredIncomeAssets,Equity,FixturesFittingsToolsAndEquipment,Inventories,LandAndBuildings,LeaseholdImprovements,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,NoncurrentAssets,PropertyPlantAndEquipment,ProposedDividend,Provisions,ProvisionsForDeferredTax,RawMaterialsAndConsumables,RetainedEarnings,RevaluationReserve,SharePremium,ShorttermDebtToBanks,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTradePayables,ShorttermTradeReceivables,NameAndSurnameOfMemberOfExecutiveBoard,TitleOfMemberOfExecutiveBoard
entity identifier,2010-10-01,2011-09-30,ID_11,http://regnskaber.virk.dk/82355713/Y3ZyLmRrOi8vcGRmcy8zMTc1NTMyODtBcFM0NDQ5MjA7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/82355713/Y3ZyLmRrOi8veGJybHMvWC01Q0RDNjY0QS0yMDEzMDExMV8xMzU4MDFfMjEw.xml,"4700, NÃ¦stved",Brogade 6,"4684, Holmegaard",Slibemestervej 26,"4700, NÃ¦stved",Erantisvej 53,Regnskabsklasse B,2012-12-18,2008-03-31,2012-12-18,65145.0,2005468.0,55545210.0,-2440396.0,31755328.0,"Vi har revideret Ã¥rsregnskabet for DPA Total ApS for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Brian Vahlkvist,Allan Pedersen,"Revisions-Centret, Registreret revisionsvirksomhed",Sparkassen Lolland,DPA Total ApS,Revisions-Centret,51439.0,-57133.0,NÃ¦stved,-372446.0,-375477.0,-369783.0,2012-09-30,2011-10-01,3031.0,55545410.0,urn:ofk:oid:19902275,indberetninger-20180424,2.511702,31755328.0,,2018-04-01T13:29:19.724Z,2013-01-11T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-364.684,2013-01-11T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2010-10-01,2011-09-30,ID_13,http://regnskaber.virk.dk/82355713/Y3ZyLmRrOi8vcGRmcy8zMTc1NTMyODtBcFM0NDQ5MjA7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/82355713/Y3ZyLmRrOi8veGJybHMvWC01Q0RDNjY0QS0yMDEzMDExMV8xMzU4MDFfMjEw.xml,"4700, NÃ¦stved",Brogade 6,"4684, Holmegaard",Slibemestervej 26,"4700, NÃ¦stved",Erantisvej 53,Regnskabsklasse B,2012-12-18,2008-03-31,2012-12-18,,,55545210.0,,31755328.0,"Vi har revideret Ã¥rsregnskabet for DPA Total ApS for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Brian Vahlkvist,Allan Pedersen,"Revisions-Centret, Registreret revisionsvirksomhed",Sparkassen Lolland,DPA Total ApS,Revisions-Centret,,,NÃ¦stved,193200.0,,,2012-09-30,2011-10-01,,55545410.0,urn:ofk:oid:19902275,indberetninger-20180424,2.511702,31755328.0,,2018-04-01T13:29:19.724Z,2013-01-11T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-364.684,2013-01-11T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2010-10-01,2011-09-30,ID_15,http://regnskaber.virk.dk/82355713/Y3ZyLmRrOi8vcGRmcy8zMTc1NTMyODtBcFM0NDQ5MjA7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/82355713/Y3ZyLmRrOi8veGJybHMvWC01Q0RDNjY0QS0yMDEzMDExMV8xMzU4MDFfMjEw.xml,"4700, NÃ¦stved",Brogade 6,"4684, Holmegaard",Slibemestervej 26,"4700, NÃ¦stved",Erantisvej 53,Regnskabsklasse B,2012-12-18,2008-03-31,2012-12-18,,,55545210.0,,31755328.0,"Vi har revideret Ã¥rsregnskabet for DPA Total ApS for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Brian Vahlkvist,Allan Pedersen,"Revisions-Centret, Registreret revisionsvirksomhed",Sparkassen Lolland,DPA Total ApS,Revisions-Centret,,,NÃ¦stved,179246.0,,,2012-09-30,2011-10-01,,55545410.0,urn:ofk:oid:19902275,indberetninger-20180424,2.511702,31755328.0,,2018-04-01T13:29:19.724Z,2013-01-11T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-364.684,2013-01-11T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2010-10-01,2011-09-30,ID_17,http://regnskaber.virk.dk/82355713/Y3ZyLmRrOi8vcGRmcy8zMTc1NTMyODtBcFM0NDQ5MjA7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/82355713/Y3ZyLmRrOi8veGJybHMvWC01Q0RDNjY0QS0yMDEzMDExMV8xMzU4MDFfMjEw.xml,"4700, NÃ¦stved",Brogade 6,"4684, Holmegaard",Slibemestervej 26,"4700, NÃ¦stved",Erantisvej 53,Regnskabsklasse B,2012-12-18,2008-03-31,2012-12-18,,,55545210.0,,31755328.0,"Vi har revideret Ã¥rsregnskabet for DPA Total ApS for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Brian Vahlkvist,Allan Pedersen,"Revisions-Centret, Registreret revisionsvirksomhed",Sparkassen Lolland,DPA Total ApS,Revisions-Centret,,,NÃ¦stved,372446.0,,,2012-09-30,2011-10-01,,55545410.0,urn:ofk:oid:19902275,indberetninger-20180424,2.511702,31755328.0,,2018-04-01T13:29:19.724Z,2013-01-11T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-364.684,2013-01-11T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-09-30,2011-09-30,ID_19,http://regnskaber.virk.dk/82355713/Y3ZyLmRrOi8vcGRmcy8zMTc1NTMyODtBcFM0NDQ5MjA7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/82355713/Y3ZyLmRrOi8veGJybHMvWC01Q0RDNjY0QS0yMDEzMDExMV8xMzU4MDFfMjEw.xml,"4700, NÃ¦stved",Brogade 6,"4684, Holmegaard",Slibemestervej 26,"4700, NÃ¦stved",Erantisvej 53,Regnskabsklasse B,2012-12-18,2008-03-31,2012-12-18,,,55545210.0,,31755328.0,"Vi har revideret Ã¥rsregnskabet for DPA Total ApS for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Brian Vahlkvist,Allan Pedersen,"Revisions-Centret, Registreret revisionsvirksomhed",Sparkassen Lolland,DPA Total ApS,Revisions-Centret,,,NÃ¦stved,,,,2012-09-30,2011-10-01,,55545410.0,urn:ofk:oid:19902275,indberetninger-20180424,2.511702,31755328.0,,2018-04-01T13:29:19.724Z,2013-01-11T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-364.684,2013-01-11T23:00:00.000Z,3211233.0,-165769.0,0.0,-125000.0,2232909.0,0.0,-1071666.0,750524.0,63740.0,227800.0,0.0,-3211233.0,-2014967.0,978324.0,978324.0,-193200.0,-124600.0,-124600.0,63740.0,-451515.0,-361026.0,-134125.0,0.0,-2014967.0,-335000.0,-200000.0,2334938.0,516318.0,184.0,-1029677.0,1594241.0,,
entity identifier,2011-10-01,2012-09-30,ID_0,http://regnskaber.virk.dk/82355713/Y3ZyLmRrOi8vcGRmcy8zMTc1NTMyODtBcFM0NDQ5MjA7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/82355713/Y3ZyLmRrOi8veGJybHMvWC01Q0RDNjY0QS0yMDEzMDExMV8xMzU4MDFfMjEw.xml,"4700, NÃ¦stved",Brogade 6,"4684, Holmegaard",Slibemestervej 26,"4700, NÃ¦stved",Erantisvej 53,Regnskabsklasse B,2012-12-18,2008-03-31,2012-12-18,,,55545210.0,,31755328.0,"Vi har revideret Ã¥rsregnskabet for DPA Total ApS for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Brian Vahlkvist,Allan Pedersen,"Revisions-Centret, Registreret revisionsvirksomhed",Sparkassen Lolland,DPA Total ApS,Revisions-Centret,,,NÃ¦stved,,,,2012-09-30,2011-10-01,,55545410.0,urn:ofk:oid:19902275,indberetninger-20180424,2.511702,31755328.0,,2018-04-01T13:29:19.724Z,2013-01-11T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-364.684,2013-01-11T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-10-01,2012-09-30,ID_1,http://regnskaber.virk.dk/82355713/Y3ZyLmRrOi8vcGRmcy8zMTc1NTMyODtBcFM0NDQ5MjA7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/82355713/Y3ZyLmRrOi8veGJybHMvWC01Q0RDNjY0QS0yMDEzMDExMV8xMzU4MDFfMjEw.xml,"4700, NÃ¦stved",Brogade 6,"4684, Holmegaard",Slibemestervej 26,"4700, NÃ¦stved",Erantisvej 53,Regnskabsklasse B,2012-12-18,2008-03-31,2012-12-18,,,55545210.0,,31755328.0,"Vi har revideret Ã¥rsregnskabet for DPA Total ApS for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Brian Vahlkvist,Allan Pedersen,"Revisions-Centret, Registreret revisionsvirksomhed",Sparkassen Lolland,DPA Total ApS,Revisions-Centret,,,NÃ¦stved,,,,2012-09-30,2011-10-01,,55545410.0,urn:ofk:oid:19902275,indberetninger-20180424,2.511702,31755328.0,,2018-04-01T13:29:19.724Z,2013-01-11T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-364.684,2013-01-11T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-10-01,2012-09-30,ID_10,http://regnskaber.virk.dk/82355713/Y3ZyLmRrOi8vcGRmcy8zMTc1NTMyODtBcFM0NDQ5MjA7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/82355713/Y3ZyLmRrOi8veGJybHMvWC01Q0RDNjY0QS0yMDEzMDExMV8xMzU4MDFfMjEw.xml,"4700, NÃ¦stved",Brogade 6,"4684, Holmegaard",Slibemestervej 26,"4700, NÃ¦stved",Erantisvej 53,Regnskabsklasse B,2012-12-18,2008-03-31,2012-12-18,129915.0,2635342.0,55545210.0,-3618062.0,31755328.0,"Vi har revideret Ã¥rsregnskabet for DPA Total ApS for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Brian Vahlkvist,Allan Pedersen,"Revisions-Centret, Registreret revisionsvirksomhed",Sparkassen Lolland,DPA Total ApS,Revisions-Centret,469961.0,-2262.0,NÃ¦stved,22789.0,-385106.0,-852805.0,2012-09-30,2011-10-01,407895.0,55545410.0,urn:ofk:oid:19902275,indberetninger-20180424,2.511702,31755328.0,,2018-04-01T13:29:19.724Z,2013-01-11T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-364.684,2013-01-11T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-10-01,2012-09-30,ID_12,http://regnskaber.virk.dk/82355713/Y3ZyLmRrOi8vcGRmcy8zMTc1NTMyODtBcFM0NDQ5MjA7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/82355713/Y3ZyLmRrOi8veGJybHMvWC01Q0RDNjY0QS0yMDEzMDExMV8xMzU4MDFfMjEw.xml,"4700, NÃ¦stved",Brogade 6,"4684, Holmegaard",Slibemestervej 26,"4700, NÃ¦stved",Erantisvej 53,Regnskabsklasse B,2012-12-18,2008-03-31,2012-12-18,,,55545210.0,,31755328.0,"Vi har revideret Ã¥rsregnskabet for DPA Total ApS for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Brian Vahlkvist,Allan Pedersen,"Revisions-Centret, Registreret revisionsvirksomhed",Sparkassen Lolland,DPA Total ApS,Revisions-Centret,,,NÃ¦stved,193200.0,,,2012-09-30,2011-10-01,,55545410.0,urn:ofk:oid:19902275,indberetninger-20180424,2.511702,31755328.0,,2018-04-01T13:29:19.724Z,2013-01-11T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-364.684,2013-01-11T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entity identifier,2011-10-01,2012-09-30,ID_14,http://regnskaber.virk.dk/82355713/Y3ZyLmRrOi8vcGRmcy8zMTc1NTMyODtBcFM0NDQ5MjA7MjAxMTEwMDE7MjAxMjA5MzA7UjtS.pdf,http://regnskaber.virk.dk/82355713/Y3ZyLmRrOi8veGJybHMvWC01Q0RDNjY0QS0yMDEzMDExMV8xMzU4MDFfMjEw.xml,"4700, NÃ¦stved",Brogade 6,"4684, Holmegaard",Slibemestervej 26,"4700, NÃ¦stved",Erantisvej 53,Regnskabsklasse B,2012-12-18,2008-03-31,2012-12-18,,,55545210.0,,31755328.0,"Vi har revideret Ã¥rsregnskabet for DPA Total ApS for regnskabsÃ¥ret 1. oktober 2011 - 30. september 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Brian Vahlkvist,Allan Pedersen,"Revisions-Centret, Registreret revisionsvirksomhed",Sparkassen Lolland,DPA Total ApS,Revisions-Centret,,,NÃ¦stved,-215989.0,,,2012-09-30,2011-10-01,,55545410.0,urn:ofk:oid:19902275,indberetninger-20180424,2.511702,31755328.0,,2018-04-01T13:29:19.724Z,2013-01-11T23:00:00.000Z,regnskab,0.0,,2012-09-30,2011-10-01,12-364.684,2013-01-11T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
