entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AdjustmentsForCurrentTaxOfPriorPeriod,AdjustmentsForCurrentTaxRelatingToTaxRateChangesOrImpositionOfNewTaxes,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,InformationOnTypeOfSubmittedReport,InterestExpenseAssignedToGroupEnterprises,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherExternalExpenses,OtherFinanceExpenses,OtherInterestExpenses,PlaceOfSignatureOfStatement,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodNumber,ReportingPeriodStartDate,RevaluationsOfInvestmentsOfTheYear,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,OtherShorttermPayables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermTaxReceivables,AccumulatedRevaluationsOfInvestments,InvestmentsGross,NameOfAuditFirm
29009368,2013-05-01,2014-04-30,c1,,http://regnskaber.virk.dk/86390092/ZG9rdW1lbnRsYWdlcjovLzAzL2MzLzYwL2FlLzViL2EyYjktNGE1MC1iYWM2LTEyYjdiMGE4YjhlZg.pdf,http://regnskaber.virk.dk/86390092/ZG9rdW1lbnRsYWdlcjovLzAzL2ZkLzI5LzlkL2MzLzRlNjEtNDE1Mi04NzhiLWEzMTE5MTI4OGViYQ.xml,1.0,BrÃ¸nderslev,9700.0,"10, Box 2",Torvet,9000  Aalborg,SpeditÃ¸rvej 2 A,DK-9700 BrÃ¸nderslev,"Torvet 10, Box 2",Til kapitalejeren i Conlan Holding ApS,8592.0,-877.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. april 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2015-10-23,2005-09-26,2015-10-23,Statsautoriseret revisor,20222670.0,29009368.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. maj 2014 - 30. april 2015 for Conlan Holding ApS.,26352.0,Ãrsrapport,-23400.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Peter MÃ¸ller,Ejner Schmidt Hansen,Ejner Schmidt Hansen,Conlan Holding ApS,BDO Statsautoriseret revisionsaktieselskab,-9375.0,-25694.0,-2294.0,Aalborg,-1002.0,-8717.0,16977.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2015-04-30,10.0,2014-05-01,14384.0,2015-10-23,BrÃ¸nderslev,7715.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21557040,indberetninger-20180424,2.5116906,29009368.0,,2018-03-30T10:22:49.491Z,2015-10-23T10:58:42.686Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AH-91-PW,2015-10-23T10:58:42.776Z,,,,,,,,,,,,,,,,,,,
29009368,2013-05-01,2014-04-30,c30,,http://regnskaber.virk.dk/86390092/ZG9rdW1lbnRsYWdlcjovLzAzL2MzLzYwL2FlLzViL2EyYjktNGE1MC1iYWM2LTEyYjdiMGE4YjhlZg.pdf,http://regnskaber.virk.dk/86390092/ZG9rdW1lbnRsYWdlcjovLzAzL2ZkLzI5LzlkL2MzLzRlNjEtNDE1Mi04NzhiLWEzMTE5MTI4OGViYQ.xml,1.0,BrÃ¸nderslev,9700.0,"10, Box 2",Torvet,9000  Aalborg,SpeditÃ¸rvej 2 A,DK-9700 BrÃ¸nderslev,"Torvet 10, Box 2",Til kapitalejeren i Conlan Holding ApS,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. april 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2015-10-23,2005-09-26,2015-10-23,Statsautoriseret revisor,20222670.0,29009368.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. maj 2014 - 30. april 2015 for Conlan Holding ApS.,,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Peter MÃ¸ller,Ejner Schmidt Hansen,Ejner Schmidt Hansen,Conlan Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Aalborg,-1002.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2015-04-30,10.0,2014-05-01,14384.0,2015-10-23,BrÃ¸nderslev,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21557040,indberetninger-20180424,2.5116906,29009368.0,,2018-03-30T10:22:49.491Z,2015-10-23T10:58:42.686Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AH-91-PW,2015-10-23T10:58:42.776Z,,,,,,,,,,,,,,,,,,,
29009368,2014-04-30,2014-04-30,c4,,http://regnskaber.virk.dk/86390092/ZG9rdW1lbnRsYWdlcjovLzAzL2MzLzYwL2FlLzViL2EyYjktNGE1MC1iYWM2LTEyYjdiMGE4YjhlZg.pdf,http://regnskaber.virk.dk/86390092/ZG9rdW1lbnRsYWdlcjovLzAzL2ZkLzI5LzlkL2MzLzRlNjEtNDE1Mi04NzhiLWEzMTE5MTI4OGViYQ.xml,1.0,BrÃ¸nderslev,9700.0,"10, Box 2",Torvet,9000  Aalborg,SpeditÃ¸rvej 2 A,DK-9700 BrÃ¸nderslev,"Torvet 10, Box 2",Til kapitalejeren i Conlan Holding ApS,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. april 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2015-10-23,2005-09-26,2015-10-23,Statsautoriseret revisor,20222670.0,29009368.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. maj 2014 - 30. april 2015 for Conlan Holding ApS.,,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Peter MÃ¸ller,Ejner Schmidt Hansen,Ejner Schmidt Hansen,Conlan Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Aalborg,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2015-04-30,10.0,2014-05-01,14384.0,2015-10-23,BrÃ¸nderslev,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21557040,indberetninger-20180424,2.5116906,29009368.0,,2018-03-30T10:22:49.491Z,2015-10-23T10:58:42.686Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AH-91-PW,2015-10-23T10:58:42.776Z,902947.0,125000.0,41355.0,18523.0,275516.0,902947.0,627431.0,861592.0,861592.0,861592.0,18946.0,150516.0,627431.0,608485.0,41355.0,22832.0,,,
29009368,2014-05-01,2014-05-01,c113,,http://regnskaber.virk.dk/86390092/ZG9rdW1lbnRsYWdlcjovLzAzL2MzLzYwL2FlLzViL2EyYjktNGE1MC1iYWM2LTEyYjdiMGE4YjhlZg.pdf,http://regnskaber.virk.dk/86390092/ZG9rdW1lbnRsYWdlcjovLzAzL2ZkLzI5LzlkL2MzLzRlNjEtNDE1Mi04NzhiLWEzMTE5MTI4OGViYQ.xml,1.0,BrÃ¸nderslev,9700.0,"10, Box 2",Torvet,9000  Aalborg,SpeditÃ¸rvej 2 A,DK-9700 BrÃ¸nderslev,"Torvet 10, Box 2",Til kapitalejeren i Conlan Holding ApS,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. april 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2015-10-23,2005-09-26,2015-10-23,Statsautoriseret revisor,20222670.0,29009368.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. maj 2014 - 30. april 2015 for Conlan Holding ApS.,,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Peter MÃ¸ller,Ejner Schmidt Hansen,Ejner Schmidt Hansen,Conlan Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Aalborg,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2015-04-30,10.0,2014-05-01,14384.0,2015-10-23,BrÃ¸nderslev,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21557040,indberetninger-20180424,2.5116906,29009368.0,,2018-03-30T10:22:49.491Z,2015-10-23T10:58:42.686Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AH-91-PW,2015-10-23T10:58:42.776Z,,,,,,,,,,,,,,,,,264243.0,597349.0,
29009368,2014-05-01,2014-05-01,c137,,http://regnskaber.virk.dk/86390092/ZG9rdW1lbnRsYWdlcjovLzAzL2MzLzYwL2FlLzViL2EyYjktNGE1MC1iYWM2LTEyYjdiMGE4YjhlZg.pdf,http://regnskaber.virk.dk/86390092/ZG9rdW1lbnRsYWdlcjovLzAzL2ZkLzI5LzlkL2MzLzRlNjEtNDE1Mi04NzhiLWEzMTE5MTI4OGViYQ.xml,1.0,BrÃ¸nderslev,9700.0,"10, Box 2",Torvet,9000  Aalborg,SpeditÃ¸rvej 2 A,DK-9700 BrÃ¸nderslev,"Torvet 10, Box 2",Til kapitalejeren i Conlan Holding ApS,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. april 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2015-10-23,2005-09-26,2015-10-23,Statsautoriseret revisor,20222670.0,29009368.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. maj 2014 - 30. april 2015 for Conlan Holding ApS.,,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Peter MÃ¸ller,Ejner Schmidt Hansen,Ejner Schmidt Hansen,Conlan Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Aalborg,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2015-04-30,10.0,2014-05-01,14384.0,2015-10-23,BrÃ¸nderslev,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21557040,indberetninger-20180424,2.5116906,29009368.0,,2018-03-30T10:22:49.491Z,2015-10-23T10:58:42.686Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AH-91-PW,2015-10-23T10:58:42.776Z,,,,,125000.0,,,,,,,,,,,,,,
29009368,2014-05-01,2014-05-01,c158,,http://regnskaber.virk.dk/86390092/ZG9rdW1lbnRsYWdlcjovLzAzL2MzLzYwL2FlLzViL2EyYjktNGE1MC1iYWM2LTEyYjdiMGE4YjhlZg.pdf,http://regnskaber.virk.dk/86390092/ZG9rdW1lbnRsYWdlcjovLzAzL2ZkLzI5LzlkL2MzLzRlNjEtNDE1Mi04NzhiLWEzMTE5MTI4OGViYQ.xml,1.0,BrÃ¸nderslev,9700.0,"10, Box 2",Torvet,9000  Aalborg,SpeditÃ¸rvej 2 A,DK-9700 BrÃ¸nderslev,"Torvet 10, Box 2",Til kapitalejeren i Conlan Holding ApS,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. april 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2015-10-23,2005-09-26,2015-10-23,Statsautoriseret revisor,20222670.0,29009368.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. maj 2014 - 30. april 2015 for Conlan Holding ApS.,,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Peter MÃ¸ller,Ejner Schmidt Hansen,Ejner Schmidt Hansen,Conlan Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Aalborg,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2015-04-30,10.0,2014-05-01,14384.0,2015-10-23,BrÃ¸nderslev,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21557040,indberetninger-20180424,2.5116906,29009368.0,,2018-03-30T10:22:49.491Z,2015-10-23T10:58:42.686Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AH-91-PW,2015-10-23T10:58:42.776Z,,,,,150516.0,,,,,,,,,,,,,,
29009368,2014-05-01,2015-04-30,c0,,http://regnskaber.virk.dk/86390092/ZG9rdW1lbnRsYWdlcjovLzAzL2MzLzYwL2FlLzViL2EyYjktNGE1MC1iYWM2LTEyYjdiMGE4YjhlZg.pdf,http://regnskaber.virk.dk/86390092/ZG9rdW1lbnRsYWdlcjovLzAzL2ZkLzI5LzlkL2MzLzRlNjEtNDE1Mi04NzhiLWEzMTE5MTI4OGViYQ.xml,1.0,BrÃ¸nderslev,9700.0,"10, Box 2",Torvet,9000  Aalborg,SpeditÃ¸rvej 2 A,DK-9700 BrÃ¸nderslev,"Torvet 10, Box 2",Til kapitalejeren i Conlan Holding ApS,7608.0,-486.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. april 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2015-10-23,2005-09-26,2015-10-23,Statsautoriseret revisor,20222670.0,29009368.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. maj 2014 - 30. april 2015 for Conlan Holding ApS.,14384.0,Ãrsrapport,-24600.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Peter MÃ¸ller,Ejner Schmidt Hansen,Ejner Schmidt Hansen,Conlan Holding ApS,BDO Statsautoriseret revisionsaktieselskab,-6250.0,-26372.0,-1772.0,Aalborg,-11116.0,-18238.0,8134.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2015-04-30,10.0,2014-05-01,14384.0,2015-10-23,BrÃ¸nderslev,7122.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21557040,indberetninger-20180424,2.5116906,29009368.0,,2018-03-30T10:22:49.491Z,2015-10-23T10:58:42.686Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AH-91-PW,2015-10-23T10:58:42.776Z,,,,,,,,,,,,,,,,,,,BDO Statsautoriseret revisionsaktieselskab
29009368,2014-05-01,2015-04-30,c114,,http://regnskaber.virk.dk/86390092/ZG9rdW1lbnRsYWdlcjovLzAzL2MzLzYwL2FlLzViL2EyYjktNGE1MC1iYWM2LTEyYjdiMGE4YjhlZg.pdf,http://regnskaber.virk.dk/86390092/ZG9rdW1lbnRsYWdlcjovLzAzL2ZkLzI5LzlkL2MzLzRlNjEtNDE1Mi04NzhiLWEzMTE5MTI4OGViYQ.xml,1.0,BrÃ¸nderslev,9700.0,"10, Box 2",Torvet,9000  Aalborg,SpeditÃ¸rvej 2 A,DK-9700 BrÃ¸nderslev,"Torvet 10, Box 2",Til kapitalejeren i Conlan Holding ApS,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. april 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2015-10-23,2005-09-26,2015-10-23,Statsautoriseret revisor,20222670.0,29009368.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. maj 2014 - 30. april 2015 for Conlan Holding ApS.,,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Peter MÃ¸ller,Ejner Schmidt Hansen,Ejner Schmidt Hansen,Conlan Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Aalborg,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2015-04-30,10.0,2014-05-01,14384.0,2015-10-23,BrÃ¸nderslev,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21557040,indberetninger-20180424,2.5116906,29009368.0,,2018-03-30T10:22:49.491Z,2015-10-23T10:58:42.686Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AH-91-PW,2015-10-23T10:58:42.776Z,,,,,,,,,,,,,,,,,,,
29009368,2014-05-01,2015-04-30,c159,,http://regnskaber.virk.dk/86390092/ZG9rdW1lbnRsYWdlcjovLzAzL2MzLzYwL2FlLzViL2EyYjktNGE1MC1iYWM2LTEyYjdiMGE4YjhlZg.pdf,http://regnskaber.virk.dk/86390092/ZG9rdW1lbnRsYWdlcjovLzAzL2ZkLzI5LzlkL2MzLzRlNjEtNDE1Mi04NzhiLWEzMTE5MTI4OGViYQ.xml,1.0,BrÃ¸nderslev,9700.0,"10, Box 2",Torvet,9000  Aalborg,SpeditÃ¸rvej 2 A,DK-9700 BrÃ¸nderslev,"Torvet 10, Box 2",Til kapitalejeren i Conlan Holding ApS,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. april 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2015-10-23,2005-09-26,2015-10-23,Statsautoriseret revisor,20222670.0,29009368.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. maj 2014 - 30. april 2015 for Conlan Holding ApS.,,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Peter MÃ¸ller,Ejner Schmidt Hansen,Ejner Schmidt Hansen,Conlan Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Aalborg,-11116.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2015-04-30,10.0,2014-05-01,14384.0,2015-10-23,BrÃ¸nderslev,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21557040,indberetninger-20180424,2.5116906,29009368.0,,2018-03-30T10:22:49.491Z,2015-10-23T10:58:42.686Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AH-91-PW,2015-10-23T10:58:42.776Z,,,,,,,,,,,,,,,,,,,
29009368,2014-05-01,2015-04-30,c199,,http://regnskaber.virk.dk/86390092/ZG9rdW1lbnRsYWdlcjovLzAzL2MzLzYwL2FlLzViL2EyYjktNGE1MC1iYWM2LTEyYjdiMGE4YjhlZg.pdf,http://regnskaber.virk.dk/86390092/ZG9rdW1lbnRsYWdlcjovLzAzL2ZkLzI5LzlkL2MzLzRlNjEtNDE1Mi04NzhiLWEzMTE5MTI4OGViYQ.xml,1.0,BrÃ¸nderslev,9700.0,"10, Box 2",Torvet,9000  Aalborg,SpeditÃ¸rvej 2 A,DK-9700 BrÃ¸nderslev,"Torvet 10, Box 2",Til kapitalejeren i Conlan Holding ApS,,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. april 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2015-10-23,2005-09-26,2015-10-23,Statsautoriseret revisor,20222670.0,29009368.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. maj 2014 - 30. april 2015 for Conlan Holding ApS.,,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Peter MÃ¸ller,Ejner Schmidt Hansen,Ejner Schmidt Hansen,Conlan Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Aalborg,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2015-04-30,10.0,2014-05-01,14384.0,2015-10-23,BrÃ¸nderslev,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21557040,indberetninger-20180424,2.5116906,29009368.0,,2018-03-30T10:22:49.491Z,2015-10-23T10:58:42.686Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AH-91-PW,2015-10-23T10:58:42.776Z,,,,,,,,,,,,,,,,,,,
