entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AdditionsToInvestments,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,ProfitLoss,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodNumber,ReportingPeriodStartDate,RevaluationsOfInvestmentsOfTheYear,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,AdjustmentsForCurrentTaxOfPriorPeriod,AdjustmentsForCurrentTaxRelatingToTaxRateChangesOrImpositionOfNewTaxes,AdjustmentsForDeferredTax,CurrentTaxExpense,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,InterestExpenseAssignedToGroupEnterprises,OtherExternalExpenses,OtherFinanceExpenses,OtherFinanceIncome,OtherInterestExpenses,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermTaxReceivables,AccumulatedRevaluationsOfInvestments,InvestmentsGross,NameOfAuditFirm
29009368,2014-05-01,2015-04-30,c110,,http://regnskaber.virk.dk/86390092/ZG9rdW1lbnRsYWdlcjovLzAzL2VkLzQ1L2IzLzA1LzM2NTEtNGU5MC04MDJlLTJhNGRlNjEzMDlkOQ.pdf,http://regnskaber.virk.dk/86390092/ZG9rdW1lbnRsYWdlcjovLzAzLzdiL2M4L2Y2L2M5L2M5ZjItNDM3Ni05ZGNhLWJiOGU4NDFjYmZjOQ.xml,1.0,65934.0,BrÃ¸nderslev,9700.0,"10, Box 2",Torvet,9000 Aalborg,SpeditÃ¸rvej 2 A,DK-9700 BrÃ¸nderslev,"Torvet 10, Box 2",Til kapitalejeren i Conlan Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. april 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj 2015 - 30. april 2016.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2016-09-30,2005-09-26,2016-10-07,Statsautoriseret revisor,20222670.0,29009368.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. maj 2015 - 30. april 2016 for Conlan Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Peter MÃ¸ller,Ejner Schmidt Hansen,Ejner Schmidt Hansen,Conlan Holding ApS,BDO Statsautoriseret revisionsaktieselskab,Aalborg,-11116.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2016-04-30,11.0,2015-05-01,23129.0,2016-09-30,BrÃ¸nderslev,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23063328,indberetninger-20180424,2.5122902000000003,29009368.0,,2018-03-28T17:12:55.797Z,2016-10-14T12:38:57.192Z,regnskab,0.0,,2016-04-30,2015-05-01,X16-BF-54-EC,2016-10-14T12:38:57.322Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29009368,2014-05-01,2015-04-30,c90,,http://regnskaber.virk.dk/86390092/ZG9rdW1lbnRsYWdlcjovLzAzL2VkLzQ1L2IzLzA1LzM2NTEtNGU5MC04MDJlLTJhNGRlNjEzMDlkOQ.pdf,http://regnskaber.virk.dk/86390092/ZG9rdW1lbnRsYWdlcjovLzAzLzdiL2M4L2Y2L2M5L2M5ZjItNDM3Ni05ZGNhLWJiOGU4NDFjYmZjOQ.xml,1.0,65934.0,BrÃ¸nderslev,9700.0,"10, Box 2",Torvet,9000 Aalborg,SpeditÃ¸rvej 2 A,DK-9700 BrÃ¸nderslev,"Torvet 10, Box 2",Til kapitalejeren i Conlan Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. april 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj 2015 - 30. april 2016.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2016-09-30,2005-09-26,2016-10-07,Statsautoriseret revisor,20222670.0,29009368.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. maj 2015 - 30. april 2016 for Conlan Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Peter MÃ¸ller,Ejner Schmidt Hansen,Ejner Schmidt Hansen,Conlan Holding ApS,BDO Statsautoriseret revisionsaktieselskab,Aalborg,-11116.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2016-04-30,11.0,2015-05-01,23129.0,2016-09-30,BrÃ¸nderslev,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23063328,indberetninger-20180424,2.5122902000000003,29009368.0,,2018-03-28T17:12:55.797Z,2016-10-14T12:38:57.192Z,regnskab,0.0,,2016-04-30,2015-05-01,X16-BF-54-EC,2016-10-14T12:38:57.322Z,-7608.0,486.0,0.0,0.0,14384.0,-24600.0,6250.0,26372.0,0.0,-1772.0,-18238.0,8134.0,-7122.0,,,,,,,,,,,,,,,,,,,,
29009368,2015-04-30,2015-04-30,c112,,http://regnskaber.virk.dk/86390092/ZG9rdW1lbnRsYWdlcjovLzAzL2VkLzQ1L2IzLzA1LzM2NTEtNGU5MC04MDJlLTJhNGRlNjEzMDlkOQ.pdf,http://regnskaber.virk.dk/86390092/ZG9rdW1lbnRsYWdlcjovLzAzLzdiL2M4L2Y2L2M5L2M5ZjItNDM3Ni05ZGNhLWJiOGU4NDFjYmZjOQ.xml,1.0,65934.0,BrÃ¸nderslev,9700.0,"10, Box 2",Torvet,9000 Aalborg,SpeditÃ¸rvej 2 A,DK-9700 BrÃ¸nderslev,"Torvet 10, Box 2",Til kapitalejeren i Conlan Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. april 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj 2015 - 30. april 2016.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2016-09-30,2005-09-26,2016-10-07,Statsautoriseret revisor,20222670.0,29009368.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. maj 2015 - 30. april 2016 for Conlan Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Peter MÃ¸ller,Ejner Schmidt Hansen,Ejner Schmidt Hansen,Conlan Holding ApS,BDO Statsautoriseret revisionsaktieselskab,Aalborg,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2016-04-30,11.0,2015-05-01,23129.0,2016-09-30,BrÃ¸nderslev,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23063328,indberetninger-20180424,2.5122902000000003,29009368.0,,2018-03-28T17:12:55.797Z,2016-10-14T12:38:57.192Z,regnskab,0.0,,2016-04-30,2015-05-01,X16-BF-54-EC,2016-10-14T12:38:57.322Z,,,,,,,,,,,,,,924200.0,125000.0,48224.0,25645.0,264400.0,924200.0,659800.0,875976.0,875976.0,875976.0,13301.0,0.0,139400.0,659800.0,646499.0,48224.0,22579.0,,,
29009368,2015-05-01,2015-05-01,c231,,http://regnskaber.virk.dk/86390092/ZG9rdW1lbnRsYWdlcjovLzAzL2VkLzQ1L2IzLzA1LzM2NTEtNGU5MC04MDJlLTJhNGRlNjEzMDlkOQ.pdf,http://regnskaber.virk.dk/86390092/ZG9rdW1lbnRsYWdlcjovLzAzLzdiL2M4L2Y2L2M5L2M5ZjItNDM3Ni05ZGNhLWJiOGU4NDFjYmZjOQ.xml,1.0,65934.0,BrÃ¸nderslev,9700.0,"10, Box 2",Torvet,9000 Aalborg,SpeditÃ¸rvej 2 A,DK-9700 BrÃ¸nderslev,"Torvet 10, Box 2",Til kapitalejeren i Conlan Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. april 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj 2015 - 30. april 2016.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2016-09-30,2005-09-26,2016-10-07,Statsautoriseret revisor,20222670.0,29009368.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. maj 2015 - 30. april 2016 for Conlan Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Peter MÃ¸ller,Ejner Schmidt Hansen,Ejner Schmidt Hansen,Conlan Holding ApS,BDO Statsautoriseret revisionsaktieselskab,Aalborg,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2016-04-30,11.0,2015-05-01,23129.0,2016-09-30,BrÃ¸nderslev,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23063328,indberetninger-20180424,2.5122902000000003,29009368.0,,2018-03-28T17:12:55.797Z,2016-10-14T12:38:57.192Z,regnskab,0.0,,2016-04-30,2015-05-01,X16-BF-54-EC,2016-10-14T12:38:57.322Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278627.0,597349.0,
29009368,2015-05-01,2015-05-01,c252,,http://regnskaber.virk.dk/86390092/ZG9rdW1lbnRsYWdlcjovLzAzL2VkLzQ1L2IzLzA1LzM2NTEtNGU5MC04MDJlLTJhNGRlNjEzMDlkOQ.pdf,http://regnskaber.virk.dk/86390092/ZG9rdW1lbnRsYWdlcjovLzAzLzdiL2M4L2Y2L2M5L2M5ZjItNDM3Ni05ZGNhLWJiOGU4NDFjYmZjOQ.xml,1.0,65934.0,BrÃ¸nderslev,9700.0,"10, Box 2",Torvet,9000 Aalborg,SpeditÃ¸rvej 2 A,DK-9700 BrÃ¸nderslev,"Torvet 10, Box 2",Til kapitalejeren i Conlan Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. april 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj 2015 - 30. april 2016.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2016-09-30,2005-09-26,2016-10-07,Statsautoriseret revisor,20222670.0,29009368.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. maj 2015 - 30. april 2016 for Conlan Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Peter MÃ¸ller,Ejner Schmidt Hansen,Ejner Schmidt Hansen,Conlan Holding ApS,BDO Statsautoriseret revisionsaktieselskab,Aalborg,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2016-04-30,11.0,2015-05-01,23129.0,2016-09-30,BrÃ¸nderslev,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23063328,indberetninger-20180424,2.5122902000000003,29009368.0,,2018-03-28T17:12:55.797Z,2016-10-14T12:38:57.192Z,regnskab,0.0,,2016-04-30,2015-05-01,X16-BF-54-EC,2016-10-14T12:38:57.322Z,,,,,,,,,,,,,,,,,,125000.0,,,,,,,,,,,,,,,
29009368,2015-05-01,2015-05-01,c273,,http://regnskaber.virk.dk/86390092/ZG9rdW1lbnRsYWdlcjovLzAzL2VkLzQ1L2IzLzA1LzM2NTEtNGU5MC04MDJlLTJhNGRlNjEzMDlkOQ.pdf,http://regnskaber.virk.dk/86390092/ZG9rdW1lbnRsYWdlcjovLzAzLzdiL2M4L2Y2L2M5L2M5ZjItNDM3Ni05ZGNhLWJiOGU4NDFjYmZjOQ.xml,1.0,65934.0,BrÃ¸nderslev,9700.0,"10, Box 2",Torvet,9000 Aalborg,SpeditÃ¸rvej 2 A,DK-9700 BrÃ¸nderslev,"Torvet 10, Box 2",Til kapitalejeren i Conlan Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. april 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj 2015 - 30. april 2016.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2016-09-30,2005-09-26,2016-10-07,Statsautoriseret revisor,20222670.0,29009368.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. maj 2015 - 30. april 2016 for Conlan Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Peter MÃ¸ller,Ejner Schmidt Hansen,Ejner Schmidt Hansen,Conlan Holding ApS,BDO Statsautoriseret revisionsaktieselskab,Aalborg,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2016-04-30,11.0,2015-05-01,23129.0,2016-09-30,BrÃ¸nderslev,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23063328,indberetninger-20180424,2.5122902000000003,29009368.0,,2018-03-28T17:12:55.797Z,2016-10-14T12:38:57.192Z,regnskab,0.0,,2016-04-30,2015-05-01,X16-BF-54-EC,2016-10-14T12:38:57.322Z,,,,,,,,,,,,,,,,,,139400.0,,,,,,,,,,,,,,,
29009368,2015-05-01,2016-04-30,c0,,http://regnskaber.virk.dk/86390092/ZG9rdW1lbnRsYWdlcjovLzAzL2VkLzQ1L2IzLzA1LzM2NTEtNGU5MC04MDJlLTJhNGRlNjEzMDlkOQ.pdf,http://regnskaber.virk.dk/86390092/ZG9rdW1lbnRsYWdlcjovLzAzLzdiL2M4L2Y2L2M5L2M5ZjItNDM3Ni05ZGNhLWJiOGU4NDFjYmZjOQ.xml,1.0,65934.0,BrÃ¸nderslev,9700.0,"10, Box 2",Torvet,9000 Aalborg,SpeditÃ¸rvej 2 A,DK-9700 BrÃ¸nderslev,"Torvet 10, Box 2",Til kapitalejeren i Conlan Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. april 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj 2015 - 30. april 2016.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2016-09-30,2005-09-26,2016-10-07,Statsautoriseret revisor,20222670.0,29009368.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. maj 2015 - 30. april 2016 for Conlan Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Peter MÃ¸ller,Ejner Schmidt Hansen,Ejner Schmidt Hansen,Conlan Holding ApS,BDO Statsautoriseret revisionsaktieselskab,Aalborg,4405.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2016-04-30,11.0,2015-05-01,23129.0,2016-09-30,BrÃ¸nderslev,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23063328,indberetninger-20180424,2.5122902000000003,29009368.0,,2018-03-28T17:12:55.797Z,2016-10-14T12:38:57.192Z,regnskab,0.0,,2016-04-30,2015-05-01,X16-BF-54-EC,2016-10-14T12:38:57.322Z,10944.0,0.0,-8734.0,-18709.0,23129.0,-26740.0,7250.0,28011.0,38.0,-1271.0,-12094.0,15879.0,-16499.0,,,,,,,,,,,,,,,,,,,,BDO Statsautoriseret revisionsaktieselskab
29009368,2015-05-01,2016-04-30,c1,,http://regnskaber.virk.dk/86390092/ZG9rdW1lbnRsYWdlcjovLzAzL2VkLzQ1L2IzLzA1LzM2NTEtNGU5MC04MDJlLTJhNGRlNjEzMDlkOQ.pdf,http://regnskaber.virk.dk/86390092/ZG9rdW1lbnRsYWdlcjovLzAzLzdiL2M4L2Y2L2M5L2M5ZjItNDM3Ni05ZGNhLWJiOGU4NDFjYmZjOQ.xml,1.0,65934.0,BrÃ¸nderslev,9700.0,"10, Box 2",Torvet,9000 Aalborg,SpeditÃ¸rvej 2 A,DK-9700 BrÃ¸nderslev,"Torvet 10, Box 2",Til kapitalejeren i Conlan Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. april 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj 2015 - 30. april 2016.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2016-09-30,2005-09-26,2016-10-07,Statsautoriseret revisor,20222670.0,29009368.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. maj 2015 - 30. april 2016 for Conlan Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Peter MÃ¸ller,Ejner Schmidt Hansen,Ejner Schmidt Hansen,Conlan Holding ApS,BDO Statsautoriseret revisionsaktieselskab,Aalborg,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2016-04-30,11.0,2015-05-01,23129.0,2016-09-30,BrÃ¸nderslev,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23063328,indberetninger-20180424,2.5122902000000003,29009368.0,,2018-03-28T17:12:55.797Z,2016-10-14T12:38:57.192Z,regnskab,0.0,,2016-04-30,2015-05-01,X16-BF-54-EC,2016-10-14T12:38:57.322Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29009368,2015-05-01,2016-04-30,c109,,http://regnskaber.virk.dk/86390092/ZG9rdW1lbnRsYWdlcjovLzAzL2VkLzQ1L2IzLzA1LzM2NTEtNGU5MC04MDJlLTJhNGRlNjEzMDlkOQ.pdf,http://regnskaber.virk.dk/86390092/ZG9rdW1lbnRsYWdlcjovLzAzLzdiL2M4L2Y2L2M5L2M5ZjItNDM3Ni05ZGNhLWJiOGU4NDFjYmZjOQ.xml,1.0,65934.0,BrÃ¸nderslev,9700.0,"10, Box 2",Torvet,9000 Aalborg,SpeditÃ¸rvej 2 A,DK-9700 BrÃ¸nderslev,"Torvet 10, Box 2",Til kapitalejeren i Conlan Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. april 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj 2015 - 30. april 2016.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2016-09-30,2005-09-26,2016-10-07,Statsautoriseret revisor,20222670.0,29009368.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. maj 2015 - 30. april 2016 for Conlan Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Peter MÃ¸ller,Ejner Schmidt Hansen,Ejner Schmidt Hansen,Conlan Holding ApS,BDO Statsautoriseret revisionsaktieselskab,Aalborg,4405.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2016-04-30,11.0,2015-05-01,23129.0,2016-09-30,BrÃ¸nderslev,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23063328,indberetninger-20180424,2.5122902000000003,29009368.0,,2018-03-28T17:12:55.797Z,2016-10-14T12:38:57.192Z,regnskab,0.0,,2016-04-30,2015-05-01,X16-BF-54-EC,2016-10-14T12:38:57.322Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29009368,2015-05-01,2016-04-30,c232,,http://regnskaber.virk.dk/86390092/ZG9rdW1lbnRsYWdlcjovLzAzL2VkLzQ1L2IzLzA1LzM2NTEtNGU5MC04MDJlLTJhNGRlNjEzMDlkOQ.pdf,http://regnskaber.virk.dk/86390092/ZG9rdW1lbnRsYWdlcjovLzAzLzdiL2M4L2Y2L2M5L2M5ZjItNDM3Ni05ZGNhLWJiOGU4NDFjYmZjOQ.xml,1.0,65934.0,BrÃ¸nderslev,9700.0,"10, Box 2",Torvet,9000 Aalborg,SpeditÃ¸rvej 2 A,DK-9700 BrÃ¸nderslev,"Torvet 10, Box 2",Til kapitalejeren i Conlan Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. april 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj 2015 - 30. april 2016.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,2016-09-30,2005-09-26,2016-10-07,Statsautoriseret revisor,20222670.0,29009368.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. maj 2015 - 30. april 2016 for Conlan Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Peter MÃ¸ller,Ejner Schmidt Hansen,Ejner Schmidt Hansen,Conlan Holding ApS,BDO Statsautoriseret revisionsaktieselskab,Aalborg,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aalborg,2016-04-30,11.0,2015-05-01,23129.0,2016-09-30,BrÃ¸nderslev,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23063328,indberetninger-20180424,2.5122902000000003,29009368.0,,2018-03-28T17:12:55.797Z,2016-10-14T12:38:57.192Z,regnskab,0.0,,2016-04-30,2015-05-01,X16-BF-54-EC,2016-10-14T12:38:57.322Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
