entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,EmployeeBenefitsExpense,GrossProfitLoss,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,DeferredIncomeAssets,Equity,Inventories,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermLiabilitiesOtherThanProvisions,LongtermTaxPayables,ManufacturedGoodsAndGoodsForResale,OtherShorttermPayables,OtherShorttermReceivables,PrepaymentsForGoods,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermTaxPayables,ShorttermTradePayables,ShorttermTradeReceivables,NameAndSurnameOfMemberOfExecutiveBoard
31326087,2015-01-01,2015-09-30,ID_3,,http://regnskaber.virk.dk/78062313/ZG9rdW1lbnRsYWdlcjovLzAzLzRhL2M5L2M4LzQyLzdiOTQtNGNmOS1hNWRlLTBjYmEzZGYxZTIyNg.pdf,http://regnskaber.virk.dk/78062313/ZG9rdW1lbnRsYWdlcjovLzAzLzY2LzM1L2U3LzUzLzM5ZWEtNGFhYS1hZTUzLWE5YTc5ZjllY2FkZg.xml,"7100, Vejle",Damhaven 5C,Til den daglige ledelse i Densol ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2017-01-10,2017-01-10,2008-03-13,2017-01-12,354025.0,939365.0,27479677.0,31326087.0,27479677.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016 for Densol ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kjeld Dalager,"ReviPartner, Vejle",Densol ApS,"ReviPartner, Vejle, godkendt revisionsaktieselskab",53409.0,Strib,2015-01-01,2015-09-30,405219.0,531931.0,585340.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Middelfart, 410",2016-09-30,2015-10-01,2017-01-10,Vejle,126712.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23387322,indberetninger-20180424,2.5122635,31326087.0,,2018-03-27T11:17:36.811Z,2017-01-12T15:22:49.302Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AA-74-LJ,2017-01-12T15:22:49.475Z,,,,,,,,,,,,,,,,,,,,,,,,,,
31326087,2015-01-01,2015-09-30,ID_5,,http://regnskaber.virk.dk/78062313/ZG9rdW1lbnRsYWdlcjovLzAzLzRhL2M5L2M4LzQyLzdiOTQtNGNmOS1hNWRlLTBjYmEzZGYxZTIyNg.pdf,http://regnskaber.virk.dk/78062313/ZG9rdW1lbnRsYWdlcjovLzAzLzY2LzM1L2U3LzUzLzM5ZWEtNGFhYS1hZTUzLWE5YTc5ZjllY2FkZg.xml,"7100, Vejle",Damhaven 5C,Til den daglige ledelse i Densol ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2017-01-10,2017-01-10,2008-03-13,2017-01-12,,,27479677.0,31326087.0,27479677.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016 for Densol ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kjeld Dalager,"ReviPartner, Vejle",Densol ApS,"ReviPartner, Vejle, godkendt revisionsaktieselskab",,Strib,2015-01-01,2015-09-30,-300000.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Middelfart, 410",2016-09-30,2015-10-01,2017-01-10,Vejle,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23387322,indberetninger-20180424,2.5122635,31326087.0,,2018-03-27T11:17:36.811Z,2017-01-12T15:22:49.302Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AA-74-LJ,2017-01-12T15:22:49.475Z,,,,,,,,,,,,,,,,,,,,,,,,,,
31326087,2015-01-01,2015-09-30,ID_7,,http://regnskaber.virk.dk/78062313/ZG9rdW1lbnRsYWdlcjovLzAzLzRhL2M5L2M4LzQyLzdiOTQtNGNmOS1hNWRlLTBjYmEzZGYxZTIyNg.pdf,http://regnskaber.virk.dk/78062313/ZG9rdW1lbnRsYWdlcjovLzAzLzY2LzM1L2U3LzUzLzM5ZWEtNGFhYS1hZTUzLWE5YTc5ZjllY2FkZg.xml,"7100, Vejle",Damhaven 5C,Til den daglige ledelse i Densol ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2017-01-10,2017-01-10,2008-03-13,2017-01-12,,,27479677.0,31326087.0,27479677.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016 for Densol ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kjeld Dalager,"ReviPartner, Vejle",Densol ApS,"ReviPartner, Vejle, godkendt revisionsaktieselskab",,Strib,2015-01-01,2015-09-30,-105219.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Middelfart, 410",2016-09-30,2015-10-01,2017-01-10,Vejle,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23387322,indberetninger-20180424,2.5122635,31326087.0,,2018-03-27T11:17:36.811Z,2017-01-12T15:22:49.302Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AA-74-LJ,2017-01-12T15:22:49.475Z,,,,,,,,,,,,,,,,,,,,,,,,,,
31326087,2015-09-30,2015-09-30,ID_9,,http://regnskaber.virk.dk/78062313/ZG9rdW1lbnRsYWdlcjovLzAzLzRhL2M5L2M4LzQyLzdiOTQtNGNmOS1hNWRlLTBjYmEzZGYxZTIyNg.pdf,http://regnskaber.virk.dk/78062313/ZG9rdW1lbnRsYWdlcjovLzAzLzY2LzM1L2U3LzUzLzM5ZWEtNGFhYS1hZTUzLWE5YTc5ZjllY2FkZg.xml,"7100, Vejle",Damhaven 5C,Til den daglige ledelse i Densol ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2017-01-10,2017-01-10,2008-03-13,2017-01-12,,,27479677.0,31326087.0,27479677.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016 for Densol ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kjeld Dalager,"ReviPartner, Vejle",Densol ApS,"ReviPartner, Vejle, godkendt revisionsaktieselskab",,Strib,2015-01-01,2015-09-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Middelfart, 410",2016-09-30,2015-10-01,2017-01-10,Vejle,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23387322,indberetninger-20180424,2.5122635,31326087.0,,2018-03-27T11:17:36.811Z,2017-01-12T15:22:49.302Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AA-74-LJ,2017-01-12T15:22:49.475Z,2750786.0,1060759.0,125000.0,2750786.0,1628.0,9443.0,651872.0,1534797.0,2750786.0,2098914.0,126712.0,126712.0,1534797.0,375360.0,27000.0,0.0,300000.0,226872.0,1972202.0,924864.0,497490.0,155230.0,117972.0,56516.0,117159.0,
31326087,2015-10-01,2016-09-30,ID_0,,http://regnskaber.virk.dk/78062313/ZG9rdW1lbnRsYWdlcjovLzAzLzRhL2M5L2M4LzQyLzdiOTQtNGNmOS1hNWRlLTBjYmEzZGYxZTIyNg.pdf,http://regnskaber.virk.dk/78062313/ZG9rdW1lbnRsYWdlcjovLzAzLzY2LzM1L2U3LzUzLzM5ZWEtNGFhYS1hZTUzLWE5YTc5ZjllY2FkZg.xml,"7100, Vejle",Damhaven 5C,Til den daglige ledelse i Densol ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2017-01-10,2017-01-10,2008-03-13,2017-01-12,296514.0,583814.0,27479677.0,31326087.0,27479677.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016 for Densol ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kjeld Dalager,"ReviPartner, Vejle",Densol ApS,"ReviPartner, Vejle, godkendt revisionsaktieselskab",69788.0,Strib,2015-01-01,2015-09-30,167132.0,217512.0,287300.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Middelfart, 410",2016-09-30,2015-10-01,2017-01-10,Vejle,50380.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23387322,indberetninger-20180424,2.5122635,31326087.0,,2018-03-27T11:17:36.811Z,2017-01-12T15:22:49.302Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AA-74-LJ,2017-01-12T15:22:49.475Z,,,,,,,,,,,,,,,,,,,,,,,,,,
31326087,2015-10-01,2016-09-30,ID_1,,http://regnskaber.virk.dk/78062313/ZG9rdW1lbnRsYWdlcjovLzAzLzRhL2M5L2M4LzQyLzdiOTQtNGNmOS1hNWRlLTBjYmEzZGYxZTIyNg.pdf,http://regnskaber.virk.dk/78062313/ZG9rdW1lbnRsYWdlcjovLzAzLzY2LzM1L2U3LzUzLzM5ZWEtNGFhYS1hZTUzLWE5YTc5ZjllY2FkZg.xml,"7100, Vejle",Damhaven 5C,Til den daglige ledelse i Densol ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2017-01-10,2017-01-10,2008-03-13,2017-01-12,,,27479677.0,31326087.0,27479677.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016 for Densol ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kjeld Dalager,"ReviPartner, Vejle",Densol ApS,"ReviPartner, Vejle, godkendt revisionsaktieselskab",,Strib,2015-01-01,2015-09-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Middelfart, 410",2016-09-30,2015-10-01,2017-01-10,Vejle,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23387322,indberetninger-20180424,2.5122635,31326087.0,,2018-03-27T11:17:36.811Z,2017-01-12T15:22:49.302Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AA-74-LJ,2017-01-12T15:22:49.475Z,,,,,,,,,,,,,,,,,,,,,,,,,,Kjeld Dalager
31326087,2015-10-01,2016-09-30,ID_10,,http://regnskaber.virk.dk/78062313/ZG9rdW1lbnRsYWdlcjovLzAzLzRhL2M5L2M4LzQyLzdiOTQtNGNmOS1hNWRlLTBjYmEzZGYxZTIyNg.pdf,http://regnskaber.virk.dk/78062313/ZG9rdW1lbnRsYWdlcjovLzAzLzY2LzM1L2U3LzUzLzM5ZWEtNGFhYS1hZTUzLWE5YTc5ZjllY2FkZg.xml,"7100, Vejle",Damhaven 5C,Til den daglige ledelse i Densol ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2017-01-10,2017-01-10,2008-03-13,2017-01-12,,,27479677.0,31326087.0,27479677.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016 for Densol ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kjeld Dalager,"ReviPartner, Vejle",Densol ApS,"ReviPartner, Vejle, godkendt revisionsaktieselskab",,Strib,2015-01-01,2015-09-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Middelfart, 410",2016-09-30,2015-10-01,2017-01-10,Vejle,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23387322,indberetninger-20180424,2.5122635,31326087.0,,2018-03-27T11:17:36.811Z,2017-01-12T15:22:49.302Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AA-74-LJ,2017-01-12T15:22:49.475Z,,,,,,,,,,,,,,,,,,,,,,,,,,
31326087,2015-10-01,2016-09-30,ID_2,,http://regnskaber.virk.dk/78062313/ZG9rdW1lbnRsYWdlcjovLzAzLzRhL2M5L2M4LzQyLzdiOTQtNGNmOS1hNWRlLTBjYmEzZGYxZTIyNg.pdf,http://regnskaber.virk.dk/78062313/ZG9rdW1lbnRsYWdlcjovLzAzLzY2LzM1L2U3LzUzLzM5ZWEtNGFhYS1hZTUzLWE5YTc5ZjllY2FkZg.xml,"7100, Vejle",Damhaven 5C,Til den daglige ledelse i Densol ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2017-01-10,2017-01-10,2008-03-13,2017-01-12,,,27479677.0,31326087.0,27479677.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016 for Densol ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kjeld Dalager,"ReviPartner, Vejle",Densol ApS,"ReviPartner, Vejle, godkendt revisionsaktieselskab",,Strib,2015-01-01,2015-09-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Middelfart, 410",2016-09-30,2015-10-01,2017-01-10,Vejle,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23387322,indberetninger-20180424,2.5122635,31326087.0,,2018-03-27T11:17:36.811Z,2017-01-12T15:22:49.302Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AA-74-LJ,2017-01-12T15:22:49.475Z,,,,,,,,,,,,,,,,,,,,,,,,,,
31326087,2015-10-01,2016-09-30,ID_4,,http://regnskaber.virk.dk/78062313/ZG9rdW1lbnRsYWdlcjovLzAzLzRhL2M5L2M4LzQyLzdiOTQtNGNmOS1hNWRlLTBjYmEzZGYxZTIyNg.pdf,http://regnskaber.virk.dk/78062313/ZG9rdW1lbnRsYWdlcjovLzAzLzY2LzM1L2U3LzUzLzM5ZWEtNGFhYS1hZTUzLWE5YTc5ZjllY2FkZg.xml,"7100, Vejle",Damhaven 5C,Til den daglige ledelse i Densol ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2017-01-10,2017-01-10,2008-03-13,2017-01-12,,,27479677.0,31326087.0,27479677.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016 for Densol ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kjeld Dalager,"ReviPartner, Vejle",Densol ApS,"ReviPartner, Vejle, godkendt revisionsaktieselskab",,Strib,2015-01-01,2015-09-30,0.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Middelfart, 410",2016-09-30,2015-10-01,2017-01-10,Vejle,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23387322,indberetninger-20180424,2.5122635,31326087.0,,2018-03-27T11:17:36.811Z,2017-01-12T15:22:49.302Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AA-74-LJ,2017-01-12T15:22:49.475Z,,,,,,,,,,,,,,,,,,,,,,,,,,
31326087,2015-10-01,2016-09-30,ID_6,,http://regnskaber.virk.dk/78062313/ZG9rdW1lbnRsYWdlcjovLzAzLzRhL2M5L2M4LzQyLzdiOTQtNGNmOS1hNWRlLTBjYmEzZGYxZTIyNg.pdf,http://regnskaber.virk.dk/78062313/ZG9rdW1lbnRsYWdlcjovLzAzLzY2LzM1L2U3LzUzLzM5ZWEtNGFhYS1hZTUzLWE5YTc5ZjllY2FkZg.xml,"7100, Vejle",Damhaven 5C,Til den daglige ledelse i Densol ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2017-01-10,2017-01-10,2008-03-13,2017-01-12,,,27479677.0,31326087.0,27479677.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016 for Densol ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kjeld Dalager,"ReviPartner, Vejle",Densol ApS,"ReviPartner, Vejle, godkendt revisionsaktieselskab",,Strib,2015-01-01,2015-09-30,-167132.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Middelfart, 410",2016-09-30,2015-10-01,2017-01-10,Vejle,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23387322,indberetninger-20180424,2.5122635,31326087.0,,2018-03-27T11:17:36.811Z,2017-01-12T15:22:49.302Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AA-74-LJ,2017-01-12T15:22:49.475Z,,,,,,,,,,,,,,,,,,,,,,,,,,
