entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfFinancialInstitutionPostcodeAndTown,AddressOfFinancialInstitutionStreetAndNumber,AddressOfLawFirmPostcodeAndTown,AddressOfLawFirmStreetAndNumber,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,Assets,AuditorsReportOnFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,DateOfGeneralMeeting,DescriptionOfAuditor,DisclosureOfOtherFinanceExpenses,DisclosureOfOtherFinanceIncome,Equity,IdentificationNumberCvrOfReportingEntity,IdentificationOfApprovedAnnualReport,IdentificationOfAuditedFinancialStatements,InformationOnTypeOfSubmittedReport,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfFinancialInstitution,NameOfLawFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,NoncurrentAssets,OtherExternalExpenses,ProfitLossFromOrdinaryActivitiesBeforeTax,ProposedDividendRecognisedInEquity,ReportingPeriodEndDate,ReportingPeriodStartDate,RetainedEarnings,Revenue,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTradePayables,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss
entity identifier,2012-05-24,2012-12-31,ID_0,http://regnskaber.virk.dk/84888543/Y3ZyLmRrOi8vcGRmcy8zNDU4ODg0ODtBcFM1MTI3ODY7MjAxMjA1MjQ7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/84888543/Y3ZyLmRrOi8veGJybHMvWC02NkI3ODVDRi0yMDEzMDUxNV8xNTEyNDdfMDc1.xml,"Thisted, 7700",Toldbodgade 4,"7700, Thisted",Frederiksgade 14,"7700, Thisted",JÃ¦gerhÃ¸jen 21,"Thisted, 7700",Jernbanegade 18,Til kapitalejerne i Allan Jensen Holding Hundborg ApS,373180.0,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 24. maj 2012 - 31. december 2012.",-80000.0,938.0,938.0,2013-05-10,Registreret revisor,. Finansielle omkostninger,. Finansielle indtÃ¦gter,-369430.0,34588848.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 24. maj 2012 - 31. december 2012 for Allan Jensen Holding Hundborg ApS.,"Vi har revideret Ã¥rsregnskabet for Allan Jensen Holding Hundborg ApS for regnskabsÃ¥ret 24. maj 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,-373180.0,-3750.0,372242.0,372242.0,Jens Damsgaard,Allan Jensen,Allan Jensen,"REVIKON Revisionskontoret, Registreret revisionsinteressentskab",Nordea,Advodan,Allan Jensen Holding Hundborg ApS,"REVIKON Revisionskontoret, Registreret revisionsinteressentskab",372242.0,3750.0,28808.0,-48300.0,2012-12-31,2012-05-24,-241130.0,25058.0,-3750.0,938.0,-3750.0,2013-05-10,Thisted,-938.0,urn:ofk:oid:14663709,indberetninger-20180424,2.509752,34588848,,2018-04-01T16:18:13.367Z,2013-05-15T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-05-24,13-170.393,2013-05-15T22:00:00.000Z,
entity identifier,2012-05-24,2012-12-31,ID_1,http://regnskaber.virk.dk/84888543/Y3ZyLmRrOi8vcGRmcy8zNDU4ODg0ODtBcFM1MTI3ODY7MjAxMjA1MjQ7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/84888543/Y3ZyLmRrOi8veGJybHMvWC02NkI3ODVDRi0yMDEzMDUxNV8xNTEyNDdfMDc1.xml,"Thisted, 7700",Toldbodgade 4,"7700, Thisted",Frederiksgade 14,"7700, Thisted",JÃ¦gerhÃ¸jen 21,"Thisted, 7700",Jernbanegade 18,Til kapitalejerne i Allan Jensen Holding Hundborg ApS,373180.0,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 24. maj 2012 - 31. december 2012.",-80000.0,938.0,938.0,2013-05-10,Registreret revisor,. Finansielle omkostninger,. Finansielle indtÃ¦gter,-369430.0,34588848.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 24. maj 2012 - 31. december 2012 for Allan Jensen Holding Hundborg ApS.,"Vi har revideret Ã¥rsregnskabet for Allan Jensen Holding Hundborg ApS for regnskabsÃ¥ret 24. maj 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,-373180.0,-3750.0,372242.0,372242.0,Jens Damsgaard,Allan Jensen,Allan Jensen,"REVIKON Revisionskontoret, Registreret revisionsinteressentskab",Nordea,Advodan,Allan Jensen Holding Hundborg ApS,"REVIKON Revisionskontoret, Registreret revisionsinteressentskab",372242.0,3750.0,28808.0,-48300.0,2012-12-31,2012-05-24,-241130.0,25058.0,-3750.0,938.0,-3750.0,2013-05-10,Thisted,-938.0,urn:ofk:oid:14663709,indberetninger-20180424,2.509752,34588848,,2018-04-01T16:18:13.367Z,2013-05-15T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-05-24,13-170.393,2013-05-15T22:00:00.000Z,
entity identifier,2012-05-24,2012-12-31,ID_10,http://regnskaber.virk.dk/84888543/Y3ZyLmRrOi8vcGRmcy8zNDU4ODg0ODtBcFM1MTI3ODY7MjAxMjA1MjQ7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/84888543/Y3ZyLmRrOi8veGJybHMvWC02NkI3ODVDRi0yMDEzMDUxNV8xNTEyNDdfMDc1.xml,"Thisted, 7700",Toldbodgade 4,"7700, Thisted",Frederiksgade 14,"7700, Thisted",JÃ¦gerhÃ¸jen 21,"Thisted, 7700",Jernbanegade 18,Til kapitalejerne i Allan Jensen Holding Hundborg ApS,373180.0,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 24. maj 2012 - 31. december 2012.",-80000.0,938.0,938.0,2013-05-10,Registreret revisor,. Finansielle omkostninger,. Finansielle indtÃ¦gter,-369430.0,34588848.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 24. maj 2012 - 31. december 2012 for Allan Jensen Holding Hundborg ApS.,"Vi har revideret Ã¥rsregnskabet for Allan Jensen Holding Hundborg ApS for regnskabsÃ¥ret 24. maj 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,-373180.0,-3750.0,372242.0,372242.0,Jens Damsgaard,Allan Jensen,Allan Jensen,"REVIKON Revisionskontoret, Registreret revisionsinteressentskab",Nordea,Advodan,Allan Jensen Holding Hundborg ApS,"REVIKON Revisionskontoret, Registreret revisionsinteressentskab",372242.0,3750.0,28808.0,-48300.0,2012-12-31,2012-05-24,-241130.0,25058.0,-3750.0,938.0,-3750.0,2013-05-10,Thisted,-938.0,urn:ofk:oid:14663709,indberetninger-20180424,2.509752,34588848,,2018-04-01T16:18:13.367Z,2013-05-15T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-05-24,13-170.393,2013-05-15T22:00:00.000Z,-76170.0
entity identifier,2012-05-24,2012-12-31,ID_11,http://regnskaber.virk.dk/84888543/Y3ZyLmRrOi8vcGRmcy8zNDU4ODg0ODtBcFM1MTI3ODY7MjAxMjA1MjQ7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/84888543/Y3ZyLmRrOi8veGJybHMvWC02NkI3ODVDRi0yMDEzMDUxNV8xNTEyNDdfMDc1.xml,"Thisted, 7700",Toldbodgade 4,"7700, Thisted",Frederiksgade 14,"7700, Thisted",JÃ¦gerhÃ¸jen 21,"Thisted, 7700",Jernbanegade 18,Til kapitalejerne i Allan Jensen Holding Hundborg ApS,373180.0,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 24. maj 2012 - 31. december 2012.",-80000.0,938.0,938.0,2013-05-10,Registreret revisor,. Finansielle omkostninger,. Finansielle indtÃ¦gter,-369430.0,34588848.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 24. maj 2012 - 31. december 2012 for Allan Jensen Holding Hundborg ApS.,"Vi har revideret Ã¥rsregnskabet for Allan Jensen Holding Hundborg ApS for regnskabsÃ¥ret 24. maj 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,-373180.0,-3750.0,372242.0,372242.0,Jens Damsgaard,Allan Jensen,Allan Jensen,"REVIKON Revisionskontoret, Registreret revisionsinteressentskab",Nordea,Advodan,Allan Jensen Holding Hundborg ApS,"REVIKON Revisionskontoret, Registreret revisionsinteressentskab",372242.0,3750.0,28808.0,-48300.0,2012-12-31,2012-05-24,-241130.0,25058.0,-3750.0,938.0,-3750.0,2013-05-10,Thisted,-938.0,urn:ofk:oid:14663709,indberetninger-20180424,2.509752,34588848,,2018-04-01T16:18:13.367Z,2013-05-15T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-05-24,13-170.393,2013-05-15T22:00:00.000Z,-27870.0
entity identifier,2012-05-24,2012-12-31,ID_13,http://regnskaber.virk.dk/84888543/Y3ZyLmRrOi8vcGRmcy8zNDU4ODg0ODtBcFM1MTI3ODY7MjAxMjA1MjQ7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/84888543/Y3ZyLmRrOi8veGJybHMvWC02NkI3ODVDRi0yMDEzMDUxNV8xNTEyNDdfMDc1.xml,"Thisted, 7700",Toldbodgade 4,"7700, Thisted",Frederiksgade 14,"7700, Thisted",JÃ¦gerhÃ¸jen 21,"Thisted, 7700",Jernbanegade 18,Til kapitalejerne i Allan Jensen Holding Hundborg ApS,373180.0,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 24. maj 2012 - 31. december 2012.",-80000.0,938.0,938.0,2013-05-10,Registreret revisor,. Finansielle omkostninger,. Finansielle indtÃ¦gter,-369430.0,34588848.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 24. maj 2012 - 31. december 2012 for Allan Jensen Holding Hundborg ApS.,"Vi har revideret Ã¥rsregnskabet for Allan Jensen Holding Hundborg ApS for regnskabsÃ¥ret 24. maj 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,-373180.0,-3750.0,372242.0,372242.0,Jens Damsgaard,Allan Jensen,Allan Jensen,"REVIKON Revisionskontoret, Registreret revisionsinteressentskab",Nordea,Advodan,Allan Jensen Holding Hundborg ApS,"REVIKON Revisionskontoret, Registreret revisionsinteressentskab",372242.0,3750.0,28808.0,-48300.0,2012-12-31,2012-05-24,-241130.0,25058.0,-3750.0,938.0,-3750.0,2013-05-10,Thisted,-938.0,urn:ofk:oid:14663709,indberetninger-20180424,2.509752,34588848,,2018-04-01T16:18:13.367Z,2013-05-15T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-05-24,13-170.393,2013-05-15T22:00:00.000Z,
entity identifier,2012-05-24,2012-12-31,ID_14,http://regnskaber.virk.dk/84888543/Y3ZyLmRrOi8vcGRmcy8zNDU4ODg0ODtBcFM1MTI3ODY7MjAxMjA1MjQ7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/84888543/Y3ZyLmRrOi8veGJybHMvWC02NkI3ODVDRi0yMDEzMDUxNV8xNTEyNDdfMDc1.xml,"Thisted, 7700",Toldbodgade 4,"7700, Thisted",Frederiksgade 14,"7700, Thisted",JÃ¦gerhÃ¸jen 21,"Thisted, 7700",Jernbanegade 18,Til kapitalejerne i Allan Jensen Holding Hundborg ApS,373180.0,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 24. maj 2012 - 31. december 2012.",-80000.0,938.0,938.0,2013-05-10,Registreret revisor,. Finansielle omkostninger,. Finansielle indtÃ¦gter,-369430.0,34588848.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 24. maj 2012 - 31. december 2012 for Allan Jensen Holding Hundborg ApS.,"Vi har revideret Ã¥rsregnskabet for Allan Jensen Holding Hundborg ApS for regnskabsÃ¥ret 24. maj 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,-373180.0,-3750.0,372242.0,372242.0,Jens Damsgaard,Allan Jensen,Allan Jensen,"REVIKON Revisionskontoret, Registreret revisionsinteressentskab",Nordea,Advodan,Allan Jensen Holding Hundborg ApS,"REVIKON Revisionskontoret, Registreret revisionsinteressentskab",372242.0,3750.0,28808.0,-48300.0,2012-12-31,2012-05-24,-241130.0,25058.0,-3750.0,938.0,-3750.0,2013-05-10,Thisted,-938.0,urn:ofk:oid:14663709,indberetninger-20180424,2.509752,34588848,,2018-04-01T16:18:13.367Z,2013-05-15T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-05-24,13-170.393,2013-05-15T22:00:00.000Z,
entity identifier,2012-05-24,2012-12-31,ID_2,http://regnskaber.virk.dk/84888543/Y3ZyLmRrOi8vcGRmcy8zNDU4ODg0ODtBcFM1MTI3ODY7MjAxMjA1MjQ7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/84888543/Y3ZyLmRrOi8veGJybHMvWC02NkI3ODVDRi0yMDEzMDUxNV8xNTEyNDdfMDc1.xml,"Thisted, 7700",Toldbodgade 4,"7700, Thisted",Frederiksgade 14,"7700, Thisted",JÃ¦gerhÃ¸jen 21,"Thisted, 7700",Jernbanegade 18,Til kapitalejerne i Allan Jensen Holding Hundborg ApS,373180.0,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 24. maj 2012 - 31. december 2012.",-80000.0,938.0,938.0,2013-05-10,Registreret revisor,. Finansielle omkostninger,. Finansielle indtÃ¦gter,-369430.0,34588848.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 24. maj 2012 - 31. december 2012 for Allan Jensen Holding Hundborg ApS.,"Vi har revideret Ã¥rsregnskabet for Allan Jensen Holding Hundborg ApS for regnskabsÃ¥ret 24. maj 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,-373180.0,-3750.0,372242.0,372242.0,Jens Damsgaard,Allan Jensen,Allan Jensen,"REVIKON Revisionskontoret, Registreret revisionsinteressentskab",Nordea,Advodan,Allan Jensen Holding Hundborg ApS,"REVIKON Revisionskontoret, Registreret revisionsinteressentskab",372242.0,3750.0,28808.0,-48300.0,2012-12-31,2012-05-24,-241130.0,25058.0,-3750.0,938.0,-3750.0,2013-05-10,Thisted,-938.0,urn:ofk:oid:14663709,indberetninger-20180424,2.509752,34588848,,2018-04-01T16:18:13.367Z,2013-05-15T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-05-24,13-170.393,2013-05-15T22:00:00.000Z,
entity identifier,2012-05-24,2012-12-31,ID_3,http://regnskaber.virk.dk/84888543/Y3ZyLmRrOi8vcGRmcy8zNDU4ODg0ODtBcFM1MTI3ODY7MjAxMjA1MjQ7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/84888543/Y3ZyLmRrOi8veGJybHMvWC02NkI3ODVDRi0yMDEzMDUxNV8xNTEyNDdfMDc1.xml,"Thisted, 7700",Toldbodgade 4,"7700, Thisted",Frederiksgade 14,"7700, Thisted",JÃ¦gerhÃ¸jen 21,"Thisted, 7700",Jernbanegade 18,Til kapitalejerne i Allan Jensen Holding Hundborg ApS,373180.0,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 24. maj 2012 - 31. december 2012.",-80000.0,938.0,938.0,2013-05-10,Registreret revisor,. Finansielle omkostninger,. Finansielle indtÃ¦gter,-369430.0,34588848.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 24. maj 2012 - 31. december 2012 for Allan Jensen Holding Hundborg ApS.,"Vi har revideret Ã¥rsregnskabet for Allan Jensen Holding Hundborg ApS for regnskabsÃ¥ret 24. maj 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,-373180.0,-3750.0,372242.0,372242.0,Jens Damsgaard,Allan Jensen,Allan Jensen,"REVIKON Revisionskontoret, Registreret revisionsinteressentskab",Nordea,Advodan,Allan Jensen Holding Hundborg ApS,"REVIKON Revisionskontoret, Registreret revisionsinteressentskab",372242.0,3750.0,28808.0,-48300.0,2012-12-31,2012-05-24,-241130.0,25058.0,-3750.0,938.0,-3750.0,2013-05-10,Thisted,-938.0,urn:ofk:oid:14663709,indberetninger-20180424,2.509752,34588848,,2018-04-01T16:18:13.367Z,2013-05-15T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-05-24,13-170.393,2013-05-15T22:00:00.000Z,
entity identifier,2012-05-24,2012-12-31,ID_4,http://regnskaber.virk.dk/84888543/Y3ZyLmRrOi8vcGRmcy8zNDU4ODg0ODtBcFM1MTI3ODY7MjAxMjA1MjQ7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/84888543/Y3ZyLmRrOi8veGJybHMvWC02NkI3ODVDRi0yMDEzMDUxNV8xNTEyNDdfMDc1.xml,"Thisted, 7700",Toldbodgade 4,"7700, Thisted",Frederiksgade 14,"7700, Thisted",JÃ¦gerhÃ¸jen 21,"Thisted, 7700",Jernbanegade 18,Til kapitalejerne i Allan Jensen Holding Hundborg ApS,373180.0,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 24. maj 2012 - 31. december 2012.",-80000.0,938.0,938.0,2013-05-10,Registreret revisor,. Finansielle omkostninger,. Finansielle indtÃ¦gter,-369430.0,34588848.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 24. maj 2012 - 31. december 2012 for Allan Jensen Holding Hundborg ApS.,"Vi har revideret Ã¥rsregnskabet for Allan Jensen Holding Hundborg ApS for regnskabsÃ¥ret 24. maj 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,-373180.0,-3750.0,372242.0,372242.0,Jens Damsgaard,Allan Jensen,Allan Jensen,"REVIKON Revisionskontoret, Registreret revisionsinteressentskab",Nordea,Advodan,Allan Jensen Holding Hundborg ApS,"REVIKON Revisionskontoret, Registreret revisionsinteressentskab",372242.0,3750.0,28808.0,-48300.0,2012-12-31,2012-05-24,-241130.0,25058.0,-3750.0,938.0,-3750.0,2013-05-10,Thisted,-938.0,urn:ofk:oid:14663709,indberetninger-20180424,2.509752,34588848,,2018-04-01T16:18:13.367Z,2013-05-15T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-05-24,13-170.393,2013-05-15T22:00:00.000Z,
entity identifier,2012-05-24,2012-12-31,ID_5,http://regnskaber.virk.dk/84888543/Y3ZyLmRrOi8vcGRmcy8zNDU4ODg0ODtBcFM1MTI3ODY7MjAxMjA1MjQ7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/84888543/Y3ZyLmRrOi8veGJybHMvWC02NkI3ODVDRi0yMDEzMDUxNV8xNTEyNDdfMDc1.xml,"Thisted, 7700",Toldbodgade 4,"7700, Thisted",Frederiksgade 14,"7700, Thisted",JÃ¦gerhÃ¸jen 21,"Thisted, 7700",Jernbanegade 18,Til kapitalejerne i Allan Jensen Holding Hundborg ApS,373180.0,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2012 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 24. maj 2012 - 31. december 2012.",-80000.0,938.0,938.0,2013-05-10,Registreret revisor,. Finansielle omkostninger,. Finansielle indtÃ¦gter,-369430.0,34588848.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 24. maj 2012 - 31. december 2012 for Allan Jensen Holding Hundborg ApS.,"Vi har revideret Ã¥rsregnskabet for Allan Jensen Holding Hundborg ApS for regnskabsÃ¥ret 24. maj 2012 - 31. december 2012, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,-373180.0,-3750.0,372242.0,372242.0,Jens Damsgaard,Allan Jensen,Allan Jensen,"REVIKON Revisionskontoret, Registreret revisionsinteressentskab",Nordea,Advodan,Allan Jensen Holding Hundborg ApS,"REVIKON Revisionskontoret, Registreret revisionsinteressentskab",372242.0,3750.0,28808.0,-48300.0,2012-12-31,2012-05-24,-241130.0,25058.0,-3750.0,938.0,-3750.0,2013-05-10,Thisted,-938.0,urn:ofk:oid:14663709,indberetninger-20180424,2.509752,34588848,,2018-04-01T16:18:13.367Z,2013-05-15T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-05-24,13-170.393,2013-05-15T22:00:00.000Z,
