entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfGeneralMeeting,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfExternalExpenses,Equity,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss,GrossProfitLoss,OtherFinanceExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,DeferredIncomeAssets,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,OtherShorttermInvestments,OtherShorttermPayables,OtherShorttermReceivables,RetainedEarnings,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxPayables,ShorttermTradePayables
30535049,2013-01-01,2013-01-01,c720,,http://regnskaber.virk.dk/94053503/ZG9rdW1lbnRsYWdlcjovLzAzLzlhL2RiLzQ1L2IyL2JiNTMtNDdjZS05Y2VjLTlkMDQwYjU5Njg5Yg.pdf,http://regnskaber.virk.dk/94053503/ZG9rdW1lbnRsYWdlcjovLzAzLzY5L2RmLzhlL2M2Lzc4MDgtNDE0Yy05MzZlLTRiMjdiMDA4ZDA0MQ.xml,Aarhus C,8000.0,e.,"BanegÃ¥rdsgade 16, 1","8230, ÃbyhÃ¸j","SÃ¸ren Frichs Vej, 36 L",ledelsen,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2014 for opfyldt.,2015-05-28,2015-05-28,2015-05-30,Andre eksterne omkostninger omfatter omkostninger til administration.,125000.0,30535049.0,25492145.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2014 for Remarc ApS.,Ãrsrapport,Knud Erik Timmermann,Kund Erik Timmermann,Remarc ApS,"BRANDT, Statsautoriseret Revisionspartnerselskab",Aarhus C,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aarhus C,2014-12-31,2014-01-01,2015-05-28,Aarhus C,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5492734,indberetninger-20180424,2.5097473,30535049,,2018-03-30T16:59:32.421Z,2015-06-10T12:17:40.869Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-46-XU,2015-06-10T12:17:40.960Z,,,,,,,,,,,,,,,,,,,,,,,,
30535049,2013-01-01,2013-01-01,c741,,http://regnskaber.virk.dk/94053503/ZG9rdW1lbnRsYWdlcjovLzAzLzlhL2RiLzQ1L2IyL2JiNTMtNDdjZS05Y2VjLTlkMDQwYjU5Njg5Yg.pdf,http://regnskaber.virk.dk/94053503/ZG9rdW1lbnRsYWdlcjovLzAzLzY5L2RmLzhlL2M2Lzc4MDgtNDE0Yy05MzZlLTRiMjdiMDA4ZDA0MQ.xml,Aarhus C,8000.0,e.,"BanegÃ¥rdsgade 16, 1","8230, ÃbyhÃ¸j","SÃ¸ren Frichs Vej, 36 L",ledelsen,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2014 for opfyldt.,2015-05-28,2015-05-28,2015-05-30,Andre eksterne omkostninger omfatter omkostninger til administration.,-203207.0,30535049.0,25492145.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2014 for Remarc ApS.,Ãrsrapport,Knud Erik Timmermann,Kund Erik Timmermann,Remarc ApS,"BRANDT, Statsautoriseret Revisionspartnerselskab",Aarhus C,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aarhus C,2014-12-31,2014-01-01,2015-05-28,Aarhus C,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5492734,indberetninger-20180424,2.5097473,30535049,,2018-03-30T16:59:32.421Z,2015-06-10T12:17:40.869Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-46-XU,2015-06-10T12:17:40.960Z,,,,,,,,,,,,,,,,,,,,,,,,
30535049,2013-01-01,2013-12-31,c123,,http://regnskaber.virk.dk/94053503/ZG9rdW1lbnRsYWdlcjovLzAzLzlhL2RiLzQ1L2IyL2JiNTMtNDdjZS05Y2VjLTlkMDQwYjU5Njg5Yg.pdf,http://regnskaber.virk.dk/94053503/ZG9rdW1lbnRsYWdlcjovLzAzLzY5L2RmLzhlL2M2Lzc4MDgtNDE0Yy05MzZlLTRiMjdiMDA4ZDA0MQ.xml,Aarhus C,8000.0,e.,"BanegÃ¥rdsgade 16, 1","8230, ÃbyhÃ¸j","SÃ¸ren Frichs Vej, 36 L",ledelsen,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2014 for opfyldt.,2015-05-28,2015-05-28,2015-05-30,Andre eksterne omkostninger omfatter omkostninger til administration.,,30535049.0,25492145.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2014 for Remarc ApS.,Ãrsrapport,Knud Erik Timmermann,Kund Erik Timmermann,Remarc ApS,"BRANDT, Statsautoriseret Revisionspartnerselskab",Aarhus C,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aarhus C,2014-12-31,2014-01-01,2015-05-28,Aarhus C,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5492734,indberetninger-20180424,2.5097473,30535049,,2018-03-30T16:59:32.421Z,2015-06-10T12:17:40.869Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-46-XU,2015-06-10T12:17:40.960Z,-8110.0,,,,,,,,,,,,,,,,,,,,,,,
30535049,2013-01-01,2013-12-31,c3,,http://regnskaber.virk.dk/94053503/ZG9rdW1lbnRsYWdlcjovLzAzLzlhL2RiLzQ1L2IyL2JiNTMtNDdjZS05Y2VjLTlkMDQwYjU5Njg5Yg.pdf,http://regnskaber.virk.dk/94053503/ZG9rdW1lbnRsYWdlcjovLzAzLzY5L2RmLzhlL2M2Lzc4MDgtNDE0Yy05MzZlLTRiMjdiMDA4ZDA0MQ.xml,Aarhus C,8000.0,e.,"BanegÃ¥rdsgade 16, 1","8230, ÃbyhÃ¸j","SÃ¸ren Frichs Vej, 36 L",ledelsen,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2014 for opfyldt.,2015-05-28,2015-05-28,2015-05-30,Andre eksterne omkostninger omfatter omkostninger til administration.,,30535049.0,25492145.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2014 for Remarc ApS.,Ãrsrapport,Knud Erik Timmermann,Kund Erik Timmermann,Remarc ApS,"BRANDT, Statsautoriseret Revisionspartnerselskab",Aarhus C,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aarhus C,2014-12-31,2014-01-01,2015-05-28,Aarhus C,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5492734,indberetninger-20180424,2.5097473,30535049,,2018-03-30T16:59:32.421Z,2015-06-10T12:17:40.869Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-46-XU,2015-06-10T12:17:40.960Z,-8110.0,-6593.0,9380.0,5160.0,-10813.0,-6593.0,-2703.0,,,,,,,,,,,,,,,,,
30535049,2013-01-01,2013-12-31,c742,,http://regnskaber.virk.dk/94053503/ZG9rdW1lbnRsYWdlcjovLzAzLzlhL2RiLzQ1L2IyL2JiNTMtNDdjZS05Y2VjLTlkMDQwYjU5Njg5Yg.pdf,http://regnskaber.virk.dk/94053503/ZG9rdW1lbnRsYWdlcjovLzAzLzY5L2RmLzhlL2M2Lzc4MDgtNDE0Yy05MzZlLTRiMjdiMDA4ZDA0MQ.xml,Aarhus C,8000.0,e.,"BanegÃ¥rdsgade 16, 1","8230, ÃbyhÃ¸j","SÃ¸ren Frichs Vej, 36 L",ledelsen,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2014 for opfyldt.,2015-05-28,2015-05-28,2015-05-30,Andre eksterne omkostninger omfatter omkostninger til administration.,,30535049.0,25492145.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2014 for Remarc ApS.,Ãrsrapport,Knud Erik Timmermann,Kund Erik Timmermann,Remarc ApS,"BRANDT, Statsautoriseret Revisionspartnerselskab",Aarhus C,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aarhus C,2014-12-31,2014-01-01,2015-05-28,Aarhus C,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5492734,indberetninger-20180424,2.5097473,30535049,,2018-03-30T16:59:32.421Z,2015-06-10T12:17:40.869Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-46-XU,2015-06-10T12:17:40.960Z,-8110.0,,,,,,,,,,,,,,,,,,,,,,,
30535049,2013-12-31,2013-12-31,c4,,http://regnskaber.virk.dk/94053503/ZG9rdW1lbnRsYWdlcjovLzAzLzlhL2RiLzQ1L2IyL2JiNTMtNDdjZS05Y2VjLTlkMDQwYjU5Njg5Yg.pdf,http://regnskaber.virk.dk/94053503/ZG9rdW1lbnRsYWdlcjovLzAzLzY5L2RmLzhlL2M2Lzc4MDgtNDE0Yy05MzZlLTRiMjdiMDA4ZDA0MQ.xml,Aarhus C,8000.0,e.,"BanegÃ¥rdsgade 16, 1","8230, ÃbyhÃ¸j","SÃ¸ren Frichs Vej, 36 L",ledelsen,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2014 for opfyldt.,2015-05-28,2015-05-28,2015-05-30,Andre eksterne omkostninger omfatter omkostninger til administration.,-86317.0,30535049.0,25492145.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2014 for Remarc ApS.,Ãrsrapport,Knud Erik Timmermann,Kund Erik Timmermann,Remarc ApS,"BRANDT, Statsautoriseret Revisionspartnerselskab",Aarhus C,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aarhus C,2014-12-31,2014-01-01,2015-05-28,Aarhus C,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5492734,indberetninger-20180424,2.5097473,30535049,,2018-03-30T16:59:32.421Z,2015-06-10T12:17:40.869Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-46-XU,2015-06-10T12:17:40.960Z,,,,,,,,113212.0,8225.0,125000.0,113212.0,4987.0,0.0,113212.0,199529.0,0.0,199529.0,100000.0,-211317.0,0.0,199529.0,104987.0,0.0,0.0
30535049,2013-12-31,2013-12-31,c722,,http://regnskaber.virk.dk/94053503/ZG9rdW1lbnRsYWdlcjovLzAzLzlhL2RiLzQ1L2IyL2JiNTMtNDdjZS05Y2VjLTlkMDQwYjU5Njg5Yg.pdf,http://regnskaber.virk.dk/94053503/ZG9rdW1lbnRsYWdlcjovLzAzLzY5L2RmLzhlL2M2Lzc4MDgtNDE0Yy05MzZlLTRiMjdiMDA4ZDA0MQ.xml,Aarhus C,8000.0,e.,"BanegÃ¥rdsgade 16, 1","8230, ÃbyhÃ¸j","SÃ¸ren Frichs Vej, 36 L",ledelsen,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2014 for opfyldt.,2015-05-28,2015-05-28,2015-05-30,Andre eksterne omkostninger omfatter omkostninger til administration.,125000.0,30535049.0,25492145.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2014 for Remarc ApS.,Ãrsrapport,Knud Erik Timmermann,Kund Erik Timmermann,Remarc ApS,"BRANDT, Statsautoriseret Revisionspartnerselskab",Aarhus C,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aarhus C,2014-12-31,2014-01-01,2015-05-28,Aarhus C,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5492734,indberetninger-20180424,2.5097473,30535049,,2018-03-30T16:59:32.421Z,2015-06-10T12:17:40.869Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-46-XU,2015-06-10T12:17:40.960Z,,,,,,,,,,,,,,,,,,,,,,,,
30535049,2013-12-31,2013-12-31,c743,,http://regnskaber.virk.dk/94053503/ZG9rdW1lbnRsYWdlcjovLzAzLzlhL2RiLzQ1L2IyL2JiNTMtNDdjZS05Y2VjLTlkMDQwYjU5Njg5Yg.pdf,http://regnskaber.virk.dk/94053503/ZG9rdW1lbnRsYWdlcjovLzAzLzY5L2RmLzhlL2M2Lzc4MDgtNDE0Yy05MzZlLTRiMjdiMDA4ZDA0MQ.xml,Aarhus C,8000.0,e.,"BanegÃ¥rdsgade 16, 1","8230, ÃbyhÃ¸j","SÃ¸ren Frichs Vej, 36 L",ledelsen,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2014 for opfyldt.,2015-05-28,2015-05-28,2015-05-30,Andre eksterne omkostninger omfatter omkostninger til administration.,-211317.0,30535049.0,25492145.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2014 for Remarc ApS.,Ãrsrapport,Knud Erik Timmermann,Kund Erik Timmermann,Remarc ApS,"BRANDT, Statsautoriseret Revisionspartnerselskab",Aarhus C,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aarhus C,2014-12-31,2014-01-01,2015-05-28,Aarhus C,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5492734,indberetninger-20180424,2.5097473,30535049,,2018-03-30T16:59:32.421Z,2015-06-10T12:17:40.869Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-46-XU,2015-06-10T12:17:40.960Z,,,,,,,,,,,,,,,,,,,,,,,,
30535049,2014-01-01,2014-01-01,c181,,http://regnskaber.virk.dk/94053503/ZG9rdW1lbnRsYWdlcjovLzAzLzlhL2RiLzQ1L2IyL2JiNTMtNDdjZS05Y2VjLTlkMDQwYjU5Njg5Yg.pdf,http://regnskaber.virk.dk/94053503/ZG9rdW1lbnRsYWdlcjovLzAzLzY5L2RmLzhlL2M2Lzc4MDgtNDE0Yy05MzZlLTRiMjdiMDA4ZDA0MQ.xml,Aarhus C,8000.0,e.,"BanegÃ¥rdsgade 16, 1","8230, ÃbyhÃ¸j","SÃ¸ren Frichs Vej, 36 L",ledelsen,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2014 for opfyldt.,2015-05-28,2015-05-28,2015-05-30,Andre eksterne omkostninger omfatter omkostninger til administration.,125000.0,30535049.0,25492145.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2014 for Remarc ApS.,Ãrsrapport,Knud Erik Timmermann,Kund Erik Timmermann,Remarc ApS,"BRANDT, Statsautoriseret Revisionspartnerselskab",Aarhus C,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aarhus C,2014-12-31,2014-01-01,2015-05-28,Aarhus C,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5492734,indberetninger-20180424,2.5097473,30535049,,2018-03-30T16:59:32.421Z,2015-06-10T12:17:40.869Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-46-XU,2015-06-10T12:17:40.960Z,,,,,,,,,,,,,,,,,,,,,,,,
30535049,2014-01-01,2014-01-01,c199,,http://regnskaber.virk.dk/94053503/ZG9rdW1lbnRsYWdlcjovLzAzLzlhL2RiLzQ1L2IyL2JiNTMtNDdjZS05Y2VjLTlkMDQwYjU5Njg5Yg.pdf,http://regnskaber.virk.dk/94053503/ZG9rdW1lbnRsYWdlcjovLzAzLzY5L2RmLzhlL2M2Lzc4MDgtNDE0Yy05MzZlLTRiMjdiMDA4ZDA0MQ.xml,Aarhus C,8000.0,e.,"BanegÃ¥rdsgade 16, 1","8230, ÃbyhÃ¸j","SÃ¸ren Frichs Vej, 36 L",ledelsen,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2014 for opfyldt.,2015-05-28,2015-05-28,2015-05-30,Andre eksterne omkostninger omfatter omkostninger til administration.,-211317.0,30535049.0,25492145.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2014 for Remarc ApS.,Ãrsrapport,Knud Erik Timmermann,Kund Erik Timmermann,Remarc ApS,"BRANDT, Statsautoriseret Revisionspartnerselskab",Aarhus C,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Aarhus C,2014-12-31,2014-01-01,2015-05-28,Aarhus C,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5492734,indberetninger-20180424,2.5097473,30535049,,2018-03-30T16:59:32.421Z,2015-06-10T12:17:40.869Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-46-XU,2015-06-10T12:17:40.960Z,,,,,,,,,,,,,,,,,,,,,,,,
