entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,Assets,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,EmailOfReportingEntity,Equity,IdentificationNumberCvrOfReportingEntity,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,LiabilitiesAndEquity,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfReportingEntity,NameOfSubmittingEnterprise,ProfitLoss,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,TelephoneNumberOfReportingEntity,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,NameAndSurnameOfMemberOfExecutiveBoard
16563579,2013-07-01,2014-06-30,ID_0,http://regnskaber.virk.dk/97536561/Y3ZyLmRrOi8vcGRmcy8xNjU2MzU3OTtBcFMyMDk3ODA7MjAxMzA3MDE7MjAxNDA2MzA7UjtS.pdf,http://regnskaber.virk.dk/97536561/Y3ZyLmRrOi8veGJybHMvWC1ENTdGRThDMC0yMDE1MDEwN18xOTQwMDdfNzE0.xml,"2840, Holte",Gammel Holtevej 101,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2013 - 30. juni 2014.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",1992-10-30,2015-01-07,revision@wyrwik.dk,0.0,16563579.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2013 - 30. juni 2014 for WYRWIK Statsautoriseret Revisionsanpartsselskab.,Ãrsrapport,0.0,Lisbeth Wyrwik,WYRWIK Statsautoriseret Revisionsanpartsselskab,Lisbeth Wyrwik,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"223, HÃ¸rsholm",2014-06-30,2013-07-01,4517 0000,Ingen bistand,urn:ofk:oid:11707931,indberetninger-20180424,2.5117111,16563579.0,,2018-03-30T07:43:59.960Z,2015-01-07T23:00:00.000Z,regnskab,0.0,,2014-06-30,2013-07-01,14-276.228,2015-01-07T23:00:00.000Z,
16563579,2013-07-01,2014-06-30,ID_1,http://regnskaber.virk.dk/97536561/Y3ZyLmRrOi8vcGRmcy8xNjU2MzU3OTtBcFMyMDk3ODA7MjAxMzA3MDE7MjAxNDA2MzA7UjtS.pdf,http://regnskaber.virk.dk/97536561/Y3ZyLmRrOi8veGJybHMvWC1ENTdGRThDMC0yMDE1MDEwN18xOTQwMDdfNzE0.xml,"2840, Holte",Gammel Holtevej 101,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2013 - 30. juni 2014.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",1992-10-30,2015-01-07,revision@wyrwik.dk,0.0,16563579.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2013 - 30. juni 2014 for WYRWIK Statsautoriseret Revisionsanpartsselskab.,Ãrsrapport,0.0,Lisbeth Wyrwik,WYRWIK Statsautoriseret Revisionsanpartsselskab,Lisbeth Wyrwik,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"223, HÃ¸rsholm",2014-06-30,2013-07-01,4517 0000,Ingen bistand,urn:ofk:oid:11707931,indberetninger-20180424,2.5117111,16563579.0,,2018-03-30T07:43:59.960Z,2015-01-07T23:00:00.000Z,regnskab,0.0,,2014-06-30,2013-07-01,14-276.228,2015-01-07T23:00:00.000Z,Lisbeth Wyrwik
16563579,2013-07-01,2014-06-30,ID_10,http://regnskaber.virk.dk/97536561/Y3ZyLmRrOi8vcGRmcy8xNjU2MzU3OTtBcFMyMDk3ODA7MjAxMzA3MDE7MjAxNDA2MzA7UjtS.pdf,http://regnskaber.virk.dk/97536561/Y3ZyLmRrOi8veGJybHMvWC1ENTdGRThDMC0yMDE1MDEwN18xOTQwMDdfNzE0.xml,"2840, Holte",Gammel Holtevej 101,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2013 - 30. juni 2014.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",1992-10-30,2015-01-07,revision@wyrwik.dk,0.0,16563579.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2013 - 30. juni 2014 for WYRWIK Statsautoriseret Revisionsanpartsselskab.,Ãrsrapport,0.0,Lisbeth Wyrwik,WYRWIK Statsautoriseret Revisionsanpartsselskab,Lisbeth Wyrwik,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"223, HÃ¸rsholm",2014-06-30,2013-07-01,4517 0000,Ingen bistand,urn:ofk:oid:11707931,indberetninger-20180424,2.5117111,16563579.0,,2018-03-30T07:43:59.960Z,2015-01-07T23:00:00.000Z,regnskab,0.0,,2014-06-30,2013-07-01,14-276.228,2015-01-07T23:00:00.000Z,
16563579,2013-07-01,2014-06-30,ID_2,http://regnskaber.virk.dk/97536561/Y3ZyLmRrOi8vcGRmcy8xNjU2MzU3OTtBcFMyMDk3ODA7MjAxMzA3MDE7MjAxNDA2MzA7UjtS.pdf,http://regnskaber.virk.dk/97536561/Y3ZyLmRrOi8veGJybHMvWC1ENTdGRThDMC0yMDE1MDEwN18xOTQwMDdfNzE0.xml,"2840, Holte",Gammel Holtevej 101,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2013 - 30. juni 2014.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",1992-10-30,2015-01-07,revision@wyrwik.dk,0.0,16563579.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2013 - 30. juni 2014 for WYRWIK Statsautoriseret Revisionsanpartsselskab.,Ãrsrapport,0.0,Lisbeth Wyrwik,WYRWIK Statsautoriseret Revisionsanpartsselskab,Lisbeth Wyrwik,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"223, HÃ¸rsholm",2014-06-30,2013-07-01,4517 0000,Ingen bistand,urn:ofk:oid:11707931,indberetninger-20180424,2.5117111,16563579.0,,2018-03-30T07:43:59.960Z,2015-01-07T23:00:00.000Z,regnskab,0.0,,2014-06-30,2013-07-01,14-276.228,2015-01-07T23:00:00.000Z,
16563579,2013-07-01,2014-06-30,ID_3,http://regnskaber.virk.dk/97536561/Y3ZyLmRrOi8vcGRmcy8xNjU2MzU3OTtBcFMyMDk3ODA7MjAxMzA3MDE7MjAxNDA2MzA7UjtS.pdf,http://regnskaber.virk.dk/97536561/Y3ZyLmRrOi8veGJybHMvWC1ENTdGRThDMC0yMDE1MDEwN18xOTQwMDdfNzE0.xml,"2840, Holte",Gammel Holtevej 101,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2013 - 30. juni 2014.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",1992-10-30,2015-01-07,revision@wyrwik.dk,0.0,16563579.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2013 - 30. juni 2014 for WYRWIK Statsautoriseret Revisionsanpartsselskab.,Ãrsrapport,0.0,Lisbeth Wyrwik,WYRWIK Statsautoriseret Revisionsanpartsselskab,Lisbeth Wyrwik,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"223, HÃ¸rsholm",2014-06-30,2013-07-01,4517 0000,Ingen bistand,urn:ofk:oid:11707931,indberetninger-20180424,2.5117111,16563579.0,,2018-03-30T07:43:59.960Z,2015-01-07T23:00:00.000Z,regnskab,0.0,,2014-06-30,2013-07-01,14-276.228,2015-01-07T23:00:00.000Z,
16563579,2013-07-01,2014-06-30,ID_4,http://regnskaber.virk.dk/97536561/Y3ZyLmRrOi8vcGRmcy8xNjU2MzU3OTtBcFMyMDk3ODA7MjAxMzA3MDE7MjAxNDA2MzA7UjtS.pdf,http://regnskaber.virk.dk/97536561/Y3ZyLmRrOi8veGJybHMvWC1ENTdGRThDMC0yMDE1MDEwN18xOTQwMDdfNzE0.xml,"2840, Holte",Gammel Holtevej 101,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2013 - 30. juni 2014.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",1992-10-30,2015-01-07,revision@wyrwik.dk,0.0,16563579.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2013 - 30. juni 2014 for WYRWIK Statsautoriseret Revisionsanpartsselskab.,Ãrsrapport,0.0,Lisbeth Wyrwik,WYRWIK Statsautoriseret Revisionsanpartsselskab,Lisbeth Wyrwik,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"223, HÃ¸rsholm",2014-06-30,2013-07-01,4517 0000,Ingen bistand,urn:ofk:oid:11707931,indberetninger-20180424,2.5117111,16563579.0,,2018-03-30T07:43:59.960Z,2015-01-07T23:00:00.000Z,regnskab,0.0,,2014-06-30,2013-07-01,14-276.228,2015-01-07T23:00:00.000Z,
16563579,2013-07-01,2014-06-30,ID_5,http://regnskaber.virk.dk/97536561/Y3ZyLmRrOi8vcGRmcy8xNjU2MzU3OTtBcFMyMDk3ODA7MjAxMzA3MDE7MjAxNDA2MzA7UjtS.pdf,http://regnskaber.virk.dk/97536561/Y3ZyLmRrOi8veGJybHMvWC1ENTdGRThDMC0yMDE1MDEwN18xOTQwMDdfNzE0.xml,"2840, Holte",Gammel Holtevej 101,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2013 - 30. juni 2014.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",1992-10-30,2015-01-07,revision@wyrwik.dk,0.0,16563579.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2013 - 30. juni 2014 for WYRWIK Statsautoriseret Revisionsanpartsselskab.,Ãrsrapport,0.0,Lisbeth Wyrwik,WYRWIK Statsautoriseret Revisionsanpartsselskab,Lisbeth Wyrwik,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"223, HÃ¸rsholm",2014-06-30,2013-07-01,4517 0000,Ingen bistand,urn:ofk:oid:11707931,indberetninger-20180424,2.5117111,16563579.0,,2018-03-30T07:43:59.960Z,2015-01-07T23:00:00.000Z,regnskab,0.0,,2014-06-30,2013-07-01,14-276.228,2015-01-07T23:00:00.000Z,
16563579,2013-07-01,2014-06-30,ID_6,http://regnskaber.virk.dk/97536561/Y3ZyLmRrOi8vcGRmcy8xNjU2MzU3OTtBcFMyMDk3ODA7MjAxMzA3MDE7MjAxNDA2MzA7UjtS.pdf,http://regnskaber.virk.dk/97536561/Y3ZyLmRrOi8veGJybHMvWC1ENTdGRThDMC0yMDE1MDEwN18xOTQwMDdfNzE0.xml,"2840, Holte",Gammel Holtevej 101,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2013 - 30. juni 2014.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",1992-10-30,2015-01-07,revision@wyrwik.dk,0.0,16563579.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2013 - 30. juni 2014 for WYRWIK Statsautoriseret Revisionsanpartsselskab.,Ãrsrapport,0.0,Lisbeth Wyrwik,WYRWIK Statsautoriseret Revisionsanpartsselskab,Lisbeth Wyrwik,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"223, HÃ¸rsholm",2014-06-30,2013-07-01,4517 0000,Ingen bistand,urn:ofk:oid:11707931,indberetninger-20180424,2.5117111,16563579.0,,2018-03-30T07:43:59.960Z,2015-01-07T23:00:00.000Z,regnskab,0.0,,2014-06-30,2013-07-01,14-276.228,2015-01-07T23:00:00.000Z,
16563579,2013-07-01,2014-06-30,ID_7,http://regnskaber.virk.dk/97536561/Y3ZyLmRrOi8vcGRmcy8xNjU2MzU3OTtBcFMyMDk3ODA7MjAxMzA3MDE7MjAxNDA2MzA7UjtS.pdf,http://regnskaber.virk.dk/97536561/Y3ZyLmRrOi8veGJybHMvWC1ENTdGRThDMC0yMDE1MDEwN18xOTQwMDdfNzE0.xml,"2840, Holte",Gammel Holtevej 101,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2013 - 30. juni 2014.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",1992-10-30,2015-01-07,revision@wyrwik.dk,0.0,16563579.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2013 - 30. juni 2014 for WYRWIK Statsautoriseret Revisionsanpartsselskab.,Ãrsrapport,0.0,Lisbeth Wyrwik,WYRWIK Statsautoriseret Revisionsanpartsselskab,Lisbeth Wyrwik,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"223, HÃ¸rsholm",2014-06-30,2013-07-01,4517 0000,Ingen bistand,urn:ofk:oid:11707931,indberetninger-20180424,2.5117111,16563579.0,,2018-03-30T07:43:59.960Z,2015-01-07T23:00:00.000Z,regnskab,0.0,,2014-06-30,2013-07-01,14-276.228,2015-01-07T23:00:00.000Z,
16563579,2013-07-01,2014-06-30,ID_8,http://regnskaber.virk.dk/97536561/Y3ZyLmRrOi8vcGRmcy8xNjU2MzU3OTtBcFMyMDk3ODA7MjAxMzA3MDE7MjAxNDA2MzA7UjtS.pdf,http://regnskaber.virk.dk/97536561/Y3ZyLmRrOi8veGJybHMvWC1ENTdGRThDMC0yMDE1MDEwN18xOTQwMDdfNzE0.xml,"2840, Holte",Gammel Holtevej 101,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2013 - 30. juni 2014.","Det er pÃ¥ generalforsamlingen vedtaget, at selskabets Ã¥rsregnskaber ikke skal revideres. Betingelserne for at undlade revision af Ã¥rsregnskabet er opfyldt.",1992-10-30,2015-01-07,revision@wyrwik.dk,0.0,16563579.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2013 - 30. juni 2014 for WYRWIK Statsautoriseret Revisionsanpartsselskab.,Ãrsrapport,0.0,Lisbeth Wyrwik,WYRWIK Statsautoriseret Revisionsanpartsselskab,Lisbeth Wyrwik,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"223, HÃ¸rsholm",2014-06-30,2013-07-01,4517 0000,Ingen bistand,urn:ofk:oid:11707931,indberetninger-20180424,2.5117111,16563579.0,,2018-03-30T07:43:59.960Z,2015-01-07T23:00:00.000Z,regnskab,0.0,,2014-06-30,2013-07-01,14-276.228,2015-01-07T23:00:00.000Z,
