entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfAuditorCountry,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,Equity,IdentificationNumberCvrOfReportingEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TitleOfMemberOfSupervisoryBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss,ValueAdjustmentsOfEquity,AdjustmentsForCurrentTaxOfPriorPeriod,AdjustmentsForDeferredTax,CurrentTaxExpense,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,GrossProfitLoss,IncomeFromInvestmentsInGroupEnterprises,InterestIncomeFromGroupEnterprises,OtherFinanceExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpense,TaxExpenseOnOrdinaryActivities,LongtermLiabilitiesOtherThanProvisions,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,FixturesFittingsToolsAndEquipment,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermEquityLoan,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,OtherShorttermPayables,PropertyPlantAndEquipment,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTradePayables,PlaceOfSignatureOfStatement,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,DescriptionOfAuditor,NameAndSurnameOfAuditor,NameOfAuditFirm,IncreaseOfCapital,NameAndSurnameOfMemberOfSupervisoryBoard,RelatedEntityName,RelatedEntityRegisteredOffice,ShareHeldByEntityOrConsolidatedEnterprisesInRelatedEntity
31755387,2014-01-01,2014-01-01,c244,,http://regnskaber.virk.dk/78355713/ZG9rdW1lbnRsYWdlcjovLzAzL2M5L2M2L2MxLzQ0LzY1MDItNDVjOS1hOWRiLTk4Y2M4YjgwM2E2NA.pdf,http://regnskaber.virk.dk/78355713/ZG9rdW1lbnRsYWdlcjovLzAzL2RiLzQ1LzM1L2RhLzljM2YtNDFiYy05Mjc4LTk2MDVjMjEyNDViNQ.xml,Danmark,Bramming,6740.0,62.0,Industrivej,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2016-05-05,2016-05-05,225000.0,31755387.0,Ãrsrapport,Scott Gatje,Arvid Nielsen,Sydbank,Ice Blasting Holding ApS,Beierholm,Esbjerg,2015-12-31,2015-01-01,2016-05-05,Frederikshavn,Formand / Chairman,RevisionspÃ¥tegning,urn:ofk:oid:22685647,indberetninger-20180424,2.5124327999999996,31755387.0,,2018-03-29T06:55:12.459Z,2016-06-14T09:16:06.380Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AZ-49-QL,2016-06-14T09:16:06.572Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31755387,2014-01-01,2014-01-01,c265,,http://regnskaber.virk.dk/78355713/ZG9rdW1lbnRsYWdlcjovLzAzL2M5L2M2L2MxLzQ0LzY1MDItNDVjOS1hOWRiLTk4Y2M4YjgwM2E2NA.pdf,http://regnskaber.virk.dk/78355713/ZG9rdW1lbnRsYWdlcjovLzAzL2RiLzQ1LzM1L2RhLzljM2YtNDFiYy05Mjc4LTk2MDVjMjEyNDViNQ.xml,Danmark,Bramming,6740.0,62.0,Industrivej,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2016-05-05,2016-05-05,0.0,31755387.0,Ãrsrapport,Scott Gatje,Arvid Nielsen,Sydbank,Ice Blasting Holding ApS,Beierholm,Esbjerg,2015-12-31,2015-01-01,2016-05-05,Frederikshavn,Formand / Chairman,RevisionspÃ¥tegning,urn:ofk:oid:22685647,indberetninger-20180424,2.5124327999999996,31755387.0,,2018-03-29T06:55:12.459Z,2016-06-14T09:16:06.380Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AZ-49-QL,2016-06-14T09:16:06.572Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31755387,2014-01-01,2014-01-01,c289,,http://regnskaber.virk.dk/78355713/ZG9rdW1lbnRsYWdlcjovLzAzL2M5L2M2L2MxLzQ0LzY1MDItNDVjOS1hOWRiLTk4Y2M4YjgwM2E2NA.pdf,http://regnskaber.virk.dk/78355713/ZG9rdW1lbnRsYWdlcjovLzAzL2RiLzQ1LzM1L2RhLzljM2YtNDFiYy05Mjc4LTk2MDVjMjEyNDViNQ.xml,Danmark,Bramming,6740.0,62.0,Industrivej,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2016-05-05,2016-05-05,-236203.0,31755387.0,Ãrsrapport,Scott Gatje,Arvid Nielsen,Sydbank,Ice Blasting Holding ApS,Beierholm,Esbjerg,2015-12-31,2015-01-01,2016-05-05,Frederikshavn,Formand / Chairman,RevisionspÃ¥tegning,urn:ofk:oid:22685647,indberetninger-20180424,2.5124327999999996,31755387.0,,2018-03-29T06:55:12.459Z,2016-06-14T09:16:06.380Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AZ-49-QL,2016-06-14T09:16:06.572Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31755387,2014-01-01,2014-12-31,c168,,http://regnskaber.virk.dk/78355713/ZG9rdW1lbnRsYWdlcjovLzAzL2M5L2M2L2MxLzQ0LzY1MDItNDVjOS1hOWRiLTk4Y2M4YjgwM2E2NA.pdf,http://regnskaber.virk.dk/78355713/ZG9rdW1lbnRsYWdlcjovLzAzL2RiLzQ1LzM1L2RhLzljM2YtNDFiYy05Mjc4LTk2MDVjMjEyNDViNQ.xml,Danmark,Bramming,6740.0,62.0,Industrivej,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2016-05-05,2016-05-05,,31755387.0,Ãrsrapport,Scott Gatje,Arvid Nielsen,Sydbank,Ice Blasting Holding ApS,Beierholm,Esbjerg,2015-12-31,2015-01-01,2016-05-05,Frederikshavn,Formand / Chairman,RevisionspÃ¥tegning,urn:ofk:oid:22685647,indberetninger-20180424,2.5124327999999996,31755387.0,,2018-03-29T06:55:12.459Z,2016-06-14T09:16:06.380Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AZ-49-QL,2016-06-14T09:16:06.572Z,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31755387,2014-01-01,2014-12-31,c180,,http://regnskaber.virk.dk/78355713/ZG9rdW1lbnRsYWdlcjovLzAzL2M5L2M2L2MxLzQ0LzY1MDItNDVjOS1hOWRiLTk4Y2M4YjgwM2E2NA.pdf,http://regnskaber.virk.dk/78355713/ZG9rdW1lbnRsYWdlcjovLzAzL2RiLzQ1LzM1L2RhLzljM2YtNDFiYy05Mjc4LTk2MDVjMjEyNDViNQ.xml,Danmark,Bramming,6740.0,62.0,Industrivej,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2016-05-05,2016-05-05,,31755387.0,Ãrsrapport,Scott Gatje,Arvid Nielsen,Sydbank,Ice Blasting Holding ApS,Beierholm,Esbjerg,2015-12-31,2015-01-01,2016-05-05,Frederikshavn,Formand / Chairman,RevisionspÃ¥tegning,urn:ofk:oid:22685647,indberetninger-20180424,2.5124327999999996,31755387.0,,2018-03-29T06:55:12.459Z,2016-06-14T09:16:06.380Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AZ-49-QL,2016-06-14T09:16:06.572Z,-135620.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31755387,2014-01-01,2014-12-31,c245,,http://regnskaber.virk.dk/78355713/ZG9rdW1lbnRsYWdlcjovLzAzL2M5L2M2L2MxLzQ0LzY1MDItNDVjOS1hOWRiLTk4Y2M4YjgwM2E2NA.pdf,http://regnskaber.virk.dk/78355713/ZG9rdW1lbnRsYWdlcjovLzAzL2RiLzQ1LzM1L2RhLzljM2YtNDFiYy05Mjc4LTk2MDVjMjEyNDViNQ.xml,Danmark,Bramming,6740.0,62.0,Industrivej,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2016-05-05,2016-05-05,,31755387.0,Ãrsrapport,Scott Gatje,Arvid Nielsen,Sydbank,Ice Blasting Holding ApS,Beierholm,Esbjerg,2015-12-31,2015-01-01,2016-05-05,Frederikshavn,Formand / Chairman,RevisionspÃ¥tegning,urn:ofk:oid:22685647,indberetninger-20180424,2.5124327999999996,31755387.0,,2018-03-29T06:55:12.459Z,2016-06-14T09:16:06.380Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AZ-49-QL,2016-06-14T09:16:06.572Z,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31755387,2014-01-01,2014-12-31,c278,,http://regnskaber.virk.dk/78355713/ZG9rdW1lbnRsYWdlcjovLzAzL2M5L2M2L2MxLzQ0LzY1MDItNDVjOS1hOWRiLTk4Y2M4YjgwM2E2NA.pdf,http://regnskaber.virk.dk/78355713/ZG9rdW1lbnRsYWdlcjovLzAzL2RiLzQ1LzM1L2RhLzljM2YtNDFiYy05Mjc4LTk2MDVjMjEyNDViNQ.xml,Danmark,Bramming,6740.0,62.0,Industrivej,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2016-05-05,2016-05-05,,31755387.0,Ãrsrapport,Scott Gatje,Arvid Nielsen,Sydbank,Ice Blasting Holding ApS,Beierholm,Esbjerg,2015-12-31,2015-01-01,2016-05-05,Frederikshavn,Formand / Chairman,RevisionspÃ¥tegning,urn:ofk:oid:22685647,indberetninger-20180424,2.5124327999999996,31755387.0,,2018-03-29T06:55:12.459Z,2016-06-14T09:16:06.380Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AZ-49-QL,2016-06-14T09:16:06.572Z,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31755387,2014-01-01,2014-12-31,c290,,http://regnskaber.virk.dk/78355713/ZG9rdW1lbnRsYWdlcjovLzAzL2M5L2M2L2MxLzQ0LzY1MDItNDVjOS1hOWRiLTk4Y2M4YjgwM2E2NA.pdf,http://regnskaber.virk.dk/78355713/ZG9rdW1lbnRsYWdlcjovLzAzL2RiLzQ1LzM1L2RhLzljM2YtNDFiYy05Mjc4LTk2MDVjMjEyNDViNQ.xml,Danmark,Bramming,6740.0,62.0,Industrivej,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2016-05-05,2016-05-05,,31755387.0,Ãrsrapport,Scott Gatje,Arvid Nielsen,Sydbank,Ice Blasting Holding ApS,Beierholm,Esbjerg,2015-12-31,2015-01-01,2016-05-05,Frederikshavn,Formand / Chairman,RevisionspÃ¥tegning,urn:ofk:oid:22685647,indberetninger-20180424,2.5124327999999996,31755387.0,,2018-03-29T06:55:12.459Z,2016-06-14T09:16:06.380Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AZ-49-QL,2016-06-14T09:16:06.572Z,-135620.0,-128623.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31755387,2014-01-01,2014-12-31,c4,,http://regnskaber.virk.dk/78355713/ZG9rdW1lbnRsYWdlcjovLzAzL2M5L2M2L2MxLzQ0LzY1MDItNDVjOS1hOWRiLTk4Y2M4YjgwM2E2NA.pdf,http://regnskaber.virk.dk/78355713/ZG9rdW1lbnRsYWdlcjovLzAzL2RiLzQ1LzM1L2RhLzljM2YtNDFiYy05Mjc4LTk2MDVjMjEyNDViNQ.xml,Danmark,Bramming,6740.0,62.0,Industrivej,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2016-05-05,2016-05-05,,31755387.0,Ãrsrapport,Scott Gatje,Arvid Nielsen,Sydbank,Ice Blasting Holding ApS,Beierholm,Esbjerg,2015-12-31,2015-01-01,2016-05-05,Frederikshavn,Formand / Chairman,RevisionspÃ¥tegning,urn:ofk:oid:22685647,indberetninger-20180424,2.5124327999999996,31755387.0,,2018-03-29T06:55:12.459Z,2016-06-14T09:16:06.380Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AZ-49-QL,2016-06-14T09:16:06.572Z,-135620.0,,298.0,-19000.0,-53000.0,50000.0,18599.0,94075.0,243104.0,513100.0,243104.0,-207322.0,-31401.0,-71702.0,-71702.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31755387,2014-12-31,2014-12-31,c418,,http://regnskaber.virk.dk/78355713/ZG9rdW1lbnRsYWdlcjovLzAzL2M5L2M2L2MxLzQ0LzY1MDItNDVjOS1hOWRiLTk4Y2M4YjgwM2E2NA.pdf,http://regnskaber.virk.dk/78355713/ZG9rdW1lbnRsYWdlcjovLzAzL2RiLzQ1LzM1L2RhLzljM2YtNDFiYy05Mjc4LTk2MDVjMjEyNDViNQ.xml,Danmark,Bramming,6740.0,62.0,Industrivej,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2016-05-05,2016-05-05,,31755387.0,Ãrsrapport,Scott Gatje,Arvid Nielsen,Sydbank,Ice Blasting Holding ApS,Beierholm,Esbjerg,2015-12-31,2015-01-01,2016-05-05,Frederikshavn,Formand / Chairman,RevisionspÃ¥tegning,urn:ofk:oid:22685647,indberetninger-20180424,2.5124327999999996,31755387.0,,2018-03-29T06:55:12.459Z,2016-06-14T09:16:06.380Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AZ-49-QL,2016-06-14T09:16:06.572Z,,,,,,,,,,,,,,,,6000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
