entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfFinancialCountry,AddressOfFinancialCountryIdentificationCode,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DisclosureOfContingentLiabilities,DisclosureOfMortgagesAndCollaterals,EmployeeBenefitsExpense,GrossResult,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,TaxExpense,TelephoneNumberOfReportingEntity,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,Equity,Inventories,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,OtherReserves,OtherShorttermReceivables,RawMaterialsAndConsumables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTradePayables,NameAndSurnameOfMemberOfExecutiveBoard,TitleOfMemberOfExecutiveBoard
36404965,2014-10-01,2015-12-31,c5,http://regnskaber.virk.dk/56940463/ZG9rdW1lbnRsYWdlcjovLzAzLzg3LzI3L2JhL2IyLzk1ZTMtNDUyMC1iMTAxLTU1ODliZmFiNzU3YQ.xhtml,http://regnskaber.virk.dk/56940463/ZG9rdW1lbnRsYWdlcjovLzAzLzExL2IyLzQwL2IwLzcwNjctNGUzZi05ZjgzLWMyZTA1NWZjOGZjNA.pdf,http://regnskaber.virk.dk/56940463/ZG9rdW1lbnRsYWdlcjovLzAzL2QyLzAxLzZiLzRmL2JkODMtNGFkMS1iYmE1LTBkZmEyMDNmZDVmZQ.xml,true,Danmark,DK,NÃ¸rre Aaby,5580.0,2.0,KlÃ¸vermarken,5220  Odense SÃ,Peter Willemoes Vej 97,Regnskabsklasse B,2017-06-21,2017-06-21,0.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",0.0,-27501.0,36404965.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jens Christian Rasmussen,Middelfart Sparekasse,MIOT ApS,Regnskabskontoret Center Syddanmark,2576.0,Middelfart,2014-10-01,2015-12-31,-23009.0,-30077.0,-27501.0,2016-12-31,2016-01-01,false,false,-7068.0,51895631.0,false,false,Ingen bistand,urn:ofk:oid:24288600,indberetninger-20180424,2.5955422,36404965.0,,2018-03-29T18:08:11.507Z,2017-06-23T13:50:47.467Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-73-HY,2017-06-23T13:50:47.845Z,,,,,,,,,,,,,,,,,,
36404965,2014-10-01,2015-12-31,c7,http://regnskaber.virk.dk/56940463/ZG9rdW1lbnRsYWdlcjovLzAzLzg3LzI3L2JhL2IyLzk1ZTMtNDUyMC1iMTAxLTU1ODliZmFiNzU3YQ.xhtml,http://regnskaber.virk.dk/56940463/ZG9rdW1lbnRsYWdlcjovLzAzLzExL2IyLzQwL2IwLzcwNjctNGUzZi05ZjgzLWMyZTA1NWZjOGZjNA.pdf,http://regnskaber.virk.dk/56940463/ZG9rdW1lbnRsYWdlcjovLzAzL2QyLzAxLzZiLzRmL2JkODMtNGFkMS1iYmE1LTBkZmEyMDNmZDVmZQ.xml,true,Danmark,DK,NÃ¸rre Aaby,5580.0,2.0,KlÃ¸vermarken,5220  Odense SÃ,Peter Willemoes Vej 97,Regnskabsklasse B,2017-06-21,2017-06-21,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,36404965.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jens Christian Rasmussen,Middelfart Sparekasse,MIOT ApS,Regnskabskontoret Center Syddanmark,,Middelfart,2014-10-01,2015-12-31,-23009.0,,,2016-12-31,2016-01-01,false,false,,51895631.0,false,false,Ingen bistand,urn:ofk:oid:24288600,indberetninger-20180424,2.5955422,36404965.0,,2018-03-29T18:08:11.507Z,2017-06-23T13:50:47.467Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-73-HY,2017-06-23T13:50:47.845Z,,,,,,,,,,,,,,,,,,
36404965,2015-12-31,2015-12-31,c9,http://regnskaber.virk.dk/56940463/ZG9rdW1lbnRsYWdlcjovLzAzLzg3LzI3L2JhL2IyLzk1ZTMtNDUyMC1iMTAxLTU1ODliZmFiNzU3YQ.xhtml,http://regnskaber.virk.dk/56940463/ZG9rdW1lbnRsYWdlcjovLzAzLzExL2IyLzQwL2IwLzcwNjctNGUzZi05ZjgzLWMyZTA1NWZjOGZjNA.pdf,http://regnskaber.virk.dk/56940463/ZG9rdW1lbnRsYWdlcjovLzAzL2QyLzAxLzZiLzRmL2JkODMtNGFkMS1iYmE1LTBkZmEyMDNmZDVmZQ.xml,true,Danmark,DK,NÃ¸rre Aaby,5580.0,2.0,KlÃ¸vermarken,5220  Odense SÃ,Peter Willemoes Vej 97,Regnskabsklasse B,2017-06-21,2017-06-21,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,36404965.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jens Christian Rasmussen,Middelfart Sparekasse,MIOT ApS,Regnskabskontoret Center Syddanmark,,Middelfart,2014-10-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,,51895631.0,false,false,Ingen bistand,urn:ofk:oid:24288600,indberetninger-20180424,2.5955422,36404965.0,,2018-03-29T18:08:11.507Z,2017-06-23T13:50:47.467Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-73-HY,2017-06-23T13:50:47.845Z,36911.0,16770.0,50000.0,36911.0,7068.0,36911.0,12820.0,36911.0,0.0,9920.0,253.0,12820.0,-23009.0,0.0,7321.0,0.0,,
36404965,2016-01-01,2016-12-31,c0,http://regnskaber.virk.dk/56940463/ZG9rdW1lbnRsYWdlcjovLzAzLzg3LzI3L2JhL2IyLzk1ZTMtNDUyMC1iMTAxLTU1ODliZmFiNzU3YQ.xhtml,http://regnskaber.virk.dk/56940463/ZG9rdW1lbnRsYWdlcjovLzAzLzExL2IyLzQwL2IwLzcwNjctNGUzZi05ZjgzLWMyZTA1NWZjOGZjNA.pdf,http://regnskaber.virk.dk/56940463/ZG9rdW1lbnRsYWdlcjovLzAzL2QyLzAxLzZiLzRmL2JkODMtNGFkMS1iYmE1LTBkZmEyMDNmZDVmZQ.xml,true,Danmark,DK,NÃ¸rre Aaby,5580.0,2.0,KlÃ¸vermarken,5220  Odense SÃ,Peter Willemoes Vej 97,Regnskabsklasse B,2017-06-21,2017-06-21,0.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",0.0,-5939.0,36404965.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jens Christian Rasmussen,Middelfart Sparekasse,MIOT ApS,Regnskabskontoret Center Syddanmark,1550.0,Middelfart,2014-10-01,2015-12-31,-5841.0,-7489.0,-5939.0,2016-12-31,2016-01-01,false,false,-1648.0,51895631.0,false,false,Ingen bistand,urn:ofk:oid:24288600,indberetninger-20180424,2.5955422,36404965.0,,2018-03-29T18:08:11.507Z,2017-06-23T13:50:47.467Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-73-HY,2017-06-23T13:50:47.845Z,,,,,,,,,,,,,,,,,,
36404965,2016-01-01,2016-12-31,c1,http://regnskaber.virk.dk/56940463/ZG9rdW1lbnRsYWdlcjovLzAzLzg3LzI3L2JhL2IyLzk1ZTMtNDUyMC1iMTAxLTU1ODliZmFiNzU3YQ.xhtml,http://regnskaber.virk.dk/56940463/ZG9rdW1lbnRsYWdlcjovLzAzLzExL2IyLzQwL2IwLzcwNjctNGUzZi05ZjgzLWMyZTA1NWZjOGZjNA.pdf,http://regnskaber.virk.dk/56940463/ZG9rdW1lbnRsYWdlcjovLzAzL2QyLzAxLzZiLzRmL2JkODMtNGFkMS1iYmE1LTBkZmEyMDNmZDVmZQ.xml,true,Danmark,DK,NÃ¸rre Aaby,5580.0,2.0,KlÃ¸vermarken,5220  Odense SÃ,Peter Willemoes Vej 97,Regnskabsklasse B,2017-06-21,2017-06-21,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,36404965.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jens Christian Rasmussen,Middelfart Sparekasse,MIOT ApS,Regnskabskontoret Center Syddanmark,,Middelfart,2014-10-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,,51895631.0,false,false,Ingen bistand,urn:ofk:oid:24288600,indberetninger-20180424,2.5955422,36404965.0,,2018-03-29T18:08:11.507Z,2017-06-23T13:50:47.467Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-73-HY,2017-06-23T13:50:47.845Z,,,,,,,,,,,,,,,,,Mikael Kragh Hansen,DirektÃ¸r
36404965,2016-01-01,2016-12-31,c2,http://regnskaber.virk.dk/56940463/ZG9rdW1lbnRsYWdlcjovLzAzLzg3LzI3L2JhL2IyLzk1ZTMtNDUyMC1iMTAxLTU1ODliZmFiNzU3YQ.xhtml,http://regnskaber.virk.dk/56940463/ZG9rdW1lbnRsYWdlcjovLzAzLzExL2IyLzQwL2IwLzcwNjctNGUzZi05ZjgzLWMyZTA1NWZjOGZjNA.pdf,http://regnskaber.virk.dk/56940463/ZG9rdW1lbnRsYWdlcjovLzAzL2QyLzAxLzZiLzRmL2JkODMtNGFkMS1iYmE1LTBkZmEyMDNmZDVmZQ.xml,true,Danmark,DK,NÃ¸rre Aaby,5580.0,2.0,KlÃ¸vermarken,5220  Odense SÃ,Peter Willemoes Vej 97,Regnskabsklasse B,2017-06-21,2017-06-21,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,36404965.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jens Christian Rasmussen,Middelfart Sparekasse,MIOT ApS,Regnskabskontoret Center Syddanmark,,Middelfart,2014-10-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,,51895631.0,false,false,Ingen bistand,urn:ofk:oid:24288600,indberetninger-20180424,2.5955422,36404965.0,,2018-03-29T18:08:11.507Z,2017-06-23T13:50:47.467Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-73-HY,2017-06-23T13:50:47.845Z,,,,,,,,,,,,,,,,,Kristian BÃ¸gh,DirektÃ¸r
36404965,2016-01-01,2016-12-31,c3,http://regnskaber.virk.dk/56940463/ZG9rdW1lbnRsYWdlcjovLzAzLzg3LzI3L2JhL2IyLzk1ZTMtNDUyMC1iMTAxLTU1ODliZmFiNzU3YQ.xhtml,http://regnskaber.virk.dk/56940463/ZG9rdW1lbnRsYWdlcjovLzAzLzExL2IyLzQwL2IwLzcwNjctNGUzZi05ZjgzLWMyZTA1NWZjOGZjNA.pdf,http://regnskaber.virk.dk/56940463/ZG9rdW1lbnRsYWdlcjovLzAzL2QyLzAxLzZiLzRmL2JkODMtNGFkMS1iYmE1LTBkZmEyMDNmZDVmZQ.xml,true,Danmark,DK,NÃ¸rre Aaby,5580.0,2.0,KlÃ¸vermarken,5220  Odense SÃ,Peter Willemoes Vej 97,Regnskabsklasse B,2017-06-21,2017-06-21,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,36404965.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jens Christian Rasmussen,Middelfart Sparekasse,MIOT ApS,Regnskabskontoret Center Syddanmark,,Middelfart,2014-10-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,,51895631.0,false,false,Ingen bistand,urn:ofk:oid:24288600,indberetninger-20180424,2.5955422,36404965.0,,2018-03-29T18:08:11.507Z,2017-06-23T13:50:47.467Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-73-HY,2017-06-23T13:50:47.845Z,,,,,,,,,,,,,,,,,RenÃ© Walenty Vaaben Patrzalek,DirektÃ¸r
36404965,2016-01-01,2016-12-31,c4,http://regnskaber.virk.dk/56940463/ZG9rdW1lbnRsYWdlcjovLzAzLzg3LzI3L2JhL2IyLzk1ZTMtNDUyMC1iMTAxLTU1ODliZmFiNzU3YQ.xhtml,http://regnskaber.virk.dk/56940463/ZG9rdW1lbnRsYWdlcjovLzAzLzExL2IyLzQwL2IwLzcwNjctNGUzZi05ZjgzLWMyZTA1NWZjOGZjNA.pdf,http://regnskaber.virk.dk/56940463/ZG9rdW1lbnRsYWdlcjovLzAzL2QyLzAxLzZiLzRmL2JkODMtNGFkMS1iYmE1LTBkZmEyMDNmZDVmZQ.xml,true,Danmark,DK,NÃ¸rre Aaby,5580.0,2.0,KlÃ¸vermarken,5220  Odense SÃ,Peter Willemoes Vej 97,Regnskabsklasse B,2017-06-21,2017-06-21,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,36404965.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jens Christian Rasmussen,Middelfart Sparekasse,MIOT ApS,Regnskabskontoret Center Syddanmark,,Middelfart,2014-10-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,,51895631.0,false,false,Ingen bistand,urn:ofk:oid:24288600,indberetninger-20180424,2.5955422,36404965.0,,2018-03-29T18:08:11.507Z,2017-06-23T13:50:47.467Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-73-HY,2017-06-23T13:50:47.845Z,,,,,,,,,,,,,,,,,Oliver Carabia Velasco,DirektÃ¸r
36404965,2016-01-01,2016-12-31,c6,http://regnskaber.virk.dk/56940463/ZG9rdW1lbnRsYWdlcjovLzAzLzg3LzI3L2JhL2IyLzk1ZTMtNDUyMC1iMTAxLTU1ODliZmFiNzU3YQ.xhtml,http://regnskaber.virk.dk/56940463/ZG9rdW1lbnRsYWdlcjovLzAzLzExL2IyLzQwL2IwLzcwNjctNGUzZi05ZjgzLWMyZTA1NWZjOGZjNA.pdf,http://regnskaber.virk.dk/56940463/ZG9rdW1lbnRsYWdlcjovLzAzL2QyLzAxLzZiLzRmL2JkODMtNGFkMS1iYmE1LTBkZmEyMDNmZDVmZQ.xml,true,Danmark,DK,NÃ¸rre Aaby,5580.0,2.0,KlÃ¸vermarken,5220  Odense SÃ,Peter Willemoes Vej 97,Regnskabsklasse B,2017-06-21,2017-06-21,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,36404965.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jens Christian Rasmussen,Middelfart Sparekasse,MIOT ApS,Regnskabskontoret Center Syddanmark,,Middelfart,2014-10-01,2015-12-31,-5841.0,,,2016-12-31,2016-01-01,false,false,,51895631.0,false,false,Ingen bistand,urn:ofk:oid:24288600,indberetninger-20180424,2.5955422,36404965.0,,2018-03-29T18:08:11.507Z,2017-06-23T13:50:47.467Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-73-HY,2017-06-23T13:50:47.845Z,,,,,,,,,,,,,,,,,,
36404965,2016-12-31,2016-12-31,c8,http://regnskaber.virk.dk/56940463/ZG9rdW1lbnRsYWdlcjovLzAzLzg3LzI3L2JhL2IyLzk1ZTMtNDUyMC1iMTAxLTU1ODliZmFiNzU3YQ.xhtml,http://regnskaber.virk.dk/56940463/ZG9rdW1lbnRsYWdlcjovLzAzLzExL2IyLzQwL2IwLzcwNjctNGUzZi05ZjgzLWMyZTA1NWZjOGZjNA.pdf,http://regnskaber.virk.dk/56940463/ZG9rdW1lbnRsYWdlcjovLzAzL2QyLzAxLzZiLzRmL2JkODMtNGFkMS1iYmE1LTBkZmEyMDNmZDVmZQ.xml,true,Danmark,DK,NÃ¸rre Aaby,5580.0,2.0,KlÃ¸vermarken,5220  Odense SÃ,Peter Willemoes Vej 97,Regnskabsklasse B,2017-06-21,2017-06-21,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,36404965.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jens Christian Rasmussen,Middelfart Sparekasse,MIOT ApS,Regnskabskontoret Center Syddanmark,,Middelfart,2014-10-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,,51895631.0,false,false,Ingen bistand,urn:ofk:oid:24288600,indberetninger-20180424,2.5955422,36404965.0,,2018-03-29T18:08:11.507Z,2017-06-23T13:50:47.467Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AN-73-HY,2017-06-23T13:50:47.845Z,33570.0,21537.0,50000.0,33570.0,8716.0,31070.0,1995.0,33570.0,2500.0,9920.0,1322.0,1995.0,-28850.0,2500.0,10038.0,2500.0,,
