entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AdditionsToPropertyPlantAndEquipment,AddressOfAuditorCountry,AddressOfAuditorPostcodeAndTown,AddressOfAuditorStreetAndNumber,AddressOfReportingEntityPostcodeAndTown,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DescriptionOfAuditor,Equity,IdentificationNumberCvrOfReportingEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfLawFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss,AdjustmentsForDeferredTax,CurrentTaxExpense,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,GrossProfitLoss,InterestExpenseAssignedToGroupEnterprises,OtherExternalExpenses,OtherFinanceExpenses,OtherFinanceIncome,OtherInterestExpenses,ProfitLossFromOrdinaryActivitiesBeforeTax,PropertyCost,Revenue,TaxExpense,TaxExpenseOnOrdinaryActivities,LongtermLiabilitiesOtherThanProvisions,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,DeferredIncomeAssets,InvestmentProperty,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermMortgageDebt,LongtermPayablesToGroupEnterprises,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,RetainedEarnings,ShorttermDeferredIncome,ShorttermLiabilitiesOtherThanProvisions,ShorttermPartOfLongtermLiabilitiesOtherThanProvisions,ShorttermPrepaymentsReceivedFromCustomers,ShorttermReceivables,ShorttermTaxReceivables,ShorttermTradePayables,ShorttermTradeReceivables,PropertyPlantAndEquipmentGross,NameAndSurnameOfAuditor,NameOfAuditFirm,NameAndSurnameOfMemberOfSupervisoryBoard,LongtermLiabilitiesOtherThanProvisionsDueAfterFiveYearsAndMore,LongtermLiabilitiesOtherThanProvisionsDueInOneYear
31083303,2011-01-01,2011-01-01,c244,http://regnskaber.virk.dk/30338013/Y3ZyLmRrOi8vcGRmcy8zMTA4MzMwMztBcFM0MTkwNDk7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/30338013/Y3ZyLmRrOi8veGJybHMvWC1GNzY5MUY0Ny0yMDEzMDUyOV8xODM4MTZfMzE5.xml,1131.0,Danmark,2100 KÃ¸benhavn Ã,Gribskovvej 2,3050 HumlebÃ¦k,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2013-05-01,2013-05-28,Statsaut. revisor,40000.0,31083303.0,Ãrsrapport,Thomas Monberg,Homann Advokater,Pre Real Estate Deutschland 15 ApS,Beierholm,KÃ¸benhavn,Fredensborg,2012-12-31,2012-01-01,2013-05-01,KÃ¸benhavn,urn:ofk:oid:19082998,indberetninger-20180424,2.5118417999999996,31083303.0,,2018-04-02T00:41:32.069Z,2013-05-30T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-111.810,2013-05-30T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31083303,2011-01-01,2011-01-01,c289,http://regnskaber.virk.dk/30338013/Y3ZyLmRrOi8vcGRmcy8zMTA4MzMwMztBcFM0MTkwNDk7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/30338013/Y3ZyLmRrOi8veGJybHMvWC1GNzY5MUY0Ny0yMDEzMDUyOV8xODM4MTZfMzE5.xml,1131.0,Danmark,2100 KÃ¸benhavn Ã,Gribskovvej 2,3050 HumlebÃ¦k,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2013-05-01,2013-05-28,Statsaut. revisor,3718414.0,31083303.0,Ãrsrapport,Thomas Monberg,Homann Advokater,Pre Real Estate Deutschland 15 ApS,Beierholm,KÃ¸benhavn,Fredensborg,2012-12-31,2012-01-01,2013-05-01,KÃ¸benhavn,urn:ofk:oid:19082998,indberetninger-20180424,2.5118417999999996,31083303.0,,2018-04-02T00:41:32.069Z,2013-05-30T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-111.810,2013-05-30T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31083303,2011-01-01,2011-12-31,c180,http://regnskaber.virk.dk/30338013/Y3ZyLmRrOi8vcGRmcy8zMTA4MzMwMztBcFM0MTkwNDk7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/30338013/Y3ZyLmRrOi8veGJybHMvWC1GNzY5MUY0Ny0yMDEzMDUyOV8xODM4MTZfMzE5.xml,1131.0,Danmark,2100 KÃ¸benhavn Ã,Gribskovvej 2,3050 HumlebÃ¦k,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2013-05-01,2013-05-28,Statsaut. revisor,,31083303.0,Ãrsrapport,Thomas Monberg,Homann Advokater,Pre Real Estate Deutschland 15 ApS,Beierholm,KÃ¸benhavn,Fredensborg,2012-12-31,2012-01-01,2013-05-01,KÃ¸benhavn,urn:ofk:oid:19082998,indberetninger-20180424,2.5118417999999996,31083303.0,,2018-04-02T00:41:32.069Z,2013-05-30T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-111.810,2013-05-30T22:00:00.000Z,-264701.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31083303,2011-01-01,2011-12-31,c290,http://regnskaber.virk.dk/30338013/Y3ZyLmRrOi8vcGRmcy8zMTA4MzMwMztBcFM0MTkwNDk7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/30338013/Y3ZyLmRrOi8veGJybHMvWC1GNzY5MUY0Ny0yMDEzMDUyOV8xODM4MTZfMzE5.xml,1131.0,Danmark,2100 KÃ¸benhavn Ã,Gribskovvej 2,3050 HumlebÃ¦k,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2013-05-01,2013-05-28,Statsaut. revisor,,31083303.0,Ãrsrapport,Thomas Monberg,Homann Advokater,Pre Real Estate Deutschland 15 ApS,Beierholm,KÃ¸benhavn,Fredensborg,2012-12-31,2012-01-01,2013-05-01,KÃ¸benhavn,urn:ofk:oid:19082998,indberetninger-20180424,2.5118417999999996,31083303.0,,2018-04-02T00:41:32.069Z,2013-05-30T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-111.810,2013-05-30T22:00:00.000Z,-264701.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31083303,2011-01-01,2011-12-31,c4,http://regnskaber.virk.dk/30338013/Y3ZyLmRrOi8vcGRmcy8zMTA4MzMwMztBcFM0MTkwNDk7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/30338013/Y3ZyLmRrOi8veGJybHMvWC1GNzY5MUY0Ny0yMDEzMDUyOV8xODM4MTZfMzE5.xml,1131.0,Danmark,2100 KÃ¸benhavn Ã,Gribskovvej 2,3050 HumlebÃ¦k,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2013-05-01,2013-05-28,Statsaut. revisor,,31083303.0,Ãrsrapport,Thomas Monberg,Homann Advokater,Pre Real Estate Deutschland 15 ApS,Beierholm,KÃ¸benhavn,Fredensborg,2012-12-31,2012-01-01,2013-05-01,KÃ¸benhavn,urn:ofk:oid:19082998,indberetninger-20180424,2.5118417999999996,31083303.0,,2018-04-02T00:41:32.069Z,2013-05-30T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-111.810,2013-05-30T22:00:00.000Z,-264701.0,-37971.0,-10497.0,-273182.0,456076.0,25212.0,-257048.0,-498098.0,2035.0,472886.0,-313169.0,-280928.0,994052.0,48468.0,-48468.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31083303,2011-12-31,2011-12-31,c363,http://regnskaber.virk.dk/30338013/Y3ZyLmRrOi8vcGRmcy8zMTA4MzMwMztBcFM0MTkwNDk7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/30338013/Y3ZyLmRrOi8veGJybHMvWC1GNzY5MUY0Ny0yMDEzMDUyOV8xODM4MTZfMzE5.xml,1131.0,Danmark,2100 KÃ¸benhavn Ã,Gribskovvej 2,3050 HumlebÃ¦k,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2013-05-01,2013-05-28,Statsaut. revisor,,31083303.0,Ãrsrapport,Thomas Monberg,Homann Advokater,Pre Real Estate Deutschland 15 ApS,Beierholm,KÃ¸benhavn,Fredensborg,2012-12-31,2012-01-01,2013-05-01,KÃ¸benhavn,urn:ofk:oid:19082998,indberetninger-20180424,2.5118417999999996,31083303.0,,2018-04-02T00:41:32.069Z,2013-05-30T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-111.810,2013-05-30T22:00:00.000Z,,,,,,,,,,,,,,,,10131629.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31083303,2011-12-31,2011-12-31,c442,http://regnskaber.virk.dk/30338013/Y3ZyLmRrOi8vcGRmcy8zMTA4MzMwMztBcFM0MTkwNDk7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/30338013/Y3ZyLmRrOi8veGJybHMvWC1GNzY5MUY0Ny0yMDEzMDUyOV8xODM4MTZfMzE5.xml,1131.0,Danmark,2100 KÃ¸benhavn Ã,Gribskovvej 2,3050 HumlebÃ¦k,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2013-05-01,2013-05-28,Statsaut. revisor,,31083303.0,Ãrsrapport,Thomas Monberg,Homann Advokater,Pre Real Estate Deutschland 15 ApS,Beierholm,KÃ¸benhavn,Fredensborg,2012-12-31,2012-01-01,2013-05-01,KÃ¸benhavn,urn:ofk:oid:19082998,indberetninger-20180424,2.5118417999999996,31083303.0,,2018-04-02T00:41:32.069Z,2013-05-30T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-111.810,2013-05-30T22:00:00.000Z,,,,,,,,,,,,,,,,1108917.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31083303,2011-12-31,2011-12-31,c5,http://regnskaber.virk.dk/30338013/Y3ZyLmRrOi8vcGRmcy8zMTA4MzMwMztBcFM0MTkwNDk7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/30338013/Y3ZyLmRrOi8veGJybHMvWC1GNzY5MUY0Ny0yMDEzMDUyOV8xODM4MTZfMzE5.xml,1131.0,Danmark,2100 KÃ¸benhavn Ã,Gribskovvej 2,3050 HumlebÃ¦k,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2013-05-01,2013-05-28,Statsaut. revisor,3493713.0,31083303.0,Ãrsrapport,Thomas Monberg,Homann Advokater,Pre Real Estate Deutschland 15 ApS,Beierholm,KÃ¸benhavn,Fredensborg,2012-12-31,2012-01-01,2013-05-01,KÃ¸benhavn,urn:ofk:oid:19082998,indberetninger-20180424,2.5118417999999996,31083303.0,,2018-04-02T00:41:32.069Z,2013-05-30T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-111.810,2013-05-30T22:00:00.000Z,,,,,,,,,,,,,,,,11057759.0,14952712.0,291243.0,40000.0,512191.0,75794.0,5340.0,14440521.0,14952712.0,11458999.0,9948842.0,1108917.0,14440521.0,36330.0,13619.0,14440521.0,3453713.0,544.0,401240.0,182787.0,93243.0,220948.0,10497.0,88336.0,115698.0,,,,,,
31083303,2012-01-01,2012-01-01,c208,http://regnskaber.virk.dk/30338013/Y3ZyLmRrOi8vcGRmcy8zMTA4MzMwMztBcFM0MTkwNDk7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/30338013/Y3ZyLmRrOi8veGJybHMvWC1GNzY5MUY0Ny0yMDEzMDUyOV8xODM4MTZfMzE5.xml,1131.0,Danmark,2100 KÃ¸benhavn Ã,Gribskovvej 2,3050 HumlebÃ¦k,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2013-05-01,2013-05-28,Statsaut. revisor,,31083303.0,Ãrsrapport,Thomas Monberg,Homann Advokater,Pre Real Estate Deutschland 15 ApS,Beierholm,KÃ¸benhavn,Fredensborg,2012-12-31,2012-01-01,2013-05-01,KÃ¸benhavn,urn:ofk:oid:19082998,indberetninger-20180424,2.5118417999999996,31083303.0,,2018-04-02T00:41:32.069Z,2013-05-30T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-111.810,2013-05-30T22:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15119620.0,,,,,
31083303,2012-01-01,2012-12-31,c1,http://regnskaber.virk.dk/30338013/Y3ZyLmRrOi8vcGRmcy8zMTA4MzMwMztBcFM0MTkwNDk7MjAxMjAxMDE7MjAxMjEyMzE7UjtS.pdf,http://regnskaber.virk.dk/30338013/Y3ZyLmRrOi8veGJybHMvWC1GNzY5MUY0Ny0yMDEzMDUyOV8xODM4MTZfMzE5.xml,1131.0,Danmark,2100 KÃ¸benhavn Ã,Gribskovvej 2,3050 HumlebÃ¦k,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2013-05-01,2013-05-28,Statsaut. revisor,,31083303.0,Ãrsrapport,Thomas Monberg,Homann Advokater,Pre Real Estate Deutschland 15 ApS,Beierholm,KÃ¸benhavn,Fredensborg,2012-12-31,2012-01-01,2013-05-01,KÃ¸benhavn,urn:ofk:oid:19082998,indberetninger-20180424,2.5118417999999996,31083303.0,,2018-04-02T00:41:32.069Z,2013-05-30T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-111.810,2013-05-30T22:00:00.000Z,-125661.0,-18214.0,-9853.0,-272831.0,604572.0,29846.0,-169119.0,-491493.0,6024.0,461647.0,-153728.0,-224313.0,998004.0,28067.0,-28067.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Kim Nielsen,Beierholm,,,
