entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfAuditorCountry,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DescriptionOfAuditor,DisposalsOfPropertyPlantAndEquipment,Equity,IdentificationNumberCvrOfReportingEntity,InformationOnTypeOfSubmittedReport,LongtermLiabilitiesOtherThanProvisionsDueInOneYear,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfLawFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss,AdjustmentsForCurrentTaxOfPriorPeriod,AdjustmentsForDeferredTax,CurrentTaxExpense,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,GrossProfitLoss,InterestExpenseAssignedToGroupEnterprises,OtherExternalExpenses,OtherFinanceExpenses,OtherFinanceIncome,OtherInterestExpenses,ProfitLossFromOrdinaryActivitiesBeforeTax,PropertyCost,Revenue,TaxExpense,TaxExpenseOnOrdinaryActivities,LongtermLiabilitiesOtherThanProvisions,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,DeferredIncomeAssets,InvestmentProperty,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermMortgageDebt,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,RetainedEarnings,ShorttermDeferredIncome,ShorttermLiabilitiesOtherThanProvisions,ShorttermPartOfLongtermLiabilitiesOtherThanProvisions,ShorttermPrepaymentsReceivedFromCustomers,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxReceivables,ShorttermTradePayables,ShorttermTradeReceivables,PropertyPlantAndEquipmentGross,NameOfAuditFirm,IncreaseOfCapital,NameAndSurnameOfMemberOfSupervisoryBoard
31083303,2013-01-01,2013-01-01,c244,,http://regnskaber.virk.dk/30338013/ZG9rdW1lbnRsYWdlcjovLzAzL2JiLzI4LzQ1L2U1LzFhZTMtNDA5Ny05ZmQxLTczNjBhZjBmYTZmZg.pdf,http://regnskaber.virk.dk/30338013/ZG9rdW1lbnRsYWdlcjovLzAzL2QyLzk4L2VhLzMxLzVkMTgtNGZiZS1hN2VkLWU1MmYyMmUwMGJmZA.xml,Danmark,KÃ¸benhavn Ã,2100.0,2.0,Gribskovvej,HumlebÃ¦k,3050.0,7.0,Strand Alle,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2015-05-08,2015-05-21,Statsaut. revisor,-1010912.0,40000.0,31083303.0,Ãrsrapport,10200.0,Kim Nielsen,Thomas Monberg,Per Morten BjÃ¸rseth,Homann Advokater,Pre Real Estate Deutschland 15 ApS,Beierholm,HumlebÃ¦k,Fredensborg,2014-12-31,2014-01-01,2015-05-08,KÃ¸benhavn,RevisionspÃ¥tegning,urn:ofk:oid:5376972,indberetninger-20180424,2.5124211,31083303.0,,2018-03-31T00:00:52.893Z,2015-05-30T14:28:15.059Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AC-69-SU,2015-05-30T14:28:15.252Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31083303,2013-01-01,2013-01-01,c289,,http://regnskaber.virk.dk/30338013/ZG9rdW1lbnRsYWdlcjovLzAzL2JiLzI4LzQ1L2U1LzFhZTMtNDA5Ny05ZmQxLTczNjBhZjBmYTZmZg.pdf,http://regnskaber.virk.dk/30338013/ZG9rdW1lbnRsYWdlcjovLzAzL2QyLzk4L2VhLzMxLzVkMTgtNGZiZS1hN2VkLWU1MmYyMmUwMGJmZA.xml,Danmark,KÃ¸benhavn Ã,2100.0,2.0,Gribskovvej,HumlebÃ¦k,3050.0,7.0,Strand Alle,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2015-05-08,2015-05-21,Statsaut. revisor,-1010912.0,3328053.0,31083303.0,Ãrsrapport,10200.0,Kim Nielsen,Thomas Monberg,Per Morten BjÃ¸rseth,Homann Advokater,Pre Real Estate Deutschland 15 ApS,Beierholm,HumlebÃ¦k,Fredensborg,2014-12-31,2014-01-01,2015-05-08,KÃ¸benhavn,RevisionspÃ¥tegning,urn:ofk:oid:5376972,indberetninger-20180424,2.5124211,31083303.0,,2018-03-31T00:00:52.893Z,2015-05-30T14:28:15.059Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AC-69-SU,2015-05-30T14:28:15.252Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31083303,2013-01-01,2013-12-31,c180,,http://regnskaber.virk.dk/30338013/ZG9rdW1lbnRsYWdlcjovLzAzL2JiLzI4LzQ1L2U1LzFhZTMtNDA5Ny05ZmQxLTczNjBhZjBmYTZmZg.pdf,http://regnskaber.virk.dk/30338013/ZG9rdW1lbnRsYWdlcjovLzAzL2QyLzk4L2VhLzMxLzVkMTgtNGZiZS1hN2VkLWU1MmYyMmUwMGJmZA.xml,Danmark,KÃ¸benhavn Ã,2100.0,2.0,Gribskovvej,HumlebÃ¦k,3050.0,7.0,Strand Alle,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2015-05-08,2015-05-21,Statsaut. revisor,-1010912.0,,31083303.0,Ãrsrapport,10200.0,Kim Nielsen,Thomas Monberg,Per Morten BjÃ¸rseth,Homann Advokater,Pre Real Estate Deutschland 15 ApS,Beierholm,HumlebÃ¦k,Fredensborg,2014-12-31,2014-01-01,2015-05-08,KÃ¸benhavn,RevisionspÃ¥tegning,urn:ofk:oid:5376972,indberetninger-20180424,2.5124211,31083303.0,,2018-03-31T00:00:52.893Z,2015-05-30T14:28:15.059Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AC-69-SU,2015-05-30T14:28:15.252Z,-403870.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31083303,2013-01-01,2013-12-31,c290,,http://regnskaber.virk.dk/30338013/ZG9rdW1lbnRsYWdlcjovLzAzL2JiLzI4LzQ1L2U1LzFhZTMtNDA5Ny05ZmQxLTczNjBhZjBmYTZmZg.pdf,http://regnskaber.virk.dk/30338013/ZG9rdW1lbnRsYWdlcjovLzAzL2QyLzk4L2VhLzMxLzVkMTgtNGZiZS1hN2VkLWU1MmYyMmUwMGJmZA.xml,Danmark,KÃ¸benhavn Ã,2100.0,2.0,Gribskovvej,HumlebÃ¦k,3050.0,7.0,Strand Alle,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2015-05-08,2015-05-21,Statsaut. revisor,-1010912.0,,31083303.0,Ãrsrapport,10200.0,Kim Nielsen,Thomas Monberg,Per Morten BjÃ¸rseth,Homann Advokater,Pre Real Estate Deutschland 15 ApS,Beierholm,HumlebÃ¦k,Fredensborg,2014-12-31,2014-01-01,2015-05-08,KÃ¸benhavn,RevisionspÃ¥tegning,urn:ofk:oid:5376972,indberetninger-20180424,2.5124211,31083303.0,,2018-03-31T00:00:52.893Z,2015-05-30T14:28:15.059Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AC-69-SU,2015-05-30T14:28:15.252Z,-403870.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31083303,2013-01-01,2013-12-31,c4,,http://regnskaber.virk.dk/30338013/ZG9rdW1lbnRsYWdlcjovLzAzL2JiLzI4LzQ1L2U1LzFhZTMtNDA5Ny05ZmQxLTczNjBhZjBmYTZmZg.pdf,http://regnskaber.virk.dk/30338013/ZG9rdW1lbnRsYWdlcjovLzAzL2QyLzk4L2VhLzMxLzVkMTgtNGZiZS1hN2VkLWU1MmYyMmUwMGJmZA.xml,Danmark,KÃ¸benhavn Ã,2100.0,2.0,Gribskovvej,HumlebÃ¦k,3050.0,7.0,Strand Alle,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2015-05-08,2015-05-21,Statsaut. revisor,-1010912.0,,31083303.0,Ãrsrapport,10200.0,Kim Nielsen,Thomas Monberg,Per Morten BjÃ¸rseth,Homann Advokater,Pre Real Estate Deutschland 15 ApS,Beierholm,HumlebÃ¦k,Fredensborg,2014-12-31,2014-01-01,2015-05-08,KÃ¸benhavn,RevisionspÃ¥tegning,urn:ofk:oid:5376972,indberetninger-20180424,2.5124211,31083303.0,,2018-03-31T00:00:52.893Z,2015-05-30T14:28:15.059Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AC-69-SU,2015-05-30T14:28:15.252Z,-403870.0,0.0,79275.0,-8236.0,408723.0,518624.0,31508.0,165261.0,444629.0,1897.0,413121.0,-332831.0,256201.0,940086.0,71039.0,71039.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31083303,2013-12-31,2013-12-31,c363,,http://regnskaber.virk.dk/30338013/ZG9rdW1lbnRsYWdlcjovLzAzL2JiLzI4LzQ1L2U1LzFhZTMtNDA5Ny05ZmQxLTczNjBhZjBmYTZmZg.pdf,http://regnskaber.virk.dk/30338013/ZG9rdW1lbnRsYWdlcjovLzAzL2QyLzk4L2VhLzMxLzVkMTgtNGZiZS1hN2VkLWU1MmYyMmUwMGJmZA.xml,Danmark,KÃ¸benhavn Ã,2100.0,2.0,Gribskovvej,HumlebÃ¦k,3050.0,7.0,Strand Alle,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2015-05-08,2015-05-21,Statsaut. revisor,-1010912.0,,31083303.0,Ãrsrapport,10200.0,Kim Nielsen,Thomas Monberg,Per Morten BjÃ¸rseth,Homann Advokater,Pre Real Estate Deutschland 15 ApS,Beierholm,HumlebÃ¦k,Fredensborg,2014-12-31,2014-01-01,2015-05-08,KÃ¸benhavn,RevisionspÃ¥tegning,urn:ofk:oid:5376972,indberetninger-20180424,2.5124211,31083303.0,,2018-03-31T00:00:52.893Z,2015-05-30T14:28:15.059Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AC-69-SU,2015-05-30T14:28:15.252Z,,,,,,,,,,,,,,,,,5578537.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31083303,2013-12-31,2013-12-31,c5,,http://regnskaber.virk.dk/30338013/ZG9rdW1lbnRsYWdlcjovLzAzL2JiLzI4LzQ1L2U1LzFhZTMtNDA5Ny05ZmQxLTczNjBhZjBmYTZmZg.pdf,http://regnskaber.virk.dk/30338013/ZG9rdW1lbnRsYWdlcjovLzAzL2QyLzk4L2VhLzMxLzVkMTgtNGZiZS1hN2VkLWU1MmYyMmUwMGJmZA.xml,Danmark,KÃ¸benhavn Ã,2100.0,2.0,Gribskovvej,HumlebÃ¦k,3050.0,7.0,Strand Alle,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2015-05-08,2015-05-21,Statsaut. revisor,-1010912.0,2964183.0,31083303.0,Ãrsrapport,10200.0,Kim Nielsen,Thomas Monberg,Per Morten BjÃ¸rseth,Homann Advokater,Pre Real Estate Deutschland 15 ApS,Beierholm,HumlebÃ¦k,Fredensborg,2014-12-31,2014-01-01,2015-05-08,KÃ¸benhavn,RevisionspÃ¥tegning,urn:ofk:oid:5376972,indberetninger-20180424,2.5124211,31083303.0,,2018-03-31T00:00:52.893Z,2015-05-30T14:28:15.059Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AC-69-SU,2015-05-30T14:28:15.252Z,,,,,,,,,,,,,,,,,540599.0,8777928.0,639810.0,40000.0,6235466.0,14733.0,9667.0,2542462.0,8777928.0,5813745.0,540599.0,2542462.0,48936.0,23027.0,2542462.0,2924183.0,14240.0,5273146.0,5037938.0,100877.0,5595656.0,3958749.0,8236.0,71155.0,1581244.0,,,,
31083303,2014-01-01,2014-01-01,c208,,http://regnskaber.virk.dk/30338013/ZG9rdW1lbnRsYWdlcjovLzAzL2JiLzI4LzQ1L2U1LzFhZTMtNDA5Ny05ZmQxLTczNjBhZjBmYTZmZg.pdf,http://regnskaber.virk.dk/30338013/ZG9rdW1lbnRsYWdlcjovLzAzL2QyLzk4L2VhLzMxLzVkMTgtNGZiZS1hN2VkLWU1MmYyMmUwMGJmZA.xml,Danmark,KÃ¸benhavn Ã,2100.0,2.0,Gribskovvej,HumlebÃ¦k,3050.0,7.0,Strand Alle,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2015-05-08,2015-05-21,Statsaut. revisor,-1010912.0,,31083303.0,Ãrsrapport,10200.0,Kim Nielsen,Thomas Monberg,Per Morten BjÃ¸rseth,Homann Advokater,Pre Real Estate Deutschland 15 ApS,Beierholm,HumlebÃ¦k,Fredensborg,2014-12-31,2014-01-01,2015-05-08,KÃ¸benhavn,RevisionspÃ¥tegning,urn:ofk:oid:5376972,indberetninger-20180424,2.5124211,31083303.0,,2018-03-31T00:00:52.893Z,2015-05-30T14:28:15.059Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AC-69-SU,2015-05-30T14:28:15.252Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2802083.0,,,
31083303,2014-01-01,2014-01-01,c247,,http://regnskaber.virk.dk/30338013/ZG9rdW1lbnRsYWdlcjovLzAzL2JiLzI4LzQ1L2U1LzFhZTMtNDA5Ny05ZmQxLTczNjBhZjBmYTZmZg.pdf,http://regnskaber.virk.dk/30338013/ZG9rdW1lbnRsYWdlcjovLzAzL2QyLzk4L2VhLzMxLzVkMTgtNGZiZS1hN2VkLWU1MmYyMmUwMGJmZA.xml,Danmark,KÃ¸benhavn Ã,2100.0,2.0,Gribskovvej,HumlebÃ¦k,3050.0,7.0,Strand Alle,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2015-05-08,2015-05-21,Statsaut. revisor,-1010912.0,40000.0,31083303.0,Ãrsrapport,10200.0,Kim Nielsen,Thomas Monberg,Per Morten BjÃ¸rseth,Homann Advokater,Pre Real Estate Deutschland 15 ApS,Beierholm,HumlebÃ¦k,Fredensborg,2014-12-31,2014-01-01,2015-05-08,KÃ¸benhavn,RevisionspÃ¥tegning,urn:ofk:oid:5376972,indberetninger-20180424,2.5124211,31083303.0,,2018-03-31T00:00:52.893Z,2015-05-30T14:28:15.059Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AC-69-SU,2015-05-30T14:28:15.252Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31083303,2014-01-01,2014-01-01,c286,,http://regnskaber.virk.dk/30338013/ZG9rdW1lbnRsYWdlcjovLzAzL2JiLzI4LzQ1L2U1LzFhZTMtNDA5Ny05ZmQxLTczNjBhZjBmYTZmZg.pdf,http://regnskaber.virk.dk/30338013/ZG9rdW1lbnRsYWdlcjovLzAzL2QyLzk4L2VhLzMxLzVkMTgtNGZiZS1hN2VkLWU1MmYyMmUwMGJmZA.xml,Danmark,KÃ¸benhavn Ã,2100.0,2.0,Gribskovvej,HumlebÃ¦k,3050.0,7.0,Strand Alle,9200 Aalborg SV,Voergaardvej 2,Regnskabsklasse B,2015-05-08,2015-05-21,Statsaut. revisor,-1010912.0,2924183.0,31083303.0,Ãrsrapport,10200.0,Kim Nielsen,Thomas Monberg,Per Morten BjÃ¸rseth,Homann Advokater,Pre Real Estate Deutschland 15 ApS,Beierholm,HumlebÃ¦k,Fredensborg,2014-12-31,2014-01-01,2015-05-08,KÃ¸benhavn,RevisionspÃ¥tegning,urn:ofk:oid:5376972,indberetninger-20180424,2.5124211,31083303.0,,2018-03-31T00:00:52.893Z,2015-05-30T14:28:15.059Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AC-69-SU,2015-05-30T14:28:15.252Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
