entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnExtendedReviewOfFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,FinanceExpensesArisingFromGroupEnterprises,GrossProfitLoss,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,RestOfOtherFinanceExpenses,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,LongtermLiabilitiesOtherThanProvisions,LongtermTaxPayables,NoncurrentAssets,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermTaxReceivables,ShorttermTaxReceivablesFromGroupEnterprises,ShorttermTradePayables,NameAndSurnameOfMemberOfExecutiveBoard,AdditionsToDisposalsOfEquityThroughMergersAndBusinessCombinations,AdjustmentsOfCollateralsBySaleOfInvestments,AdjustmentsOfHedgingInstruments,AdjustmentsOfHedgingInstrumentsAtFairValue,BonusShares,CashPaymentsConcerningFormationOfEntity,ChangesInEquityOfTax,ContributionFromGroup,CostRelatedToIncreaseOfCapital,DecreaseOfCapital,DissolutionOfPreviousYearsRevaluations,DistributedDividendsFromAssociates,DistributedDividendsFromGroupEnterprises,Dividend,DividendPaid,DividendsFromTreasuryShares,EquityTransfersToReserves,ExtraordinaryDividendPaid,IncreaseDecreaseOfEquityByDivisionAndSaleOfOtherCompany,IncreaseDecreaseOfEquityThroughChangesInAccountingPolicies,IncreaseDecreaseOfEquityThroughCorrectionsOfErrors,IncreaseDecreaseOfInvestmentsThroughNetExchangeDifferencesEquity,IncreaseDecreaseOfReservesThroughApplicationOfUnitingOfInterestsMethodEquity,IncreaseOfCapital,OtherAdjustmentsOfEquity,ProfitLlossFromGroupEnterprises,ProfitLossFromAssociates,PurchaseOfMinorityShares,PurchaseOfTreasuryShares,ReceivablesShareCapitalPaid,Revaluations,ReversedRevaluationsDuringReportingPeriod,SaleOfMinorityShares,SalesOfTreasuryShares,TransferToCoverageOfLosses,TransferredFromSharePremium,ValueAdjustmentsOfEquity
30608348,2015-10-01,2016-09-30,ID_18,,http://regnskaber.virk.dk/84380603/ZG9rdW1lbnRsYWdlcjovLzAzL2NhLzMzLzRiL2RiL2QzNDgtNDYzYy1hNzE3LWEzYTMyOWYzOWUzZA.pdf,http://regnskaber.virk.dk/84380603/ZG9rdW1lbnRsYWdlcjovLzAzLzJlLzU3LzkzLzYxL2M1OGItNGI2Ni1iMjRlLTE1MmUzNTMwY2E4MA.xml,true,"NÃ¦stved, 4700",Farvergade 9B,Til kapitalejerne i My-Time Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",2018-02-19,2018-02-19,2007-06-08,2018-02-26,2864.0,-15274.0,20658231.0,30608348.0,20658231.0,mne11683,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for My-Time Holding ApS.,-38180.0,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Lars Engelsted Petersen,Kornelis Arnoldus Hornstra,ENGELSTED PETERSEN,My-Time Holding ApS,"ENGELSTED PETERSEN, Statsaut. revisionsanpartsselskab",Stevns,2015-10-01,2016-09-30,-53799.0,-58204.0,-15274.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Stevns, 336",2017-09-30,2016-10-01,2313.0,false,2018-02-19,NÃ¦stved,-4405.0,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:25116575,indberetninger-20180424,2.5117235,30608348.0,,2018-04-04T01:51:04.152Z,2018-03-01T12:29:45.206Z,regnskab,0.0,,2017-09-30,2016-10-01,X18-AE-65-XZ,2018-03-01T12:29:45.359Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30608348,2015-10-01,2016-09-30,ID_20,,http://regnskaber.virk.dk/84380603/ZG9rdW1lbnRsYWdlcjovLzAzL2NhLzMzLzRiL2RiL2QzNDgtNDYzYy1hNzE3LWEzYTMyOWYzOWUzZA.pdf,http://regnskaber.virk.dk/84380603/ZG9rdW1lbnRsYWdlcjovLzAzLzJlLzU3LzkzLzYxL2M1OGItNGI2Ni1iMjRlLTE1MmUzNTMwY2E4MA.xml,true,"NÃ¦stved, 4700",Farvergade 9B,Til kapitalejerne i My-Time Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",2018-02-19,2018-02-19,2007-06-08,2018-02-26,,,20658231.0,30608348.0,20658231.0,mne11683,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for My-Time Holding ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Lars Engelsted Petersen,Kornelis Arnoldus Hornstra,ENGELSTED PETERSEN,My-Time Holding ApS,"ENGELSTED PETERSEN, Statsaut. revisionsanpartsselskab",Stevns,2015-10-01,2016-09-30,38180.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Stevns, 336",2017-09-30,2016-10-01,,false,2018-02-19,NÃ¦stved,,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:25116575,indberetninger-20180424,2.5117235,30608348.0,,2018-04-04T01:51:04.152Z,2018-03-01T12:29:45.206Z,regnskab,0.0,,2017-09-30,2016-10-01,X18-AE-65-XZ,2018-03-01T12:29:45.359Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30608348,2015-10-01,2016-09-30,ID_22,,http://regnskaber.virk.dk/84380603/ZG9rdW1lbnRsYWdlcjovLzAzL2NhLzMzLzRiL2RiL2QzNDgtNDYzYy1hNzE3LWEzYTMyOWYzOWUzZA.pdf,http://regnskaber.virk.dk/84380603/ZG9rdW1lbnRsYWdlcjovLzAzLzJlLzU3LzkzLzYxL2M1OGItNGI2Ni1iMjRlLTE1MmUzNTMwY2E4MA.xml,true,"NÃ¦stved, 4700",Farvergade 9B,Til kapitalejerne i My-Time Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",2018-02-19,2018-02-19,2007-06-08,2018-02-26,,,20658231.0,30608348.0,20658231.0,mne11683,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for My-Time Holding ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Lars Engelsted Petersen,Kornelis Arnoldus Hornstra,ENGELSTED PETERSEN,My-Time Holding ApS,"ENGELSTED PETERSEN, Statsaut. revisionsanpartsselskab",Stevns,2015-10-01,2016-09-30,15619.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Stevns, 336",2017-09-30,2016-10-01,,false,2018-02-19,NÃ¦stved,,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:25116575,indberetninger-20180424,2.5117235,30608348.0,,2018-04-04T01:51:04.152Z,2018-03-01T12:29:45.206Z,regnskab,0.0,,2017-09-30,2016-10-01,X18-AE-65-XZ,2018-03-01T12:29:45.359Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30608348,2016-09-30,2016-09-30,ID_11,,http://regnskaber.virk.dk/84380603/ZG9rdW1lbnRsYWdlcjovLzAzL2NhLzMzLzRiL2RiL2QzNDgtNDYzYy1hNzE3LWEzYTMyOWYzOWUzZA.pdf,http://regnskaber.virk.dk/84380603/ZG9rdW1lbnRsYWdlcjovLzAzLzJlLzU3LzkzLzYxL2M1OGItNGI2Ni1iMjRlLTE1MmUzNTMwY2E4MA.xml,true,"NÃ¦stved, 4700",Farvergade 9B,Til kapitalejerne i My-Time Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",2018-02-19,2018-02-19,2007-06-08,2018-02-26,,,20658231.0,30608348.0,20658231.0,mne11683,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for My-Time Holding ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Lars Engelsted Petersen,Kornelis Arnoldus Hornstra,ENGELSTED PETERSEN,My-Time Holding ApS,"ENGELSTED PETERSEN, Statsaut. revisionsanpartsselskab",Stevns,2015-10-01,2016-09-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Stevns, 336",2017-09-30,2016-10-01,,false,2018-02-19,NÃ¦stved,,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:25116575,indberetninger-20180424,2.5117235,30608348.0,,2018-04-04T01:51:04.152Z,2018-03-01T12:29:45.206Z,regnskab,0.0,,2017-09-30,2016-10-01,X18-AE-65-XZ,2018-03-01T12:29:45.359Z,2724330.0,5628.0,125000.0,15519.0,2607641.0,2724330.0,116689.0,2708811.0,2708811.0,0.0,0.0,2708811.0,2534211.0,-51570.0,116689.0,44439.0,60098.0,9891.0,6187.0,0.0,12152.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30608348,2016-10-01,2016-10-01,ID_15,,http://regnskaber.virk.dk/84380603/ZG9rdW1lbnRsYWdlcjovLzAzL2NhLzMzLzRiL2RiL2QzNDgtNDYzYy1hNzE3LWEzYTMyOWYzOWUzZA.pdf,http://regnskaber.virk.dk/84380603/ZG9rdW1lbnRsYWdlcjovLzAzLzJlLzU3LzkzLzYxL2M1OGItNGI2Ni1iMjRlLTE1MmUzNTMwY2E4MA.xml,true,"NÃ¦stved, 4700",Farvergade 9B,Til kapitalejerne i My-Time Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",2018-02-19,2018-02-19,2007-06-08,2018-02-26,,,20658231.0,30608348.0,20658231.0,mne11683,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for My-Time Holding ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Lars Engelsted Petersen,Kornelis Arnoldus Hornstra,ENGELSTED PETERSEN,My-Time Holding ApS,"ENGELSTED PETERSEN, Statsaut. revisionsanpartsselskab",Stevns,2015-10-01,2016-09-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Stevns, 336",2017-09-30,2016-10-01,,false,2018-02-19,NÃ¦stved,,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:25116575,indberetninger-20180424,2.5117235,30608348.0,,2018-04-04T01:51:04.152Z,2018-03-01T12:29:45.206Z,regnskab,0.0,,2017-09-30,2016-10-01,X18-AE-65-XZ,2018-03-01T12:29:45.359Z,,,,,-125000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30608348,2016-10-01,2016-10-01,ID_16,,http://regnskaber.virk.dk/84380603/ZG9rdW1lbnRsYWdlcjovLzAzL2NhLzMzLzRiL2RiL2QzNDgtNDYzYy1hNzE3LWEzYTMyOWYzOWUzZA.pdf,http://regnskaber.virk.dk/84380603/ZG9rdW1lbnRsYWdlcjovLzAzLzJlLzU3LzkzLzYxL2M1OGItNGI2Ni1iMjRlLTE1MmUzNTMwY2E4MA.xml,true,"NÃ¦stved, 4700",Farvergade 9B,Til kapitalejerne i My-Time Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",2018-02-19,2018-02-19,2007-06-08,2018-02-26,,,20658231.0,30608348.0,20658231.0,mne11683,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for My-Time Holding ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Lars Engelsted Petersen,Kornelis Arnoldus Hornstra,ENGELSTED PETERSEN,My-Time Holding ApS,"ENGELSTED PETERSEN, Statsaut. revisionsanpartsselskab",Stevns,2015-10-01,2016-09-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Stevns, 336",2017-09-30,2016-10-01,,false,2018-02-19,NÃ¦stved,,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:25116575,indberetninger-20180424,2.5117235,30608348.0,,2018-04-04T01:51:04.152Z,2018-03-01T12:29:45.206Z,regnskab,0.0,,2017-09-30,2016-10-01,X18-AE-65-XZ,2018-03-01T12:29:45.359Z,,,,,-2534211.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30608348,2016-10-01,2016-10-01,ID_17,,http://regnskaber.virk.dk/84380603/ZG9rdW1lbnRsYWdlcjovLzAzL2NhLzMzLzRiL2RiL2QzNDgtNDYzYy1hNzE3LWEzYTMyOWYzOWUzZA.pdf,http://regnskaber.virk.dk/84380603/ZG9rdW1lbnRsYWdlcjovLzAzLzJlLzU3LzkzLzYxL2M1OGItNGI2Ni1iMjRlLTE1MmUzNTMwY2E4MA.xml,true,"NÃ¦stved, 4700",Farvergade 9B,Til kapitalejerne i My-Time Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",2018-02-19,2018-02-19,2007-06-08,2018-02-26,,,20658231.0,30608348.0,20658231.0,mne11683,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for My-Time Holding ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Lars Engelsted Petersen,Kornelis Arnoldus Hornstra,ENGELSTED PETERSEN,My-Time Holding ApS,"ENGELSTED PETERSEN, Statsaut. revisionsanpartsselskab",Stevns,2015-10-01,2016-09-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Stevns, 336",2017-09-30,2016-10-01,,false,2018-02-19,NÃ¦stved,,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:25116575,indberetninger-20180424,2.5117235,30608348.0,,2018-04-04T01:51:04.152Z,2018-03-01T12:29:45.206Z,regnskab,0.0,,2017-09-30,2016-10-01,X18-AE-65-XZ,2018-03-01T12:29:45.359Z,,,,,51570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30608348,2016-10-01,2017-09-30,ID_0,,http://regnskaber.virk.dk/84380603/ZG9rdW1lbnRsYWdlcjovLzAzL2NhLzMzLzRiL2RiL2QzNDgtNDYzYy1hNzE3LWEzYTMyOWYzOWUzZA.pdf,http://regnskaber.virk.dk/84380603/ZG9rdW1lbnRsYWdlcjovLzAzLzJlLzU3LzkzLzYxL2M1OGItNGI2Ni1iMjRlLTE1MmUzNTMwY2E4MA.xml,true,"NÃ¦stved, 4700",Farvergade 9B,Til kapitalejerne i My-Time Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",2018-02-19,2018-02-19,2007-06-08,2018-02-26,2586.0,-14743.0,20658231.0,30608348.0,20658231.0,mne11683,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for My-Time Holding ApS.,526738.0,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Lars Engelsted Petersen,Kornelis Arnoldus Hornstra,ENGELSTED PETERSEN,My-Time Holding ApS,"ENGELSTED PETERSEN, Statsaut. revisionsanpartsselskab",Stevns,2015-10-01,2016-09-30,510944.0,507005.0,-14743.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Stevns, 336",2017-09-30,2016-10-01,2404.0,false,2018-02-19,NÃ¦stved,-3939.0,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:25116575,indberetninger-20180424,2.5117235,30608348.0,,2018-04-04T01:51:04.152Z,2018-03-01T12:29:45.206Z,regnskab,0.0,,2017-09-30,2016-10-01,X18-AE-65-XZ,2018-03-01T12:29:45.359Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30608348,2016-10-01,2017-09-30,ID_1,,http://regnskaber.virk.dk/84380603/ZG9rdW1lbnRsYWdlcjovLzAzL2NhLzMzLzRiL2RiL2QzNDgtNDYzYy1hNzE3LWEzYTMyOWYzOWUzZA.pdf,http://regnskaber.virk.dk/84380603/ZG9rdW1lbnRsYWdlcjovLzAzLzJlLzU3LzkzLzYxL2M1OGItNGI2Ni1iMjRlLTE1MmUzNTMwY2E4MA.xml,true,"NÃ¦stved, 4700",Farvergade 9B,Til kapitalejerne i My-Time Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",2018-02-19,2018-02-19,2007-06-08,2018-02-26,,,20658231.0,30608348.0,20658231.0,mne11683,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for My-Time Holding ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Lars Engelsted Petersen,Kornelis Arnoldus Hornstra,ENGELSTED PETERSEN,My-Time Holding ApS,"ENGELSTED PETERSEN, Statsaut. revisionsanpartsselskab",Stevns,2015-10-01,2016-09-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Stevns, 336",2017-09-30,2016-10-01,,false,2018-02-19,NÃ¦stved,,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:25116575,indberetninger-20180424,2.5117235,30608348.0,,2018-04-04T01:51:04.152Z,2018-03-01T12:29:45.206Z,regnskab,0.0,,2017-09-30,2016-10-01,X18-AE-65-XZ,2018-03-01T12:29:45.359Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30608348,2016-10-01,2017-09-30,ID_19,,http://regnskaber.virk.dk/84380603/ZG9rdW1lbnRsYWdlcjovLzAzL2NhLzMzLzRiL2RiL2QzNDgtNDYzYy1hNzE3LWEzYTMyOWYzOWUzZA.pdf,http://regnskaber.virk.dk/84380603/ZG9rdW1lbnRsYWdlcjovLzAzLzJlLzU3LzkzLzYxL2M1OGItNGI2Ni1iMjRlLTE1MmUzNTMwY2E4MA.xml,true,"NÃ¦stved, 4700",Farvergade 9B,Til kapitalejerne i My-Time Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",2018-02-19,2018-02-19,2007-06-08,2018-02-26,,,20658231.0,30608348.0,20658231.0,mne11683,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for My-Time Holding ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Lars Engelsted Petersen,Kornelis Arnoldus Hornstra,ENGELSTED PETERSEN,My-Time Holding ApS,"ENGELSTED PETERSEN, Statsaut. revisionsanpartsselskab",Stevns,2015-10-01,2016-09-30,-526738.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Stevns, 336",2017-09-30,2016-10-01,,false,2018-02-19,NÃ¦stved,,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:25116575,indberetninger-20180424,2.5117235,30608348.0,,2018-04-04T01:51:04.152Z,2018-03-01T12:29:45.206Z,regnskab,0.0,,2017-09-30,2016-10-01,X18-AE-65-XZ,2018-03-01T12:29:45.359Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
