entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,EmailOfReportingEntity,GrossProfitLoss,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,OtherFinanceIncomeFromGroupEnterprises,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TaxExpenseOnOrdinaryActivities,TelephoneNumberOfReportingEntity,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,OtherShorttermReceivables,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxReceivables,ShorttermTradePayables,NameAndSurnameOfMemberOfExecutiveBoard
30608348,2014-10-01,2015-09-30,ID_3,,http://regnskaber.virk.dk/84380603/ZG9rdW1lbnRsYWdlcjovLzAzLzI2Lzk5LzhhLzRmL2Q0ZTEtNDA0MS05ZDY5LTUzMzJiOWNjZGUyYQ.pdf,http://regnskaber.virk.dk/84380603/ZG9rdW1lbnRsYWdlcjovLzAzLzE4L2U4LzZiL2NmLzE0MjMtNGY4MS1hODk0LTliNWZhNGY3NTU0Mw.xml,"4700, NÃ¦stved",Erantisvej 53,Til kapitalejerne i My-Time Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016.",2017-03-04,2017-03-04,2007-06-08,2017-03-14,kah@my-time.dk,2075.0,19723402.0,30608348.0,19723402.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016 for My-Time Holding ApS.,109693.0,Ãrsrapport,Kornelis Arnoldus Hornstra,Revisions-Centret,Sydbank,My-Time Holding ApS,"Revisions-Centret, Registreret revisionsvirksomhed",11702.0,387.0,1657.0,Stevns,2014-10-01,2015-09-30,103893.0,102110.0,2075.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"336, Stevns",2016-09-30,2015-10-01,2017-03-04,NÃ¦stved,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende regnskabsÃ¥r og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",-1783.0,56 52 10 18,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:23609825,indberetninger-20180424,2.5122786,30608348.0,,2018-03-28T01:14:02.132Z,2017-03-16T16:01:47.682Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AE-56-US,2017-03-16T16:01:47.843Z,,,,,,,,,,,,,,,,,,,,,
30608348,2014-10-01,2015-09-30,ID_5,,http://regnskaber.virk.dk/84380603/ZG9rdW1lbnRsYWdlcjovLzAzLzI2Lzk5LzhhLzRmL2Q0ZTEtNDA0MS05ZDY5LTUzMzJiOWNjZGUyYQ.pdf,http://regnskaber.virk.dk/84380603/ZG9rdW1lbnRsYWdlcjovLzAzLzE4L2U4LzZiL2NmLzE0MjMtNGY4MS1hODk0LTliNWZhNGY3NTU0Mw.xml,"4700, NÃ¦stved",Erantisvej 53,Til kapitalejerne i My-Time Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016.",2017-03-04,2017-03-04,2007-06-08,2017-03-14,kah@my-time.dk,,19723402.0,30608348.0,19723402.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016 for My-Time Holding ApS.,,Ãrsrapport,Kornelis Arnoldus Hornstra,Revisions-Centret,Sydbank,My-Time Holding ApS,"Revisions-Centret, Registreret revisionsvirksomhed",,,,Stevns,2014-10-01,2015-09-30,-109693.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"336, Stevns",2016-09-30,2015-10-01,2017-03-04,NÃ¦stved,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende regnskabsÃ¥r og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",,56 52 10 18,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:23609825,indberetninger-20180424,2.5122786,30608348.0,,2018-03-28T01:14:02.132Z,2017-03-16T16:01:47.682Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AE-56-US,2017-03-16T16:01:47.843Z,,,,,,,,,,,,,,,,,,,,,
30608348,2014-10-01,2015-09-30,ID_7,,http://regnskaber.virk.dk/84380603/ZG9rdW1lbnRsYWdlcjovLzAzLzI2Lzk5LzhhLzRmL2Q0ZTEtNDA0MS05ZDY5LTUzMzJiOWNjZGUyYQ.pdf,http://regnskaber.virk.dk/84380603/ZG9rdW1lbnRsYWdlcjovLzAzLzE4L2U4LzZiL2NmLzE0MjMtNGY4MS1hODk0LTliNWZhNGY3NTU0Mw.xml,"4700, NÃ¦stved",Erantisvej 53,Til kapitalejerne i My-Time Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016.",2017-03-04,2017-03-04,2007-06-08,2017-03-14,kah@my-time.dk,,19723402.0,30608348.0,19723402.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016 for My-Time Holding ApS.,,Ãrsrapport,Kornelis Arnoldus Hornstra,Revisions-Centret,Sydbank,My-Time Holding ApS,"Revisions-Centret, Registreret revisionsvirksomhed",,,,Stevns,2014-10-01,2015-09-30,5800.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"336, Stevns",2016-09-30,2015-10-01,2017-03-04,NÃ¦stved,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende regnskabsÃ¥r og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",,56 52 10 18,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:23609825,indberetninger-20180424,2.5122786,30608348.0,,2018-03-28T01:14:02.132Z,2017-03-16T16:01:47.682Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AE-56-US,2017-03-16T16:01:47.843Z,,,,,,,,,,,,,,,,,,,,,
30608348,2015-09-30,2015-09-30,ID_9,,http://regnskaber.virk.dk/84380603/ZG9rdW1lbnRsYWdlcjovLzAzLzI2Lzk5LzhhLzRmL2Q0ZTEtNDA0MS05ZDY5LTUzMzJiOWNjZGUyYQ.pdf,http://regnskaber.virk.dk/84380603/ZG9rdW1lbnRsYWdlcjovLzAzLzE4L2U4LzZiL2NmLzE0MjMtNGY4MS1hODk0LTliNWZhNGY3NTU0Mw.xml,"4700, NÃ¦stved",Erantisvej 53,Til kapitalejerne i My-Time Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016.",2017-03-04,2017-03-04,2007-06-08,2017-03-14,kah@my-time.dk,,19723402.0,30608348.0,19723402.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016 for My-Time Holding ApS.,,Ãrsrapport,Kornelis Arnoldus Hornstra,Revisions-Centret,Sydbank,My-Time Holding ApS,"Revisions-Centret, Registreret revisionsvirksomhed",,,,Stevns,2014-10-01,2015-09-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"336, Stevns",2016-09-30,2015-10-01,2017-03-04,NÃ¦stved,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende regnskabsÃ¥r og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",,56 52 10 18,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:23609825,indberetninger-20180424,2.5122786,30608348.0,,2018-03-28T01:14:02.132Z,2017-03-16T16:01:47.682Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AE-56-US,2017-03-16T16:01:47.843Z,2054341.0,9129.0,125000.0,57727.0,1911064.0,2054341.0,143277.0,1996614.0,1996614.0,1996614.0,-4537.0,1822014.0,-35950.0,143277.0,73076.0,57888.0,48598.0,50551.0,2584.0,12313.0,
30608348,2015-10-01,2016-09-30,ID_0,,http://regnskaber.virk.dk/84380603/ZG9rdW1lbnRsYWdlcjovLzAzLzI2Lzk5LzhhLzRmL2Q0ZTEtNDA0MS05ZDY5LTUzMzJiOWNjZGUyYQ.pdf,http://regnskaber.virk.dk/84380603/ZG9rdW1lbnRsYWdlcjovLzAzLzE4L2U4LzZiL2NmLzE0MjMtNGY4MS1hODk0LTliNWZhNGY3NTU0Mw.xml,"4700, NÃ¦stved",Erantisvej 53,Til kapitalejerne i My-Time Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016.",2017-03-04,2017-03-04,2007-06-08,2017-03-14,kah@my-time.dk,-15274.0,19723402.0,30608348.0,19723402.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016 for My-Time Holding ApS.,-38180.0,Ãrsrapport,Kornelis Arnoldus Hornstra,Revisions-Centret,Sydbank,My-Time Holding ApS,"Revisions-Centret, Registreret revisionsvirksomhed",5177.0,427.0,0.0,Stevns,2014-10-01,2015-09-30,-53799.0,-58204.0,-15274.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"336, Stevns",2016-09-30,2015-10-01,2017-03-04,NÃ¦stved,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende regnskabsÃ¥r og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",-4405.0,56 52 10 18,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:23609825,indberetninger-20180424,2.5122786,30608348.0,,2018-03-28T01:14:02.132Z,2017-03-16T16:01:47.682Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AE-56-US,2017-03-16T16:01:47.843Z,,,,,,,,,,,,,,,,,,,,,
30608348,2015-10-01,2016-09-30,ID_1,,http://regnskaber.virk.dk/84380603/ZG9rdW1lbnRsYWdlcjovLzAzLzI2Lzk5LzhhLzRmL2Q0ZTEtNDA0MS05ZDY5LTUzMzJiOWNjZGUyYQ.pdf,http://regnskaber.virk.dk/84380603/ZG9rdW1lbnRsYWdlcjovLzAzLzE4L2U4LzZiL2NmLzE0MjMtNGY4MS1hODk0LTliNWZhNGY3NTU0Mw.xml,"4700, NÃ¦stved",Erantisvej 53,Til kapitalejerne i My-Time Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016.",2017-03-04,2017-03-04,2007-06-08,2017-03-14,kah@my-time.dk,,19723402.0,30608348.0,19723402.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016 for My-Time Holding ApS.,,Ãrsrapport,Kornelis Arnoldus Hornstra,Revisions-Centret,Sydbank,My-Time Holding ApS,"Revisions-Centret, Registreret revisionsvirksomhed",,,,Stevns,2014-10-01,2015-09-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"336, Stevns",2016-09-30,2015-10-01,2017-03-04,NÃ¦stved,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende regnskabsÃ¥r og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",,56 52 10 18,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:23609825,indberetninger-20180424,2.5122786,30608348.0,,2018-03-28T01:14:02.132Z,2017-03-16T16:01:47.682Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AE-56-US,2017-03-16T16:01:47.843Z,,,,,,,,,,,,,,,,,,,,,Kornelis Arnoldus Hornstra
30608348,2015-10-01,2016-09-30,ID_10,,http://regnskaber.virk.dk/84380603/ZG9rdW1lbnRsYWdlcjovLzAzLzI2Lzk5LzhhLzRmL2Q0ZTEtNDA0MS05ZDY5LTUzMzJiOWNjZGUyYQ.pdf,http://regnskaber.virk.dk/84380603/ZG9rdW1lbnRsYWdlcjovLzAzLzE4L2U4LzZiL2NmLzE0MjMtNGY4MS1hODk0LTliNWZhNGY3NTU0Mw.xml,"4700, NÃ¦stved",Erantisvej 53,Til kapitalejerne i My-Time Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016.",2017-03-04,2017-03-04,2007-06-08,2017-03-14,kah@my-time.dk,,19723402.0,30608348.0,19723402.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016 for My-Time Holding ApS.,,Ãrsrapport,Kornelis Arnoldus Hornstra,Revisions-Centret,Sydbank,My-Time Holding ApS,"Revisions-Centret, Registreret revisionsvirksomhed",,,,Stevns,2014-10-01,2015-09-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"336, Stevns",2016-09-30,2015-10-01,2017-03-04,NÃ¦stved,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende regnskabsÃ¥r og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",,56 52 10 18,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:23609825,indberetninger-20180424,2.5122786,30608348.0,,2018-03-28T01:14:02.132Z,2017-03-16T16:01:47.682Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AE-56-US,2017-03-16T16:01:47.843Z,,,,,,,,,,,,,,,,,,,,,
30608348,2015-10-01,2016-09-30,ID_2,,http://regnskaber.virk.dk/84380603/ZG9rdW1lbnRsYWdlcjovLzAzLzI2Lzk5LzhhLzRmL2Q0ZTEtNDA0MS05ZDY5LTUzMzJiOWNjZGUyYQ.pdf,http://regnskaber.virk.dk/84380603/ZG9rdW1lbnRsYWdlcjovLzAzLzE4L2U4LzZiL2NmLzE0MjMtNGY4MS1hODk0LTliNWZhNGY3NTU0Mw.xml,"4700, NÃ¦stved",Erantisvej 53,Til kapitalejerne i My-Time Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016.",2017-03-04,2017-03-04,2007-06-08,2017-03-14,kah@my-time.dk,,19723402.0,30608348.0,19723402.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016 for My-Time Holding ApS.,,Ãrsrapport,Kornelis Arnoldus Hornstra,Revisions-Centret,Sydbank,My-Time Holding ApS,"Revisions-Centret, Registreret revisionsvirksomhed",,,,Stevns,2014-10-01,2015-09-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"336, Stevns",2016-09-30,2015-10-01,2017-03-04,NÃ¦stved,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende regnskabsÃ¥r og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",,56 52 10 18,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:23609825,indberetninger-20180424,2.5122786,30608348.0,,2018-03-28T01:14:02.132Z,2017-03-16T16:01:47.682Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AE-56-US,2017-03-16T16:01:47.843Z,,,,,,,,,,,,,,,,,,,,,
30608348,2015-10-01,2016-09-30,ID_4,,http://regnskaber.virk.dk/84380603/ZG9rdW1lbnRsYWdlcjovLzAzLzI2Lzk5LzhhLzRmL2Q0ZTEtNDA0MS05ZDY5LTUzMzJiOWNjZGUyYQ.pdf,http://regnskaber.virk.dk/84380603/ZG9rdW1lbnRsYWdlcjovLzAzLzE4L2U4LzZiL2NmLzE0MjMtNGY4MS1hODk0LTliNWZhNGY3NTU0Mw.xml,"4700, NÃ¦stved",Erantisvej 53,Til kapitalejerne i My-Time Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016.",2017-03-04,2017-03-04,2007-06-08,2017-03-14,kah@my-time.dk,,19723402.0,30608348.0,19723402.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016 for My-Time Holding ApS.,,Ãrsrapport,Kornelis Arnoldus Hornstra,Revisions-Centret,Sydbank,My-Time Holding ApS,"Revisions-Centret, Registreret revisionsvirksomhed",,,,Stevns,2014-10-01,2015-09-30,38180.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"336, Stevns",2016-09-30,2015-10-01,2017-03-04,NÃ¦stved,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende regnskabsÃ¥r og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",,56 52 10 18,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:23609825,indberetninger-20180424,2.5122786,30608348.0,,2018-03-28T01:14:02.132Z,2017-03-16T16:01:47.682Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AE-56-US,2017-03-16T16:01:47.843Z,,,,,,,,,,,,,,,,,,,,,
30608348,2015-10-01,2016-09-30,ID_6,,http://regnskaber.virk.dk/84380603/ZG9rdW1lbnRsYWdlcjovLzAzLzI2Lzk5LzhhLzRmL2Q0ZTEtNDA0MS05ZDY5LTUzMzJiOWNjZGUyYQ.pdf,http://regnskaber.virk.dk/84380603/ZG9rdW1lbnRsYWdlcjovLzAzLzE4L2U4LzZiL2NmLzE0MjMtNGY4MS1hODk0LTliNWZhNGY3NTU0Mw.xml,"4700, NÃ¦stved",Erantisvej 53,Til kapitalejerne i My-Time Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016.",2017-03-04,2017-03-04,2007-06-08,2017-03-14,kah@my-time.dk,,19723402.0,30608348.0,19723402.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016 for My-Time Holding ApS.,,Ãrsrapport,Kornelis Arnoldus Hornstra,Revisions-Centret,Sydbank,My-Time Holding ApS,"Revisions-Centret, Registreret revisionsvirksomhed",,,,Stevns,2014-10-01,2015-09-30,15619.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"336, Stevns",2016-09-30,2015-10-01,2017-03-04,NÃ¦stved,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende regnskabsÃ¥r og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",,56 52 10 18,DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:23609825,indberetninger-20180424,2.5122786,30608348.0,,2018-03-28T01:14:02.132Z,2017-03-16T16:01:47.682Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AE-56-US,2017-03-16T16:01:47.843Z,,,,,,,,,,,,,,,,,,,,,
