entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfGeneralMeeting,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,RecommendationForApprovalOfAnnualReportByGeneralMeeting,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,AverageNumberOfEmployees,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GrossProfitLoss,OtherFinanceExpenses,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,DepositsLongtermInvestmentsAndReceivables,Equity,FixturesFittingsToolsAndEquipment,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,NoncurrentAssets,OtherShorttermPayables,PropertyPlantAndEquipment,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermTaxPayablesToGroupEnterprises,ShorttermTradePayables,ShorttermTradeReceivables,NameAndSurnameOfMemberOfExecutiveBoard
35249443,2016-10-01,2017-09-30,ID_11,,http://regnskaber.virk.dk/34494253/ZG9rdW1lbnRsYWdlcjovLzAzL2M2LzA4LzJkLzQ1LzE0MzAtNDhiMi1iYmMwLTU2MzQ4NmRjNWZhMQ.pdf,http://regnskaber.virk.dk/34494253/ZG9rdW1lbnRsYWdlcjovLzAzLzc1LzJkLzNhLzgyLzM0OGQtNDM4Mi1iOTM1LTk5YjA5YTkzYmUzMw.xml,true,"KÃ¸benhavn K, 1304",Adelgade 15,Til den daglige ledelse i Salvita ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-10-25,2018-10-25,2018-10-31,39463113.0,35249443.0,39463113.0,mne11664,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018 for Salvita ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Bent Kofoed,Tue Terslin Barfod-KjÃ¦r,KRESTON CM,Salvita ApS,"KRESTON CM, Statsautoriseret Revisionsinteressentskab",DyssegÃ¥rd,2016-10-01,2017-09-30,-317455.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-09-30,2017-10-01,false,2018-10-25,KÃ¸benhavn,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26267687,indberetninger-20180424,2.5118406,35249443.0,AWbjgdm-5OzuYdPkF-I2,2018-11-05T10:54:06.108Z,2018-11-05T10:53:48.702Z,regnskab,0.0,,2018-09-30,2017-10-01,X18-DJ-67-WU,2018-11-05T10:53:48.850Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35249443,2016-10-01,2017-09-30,ID_8,,http://regnskaber.virk.dk/34494253/ZG9rdW1lbnRsYWdlcjovLzAzL2M2LzA4LzJkLzQ1LzE0MzAtNDhiMi1iYmMwLTU2MzQ4NmRjNWZhMQ.pdf,http://regnskaber.virk.dk/34494253/ZG9rdW1lbnRsYWdlcjovLzAzLzc1LzJkLzNhLzgyLzM0OGQtNDM4Mi1iOTM1LTk5YjA5YTkzYmUzMw.xml,true,"KÃ¸benhavn K, 1304",Adelgade 15,Til den daglige ledelse i Salvita ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-10-25,2018-10-25,2018-10-31,39463113.0,35249443.0,39463113.0,mne11664,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018 for Salvita ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Bent Kofoed,Tue Terslin Barfod-KjÃ¦r,KRESTON CM,Salvita ApS,"KRESTON CM, Statsautoriseret Revisionsinteressentskab",DyssegÃ¥rd,2016-10-01,2017-09-30,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-09-30,2017-10-01,false,2018-10-25,KÃ¸benhavn,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26267687,indberetninger-20180424,2.5118406,35249443.0,AWbjgdm-5OzuYdPkF-I2,2018-11-05T10:54:06.108Z,2018-11-05T10:53:48.702Z,regnskab,0.0,,2018-09-30,2017-10-01,X18-DJ-67-WU,2018-11-05T10:53:48.850Z,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35249443,2016-10-01,2017-09-30,ID_9,,http://regnskaber.virk.dk/34494253/ZG9rdW1lbnRsYWdlcjovLzAzL2M2LzA4LzJkLzQ1LzE0MzAtNDhiMi1iYmMwLTU2MzQ4NmRjNWZhMQ.pdf,http://regnskaber.virk.dk/34494253/ZG9rdW1lbnRsYWdlcjovLzAzLzc1LzJkLzNhLzgyLzM0OGQtNDM4Mi1iOTM1LTk5YjA5YTkzYmUzMw.xml,true,"KÃ¸benhavn K, 1304",Adelgade 15,Til den daglige ledelse i Salvita ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-10-25,2018-10-25,2018-10-31,39463113.0,35249443.0,39463113.0,mne11664,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018 for Salvita ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Bent Kofoed,Tue Terslin Barfod-KjÃ¦r,KRESTON CM,Salvita ApS,"KRESTON CM, Statsautoriseret Revisionsinteressentskab",DyssegÃ¥rd,2016-10-01,2017-09-30,317455.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-09-30,2017-10-01,false,2018-10-25,KÃ¸benhavn,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26267687,indberetninger-20180424,2.5118406,35249443.0,AWbjgdm-5OzuYdPkF-I2,2018-11-05T10:54:06.108Z,2018-11-05T10:53:48.702Z,regnskab,0.0,,2018-09-30,2017-10-01,X18-DJ-67-WU,2018-11-05T10:53:48.850Z,,12206.0,1025634.0,1459656.0,11486.0,410346.0,421816.0,,,,,,,,,,,,,,,,,,,,,,,
35249443,2017-09-30,2017-09-30,ID_5,,http://regnskaber.virk.dk/34494253/ZG9rdW1lbnRsYWdlcjovLzAzL2M2LzA4LzJkLzQ1LzE0MzAtNDhiMi1iYmMwLTU2MzQ4NmRjNWZhMQ.pdf,http://regnskaber.virk.dk/34494253/ZG9rdW1lbnRsYWdlcjovLzAzLzc1LzJkLzNhLzgyLzM0OGQtNDM4Mi1iOTM1LTk5YjA5YTkzYmUzMw.xml,true,"KÃ¸benhavn K, 1304",Adelgade 15,Til den daglige ledelse i Salvita ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-10-25,2018-10-25,2018-10-31,39463113.0,35249443.0,39463113.0,mne11664,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018 for Salvita ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Bent Kofoed,Tue Terslin Barfod-KjÃ¦r,KRESTON CM,Salvita ApS,"KRESTON CM, Statsautoriseret Revisionsinteressentskab",DyssegÃ¥rd,2016-10-01,2017-09-30,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-09-30,2017-10-01,false,2018-10-25,KÃ¸benhavn,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26267687,indberetninger-20180424,2.5118406,35249443.0,AWbjgdm-5OzuYdPkF-I2,2018-11-05T10:54:06.108Z,2018-11-05T10:53:48.702Z,regnskab,0.0,,2018-09-30,2017-10-01,X18-DJ-67-WU,2018-11-05T10:53:48.850Z,,,,,,,,920059.0,167851.0,80000.0,900630.0,4010.0,4650.0,281789.0,14779.0,920059.0,638270.0,4650.0,19429.0,301441.0,14779.0,201789.0,638270.0,95821.0,11839.0,732779.0,91606.0,137563.0,688322.0,
35249443,2017-10-01,2018-09-30,ID_0,,http://regnskaber.virk.dk/34494253/ZG9rdW1lbnRsYWdlcjovLzAzL2M2LzA4LzJkLzQ1LzE0MzAtNDhiMi1iYmMwLTU2MzQ4NmRjNWZhMQ.pdf,http://regnskaber.virk.dk/34494253/ZG9rdW1lbnRsYWdlcjovLzAzLzc1LzJkLzNhLzgyLzM0OGQtNDM4Mi1iOTM1LTk5YjA5YTkzYmUzMw.xml,true,"KÃ¸benhavn K, 1304",Adelgade 15,Til den daglige ledelse i Salvita ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-10-25,2018-10-25,2018-10-31,39463113.0,35249443.0,39463113.0,mne11664,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018 for Salvita ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Bent Kofoed,Tue Terslin Barfod-KjÃ¦r,KRESTON CM,Salvita ApS,"KRESTON CM, Statsautoriseret Revisionsinteressentskab",DyssegÃ¥rd,2016-10-01,2017-09-30,37399.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-09-30,2017-10-01,false,2018-10-25,KÃ¸benhavn,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26267687,indberetninger-20180424,2.5118406,35249443.0,AWbjgdm-5OzuYdPkF-I2,2018-11-05T10:54:06.108Z,2018-11-05T10:53:48.702Z,regnskab,0.0,,2018-09-30,2017-10-01,X18-DJ-67-WU,2018-11-05T10:53:48.850Z,,9300.0,1035057.0,1085228.0,2196.0,50774.0,40871.0,,,,,,,,,,,,,,,,,,,,,,,
35249443,2017-10-01,2018-09-30,ID_1,,http://regnskaber.virk.dk/34494253/ZG9rdW1lbnRsYWdlcjovLzAzL2M2LzA4LzJkLzQ1LzE0MzAtNDhiMi1iYmMwLTU2MzQ4NmRjNWZhMQ.pdf,http://regnskaber.virk.dk/34494253/ZG9rdW1lbnRsYWdlcjovLzAzLzc1LzJkLzNhLzgyLzM0OGQtNDM4Mi1iOTM1LTk5YjA5YTkzYmUzMw.xml,true,"KÃ¸benhavn K, 1304",Adelgade 15,Til den daglige ledelse i Salvita ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-10-25,2018-10-25,2018-10-31,39463113.0,35249443.0,39463113.0,mne11664,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018 for Salvita ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Bent Kofoed,Tue Terslin Barfod-KjÃ¦r,KRESTON CM,Salvita ApS,"KRESTON CM, Statsautoriseret Revisionsinteressentskab",DyssegÃ¥rd,2016-10-01,2017-09-30,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-09-30,2017-10-01,false,2018-10-25,KÃ¸benhavn,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26267687,indberetninger-20180424,2.5118406,35249443.0,AWbjgdm-5OzuYdPkF-I2,2018-11-05T10:54:06.108Z,2018-11-05T10:53:48.702Z,regnskab,0.0,,2018-09-30,2017-10-01,X18-DJ-67-WU,2018-11-05T10:53:48.850Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35249443,2017-10-01,2018-09-30,ID_10,,http://regnskaber.virk.dk/34494253/ZG9rdW1lbnRsYWdlcjovLzAzL2M2LzA4LzJkLzQ1LzE0MzAtNDhiMi1iYmMwLTU2MzQ4NmRjNWZhMQ.pdf,http://regnskaber.virk.dk/34494253/ZG9rdW1lbnRsYWdlcjovLzAzLzc1LzJkLzNhLzgyLzM0OGQtNDM4Mi1iOTM1LTk5YjA5YTkzYmUzMw.xml,true,"KÃ¸benhavn K, 1304",Adelgade 15,Til den daglige ledelse i Salvita ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-10-25,2018-10-25,2018-10-31,39463113.0,35249443.0,39463113.0,mne11664,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018 for Salvita ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Bent Kofoed,Tue Terslin Barfod-KjÃ¦r,KRESTON CM,Salvita ApS,"KRESTON CM, Statsautoriseret Revisionsinteressentskab",DyssegÃ¥rd,2016-10-01,2017-09-30,-37399.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-09-30,2017-10-01,false,2018-10-25,KÃ¸benhavn,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26267687,indberetninger-20180424,2.5118406,35249443.0,AWbjgdm-5OzuYdPkF-I2,2018-11-05T10:54:06.108Z,2018-11-05T10:53:48.702Z,regnskab,0.0,,2018-09-30,2017-10-01,X18-DJ-67-WU,2018-11-05T10:53:48.850Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35249443,2017-10-01,2018-09-30,ID_2,,http://regnskaber.virk.dk/34494253/ZG9rdW1lbnRsYWdlcjovLzAzL2M2LzA4LzJkLzQ1LzE0MzAtNDhiMi1iYmMwLTU2MzQ4NmRjNWZhMQ.pdf,http://regnskaber.virk.dk/34494253/ZG9rdW1lbnRsYWdlcjovLzAzLzc1LzJkLzNhLzgyLzM0OGQtNDM4Mi1iOTM1LTk5YjA5YTkzYmUzMw.xml,true,"KÃ¸benhavn K, 1304",Adelgade 15,Til den daglige ledelse i Salvita ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-10-25,2018-10-25,2018-10-31,39463113.0,35249443.0,39463113.0,mne11664,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018 for Salvita ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Bent Kofoed,Tue Terslin Barfod-KjÃ¦r,KRESTON CM,Salvita ApS,"KRESTON CM, Statsautoriseret Revisionsinteressentskab",DyssegÃ¥rd,2016-10-01,2017-09-30,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-09-30,2017-10-01,false,2018-10-25,KÃ¸benhavn,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26267687,indberetninger-20180424,2.5118406,35249443.0,AWbjgdm-5OzuYdPkF-I2,2018-11-05T10:54:06.108Z,2018-11-05T10:53:48.702Z,regnskab,0.0,,2018-09-30,2017-10-01,X18-DJ-67-WU,2018-11-05T10:53:48.850Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35249443,2017-10-01,2018-09-30,ID_3,,http://regnskaber.virk.dk/34494253/ZG9rdW1lbnRsYWdlcjovLzAzL2M2LzA4LzJkLzQ1LzE0MzAtNDhiMi1iYmMwLTU2MzQ4NmRjNWZhMQ.pdf,http://regnskaber.virk.dk/34494253/ZG9rdW1lbnRsYWdlcjovLzAzLzc1LzJkLzNhLzgyLzM0OGQtNDM4Mi1iOTM1LTk5YjA5YTkzYmUzMw.xml,true,"KÃ¸benhavn K, 1304",Adelgade 15,Til den daglige ledelse i Salvita ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-10-25,2018-10-25,2018-10-31,39463113.0,35249443.0,39463113.0,mne11664,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018 for Salvita ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Bent Kofoed,Tue Terslin Barfod-KjÃ¦r,KRESTON CM,Salvita ApS,"KRESTON CM, Statsautoriseret Revisionsinteressentskab",DyssegÃ¥rd,2016-10-01,2017-09-30,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-09-30,2017-10-01,false,2018-10-25,KÃ¸benhavn,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26267687,indberetninger-20180424,2.5118406,35249443.0,AWbjgdm-5OzuYdPkF-I2,2018-11-05T10:54:06.108Z,2018-11-05T10:53:48.702Z,regnskab,0.0,,2018-09-30,2017-10-01,X18-DJ-67-WU,2018-11-05T10:53:48.850Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35249443,2017-10-01,2018-09-30,ID_4,,http://regnskaber.virk.dk/34494253/ZG9rdW1lbnRsYWdlcjovLzAzL2M2LzA4LzJkLzQ1LzE0MzAtNDhiMi1iYmMwLTU2MzQ4NmRjNWZhMQ.pdf,http://regnskaber.virk.dk/34494253/ZG9rdW1lbnRsYWdlcjovLzAzLzc1LzJkLzNhLzgyLzM0OGQtNDM4Mi1iOTM1LTk5YjA5YTkzYmUzMw.xml,true,"KÃ¸benhavn K, 1304",Adelgade 15,Til den daglige ledelse i Salvita ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-10-25,2018-10-25,2018-10-31,39463113.0,35249443.0,39463113.0,mne11664,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018 for Salvita ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Bent Kofoed,Tue Terslin Barfod-KjÃ¦r,KRESTON CM,Salvita ApS,"KRESTON CM, Statsautoriseret Revisionsinteressentskab",DyssegÃ¥rd,2016-10-01,2017-09-30,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-09-30,2017-10-01,false,2018-10-25,KÃ¸benhavn,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26267687,indberetninger-20180424,2.5118406,35249443.0,AWbjgdm-5OzuYdPkF-I2,2018-11-05T10:54:06.108Z,2018-11-05T10:53:48.702Z,regnskab,0.0,,2018-09-30,2017-10-01,X18-DJ-67-WU,2018-11-05T10:53:48.850Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tue Terslin Barfod-KjÃ¦r
