entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfReportingEntity,NameOfSubmittingEnterprise,NumberOfIssuedShares,PlaceOfSignatureOfStatement,ProfitLoss,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TitleOfMemberOfSupervisoryBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,EmployeeBenefitsExpense,GrossProfitLoss,ImpairmentOfFinancialAssets,InterestExpenseAssignedToGroupEnterprises,OtherAdjustmentsOfFinanceExpenses,OtherFinanceExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,NominalValueOfIssuedShares,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermLiabilitiesOtherThanProvisions,LongtermPayablesToGroupEnterprises,NoncurrentAssets,OtherLongtermInvestments,OtherShorttermPayables,OtherShorttermReceivables,RetainedEarnings,SharePremium,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,NameAndSurnameOfMemberOfSupervisoryBoard,NameAndSurnameOfMemberOfExecutiveBoard
29195412,2012-10-01,2013-09-30,c195,,http://regnskaber.virk.dk/21459192/ZG9rdW1lbnRsYWdlcjovLzAzLzdkL2JhL2NkLzE3L2VjMWEtNDk4YS1hOTdjLTkxZDFjMGRkNTkzMQ.pdf,http://regnskaber.virk.dk/21459192/ZG9rdW1lbnRsYWdlcjovLzAzL2IyLzQwL2U1Lzg3LzJkMDktNGJmYi05MjM2LWNhMTE3NTE1M2Y0NQ.xml,Frederiksberg,2000.0,4.0,Osvald Helmuths Vej,KÃ¸benhavn K,1057.0,"14, 2. tv.",Holbergsgade,"Postboks 250, 2000 Frederiksberg",Osvald Helmuths Vej 4,Regnskabsklasse B,2015-03-20,2015-03-20,2005-12-02,2015-03-20,statsaut. revisor,29195412.0,30700228.0,Ãrsrapport,Henrik Reedtz,Ole Meier SÃ¸rensen,Colin ApS,Ernst & Young Godkendt Revisionspartnerselskab,126.0,"KÃ¸benhavn, den",-2124875.0,KÃ¸benhavn,2014-09-30,2013-10-01,2015-03-20,"KÃ¸benhavn, den",formand,RevisionspÃ¥tegning,urn:ofk:oid:5140530,indberetninger-20180424,2.5118406,29195412.0,,2018-03-30T11:12:31.270Z,2015-04-21T12:42:17.578Z,regnskab,0.0,,2014-09-30,2013-10-01,X15-AA-87-XP,2015-04-21T12:42:17.620Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29195412,2012-10-01,2013-09-30,c4,,http://regnskaber.virk.dk/21459192/ZG9rdW1lbnRsYWdlcjovLzAzLzdkL2JhL2NkLzE3L2VjMWEtNDk4YS1hOTdjLTkxZDFjMGRkNTkzMQ.pdf,http://regnskaber.virk.dk/21459192/ZG9rdW1lbnRsYWdlcjovLzAzL2IyLzQwL2U1Lzg3LzJkMDktNGJmYi05MjM2LWNhMTE3NTE1M2Y0NQ.xml,Frederiksberg,2000.0,4.0,Osvald Helmuths Vej,KÃ¸benhavn K,1057.0,"14, 2. tv.",Holbergsgade,"Postboks 250, 2000 Frederiksberg",Osvald Helmuths Vej 4,Regnskabsklasse B,2015-03-20,2015-03-20,2005-12-02,2015-03-20,statsaut. revisor,29195412.0,30700228.0,Ãrsrapport,Henrik Reedtz,Ole Meier SÃ¸rensen,Colin ApS,Ernst & Young Godkendt Revisionspartnerselskab,126.0,"KÃ¸benhavn, den",-2124875.0,KÃ¸benhavn,2014-09-30,2013-10-01,2015-03-20,"KÃ¸benhavn, den",formand,RevisionspÃ¥tegning,urn:ofk:oid:5140530,indberetninger-20180424,2.5118406,29195412.0,,2018-03-30T11:12:31.270Z,2015-04-21T12:42:17.578Z,regnskab,0.0,,2014-09-30,2013-10-01,X15-AA-87-XP,2015-04-21T12:42:17.620Z,0.0,-554289.0,2525720.0,3453504.0,78106.0,6057330.0,4486744.0,-2124875.0,-554289.0,0.0,,,,,,,,,,,,,,,,,,,,,
29195412,2013-09-30,2013-09-30,c1294,,http://regnskaber.virk.dk/21459192/ZG9rdW1lbnRsYWdlcjovLzAzLzdkL2JhL2NkLzE3L2VjMWEtNDk4YS1hOTdjLTkxZDFjMGRkNTkzMQ.pdf,http://regnskaber.virk.dk/21459192/ZG9rdW1lbnRsYWdlcjovLzAzL2IyLzQwL2U1Lzg3LzJkMDktNGJmYi05MjM2LWNhMTE3NTE1M2Y0NQ.xml,Frederiksberg,2000.0,4.0,Osvald Helmuths Vej,KÃ¸benhavn K,1057.0,"14, 2. tv.",Holbergsgade,"Postboks 250, 2000 Frederiksberg",Osvald Helmuths Vej 4,Regnskabsklasse B,2015-03-20,2015-03-20,2005-12-02,2015-03-20,statsaut. revisor,29195412.0,30700228.0,Ãrsrapport,Henrik Reedtz,Ole Meier SÃ¸rensen,Colin ApS,Ernst & Young Godkendt Revisionspartnerselskab,126.0,"KÃ¸benhavn, den",,KÃ¸benhavn,2014-09-30,2013-10-01,2015-03-20,"KÃ¸benhavn, den",formand,RevisionspÃ¥tegning,urn:ofk:oid:5140530,indberetninger-20180424,2.5118406,29195412.0,,2018-03-30T11:12:31.270Z,2015-04-21T12:42:17.578Z,regnskab,0.0,,2014-09-30,2013-10-01,X15-AA-87-XP,2015-04-21T12:42:17.620Z,,,,,,,,,,,126000.0,,,,,,,,,,,,,,,,,,,,
29195412,2013-09-30,2013-09-30,c5,,http://regnskaber.virk.dk/21459192/ZG9rdW1lbnRsYWdlcjovLzAzLzdkL2JhL2NkLzE3L2VjMWEtNDk4YS1hOTdjLTkxZDFjMGRkNTkzMQ.pdf,http://regnskaber.virk.dk/21459192/ZG9rdW1lbnRsYWdlcjovLzAzL2IyLzQwL2U1Lzg3LzJkMDktNGJmYi05MjM2LWNhMTE3NTE1M2Y0NQ.xml,Frederiksberg,2000.0,4.0,Osvald Helmuths Vej,KÃ¸benhavn K,1057.0,"14, 2. tv.",Holbergsgade,"Postboks 250, 2000 Frederiksberg",Osvald Helmuths Vej 4,Regnskabsklasse B,2015-03-20,2015-03-20,2005-12-02,2015-03-20,statsaut. revisor,29195412.0,30700228.0,Ãrsrapport,Henrik Reedtz,Ole Meier SÃ¸rensen,Colin ApS,Ernst & Young Godkendt Revisionspartnerselskab,126.0,"KÃ¸benhavn, den",,KÃ¸benhavn,2014-09-30,2013-10-01,2015-03-20,"KÃ¸benhavn, den",formand,RevisionspÃ¥tegning,urn:ofk:oid:5140530,indberetninger-20180424,2.5118406,29195412.0,,2018-03-30T11:12:31.270Z,2015-04-21T12:42:17.578Z,regnskab,0.0,,2014-09-30,2013-10-01,X15-AA-87-XP,2015-04-21T12:42:17.620Z,,,,,,,,,,,,118811728.0,4482141.0,126000.0,4505448.0,35948884.0,118811728.0,82862844.0,114306280.0,82743902.0,82743902.0,114306280.0,114306280.0,118942.0,23307.0,-1541116.0,37364000.0,118942.0,23307.0,,
29195412,2013-10-01,2013-10-01,c312,,http://regnskaber.virk.dk/21459192/ZG9rdW1lbnRsYWdlcjovLzAzLzdkL2JhL2NkLzE3L2VjMWEtNDk4YS1hOTdjLTkxZDFjMGRkNTkzMQ.pdf,http://regnskaber.virk.dk/21459192/ZG9rdW1lbnRsYWdlcjovLzAzL2IyLzQwL2U1Lzg3LzJkMDktNGJmYi05MjM2LWNhMTE3NTE1M2Y0NQ.xml,Frederiksberg,2000.0,4.0,Osvald Helmuths Vej,KÃ¸benhavn K,1057.0,"14, 2. tv.",Holbergsgade,"Postboks 250, 2000 Frederiksberg",Osvald Helmuths Vej 4,Regnskabsklasse B,2015-03-20,2015-03-20,2005-12-02,2015-03-20,statsaut. revisor,29195412.0,30700228.0,Ãrsrapport,Henrik Reedtz,Ole Meier SÃ¸rensen,Colin ApS,Ernst & Young Godkendt Revisionspartnerselskab,126.0,"KÃ¸benhavn, den",,KÃ¸benhavn,2014-09-30,2013-10-01,2015-03-20,"KÃ¸benhavn, den",formand,RevisionspÃ¥tegning,urn:ofk:oid:5140530,indberetninger-20180424,2.5118406,29195412.0,,2018-03-30T11:12:31.270Z,2015-04-21T12:42:17.578Z,regnskab,0.0,,2014-09-30,2013-10-01,X15-AA-87-XP,2015-04-21T12:42:17.620Z,,,,,,,,,,,,,,,,126000.0,,,,,,,,,,,,,,,
29195412,2013-10-01,2013-10-01,c321,,http://regnskaber.virk.dk/21459192/ZG9rdW1lbnRsYWdlcjovLzAzLzdkL2JhL2NkLzE3L2VjMWEtNDk4YS1hOTdjLTkxZDFjMGRkNTkzMQ.pdf,http://regnskaber.virk.dk/21459192/ZG9rdW1lbnRsYWdlcjovLzAzL2IyLzQwL2U1Lzg3LzJkMDktNGJmYi05MjM2LWNhMTE3NTE1M2Y0NQ.xml,Frederiksberg,2000.0,4.0,Osvald Helmuths Vej,KÃ¸benhavn K,1057.0,"14, 2. tv.",Holbergsgade,"Postboks 250, 2000 Frederiksberg",Osvald Helmuths Vej 4,Regnskabsklasse B,2015-03-20,2015-03-20,2005-12-02,2015-03-20,statsaut. revisor,29195412.0,30700228.0,Ãrsrapport,Henrik Reedtz,Ole Meier SÃ¸rensen,Colin ApS,Ernst & Young Godkendt Revisionspartnerselskab,126.0,"KÃ¸benhavn, den",,KÃ¸benhavn,2014-09-30,2013-10-01,2015-03-20,"KÃ¸benhavn, den",formand,RevisionspÃ¥tegning,urn:ofk:oid:5140530,indberetninger-20180424,2.5118406,29195412.0,,2018-03-30T11:12:31.270Z,2015-04-21T12:42:17.578Z,regnskab,0.0,,2014-09-30,2013-10-01,X15-AA-87-XP,2015-04-21T12:42:17.620Z,,,,,,,,,,,,,,,,37364000.0,,,,,,,,,,,,,,,
29195412,2013-10-01,2013-10-01,c351,,http://regnskaber.virk.dk/21459192/ZG9rdW1lbnRsYWdlcjovLzAzLzdkL2JhL2NkLzE3L2VjMWEtNDk4YS1hOTdjLTkxZDFjMGRkNTkzMQ.pdf,http://regnskaber.virk.dk/21459192/ZG9rdW1lbnRsYWdlcjovLzAzL2IyLzQwL2U1Lzg3LzJkMDktNGJmYi05MjM2LWNhMTE3NTE1M2Y0NQ.xml,Frederiksberg,2000.0,4.0,Osvald Helmuths Vej,KÃ¸benhavn K,1057.0,"14, 2. tv.",Holbergsgade,"Postboks 250, 2000 Frederiksberg",Osvald Helmuths Vej 4,Regnskabsklasse B,2015-03-20,2015-03-20,2005-12-02,2015-03-20,statsaut. revisor,29195412.0,30700228.0,Ãrsrapport,Henrik Reedtz,Ole Meier SÃ¸rensen,Colin ApS,Ernst & Young Godkendt Revisionspartnerselskab,126.0,"KÃ¸benhavn, den",,KÃ¸benhavn,2014-09-30,2013-10-01,2015-03-20,"KÃ¸benhavn, den",formand,RevisionspÃ¥tegning,urn:ofk:oid:5140530,indberetninger-20180424,2.5118406,29195412.0,,2018-03-30T11:12:31.270Z,2015-04-21T12:42:17.578Z,regnskab,0.0,,2014-09-30,2013-10-01,X15-AA-87-XP,2015-04-21T12:42:17.620Z,,,,,,,,,,,,,,,,-1541116.0,,,,,,,,,,,,,,,
29195412,2013-10-01,2014-09-30,c1,,http://regnskaber.virk.dk/21459192/ZG9rdW1lbnRsYWdlcjovLzAzLzdkL2JhL2NkLzE3L2VjMWEtNDk4YS1hOTdjLTkxZDFjMGRkNTkzMQ.pdf,http://regnskaber.virk.dk/21459192/ZG9rdW1lbnRsYWdlcjovLzAzL2IyLzQwL2U1Lzg3LzJkMDktNGJmYi05MjM2LWNhMTE3NTE1M2Y0NQ.xml,Frederiksberg,2000.0,4.0,Osvald Helmuths Vej,KÃ¸benhavn K,1057.0,"14, 2. tv.",Holbergsgade,"Postboks 250, 2000 Frederiksberg",Osvald Helmuths Vej 4,Regnskabsklasse B,2015-03-20,2015-03-20,2005-12-02,2015-03-20,statsaut. revisor,29195412.0,30700228.0,Ãrsrapport,Henrik Reedtz,Ole Meier SÃ¸rensen,Colin ApS,Ernst & Young Godkendt Revisionspartnerselskab,126.0,"KÃ¸benhavn, den",-10084664.0,KÃ¸benhavn,2014-09-30,2013-10-01,2015-03-20,"KÃ¸benhavn, den",formand,RevisionspÃ¥tegning,urn:ofk:oid:5140530,indberetninger-20180424,2.5118406,29195412.0,,2018-03-30T11:12:31.270Z,2015-04-21T12:42:17.578Z,regnskab,0.0,,2014-09-30,2013-10-01,X15-AA-87-XP,2015-04-21T12:42:17.620Z,4000.0,-214869.0,10621380.0,2363238.0,527.0,12985145.0,3119350.0,-10084664.0,-218869.0,0.0,,,,,,,,,,,,,,,,,,,,,
29195412,2013-10-01,2014-09-30,c106,,http://regnskaber.virk.dk/21459192/ZG9rdW1lbnRsYWdlcjovLzAzLzdkL2JhL2NkLzE3L2VjMWEtNDk4YS1hOTdjLTkxZDFjMGRkNTkzMQ.pdf,http://regnskaber.virk.dk/21459192/ZG9rdW1lbnRsYWdlcjovLzAzL2IyLzQwL2U1Lzg3LzJkMDktNGJmYi05MjM2LWNhMTE3NTE1M2Y0NQ.xml,Frederiksberg,2000.0,4.0,Osvald Helmuths Vej,KÃ¸benhavn K,1057.0,"14, 2. tv.",Holbergsgade,"Postboks 250, 2000 Frederiksberg",Osvald Helmuths Vej 4,Regnskabsklasse B,2015-03-20,2015-03-20,2005-12-02,2015-03-20,statsaut. revisor,29195412.0,30700228.0,Ãrsrapport,Henrik Reedtz,Ole Meier SÃ¸rensen,Colin ApS,Ernst & Young Godkendt Revisionspartnerselskab,126.0,"KÃ¸benhavn, den",,KÃ¸benhavn,2014-09-30,2013-10-01,2015-03-20,"KÃ¸benhavn, den",formand,RevisionspÃ¥tegning,urn:ofk:oid:5140530,indberetninger-20180424,2.5118406,29195412.0,,2018-03-30T11:12:31.270Z,2015-04-21T12:42:17.578Z,regnskab,0.0,,2014-09-30,2013-10-01,X15-AA-87-XP,2015-04-21T12:42:17.620Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29195412,2013-10-01,2014-09-30,c194,,http://regnskaber.virk.dk/21459192/ZG9rdW1lbnRsYWdlcjovLzAzLzdkL2JhL2NkLzE3L2VjMWEtNDk4YS1hOTdjLTkxZDFjMGRkNTkzMQ.pdf,http://regnskaber.virk.dk/21459192/ZG9rdW1lbnRsYWdlcjovLzAzL2IyLzQwL2U1Lzg3LzJkMDktNGJmYi05MjM2LWNhMTE3NTE1M2Y0NQ.xml,Frederiksberg,2000.0,4.0,Osvald Helmuths Vej,KÃ¸benhavn K,1057.0,"14, 2. tv.",Holbergsgade,"Postboks 250, 2000 Frederiksberg",Osvald Helmuths Vej 4,Regnskabsklasse B,2015-03-20,2015-03-20,2005-12-02,2015-03-20,statsaut. revisor,29195412.0,30700228.0,Ãrsrapport,Henrik Reedtz,Ole Meier SÃ¸rensen,Colin ApS,Ernst & Young Godkendt Revisionspartnerselskab,126.0,"KÃ¸benhavn, den",-10084664.0,KÃ¸benhavn,2014-09-30,2013-10-01,2015-03-20,"KÃ¸benhavn, den",formand,RevisionspÃ¥tegning,urn:ofk:oid:5140530,indberetninger-20180424,2.5118406,29195412.0,,2018-03-30T11:12:31.270Z,2015-04-21T12:42:17.578Z,regnskab,0.0,,2014-09-30,2013-10-01,X15-AA-87-XP,2015-04-21T12:42:17.620Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
