entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfSupervisoryBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,NumberOfIssuedShares,PlaceOfSignatureOfStatement,ProfitLoss,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,EmployeeBenefitsExpense,ExchangeRateAdjustmentsOtherFinanceIncome,ExchangeRateProfit,ImpairmentOfFinancialAssets,IncomeFromSecuritiesAsNoncurrentAssets,InterestExpenseAssignedToGroupEnterprises,OtherAdjustmentsOfFinanceExpenses,OtherAdjustmentsOfFinanceIncome,OtherFinanceExpenses,OtherFinanceIncome,NominalValueOfIssuedShares,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermLiabilitiesOtherThanProvisions,LongtermPayablesToGroupEnterprises,NoncurrentAssets,OtherLongtermInvestments,OtherShorttermPayables,OtherShorttermReceivables,RetainedEarnings,SharePremium,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,NameAndSurnameOfMemberOfExecutiveBoard
29195412,2013-10-01,2014-09-30,c195,,http://regnskaber.virk.dk/21459192/ZG9rdW1lbnRsYWdlcjovLzAzL2MyLzQ0LzQzL2Y4LzFmNDYtNDZiMi1hOTYzLTVkYmU4NDY0ZGRlZQ.pdf,http://regnskaber.virk.dk/21459192/ZG9rdW1lbnRsYWdlcjovLzAzLzkwLzk5LzA1L2MyLzYxMDMtNDUwMy04MjU3LWYyYjQ4MmRmNzU1NA.xml,Frederiksberg,2000.0,4.0,Osvald Helmuths Vej,KÃ¸benhavn K,1057.0,"14, 2. tv.",Holbergsgade,"Postboks 250, 2000 Frederiksberg",Osvald Helmuths Vej 4,Regnskabsklasse B,2016-03-15,2016-03-15,2005-12-02,2016-03-15,statsaut. revisor,29195412.0,30700228.0,Ãrsrapport,Henrik Reedtz,Ole Meier SÃ¸rensen,Ole Meier SÃ¸rensen,Colin ApS,Ernst & Young Godkendt Revisionspartnerselskab,126.0,"KÃ¸benhavn, den",-10084664.0,KÃ¸benhavn,2015-09-30,2014-10-01,2016-03-15,"KÃ¸benhavn, den",RevisionspÃ¥tegning,urn:ofk:oid:22116274,indberetninger-20180424,2.5097403999999996,29195412.0,,2018-03-29T05:13:57.707Z,2016-03-16T15:23:43.829Z,regnskab,0.0,,2015-09-30,2014-10-01,X16-AS-41-FR,2016-03-16T15:23:44.266Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29195412,2013-10-01,2014-09-30,c4,,http://regnskaber.virk.dk/21459192/ZG9rdW1lbnRsYWdlcjovLzAzL2MyLzQ0LzQzL2Y4LzFmNDYtNDZiMi1hOTYzLTVkYmU4NDY0ZGRlZQ.pdf,http://regnskaber.virk.dk/21459192/ZG9rdW1lbnRsYWdlcjovLzAzLzkwLzk5LzA1L2MyLzYxMDMtNDUwMy04MjU3LWYyYjQ4MmRmNzU1NA.xml,Frederiksberg,2000.0,4.0,Osvald Helmuths Vej,KÃ¸benhavn K,1057.0,"14, 2. tv.",Holbergsgade,"Postboks 250, 2000 Frederiksberg",Osvald Helmuths Vej 4,Regnskabsklasse B,2016-03-15,2016-03-15,2005-12-02,2016-03-15,statsaut. revisor,29195412.0,30700228.0,Ãrsrapport,Henrik Reedtz,Ole Meier SÃ¸rensen,Ole Meier SÃ¸rensen,Colin ApS,Ernst & Young Godkendt Revisionspartnerselskab,126.0,"KÃ¸benhavn, den",-10084664.0,KÃ¸benhavn,2015-09-30,2014-10-01,2016-03-15,"KÃ¸benhavn, den",RevisionspÃ¥tegning,urn:ofk:oid:22116274,indberetninger-20180424,2.5097403999999996,29195412.0,,2018-03-29T05:13:57.707Z,2016-03-16T15:23:43.829Z,regnskab,0.0,,2015-09-30,2014-10-01,X16-AS-41-FR,2016-03-16T15:23:44.266Z,4000.0,149277.0,0.0,10621380.0,2970000.0,2363238.0,527.0,73.0,12985145.0,3119350.0,,,,,,,,,,,,,,,,,,,,
29195412,2014-09-30,2014-09-30,c1294,,http://regnskaber.virk.dk/21459192/ZG9rdW1lbnRsYWdlcjovLzAzL2MyLzQ0LzQzL2Y4LzFmNDYtNDZiMi1hOTYzLTVkYmU4NDY0ZGRlZQ.pdf,http://regnskaber.virk.dk/21459192/ZG9rdW1lbnRsYWdlcjovLzAzLzkwLzk5LzA1L2MyLzYxMDMtNDUwMy04MjU3LWYyYjQ4MmRmNzU1NA.xml,Frederiksberg,2000.0,4.0,Osvald Helmuths Vej,KÃ¸benhavn K,1057.0,"14, 2. tv.",Holbergsgade,"Postboks 250, 2000 Frederiksberg",Osvald Helmuths Vej 4,Regnskabsklasse B,2016-03-15,2016-03-15,2005-12-02,2016-03-15,statsaut. revisor,29195412.0,30700228.0,Ãrsrapport,Henrik Reedtz,Ole Meier SÃ¸rensen,Ole Meier SÃ¸rensen,Colin ApS,Ernst & Young Godkendt Revisionspartnerselskab,126.0,"KÃ¸benhavn, den",,KÃ¸benhavn,2015-09-30,2014-10-01,2016-03-15,"KÃ¸benhavn, den",RevisionspÃ¥tegning,urn:ofk:oid:22116274,indberetninger-20180424,2.5097403999999996,29195412.0,,2018-03-29T05:13:57.707Z,2016-03-16T15:23:43.829Z,regnskab,0.0,,2015-09-30,2014-10-01,X16-AS-41-FR,2016-03-16T15:23:44.266Z,,,,,,,,,,,126000.0,,,,,,,,,,,,,,,,,,,
29195412,2014-09-30,2014-09-30,c5,,http://regnskaber.virk.dk/21459192/ZG9rdW1lbnRsYWdlcjovLzAzL2MyLzQ0LzQzL2Y4LzFmNDYtNDZiMi1hOTYzLTVkYmU4NDY0ZGRlZQ.pdf,http://regnskaber.virk.dk/21459192/ZG9rdW1lbnRsYWdlcjovLzAzLzkwLzk5LzA1L2MyLzYxMDMtNDUwMy04MjU3LWYyYjQ4MmRmNzU1NA.xml,Frederiksberg,2000.0,4.0,Osvald Helmuths Vej,KÃ¸benhavn K,1057.0,"14, 2. tv.",Holbergsgade,"Postboks 250, 2000 Frederiksberg",Osvald Helmuths Vej 4,Regnskabsklasse B,2016-03-15,2016-03-15,2005-12-02,2016-03-15,statsaut. revisor,29195412.0,30700228.0,Ãrsrapport,Henrik Reedtz,Ole Meier SÃ¸rensen,Ole Meier SÃ¸rensen,Colin ApS,Ernst & Young Godkendt Revisionspartnerselskab,126.0,"KÃ¸benhavn, den",,KÃ¸benhavn,2015-09-30,2014-10-01,2016-03-15,"KÃ¸benhavn, den",RevisionspÃ¥tegning,urn:ofk:oid:22116274,indberetninger-20180424,2.5097403999999996,29195412.0,,2018-03-29T05:13:57.707Z,2016-03-16T15:23:43.829Z,regnskab,0.0,,2015-09-30,2014-10-01,X16-AS-41-FR,2016-03-16T15:23:44.266Z,,,,,,,,,,,,110964806.0,7256044.0,126000.0,7279906.0,25864220.0,110964806.0,85100586.0,103684900.0,84956871.0,84956871.0,103684900.0,103684900.0,143715.0,23862.0,-11625780.0,37364000.0,143715.0,23862.0,
29195412,2014-10-01,2015-09-30,c1,,http://regnskaber.virk.dk/21459192/ZG9rdW1lbnRsYWdlcjovLzAzL2MyLzQ0LzQzL2Y4LzFmNDYtNDZiMi1hOTYzLTVkYmU4NDY0ZGRlZQ.pdf,http://regnskaber.virk.dk/21459192/ZG9rdW1lbnRsYWdlcjovLzAzLzkwLzk5LzA1L2MyLzYxMDMtNDUwMy04MjU3LWYyYjQ4MmRmNzU1NA.xml,Frederiksberg,2000.0,4.0,Osvald Helmuths Vej,KÃ¸benhavn K,1057.0,"14, 2. tv.",Holbergsgade,"Postboks 250, 2000 Frederiksberg",Osvald Helmuths Vej 4,Regnskabsklasse B,2016-03-15,2016-03-15,2005-12-02,2016-03-15,statsaut. revisor,29195412.0,30700228.0,Ãrsrapport,Henrik Reedtz,Ole Meier SÃ¸rensen,Ole Meier SÃ¸rensen,Colin ApS,Ernst & Young Godkendt Revisionspartnerselskab,126.0,"KÃ¸benhavn, den",3949946.0,KÃ¸benhavn,2015-09-30,2014-10-01,2016-03-15,"KÃ¸benhavn, den",RevisionspÃ¥tegning,urn:ofk:oid:22116274,indberetninger-20180424,2.5097403999999996,29195412.0,,2018-03-29T05:13:57.707Z,2016-03-16T15:23:43.829Z,regnskab,0.0,,2015-09-30,2014-10-01,X16-AS-41-FR,2016-03-16T15:23:44.266Z,0.0,0.0,3871442.0,0.0,2970000.0,2430538.0,252283.0,3.0,2682821.0,6841445.0,,,,,,,,,,,,,,,,,,,,
29195412,2014-10-01,2015-09-30,c106,,http://regnskaber.virk.dk/21459192/ZG9rdW1lbnRsYWdlcjovLzAzL2MyLzQ0LzQzL2Y4LzFmNDYtNDZiMi1hOTYzLTVkYmU4NDY0ZGRlZQ.pdf,http://regnskaber.virk.dk/21459192/ZG9rdW1lbnRsYWdlcjovLzAzLzkwLzk5LzA1L2MyLzYxMDMtNDUwMy04MjU3LWYyYjQ4MmRmNzU1NA.xml,Frederiksberg,2000.0,4.0,Osvald Helmuths Vej,KÃ¸benhavn K,1057.0,"14, 2. tv.",Holbergsgade,"Postboks 250, 2000 Frederiksberg",Osvald Helmuths Vej 4,Regnskabsklasse B,2016-03-15,2016-03-15,2005-12-02,2016-03-15,statsaut. revisor,29195412.0,30700228.0,Ãrsrapport,Henrik Reedtz,Ole Meier SÃ¸rensen,Ole Meier SÃ¸rensen,Colin ApS,Ernst & Young Godkendt Revisionspartnerselskab,126.0,"KÃ¸benhavn, den",,KÃ¸benhavn,2015-09-30,2014-10-01,2016-03-15,"KÃ¸benhavn, den",RevisionspÃ¥tegning,urn:ofk:oid:22116274,indberetninger-20180424,2.5097403999999996,29195412.0,,2018-03-29T05:13:57.707Z,2016-03-16T15:23:43.829Z,regnskab,0.0,,2015-09-30,2014-10-01,X16-AS-41-FR,2016-03-16T15:23:44.266Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29195412,2014-10-01,2015-09-30,c194,,http://regnskaber.virk.dk/21459192/ZG9rdW1lbnRsYWdlcjovLzAzL2MyLzQ0LzQzL2Y4LzFmNDYtNDZiMi1hOTYzLTVkYmU4NDY0ZGRlZQ.pdf,http://regnskaber.virk.dk/21459192/ZG9rdW1lbnRsYWdlcjovLzAzLzkwLzk5LzA1L2MyLzYxMDMtNDUwMy04MjU3LWYyYjQ4MmRmNzU1NA.xml,Frederiksberg,2000.0,4.0,Osvald Helmuths Vej,KÃ¸benhavn K,1057.0,"14, 2. tv.",Holbergsgade,"Postboks 250, 2000 Frederiksberg",Osvald Helmuths Vej 4,Regnskabsklasse B,2016-03-15,2016-03-15,2005-12-02,2016-03-15,statsaut. revisor,29195412.0,30700228.0,Ãrsrapport,Henrik Reedtz,Ole Meier SÃ¸rensen,Ole Meier SÃ¸rensen,Colin ApS,Ernst & Young Godkendt Revisionspartnerselskab,126.0,"KÃ¸benhavn, den",3949946.0,KÃ¸benhavn,2015-09-30,2014-10-01,2016-03-15,"KÃ¸benhavn, den",RevisionspÃ¥tegning,urn:ofk:oid:22116274,indberetninger-20180424,2.5097403999999996,29195412.0,,2018-03-29T05:13:57.707Z,2016-03-16T15:23:43.829Z,regnskab,0.0,,2015-09-30,2014-10-01,X16-AS-41-FR,2016-03-16T15:23:44.266Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29195412,2014-10-01,2015-09-30,c33,,http://regnskaber.virk.dk/21459192/ZG9rdW1lbnRsYWdlcjovLzAzL2MyLzQ0LzQzL2Y4LzFmNDYtNDZiMi1hOTYzLTVkYmU4NDY0ZGRlZQ.pdf,http://regnskaber.virk.dk/21459192/ZG9rdW1lbnRsYWdlcjovLzAzLzkwLzk5LzA1L2MyLzYxMDMtNDUwMy04MjU3LWYyYjQ4MmRmNzU1NA.xml,Frederiksberg,2000.0,4.0,Osvald Helmuths Vej,KÃ¸benhavn K,1057.0,"14, 2. tv.",Holbergsgade,"Postboks 250, 2000 Frederiksberg",Osvald Helmuths Vej 4,Regnskabsklasse B,2016-03-15,2016-03-15,2005-12-02,2016-03-15,statsaut. revisor,29195412.0,30700228.0,Ãrsrapport,Henrik Reedtz,Ole Meier SÃ¸rensen,Ole Meier SÃ¸rensen,Colin ApS,Ernst & Young Godkendt Revisionspartnerselskab,126.0,"KÃ¸benhavn, den",,KÃ¸benhavn,2015-09-30,2014-10-01,2016-03-15,"KÃ¸benhavn, den",RevisionspÃ¥tegning,urn:ofk:oid:22116274,indberetninger-20180424,2.5097403999999996,29195412.0,,2018-03-29T05:13:57.707Z,2016-03-16T15:23:43.829Z,regnskab,0.0,,2015-09-30,2014-10-01,X16-AS-41-FR,2016-03-16T15:23:44.266Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29195412,2014-10-01,2015-09-30,c76,,http://regnskaber.virk.dk/21459192/ZG9rdW1lbnRsYWdlcjovLzAzL2MyLzQ0LzQzL2Y4LzFmNDYtNDZiMi1hOTYzLTVkYmU4NDY0ZGRlZQ.pdf,http://regnskaber.virk.dk/21459192/ZG9rdW1lbnRsYWdlcjovLzAzLzkwLzk5LzA1L2MyLzYxMDMtNDUwMy04MjU3LWYyYjQ4MmRmNzU1NA.xml,Frederiksberg,2000.0,4.0,Osvald Helmuths Vej,KÃ¸benhavn K,1057.0,"14, 2. tv.",Holbergsgade,"Postboks 250, 2000 Frederiksberg",Osvald Helmuths Vej 4,Regnskabsklasse B,2016-03-15,2016-03-15,2005-12-02,2016-03-15,statsaut. revisor,29195412.0,30700228.0,Ãrsrapport,Henrik Reedtz,Ole Meier SÃ¸rensen,Ole Meier SÃ¸rensen,Colin ApS,Ernst & Young Godkendt Revisionspartnerselskab,126.0,"KÃ¸benhavn, den",,KÃ¸benhavn,2015-09-30,2014-10-01,2016-03-15,"KÃ¸benhavn, den",RevisionspÃ¥tegning,urn:ofk:oid:22116274,indberetninger-20180424,2.5097403999999996,29195412.0,,2018-03-29T05:13:57.707Z,2016-03-16T15:23:43.829Z,regnskab,0.0,,2015-09-30,2014-10-01,X16-AS-41-FR,2016-03-16T15:23:44.266Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ole Meier SÃ¸rensen
29195412,2014-10-01,2015-09-30,c77,,http://regnskaber.virk.dk/21459192/ZG9rdW1lbnRsYWdlcjovLzAzL2MyLzQ0LzQzL2Y4LzFmNDYtNDZiMi1hOTYzLTVkYmU4NDY0ZGRlZQ.pdf,http://regnskaber.virk.dk/21459192/ZG9rdW1lbnRsYWdlcjovLzAzLzkwLzk5LzA1L2MyLzYxMDMtNDUwMy04MjU3LWYyYjQ4MmRmNzU1NA.xml,Frederiksberg,2000.0,4.0,Osvald Helmuths Vej,KÃ¸benhavn K,1057.0,"14, 2. tv.",Holbergsgade,"Postboks 250, 2000 Frederiksberg",Osvald Helmuths Vej 4,Regnskabsklasse B,2016-03-15,2016-03-15,2005-12-02,2016-03-15,statsaut. revisor,29195412.0,30700228.0,Ãrsrapport,Henrik Reedtz,Ole Meier SÃ¸rensen,Ole Meier SÃ¸rensen,Colin ApS,Ernst & Young Godkendt Revisionspartnerselskab,126.0,"KÃ¸benhavn, den",,KÃ¸benhavn,2015-09-30,2014-10-01,2016-03-15,"KÃ¸benhavn, den",RevisionspÃ¥tegning,urn:ofk:oid:22116274,indberetninger-20180424,2.5097403999999996,29195412.0,,2018-03-29T05:13:57.707Z,2016-03-16T15:23:43.829Z,regnskab,0.0,,2015-09-30,2014-10-01,X16-AS-41-FR,2016-03-16T15:23:44.266Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carl Edgar Serge VÃ¸gg
