entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,Assets,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfReport,DateOfGeneralMeeting,Equity,IdentificationNumberCvrOfReportingEntity,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,LiabilitiesAndEquity,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfReportingEntity,NameOfSubmittingEnterprise,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TelephoneNumberOfReportingEntity,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,NameAndSurnameOfMemberOfSupervisoryBoard,TitleOfMemberOfSupervisoryBoard,NameAndSurnameOfMemberOfExecutiveBoard
67388917,2015-01-01,2015-12-31,ID_0,,http://regnskaber.virk.dk/71988376/ZG9rdW1lbnRsYWdlcjovLzAzL2MyLzI1LzM3LzA4LzA2MTUtNDRiMi04NGFiLWQ1MTNmMTM0ZWQ0Yg.pdf,http://regnskaber.virk.dk/71988376/ZG9rdW1lbnRsYWdlcjovLzAzLzgyLzA5L2FhL2RmLzNhYzgtNDRiZi1hYjk4LTFmMDg0Y2I4ZTc3OQ.xml,"8260, Viby J",BÃ¸rupvej 109,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2015 - 31-12-2015.",2016-05-20,2016-05-20,0.0,67388917.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2015 - 31-12-2015 for Arla DP A/S.,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Udo Witzky,Arla DP A/S,Udo Witzky,2014-01-01,2014-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"0, Aarhus",2015-12-31,2015-01-01,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",89381000.0,DirektÃ¸r,Ingen bistand,urn:ofk:oid:22438519,indberetninger-20180424,2.5124327999999996,67388917.0,,2018-03-29T02:39:30.771Z,2016-05-25T11:29:29.399Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AW-73-EA,2016-05-25T11:29:29.490Z,,,
67388917,2015-01-01,2015-12-31,ID_1,,http://regnskaber.virk.dk/71988376/ZG9rdW1lbnRsYWdlcjovLzAzL2MyLzI1LzM3LzA4LzA2MTUtNDRiMi04NGFiLWQ1MTNmMTM0ZWQ0Yg.pdf,http://regnskaber.virk.dk/71988376/ZG9rdW1lbnRsYWdlcjovLzAzLzgyLzA5L2FhL2RmLzNhYzgtNDRiZi1hYjk4LTFmMDg0Y2I4ZTc3OQ.xml,"8260, Viby J",BÃ¸rupvej 109,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2015 - 31-12-2015.",2016-05-20,2016-05-20,0.0,67388917.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2015 - 31-12-2015 for Arla DP A/S.,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Udo Witzky,Arla DP A/S,Udo Witzky,2014-01-01,2014-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"0, Aarhus",2015-12-31,2015-01-01,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",89381000.0,DirektÃ¸r,Ingen bistand,urn:ofk:oid:22438519,indberetninger-20180424,2.5124327999999996,67388917.0,,2018-03-29T02:39:30.771Z,2016-05-25T11:29:29.399Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AW-73-EA,2016-05-25T11:29:29.490Z,,,
67388917,2015-01-01,2015-12-31,ID_10,,http://regnskaber.virk.dk/71988376/ZG9rdW1lbnRsYWdlcjovLzAzL2MyLzI1LzM3LzA4LzA2MTUtNDRiMi04NGFiLWQ1MTNmMTM0ZWQ0Yg.pdf,http://regnskaber.virk.dk/71988376/ZG9rdW1lbnRsYWdlcjovLzAzLzgyLzA5L2FhL2RmLzNhYzgtNDRiZi1hYjk4LTFmMDg0Y2I4ZTc3OQ.xml,"8260, Viby J",BÃ¸rupvej 109,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2015 - 31-12-2015.",2016-05-20,2016-05-20,0.0,67388917.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2015 - 31-12-2015 for Arla DP A/S.,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Udo Witzky,Arla DP A/S,Udo Witzky,2014-01-01,2014-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"0, Aarhus",2015-12-31,2015-01-01,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",89381000.0,DirektÃ¸r,Ingen bistand,urn:ofk:oid:22438519,indberetninger-20180424,2.5124327999999996,67388917.0,,2018-03-29T02:39:30.771Z,2016-05-25T11:29:29.399Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AW-73-EA,2016-05-25T11:29:29.490Z,,,
67388917,2015-01-01,2015-12-31,ID_11,,http://regnskaber.virk.dk/71988376/ZG9rdW1lbnRsYWdlcjovLzAzL2MyLzI1LzM3LzA4LzA2MTUtNDRiMi04NGFiLWQ1MTNmMTM0ZWQ0Yg.pdf,http://regnskaber.virk.dk/71988376/ZG9rdW1lbnRsYWdlcjovLzAzLzgyLzA5L2FhL2RmLzNhYzgtNDRiZi1hYjk4LTFmMDg0Y2I4ZTc3OQ.xml,"8260, Viby J",BÃ¸rupvej 109,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2015 - 31-12-2015.",2016-05-20,2016-05-20,0.0,67388917.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2015 - 31-12-2015 for Arla DP A/S.,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Udo Witzky,Arla DP A/S,Udo Witzky,2014-01-01,2014-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"0, Aarhus",2015-12-31,2015-01-01,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",89381000.0,DirektÃ¸r,Ingen bistand,urn:ofk:oid:22438519,indberetninger-20180424,2.5124327999999996,67388917.0,,2018-03-29T02:39:30.771Z,2016-05-25T11:29:29.399Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AW-73-EA,2016-05-25T11:29:29.490Z,,,
67388917,2015-01-01,2015-12-31,ID_12,,http://regnskaber.virk.dk/71988376/ZG9rdW1lbnRsYWdlcjovLzAzL2MyLzI1LzM3LzA4LzA2MTUtNDRiMi04NGFiLWQ1MTNmMTM0ZWQ0Yg.pdf,http://regnskaber.virk.dk/71988376/ZG9rdW1lbnRsYWdlcjovLzAzLzgyLzA5L2FhL2RmLzNhYzgtNDRiZi1hYjk4LTFmMDg0Y2I4ZTc3OQ.xml,"8260, Viby J",BÃ¸rupvej 109,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2015 - 31-12-2015.",2016-05-20,2016-05-20,0.0,67388917.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2015 - 31-12-2015 for Arla DP A/S.,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Udo Witzky,Arla DP A/S,Udo Witzky,2014-01-01,2014-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"0, Aarhus",2015-12-31,2015-01-01,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",89381000.0,DirektÃ¸r,Ingen bistand,urn:ofk:oid:22438519,indberetninger-20180424,2.5124327999999996,67388917.0,,2018-03-29T02:39:30.771Z,2016-05-25T11:29:29.399Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AW-73-EA,2016-05-25T11:29:29.490Z,,,
67388917,2015-01-01,2015-12-31,ID_13,,http://regnskaber.virk.dk/71988376/ZG9rdW1lbnRsYWdlcjovLzAzL2MyLzI1LzM3LzA4LzA2MTUtNDRiMi04NGFiLWQ1MTNmMTM0ZWQ0Yg.pdf,http://regnskaber.virk.dk/71988376/ZG9rdW1lbnRsYWdlcjovLzAzLzgyLzA5L2FhL2RmLzNhYzgtNDRiZi1hYjk4LTFmMDg0Y2I4ZTc3OQ.xml,"8260, Viby J",BÃ¸rupvej 109,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2015 - 31-12-2015.",2016-05-20,2016-05-20,0.0,67388917.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2015 - 31-12-2015 for Arla DP A/S.,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Udo Witzky,Arla DP A/S,Udo Witzky,2014-01-01,2014-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"0, Aarhus",2015-12-31,2015-01-01,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",89381000.0,DirektÃ¸r,Ingen bistand,urn:ofk:oid:22438519,indberetninger-20180424,2.5124327999999996,67388917.0,,2018-03-29T02:39:30.771Z,2016-05-25T11:29:29.399Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AW-73-EA,2016-05-25T11:29:29.490Z,,,
67388917,2015-01-01,2015-12-31,ID_14,,http://regnskaber.virk.dk/71988376/ZG9rdW1lbnRsYWdlcjovLzAzL2MyLzI1LzM3LzA4LzA2MTUtNDRiMi04NGFiLWQ1MTNmMTM0ZWQ0Yg.pdf,http://regnskaber.virk.dk/71988376/ZG9rdW1lbnRsYWdlcjovLzAzLzgyLzA5L2FhL2RmLzNhYzgtNDRiZi1hYjk4LTFmMDg0Y2I4ZTc3OQ.xml,"8260, Viby J",BÃ¸rupvej 109,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2015 - 31-12-2015.",2016-05-20,2016-05-20,0.0,67388917.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2015 - 31-12-2015 for Arla DP A/S.,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Udo Witzky,Arla DP A/S,Udo Witzky,2014-01-01,2014-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"0, Aarhus",2015-12-31,2015-01-01,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",89381000.0,DirektÃ¸r,Ingen bistand,urn:ofk:oid:22438519,indberetninger-20180424,2.5124327999999996,67388917.0,,2018-03-29T02:39:30.771Z,2016-05-25T11:29:29.399Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AW-73-EA,2016-05-25T11:29:29.490Z,,,
67388917,2015-01-01,2015-12-31,ID_15,,http://regnskaber.virk.dk/71988376/ZG9rdW1lbnRsYWdlcjovLzAzL2MyLzI1LzM3LzA4LzA2MTUtNDRiMi04NGFiLWQ1MTNmMTM0ZWQ0Yg.pdf,http://regnskaber.virk.dk/71988376/ZG9rdW1lbnRsYWdlcjovLzAzLzgyLzA5L2FhL2RmLzNhYzgtNDRiZi1hYjk4LTFmMDg0Y2I4ZTc3OQ.xml,"8260, Viby J",BÃ¸rupvej 109,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2015 - 31-12-2015.",2016-05-20,2016-05-20,0.0,67388917.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2015 - 31-12-2015 for Arla DP A/S.,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Udo Witzky,Arla DP A/S,Udo Witzky,2014-01-01,2014-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"0, Aarhus",2015-12-31,2015-01-01,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",89381000.0,DirektÃ¸r,Ingen bistand,urn:ofk:oid:22438519,indberetninger-20180424,2.5124327999999996,67388917.0,,2018-03-29T02:39:30.771Z,2016-05-25T11:29:29.399Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AW-73-EA,2016-05-25T11:29:29.490Z,,,
67388917,2015-01-01,2015-12-31,ID_16,,http://regnskaber.virk.dk/71988376/ZG9rdW1lbnRsYWdlcjovLzAzL2MyLzI1LzM3LzA4LzA2MTUtNDRiMi04NGFiLWQ1MTNmMTM0ZWQ0Yg.pdf,http://regnskaber.virk.dk/71988376/ZG9rdW1lbnRsYWdlcjovLzAzLzgyLzA5L2FhL2RmLzNhYzgtNDRiZi1hYjk4LTFmMDg0Y2I4ZTc3OQ.xml,"8260, Viby J",BÃ¸rupvej 109,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2015 - 31-12-2015.",2016-05-20,2016-05-20,0.0,67388917.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2015 - 31-12-2015 for Arla DP A/S.,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Udo Witzky,Arla DP A/S,Udo Witzky,2014-01-01,2014-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"0, Aarhus",2015-12-31,2015-01-01,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",89381000.0,DirektÃ¸r,Ingen bistand,urn:ofk:oid:22438519,indberetninger-20180424,2.5124327999999996,67388917.0,,2018-03-29T02:39:30.771Z,2016-05-25T11:29:29.399Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AW-73-EA,2016-05-25T11:29:29.490Z,,,
67388917,2015-01-01,2015-12-31,ID_17,,http://regnskaber.virk.dk/71988376/ZG9rdW1lbnRsYWdlcjovLzAzL2MyLzI1LzM3LzA4LzA2MTUtNDRiMi04NGFiLWQ1MTNmMTM0ZWQ0Yg.pdf,http://regnskaber.virk.dk/71988376/ZG9rdW1lbnRsYWdlcjovLzAzLzgyLzA5L2FhL2RmLzNhYzgtNDRiZi1hYjk4LTFmMDg0Y2I4ZTc3OQ.xml,"8260, Viby J",BÃ¸rupvej 109,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2015 - 31-12-2015.",2016-05-20,2016-05-20,0.0,67388917.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2015 - 31-12-2015 for Arla DP A/S.,Ãrsrapport,0.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Udo Witzky,Arla DP A/S,Udo Witzky,2014-01-01,2014-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"0, Aarhus",2015-12-31,2015-01-01,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres. Betingelserne for at undlade revision er opfyldt.",89381000.0,DirektÃ¸r,Ingen bistand,urn:ofk:oid:22438519,indberetninger-20180424,2.5124327999999996,67388917.0,,2018-03-29T02:39:30.771Z,2016-05-25T11:29:29.399Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AW-73-EA,2016-05-25T11:29:29.490Z,,,
