entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DisclosureOfContingentLiabilities,DisclosureOfExternalExpenses,ExternalExpenses,ExtraordinaryProfitLossBeforeTax,GrossResult,IdentificationNumberCvrOfReportingEntity,IncomeFromInvestmentsInAssociates,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TaxExpense,TelephoneNumberOfReportingEntity,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInAssociates,NoncurrentAssets,OtherShorttermInvestments,OtherShorttermReceivables,ProposedDividend,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromAssociates,ShorttermTaxPayables,ShorttermTaxReceivables,ShorttermTradePayables
20135336,2013-01-01,2013-12-31,c2,http://regnskaber.virk.dk/63353102/ZG9rdW1lbnRsYWdlcjovLzAzL2U5L2QwLzgxLzQwLzRkMGEtNDg3YS1hYzcxLTlkM2ZlMDViMDczNg.xhtml,http://regnskaber.virk.dk/63353102/ZG9rdW1lbnRsYWdlcjovLzAzLzAwLzllLzhlLzJiL2QyZGItNGI4My05YWNkLWNjZTE0NGRiYmNiOQ.pdf,http://regnskaber.virk.dk/63353102/ZG9rdW1lbnRsYWdlcjovLzAzLzJhL2M1LzgxLzY2L2JhNzYtNGYxNy04MGRlLTZiZDVlMmIwMzllZA.xml,KÃ¸benhavn Ã,DK-2100,Lautrupsgade 7,Finansnetbanken,Roskilde,4000.0,9.0,Svanevej,DK-1612 KÃ¸benhavn V,"Ved Vesterport 6, 3.",Regnskabsklasse B,2015-05-29,2015-05-29,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke indgÃ¥et forpligtelser ud over de i balancen anfÃ¸rte</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har hverken i regnskabsÃ¥ret eller i forrige regnskabsÃ¥r haft ansatte eller udbetalt vederlag til direktion</p>",8930.0,1921210.0,274438.0,20135336.0,283368.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Kjeld Juul Christiansen,Kjeld Juul Christiansen,Jyske Bank,KJELD CHRISTIANSEN ApS,Dominia AS / Kirsten Engholm,29515.0,1676287.0,Roskilde,2013-01-01,2013-12-31,1522581.0,1921210.0,274438.0,2014-12-31,2014-01-01,Generalforsamlingen har besluttet at Ã¥rsregnskabet for det kommende regnskabsÃ¥r ikke skal revideres.,398629.0,46328484.0,Ingen bistand,urn:ofk:oid:5371568,indberetninger-20180424,2.5955619999999997,20135336.0,,2018-03-30T23:27:00.204Z,2015-05-29T17:50:26.122Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AB-92-LE,2015-05-29T17:50:26.167Z,,,,,,,,,,,,,,,,,,,,,,
20135336,2013-01-01,2013-12-31,c4,http://regnskaber.virk.dk/63353102/ZG9rdW1lbnRsYWdlcjovLzAzL2U5L2QwLzgxLzQwLzRkMGEtNDg3YS1hYzcxLTlkM2ZlMDViMDczNg.xhtml,http://regnskaber.virk.dk/63353102/ZG9rdW1lbnRsYWdlcjovLzAzLzAwLzllLzhlLzJiL2QyZGItNGI4My05YWNkLWNjZTE0NGRiYmNiOQ.pdf,http://regnskaber.virk.dk/63353102/ZG9rdW1lbnRsYWdlcjovLzAzLzJhL2M1LzgxLzY2L2JhNzYtNGYxNy04MGRlLTZiZDVlMmIwMzllZA.xml,KÃ¸benhavn Ã,DK-2100,Lautrupsgade 7,Finansnetbanken,Roskilde,4000.0,9.0,Svanevej,DK-1612 KÃ¸benhavn V,"Ved Vesterport 6, 3.",Regnskabsklasse B,2015-05-29,2015-05-29,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke indgÃ¥et forpligtelser ud over de i balancen anfÃ¸rte</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har hverken i regnskabsÃ¥ret eller i forrige regnskabsÃ¥r haft ansatte eller udbetalt vederlag til direktion</p>",,,,20135336.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Kjeld Juul Christiansen,Kjeld Juul Christiansen,Jyske Bank,KJELD CHRISTIANSEN ApS,Dominia AS / Kirsten Engholm,,,Roskilde,2013-01-01,2013-12-31,98400.0,,,2014-12-31,2014-01-01,Generalforsamlingen har besluttet at Ã¥rsregnskabet for det kommende regnskabsÃ¥r ikke skal revideres.,,46328484.0,Ingen bistand,urn:ofk:oid:5371568,indberetninger-20180424,2.5955619999999997,20135336.0,,2018-03-30T23:27:00.204Z,2015-05-29T17:50:26.122Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AB-92-LE,2015-05-29T17:50:26.167Z,,,,,,,,,,,,,,,,,,,,,,
20135336,2013-01-01,2013-12-31,c6,http://regnskaber.virk.dk/63353102/ZG9rdW1lbnRsYWdlcjovLzAzL2U5L2QwLzgxLzQwLzRkMGEtNDg3YS1hYzcxLTlkM2ZlMDViMDczNg.xhtml,http://regnskaber.virk.dk/63353102/ZG9rdW1lbnRsYWdlcjovLzAzLzAwLzllLzhlLzJiL2QyZGItNGI4My05YWNkLWNjZTE0NGRiYmNiOQ.pdf,http://regnskaber.virk.dk/63353102/ZG9rdW1lbnRsYWdlcjovLzAzLzJhL2M1LzgxLzY2L2JhNzYtNGYxNy04MGRlLTZiZDVlMmIwMzllZA.xml,KÃ¸benhavn Ã,DK-2100,Lautrupsgade 7,Finansnetbanken,Roskilde,4000.0,9.0,Svanevej,DK-1612 KÃ¸benhavn V,"Ved Vesterport 6, 3.",Regnskabsklasse B,2015-05-29,2015-05-29,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke indgÃ¥et forpligtelser ud over de i balancen anfÃ¸rte</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har hverken i regnskabsÃ¥ret eller i forrige regnskabsÃ¥r haft ansatte eller udbetalt vederlag til direktion</p>",,,,20135336.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Kjeld Juul Christiansen,Kjeld Juul Christiansen,Jyske Bank,KJELD CHRISTIANSEN ApS,Dominia AS / Kirsten Engholm,,,Roskilde,2013-01-01,2013-12-31,268.0,,,2014-12-31,2014-01-01,Generalforsamlingen har besluttet at Ã¥rsregnskabet for det kommende regnskabsÃ¥r ikke skal revideres.,,46328484.0,Ingen bistand,urn:ofk:oid:5371568,indberetninger-20180424,2.5955619999999997,20135336.0,,2018-03-30T23:27:00.204Z,2015-05-29T17:50:26.122Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AB-92-LE,2015-05-29T17:50:26.167Z,,,,,,,,,,,,,,,,,,,,,,
20135336,2013-01-01,2013-12-31,c8,http://regnskaber.virk.dk/63353102/ZG9rdW1lbnRsYWdlcjovLzAzL2U5L2QwLzgxLzQwLzRkMGEtNDg3YS1hYzcxLTlkM2ZlMDViMDczNg.xhtml,http://regnskaber.virk.dk/63353102/ZG9rdW1lbnRsYWdlcjovLzAzLzAwLzllLzhlLzJiL2QyZGItNGI4My05YWNkLWNjZTE0NGRiYmNiOQ.pdf,http://regnskaber.virk.dk/63353102/ZG9rdW1lbnRsYWdlcjovLzAzLzJhL2M1LzgxLzY2L2JhNzYtNGYxNy04MGRlLTZiZDVlMmIwMzllZA.xml,KÃ¸benhavn Ã,DK-2100,Lautrupsgade 7,Finansnetbanken,Roskilde,4000.0,9.0,Svanevej,DK-1612 KÃ¸benhavn V,"Ved Vesterport 6, 3.",Regnskabsklasse B,2015-05-29,2015-05-29,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke indgÃ¥et forpligtelser ud over de i balancen anfÃ¸rte</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har hverken i regnskabsÃ¥ret eller i forrige regnskabsÃ¥r haft ansatte eller udbetalt vederlag til direktion</p>",,,,20135336.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Kjeld Juul Christiansen,Kjeld Juul Christiansen,Jyske Bank,KJELD CHRISTIANSEN ApS,Dominia AS / Kirsten Engholm,,,Roskilde,2013-01-01,2013-12-31,1423913.0,,,2014-12-31,2014-01-01,Generalforsamlingen har besluttet at Ã¥rsregnskabet for det kommende regnskabsÃ¥r ikke skal revideres.,,46328484.0,Ingen bistand,urn:ofk:oid:5371568,indberetninger-20180424,2.5955619999999997,20135336.0,,2018-03-30T23:27:00.204Z,2015-05-29T17:50:26.122Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AB-92-LE,2015-05-29T17:50:26.167Z,,,,,,,,,,,,,,,,,,,,,,
20135336,2013-12-31,2013-12-31,c10,http://regnskaber.virk.dk/63353102/ZG9rdW1lbnRsYWdlcjovLzAzL2U5L2QwLzgxLzQwLzRkMGEtNDg3YS1hYzcxLTlkM2ZlMDViMDczNg.xhtml,http://regnskaber.virk.dk/63353102/ZG9rdW1lbnRsYWdlcjovLzAzLzAwLzllLzhlLzJiL2QyZGItNGI4My05YWNkLWNjZTE0NGRiYmNiOQ.pdf,http://regnskaber.virk.dk/63353102/ZG9rdW1lbnRsYWdlcjovLzAzLzJhL2M1LzgxLzY2L2JhNzYtNGYxNy04MGRlLTZiZDVlMmIwMzllZA.xml,KÃ¸benhavn Ã,DK-2100,Lautrupsgade 7,Finansnetbanken,Roskilde,4000.0,9.0,Svanevej,DK-1612 KÃ¸benhavn V,"Ved Vesterport 6, 3.",Regnskabsklasse B,2015-05-29,2015-05-29,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke indgÃ¥et forpligtelser ud over de i balancen anfÃ¸rte</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har hverken i regnskabsÃ¥ret eller i forrige regnskabsÃ¥r haft ansatte eller udbetalt vederlag til direktion</p>",,,,20135336.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Kjeld Juul Christiansen,Kjeld Juul Christiansen,Jyske Bank,KJELD CHRISTIANSEN ApS,Dominia AS / Kirsten Engholm,,,Roskilde,2013-01-01,2013-12-31,,,,2014-12-31,2014-01-01,Generalforsamlingen har besluttet at Ã¥rsregnskabet for det kommende regnskabsÃ¥r ikke skal revideres.,,46328484.0,Ingen bistand,urn:ofk:oid:5371568,indberetninger-20180424,2.5955619999999997,20135336.0,,2018-03-30T23:27:00.204Z,2015-05-29T17:50:26.122Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AB-92-LE,2015-05-29T17:50:26.167Z,8133746.0,130149.0,125000.0,7685357.0,7939343.0,8133746.0,194403.0,448389.0,448389.0,448389.0,7234956.0,3731.0,98400.0,98794.0,7715549.0,7234956.0,194403.0,320252.0,283100.0,86629.0,33421.0,9374.0
20135336,2014-01-01,2014-12-31,c0,http://regnskaber.virk.dk/63353102/ZG9rdW1lbnRsYWdlcjovLzAzL2U5L2QwLzgxLzQwLzRkMGEtNDg3YS1hYzcxLTlkM2ZlMDViMDczNg.xhtml,http://regnskaber.virk.dk/63353102/ZG9rdW1lbnRsYWdlcjovLzAzLzAwLzllLzhlLzJiL2QyZGItNGI4My05YWNkLWNjZTE0NGRiYmNiOQ.pdf,http://regnskaber.virk.dk/63353102/ZG9rdW1lbnRsYWdlcjovLzAzLzJhL2M1LzgxLzY2L2JhNzYtNGYxNy04MGRlLTZiZDVlMmIwMzllZA.xml,KÃ¸benhavn Ã,DK-2100,Lautrupsgade 7,Finansnetbanken,Roskilde,4000.0,9.0,Svanevej,DK-1612 KÃ¸benhavn V,"Ved Vesterport 6, 3.",Regnskabsklasse B,2015-05-29,2015-05-29,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke indgÃ¥et forpligtelser ud over de i balancen anfÃ¸rte</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har hverken i regnskabsÃ¥ret eller i forrige regnskabsÃ¥r haft ansatte eller udbetalt vederlag til direktion</p>",8782.0,1737483.0,380859.0,20135336.0,389641.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Kjeld Juul Christiansen,Kjeld Juul Christiansen,Jyske Bank,KJELD CHRISTIANSEN ApS,Dominia AS / Kirsten Engholm,23700.0,1380324.0,Roskilde,2013-01-01,2013-12-31,1403634.0,1737483.0,380859.0,2014-12-31,2014-01-01,Generalforsamlingen har besluttet at Ã¥rsregnskabet for det kommende regnskabsÃ¥r ikke skal revideres.,333849.0,46328484.0,Ingen bistand,urn:ofk:oid:5371568,indberetninger-20180424,2.5955619999999997,20135336.0,,2018-03-30T23:27:00.204Z,2015-05-29T17:50:26.122Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AB-92-LE,2015-05-29T17:50:26.167Z,,,,,,,,,,,,,,,,,,,,,,
20135336,2014-01-01,2014-12-31,c1,http://regnskaber.virk.dk/63353102/ZG9rdW1lbnRsYWdlcjovLzAzL2U5L2QwLzgxLzQwLzRkMGEtNDg3YS1hYzcxLTlkM2ZlMDViMDczNg.xhtml,http://regnskaber.virk.dk/63353102/ZG9rdW1lbnRsYWdlcjovLzAzLzAwLzllLzhlLzJiL2QyZGItNGI4My05YWNkLWNjZTE0NGRiYmNiOQ.pdf,http://regnskaber.virk.dk/63353102/ZG9rdW1lbnRsYWdlcjovLzAzLzJhL2M1LzgxLzY2L2JhNzYtNGYxNy04MGRlLTZiZDVlMmIwMzllZA.xml,KÃ¸benhavn Ã,DK-2100,Lautrupsgade 7,Finansnetbanken,Roskilde,4000.0,9.0,Svanevej,DK-1612 KÃ¸benhavn V,"Ved Vesterport 6, 3.",Regnskabsklasse B,2015-05-29,2015-05-29,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke indgÃ¥et forpligtelser ud over de i balancen anfÃ¸rte</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har hverken i regnskabsÃ¥ret eller i forrige regnskabsÃ¥r haft ansatte eller udbetalt vederlag til direktion</p>",,,,20135336.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Kjeld Juul Christiansen,Kjeld Juul Christiansen,Jyske Bank,KJELD CHRISTIANSEN ApS,Dominia AS / Kirsten Engholm,,,Roskilde,2013-01-01,2013-12-31,,,,2014-12-31,2014-01-01,Generalforsamlingen har besluttet at Ã¥rsregnskabet for det kommende regnskabsÃ¥r ikke skal revideres.,,46328484.0,Ingen bistand,urn:ofk:oid:5371568,indberetninger-20180424,2.5955619999999997,20135336.0,,2018-03-30T23:27:00.204Z,2015-05-29T17:50:26.122Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AB-92-LE,2015-05-29T17:50:26.167Z,,,,,,,,,,,,,,,,,,,,,,
20135336,2014-01-01,2014-12-31,c3,http://regnskaber.virk.dk/63353102/ZG9rdW1lbnRsYWdlcjovLzAzL2U5L2QwLzgxLzQwLzRkMGEtNDg3YS1hYzcxLTlkM2ZlMDViMDczNg.xhtml,http://regnskaber.virk.dk/63353102/ZG9rdW1lbnRsYWdlcjovLzAzLzAwLzllLzhlLzJiL2QyZGItNGI4My05YWNkLWNjZTE0NGRiYmNiOQ.pdf,http://regnskaber.virk.dk/63353102/ZG9rdW1lbnRsYWdlcjovLzAzLzJhL2M1LzgxLzY2L2JhNzYtNGYxNy04MGRlLTZiZDVlMmIwMzllZA.xml,KÃ¸benhavn Ã,DK-2100,Lautrupsgade 7,Finansnetbanken,Roskilde,4000.0,9.0,Svanevej,DK-1612 KÃ¸benhavn V,"Ved Vesterport 6, 3.",Regnskabsklasse B,2015-05-29,2015-05-29,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke indgÃ¥et forpligtelser ud over de i balancen anfÃ¸rte</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har hverken i regnskabsÃ¥ret eller i forrige regnskabsÃ¥r haft ansatte eller udbetalt vederlag til direktion</p>",,,,20135336.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Kjeld Juul Christiansen,Kjeld Juul Christiansen,Jyske Bank,KJELD CHRISTIANSEN ApS,Dominia AS / Kirsten Engholm,,,Roskilde,2013-01-01,2013-12-31,99800.0,,,2014-12-31,2014-01-01,Generalforsamlingen har besluttet at Ã¥rsregnskabet for det kommende regnskabsÃ¥r ikke skal revideres.,,46328484.0,Ingen bistand,urn:ofk:oid:5371568,indberetninger-20180424,2.5955619999999997,20135336.0,,2018-03-30T23:27:00.204Z,2015-05-29T17:50:26.122Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AB-92-LE,2015-05-29T17:50:26.167Z,,,,,,,,,,,,,,,,,,,,,,
20135336,2014-01-01,2014-12-31,c5,http://regnskaber.virk.dk/63353102/ZG9rdW1lbnRsYWdlcjovLzAzL2U5L2QwLzgxLzQwLzRkMGEtNDg3YS1hYzcxLTlkM2ZlMDViMDczNg.xhtml,http://regnskaber.virk.dk/63353102/ZG9rdW1lbnRsYWdlcjovLzAzLzAwLzllLzhlLzJiL2QyZGItNGI4My05YWNkLWNjZTE0NGRiYmNiOQ.pdf,http://regnskaber.virk.dk/63353102/ZG9rdW1lbnRsYWdlcjovLzAzLzJhL2M1LzgxLzY2L2JhNzYtNGYxNy04MGRlLTZiZDVlMmIwMzllZA.xml,KÃ¸benhavn Ã,DK-2100,Lautrupsgade 7,Finansnetbanken,Roskilde,4000.0,9.0,Svanevej,DK-1612 KÃ¸benhavn V,"Ved Vesterport 6, 3.",Regnskabsklasse B,2015-05-29,2015-05-29,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke indgÃ¥et forpligtelser ud over de i balancen anfÃ¸rte</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har hverken i regnskabsÃ¥ret eller i forrige regnskabsÃ¥r haft ansatte eller udbetalt vederlag til direktion</p>",,,,20135336.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Kjeld Juul Christiansen,Kjeld Juul Christiansen,Jyske Bank,KJELD CHRISTIANSEN ApS,Dominia AS / Kirsten Engholm,,,Roskilde,2013-01-01,2013-12-31,141.0,,,2014-12-31,2014-01-01,Generalforsamlingen har besluttet at Ã¥rsregnskabet for det kommende regnskabsÃ¥r ikke skal revideres.,,46328484.0,Ingen bistand,urn:ofk:oid:5371568,indberetninger-20180424,2.5955619999999997,20135336.0,,2018-03-30T23:27:00.204Z,2015-05-29T17:50:26.122Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AB-92-LE,2015-05-29T17:50:26.167Z,,,,,,,,,,,,,,,,,,,,,,
20135336,2014-01-01,2014-12-31,c7,http://regnskaber.virk.dk/63353102/ZG9rdW1lbnRsYWdlcjovLzAzL2U5L2QwLzgxLzQwLzRkMGEtNDg3YS1hYzcxLTlkM2ZlMDViMDczNg.xhtml,http://regnskaber.virk.dk/63353102/ZG9rdW1lbnRsYWdlcjovLzAzLzAwLzllLzhlLzJiL2QyZGItNGI4My05YWNkLWNjZTE0NGRiYmNiOQ.pdf,http://regnskaber.virk.dk/63353102/ZG9rdW1lbnRsYWdlcjovLzAzLzJhL2M1LzgxLzY2L2JhNzYtNGYxNy04MGRlLTZiZDVlMmIwMzllZA.xml,KÃ¸benhavn Ã,DK-2100,Lautrupsgade 7,Finansnetbanken,Roskilde,4000.0,9.0,Svanevej,DK-1612 KÃ¸benhavn V,"Ved Vesterport 6, 3.",Regnskabsklasse B,2015-05-29,2015-05-29,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke indgÃ¥et forpligtelser ud over de i balancen anfÃ¸rte</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har hverken i regnskabsÃ¥ret eller i forrige regnskabsÃ¥r haft ansatte eller udbetalt vederlag til direktion</p>",,,,20135336.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Kjeld Juul Christiansen,Kjeld Juul Christiansen,Jyske Bank,KJELD CHRISTIANSEN ApS,Dominia AS / Kirsten Engholm,,,Roskilde,2013-01-01,2013-12-31,1303693.0,,,2014-12-31,2014-01-01,Generalforsamlingen har besluttet at Ã¥rsregnskabet for det kommende regnskabsÃ¥r ikke skal revideres.,,46328484.0,Ingen bistand,urn:ofk:oid:5371568,indberetninger-20180424,2.5955619999999997,20135336.0,,2018-03-30T23:27:00.204Z,2015-05-29T17:50:26.122Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AB-92-LE,2015-05-29T17:50:26.167Z,,,,,,,,,,,,,,,,,,,,,,
