entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,AuditorsReportOnFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmailOfReportingEntity,EmployeeBenefitsExpense,GrossProfitLoss,HomepageOfReportingEntity,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,IdentificationOfAuditedFinancialStatements,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,RestOfOtherFinanceExpenses,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,TypeOfBasisForModifiedOpinionOnAuditedFinancialStatements,TypeOfModifiedOpinionOnAuditedFinancialStatements,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,Equity,Inventories,LeaseholdImprovements,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermDebtToBanks,LongtermLiabilitiesOtherThanProvisions,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PlantAndMachinery,PropertyPlantAndEquipment,PropertyPlantAndEquipmentInProgressAndPrepaymentsForPropertyPlantAndEquipment,RawMaterialsAndConsumables,RetainedEarnings,ShorttermDebtToBanks,ShorttermLiabilitiesOtherThanProvisions,ShorttermPartOfLongtermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTradePayables,ShorttermTradeReceivables,NameAndSurnameOfMemberOfSupervisoryBoard,TitleOfMemberOfSupervisoryBoard,NameAndSurnameOfMemberOfExecutiveBoard
13210837,2014-10-01,2015-09-30,ID_6,,http://regnskaber.virk.dk/73801231/ZG9rdW1lbnRsYWdlcjovLzAzLzM4LzliLzA1LzE5L2IwNjgtNDU5NS04NmNhLWIwYzAzNDRlNzIwNA.pdf,http://regnskaber.virk.dk/73801231/ZG9rdW1lbnRsYWdlcjovLzAzLzMwLzQ5L2ZkLzZkLzVlMWQtNDU0Zi04NzVkLTM3M2E0YzM2YjkyNA.xml,"Vamdrup, 6580",Jernbanegade 9,Til kapitalejerne i Farmer Tronic Industries A/S,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016.",2017-02-06,2017-02-06,1989-07-07,2017-02-28,78414.0,scales@farmertronic.com,422851.0,934303.0,www.farmertronic.com,15772573.0,13210837.0,15772573.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016 for Farmer Tronic Industries A/S.,"Vi har revideret Ã¥rsregnskabet for Farmer Tronic Industries A/S for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Lars Bjerregaard Hansen,BHS Revision,Farmer Tronic Industries A/S,BHS Revision,499.0,Vamdrup,2014-10-01,2015-09-30,305192.0,401175.0,433038.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"621, Kolding",2016-09-30,2015-10-01,32362.0,2017-02-06,Vamdrup,95983.0,Bestyrelsesmedlem/DirektÃ¸r,RevisionspÃ¥tegning,Grundlag for konklusion med forbehold,Konklusion med forbehold,urn:ofk:oid:23562379,indberetninger-20180424,2.5124211,13210837.0,,2018-03-27T21:24:47.617Z,2017-03-07T07:50:51.165Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AD-91-HA,2017-03-07T07:50:51.360Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13210837,2014-10-01,2015-09-30,ID_8,,http://regnskaber.virk.dk/73801231/ZG9rdW1lbnRsYWdlcjovLzAzLzM4LzliLzA1LzE5L2IwNjgtNDU5NS04NmNhLWIwYzAzNDRlNzIwNA.pdf,http://regnskaber.virk.dk/73801231/ZG9rdW1lbnRsYWdlcjovLzAzLzMwLzQ5L2ZkLzZkLzVlMWQtNDU0Zi04NzVkLTM3M2E0YzM2YjkyNA.xml,"Vamdrup, 6580",Jernbanegade 9,Til kapitalejerne i Farmer Tronic Industries A/S,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016.",2017-02-06,2017-02-06,1989-07-07,2017-02-28,,scales@farmertronic.com,,,www.farmertronic.com,15772573.0,13210837.0,15772573.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016 for Farmer Tronic Industries A/S.,"Vi har revideret Ã¥rsregnskabet for Farmer Tronic Industries A/S for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Lars Bjerregaard Hansen,BHS Revision,Farmer Tronic Industries A/S,BHS Revision,,Vamdrup,2014-10-01,2015-09-30,-305192.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"621, Kolding",2016-09-30,2015-10-01,,2017-02-06,Vamdrup,,Bestyrelsesmedlem/DirektÃ¸r,RevisionspÃ¥tegning,Grundlag for konklusion med forbehold,Konklusion med forbehold,urn:ofk:oid:23562379,indberetninger-20180424,2.5124211,13210837.0,,2018-03-27T21:24:47.617Z,2017-03-07T07:50:51.165Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AD-91-HA,2017-03-07T07:50:51.360Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13210837,2015-09-30,2015-09-30,ID_10,,http://regnskaber.virk.dk/73801231/ZG9rdW1lbnRsYWdlcjovLzAzLzM4LzliLzA1LzE5L2IwNjgtNDU5NS04NmNhLWIwYzAzNDRlNzIwNA.pdf,http://regnskaber.virk.dk/73801231/ZG9rdW1lbnRsYWdlcjovLzAzLzMwLzQ5L2ZkLzZkLzVlMWQtNDU0Zi04NzVkLTM3M2E0YzM2YjkyNA.xml,"Vamdrup, 6580",Jernbanegade 9,Til kapitalejerne i Farmer Tronic Industries A/S,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016.",2017-02-06,2017-02-06,1989-07-07,2017-02-28,,scales@farmertronic.com,,,www.farmertronic.com,15772573.0,13210837.0,15772573.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016 for Farmer Tronic Industries A/S.,"Vi har revideret Ã¥rsregnskabet for Farmer Tronic Industries A/S for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Lars Bjerregaard Hansen,BHS Revision,Farmer Tronic Industries A/S,BHS Revision,,Vamdrup,2014-10-01,2015-09-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"621, Kolding",2016-09-30,2015-10-01,,2017-02-06,Vamdrup,,Bestyrelsesmedlem/DirektÃ¸r,RevisionspÃ¥tegning,Grundlag for konklusion med forbehold,Konklusion med forbehold,urn:ofk:oid:23562379,indberetninger-20180424,2.5124211,13210837.0,,2018-03-27T21:24:47.617Z,2017-03-07T07:50:51.165Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AD-91-HA,2017-03-07T07:50:51.360Z,1902538.0,310445.0,500000.0,1769387.0,30600.0,1299015.0,1019089.0,42290.0,1902538.0,603523.0,7295.0,7295.0,133151.0,160861.0,222559.0,30861.0,133151.0,60000.0,1019089.0,799015.0,208931.0,596228.0,17640.0,439853.0,31832.0,108583.0,100213.0,154862.0,,,
13210837,2015-10-01,2016-09-30,ID_0,,http://regnskaber.virk.dk/73801231/ZG9rdW1lbnRsYWdlcjovLzAzLzM4LzliLzA1LzE5L2IwNjgtNDU5NS04NmNhLWIwYzAzNDRlNzIwNA.pdf,http://regnskaber.virk.dk/73801231/ZG9rdW1lbnRsYWdlcjovLzAzLzMwLzQ5L2ZkLzZkLzVlMWQtNDU0Zi04NzVkLTM3M2E0YzM2YjkyNA.xml,"Vamdrup, 6580",Jernbanegade 9,Til kapitalejerne i Farmer Tronic Industries A/S,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016.",2017-02-06,2017-02-06,1989-07-07,2017-02-28,34850.0,scales@farmertronic.com,434384.0,706730.0,www.farmertronic.com,15772573.0,13210837.0,15772573.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016 for Farmer Tronic Industries A/S.,"Vi har revideret Ã¥rsregnskabet for Farmer Tronic Industries A/S for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Lars Bjerregaard Hansen,BHS Revision,Farmer Tronic Industries A/S,BHS Revision,35.0,Vamdrup,2014-10-01,2015-09-30,164772.0,211328.0,237496.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"621, Kolding",2016-09-30,2015-10-01,26203.0,2017-02-06,Vamdrup,46556.0,Bestyrelsesmedlem/DirektÃ¸r,RevisionspÃ¥tegning,Grundlag for konklusion med forbehold,Konklusion med forbehold,urn:ofk:oid:23562379,indberetninger-20180424,2.5124211,13210837.0,,2018-03-27T21:24:47.617Z,2017-03-07T07:50:51.165Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AD-91-HA,2017-03-07T07:50:51.360Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13210837,2015-10-01,2016-09-30,ID_1,,http://regnskaber.virk.dk/73801231/ZG9rdW1lbnRsYWdlcjovLzAzLzM4LzliLzA1LzE5L2IwNjgtNDU5NS04NmNhLWIwYzAzNDRlNzIwNA.pdf,http://regnskaber.virk.dk/73801231/ZG9rdW1lbnRsYWdlcjovLzAzLzMwLzQ5L2ZkLzZkLzVlMWQtNDU0Zi04NzVkLTM3M2E0YzM2YjkyNA.xml,"Vamdrup, 6580",Jernbanegade 9,Til kapitalejerne i Farmer Tronic Industries A/S,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016.",2017-02-06,2017-02-06,1989-07-07,2017-02-28,,scales@farmertronic.com,,,www.farmertronic.com,15772573.0,13210837.0,15772573.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016 for Farmer Tronic Industries A/S.,"Vi har revideret Ã¥rsregnskabet for Farmer Tronic Industries A/S for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Lars Bjerregaard Hansen,BHS Revision,Farmer Tronic Industries A/S,BHS Revision,,Vamdrup,2014-10-01,2015-09-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"621, Kolding",2016-09-30,2015-10-01,,2017-02-06,Vamdrup,,Bestyrelsesmedlem/DirektÃ¸r,RevisionspÃ¥tegning,Grundlag for konklusion med forbehold,Konklusion med forbehold,urn:ofk:oid:23562379,indberetninger-20180424,2.5124211,13210837.0,,2018-03-27T21:24:47.617Z,2017-03-07T07:50:51.165Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AD-91-HA,2017-03-07T07:50:51.360Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lars Bjerregaard Hansen,Bestyrelsesmedlem/DirektÃ¸r,
13210837,2015-10-01,2016-09-30,ID_11,,http://regnskaber.virk.dk/73801231/ZG9rdW1lbnRsYWdlcjovLzAzLzM4LzliLzA1LzE5L2IwNjgtNDU5NS04NmNhLWIwYzAzNDRlNzIwNA.pdf,http://regnskaber.virk.dk/73801231/ZG9rdW1lbnRsYWdlcjovLzAzLzMwLzQ5L2ZkLzZkLzVlMWQtNDU0Zi04NzVkLTM3M2E0YzM2YjkyNA.xml,"Vamdrup, 6580",Jernbanegade 9,Til kapitalejerne i Farmer Tronic Industries A/S,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016.",2017-02-06,2017-02-06,1989-07-07,2017-02-28,,scales@farmertronic.com,,,www.farmertronic.com,15772573.0,13210837.0,15772573.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016 for Farmer Tronic Industries A/S.,"Vi har revideret Ã¥rsregnskabet for Farmer Tronic Industries A/S for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Lars Bjerregaard Hansen,BHS Revision,Farmer Tronic Industries A/S,BHS Revision,,Vamdrup,2014-10-01,2015-09-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"621, Kolding",2016-09-30,2015-10-01,,2017-02-06,Vamdrup,,Bestyrelsesmedlem/DirektÃ¸r,RevisionspÃ¥tegning,Grundlag for konklusion med forbehold,Konklusion med forbehold,urn:ofk:oid:23562379,indberetninger-20180424,2.5124211,13210837.0,,2018-03-27T21:24:47.617Z,2017-03-07T07:50:51.165Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AD-91-HA,2017-03-07T07:50:51.360Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13210837,2015-10-01,2016-09-30,ID_12,,http://regnskaber.virk.dk/73801231/ZG9rdW1lbnRsYWdlcjovLzAzLzM4LzliLzA1LzE5L2IwNjgtNDU5NS04NmNhLWIwYzAzNDRlNzIwNA.pdf,http://regnskaber.virk.dk/73801231/ZG9rdW1lbnRsYWdlcjovLzAzLzMwLzQ5L2ZkLzZkLzVlMWQtNDU0Zi04NzVkLTM3M2E0YzM2YjkyNA.xml,"Vamdrup, 6580",Jernbanegade 9,Til kapitalejerne i Farmer Tronic Industries A/S,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016.",2017-02-06,2017-02-06,1989-07-07,2017-02-28,,scales@farmertronic.com,,,www.farmertronic.com,15772573.0,13210837.0,15772573.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016 for Farmer Tronic Industries A/S.,"Vi har revideret Ã¥rsregnskabet for Farmer Tronic Industries A/S for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Lars Bjerregaard Hansen,BHS Revision,Farmer Tronic Industries A/S,BHS Revision,,Vamdrup,2014-10-01,2015-09-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"621, Kolding",2016-09-30,2015-10-01,,2017-02-06,Vamdrup,,Bestyrelsesmedlem/DirektÃ¸r,RevisionspÃ¥tegning,Grundlag for konklusion med forbehold,Konklusion med forbehold,urn:ofk:oid:23562379,indberetninger-20180424,2.5124211,13210837.0,,2018-03-27T21:24:47.617Z,2017-03-07T07:50:51.165Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AD-91-HA,2017-03-07T07:50:51.360Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13210837,2015-10-01,2016-09-30,ID_2,,http://regnskaber.virk.dk/73801231/ZG9rdW1lbnRsYWdlcjovLzAzLzM4LzliLzA1LzE5L2IwNjgtNDU5NS04NmNhLWIwYzAzNDRlNzIwNA.pdf,http://regnskaber.virk.dk/73801231/ZG9rdW1lbnRsYWdlcjovLzAzLzMwLzQ5L2ZkLzZkLzVlMWQtNDU0Zi04NzVkLTM3M2E0YzM2YjkyNA.xml,"Vamdrup, 6580",Jernbanegade 9,Til kapitalejerne i Farmer Tronic Industries A/S,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016.",2017-02-06,2017-02-06,1989-07-07,2017-02-28,,scales@farmertronic.com,,,www.farmertronic.com,15772573.0,13210837.0,15772573.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016 for Farmer Tronic Industries A/S.,"Vi har revideret Ã¥rsregnskabet for Farmer Tronic Industries A/S for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Lars Bjerregaard Hansen,BHS Revision,Farmer Tronic Industries A/S,BHS Revision,,Vamdrup,2014-10-01,2015-09-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"621, Kolding",2016-09-30,2015-10-01,,2017-02-06,Vamdrup,,Bestyrelsesmedlem/DirektÃ¸r,RevisionspÃ¥tegning,Grundlag for konklusion med forbehold,Konklusion med forbehold,urn:ofk:oid:23562379,indberetninger-20180424,2.5124211,13210837.0,,2018-03-27T21:24:47.617Z,2017-03-07T07:50:51.165Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AD-91-HA,2017-03-07T07:50:51.360Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lars Bjerregaard Hansen
13210837,2015-10-01,2016-09-30,ID_3,,http://regnskaber.virk.dk/73801231/ZG9rdW1lbnRsYWdlcjovLzAzLzM4LzliLzA1LzE5L2IwNjgtNDU5NS04NmNhLWIwYzAzNDRlNzIwNA.pdf,http://regnskaber.virk.dk/73801231/ZG9rdW1lbnRsYWdlcjovLzAzLzMwLzQ5L2ZkLzZkLzVlMWQtNDU0Zi04NzVkLTM3M2E0YzM2YjkyNA.xml,"Vamdrup, 6580",Jernbanegade 9,Til kapitalejerne i Farmer Tronic Industries A/S,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016.",2017-02-06,2017-02-06,1989-07-07,2017-02-28,,scales@farmertronic.com,,,www.farmertronic.com,15772573.0,13210837.0,15772573.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016 for Farmer Tronic Industries A/S.,"Vi har revideret Ã¥rsregnskabet for Farmer Tronic Industries A/S for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Lars Bjerregaard Hansen,BHS Revision,Farmer Tronic Industries A/S,BHS Revision,,Vamdrup,2014-10-01,2015-09-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"621, Kolding",2016-09-30,2015-10-01,,2017-02-06,Vamdrup,,Bestyrelsesmedlem/DirektÃ¸r,RevisionspÃ¥tegning,Grundlag for konklusion med forbehold,Konklusion med forbehold,urn:ofk:oid:23562379,indberetninger-20180424,2.5124211,13210837.0,,2018-03-27T21:24:47.617Z,2017-03-07T07:50:51.165Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AD-91-HA,2017-03-07T07:50:51.360Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joan Borregaard,Bestyrelsesformand,
13210837,2015-10-01,2016-09-30,ID_4,,http://regnskaber.virk.dk/73801231/ZG9rdW1lbnRsYWdlcjovLzAzLzM4LzliLzA1LzE5L2IwNjgtNDU5NS04NmNhLWIwYzAzNDRlNzIwNA.pdf,http://regnskaber.virk.dk/73801231/ZG9rdW1lbnRsYWdlcjovLzAzLzMwLzQ5L2ZkLzZkLzVlMWQtNDU0Zi04NzVkLTM3M2E0YzM2YjkyNA.xml,"Vamdrup, 6580",Jernbanegade 9,Til kapitalejerne i Farmer Tronic Industries A/S,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016.",2017-02-06,2017-02-06,1989-07-07,2017-02-28,,scales@farmertronic.com,,,www.farmertronic.com,15772573.0,13210837.0,15772573.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016 for Farmer Tronic Industries A/S.,"Vi har revideret Ã¥rsregnskabet for Farmer Tronic Industries A/S for regnskabsÃ¥ret 1. oktober 2015 - 30. september 2016, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,Lars Bjerregaard Hansen,BHS Revision,Farmer Tronic Industries A/S,BHS Revision,,Vamdrup,2014-10-01,2015-09-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"621, Kolding",2016-09-30,2015-10-01,,2017-02-06,Vamdrup,,Bestyrelsesmedlem/DirektÃ¸r,RevisionspÃ¥tegning,Grundlag for konklusion med forbehold,Konklusion med forbehold,urn:ofk:oid:23562379,indberetninger-20180424,2.5124211,13210837.0,,2018-03-27T21:24:47.617Z,2017-03-07T07:50:51.165Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AD-91-HA,2017-03-07T07:50:51.360Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kirsten Bjerregaard Hansen,Bestyrelsesmedlem,
