entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfFinancialDistrictName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DisclosureOfMortgagesAndCollaterals,GrossProfitLoss,IdentificationNumberCvrOfReportingEntity,IncomeFromInvestmentsInGroupEnterprises,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,TaxExpense,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,OtherShorttermPayables,ProposedDividendRecognisedInEquity,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables
31181070,2012-10-01,2013-09-30,c2,http://regnskaber.virk.dk/07018113/Y3ZyLmRrOi8vcGRmcy8zMTE4MTA3MDtBcFM0MjI4NDE7MjAxMzEwMDE7MjAxNDA5MzA7UjtS.pdf,http://regnskaber.virk.dk/07018113/Y3ZyLmRrOi8veGJybHMvWC1GMDM4REQ1Ri0yMDE1MDExMl8yMTQyMzVfMTgw.xml,5000 Odense C,Odense SV,5250.0,21A,Anne Maries AllÃ©,5260 Odense S,"Demantsvej 23, 2. sal",Regnskabsklasse B,2014-12-30,2014-12-30,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",-2500.0,31181070.0,272168.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Bjarne LambÃ¦k,Bjarne LambÃ¦k,Jyske Bank,BJL HOLDING ApS,KRB Regnskab ApS,8981.0,346.0,Odense,2012-10-01,2013-09-30,263817.0,261033.0,-2500.0,2014-09-30,2013-10-01,-2784.0,Ingen bistand,urn:ofk:oid:19211247,indberetninger-20180424,2.5124211,31181070.0,,2018-03-30T08:13:08.442Z,2015-01-12T23:00:00.000Z,regnskab,0.0,,2014-09-30,2013-10-01,14-375.327,2015-01-12T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,
31181070,2012-10-01,2013-09-30,c4,http://regnskaber.virk.dk/07018113/Y3ZyLmRrOi8vcGRmcy8zMTE4MTA3MDtBcFM0MjI4NDE7MjAxMzEwMDE7MjAxNDA5MzA7UjtS.pdf,http://regnskaber.virk.dk/07018113/Y3ZyLmRrOi8veGJybHMvWC1GMDM4REQ1Ri0yMDE1MDExMl8yMTQyMzVfMTgw.xml,5000 Odense C,Odense SV,5250.0,21A,Anne Maries AllÃ©,5260 Odense S,"Demantsvej 23, 2. sal",Regnskabsklasse B,2014-12-30,2014-12-30,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,31181070.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Bjarne LambÃ¦k,Bjarne LambÃ¦k,Jyske Bank,BJL HOLDING ApS,KRB Regnskab ApS,,,Odense,2012-10-01,2013-09-30,96600.0,,,2014-09-30,2013-10-01,,Ingen bistand,urn:ofk:oid:19211247,indberetninger-20180424,2.5124211,31181070.0,,2018-03-30T08:13:08.442Z,2015-01-12T23:00:00.000Z,regnskab,0.0,,2014-09-30,2013-10-01,14-375.327,2015-01-12T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,
31181070,2012-10-01,2013-09-30,c6,http://regnskaber.virk.dk/07018113/Y3ZyLmRrOi8vcGRmcy8zMTE4MTA3MDtBcFM0MjI4NDE7MjAxMzEwMDE7MjAxNDA5MzA7UjtS.pdf,http://regnskaber.virk.dk/07018113/Y3ZyLmRrOi8veGJybHMvWC1GMDM4REQ1Ri0yMDE1MDExMl8yMTQyMzVfMTgw.xml,5000 Odense C,Odense SV,5250.0,21A,Anne Maries AllÃ©,5260 Odense S,"Demantsvej 23, 2. sal",Regnskabsklasse B,2014-12-30,2014-12-30,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,31181070.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Bjarne LambÃ¦k,Bjarne LambÃ¦k,Jyske Bank,BJL HOLDING ApS,KRB Regnskab ApS,,,Odense,2012-10-01,2013-09-30,272168.0,,,2014-09-30,2013-10-01,,Ingen bistand,urn:ofk:oid:19211247,indberetninger-20180424,2.5124211,31181070.0,,2018-03-30T08:13:08.442Z,2015-01-12T23:00:00.000Z,regnskab,0.0,,2014-09-30,2013-10-01,14-375.327,2015-01-12T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,
31181070,2012-10-01,2013-09-30,c8,http://regnskaber.virk.dk/07018113/Y3ZyLmRrOi8vcGRmcy8zMTE4MTA3MDtBcFM0MjI4NDE7MjAxMzEwMDE7MjAxNDA5MzA7UjtS.pdf,http://regnskaber.virk.dk/07018113/Y3ZyLmRrOi8veGJybHMvWC1GMDM4REQ1Ri0yMDE1MDExMl8yMTQyMzVfMTgw.xml,5000 Odense C,Odense SV,5250.0,21A,Anne Maries AllÃ©,5260 Odense S,"Demantsvej 23, 2. sal",Regnskabsklasse B,2014-12-30,2014-12-30,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,31181070.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Bjarne LambÃ¦k,Bjarne LambÃ¦k,Jyske Bank,BJL HOLDING ApS,KRB Regnskab ApS,,,Odense,2012-10-01,2013-09-30,-104951.0,,,2014-09-30,2013-10-01,,Ingen bistand,urn:ofk:oid:19211247,indberetninger-20180424,2.5124211,31181070.0,,2018-03-30T08:13:08.442Z,2015-01-12T23:00:00.000Z,regnskab,0.0,,2014-09-30,2013-10-01,14-375.327,2015-01-12T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,
31181070,2013-09-30,2013-09-30,c10,http://regnskaber.virk.dk/07018113/Y3ZyLmRrOi8vcGRmcy8zMTE4MTA3MDtBcFM0MjI4NDE7MjAxMzEwMDE7MjAxNDA5MzA7UjtS.pdf,http://regnskaber.virk.dk/07018113/Y3ZyLmRrOi8veGJybHMvWC1GMDM4REQ1Ri0yMDE1MDExMl8yMTQyMzVfMTgw.xml,5000 Odense C,Odense SV,5250.0,21A,Anne Maries AllÃ©,5260 Odense S,"Demantsvej 23, 2. sal",Regnskabsklasse B,2014-12-30,2014-12-30,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,31181070.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Bjarne LambÃ¦k,Bjarne LambÃ¦k,Jyske Bank,BJL HOLDING ApS,KRB Regnskab ApS,,,Odense,2012-10-01,2013-09-30,,,,2014-09-30,2013-10-01,,Ingen bistand,urn:ofk:oid:19211247,indberetninger-20180424,2.5124211,31181070.0,,2018-03-30T08:13:08.442Z,2015-01-12T23:00:00.000Z,regnskab,0.0,,2014-09-30,2013-10-01,14-375.327,2015-01-12T23:00:00.000Z,1526220.0,24859.0,125000.0,45698.0,0.0,1366804.0,1526220.0,159416.0,1480522.0,1480522.0,1480522.0,2500.0,96600.0,361316.0,783888.0,159416.0,9658.0,80113.0,20839.0,20839.0,67145.0
31181070,2013-10-01,2014-09-30,c0,http://regnskaber.virk.dk/07018113/Y3ZyLmRrOi8vcGRmcy8zMTE4MTA3MDtBcFM0MjI4NDE7MjAxMzEwMDE7MjAxNDA5MzA7UjtS.pdf,http://regnskaber.virk.dk/07018113/Y3ZyLmRrOi8veGJybHMvWC1GMDM4REQ1Ri0yMDE1MDExMl8yMTQyMzVfMTgw.xml,5000 Odense C,Odense SV,5250.0,21A,Anne Maries AllÃ©,5260 Odense S,"Demantsvej 23, 2. sal",Regnskabsklasse B,2014-12-30,2014-12-30,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",-780.0,31181070.0,-58612.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Bjarne LambÃ¦k,Bjarne LambÃ¦k,Jyske Bank,BJL HOLDING ApS,KRB Regnskab ApS,11045.0,58.0,Odense,2012-10-01,2013-09-30,-67482.0,-70379.0,-780.0,2014-09-30,2013-10-01,-2897.0,Ingen bistand,urn:ofk:oid:19211247,indberetninger-20180424,2.5124211,31181070.0,,2018-03-30T08:13:08.442Z,2015-01-12T23:00:00.000Z,regnskab,0.0,,2014-09-30,2013-10-01,14-375.327,2015-01-12T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,
31181070,2013-10-01,2014-09-30,c1,http://regnskaber.virk.dk/07018113/Y3ZyLmRrOi8vcGRmcy8zMTE4MTA3MDtBcFM0MjI4NDE7MjAxMzEwMDE7MjAxNDA5MzA7UjtS.pdf,http://regnskaber.virk.dk/07018113/Y3ZyLmRrOi8veGJybHMvWC1GMDM4REQ1Ri0yMDE1MDExMl8yMTQyMzVfMTgw.xml,5000 Odense C,Odense SV,5250.0,21A,Anne Maries AllÃ©,5260 Odense S,"Demantsvej 23, 2. sal",Regnskabsklasse B,2014-12-30,2014-12-30,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,31181070.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Bjarne LambÃ¦k,Bjarne LambÃ¦k,Jyske Bank,BJL HOLDING ApS,KRB Regnskab ApS,,,Odense,2012-10-01,2013-09-30,,,,2014-09-30,2013-10-01,,Ingen bistand,urn:ofk:oid:19211247,indberetninger-20180424,2.5124211,31181070.0,,2018-03-30T08:13:08.442Z,2015-01-12T23:00:00.000Z,regnskab,0.0,,2014-09-30,2013-10-01,14-375.327,2015-01-12T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,
31181070,2013-10-01,2014-09-30,c3,http://regnskaber.virk.dk/07018113/Y3ZyLmRrOi8vcGRmcy8zMTE4MTA3MDtBcFM0MjI4NDE7MjAxMzEwMDE7MjAxNDA5MzA7UjtS.pdf,http://regnskaber.virk.dk/07018113/Y3ZyLmRrOi8veGJybHMvWC1GMDM4REQ1Ri0yMDE1MDExMl8yMTQyMzVfMTgw.xml,5000 Odense C,Odense SV,5250.0,21A,Anne Maries AllÃ©,5260 Odense S,"Demantsvej 23, 2. sal",Regnskabsklasse B,2014-12-30,2014-12-30,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,31181070.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Bjarne LambÃ¦k,Bjarne LambÃ¦k,Jyske Bank,BJL HOLDING ApS,KRB Regnskab ApS,,,Odense,2012-10-01,2013-09-30,98400.0,,,2014-09-30,2013-10-01,,Ingen bistand,urn:ofk:oid:19211247,indberetninger-20180424,2.5124211,31181070.0,,2018-03-30T08:13:08.442Z,2015-01-12T23:00:00.000Z,regnskab,0.0,,2014-09-30,2013-10-01,14-375.327,2015-01-12T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,
31181070,2013-10-01,2014-09-30,c5,http://regnskaber.virk.dk/07018113/Y3ZyLmRrOi8vcGRmcy8zMTE4MTA3MDtBcFM0MjI4NDE7MjAxMzEwMDE7MjAxNDA5MzA7UjtS.pdf,http://regnskaber.virk.dk/07018113/Y3ZyLmRrOi8veGJybHMvWC1GMDM4REQ1Ri0yMDE1MDExMl8yMTQyMzVfMTgw.xml,5000 Odense C,Odense SV,5250.0,21A,Anne Maries AllÃ©,5260 Odense S,"Demantsvej 23, 2. sal",Regnskabsklasse B,2014-12-30,2014-12-30,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,31181070.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Bjarne LambÃ¦k,Bjarne LambÃ¦k,Jyske Bank,BJL HOLDING ApS,KRB Regnskab ApS,,,Odense,2012-10-01,2013-09-30,-58612.0,,,2014-09-30,2013-10-01,,Ingen bistand,urn:ofk:oid:19211247,indberetninger-20180424,2.5124211,31181070.0,,2018-03-30T08:13:08.442Z,2015-01-12T23:00:00.000Z,regnskab,0.0,,2014-09-30,2013-10-01,14-375.327,2015-01-12T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,
31181070,2013-10-01,2014-09-30,c7,http://regnskaber.virk.dk/07018113/Y3ZyLmRrOi8vcGRmcy8zMTE4MTA3MDtBcFM0MjI4NDE7MjAxMzEwMDE7MjAxNDA5MzA7UjtS.pdf,http://regnskaber.virk.dk/07018113/Y3ZyLmRrOi8veGJybHMvWC1GMDM4REQ1Ri0yMDE1MDExMl8yMTQyMzVfMTgw.xml,5000 Odense C,Odense SV,5250.0,21A,Anne Maries AllÃ©,5260 Odense S,"Demantsvej 23, 2. sal",Regnskabsklasse B,2014-12-30,2014-12-30,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,31181070.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Bjarne LambÃ¦k,Bjarne LambÃ¦k,Jyske Bank,BJL HOLDING ApS,KRB Regnskab ApS,,,Odense,2012-10-01,2013-09-30,-107270.0,,,2014-09-30,2013-10-01,,Ingen bistand,urn:ofk:oid:19211247,indberetninger-20180424,2.5124211,31181070.0,,2018-03-30T08:13:08.442Z,2015-01-12T23:00:00.000Z,regnskab,0.0,,2014-09-30,2013-10-01,14-375.327,2015-01-12T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,
