entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfGeneralMeeting,GrossProfitLoss,IdentificationNumberCvrOfReportingEntity,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncomeFromGroupEnterprises,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,TaxExpenseOnOrdinaryActivities,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,OtherShorttermPayables,OtherShorttermReceivables,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermDebtToBanks,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTradePayables,NameAndSurnameOfMemberOfExecutiveBoard
25607368,2017-01-01,2017-12-31,ID_5,,http://regnskaber.virk.dk/86370652/ZG9rdW1lbnRsYWdlcjovLzAzLzEzL2Y0LzExL2RkLzY0YmUtNDhmOS04YjE4LThmOWY2M2FiNDE5OQ.pdf,http://regnskaber.virk.dk/86370652/ZG9rdW1lbnRsYWdlcjovLzAzLzZjLzBmLzQ3LzUxLzM1ZWYtNDRhZi04ZjhhLWYwZGZhM2Q1MDYzOQ.xml,true,"7100, Vejle",Lysholt Alle 3,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-05-01,2019-05-01,2019-05-15,2131.0,25607368.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for Dano Lit ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jens Bruun Haugstrup,Dano Lit ApS,Lacto Foods A/S,5.0,4747.0,Vejle,2017-01-01,2017-12-31,5361.0,6873.0,2131.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,1512.0,Administrerende direktÃ¸r,Ingen bistand,urn:ofk:oid:27153469,indberetninger-20180424,2.5124211,25607368.0,AWq_mbs6RYGX6_YTHu6a,2019-05-16T07:45:31.435Z,2019-05-16T07:44:43.751Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BE-33-KL,2019-05-16T07:44:43.885Z,,,,,,,,,,,,,,,,,,,
25607368,2017-01-01,2017-12-31,ID_7,,http://regnskaber.virk.dk/86370652/ZG9rdW1lbnRsYWdlcjovLzAzLzEzL2Y0LzExL2RkLzY0YmUtNDhmOS04YjE4LThmOWY2M2FiNDE5OQ.pdf,http://regnskaber.virk.dk/86370652/ZG9rdW1lbnRsYWdlcjovLzAzLzZjLzBmLzQ3LzUxLzM1ZWYtNDRhZi04ZjhhLWYwZGZhM2Q1MDYzOQ.xml,true,"7100, Vejle",Lysholt Alle 3,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-05-01,2019-05-01,2019-05-15,,25607368.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for Dano Lit ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jens Bruun Haugstrup,Dano Lit ApS,Lacto Foods A/S,,,Vejle,2017-01-01,2017-12-31,5360.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,,Administrerende direktÃ¸r,Ingen bistand,urn:ofk:oid:27153469,indberetninger-20180424,2.5124211,25607368.0,AWq_mbs6RYGX6_YTHu6a,2019-05-16T07:45:31.435Z,2019-05-16T07:44:43.751Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BE-33-KL,2019-05-16T07:44:43.885Z,,,,,,,,,,,,,,,,,,,
25607368,2017-01-01,2017-12-31,ID_9,,http://regnskaber.virk.dk/86370652/ZG9rdW1lbnRsYWdlcjovLzAzLzEzL2Y0LzExL2RkLzY0YmUtNDhmOS04YjE4LThmOWY2M2FiNDE5OQ.pdf,http://regnskaber.virk.dk/86370652/ZG9rdW1lbnRsYWdlcjovLzAzLzZjLzBmLzQ3LzUxLzM1ZWYtNDRhZi04ZjhhLWYwZGZhM2Q1MDYzOQ.xml,true,"7100, Vejle",Lysholt Alle 3,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-05-01,2019-05-01,2019-05-15,,25607368.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for Dano Lit ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jens Bruun Haugstrup,Dano Lit ApS,Lacto Foods A/S,,,Vejle,2017-01-01,2017-12-31,1.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,,Administrerende direktÃ¸r,Ingen bistand,urn:ofk:oid:27153469,indberetninger-20180424,2.5124211,25607368.0,AWq_mbs6RYGX6_YTHu6a,2019-05-16T07:45:31.435Z,2019-05-16T07:44:43.751Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BE-33-KL,2019-05-16T07:44:43.885Z,,,,,,,,,,,,,,,,,,,
25607368,2017-12-31,2017-12-31,ID_4,,http://regnskaber.virk.dk/86370652/ZG9rdW1lbnRsYWdlcjovLzAzLzEzL2Y0LzExL2RkLzY0YmUtNDhmOS04YjE4LThmOWY2M2FiNDE5OQ.pdf,http://regnskaber.virk.dk/86370652/ZG9rdW1lbnRsYWdlcjovLzAzLzZjLzBmLzQ3LzUxLzM1ZWYtNDRhZi04ZjhhLWYwZGZhM2Q1MDYzOQ.xml,true,"7100, Vejle",Lysholt Alle 3,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-05-01,2019-05-01,2019-05-15,,25607368.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for Dano Lit ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jens Bruun Haugstrup,Dano Lit ApS,Lacto Foods A/S,,,Vejle,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,,Administrerende direktÃ¸r,Ingen bistand,urn:ofk:oid:27153469,indberetninger-20180424,2.5124211,25607368.0,AWq_mbs6RYGX6_YTHu6a,2019-05-16T07:45:31.435Z,2019-05-16T07:44:43.751Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BE-33-KL,2019-05-16T07:44:43.885Z,90574.0,67.0,80000.0,90574.0,85360.0,90574.0,5214.0,1314.0,2243.0,5360.0,0.0,0.0,5214.0,2178.0,90507.0,88264.0,1512.0,210.0,
25607368,2018-01-01,2018-12-31,ID_0,,http://regnskaber.virk.dk/86370652/ZG9rdW1lbnRsYWdlcjovLzAzLzEzL2Y0LzExL2RkLzY0YmUtNDhmOS04YjE4LThmOWY2M2FiNDE5OQ.pdf,http://regnskaber.virk.dk/86370652/ZG9rdW1lbnRsYWdlcjovLzAzLzZjLzBmLzQ3LzUxLzM1ZWYtNDRhZi04ZjhhLWYwZGZhM2Q1MDYzOQ.xml,true,"7100, Vejle",Lysholt Alle 3,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-05-01,2019-05-01,2019-05-15,,25607368.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for Dano Lit ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jens Bruun Haugstrup,Dano Lit ApS,Lacto Foods A/S,,,Vejle,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,,Administrerende direktÃ¸r,Ingen bistand,urn:ofk:oid:27153469,indberetninger-20180424,2.5124211,25607368.0,AWq_mbs6RYGX6_YTHu6a,2019-05-16T07:45:31.435Z,2019-05-16T07:44:43.751Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BE-33-KL,2019-05-16T07:44:43.885Z,,,,,,,,,,,,,,,,,,,Jens Bruun Haugstrup
25607368,2018-01-01,2018-12-31,ID_1,,http://regnskaber.virk.dk/86370652/ZG9rdW1lbnRsYWdlcjovLzAzLzEzL2Y0LzExL2RkLzY0YmUtNDhmOS04YjE4LThmOWY2M2FiNDE5OQ.pdf,http://regnskaber.virk.dk/86370652/ZG9rdW1lbnRsYWdlcjovLzAzLzZjLzBmLzQ3LzUxLzM1ZWYtNDRhZi04ZjhhLWYwZGZhM2Q1MDYzOQ.xml,true,"7100, Vejle",Lysholt Alle 3,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-05-01,2019-05-01,2019-05-15,,25607368.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for Dano Lit ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jens Bruun Haugstrup,Dano Lit ApS,Lacto Foods A/S,,,Vejle,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,,Administrerende direktÃ¸r,Ingen bistand,urn:ofk:oid:27153469,indberetninger-20180424,2.5124211,25607368.0,AWq_mbs6RYGX6_YTHu6a,2019-05-16T07:45:31.435Z,2019-05-16T07:44:43.751Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BE-33-KL,2019-05-16T07:44:43.885Z,,,,,,,,,,,,,,,,,,,
25607368,2018-01-01,2018-12-31,ID_2,,http://regnskaber.virk.dk/86370652/ZG9rdW1lbnRsYWdlcjovLzAzLzEzL2Y0LzExL2RkLzY0YmUtNDhmOS04YjE4LThmOWY2M2FiNDE5OQ.pdf,http://regnskaber.virk.dk/86370652/ZG9rdW1lbnRsYWdlcjovLzAzLzZjLzBmLzQ3LzUxLzM1ZWYtNDRhZi04ZjhhLWYwZGZhM2Q1MDYzOQ.xml,true,"7100, Vejle",Lysholt Alle 3,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-05-01,2019-05-01,2019-05-15,4967.0,25607368.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for Dano Lit ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jens Bruun Haugstrup,Dano Lit ApS,Lacto Foods A/S,12.0,4747.0,Vejle,2017-01-01,2017-12-31,7568.0,9702.0,4967.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,2134.0,Administrerende direktÃ¸r,Ingen bistand,urn:ofk:oid:27153469,indberetninger-20180424,2.5124211,25607368.0,AWq_mbs6RYGX6_YTHu6a,2019-05-16T07:45:31.435Z,2019-05-16T07:44:43.751Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BE-33-KL,2019-05-16T07:44:43.885Z,,,,,,,,,,,,,,,,,,,
25607368,2018-01-01,2018-12-31,ID_6,,http://regnskaber.virk.dk/86370652/ZG9rdW1lbnRsYWdlcjovLzAzLzEzL2Y0LzExL2RkLzY0YmUtNDhmOS04YjE4LThmOWY2M2FiNDE5OQ.pdf,http://regnskaber.virk.dk/86370652/ZG9rdW1lbnRsYWdlcjovLzAzLzZjLzBmLzQ3LzUxLzM1ZWYtNDRhZi04ZjhhLWYwZGZhM2Q1MDYzOQ.xml,true,"7100, Vejle",Lysholt Alle 3,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-05-01,2019-05-01,2019-05-15,,25607368.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for Dano Lit ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jens Bruun Haugstrup,Dano Lit ApS,Lacto Foods A/S,,,Vejle,2017-01-01,2017-12-31,7568.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,,Administrerende direktÃ¸r,Ingen bistand,urn:ofk:oid:27153469,indberetninger-20180424,2.5124211,25607368.0,AWq_mbs6RYGX6_YTHu6a,2019-05-16T07:45:31.435Z,2019-05-16T07:44:43.751Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BE-33-KL,2019-05-16T07:44:43.885Z,,,,,,,,,,,,,,,,,,,
25607368,2018-01-01,2018-12-31,ID_8,,http://regnskaber.virk.dk/86370652/ZG9rdW1lbnRsYWdlcjovLzAzLzEzL2Y0LzExL2RkLzY0YmUtNDhmOS04YjE4LThmOWY2M2FiNDE5OQ.pdf,http://regnskaber.virk.dk/86370652/ZG9rdW1lbnRsYWdlcjovLzAzLzZjLzBmLzQ3LzUxLzM1ZWYtNDRhZi04ZjhhLWYwZGZhM2Q1MDYzOQ.xml,true,"7100, Vejle",Lysholt Alle 3,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-05-01,2019-05-01,2019-05-15,,25607368.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for Dano Lit ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jens Bruun Haugstrup,Dano Lit ApS,Lacto Foods A/S,,,Vejle,2017-01-01,2017-12-31,0.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,,Administrerende direktÃ¸r,Ingen bistand,urn:ofk:oid:27153469,indberetninger-20180424,2.5124211,25607368.0,AWq_mbs6RYGX6_YTHu6a,2019-05-16T07:45:31.435Z,2019-05-16T07:44:43.751Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BE-33-KL,2019-05-16T07:44:43.885Z,,,,,,,,,,,,,,,,,,,
25607368,2018-12-31,2018-12-31,ID_3,,http://regnskaber.virk.dk/86370652/ZG9rdW1lbnRsYWdlcjovLzAzLzEzL2Y0LzExL2RkLzY0YmUtNDhmOS04YjE4LThmOWY2M2FiNDE5OQ.pdf,http://regnskaber.virk.dk/86370652/ZG9rdW1lbnRsYWdlcjovLzAzLzZjLzBmLzQ3LzUxLzM1ZWYtNDRhZi04ZjhhLWYwZGZhM2Q1MDYzOQ.xml,true,"7100, Vejle",Lysholt Alle 3,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-05-01,2019-05-01,2019-05-15,,25607368.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for Dano Lit ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jens Bruun Haugstrup,Dano Lit ApS,Lacto Foods A/S,,,Vejle,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,,Administrerende direktÃ¸r,Ingen bistand,urn:ofk:oid:27153469,indberetninger-20180424,2.5124211,25607368.0,AWq_mbs6RYGX6_YTHu6a,2019-05-16T07:45:31.435Z,2019-05-16T07:44:43.751Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BE-33-KL,2019-05-16T07:44:43.885Z,89710.0,0.0,80000.0,89710.0,87569.0,89710.0,2141.0,0.0,1000.0,7568.0,1.0,6.0,2141.0,1.0,89710.0,88710.0,2134.0,0.0,
