entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,GrossProfitLoss,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,OtherShorttermPayables,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermTaxPayables,NameAndSurnameOfMemberOfExecutiveBoard
36919930,2015-06-10,2015-12-31,ID_2,,http://regnskaber.virk.dk/03991963/ZG9rdW1lbnRsYWdlcjovLzAzLzI0L2Q0LzgwLzNhLzM5YzItNDYxNi1hMTEyLWU0N2Y3MjVjOWViOQ.pdf,http://regnskaber.virk.dk/03991963/ZG9rdW1lbnRsYWdlcjovLzAzL2Y1L2U4L2M3LzM5LzgzZWItNDczZi1iMWY5LTQyNzQ3ZGJiZjY0MQ.xml,"1159, KÃ¸benhavn K","Skindergade 38, 2",Til den daglige ledelse i OF Gear ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016.",2017-01-10,2015-06-10,2017-01-10,46879.0,36919930.0,30563670.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016 for OF Gear ApS.,Ãrsrapport,Ole Fejer,OF Gear ApS,Juel Viborg,0.0,-4856.0,"KÃ¸benhavn, den 10. januar 2017",2015-06-10,2015-12-31,32152.0,42022.0,46879.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"101, KÃ¸benhavn",2016-12-31,2016-01-01,2017-01-10,KÃ¸benhavn,9870.0,Administrerende direktÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23380914,indberetninger-20180424,2.5095456,36919930.0,,2018-03-27T11:05:35.821Z,2017-01-11T08:03:56.768Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AA-62-LN,2017-01-11T08:03:56.918Z,,,,,,,,,,,,,
36919930,2015-06-10,2015-12-31,ID_4,,http://regnskaber.virk.dk/03991963/ZG9rdW1lbnRsYWdlcjovLzAzLzI0L2Q0LzgwLzNhLzM5YzItNDYxNi1hMTEyLWU0N2Y3MjVjOWViOQ.pdf,http://regnskaber.virk.dk/03991963/ZG9rdW1lbnRsYWdlcjovLzAzL2Y1L2U4L2M3LzM5LzgzZWItNDczZi1iMWY5LTQyNzQ3ZGJiZjY0MQ.xml,"1159, KÃ¸benhavn K","Skindergade 38, 2",Til den daglige ledelse i OF Gear ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016.",2017-01-10,2015-06-10,2017-01-10,,36919930.0,30563670.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016 for OF Gear ApS.,Ãrsrapport,Ole Fejer,OF Gear ApS,Juel Viborg,,,"KÃ¸benhavn, den 10. januar 2017",2015-06-10,2015-12-31,-32000.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"101, KÃ¸benhavn",2016-12-31,2016-01-01,2017-01-10,KÃ¸benhavn,,Administrerende direktÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23380914,indberetninger-20180424,2.5095456,36919930.0,,2018-03-27T11:05:35.821Z,2017-01-11T08:03:56.768Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AA-62-LN,2017-01-11T08:03:56.918Z,,,,,,,,,,,,,
36919930,2015-06-10,2015-12-31,ID_6,,http://regnskaber.virk.dk/03991963/ZG9rdW1lbnRsYWdlcjovLzAzLzI0L2Q0LzgwLzNhLzM5YzItNDYxNi1hMTEyLWU0N2Y3MjVjOWViOQ.pdf,http://regnskaber.virk.dk/03991963/ZG9rdW1lbnRsYWdlcjovLzAzL2Y1L2U4L2M3LzM5LzgzZWItNDczZi1iMWY5LTQyNzQ3ZGJiZjY0MQ.xml,"1159, KÃ¸benhavn K","Skindergade 38, 2",Til den daglige ledelse i OF Gear ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016.",2017-01-10,2015-06-10,2017-01-10,,36919930.0,30563670.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016 for OF Gear ApS.,Ãrsrapport,Ole Fejer,OF Gear ApS,Juel Viborg,,,"KÃ¸benhavn, den 10. januar 2017",2015-06-10,2015-12-31,-152.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"101, KÃ¸benhavn",2016-12-31,2016-01-01,2017-01-10,KÃ¸benhavn,,Administrerende direktÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23380914,indberetninger-20180424,2.5095456,36919930.0,,2018-03-27T11:05:35.821Z,2017-01-11T08:03:56.768Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AA-62-LN,2017-01-11T08:03:56.918Z,,,,,,,,,,,,,
36919930,2015-12-31,2015-12-31,ID_8,,http://regnskaber.virk.dk/03991963/ZG9rdW1lbnRsYWdlcjovLzAzLzI0L2Q0LzgwLzNhLzM5YzItNDYxNi1hMTEyLWU0N2Y3MjVjOWViOQ.pdf,http://regnskaber.virk.dk/03991963/ZG9rdW1lbnRsYWdlcjovLzAzL2Y1L2U4L2M3LzM5LzgzZWItNDczZi1iMWY5LTQyNzQ3ZGJiZjY0MQ.xml,"1159, KÃ¸benhavn K","Skindergade 38, 2",Til den daglige ledelse i OF Gear ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016.",2017-01-10,2015-06-10,2017-01-10,,36919930.0,30563670.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016 for OF Gear ApS.,Ãrsrapport,Ole Fejer,OF Gear ApS,Juel Viborg,,,"KÃ¸benhavn, den 10. januar 2017",2015-06-10,2015-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"101, KÃ¸benhavn",2016-12-31,2016-01-01,2017-01-10,KÃ¸benhavn,,Administrerende direktÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23380914,indberetninger-20180424,2.5095456,36919930.0,,2018-03-27T11:05:35.821Z,2017-01-11T08:03:56.768Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AA-62-LN,2017-01-11T08:03:56.918Z,105040.0,105040.0,50000.0,105040.0,82152.0,105040.0,22887.0,13017.0,32000.0,152.0,22887.0,9870.0,
36919930,2016-01-01,2016-12-31,ID_0,,http://regnskaber.virk.dk/03991963/ZG9rdW1lbnRsYWdlcjovLzAzLzI0L2Q0LzgwLzNhLzM5YzItNDYxNi1hMTEyLWU0N2Y3MjVjOWViOQ.pdf,http://regnskaber.virk.dk/03991963/ZG9rdW1lbnRsYWdlcjovLzAzL2Y1L2U4L2M3LzM5LzgzZWItNDczZi1iMWY5LTQyNzQ3ZGJiZjY0MQ.xml,"1159, KÃ¸benhavn K","Skindergade 38, 2",Til den daglige ledelse i OF Gear ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016.",2017-01-10,2015-06-10,2017-01-10,466169.0,36919930.0,30563670.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016 for OF Gear ApS.,Ãrsrapport,Ole Fejer,OF Gear ApS,Juel Viborg,480.0,-1108.0,"KÃ¸benhavn, den 10. januar 2017",2015-06-10,2015-12-31,362391.0,464581.0,466169.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"101, KÃ¸benhavn",2016-12-31,2016-01-01,2017-01-10,KÃ¸benhavn,102190.0,Administrerende direktÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23380914,indberetninger-20180424,2.5095456,36919930.0,,2018-03-27T11:05:35.821Z,2017-01-11T08:03:56.768Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AA-62-LN,2017-01-11T08:03:56.918Z,,,,,,,,,,,,,
36919930,2016-01-01,2016-12-31,ID_1,,http://regnskaber.virk.dk/03991963/ZG9rdW1lbnRsYWdlcjovLzAzLzI0L2Q0LzgwLzNhLzM5YzItNDYxNi1hMTEyLWU0N2Y3MjVjOWViOQ.pdf,http://regnskaber.virk.dk/03991963/ZG9rdW1lbnRsYWdlcjovLzAzL2Y1L2U4L2M3LzM5LzgzZWItNDczZi1iMWY5LTQyNzQ3ZGJiZjY0MQ.xml,"1159, KÃ¸benhavn K","Skindergade 38, 2",Til den daglige ledelse i OF Gear ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016.",2017-01-10,2015-06-10,2017-01-10,,36919930.0,30563670.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016 for OF Gear ApS.,Ãrsrapport,Ole Fejer,OF Gear ApS,Juel Viborg,,,"KÃ¸benhavn, den 10. januar 2017",2015-06-10,2015-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"101, KÃ¸benhavn",2016-12-31,2016-01-01,2017-01-10,KÃ¸benhavn,,Administrerende direktÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23380914,indberetninger-20180424,2.5095456,36919930.0,,2018-03-27T11:05:35.821Z,2017-01-11T08:03:56.768Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AA-62-LN,2017-01-11T08:03:56.918Z,,,,,,,,,,,,,Ole Fejer
36919930,2016-01-01,2016-12-31,ID_3,,http://regnskaber.virk.dk/03991963/ZG9rdW1lbnRsYWdlcjovLzAzLzI0L2Q0LzgwLzNhLzM5YzItNDYxNi1hMTEyLWU0N2Y3MjVjOWViOQ.pdf,http://regnskaber.virk.dk/03991963/ZG9rdW1lbnRsYWdlcjovLzAzL2Y1L2U4L2M3LzM5LzgzZWItNDczZi1iMWY5LTQyNzQ3ZGJiZjY0MQ.xml,"1159, KÃ¸benhavn K","Skindergade 38, 2",Til den daglige ledelse i OF Gear ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016.",2017-01-10,2015-06-10,2017-01-10,,36919930.0,30563670.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016 for OF Gear ApS.,Ãrsrapport,Ole Fejer,OF Gear ApS,Juel Viborg,,,"KÃ¸benhavn, den 10. januar 2017",2015-06-10,2015-12-31,-50600.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"101, KÃ¸benhavn",2016-12-31,2016-01-01,2017-01-10,KÃ¸benhavn,,Administrerende direktÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23380914,indberetninger-20180424,2.5095456,36919930.0,,2018-03-27T11:05:35.821Z,2017-01-11T08:03:56.768Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AA-62-LN,2017-01-11T08:03:56.918Z,,,,,,,,,,,,,
36919930,2016-01-01,2016-12-31,ID_5,,http://regnskaber.virk.dk/03991963/ZG9rdW1lbnRsYWdlcjovLzAzLzI0L2Q0LzgwLzNhLzM5YzItNDYxNi1hMTEyLWU0N2Y3MjVjOWViOQ.pdf,http://regnskaber.virk.dk/03991963/ZG9rdW1lbnRsYWdlcjovLzAzL2Y1L2U4L2M3LzM5LzgzZWItNDczZi1iMWY5LTQyNzQ3ZGJiZjY0MQ.xml,"1159, KÃ¸benhavn K","Skindergade 38, 2",Til den daglige ledelse i OF Gear ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016.",2017-01-10,2015-06-10,2017-01-10,,36919930.0,30563670.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016 for OF Gear ApS.,Ãrsrapport,Ole Fejer,OF Gear ApS,Juel Viborg,,,"KÃ¸benhavn, den 10. januar 2017",2015-06-10,2015-12-31,-311791.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"101, KÃ¸benhavn",2016-12-31,2016-01-01,2017-01-10,KÃ¸benhavn,,Administrerende direktÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23380914,indberetninger-20180424,2.5095456,36919930.0,,2018-03-27T11:05:35.821Z,2017-01-11T08:03:56.768Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AA-62-LN,2017-01-11T08:03:56.918Z,,,,,,,,,,,,,
36919930,2016-01-01,2016-12-31,ID_9,,http://regnskaber.virk.dk/03991963/ZG9rdW1lbnRsYWdlcjovLzAzLzI0L2Q0LzgwLzNhLzM5YzItNDYxNi1hMTEyLWU0N2Y3MjVjOWViOQ.pdf,http://regnskaber.virk.dk/03991963/ZG9rdW1lbnRsYWdlcjovLzAzL2Y1L2U4L2M3LzM5LzgzZWItNDczZi1iMWY5LTQyNzQ3ZGJiZjY0MQ.xml,"1159, KÃ¸benhavn K","Skindergade 38, 2",Til den daglige ledelse i OF Gear ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016.",2017-01-10,2015-06-10,2017-01-10,,36919930.0,30563670.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016 for OF Gear ApS.,Ãrsrapport,Ole Fejer,OF Gear ApS,Juel Viborg,,,"KÃ¸benhavn, den 10. januar 2017",2015-06-10,2015-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"101, KÃ¸benhavn",2016-12-31,2016-01-01,2017-01-10,KÃ¸benhavn,,Administrerende direktÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23380914,indberetninger-20180424,2.5095456,36919930.0,,2018-03-27T11:05:35.821Z,2017-01-11T08:03:56.768Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AA-62-LN,2017-01-11T08:03:56.918Z,,,,,,,,,,,,,
36919930,2016-12-31,2016-12-31,ID_7,,http://regnskaber.virk.dk/03991963/ZG9rdW1lbnRsYWdlcjovLzAzLzI0L2Q0LzgwLzNhLzM5YzItNDYxNi1hMTEyLWU0N2Y3MjVjOWViOQ.pdf,http://regnskaber.virk.dk/03991963/ZG9rdW1lbnRsYWdlcjovLzAzL2Y1L2U4L2M3LzM5LzgzZWItNDczZi1iMWY5LTQyNzQ3ZGJiZjY0MQ.xml,"1159, KÃ¸benhavn K","Skindergade 38, 2",Til den daglige ledelse i OF Gear ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016.",2017-01-10,2015-06-10,2017-01-10,,36919930.0,30563670.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2016 - 31. december 2016 for OF Gear ApS.,Ãrsrapport,Ole Fejer,OF Gear ApS,Juel Viborg,,,"KÃ¸benhavn, den 10. januar 2017",2015-06-10,2015-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"101, KÃ¸benhavn",2016-12-31,2016-01-01,2017-01-10,KÃ¸benhavn,,Administrerende direktÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23380914,indberetninger-20180424,2.5095456,36919930.0,,2018-03-27T11:05:35.821Z,2017-01-11T08:03:56.768Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AA-62-LN,2017-01-11T08:03:56.918Z,548566.0,548566.0,50000.0,548566.0,412543.0,548566.0,136023.0,23963.0,50600.0,311943.0,136023.0,112060.0,
