entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfGeneralMeeting,Equity,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,GrossProfitLoss,IncomeFromOtherLongtermInvestmentsAndReceivables,OtherFinanceExpenses,OtherFinanceIncome,OtherInterestExpenses,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,DeferredIncomeAssets,FixturesFittingsToolsAndEquipment,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,NoncurrentAssets,OtherLongtermInvestments,OtherShorttermInvestments,OtherShorttermReceivables,PropertyPlantAndEquipment,ProposedDividend,RetainedEarnings,ShorttermDebtToBanks,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables
29150826,2013-05-01,2013-05-01,c720,,http://regnskaber.virk.dk/62805192/ZG9rdW1lbnRsYWdlcjovLzAzL2NlLzA0LzJmL2ZjLzcxZjgtNDQ5Ny05Y2MwLThmMGMyNmE3MGM1Mw.pdf,http://regnskaber.virk.dk/62805192/ZG9rdW1lbnRsYWdlcjovLzAzLzY3Lzk5L2Q4L2MwLzc3ZDItNDRkYi05MDc3LWNiYzhlY2I0ODM1ZQ.xml,Randers NV,8920.0,9.0,Wingesvej,"8960, Randers SÃ","Tronholmen, 3",Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. april 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2014/15 for opfyldt.,2015-09-18,2015-09-18,2015-09-30,125000.0,29150826.0,36717785.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015 for BNP Holding ApS.,Ãrsrapport,B. Nygaard Pedersen,Bjarne Nygaard Pedersen,Jyske Bank,BNP Holding ApS,"Kvist & Jensen, Statsautoriseret Revisionspartnerselskab",Randers NV,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Randers,2015-04-30,2014-05-01,Ingen bistand,urn:ofk:oid:21477855,indberetninger-20180424,2.5124211,29150826.0,,2018-03-30T07:26:39.863Z,2015-10-01T10:36:42.953Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AH-12-HY,2015-10-01T10:36:43.040Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29150826,2013-05-01,2013-05-01,c741,,http://regnskaber.virk.dk/62805192/ZG9rdW1lbnRsYWdlcjovLzAzL2NlLzA0LzJmL2ZjLzcxZjgtNDQ5Ny05Y2MwLThmMGMyNmE3MGM1Mw.pdf,http://regnskaber.virk.dk/62805192/ZG9rdW1lbnRsYWdlcjovLzAzLzY3Lzk5L2Q4L2MwLzc3ZDItNDRkYi05MDc3LWNiYzhlY2I0ODM1ZQ.xml,Randers NV,8920.0,9.0,Wingesvej,"8960, Randers SÃ","Tronholmen, 3",Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. april 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2014/15 for opfyldt.,2015-09-18,2015-09-18,2015-09-30,4460514.0,29150826.0,36717785.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015 for BNP Holding ApS.,Ãrsrapport,B. Nygaard Pedersen,Bjarne Nygaard Pedersen,Jyske Bank,BNP Holding ApS,"Kvist & Jensen, Statsautoriseret Revisionspartnerselskab",Randers NV,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Randers,2015-04-30,2014-05-01,Ingen bistand,urn:ofk:oid:21477855,indberetninger-20180424,2.5124211,29150826.0,,2018-03-30T07:26:39.863Z,2015-10-01T10:36:42.953Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AH-12-HY,2015-10-01T10:36:43.040Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29150826,2013-05-01,2014-04-30,c111,,http://regnskaber.virk.dk/62805192/ZG9rdW1lbnRsYWdlcjovLzAzL2NlLzA0LzJmL2ZjLzcxZjgtNDQ5Ny05Y2MwLThmMGMyNmE3MGM1Mw.pdf,http://regnskaber.virk.dk/62805192/ZG9rdW1lbnRsYWdlcjovLzAzLzY3Lzk5L2Q4L2MwLzc3ZDItNDRkYi05MDc3LWNiYzhlY2I0ODM1ZQ.xml,Randers NV,8920.0,9.0,Wingesvej,"8960, Randers SÃ","Tronholmen, 3",Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. april 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2014/15 for opfyldt.,2015-09-18,2015-09-18,2015-09-30,,29150826.0,36717785.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015 for BNP Holding ApS.,Ãrsrapport,B. Nygaard Pedersen,Bjarne Nygaard Pedersen,Jyske Bank,BNP Holding ApS,"Kvist & Jensen, Statsautoriseret Revisionspartnerselskab",Randers NV,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Randers,2015-04-30,2014-05-01,Ingen bistand,urn:ofk:oid:21477855,indberetninger-20180424,2.5124211,29150826.0,,2018-03-30T07:26:39.863Z,2015-10-01T10:36:42.953Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AH-12-HY,2015-10-01T10:36:43.040Z,98400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29150826,2013-05-01,2014-04-30,c123,,http://regnskaber.virk.dk/62805192/ZG9rdW1lbnRsYWdlcjovLzAzL2NlLzA0LzJmL2ZjLzcxZjgtNDQ5Ny05Y2MwLThmMGMyNmE3MGM1Mw.pdf,http://regnskaber.virk.dk/62805192/ZG9rdW1lbnRsYWdlcjovLzAzLzY3Lzk5L2Q4L2MwLzc3ZDItNDRkYi05MDc3LWNiYzhlY2I0ODM1ZQ.xml,Randers NV,8920.0,9.0,Wingesvej,"8960, Randers SÃ","Tronholmen, 3",Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. april 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2014/15 for opfyldt.,2015-09-18,2015-09-18,2015-09-30,,29150826.0,36717785.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015 for BNP Holding ApS.,Ãrsrapport,B. Nygaard Pedersen,Bjarne Nygaard Pedersen,Jyske Bank,BNP Holding ApS,"Kvist & Jensen, Statsautoriseret Revisionspartnerselskab",Randers NV,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Randers,2015-04-30,2014-05-01,Ingen bistand,urn:ofk:oid:21477855,indberetninger-20180424,2.5124211,29150826.0,,2018-03-30T07:26:39.863Z,2015-10-01T10:36:42.953Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AH-12-HY,2015-10-01T10:36:43.040Z,499065.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29150826,2013-05-01,2014-04-30,c3,,http://regnskaber.virk.dk/62805192/ZG9rdW1lbnRsYWdlcjovLzAzL2NlLzA0LzJmL2ZjLzcxZjgtNDQ5Ny05Y2MwLThmMGMyNmE3MGM1Mw.pdf,http://regnskaber.virk.dk/62805192/ZG9rdW1lbnRsYWdlcjovLzAzLzY3Lzk5L2Q4L2MwLzc3ZDItNDRkYi05MDc3LWNiYzhlY2I0ODM1ZQ.xml,Randers NV,8920.0,9.0,Wingesvej,"8960, Randers SÃ","Tronholmen, 3",Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. april 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2014/15 for opfyldt.,2015-09-18,2015-09-18,2015-09-30,,29150826.0,36717785.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015 for BNP Holding ApS.,Ãrsrapport,B. Nygaard Pedersen,Bjarne Nygaard Pedersen,Jyske Bank,BNP Holding ApS,"Kvist & Jensen, Statsautoriseret Revisionspartnerselskab",Randers NV,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Randers,2015-04-30,2014-05-01,Ingen bistand,urn:ofk:oid:21477855,indberetninger-20180424,2.5124211,29150826.0,,2018-03-30T07:26:39.863Z,2015-10-01T10:36:42.953Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AH-12-HY,2015-10-01T10:36:43.040Z,597465.0,50400.0,-44116.0,577362.0,57037.0,218256.0,57037.0,644065.0,-94516.0,46600.0,,,,,,,,,,,,,,,,,,,,,
29150826,2013-05-01,2014-04-30,c742,,http://regnskaber.virk.dk/62805192/ZG9rdW1lbnRsYWdlcjovLzAzL2NlLzA0LzJmL2ZjLzcxZjgtNDQ5Ny05Y2MwLThmMGMyNmE3MGM1Mw.pdf,http://regnskaber.virk.dk/62805192/ZG9rdW1lbnRsYWdlcjovLzAzLzY3Lzk5L2Q4L2MwLzc3ZDItNDRkYi05MDc3LWNiYzhlY2I0ODM1ZQ.xml,Randers NV,8920.0,9.0,Wingesvej,"8960, Randers SÃ","Tronholmen, 3",Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. april 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2014/15 for opfyldt.,2015-09-18,2015-09-18,2015-09-30,,29150826.0,36717785.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015 for BNP Holding ApS.,Ãrsrapport,B. Nygaard Pedersen,Bjarne Nygaard Pedersen,Jyske Bank,BNP Holding ApS,"Kvist & Jensen, Statsautoriseret Revisionspartnerselskab",Randers NV,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Randers,2015-04-30,2014-05-01,Ingen bistand,urn:ofk:oid:21477855,indberetninger-20180424,2.5124211,29150826.0,,2018-03-30T07:26:39.863Z,2015-10-01T10:36:42.953Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AH-12-HY,2015-10-01T10:36:43.040Z,499065.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29150826,2014-04-30,2014-04-30,c4,,http://regnskaber.virk.dk/62805192/ZG9rdW1lbnRsYWdlcjovLzAzL2NlLzA0LzJmL2ZjLzcxZjgtNDQ5Ny05Y2MwLThmMGMyNmE3MGM1Mw.pdf,http://regnskaber.virk.dk/62805192/ZG9rdW1lbnRsYWdlcjovLzAzLzY3Lzk5L2Q4L2MwLzc3ZDItNDRkYi05MDc3LWNiYzhlY2I0ODM1ZQ.xml,Randers NV,8920.0,9.0,Wingesvej,"8960, Randers SÃ","Tronholmen, 3",Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. april 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2014/15 for opfyldt.,2015-09-18,2015-09-18,2015-09-30,5084579.0,29150826.0,36717785.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015 for BNP Holding ApS.,Ãrsrapport,B. Nygaard Pedersen,Bjarne Nygaard Pedersen,Jyske Bank,BNP Holding ApS,"Kvist & Jensen, Statsautoriseret Revisionspartnerselskab",Randers NV,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Randers,2015-04-30,2014-05-01,Ingen bistand,urn:ofk:oid:21477855,indberetninger-20180424,2.5124211,29150826.0,,2018-03-30T07:26:39.863Z,2015-10-01T10:36:42.953Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AH-12-HY,2015-10-01T10:36:43.040Z,,,,,,,,,,,6182979.0,1176713.0,125000.0,4269034.0,226000.0,9113.0,260400.0,6182979.0,1098400.0,1653545.0,1913945.0,1653545.0,2607208.0,250000.0,260400.0,98400.0,4959579.0,1000000.0,2607208.0,1098400.0,485113.0
29150826,2014-04-30,2014-04-30,c722,,http://regnskaber.virk.dk/62805192/ZG9rdW1lbnRsYWdlcjovLzAzL2NlLzA0LzJmL2ZjLzcxZjgtNDQ5Ny05Y2MwLThmMGMyNmE3MGM1Mw.pdf,http://regnskaber.virk.dk/62805192/ZG9rdW1lbnRsYWdlcjovLzAzLzY3Lzk5L2Q4L2MwLzc3ZDItNDRkYi05MDc3LWNiYzhlY2I0ODM1ZQ.xml,Randers NV,8920.0,9.0,Wingesvej,"8960, Randers SÃ","Tronholmen, 3",Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. april 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2014/15 for opfyldt.,2015-09-18,2015-09-18,2015-09-30,125000.0,29150826.0,36717785.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015 for BNP Holding ApS.,Ãrsrapport,B. Nygaard Pedersen,Bjarne Nygaard Pedersen,Jyske Bank,BNP Holding ApS,"Kvist & Jensen, Statsautoriseret Revisionspartnerselskab",Randers NV,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Randers,2015-04-30,2014-05-01,Ingen bistand,urn:ofk:oid:21477855,indberetninger-20180424,2.5124211,29150826.0,,2018-03-30T07:26:39.863Z,2015-10-01T10:36:42.953Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AH-12-HY,2015-10-01T10:36:43.040Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29150826,2014-04-30,2014-04-30,c743,,http://regnskaber.virk.dk/62805192/ZG9rdW1lbnRsYWdlcjovLzAzL2NlLzA0LzJmL2ZjLzcxZjgtNDQ5Ny05Y2MwLThmMGMyNmE3MGM1Mw.pdf,http://regnskaber.virk.dk/62805192/ZG9rdW1lbnRsYWdlcjovLzAzLzY3Lzk5L2Q4L2MwLzc3ZDItNDRkYi05MDc3LWNiYzhlY2I0ODM1ZQ.xml,Randers NV,8920.0,9.0,Wingesvej,"8960, Randers SÃ","Tronholmen, 3",Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. april 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2014/15 for opfyldt.,2015-09-18,2015-09-18,2015-09-30,4959579.0,29150826.0,36717785.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015 for BNP Holding ApS.,Ãrsrapport,B. Nygaard Pedersen,Bjarne Nygaard Pedersen,Jyske Bank,BNP Holding ApS,"Kvist & Jensen, Statsautoriseret Revisionspartnerselskab",Randers NV,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Randers,2015-04-30,2014-05-01,Ingen bistand,urn:ofk:oid:21477855,indberetninger-20180424,2.5124211,29150826.0,,2018-03-30T07:26:39.863Z,2015-10-01T10:36:42.953Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AH-12-HY,2015-10-01T10:36:43.040Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29150826,2014-05-01,2014-05-01,c181,,http://regnskaber.virk.dk/62805192/ZG9rdW1lbnRsYWdlcjovLzAzL2NlLzA0LzJmL2ZjLzcxZjgtNDQ5Ny05Y2MwLThmMGMyNmE3MGM1Mw.pdf,http://regnskaber.virk.dk/62805192/ZG9rdW1lbnRsYWdlcjovLzAzLzY3Lzk5L2Q4L2MwLzc3ZDItNDRkYi05MDc3LWNiYzhlY2I0ODM1ZQ.xml,Randers NV,8920.0,9.0,Wingesvej,"8960, Randers SÃ","Tronholmen, 3",Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. april 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2014/15 for opfyldt.,2015-09-18,2015-09-18,2015-09-30,125000.0,29150826.0,36717785.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015 for BNP Holding ApS.,Ãrsrapport,B. Nygaard Pedersen,Bjarne Nygaard Pedersen,Jyske Bank,BNP Holding ApS,"Kvist & Jensen, Statsautoriseret Revisionspartnerselskab",Randers NV,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Randers,2015-04-30,2014-05-01,Ingen bistand,urn:ofk:oid:21477855,indberetninger-20180424,2.5124211,29150826.0,,2018-03-30T07:26:39.863Z,2015-10-01T10:36:42.953Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AH-12-HY,2015-10-01T10:36:43.040Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
