entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DisclosureOfContingentLiabilities,DisclosureOfMortgagesAndCollaterals,GrossResult,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,TaxExpense,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,DeferredIncomeAssets,Equity,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermDebtToOtherCreditInstitutions,LongtermLiabilitiesOtherThanProvisions,LongtermMortgageDebt,NoncurrentAssets,OtherReserves,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,RetainedEarnings,ShorttermDebtToBanks,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables
31481090,2015-01-01,2016-06-30,c2,http://regnskaber.virk.dk/09018413/ZG9rdW1lbnRsYWdlcjovLzAzL2RkLzA5L2VlLzUwL2NiNzctNDk0OS05ZWIyLWYwMDM2MzQ0NDQ3Zg.xhtml,http://regnskaber.virk.dk/09018413/ZG9rdW1lbnRsYWdlcjovLzAzLzgzLzgzL2EzLzA4L2ZlZGUtNDVlNS1hNmU1LWE0MDE5ZjdmZmQ4YQ.pdf,http://regnskaber.virk.dk/09018413/ZG9rdW1lbnRsYWdlcjovLzAzL2Y3L2YxLzJjL2VjLzE0ZTItNDVmYy04NTg5LWZhNmUyN2ViZWZiZQ.xml,true,Hellerup,2900.0,10.0,Bekkasinvej,2900 Hellerup,Bekksinvej 10,Regnskabsklasse B,2017-11-30,2017-11-30,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet indgÃ¥r i sambeskatning med tilknyttede virksomheder. Selskabet hÃ¦fter derfor gensidigt og solidarisk med disse virksomheder for betaling af de beregnede selskabsskatter og kildeskatter i sambeskatningen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har udstedt ejerpantebreve kr. 956.000 DKK med sikkerhed i selskabets gÃ¦ld til fordel for gÃ¦ldsbrev 1.1 mio. DKK. Derudover er der stillet sikkerhed i ejendommen til fordel for prioritetsgÃ¦ld.</p>",106103.0,31481090.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Erik FriedlÃ¦nder,Erik FriedlÃ¦nder,Damhus Boulevard 69A ApS,FC-Service Aps,60234.0,0.0,Gladsaxe,2015-01-01,2016-06-30,45869.0,45869.0,106103.0,2017-06-30,2016-07-01,false,false,0.0,false,false,Ingen bistand,urn:ofk:oid:24932722,indberetninger-20180424,2.59478,31481090.0,,2018-04-03T14:35:54.868Z,2018-01-09T14:27:00.723Z,regnskab,0.0,,2017-06-30,2016-07-01,X18-AA-62-XY,2018-01-09T14:27:00.938Z,,,,,,,,,,,,,,,,,,,,,
31481090,2015-01-01,2016-06-30,c4,http://regnskaber.virk.dk/09018413/ZG9rdW1lbnRsYWdlcjovLzAzL2RkLzA5L2VlLzUwL2NiNzctNDk0OS05ZWIyLWYwMDM2MzQ0NDQ3Zg.xhtml,http://regnskaber.virk.dk/09018413/ZG9rdW1lbnRsYWdlcjovLzAzLzgzLzgzL2EzLzA4L2ZlZGUtNDVlNS1hNmU1LWE0MDE5ZjdmZmQ4YQ.pdf,http://regnskaber.virk.dk/09018413/ZG9rdW1lbnRsYWdlcjovLzAzL2Y3L2YxLzJjL2VjLzE0ZTItNDVmYy04NTg5LWZhNmUyN2ViZWZiZQ.xml,true,Hellerup,2900.0,10.0,Bekkasinvej,2900 Hellerup,Bekksinvej 10,Regnskabsklasse B,2017-11-30,2017-11-30,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet indgÃ¥r i sambeskatning med tilknyttede virksomheder. Selskabet hÃ¦fter derfor gensidigt og solidarisk med disse virksomheder for betaling af de beregnede selskabsskatter og kildeskatter i sambeskatningen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har udstedt ejerpantebreve kr. 956.000 DKK med sikkerhed i selskabets gÃ¦ld til fordel for gÃ¦ldsbrev 1.1 mio. DKK. Derudover er der stillet sikkerhed i ejendommen til fordel for prioritetsgÃ¦ld.</p>",,31481090.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Erik FriedlÃ¦nder,Erik FriedlÃ¦nder,Damhus Boulevard 69A ApS,FC-Service Aps,,,Gladsaxe,2015-01-01,2016-06-30,45869.0,,,2017-06-30,2016-07-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:24932722,indberetninger-20180424,2.59478,31481090.0,,2018-04-03T14:35:54.868Z,2018-01-09T14:27:00.723Z,regnskab,0.0,,2017-06-30,2016-07-01,X18-AA-62-XY,2018-01-09T14:27:00.938Z,,,,,,,,,,,,,,,,,,,,,
31481090,2016-06-30,2016-06-30,c6,http://regnskaber.virk.dk/09018413/ZG9rdW1lbnRsYWdlcjovLzAzL2RkLzA5L2VlLzUwL2NiNzctNDk0OS05ZWIyLWYwMDM2MzQ0NDQ3Zg.xhtml,http://regnskaber.virk.dk/09018413/ZG9rdW1lbnRsYWdlcjovLzAzLzgzLzgzL2EzLzA4L2ZlZGUtNDVlNS1hNmU1LWE0MDE5ZjdmZmQ4YQ.pdf,http://regnskaber.virk.dk/09018413/ZG9rdW1lbnRsYWdlcjovLzAzL2Y3L2YxLzJjL2VjLzE0ZTItNDVmYy04NTg5LWZhNmUyN2ViZWZiZQ.xml,true,Hellerup,2900.0,10.0,Bekkasinvej,2900 Hellerup,Bekksinvej 10,Regnskabsklasse B,2017-11-30,2017-11-30,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet indgÃ¥r i sambeskatning med tilknyttede virksomheder. Selskabet hÃ¦fter derfor gensidigt og solidarisk med disse virksomheder for betaling af de beregnede selskabsskatter og kildeskatter i sambeskatningen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har udstedt ejerpantebreve kr. 956.000 DKK med sikkerhed i selskabets gÃ¦ld til fordel for gÃ¦ldsbrev 1.1 mio. DKK. Derudover er der stillet sikkerhed i ejendommen til fordel for prioritetsgÃ¦ld.</p>",,31481090.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Erik FriedlÃ¦nder,Erik FriedlÃ¦nder,Damhus Boulevard 69A ApS,FC-Service Aps,,,Gladsaxe,2015-01-01,2016-06-30,,,,2017-06-30,2016-07-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:24932722,indberetninger-20180424,2.59478,31481090.0,,2018-04-03T14:35:54.868Z,2018-01-09T14:27:00.723Z,regnskab,0.0,,2017-06-30,2016-07-01,X18-AA-62-XY,2018-01-09T14:27:00.938Z,7108776.0,11161.0,125000.0,108776.0,0.0,2045869.0,7000000.0,7108776.0,5062907.0,1100000.0,4819000.0,3719000.0,7000000.0,0.0,243907.0,97615.0,7000000.0,1920869.0,0.0,243907.0,97615.0
31481090,2016-07-01,2016-07-01,c10,http://regnskaber.virk.dk/09018413/ZG9rdW1lbnRsYWdlcjovLzAzL2RkLzA5L2VlLzUwL2NiNzctNDk0OS05ZWIyLWYwMDM2MzQ0NDQ3Zg.xhtml,http://regnskaber.virk.dk/09018413/ZG9rdW1lbnRsYWdlcjovLzAzLzgzLzgzL2EzLzA4L2ZlZGUtNDVlNS1hNmU1LWE0MDE5ZjdmZmQ4YQ.pdf,http://regnskaber.virk.dk/09018413/ZG9rdW1lbnRsYWdlcjovLzAzL2Y3L2YxLzJjL2VjLzE0ZTItNDVmYy04NTg5LWZhNmUyN2ViZWZiZQ.xml,true,Hellerup,2900.0,10.0,Bekkasinvej,2900 Hellerup,Bekksinvej 10,Regnskabsklasse B,2017-11-30,2017-11-30,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet indgÃ¥r i sambeskatning med tilknyttede virksomheder. Selskabet hÃ¦fter derfor gensidigt og solidarisk med disse virksomheder for betaling af de beregnede selskabsskatter og kildeskatter i sambeskatningen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har udstedt ejerpantebreve kr. 956.000 DKK med sikkerhed i selskabets gÃ¦ld til fordel for gÃ¦ldsbrev 1.1 mio. DKK. Derudover er der stillet sikkerhed i ejendommen til fordel for prioritetsgÃ¦ld.</p>",,31481090.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Erik FriedlÃ¦nder,Erik FriedlÃ¦nder,Damhus Boulevard 69A ApS,FC-Service Aps,,,Gladsaxe,2015-01-01,2016-06-30,,,,2017-06-30,2016-07-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:24932722,indberetninger-20180424,2.59478,31481090.0,,2018-04-03T14:35:54.868Z,2018-01-09T14:27:00.723Z,regnskab,0.0,,2017-06-30,2016-07-01,X18-AA-62-XY,2018-01-09T14:27:00.938Z,,,,,,2045869.0,,,,,,,,,,,,,,,
31481090,2016-07-01,2016-07-01,c7,http://regnskaber.virk.dk/09018413/ZG9rdW1lbnRsYWdlcjovLzAzL2RkLzA5L2VlLzUwL2NiNzctNDk0OS05ZWIyLWYwMDM2MzQ0NDQ3Zg.xhtml,http://regnskaber.virk.dk/09018413/ZG9rdW1lbnRsYWdlcjovLzAzLzgzLzgzL2EzLzA4L2ZlZGUtNDVlNS1hNmU1LWE0MDE5ZjdmZmQ4YQ.pdf,http://regnskaber.virk.dk/09018413/ZG9rdW1lbnRsYWdlcjovLzAzL2Y3L2YxLzJjL2VjLzE0ZTItNDVmYy04NTg5LWZhNmUyN2ViZWZiZQ.xml,true,Hellerup,2900.0,10.0,Bekkasinvej,2900 Hellerup,Bekksinvej 10,Regnskabsklasse B,2017-11-30,2017-11-30,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet indgÃ¥r i sambeskatning med tilknyttede virksomheder. Selskabet hÃ¦fter derfor gensidigt og solidarisk med disse virksomheder for betaling af de beregnede selskabsskatter og kildeskatter i sambeskatningen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har udstedt ejerpantebreve kr. 956.000 DKK med sikkerhed i selskabets gÃ¦ld til fordel for gÃ¦ldsbrev 1.1 mio. DKK. Derudover er der stillet sikkerhed i ejendommen til fordel for prioritetsgÃ¦ld.</p>",,31481090.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Erik FriedlÃ¦nder,Erik FriedlÃ¦nder,Damhus Boulevard 69A ApS,FC-Service Aps,,,Gladsaxe,2015-01-01,2016-06-30,,,,2017-06-30,2016-07-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:24932722,indberetninger-20180424,2.59478,31481090.0,,2018-04-03T14:35:54.868Z,2018-01-09T14:27:00.723Z,regnskab,0.0,,2017-06-30,2016-07-01,X18-AA-62-XY,2018-01-09T14:27:00.938Z,,,,,,125000.0,,,,,,,,,,,,,,,
31481090,2016-07-01,2016-07-01,c8,http://regnskaber.virk.dk/09018413/ZG9rdW1lbnRsYWdlcjovLzAzL2RkLzA5L2VlLzUwL2NiNzctNDk0OS05ZWIyLWYwMDM2MzQ0NDQ3Zg.xhtml,http://regnskaber.virk.dk/09018413/ZG9rdW1lbnRsYWdlcjovLzAzLzgzLzgzL2EzLzA4L2ZlZGUtNDVlNS1hNmU1LWE0MDE5ZjdmZmQ4YQ.pdf,http://regnskaber.virk.dk/09018413/ZG9rdW1lbnRsYWdlcjovLzAzL2Y3L2YxLzJjL2VjLzE0ZTItNDVmYy04NTg5LWZhNmUyN2ViZWZiZQ.xml,true,Hellerup,2900.0,10.0,Bekkasinvej,2900 Hellerup,Bekksinvej 10,Regnskabsklasse B,2017-11-30,2017-11-30,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet indgÃ¥r i sambeskatning med tilknyttede virksomheder. Selskabet hÃ¦fter derfor gensidigt og solidarisk med disse virksomheder for betaling af de beregnede selskabsskatter og kildeskatter i sambeskatningen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har udstedt ejerpantebreve kr. 956.000 DKK med sikkerhed i selskabets gÃ¦ld til fordel for gÃ¦ldsbrev 1.1 mio. DKK. Derudover er der stillet sikkerhed i ejendommen til fordel for prioritetsgÃ¦ld.</p>",,31481090.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Erik FriedlÃ¦nder,Erik FriedlÃ¦nder,Damhus Boulevard 69A ApS,FC-Service Aps,,,Gladsaxe,2015-01-01,2016-06-30,,,,2017-06-30,2016-07-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:24932722,indberetninger-20180424,2.59478,31481090.0,,2018-04-03T14:35:54.868Z,2018-01-09T14:27:00.723Z,regnskab,0.0,,2017-06-30,2016-07-01,X18-AA-62-XY,2018-01-09T14:27:00.938Z,,,,,,2400000.0,,,,,,,,,,,,,,,
31481090,2016-07-01,2016-07-01,c9,http://regnskaber.virk.dk/09018413/ZG9rdW1lbnRsYWdlcjovLzAzL2RkLzA5L2VlLzUwL2NiNzctNDk0OS05ZWIyLWYwMDM2MzQ0NDQ3Zg.xhtml,http://regnskaber.virk.dk/09018413/ZG9rdW1lbnRsYWdlcjovLzAzLzgzLzgzL2EzLzA4L2ZlZGUtNDVlNS1hNmU1LWE0MDE5ZjdmZmQ4YQ.pdf,http://regnskaber.virk.dk/09018413/ZG9rdW1lbnRsYWdlcjovLzAzL2Y3L2YxLzJjL2VjLzE0ZTItNDVmYy04NTg5LWZhNmUyN2ViZWZiZQ.xml,true,Hellerup,2900.0,10.0,Bekkasinvej,2900 Hellerup,Bekksinvej 10,Regnskabsklasse B,2017-11-30,2017-11-30,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet indgÃ¥r i sambeskatning med tilknyttede virksomheder. Selskabet hÃ¦fter derfor gensidigt og solidarisk med disse virksomheder for betaling af de beregnede selskabsskatter og kildeskatter i sambeskatningen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har udstedt ejerpantebreve kr. 956.000 DKK med sikkerhed i selskabets gÃ¦ld til fordel for gÃ¦ldsbrev 1.1 mio. DKK. Derudover er der stillet sikkerhed i ejendommen til fordel for prioritetsgÃ¦ld.</p>",,31481090.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Erik FriedlÃ¦nder,Erik FriedlÃ¦nder,Damhus Boulevard 69A ApS,FC-Service Aps,,,Gladsaxe,2015-01-01,2016-06-30,,,,2017-06-30,2016-07-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:24932722,indberetninger-20180424,2.59478,31481090.0,,2018-04-03T14:35:54.868Z,2018-01-09T14:27:00.723Z,regnskab,0.0,,2017-06-30,2016-07-01,X18-AA-62-XY,2018-01-09T14:27:00.938Z,,,,,,-479131.0,,,,,,,,,,,,,,,
31481090,2016-07-01,2017-06-30,c0,http://regnskaber.virk.dk/09018413/ZG9rdW1lbnRsYWdlcjovLzAzL2RkLzA5L2VlLzUwL2NiNzctNDk0OS05ZWIyLWYwMDM2MzQ0NDQ3Zg.xhtml,http://regnskaber.virk.dk/09018413/ZG9rdW1lbnRsYWdlcjovLzAzLzgzLzgzL2EzLzA4L2ZlZGUtNDVlNS1hNmU1LWE0MDE5ZjdmZmQ4YQ.pdf,http://regnskaber.virk.dk/09018413/ZG9rdW1lbnRsYWdlcjovLzAzL2Y3L2YxLzJjL2VjLzE0ZTItNDVmYy04NTg5LWZhNmUyN2ViZWZiZQ.xml,true,Hellerup,2900.0,10.0,Bekkasinvej,2900 Hellerup,Bekksinvej 10,Regnskabsklasse B,2017-11-30,2017-11-30,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet indgÃ¥r i sambeskatning med tilknyttede virksomheder. Selskabet hÃ¦fter derfor gensidigt og solidarisk med disse virksomheder for betaling af de beregnede selskabsskatter og kildeskatter i sambeskatningen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har udstedt ejerpantebreve kr. 956.000 DKK med sikkerhed i selskabets gÃ¦ld til fordel for gÃ¦ldsbrev 1.1 mio. DKK. Derudover er der stillet sikkerhed i ejendommen til fordel for prioritetsgÃ¦ld.</p>",293211.0,31481090.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Erik FriedlÃ¦nder,Erik FriedlÃ¦nder,Damhus Boulevard 69A ApS,FC-Service Aps,425499.0,0.0,Gladsaxe,2015-01-01,2016-06-30,-132288.0,-132288.0,293211.0,2017-06-30,2016-07-01,false,false,0.0,false,false,Ingen bistand,urn:ofk:oid:24932722,indberetninger-20180424,2.59478,31481090.0,,2018-04-03T14:35:54.868Z,2018-01-09T14:27:00.723Z,regnskab,0.0,,2017-06-30,2016-07-01,X18-AA-62-XY,2018-01-09T14:27:00.938Z,,,,,,,,,,,,,,,,,,,,,
31481090,2016-07-01,2017-06-30,c1,http://regnskaber.virk.dk/09018413/ZG9rdW1lbnRsYWdlcjovLzAzL2RkLzA5L2VlLzUwL2NiNzctNDk0OS05ZWIyLWYwMDM2MzQ0NDQ3Zg.xhtml,http://regnskaber.virk.dk/09018413/ZG9rdW1lbnRsYWdlcjovLzAzLzgzLzgzL2EzLzA4L2ZlZGUtNDVlNS1hNmU1LWE0MDE5ZjdmZmQ4YQ.pdf,http://regnskaber.virk.dk/09018413/ZG9rdW1lbnRsYWdlcjovLzAzL2Y3L2YxLzJjL2VjLzE0ZTItNDVmYy04NTg5LWZhNmUyN2ViZWZiZQ.xml,true,Hellerup,2900.0,10.0,Bekkasinvej,2900 Hellerup,Bekksinvej 10,Regnskabsklasse B,2017-11-30,2017-11-30,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet indgÃ¥r i sambeskatning med tilknyttede virksomheder. Selskabet hÃ¦fter derfor gensidigt og solidarisk med disse virksomheder for betaling af de beregnede selskabsskatter og kildeskatter i sambeskatningen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har udstedt ejerpantebreve kr. 956.000 DKK med sikkerhed i selskabets gÃ¦ld til fordel for gÃ¦ldsbrev 1.1 mio. DKK. Derudover er der stillet sikkerhed i ejendommen til fordel for prioritetsgÃ¦ld.</p>",,31481090.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Erik FriedlÃ¦nder,Erik FriedlÃ¦nder,Damhus Boulevard 69A ApS,FC-Service Aps,,,Gladsaxe,2015-01-01,2016-06-30,,,,2017-06-30,2016-07-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:24932722,indberetninger-20180424,2.59478,31481090.0,,2018-04-03T14:35:54.868Z,2018-01-09T14:27:00.723Z,regnskab,0.0,,2017-06-30,2016-07-01,X18-AA-62-XY,2018-01-09T14:27:00.938Z,,,,,,,,,,,,,,,,,,,,,
31481090,2016-07-01,2017-06-30,c11,http://regnskaber.virk.dk/09018413/ZG9rdW1lbnRsYWdlcjovLzAzL2RkLzA5L2VlLzUwL2NiNzctNDk0OS05ZWIyLWYwMDM2MzQ0NDQ3Zg.xhtml,http://regnskaber.virk.dk/09018413/ZG9rdW1lbnRsYWdlcjovLzAzLzgzLzgzL2EzLzA4L2ZlZGUtNDVlNS1hNmU1LWE0MDE5ZjdmZmQ4YQ.pdf,http://regnskaber.virk.dk/09018413/ZG9rdW1lbnRsYWdlcjovLzAzL2Y3L2YxLzJjL2VjLzE0ZTItNDVmYy04NTg5LWZhNmUyN2ViZWZiZQ.xml,true,Hellerup,2900.0,10.0,Bekkasinvej,2900 Hellerup,Bekksinvej 10,Regnskabsklasse B,2017-11-30,2017-11-30,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet indgÃ¥r i sambeskatning med tilknyttede virksomheder. Selskabet hÃ¦fter derfor gensidigt og solidarisk med disse virksomheder for betaling af de beregnede selskabsskatter og kildeskatter i sambeskatningen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har udstedt ejerpantebreve kr. 956.000 DKK med sikkerhed i selskabets gÃ¦ld til fordel for gÃ¦ldsbrev 1.1 mio. DKK. Derudover er der stillet sikkerhed i ejendommen til fordel for prioritetsgÃ¦ld.</p>",,31481090.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Erik FriedlÃ¦nder,Erik FriedlÃ¦nder,Damhus Boulevard 69A ApS,FC-Service Aps,,,Gladsaxe,2015-01-01,2016-06-30,0.0,,,2017-06-30,2016-07-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:24932722,indberetninger-20180424,2.59478,31481090.0,,2018-04-03T14:35:54.868Z,2018-01-09T14:27:00.723Z,regnskab,0.0,,2017-06-30,2016-07-01,X18-AA-62-XY,2018-01-09T14:27:00.938Z,,,,,,,,,,,,,,,,,,,,,
