entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,CurrentTaxExpense,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GrossResult,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherEmployeeExpense,OtherFinanceExpenses,OtherFinanceIncome,OtherInterestExpenses,OtherInterestIncome,PlaceOfSignatureOfStatement,PostemploymentBenefitExpense,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,RetainedEarnings,ShorttermTradePayables,TaxExpenseOnOrdinaryActivities,TypeOfAuditorAssistance,WagesAndSalaries,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,OtherShorttermPayables,RestOfOtherReserves,ShorttermDeferredIncome,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermTaxPayables,ShorttermTradeReceivables
35633871,2014-01-01,2014-12-31,c1,,http://regnskaber.virk.dk/17833653/ZG9rdW1lbnRsYWdlcjovLzAzLzUzL2RkLzM1LzM3Lzc4YjEtNGQ3My04MzcwLWFjZDdiYWYwZDYyMg.pdf,http://regnskaber.virk.dk/17833653/ZG9rdW1lbnRsYWdlcjovLzAzLzIyLzY1L2UzLzkwLzRiYmQtNGQ4Ny05MTMxLTFiMjNkZTA3MzRhNQ.xml,1.0,Haslev,4690.0,27.0,Jernbanegade,2300 KÃ¸benhavn S,"Sverrigsgade 2 A, 5. th.",2300 KÃ¸benhavn S,"Sverrigsgade 2 A, 5. th.",Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,-14798.0,2016-02-01,2014-01-06,2016-02-13,-15491.0,-65050.0,139107.0,35633871.0,35633871.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2015 for Copenhagen Specs IVS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten LÃ¸kke Gammelmark,Morten LÃ¸kke Gammelmark,Nordea Bank,Copenhagen Specs IVS,Copenhagen Specs IVS,-15050.0,-680.0,485.0,-680.0,485.0,KÃ¸benhavn,-50000.0,43573.0,58371.0,58566.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2015-12-31,2015-01-01,114005.0,309.0,-14798.0,Ingen bistand,-155000.0,urn:ofk:oid:21998757,indberetninger-20180424,2.5122786,35633871.0,,2018-03-28T20:38:18.191Z,2016-02-17T14:34:42.182Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AQ-48-US,2016-02-17T14:34:42.282Z,,,,,,,,,,,,,,,
35633871,2014-01-01,2014-12-31,c26,,http://regnskaber.virk.dk/17833653/ZG9rdW1lbnRsYWdlcjovLzAzLzUzL2RkLzM1LzM3Lzc4YjEtNGQ3My04MzcwLWFjZDdiYWYwZDYyMg.pdf,http://regnskaber.virk.dk/17833653/ZG9rdW1lbnRsYWdlcjovLzAzLzIyLzY1L2UzLzkwLzRiYmQtNGQ4Ny05MTMxLTFiMjNkZTA3MzRhNQ.xml,1.0,Haslev,4690.0,27.0,Jernbanegade,2300 KÃ¸benhavn S,"Sverrigsgade 2 A, 5. th.",2300 KÃ¸benhavn S,"Sverrigsgade 2 A, 5. th.",Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2016-02-01,2014-01-06,2016-02-13,,,,35633871.0,35633871.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2015 for Copenhagen Specs IVS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten LÃ¸kke Gammelmark,Morten LÃ¸kke Gammelmark,Nordea Bank,Copenhagen Specs IVS,Copenhagen Specs IVS,,,,,,KÃ¸benhavn,,43573.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2015-12-31,2015-01-01,114005.0,309.0,,Ingen bistand,-155000.0,urn:ofk:oid:21998757,indberetninger-20180424,2.5122786,35633871.0,,2018-03-28T20:38:18.191Z,2016-02-17T14:34:42.182Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AQ-48-US,2016-02-17T14:34:42.282Z,,,,,,,,,,,,,,,
35633871,2014-12-31,2014-12-31,c4,,http://regnskaber.virk.dk/17833653/ZG9rdW1lbnRsYWdlcjovLzAzLzUzL2RkLzM1LzM3Lzc4YjEtNGQ3My04MzcwLWFjZDdiYWYwZDYyMg.pdf,http://regnskaber.virk.dk/17833653/ZG9rdW1lbnRsYWdlcjovLzAzLzIyLzY1L2UzLzkwLzRiYmQtNGQ4Ny05MTMxLTFiMjNkZTA3MzRhNQ.xml,1.0,Haslev,4690.0,27.0,Jernbanegade,2300 KÃ¸benhavn S,"Sverrigsgade 2 A, 5. th.",2300 KÃ¸benhavn S,"Sverrigsgade 2 A, 5. th.",Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2016-02-01,2014-01-06,2016-02-13,,,,35633871.0,35633871.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2015 for Copenhagen Specs IVS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten LÃ¸kke Gammelmark,Morten LÃ¸kke Gammelmark,Nordea Bank,Copenhagen Specs IVS,Copenhagen Specs IVS,,,,,,KÃ¸benhavn,,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2015-12-31,2015-01-01,114005.0,309.0,,Ingen bistand,-155000.0,urn:ofk:oid:21998757,indberetninger-20180424,2.5122786,35633871.0,,2018-03-28T20:38:18.191Z,2016-02-17T14:34:42.182Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AQ-48-US,2016-02-17T14:34:42.282Z,708826.0,688626.0,1.0,708826.0,43574.0,708826.0,665252.0,54960.0,43573.0,580823.0,665252.0,13991.0,20200.0,15478.0,20200.0
35633871,2015-01-01,2015-01-01,c137,,http://regnskaber.virk.dk/17833653/ZG9rdW1lbnRsYWdlcjovLzAzLzUzL2RkLzM1LzM3Lzc4YjEtNGQ3My04MzcwLWFjZDdiYWYwZDYyMg.pdf,http://regnskaber.virk.dk/17833653/ZG9rdW1lbnRsYWdlcjovLzAzLzIyLzY1L2UzLzkwLzRiYmQtNGQ4Ny05MTMxLTFiMjNkZTA3MzRhNQ.xml,1.0,Haslev,4690.0,27.0,Jernbanegade,2300 KÃ¸benhavn S,"Sverrigsgade 2 A, 5. th.",2300 KÃ¸benhavn S,"Sverrigsgade 2 A, 5. th.",Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2016-02-01,2014-01-06,2016-02-13,,,,35633871.0,35633871.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2015 for Copenhagen Specs IVS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten LÃ¸kke Gammelmark,Morten LÃ¸kke Gammelmark,Nordea Bank,Copenhagen Specs IVS,Copenhagen Specs IVS,,,,,,KÃ¸benhavn,,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2015-12-31,2015-01-01,114005.0,309.0,,Ingen bistand,-155000.0,urn:ofk:oid:21998757,indberetninger-20180424,2.5122786,35633871.0,,2018-03-28T20:38:18.191Z,2016-02-17T14:34:42.182Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AQ-48-US,2016-02-17T14:34:42.282Z,,,,,1.0,,,,,,,,,,
35633871,2015-01-01,2015-01-01,c149,,http://regnskaber.virk.dk/17833653/ZG9rdW1lbnRsYWdlcjovLzAzLzUzL2RkLzM1LzM3Lzc4YjEtNGQ3My04MzcwLWFjZDdiYWYwZDYyMg.pdf,http://regnskaber.virk.dk/17833653/ZG9rdW1lbnRsYWdlcjovLzAzLzIyLzY1L2UzLzkwLzRiYmQtNGQ4Ny05MTMxLTFiMjNkZTA3MzRhNQ.xml,1.0,Haslev,4690.0,27.0,Jernbanegade,2300 KÃ¸benhavn S,"Sverrigsgade 2 A, 5. th.",2300 KÃ¸benhavn S,"Sverrigsgade 2 A, 5. th.",Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2016-02-01,2014-01-06,2016-02-13,,,,35633871.0,35633871.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2015 for Copenhagen Specs IVS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten LÃ¸kke Gammelmark,Morten LÃ¸kke Gammelmark,Nordea Bank,Copenhagen Specs IVS,Copenhagen Specs IVS,,,,,,KÃ¸benhavn,,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2015-12-31,2015-01-01,114005.0,309.0,,Ingen bistand,-155000.0,urn:ofk:oid:21998757,indberetninger-20180424,2.5122786,35633871.0,,2018-03-28T20:38:18.191Z,2016-02-17T14:34:42.182Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AQ-48-US,2016-02-17T14:34:42.282Z,,,,,43573.0,,,,,,,,,,
35633871,2015-01-01,2015-12-31,c0,,http://regnskaber.virk.dk/17833653/ZG9rdW1lbnRsYWdlcjovLzAzLzUzL2RkLzM1LzM3Lzc4YjEtNGQ3My04MzcwLWFjZDdiYWYwZDYyMg.pdf,http://regnskaber.virk.dk/17833653/ZG9rdW1lbnRsYWdlcjovLzAzLzIyLzY1L2UzLzkwLzRiYmQtNGQ4Ny05MTMxLTFiMjNkZTA3MzRhNQ.xml,1.0,Haslev,4690.0,27.0,Jernbanegade,2300 KÃ¸benhavn S,"Sverrigsgade 2 A, 5. th.",2300 KÃ¸benhavn S,"Sverrigsgade 2 A, 5. th.",Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,-40068.0,2016-02-01,2014-01-06,2016-02-13,-9536.0,-223354.0,394483.0,35633871.0,35633871.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2015 for Copenhagen Specs IVS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten LÃ¸kke Gammelmark,Morten LÃ¸kke Gammelmark,Nordea Bank,Copenhagen Specs IVS,Copenhagen Specs IVS,-15934.0,-1562.0,468.0,-1562.0,468.0,KÃ¸benhavn,-52420.0,120431.0,160499.0,161593.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2015-12-31,2015-01-01,114005.0,309.0,-40068.0,Ingen bistand,-155000.0,urn:ofk:oid:21998757,indberetninger-20180424,2.5122786,35633871.0,,2018-03-28T20:38:18.191Z,2016-02-17T14:34:42.182Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AQ-48-US,2016-02-17T14:34:42.282Z,,,,,,,,,,,,,,,
35633871,2015-01-01,2015-12-31,c150,,http://regnskaber.virk.dk/17833653/ZG9rdW1lbnRsYWdlcjovLzAzLzUzL2RkLzM1LzM3Lzc4YjEtNGQ3My04MzcwLWFjZDdiYWYwZDYyMg.pdf,http://regnskaber.virk.dk/17833653/ZG9rdW1lbnRsYWdlcjovLzAzLzIyLzY1L2UzLzkwLzRiYmQtNGQ4Ny05MTMxLTFiMjNkZTA3MzRhNQ.xml,1.0,Haslev,4690.0,27.0,Jernbanegade,2300 KÃ¸benhavn S,"Sverrigsgade 2 A, 5. th.",2300 KÃ¸benhavn S,"Sverrigsgade 2 A, 5. th.",Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2016-02-01,2014-01-06,2016-02-13,,,,35633871.0,35633871.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2015 for Copenhagen Specs IVS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten LÃ¸kke Gammelmark,Morten LÃ¸kke Gammelmark,Nordea Bank,Copenhagen Specs IVS,Copenhagen Specs IVS,,,,,,KÃ¸benhavn,,6426.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2015-12-31,2015-01-01,114005.0,309.0,,Ingen bistand,-155000.0,urn:ofk:oid:21998757,indberetninger-20180424,2.5122786,35633871.0,,2018-03-28T20:38:18.191Z,2016-02-17T14:34:42.182Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AQ-48-US,2016-02-17T14:34:42.282Z,,,,,,,,,,,,,,,
35633871,2015-01-01,2015-12-31,c159,,http://regnskaber.virk.dk/17833653/ZG9rdW1lbnRsYWdlcjovLzAzLzUzL2RkLzM1LzM3Lzc4YjEtNGQ3My04MzcwLWFjZDdiYWYwZDYyMg.pdf,http://regnskaber.virk.dk/17833653/ZG9rdW1lbnRsYWdlcjovLzAzLzIyLzY1L2UzLzkwLzRiYmQtNGQ4Ny05MTMxLTFiMjNkZTA3MzRhNQ.xml,1.0,Haslev,4690.0,27.0,Jernbanegade,2300 KÃ¸benhavn S,"Sverrigsgade 2 A, 5. th.",2300 KÃ¸benhavn S,"Sverrigsgade 2 A, 5. th.",Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2016-02-01,2014-01-06,2016-02-13,,,,35633871.0,35633871.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2015 for Copenhagen Specs IVS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten LÃ¸kke Gammelmark,Morten LÃ¸kke Gammelmark,Nordea Bank,Copenhagen Specs IVS,Copenhagen Specs IVS,,,,,,KÃ¸benhavn,,114005.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2015-12-31,2015-01-01,114005.0,309.0,,Ingen bistand,-155000.0,urn:ofk:oid:21998757,indberetninger-20180424,2.5122786,35633871.0,,2018-03-28T20:38:18.191Z,2016-02-17T14:34:42.182Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AQ-48-US,2016-02-17T14:34:42.282Z,,,,,,,,,,,,,,,
35633871,2015-01-01,2015-12-31,c199,,http://regnskaber.virk.dk/17833653/ZG9rdW1lbnRsYWdlcjovLzAzLzUzL2RkLzM1LzM3Lzc4YjEtNGQ3My04MzcwLWFjZDdiYWYwZDYyMg.pdf,http://regnskaber.virk.dk/17833653/ZG9rdW1lbnRsYWdlcjovLzAzLzIyLzY1L2UzLzkwLzRiYmQtNGQ4Ny05MTMxLTFiMjNkZTA3MzRhNQ.xml,1.0,Haslev,4690.0,27.0,Jernbanegade,2300 KÃ¸benhavn S,"Sverrigsgade 2 A, 5. th.",2300 KÃ¸benhavn S,"Sverrigsgade 2 A, 5. th.",Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2016-02-01,2014-01-06,2016-02-13,,,,35633871.0,35633871.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2015 for Copenhagen Specs IVS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten LÃ¸kke Gammelmark,Morten LÃ¸kke Gammelmark,Nordea Bank,Copenhagen Specs IVS,Copenhagen Specs IVS,,,,,,KÃ¸benhavn,,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2015-12-31,2015-01-01,114005.0,309.0,,Ingen bistand,-155000.0,urn:ofk:oid:21998757,indberetninger-20180424,2.5122786,35633871.0,,2018-03-28T20:38:18.191Z,2016-02-17T14:34:42.182Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AQ-48-US,2016-02-17T14:34:42.282Z,,,,,,,,,,,,,,,
35633871,2015-01-01,2015-12-31,c25,,http://regnskaber.virk.dk/17833653/ZG9rdW1lbnRsYWdlcjovLzAzLzUzL2RkLzM1LzM3Lzc4YjEtNGQ3My04MzcwLWFjZDdiYWYwZDYyMg.pdf,http://regnskaber.virk.dk/17833653/ZG9rdW1lbnRsYWdlcjovLzAzLzIyLzY1L2UzLzkwLzRiYmQtNGQ4Ny05MTMxLTFiMjNkZTA3MzRhNQ.xml,1.0,Haslev,4690.0,27.0,Jernbanegade,2300 KÃ¸benhavn S,"Sverrigsgade 2 A, 5. th.",2300 KÃ¸benhavn S,"Sverrigsgade 2 A, 5. th.",Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2015 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2015.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2016-02-01,2014-01-06,2016-02-13,,,,35633871.0,35633871.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2015 for Copenhagen Specs IVS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Morten LÃ¸kke Gammelmark,Morten LÃ¸kke Gammelmark,Nordea Bank,Copenhagen Specs IVS,Copenhagen Specs IVS,,,,,,KÃ¸benhavn,,6426.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2015-12-31,2015-01-01,114005.0,309.0,,Ingen bistand,-155000.0,urn:ofk:oid:21998757,indberetninger-20180424,2.5122786,35633871.0,,2018-03-28T20:38:18.191Z,2016-02-17T14:34:42.182Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AQ-48-US,2016-02-17T14:34:42.282Z,,,,,,,,,,,,,,,
