entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,CostOfSales,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GrossResult,IdentificationNumberCvrOfReportingEntity,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherExternalExpenses,OtherFinanceExpenses,OtherFinanceIncome,OtherOperatingExpenses,PlaceOfSignatureOfStatement,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,Revenue,TaxExpenseOnOrdinaryActivities,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,FixturesFittingsToolsAndEquipment,Inventories,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,ManufacturedGoodsAndGoodsForResale,NoncurrentAssets,OtherShorttermPayables,PropertyPlantAndEquipment,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTradePayables,ShorttermTradeReceivables,NameAndSurnameOfMemberOfSupervisoryBoard,TitleOfMemberOfSupervisoryBoard,NameAndSurnameOfMemberOfExecutiveBoard
21729574,2012-07-01,2013-06-30,ID_11,http://regnskaber.virk.dk/47592712/Y3ZyLmRrOi8vcGRmcy8yMTcyOTU3NDtBL1MyNTY0NTg7MjAxMzA3MDE7MjAxNDA2MzA7UjtS.pdf,http://regnskaber.virk.dk/47592712/Y3ZyLmRrOi8veGJybHMvWC1DNEQyRjUzRi0yMDE0MTIwNV8xNjUxNDNfMjkw.xml,"2640, Hedehusene",Magnoliavej 2,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30-06-2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-07-2013 - 30-06-2014.",2438116.0,2014-12-05,174407.0,2230562.0,2799608.0,21729574.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-07-2013 - 30-06-2014 for TR Autolakering A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Torben Rasmussen,TR Autolakering A/S,HenDel BogfÃ¸ring,40277.0,76792.0,1103.0,1290450.0,"Hedehusene, den 05-12-2014",-729437.0,-971500.0,-895811.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"HÃ¸je-Taastrup, 169",2014-06-30,2013-07-01,5278001.0,-242063.0,DirektÃ¸r,Ingen bistand,urn:ofk:oid:20458363,indberetninger-20180424,2.5122845000000003,21729574.0,,2018-04-01T03:36:41.693Z,2014-12-05T23:00:00.000Z,regnskab,0.0,,2014-06-30,2013-07-01,14-286.039,2014-12-05T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,
21729574,2013-06-30,2013-06-30,ID_13,http://regnskaber.virk.dk/47592712/Y3ZyLmRrOi8vcGRmcy8yMTcyOTU3NDtBL1MyNTY0NTg7MjAxMzA3MDE7MjAxNDA2MzA7UjtS.pdf,http://regnskaber.virk.dk/47592712/Y3ZyLmRrOi8veGJybHMvWC1DNEQyRjUzRi0yMDE0MTIwNV8xNjUxNDNfMjkw.xml,"2640, Hedehusene",Magnoliavej 2,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30-06-2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-07-2013 - 30-06-2014.",,2014-12-05,,,,21729574.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-07-2013 - 30-06-2014 for TR Autolakering A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Torben Rasmussen,TR Autolakering A/S,HenDel BogfÃ¸ring,,,,,"Hedehusene, den 05-12-2014",,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"HÃ¸je-Taastrup, 169",2014-06-30,2013-07-01,,,DirektÃ¸r,Ingen bistand,urn:ofk:oid:20458363,indberetninger-20180424,2.5122845000000003,21729574.0,,2018-04-01T03:36:41.693Z,2014-12-05T23:00:00.000Z,regnskab,0.0,,2014-06-30,2013-07-01,14-286.039,2014-12-05T23:00:00.000Z,4440237.0,2441811.0,1465879.0,3605823.0,736442.0,834414.0,61950.0,4440237.0,3703795.0,61950.0,834414.0,525882.0,834414.0,-729437.0,3703795.0,1102062.0,3177913.0,1102062.0,,,
21729574,2013-07-01,2014-06-30,ID_0,http://regnskaber.virk.dk/47592712/Y3ZyLmRrOi8vcGRmcy8yMTcyOTU3NDtBL1MyNTY0NTg7MjAxMzA3MDE7MjAxNDA2MzA7UjtS.pdf,http://regnskaber.virk.dk/47592712/Y3ZyLmRrOi8veGJybHMvWC1DNEQyRjUzRi0yMDE0MTIwNV8xNjUxNDNfMjkw.xml,"2640, Hedehusene",Magnoliavej 2,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30-06-2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-07-2013 - 30-06-2014.",,2014-12-05,,,,21729574.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-07-2013 - 30-06-2014 for TR Autolakering A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Torben Rasmussen,TR Autolakering A/S,HenDel BogfÃ¸ring,,,,,"Hedehusene, den 05-12-2014",,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"HÃ¸je-Taastrup, 169",2014-06-30,2013-07-01,,,DirektÃ¸r,Ingen bistand,urn:ofk:oid:20458363,indberetninger-20180424,2.5122845000000003,21729574.0,,2018-04-01T03:36:41.693Z,2014-12-05T23:00:00.000Z,regnskab,0.0,,2014-06-30,2013-07-01,14-286.039,2014-12-05T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,
21729574,2013-07-01,2014-06-30,ID_1,http://regnskaber.virk.dk/47592712/Y3ZyLmRrOi8vcGRmcy8yMTcyOTU3NDtBL1MyNTY0NTg7MjAxMzA3MDE7MjAxNDA2MzA7UjtS.pdf,http://regnskaber.virk.dk/47592712/Y3ZyLmRrOi8veGJybHMvWC1DNEQyRjUzRi0yMDE0MTIwNV8xNjUxNDNfMjkw.xml,"2640, Hedehusene",Magnoliavej 2,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30-06-2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-07-2013 - 30-06-2014.",,2014-12-05,,,,21729574.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-07-2013 - 30-06-2014 for TR Autolakering A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Torben Rasmussen,TR Autolakering A/S,HenDel BogfÃ¸ring,,,,,"Hedehusene, den 05-12-2014",,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"HÃ¸je-Taastrup, 169",2014-06-30,2013-07-01,,,DirektÃ¸r,Ingen bistand,urn:ofk:oid:20458363,indberetninger-20180424,2.5122845000000003,21729574.0,,2018-04-01T03:36:41.693Z,2014-12-05T23:00:00.000Z,regnskab,0.0,,2014-06-30,2013-07-01,14-286.039,2014-12-05T23:00:00.000Z,,,,,,,,,,,,,,,,,,,Britta Rasmussen,Bestyrelsesformand,
21729574,2013-07-01,2014-06-30,ID_10,http://regnskaber.virk.dk/47592712/Y3ZyLmRrOi8vcGRmcy8yMTcyOTU3NDtBL1MyNTY0NTg7MjAxMzA3MDE7MjAxNDA2MzA7UjtS.pdf,http://regnskaber.virk.dk/47592712/Y3ZyLmRrOi8veGJybHMvWC1DNEQyRjUzRi0yMDE0MTIwNV8xNjUxNDNfMjkw.xml,"2640, Hedehusene",Magnoliavej 2,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30-06-2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-07-2013 - 30-06-2014.",2076665.0,2014-12-05,187609.0,1955672.0,2188090.0,21729574.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-07-2013 - 30-06-2014 for TR Autolakering A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Torben Rasmussen,TR Autolakering A/S,HenDel BogfÃ¸ring,4147.0,76177.0,5477.0,1188221.0,"Hedehusene, den 05-12-2014",-1061808.0,-1214112.0,-1143412.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"HÃ¸je-Taastrup, 169",2014-06-30,2013-07-01,4268902.0,-152304.0,DirektÃ¸r,Ingen bistand,urn:ofk:oid:20458363,indberetninger-20180424,2.5122845000000003,21729574.0,,2018-04-01T03:36:41.693Z,2014-12-05T23:00:00.000Z,regnskab,0.0,,2014-06-30,2013-07-01,14-286.039,2014-12-05T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,
21729574,2013-07-01,2014-06-30,ID_14,http://regnskaber.virk.dk/47592712/Y3ZyLmRrOi8vcGRmcy8yMTcyOTU3NDtBL1MyNTY0NTg7MjAxMzA3MDE7MjAxNDA2MzA7UjtS.pdf,http://regnskaber.virk.dk/47592712/Y3ZyLmRrOi8veGJybHMvWC1DNEQyRjUzRi0yMDE0MTIwNV8xNjUxNDNfMjkw.xml,"2640, Hedehusene",Magnoliavej 2,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30-06-2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-07-2013 - 30-06-2014.",,2014-12-05,,,,21729574.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-07-2013 - 30-06-2014 for TR Autolakering A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Torben Rasmussen,TR Autolakering A/S,HenDel BogfÃ¸ring,,,,,"Hedehusene, den 05-12-2014",,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"HÃ¸je-Taastrup, 169",2014-06-30,2013-07-01,,,DirektÃ¸r,Ingen bistand,urn:ofk:oid:20458363,indberetninger-20180424,2.5122845000000003,21729574.0,,2018-04-01T03:36:41.693Z,2014-12-05T23:00:00.000Z,regnskab,0.0,,2014-06-30,2013-07-01,14-286.039,2014-12-05T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,
21729574,2013-07-01,2014-06-30,ID_15,http://regnskaber.virk.dk/47592712/Y3ZyLmRrOi8vcGRmcy8yMTcyOTU3NDtBL1MyNTY0NTg7MjAxMzA3MDE7MjAxNDA2MzA7UjtS.pdf,http://regnskaber.virk.dk/47592712/Y3ZyLmRrOi8veGJybHMvWC1DNEQyRjUzRi0yMDE0MTIwNV8xNjUxNDNfMjkw.xml,"2640, Hedehusene",Magnoliavej 2,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30-06-2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-07-2013 - 30-06-2014.",,2014-12-05,,,,21729574.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-07-2013 - 30-06-2014 for TR Autolakering A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Torben Rasmussen,TR Autolakering A/S,HenDel BogfÃ¸ring,,,,,"Hedehusene, den 05-12-2014",,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"HÃ¸je-Taastrup, 169",2014-06-30,2013-07-01,,,DirektÃ¸r,Ingen bistand,urn:ofk:oid:20458363,indberetninger-20180424,2.5122845000000003,21729574.0,,2018-04-01T03:36:41.693Z,2014-12-05T23:00:00.000Z,regnskab,0.0,,2014-06-30,2013-07-01,14-286.039,2014-12-05T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,
21729574,2013-07-01,2014-06-30,ID_16,http://regnskaber.virk.dk/47592712/Y3ZyLmRrOi8vcGRmcy8yMTcyOTU3NDtBL1MyNTY0NTg7MjAxMzA3MDE7MjAxNDA2MzA7UjtS.pdf,http://regnskaber.virk.dk/47592712/Y3ZyLmRrOi8veGJybHMvWC1DNEQyRjUzRi0yMDE0MTIwNV8xNjUxNDNfMjkw.xml,"2640, Hedehusene",Magnoliavej 2,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30-06-2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-07-2013 - 30-06-2014.",,2014-12-05,,,,21729574.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-07-2013 - 30-06-2014 for TR Autolakering A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Torben Rasmussen,TR Autolakering A/S,HenDel BogfÃ¸ring,,,,,"Hedehusene, den 05-12-2014",,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"HÃ¸je-Taastrup, 169",2014-06-30,2013-07-01,,,DirektÃ¸r,Ingen bistand,urn:ofk:oid:20458363,indberetninger-20180424,2.5122845000000003,21729574.0,,2018-04-01T03:36:41.693Z,2014-12-05T23:00:00.000Z,regnskab,0.0,,2014-06-30,2013-07-01,14-286.039,2014-12-05T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,
21729574,2013-07-01,2014-06-30,ID_17,http://regnskaber.virk.dk/47592712/Y3ZyLmRrOi8vcGRmcy8yMTcyOTU3NDtBL1MyNTY0NTg7MjAxMzA3MDE7MjAxNDA2MzA7UjtS.pdf,http://regnskaber.virk.dk/47592712/Y3ZyLmRrOi8veGJybHMvWC1DNEQyRjUzRi0yMDE0MTIwNV8xNjUxNDNfMjkw.xml,"2640, Hedehusene",Magnoliavej 2,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30-06-2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-07-2013 - 30-06-2014.",,2014-12-05,,,,21729574.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-07-2013 - 30-06-2014 for TR Autolakering A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Torben Rasmussen,TR Autolakering A/S,HenDel BogfÃ¸ring,,,,,"Hedehusene, den 05-12-2014",,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"HÃ¸je-Taastrup, 169",2014-06-30,2013-07-01,,,DirektÃ¸r,Ingen bistand,urn:ofk:oid:20458363,indberetninger-20180424,2.5122845000000003,21729574.0,,2018-04-01T03:36:41.693Z,2014-12-05T23:00:00.000Z,regnskab,0.0,,2014-06-30,2013-07-01,14-286.039,2014-12-05T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,
21729574,2013-07-01,2014-06-30,ID_18,http://regnskaber.virk.dk/47592712/Y3ZyLmRrOi8vcGRmcy8yMTcyOTU3NDtBL1MyNTY0NTg7MjAxMzA3MDE7MjAxNDA2MzA7UjtS.pdf,http://regnskaber.virk.dk/47592712/Y3ZyLmRrOi8veGJybHMvWC1DNEQyRjUzRi0yMDE0MTIwNV8xNjUxNDNfMjkw.xml,"2640, Hedehusene",Magnoliavej 2,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30-06-2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-07-2013 - 30-06-2014.",,2014-12-05,,,,21729574.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-07-2013 - 30-06-2014 for TR Autolakering A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Torben Rasmussen,TR Autolakering A/S,HenDel BogfÃ¸ring,,,,,"Hedehusene, den 05-12-2014",,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"HÃ¸je-Taastrup, 169",2014-06-30,2013-07-01,,,DirektÃ¸r,Ingen bistand,urn:ofk:oid:20458363,indberetninger-20180424,2.5122845000000003,21729574.0,,2018-04-01T03:36:41.693Z,2014-12-05T23:00:00.000Z,regnskab,0.0,,2014-06-30,2013-07-01,14-286.039,2014-12-05T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,
