entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,AverageNumberOfEmployees,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfGeneralMeeting,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,RecommendationForApprovalOfAnnualReportByGeneralMeeting,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,GrossProfitLoss,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,OtherFinanceExpenses,OtherFinanceIncome,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,LongtermLiabilitiesOtherThanProvisions,LongtermPayablesToGroupEnterprises,LongtermPayablesToShareholdersAndManagement,NoncurrentAssets,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxReceivables,ShorttermTradePayables,NameAndSurnameOfMemberOfExecutiveBoard,NameAndSurnameOfMemberOfSupervisoryBoard,TitleOfMemberOfSupervisoryBoard
31633656,2017-01-01,2017-12-31,ID_12,,http://regnskaber.virk.dk/65633613/ZG9rdW1lbnRsYWdlcjovLzAzLzhlLzZjLzFlLzI3LzU1YzgtNGE1Yi1iYWNjLTM5ZDk0NTQ2MGI2MA.pdf,http://regnskaber.virk.dk/65633613/ZG9rdW1lbnRsYWdlcjovLzAzLzc0LzdkLzNjLzY3L2U1OWYtNDdhNC05YTQyLWY5MjM0M2YzNjg4Ng.xml,true,"8355, Solbjerg",Solbjerg Hovedgade 24,Til kapitalejerne i I01 A/S,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",2019-05-31,2019-05-31,2019-05-31,28312393.0,31633656.0,28312393.0,mne1236,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for I01 A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",John  Schantz,SÃ¸ren Rysgaard Madsen,Revisionsfirmaet John Schantz,Vestjysk Bank,I01 A/S,"Revisionsfirmaet John Schantz, registreret revisionsaktieselskab",Aarhus,2017-01-01,2017-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,2019-05-31,Solbjerg,Bestyrelsesmedlem/DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:27416918,indberetninger-20180424,2.5118406,31633656.0,AWsn1AC3RYGX6_YTIdeg,2019-06-05T13:29:38.058Z,2019-06-05T13:28:52.902Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BK-75-FU,2019-06-05T13:28:53.250Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31633656,2017-01-01,2017-12-31,ID_13,,http://regnskaber.virk.dk/65633613/ZG9rdW1lbnRsYWdlcjovLzAzLzhlLzZjLzFlLzI3LzU1YzgtNGE1Yi1iYWNjLTM5ZDk0NTQ2MGI2MA.pdf,http://regnskaber.virk.dk/65633613/ZG9rdW1lbnRsYWdlcjovLzAzLzc0LzdkLzNjLzY3L2U1OWYtNDdhNC05YTQyLWY5MjM0M2YzNjg4Ng.xml,true,"8355, Solbjerg",Solbjerg Hovedgade 24,Til kapitalejerne i I01 A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",2019-05-31,2019-05-31,2019-05-31,28312393.0,31633656.0,28312393.0,mne1236,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for I01 A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",John  Schantz,SÃ¸ren Rysgaard Madsen,Revisionsfirmaet John Schantz,Vestjysk Bank,I01 A/S,"Revisionsfirmaet John Schantz, registreret revisionsaktieselskab",Aarhus,2017-01-01,2017-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,2019-05-31,Solbjerg,Bestyrelsesmedlem/DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:27416918,indberetninger-20180424,2.5118406,31633656.0,AWsn1AC3RYGX6_YTIdeg,2019-06-05T13:29:38.058Z,2019-06-05T13:28:52.902Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BK-75-FU,2019-06-05T13:28:53.250Z,-9188.0,90899.0,5081.0,43168.0,119798.0,119798.0,-9188.0,,,,,,,,,,,,,,,,,,,,,,
31633656,2017-01-01,2017-12-31,ID_15,,http://regnskaber.virk.dk/65633613/ZG9rdW1lbnRsYWdlcjovLzAzLzhlLzZjLzFlLzI3LzU1YzgtNGE1Yi1iYWNjLTM5ZDk0NTQ2MGI2MA.pdf,http://regnskaber.virk.dk/65633613/ZG9rdW1lbnRsYWdlcjovLzAzLzc0LzdkLzNjLzY3L2U1OWYtNDdhNC05YTQyLWY5MjM0M2YzNjg4Ng.xml,true,"8355, Solbjerg",Solbjerg Hovedgade 24,Til kapitalejerne i I01 A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",2019-05-31,2019-05-31,2019-05-31,28312393.0,31633656.0,28312393.0,mne1236,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for I01 A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",John  Schantz,SÃ¸ren Rysgaard Madsen,Revisionsfirmaet John Schantz,Vestjysk Bank,I01 A/S,"Revisionsfirmaet John Schantz, registreret revisionsaktieselskab",Aarhus,2017-01-01,2017-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,2019-05-31,Solbjerg,Bestyrelsesmedlem/DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:27416918,indberetninger-20180424,2.5118406,31633656.0,AWsn1AC3RYGX6_YTIdeg,2019-06-05T13:29:38.058Z,2019-06-05T13:28:52.902Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BK-75-FU,2019-06-05T13:28:53.250Z,,,,,90899.0,,,,,,,,,,,,,,,,,,,,,,,,
31633656,2017-01-01,2017-12-31,ID_17,,http://regnskaber.virk.dk/65633613/ZG9rdW1lbnRsYWdlcjovLzAzLzhlLzZjLzFlLzI3LzU1YzgtNGE1Yi1iYWNjLTM5ZDk0NTQ2MGI2MA.pdf,http://regnskaber.virk.dk/65633613/ZG9rdW1lbnRsYWdlcjovLzAzLzc0LzdkLzNjLzY3L2U1OWYtNDdhNC05YTQyLWY5MjM0M2YzNjg4Ng.xml,true,"8355, Solbjerg",Solbjerg Hovedgade 24,Til kapitalejerne i I01 A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",2019-05-31,2019-05-31,2019-05-31,28312393.0,31633656.0,28312393.0,mne1236,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for I01 A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",John  Schantz,SÃ¸ren Rysgaard Madsen,Revisionsfirmaet John Schantz,Vestjysk Bank,I01 A/S,"Revisionsfirmaet John Schantz, registreret revisionsaktieselskab",Aarhus,2017-01-01,2017-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,2019-05-31,Solbjerg,Bestyrelsesmedlem/DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:27416918,indberetninger-20180424,2.5118406,31633656.0,AWsn1AC3RYGX6_YTIdeg,2019-06-05T13:29:38.058Z,2019-06-05T13:28:52.902Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BK-75-FU,2019-06-05T13:28:53.250Z,,,,,28899.0,,,,,,,,,,,,,,,,,,,,,,,,
31633656,2017-12-31,2017-12-31,ID_10,,http://regnskaber.virk.dk/65633613/ZG9rdW1lbnRsYWdlcjovLzAzLzhlLzZjLzFlLzI3LzU1YzgtNGE1Yi1iYWNjLTM5ZDk0NTQ2MGI2MA.pdf,http://regnskaber.virk.dk/65633613/ZG9rdW1lbnRsYWdlcjovLzAzLzc0LzdkLzNjLzY3L2U1OWYtNDdhNC05YTQyLWY5MjM0M2YzNjg4Ng.xml,true,"8355, Solbjerg",Solbjerg Hovedgade 24,Til kapitalejerne i I01 A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",2019-05-31,2019-05-31,2019-05-31,28312393.0,31633656.0,28312393.0,mne1236,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for I01 A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",John  Schantz,SÃ¸ren Rysgaard Madsen,Revisionsfirmaet John Schantz,Vestjysk Bank,I01 A/S,"Revisionsfirmaet John Schantz, registreret revisionsaktieselskab",Aarhus,2017-01-01,2017-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,2019-05-31,Solbjerg,Bestyrelsesmedlem/DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:27416918,indberetninger-20180424,2.5118406,31633656.0,AWsn1AC3RYGX6_YTIdeg,2019-06-05T13:29:38.058Z,2019-06-05T13:28:52.902Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BK-75-FU,2019-06-05T13:28:53.250Z,,,,,,,,130546.0,37647.0,504000.0,39647.0,-9066.0,130546.0,139612.0,90899.0,90899.0,130424.0,63059.0,67365.0,90899.0,90899.0,-603965.0,9188.0,2000.0,2000.0,9188.0,,,
31633656,2018-01-01,2018-12-31,ID_0,,http://regnskaber.virk.dk/65633613/ZG9rdW1lbnRsYWdlcjovLzAzLzhlLzZjLzFlLzI3LzU1YzgtNGE1Yi1iYWNjLTM5ZDk0NTQ2MGI2MA.pdf,http://regnskaber.virk.dk/65633613/ZG9rdW1lbnRsYWdlcjovLzAzLzc0LzdkLzNjLzY3L2U1OWYtNDdhNC05YTQyLWY5MjM0M2YzNjg4Ng.xml,true,"8355, Solbjerg",Solbjerg Hovedgade 24,Til kapitalejerne i I01 A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",2019-05-31,2019-05-31,2019-05-31,28312393.0,31633656.0,28312393.0,mne1236,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for I01 A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",John  Schantz,SÃ¸ren Rysgaard Madsen,Revisionsfirmaet John Schantz,Vestjysk Bank,I01 A/S,"Revisionsfirmaet John Schantz, registreret revisionsaktieselskab",Aarhus,2017-01-01,2017-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,2019-05-31,Solbjerg,Bestyrelsesmedlem/DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:27416918,indberetninger-20180424,2.5118406,31633656.0,AWsn1AC3RYGX6_YTIdeg,2019-06-05T13:29:38.058Z,2019-06-05T13:28:52.902Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BK-75-FU,2019-06-05T13:28:53.250Z,-16318.0,334780.0,6391.0,0.0,312071.0,312071.0,-16318.0,,,,,,,,,,,,,,,,,,,,,,
31633656,2018-01-01,2018-12-31,ID_1,,http://regnskaber.virk.dk/65633613/ZG9rdW1lbnRsYWdlcjovLzAzLzhlLzZjLzFlLzI3LzU1YzgtNGE1Yi1iYWNjLTM5ZDk0NTQ2MGI2MA.pdf,http://regnskaber.virk.dk/65633613/ZG9rdW1lbnRsYWdlcjovLzAzLzc0LzdkLzNjLzY3L2U1OWYtNDdhNC05YTQyLWY5MjM0M2YzNjg4Ng.xml,true,"8355, Solbjerg",Solbjerg Hovedgade 24,Til kapitalejerne i I01 A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",2019-05-31,2019-05-31,2019-05-31,28312393.0,31633656.0,28312393.0,mne1236,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for I01 A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",John  Schantz,SÃ¸ren Rysgaard Madsen,Revisionsfirmaet John Schantz,Vestjysk Bank,I01 A/S,"Revisionsfirmaet John Schantz, registreret revisionsaktieselskab",Aarhus,2017-01-01,2017-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,2019-05-31,Solbjerg,Bestyrelsesmedlem/DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:27416918,indberetninger-20180424,2.5118406,31633656.0,AWsn1AC3RYGX6_YTIdeg,2019-06-05T13:29:38.058Z,2019-06-05T13:28:52.902Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BK-75-FU,2019-06-05T13:28:53.250Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31633656,2018-01-01,2018-12-31,ID_11,,http://regnskaber.virk.dk/65633613/ZG9rdW1lbnRsYWdlcjovLzAzLzhlLzZjLzFlLzI3LzU1YzgtNGE1Yi1iYWNjLTM5ZDk0NTQ2MGI2MA.pdf,http://regnskaber.virk.dk/65633613/ZG9rdW1lbnRsYWdlcjovLzAzLzc0LzdkLzNjLzY3L2U1OWYtNDdhNC05YTQyLWY5MjM0M2YzNjg4Ng.xml,true,"8355, Solbjerg",Solbjerg Hovedgade 24,Til kapitalejerne i I01 A/S,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",2019-05-31,2019-05-31,2019-05-31,28312393.0,31633656.0,28312393.0,mne1236,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for I01 A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",John  Schantz,SÃ¸ren Rysgaard Madsen,Revisionsfirmaet John Schantz,Vestjysk Bank,I01 A/S,"Revisionsfirmaet John Schantz, registreret revisionsaktieselskab",Aarhus,2017-01-01,2017-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,2019-05-31,Solbjerg,Bestyrelsesmedlem/DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:27416918,indberetninger-20180424,2.5118406,31633656.0,AWsn1AC3RYGX6_YTIdeg,2019-06-05T13:29:38.058Z,2019-06-05T13:28:52.902Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BK-75-FU,2019-06-05T13:28:53.250Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31633656,2018-01-01,2018-12-31,ID_14,,http://regnskaber.virk.dk/65633613/ZG9rdW1lbnRsYWdlcjovLzAzLzhlLzZjLzFlLzI3LzU1YzgtNGE1Yi1iYWNjLTM5ZDk0NTQ2MGI2MA.pdf,http://regnskaber.virk.dk/65633613/ZG9rdW1lbnRsYWdlcjovLzAzLzc0LzdkLzNjLzY3L2U1OWYtNDdhNC05YTQyLWY5MjM0M2YzNjg4Ng.xml,true,"8355, Solbjerg",Solbjerg Hovedgade 24,Til kapitalejerne i I01 A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",2019-05-31,2019-05-31,2019-05-31,28312393.0,31633656.0,28312393.0,mne1236,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for I01 A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",John  Schantz,SÃ¸ren Rysgaard Madsen,Revisionsfirmaet John Schantz,Vestjysk Bank,I01 A/S,"Revisionsfirmaet John Schantz, registreret revisionsaktieselskab",Aarhus,2017-01-01,2017-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,2019-05-31,Solbjerg,Bestyrelsesmedlem/DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:27416918,indberetninger-20180424,2.5118406,31633656.0,AWsn1AC3RYGX6_YTIdeg,2019-06-05T13:29:38.058Z,2019-06-05T13:28:52.902Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BK-75-FU,2019-06-05T13:28:53.250Z,,,,,-90899.0,,,,,,,,,,,,,,,,,,,,,,,,
31633656,2018-01-01,2018-12-31,ID_16,,http://regnskaber.virk.dk/65633613/ZG9rdW1lbnRsYWdlcjovLzAzLzhlLzZjLzFlLzI3LzU1YzgtNGE1Yi1iYWNjLTM5ZDk0NTQ2MGI2MA.pdf,http://regnskaber.virk.dk/65633613/ZG9rdW1lbnRsYWdlcjovLzAzLzc0LzdkLzNjLzY3L2U1OWYtNDdhNC05YTQyLWY5MjM0M2YzNjg4Ng.xml,true,"8355, Solbjerg",Solbjerg Hovedgade 24,Til kapitalejerne i I01 A/S,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",2019-05-31,2019-05-31,2019-05-31,28312393.0,31633656.0,28312393.0,mne1236,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for I01 A/S.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",John  Schantz,SÃ¸ren Rysgaard Madsen,Revisionsfirmaet John Schantz,Vestjysk Bank,I01 A/S,"Revisionsfirmaet John Schantz, registreret revisionsaktieselskab",Aarhus,2017-01-01,2017-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,2019-05-31,Solbjerg,Bestyrelsesmedlem/DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:27416918,indberetninger-20180424,2.5118406,31633656.0,AWsn1AC3RYGX6_YTIdeg,2019-06-05T13:29:38.058Z,2019-06-05T13:28:52.902Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BK-75-FU,2019-06-05T13:28:53.250Z,,,,,402970.0,,,,,,,,,,,,,,,,,,,,,,,,
