entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,Equity,HomepageOfReportingEntity,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,ProfitLossRelatedToInvestments,RegisteredOfficeOfReportingEntity,RelatedEntityLegalForm,RelatedEntityName,RelatedEntityRegisteredOffice,ReportingPeriodEndDate,ReportingPeriodStartDate,ShareHeldByEntityOrConsolidatedEnterprisesInRelatedEntity,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TitleOfMemberOfExecutiveBoard,TitleOfMemberOfSupervisoryBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss,IncreaseDecreaseOfInvestmentsThroughNetExchangeDifferencesEquity,AdjustmentsForCurrentTaxOfPriorPeriod,AdjustmentsForDeferredTax,AmortisationOfIntangibleAssets,AverageNumberOfEmployees,CurrentTaxExpense,DebtReliefOrSimilarFinanceIncome,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DepreciationOfPropertyPlantAndEquipment,EmployeeBenefitsExpense,IncomeFromInvestmentsInGroupEnterprises,InterestExpenseAssignedToGroupEnterprises,InterestIncomeFromGroupEnterprises,OtherAdjustmentsOfFinanceExpenses,OtherAdjustmentsOfFinanceIncome,OtherEmployeeExpense,OtherFinanceExpenses,OtherFinanceIncome,PostemploymentBenefitExpense,ProfitLossFromOrdinaryActivitiesBeforeTax,Revenue,SocialSecurityContributions,TaxExpenseOnOrdinaryActivities,WagesAndSalaries,NominalValueOfIssuedShares,Assets,CashAndCashEquivalents,CompletedDevelopmentProjects,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,DeferredIncomeAssets,DevelopmentProjectsInProgress,FixturesFittingsToolsAndEquipment,IntangibleAssets,LeaseholdImprovements,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,OtherLongtermReceivables,OtherShorttermPayables,OtherShorttermReceivables,PlantAndMachinery,PropertyPlantAndEquipment,Provisions,ProvisionsForInvestmentsInGroupEnterprises,RetainedEarnings,SharePremium,ShorttermDeferredIncome,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTradePayables,ShorttermTradeReceivables,AccumulatedImpairmentLossesAndAmortisationOfIntangibleAssets,IntangibleAssetsGross,InvestmentsGross,AccumulatedImpairmentLossesAndDepreciationOfPropertyPlantAndEquipment,PropertyPlantAndEquipmentGross,AccumulatedRevaluationsOfInvestments,ExternalExpenses,OtherExternalExpenses,AdditionsToIntangibleAssets,AdditionsToInvestmentsThroughMergersAndBusinessCombination,IncreaseDecreaseOfRevaluationsAndDevaluationsOfInvestmentsThroughNetExchangeDifferences,TransferRevaluationOfInvestments,AdditionsToPropertyPlantAndEquipment,NameAndSurnameOfMemberOfSupervisoryBoard,IncreaseOfCapital,DescriptionOfClassOfIssuedShares,NumberOfIssuedShares
25876121,2014-01-01,2014-01-01,c309,,http://regnskaber.virk.dk/12167852/ZG9rdW1lbnRsYWdlcjovLzAzL2VmL2EwLzEzLzcxLzE4OGItNGU2MS1hM2IwLWY1OWZjN2Y2MjFkZA.pdf,http://regnskaber.virk.dk/12167852/ZG9rdW1lbnRsYWdlcjovLzAzL2NmLzM5L2M0L2YxLzY1MzAtNDJmZC1iMmE2LWFiYzZiNWMyMDMzMQ.xml,Frederiksberg,2000.0,4.0,Osvald Helmuths Vej,Valby,2500.0,"4, 3.",Krumtappen,"Postboks 250, 2000 Frederiksberg",Osvald Helmuths Vej 4,Regnskabsklasse B,2016-06-03,2016-06-03,2001-01-31,2016-06-03,statsaut. revisor,12906000.0,www.karoshealth.com,25876121.0,30700228.0,Ãrsrapport,Peter Jensen,Michel Stephan Pawlicz,Michel Stephan Pawlicz,Jyske Bank,Karos Health A/S,Ernst & Young Godkendt Revisionspartnerselskab,"Valby, den",1296000.0,KÃ¸benhavn,Inc.,Medical Insight,USA,2015-12-31,2015-01-01,100.0,2016-06-03,"KÃ¸benhavn, den",ceo,formand,RevisionspÃ¥tegning,urn:ofk:oid:22625967,indberetninger-20180424,2.5097403999999996,25876121.0,,2018-03-29T01:18:39.710Z,2016-06-07T10:12:20.784Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AY-27-DH,2016-06-07T10:12:21.713Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25876121,2014-01-01,2014-01-01,c324,,http://regnskaber.virk.dk/12167852/ZG9rdW1lbnRsYWdlcjovLzAzL2VmL2EwLzEzLzcxLzE4OGItNGU2MS1hM2IwLWY1OWZjN2Y2MjFkZA.pdf,http://regnskaber.virk.dk/12167852/ZG9rdW1lbnRsYWdlcjovLzAzL2NmLzM5L2M0L2YxLzY1MzAtNDJmZC1iMmE2LWFiYzZiNWMyMDMzMQ.xml,Frederiksberg,2000.0,4.0,Osvald Helmuths Vej,Valby,2500.0,"4, 3.",Krumtappen,"Postboks 250, 2000 Frederiksberg",Osvald Helmuths Vej 4,Regnskabsklasse B,2016-06-03,2016-06-03,2001-01-31,2016-06-03,statsaut. revisor,74827000.0,www.karoshealth.com,25876121.0,30700228.0,Ãrsrapport,Peter Jensen,Michel Stephan Pawlicz,Michel Stephan Pawlicz,Jyske Bank,Karos Health A/S,Ernst & Young Godkendt Revisionspartnerselskab,"Valby, den",1296000.0,KÃ¸benhavn,Inc.,Medical Insight,USA,2015-12-31,2015-01-01,100.0,2016-06-03,"KÃ¸benhavn, den",ceo,formand,RevisionspÃ¥tegning,urn:ofk:oid:22625967,indberetninger-20180424,2.5097403999999996,25876121.0,,2018-03-29T01:18:39.710Z,2016-06-07T10:12:20.784Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AY-27-DH,2016-06-07T10:12:21.713Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25876121,2014-01-01,2014-01-01,c354,,http://regnskaber.virk.dk/12167852/ZG9rdW1lbnRsYWdlcjovLzAzL2VmL2EwLzEzLzcxLzE4OGItNGU2MS1hM2IwLWY1OWZjN2Y2MjFkZA.pdf,http://regnskaber.virk.dk/12167852/ZG9rdW1lbnRsYWdlcjovLzAzL2NmLzM5L2M0L2YxLzY1MzAtNDJmZC1iMmE2LWFiYzZiNWMyMDMzMQ.xml,Frederiksberg,2000.0,4.0,Osvald Helmuths Vej,Valby,2500.0,"4, 3.",Krumtappen,"Postboks 250, 2000 Frederiksberg",Osvald Helmuths Vej 4,Regnskabsklasse B,2016-06-03,2016-06-03,2001-01-31,2016-06-03,statsaut. revisor,-80108000.0,www.karoshealth.com,25876121.0,30700228.0,Ãrsrapport,Peter Jensen,Michel Stephan Pawlicz,Michel Stephan Pawlicz,Jyske Bank,Karos Health A/S,Ernst & Young Godkendt Revisionspartnerselskab,"Valby, den",1296000.0,KÃ¸benhavn,Inc.,Medical Insight,USA,2015-12-31,2015-01-01,100.0,2016-06-03,"KÃ¸benhavn, den",ceo,formand,RevisionspÃ¥tegning,urn:ofk:oid:22625967,indberetninger-20180424,2.5097403999999996,25876121.0,,2018-03-29T01:18:39.710Z,2016-06-07T10:12:20.784Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AY-27-DH,2016-06-07T10:12:21.713Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25876121,2014-01-01,2014-12-31,c195,,http://regnskaber.virk.dk/12167852/ZG9rdW1lbnRsYWdlcjovLzAzL2VmL2EwLzEzLzcxLzE4OGItNGU2MS1hM2IwLWY1OWZjN2Y2MjFkZA.pdf,http://regnskaber.virk.dk/12167852/ZG9rdW1lbnRsYWdlcjovLzAzL2NmLzM5L2M0L2YxLzY1MzAtNDJmZC1iMmE2LWFiYzZiNWMyMDMzMQ.xml,Frederiksberg,2000.0,4.0,Osvald Helmuths Vej,Valby,2500.0,"4, 3.",Krumtappen,"Postboks 250, 2000 Frederiksberg",Osvald Helmuths Vej 4,Regnskabsklasse B,2016-06-03,2016-06-03,2001-01-31,2016-06-03,statsaut. revisor,,www.karoshealth.com,25876121.0,30700228.0,Ãrsrapport,Peter Jensen,Michel Stephan Pawlicz,Michel Stephan Pawlicz,Jyske Bank,Karos Health A/S,Ernst & Young Godkendt Revisionspartnerselskab,"Valby, den",1296000.0,KÃ¸benhavn,Inc.,Medical Insight,USA,2015-12-31,2015-01-01,100.0,2016-06-03,"KÃ¸benhavn, den",ceo,formand,RevisionspÃ¥tegning,urn:ofk:oid:22625967,indberetninger-20180424,2.5097403999999996,25876121.0,,2018-03-29T01:18:39.710Z,2016-06-07T10:12:20.784Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AY-27-DH,2016-06-07T10:12:21.713Z,-2367000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25876121,2014-01-01,2014-12-31,c310,,http://regnskaber.virk.dk/12167852/ZG9rdW1lbnRsYWdlcjovLzAzL2VmL2EwLzEzLzcxLzE4OGItNGU2MS1hM2IwLWY1OWZjN2Y2MjFkZA.pdf,http://regnskaber.virk.dk/12167852/ZG9rdW1lbnRsYWdlcjovLzAzL2NmLzM5L2M0L2YxLzY1MzAtNDJmZC1iMmE2LWFiYzZiNWMyMDMzMQ.xml,Frederiksberg,2000.0,4.0,Osvald Helmuths Vej,Valby,2500.0,"4, 3.",Krumtappen,"Postboks 250, 2000 Frederiksberg",Osvald Helmuths Vej 4,Regnskabsklasse B,2016-06-03,2016-06-03,2001-01-31,2016-06-03,statsaut. revisor,,www.karoshealth.com,25876121.0,30700228.0,Ãrsrapport,Peter Jensen,Michel Stephan Pawlicz,Michel Stephan Pawlicz,Jyske Bank,Karos Health A/S,Ernst & Young Godkendt Revisionspartnerselskab,"Valby, den",1296000.0,KÃ¸benhavn,Inc.,Medical Insight,USA,2015-12-31,2015-01-01,100.0,2016-06-03,"KÃ¸benhavn, den",ceo,formand,RevisionspÃ¥tegning,urn:ofk:oid:22625967,indberetninger-20180424,2.5097403999999996,25876121.0,,2018-03-29T01:18:39.710Z,2016-06-07T10:12:20.784Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AY-27-DH,2016-06-07T10:12:21.713Z,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25876121,2014-01-01,2014-12-31,c325,,http://regnskaber.virk.dk/12167852/ZG9rdW1lbnRsYWdlcjovLzAzL2VmL2EwLzEzLzcxLzE4OGItNGU2MS1hM2IwLWY1OWZjN2Y2MjFkZA.pdf,http://regnskaber.virk.dk/12167852/ZG9rdW1lbnRsYWdlcjovLzAzL2NmLzM5L2M0L2YxLzY1MzAtNDJmZC1iMmE2LWFiYzZiNWMyMDMzMQ.xml,Frederiksberg,2000.0,4.0,Osvald Helmuths Vej,Valby,2500.0,"4, 3.",Krumtappen,"Postboks 250, 2000 Frederiksberg",Osvald Helmuths Vej 4,Regnskabsklasse B,2016-06-03,2016-06-03,2001-01-31,2016-06-03,statsaut. revisor,,www.karoshealth.com,25876121.0,30700228.0,Ãrsrapport,Peter Jensen,Michel Stephan Pawlicz,Michel Stephan Pawlicz,Jyske Bank,Karos Health A/S,Ernst & Young Godkendt Revisionspartnerselskab,"Valby, den",1296000.0,KÃ¸benhavn,Inc.,Medical Insight,USA,2015-12-31,2015-01-01,100.0,2016-06-03,"KÃ¸benhavn, den",ceo,formand,RevisionspÃ¥tegning,urn:ofk:oid:22625967,indberetninger-20180424,2.5097403999999996,25876121.0,,2018-03-29T01:18:39.710Z,2016-06-07T10:12:20.784Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AY-27-DH,2016-06-07T10:12:21.713Z,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25876121,2014-01-01,2014-12-31,c355,,http://regnskaber.virk.dk/12167852/ZG9rdW1lbnRsYWdlcjovLzAzL2VmL2EwLzEzLzcxLzE4OGItNGU2MS1hM2IwLWY1OWZjN2Y2MjFkZA.pdf,http://regnskaber.virk.dk/12167852/ZG9rdW1lbnRsYWdlcjovLzAzL2NmLzM5L2M0L2YxLzY1MzAtNDJmZC1iMmE2LWFiYzZiNWMyMDMzMQ.xml,Frederiksberg,2000.0,4.0,Osvald Helmuths Vej,Valby,2500.0,"4, 3.",Krumtappen,"Postboks 250, 2000 Frederiksberg",Osvald Helmuths Vej 4,Regnskabsklasse B,2016-06-03,2016-06-03,2001-01-31,2016-06-03,statsaut. revisor,,www.karoshealth.com,25876121.0,30700228.0,Ãrsrapport,Peter Jensen,Michel Stephan Pawlicz,Michel Stephan Pawlicz,Jyske Bank,Karos Health A/S,Ernst & Young Godkendt Revisionspartnerselskab,"Valby, den",1296000.0,KÃ¸benhavn,Inc.,Medical Insight,USA,2015-12-31,2015-01-01,100.0,2016-06-03,"KÃ¸benhavn, den",ceo,formand,RevisionspÃ¥tegning,urn:ofk:oid:22625967,indberetninger-20180424,2.5097403999999996,25876121.0,,2018-03-29T01:18:39.710Z,2016-06-07T10:12:20.784Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AY-27-DH,2016-06-07T10:12:21.713Z,-2367000.0,930000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25876121,2014-01-01,2014-12-31,c4,,http://regnskaber.virk.dk/12167852/ZG9rdW1lbnRsYWdlcjovLzAzL2VmL2EwLzEzLzcxLzE4OGItNGU2MS1hM2IwLWY1OWZjN2Y2MjFkZA.pdf,http://regnskaber.virk.dk/12167852/ZG9rdW1lbnRsYWdlcjovLzAzL2NmLzM5L2M0L2YxLzY1MzAtNDJmZC1iMmE2LWFiYzZiNWMyMDMzMQ.xml,Frederiksberg,2000.0,4.0,Osvald Helmuths Vej,Valby,2500.0,"4, 3.",Krumtappen,"Postboks 250, 2000 Frederiksberg",Osvald Helmuths Vej 4,Regnskabsklasse B,2016-06-03,2016-06-03,2001-01-31,2016-06-03,statsaut. revisor,,www.karoshealth.com,25876121.0,30700228.0,Ãrsrapport,Peter Jensen,Michel Stephan Pawlicz,Michel Stephan Pawlicz,Jyske Bank,Karos Health A/S,Ernst & Young Godkendt Revisionspartnerselskab,"Valby, den",1296000.0,KÃ¸benhavn,Inc.,Medical Insight,USA,2015-12-31,2015-01-01,100.0,2016-06-03,"KÃ¸benhavn, den",ceo,formand,RevisionspÃ¥tegning,urn:ofk:oid:22625967,indberetninger-20180424,2.5097403999999996,25876121.0,,2018-03-29T01:18:39.710Z,2016-06-07T10:12:20.784Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AY-27-DH,2016-06-07T10:12:21.713Z,-2367000.0,,0.0,0.0,2226000.0,18000.0,-355000.0,0.0,2328000.0,102000.0,11044000.0,-427000.0,203000.0,724000.0,183000.0,102000.0,-2572000.0,386000.0,826000.0,913000.0,-2722000.0,0.0,132000.0,-355000.0,12571000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25876121,2014-12-31,2014-12-31,c1294,,http://regnskaber.virk.dk/12167852/ZG9rdW1lbnRsYWdlcjovLzAzL2VmL2EwLzEzLzcxLzE4OGItNGU2MS1hM2IwLWY1OWZjN2Y2MjFkZA.pdf,http://regnskaber.virk.dk/12167852/ZG9rdW1lbnRsYWdlcjovLzAzL2NmLzM5L2M0L2YxLzY1MzAtNDJmZC1iMmE2LWFiYzZiNWMyMDMzMQ.xml,Frederiksberg,2000.0,4.0,Osvald Helmuths Vej,Valby,2500.0,"4, 3.",Krumtappen,"Postboks 250, 2000 Frederiksberg",Osvald Helmuths Vej 4,Regnskabsklasse B,2016-06-03,2016-06-03,2001-01-31,2016-06-03,statsaut. revisor,,www.karoshealth.com,25876121.0,30700228.0,Ãrsrapport,Peter Jensen,Michel Stephan Pawlicz,Michel Stephan Pawlicz,Jyske Bank,Karos Health A/S,Ernst & Young Godkendt Revisionspartnerselskab,"Valby, den",1296000.0,KÃ¸benhavn,Inc.,Medical Insight,USA,2015-12-31,2015-01-01,100.0,2016-06-03,"KÃ¸benhavn, den",ceo,formand,RevisionspÃ¥tegning,urn:ofk:oid:22625967,indberetninger-20180424,2.5097403999999996,25876121.0,,2018-03-29T01:18:39.710Z,2016-06-07T10:12:20.784Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AY-27-DH,2016-06-07T10:12:21.713Z,,,,,,,,,,,,,,,,,,,,,,,,,,3772000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25876121,2014-12-31,2014-12-31,c5,,http://regnskaber.virk.dk/12167852/ZG9rdW1lbnRsYWdlcjovLzAzL2VmL2EwLzEzLzcxLzE4OGItNGU2MS1hM2IwLWY1OWZjN2Y2MjFkZA.pdf,http://regnskaber.virk.dk/12167852/ZG9rdW1lbnRsYWdlcjovLzAzL2NmLzM5L2M0L2YxLzY1MzAtNDJmZC1iMmE2LWFiYzZiNWMyMDMzMQ.xml,Frederiksberg,2000.0,4.0,Osvald Helmuths Vej,Valby,2500.0,"4, 3.",Krumtappen,"Postboks 250, 2000 Frederiksberg",Osvald Helmuths Vej 4,Regnskabsklasse B,2016-06-03,2016-06-03,2001-01-31,2016-06-03,statsaut. revisor,4328000.0,www.karoshealth.com,25876121.0,30700228.0,Ãrsrapport,Peter Jensen,Michel Stephan Pawlicz,Michel Stephan Pawlicz,Jyske Bank,Karos Health A/S,Ernst & Young Godkendt Revisionspartnerselskab,"Valby, den",1296000.0,KÃ¸benhavn,Inc.,Medical Insight,USA,2015-12-31,2015-01-01,100.0,2016-06-03,"KÃ¸benhavn, den",ceo,formand,RevisionspÃ¥tegning,urn:ofk:oid:22625967,indberetninger-20180424,2.5097403999999996,25876121.0,,2018-03-29T01:18:39.710Z,2016-06-07T10:12:20.784Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AY-27-DH,2016-06-07T10:12:21.713Z,,,,,,,,,,,,,,,,,,,,,,,,,,,18549000.0,182000.0,8559000.0,12906000.0,9561000.0,4400000.0,427000.0,0.0,13000.0,8559000.0,0.0,18549000.0,14204000.0,305000.0,0.0,8988000.0,305000.0,5358000.0,504000.0,111000.0,124000.0,17000.0,17000.0,-83405000.0,74827000.0,5307000.0,14204000.0,3188000.0,9379000.0,0.0,351000.0,4048000.0,,,,,,,,,,,,,,,,,
