entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TelephoneNumberOfReportingEntity,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,AverageNumberOfEmployees,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GrossProfitLoss,OtherFinanceExpenses,OtherFinanceIncomeFromGroupEnterprises,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,DeferredIncomeAssets,Equity,FixturesFittingsToolsAndEquipment,Inventories,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,NoncurrentAssets,OtherShorttermPayables,PropertyPlantAndEquipment,RawMaterialsAndConsumables,RetainedEarnings,SharePremium,ShorttermDebtToBanks,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTradePayables,ShorttermTradeReceivables,NameAndSurnameOfMemberOfExecutiveBoard,TitleOfMemberOfExecutiveBoard
31177146,2015-07-01,2016-06-30,ID_11,,http://regnskaber.virk.dk/64177113/ZG9rdW1lbnRsYWdlcjovLzAzLzllLzgzLzg3LzI0L2FjNjUtNDM5Ni05MjNiLTUxYjdhZWJiODc5NA.pdf,http://regnskaber.virk.dk/64177113/ZG9rdW1lbnRsYWdlcjovLzAzLzI2L2VhL2EyLzE4Lzc4OWMtNDE3Ny1hNTA5LTc0ZWE5NmNlODVkNw.xml,false,"Klippinge, 4672",RÃ¥mosevej 11A,Til den daglige ledelse i Spartelprodukter.dk ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30-06-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-07-2016 - 30-06-2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2017-12-06,2017-12-06,2008-01-08,2017-12-13,15735376.0,31177146.0,15735376.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-07-2016 - 30-06-2017 for Spartelprodukter.dk ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Bent Pedersen,Lars-Peter Wessel,bp-revision,Spartelprodukter.dk ApS,"bp-revision, registrerede revisorer FSR - danske revisorer",StrÃ¸by,2015-07-01,2016-06-30,-119766.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"336, Stevns",2017-06-30,2016-07-01,false,2017-12-06,Klippinge,40 78 70 68,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24831203,indberetninger-20180424,2.512258,31177146.0,,2018-03-28T03:18:21.118Z,2017-12-13T07:44:44.570Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BK-81-AM,2017-12-13T07:44:44.726Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31177146,2015-07-01,2016-06-30,ID_8,,http://regnskaber.virk.dk/64177113/ZG9rdW1lbnRsYWdlcjovLzAzLzllLzgzLzg3LzI0L2FjNjUtNDM5Ni05MjNiLTUxYjdhZWJiODc5NA.pdf,http://regnskaber.virk.dk/64177113/ZG9rdW1lbnRsYWdlcjovLzAzLzI2L2VhL2EyLzE4Lzc4OWMtNDE3Ny1hNTA5LTc0ZWE5NmNlODVkNw.xml,false,"Klippinge, 4672",RÃ¥mosevej 11A,Til den daglige ledelse i Spartelprodukter.dk ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30-06-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-07-2016 - 30-06-2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2017-12-06,2017-12-06,2008-01-08,2017-12-13,15735376.0,31177146.0,15735376.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-07-2016 - 30-06-2017 for Spartelprodukter.dk ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Bent Pedersen,Lars-Peter Wessel,bp-revision,Spartelprodukter.dk ApS,"bp-revision, registrerede revisorer FSR - danske revisorer",StrÃ¸by,2015-07-01,2016-06-30,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"336, Stevns",2017-06-30,2016-07-01,false,2017-12-06,Klippinge,40 78 70 68,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24831203,indberetninger-20180424,2.512258,31177146.0,,2018-03-28T03:18:21.118Z,2017-12-13T07:44:44.570Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BK-81-AM,2017-12-13T07:44:44.726Z,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31177146,2015-07-01,2016-06-30,ID_9,,http://regnskaber.virk.dk/64177113/ZG9rdW1lbnRsYWdlcjovLzAzLzllLzgzLzg3LzI0L2FjNjUtNDM5Ni05MjNiLTUxYjdhZWJiODc5NA.pdf,http://regnskaber.virk.dk/64177113/ZG9rdW1lbnRsYWdlcjovLzAzLzI2L2VhL2EyLzE4Lzc4OWMtNDE3Ny1hNTA5LTc0ZWE5NmNlODVkNw.xml,false,"Klippinge, 4672",RÃ¥mosevej 11A,Til den daglige ledelse i Spartelprodukter.dk ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30-06-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-07-2016 - 30-06-2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2017-12-06,2017-12-06,2008-01-08,2017-12-13,15735376.0,31177146.0,15735376.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-07-2016 - 30-06-2017 for Spartelprodukter.dk ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Bent Pedersen,Lars-Peter Wessel,bp-revision,Spartelprodukter.dk ApS,"bp-revision, registrerede revisorer FSR - danske revisorer",StrÃ¸by,2015-07-01,2016-06-30,119766.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"336, Stevns",2017-06-30,2016-07-01,false,2017-12-06,Klippinge,40 78 70 68,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24831203,indberetninger-20180424,2.512258,31177146.0,,2018-03-28T03:18:21.118Z,2017-12-13T07:44:44.570Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BK-81-AM,2017-12-13T07:44:44.726Z,,6900.0,618323.0,753075.0,8635.0,549.0,119766.0,127852.0,,,,,,,,,,,,,,,,,,,,,,,,
31177146,2016-06-30,2016-06-30,ID_5,,http://regnskaber.virk.dk/64177113/ZG9rdW1lbnRsYWdlcjovLzAzLzllLzgzLzg3LzI0L2FjNjUtNDM5Ni05MjNiLTUxYjdhZWJiODc5NA.pdf,http://regnskaber.virk.dk/64177113/ZG9rdW1lbnRsYWdlcjovLzAzLzI2L2VhL2EyLzE4Lzc4OWMtNDE3Ny1hNTA5LTc0ZWE5NmNlODVkNw.xml,false,"Klippinge, 4672",RÃ¥mosevej 11A,Til den daglige ledelse i Spartelprodukter.dk ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30-06-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-07-2016 - 30-06-2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2017-12-06,2017-12-06,2008-01-08,2017-12-13,15735376.0,31177146.0,15735376.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-07-2016 - 30-06-2017 for Spartelprodukter.dk ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Bent Pedersen,Lars-Peter Wessel,bp-revision,Spartelprodukter.dk ApS,"bp-revision, registrerede revisorer FSR - danske revisorer",StrÃ¸by,2015-07-01,2016-06-30,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"336, Stevns",2017-06-30,2016-07-01,false,2017-12-06,Klippinge,40 78 70 68,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24831203,indberetninger-20180424,2.512258,31177146.0,,2018-03-28T03:18:21.118Z,2017-12-13T07:44:44.570Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BK-81-AM,2017-12-13T07:44:44.726Z,,,,,,,,,345106.0,340.0,125000.0,338452.0,36697.0,59109.0,6654.0,22585.0,345106.0,285997.0,6654.0,139866.0,6654.0,22585.0,-69641.0,3750.0,103497.0,285997.0,315527.0,32269.0,42634.0,246561.0,,
31177146,2016-07-01,2017-06-30,ID_0,,http://regnskaber.virk.dk/64177113/ZG9rdW1lbnRsYWdlcjovLzAzLzllLzgzLzg3LzI0L2FjNjUtNDM5Ni05MjNiLTUxYjdhZWJiODc5NA.pdf,http://regnskaber.virk.dk/64177113/ZG9rdW1lbnRsYWdlcjovLzAzLzI2L2VhL2EyLzE4Lzc4OWMtNDE3Ny1hNTA5LTc0ZWE5NmNlODVkNw.xml,false,"Klippinge, 4672",RÃ¥mosevej 11A,Til den daglige ledelse i Spartelprodukter.dk ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30-06-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-07-2016 - 30-06-2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2017-12-06,2017-12-06,2008-01-08,2017-12-13,15735376.0,31177146.0,15735376.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-07-2016 - 30-06-2017 for Spartelprodukter.dk ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Bent Pedersen,Lars-Peter Wessel,bp-revision,Spartelprodukter.dk ApS,"bp-revision, registrerede revisorer FSR - danske revisorer",StrÃ¸by,2015-07-01,2016-06-30,2965.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"336, Stevns",2017-06-30,2016-07-01,false,2017-12-06,Klippinge,40 78 70 68,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24831203,indberetninger-20180424,2.512258,31177146.0,,2018-03-28T03:18:21.118Z,2017-12-13T07:44:44.570Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BK-81-AM,2017-12-13T07:44:44.726Z,,7650.0,619890.0,653943.0,24163.0,725.0,2965.0,26403.0,,,,,,,,,,,,,,,,,,,,,,,,
31177146,2016-07-01,2017-06-30,ID_1,,http://regnskaber.virk.dk/64177113/ZG9rdW1lbnRsYWdlcjovLzAzLzllLzgzLzg3LzI0L2FjNjUtNDM5Ni05MjNiLTUxYjdhZWJiODc5NA.pdf,http://regnskaber.virk.dk/64177113/ZG9rdW1lbnRsYWdlcjovLzAzLzI2L2VhL2EyLzE4Lzc4OWMtNDE3Ny1hNTA5LTc0ZWE5NmNlODVkNw.xml,false,"Klippinge, 4672",RÃ¥mosevej 11A,Til den daglige ledelse i Spartelprodukter.dk ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30-06-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-07-2016 - 30-06-2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2017-12-06,2017-12-06,2008-01-08,2017-12-13,15735376.0,31177146.0,15735376.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-07-2016 - 30-06-2017 for Spartelprodukter.dk ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Bent Pedersen,Lars-Peter Wessel,bp-revision,Spartelprodukter.dk ApS,"bp-revision, registrerede revisorer FSR - danske revisorer",StrÃ¸by,2015-07-01,2016-06-30,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"336, Stevns",2017-06-30,2016-07-01,false,2017-12-06,Klippinge,40 78 70 68,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24831203,indberetninger-20180424,2.512258,31177146.0,,2018-03-28T03:18:21.118Z,2017-12-13T07:44:44.570Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BK-81-AM,2017-12-13T07:44:44.726Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31177146,2016-07-01,2017-06-30,ID_10,,http://regnskaber.virk.dk/64177113/ZG9rdW1lbnRsYWdlcjovLzAzLzllLzgzLzg3LzI0L2FjNjUtNDM5Ni05MjNiLTUxYjdhZWJiODc5NA.pdf,http://regnskaber.virk.dk/64177113/ZG9rdW1lbnRsYWdlcjovLzAzLzI2L2VhL2EyLzE4Lzc4OWMtNDE3Ny1hNTA5LTc0ZWE5NmNlODVkNw.xml,false,"Klippinge, 4672",RÃ¥mosevej 11A,Til den daglige ledelse i Spartelprodukter.dk ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30-06-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-07-2016 - 30-06-2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2017-12-06,2017-12-06,2008-01-08,2017-12-13,15735376.0,31177146.0,15735376.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-07-2016 - 30-06-2017 for Spartelprodukter.dk ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Bent Pedersen,Lars-Peter Wessel,bp-revision,Spartelprodukter.dk ApS,"bp-revision, registrerede revisorer FSR - danske revisorer",StrÃ¸by,2015-07-01,2016-06-30,-2965.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"336, Stevns",2017-06-30,2016-07-01,false,2017-12-06,Klippinge,40 78 70 68,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24831203,indberetninger-20180424,2.512258,31177146.0,,2018-03-28T03:18:21.118Z,2017-12-13T07:44:44.570Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BK-81-AM,2017-12-13T07:44:44.726Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31177146,2016-07-01,2017-06-30,ID_2,,http://regnskaber.virk.dk/64177113/ZG9rdW1lbnRsYWdlcjovLzAzLzllLzgzLzg3LzI0L2FjNjUtNDM5Ni05MjNiLTUxYjdhZWJiODc5NA.pdf,http://regnskaber.virk.dk/64177113/ZG9rdW1lbnRsYWdlcjovLzAzLzI2L2VhL2EyLzE4Lzc4OWMtNDE3Ny1hNTA5LTc0ZWE5NmNlODVkNw.xml,false,"Klippinge, 4672",RÃ¥mosevej 11A,Til den daglige ledelse i Spartelprodukter.dk ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30-06-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-07-2016 - 30-06-2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2017-12-06,2017-12-06,2008-01-08,2017-12-13,15735376.0,31177146.0,15735376.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-07-2016 - 30-06-2017 for Spartelprodukter.dk ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Bent Pedersen,Lars-Peter Wessel,bp-revision,Spartelprodukter.dk ApS,"bp-revision, registrerede revisorer FSR - danske revisorer",StrÃ¸by,2015-07-01,2016-06-30,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"336, Stevns",2017-06-30,2016-07-01,false,2017-12-06,Klippinge,40 78 70 68,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24831203,indberetninger-20180424,2.512258,31177146.0,,2018-03-28T03:18:21.118Z,2017-12-13T07:44:44.570Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BK-81-AM,2017-12-13T07:44:44.726Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Niels Folmer Wessel,DirektÃ¸r
31177146,2016-07-01,2017-06-30,ID_3,,http://regnskaber.virk.dk/64177113/ZG9rdW1lbnRsYWdlcjovLzAzLzllLzgzLzg3LzI0L2FjNjUtNDM5Ni05MjNiLTUxYjdhZWJiODc5NA.pdf,http://regnskaber.virk.dk/64177113/ZG9rdW1lbnRsYWdlcjovLzAzLzI2L2VhL2EyLzE4Lzc4OWMtNDE3Ny1hNTA5LTc0ZWE5NmNlODVkNw.xml,false,"Klippinge, 4672",RÃ¥mosevej 11A,Til den daglige ledelse i Spartelprodukter.dk ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30-06-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-07-2016 - 30-06-2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2017-12-06,2017-12-06,2008-01-08,2017-12-13,15735376.0,31177146.0,15735376.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-07-2016 - 30-06-2017 for Spartelprodukter.dk ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Bent Pedersen,Lars-Peter Wessel,bp-revision,Spartelprodukter.dk ApS,"bp-revision, registrerede revisorer FSR - danske revisorer",StrÃ¸by,2015-07-01,2016-06-30,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"336, Stevns",2017-06-30,2016-07-01,false,2017-12-06,Klippinge,40 78 70 68,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24831203,indberetninger-20180424,2.512258,31177146.0,,2018-03-28T03:18:21.118Z,2017-12-13T07:44:44.570Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BK-81-AM,2017-12-13T07:44:44.726Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31177146,2016-07-01,2017-06-30,ID_4,,http://regnskaber.virk.dk/64177113/ZG9rdW1lbnRsYWdlcjovLzAzLzllLzgzLzg3LzI0L2FjNjUtNDM5Ni05MjNiLTUxYjdhZWJiODc5NA.pdf,http://regnskaber.virk.dk/64177113/ZG9rdW1lbnRsYWdlcjovLzAzLzI2L2VhL2EyLzE4Lzc4OWMtNDE3Ny1hNTA5LTc0ZWE5NmNlODVkNw.xml,false,"Klippinge, 4672",RÃ¥mosevej 11A,Til den daglige ledelse i Spartelprodukter.dk ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30-06-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-07-2016 - 30-06-2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2017-12-06,2017-12-06,2008-01-08,2017-12-13,15735376.0,31177146.0,15735376.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-07-2016 - 30-06-2017 for Spartelprodukter.dk ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Bent Pedersen,Lars-Peter Wessel,bp-revision,Spartelprodukter.dk ApS,"bp-revision, registrerede revisorer FSR - danske revisorer",StrÃ¸by,2015-07-01,2016-06-30,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"336, Stevns",2017-06-30,2016-07-01,false,2017-12-06,Klippinge,40 78 70 68,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24831203,indberetninger-20180424,2.512258,31177146.0,,2018-03-28T03:18:21.118Z,2017-12-13T07:44:44.570Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BK-81-AM,2017-12-13T07:44:44.726Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lars-Peter Wessel,DirektÃ¸r
