entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AverageNumberOfEmployees,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfGeneralMeeting,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GrossProfitLoss,OtherFinanceExpenses,OtherFinanceIncome,OtherOperatingExpenses,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,DeferredIncomeAssets,DepositsLongtermInvestmentsAndReceivables,Equity,FixturesFittingsToolsAndEquipment,Inventories,LandAndBuildings,LeaseholdImprovements,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,LongtermLiabilitiesOtherThanProvisions,LongtermPayablesToAssociates,LongtermPayablesToShareholdersAndManagement,ManufacturedGoodsAndGoodsForResale,NoncurrentAssets,OtherInvestmentAssets,OtherLongtermInvestments,OtherLongtermReceivables,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,Provisions,ProvisionsForDeferredTax,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPrepaymentsReceivedFromCustomers,ShorttermReceivables,ShorttermTradePayables,ShorttermTradeReceivables,IdentificationNumberCvrOfAuditFirm,NameAndSurnameOfAuditor,NameOfAuditFirm,NameAndSurnameOfMemberOfExecutiveBoard
35846484,2017-01-01,2017-12-31,ID_10,,http://regnskaber.virk.dk/48464853/ZG9rdW1lbnRsYWdlcjovLzAzLzY1LzkxL2M2LzI2LzBjYjctNDExMC04M2FmLWJkYzFhMTgyYjk0YQ.pdf,http://regnskaber.virk.dk/48464853/ZG9rdW1lbnRsYWdlcjovLzAzLzkwLzU3L2RkLzUxLzZiYTUtNDFiZi1hNjI4LTc4ZTRkNGNkNjhkYg.xml,false,"Aabenraa, 6200",NÃ¦stmark 25,Til den daglige ledelse i EMS Kapital ApS,1.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-05-28,2019-05-28,2019-06-06,35846484.0,26632315.0,mne10833,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for EMS Kapital ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Michael KjÃ¦r SÃ¸rensen,EMS Kapital ApS,"Intension, Statsautoriseret revisionsaktieselskab",Vejen,2017-01-01,2017-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Vejen, 575",2018-12-31,2018-01-01,false,2019-05-28,Aabenraa,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27438126,indberetninger-20180424,2.5124327999999996,35846484.0,AWsw0GqcRYGX6_YTIhzB,2019-06-07T07:22:08.623Z,2019-06-07T07:21:33.023Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BL-45-XT,2019-06-07T07:21:33.195Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35846484,2017-01-01,2017-12-31,ID_11,,http://regnskaber.virk.dk/48464853/ZG9rdW1lbnRsYWdlcjovLzAzLzY1LzkxL2M2LzI2LzBjYjctNDExMC04M2FmLWJkYzFhMTgyYjk0YQ.pdf,http://regnskaber.virk.dk/48464853/ZG9rdW1lbnRsYWdlcjovLzAzLzkwLzU3L2RkLzUxLzZiYTUtNDFiZi1hNjI4LTc4ZTRkNGNkNjhkYg.xml,false,"Aabenraa, 6200",NÃ¦stmark 25,Til den daglige ledelse i EMS Kapital ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-05-28,2019-05-28,2019-06-06,35846484.0,26632315.0,mne10833,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for EMS Kapital ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Michael KjÃ¦r SÃ¸rensen,EMS Kapital ApS,"Intension, Statsautoriseret revisionsaktieselskab",Vejen,2017-01-01,2017-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Vejen, 575",2018-12-31,2018-01-01,false,2019-05-28,Aabenraa,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27438126,indberetninger-20180424,2.5124327999999996,35846484.0,AWsw0GqcRYGX6_YTIhzB,2019-06-07T07:22:08.623Z,2019-06-07T07:21:33.023Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BL-45-XT,2019-06-07T07:21:33.195Z,1124194.0,99567.0,460735.0,194067.0,136328.0,174981.0,-855136.0,-995746.0,-938007.0,-140610.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35846484,2017-01-01,2017-12-31,ID_12,,http://regnskaber.virk.dk/48464853/ZG9rdW1lbnRsYWdlcjovLzAzLzY1LzkxL2M2LzI2LzBjYjctNDExMC04M2FmLWJkYzFhMTgyYjk0YQ.pdf,http://regnskaber.virk.dk/48464853/ZG9rdW1lbnRsYWdlcjovLzAzLzkwLzU3L2RkLzUxLzZiYTUtNDFiZi1hNjI4LTc4ZTRkNGNkNjhkYg.xml,false,"Aabenraa, 6200",NÃ¦stmark 25,Til den daglige ledelse i EMS Kapital ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-05-28,2019-05-28,2019-06-06,35846484.0,26632315.0,mne10833,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for EMS Kapital ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Michael KjÃ¦r SÃ¸rensen,EMS Kapital ApS,"Intension, Statsautoriseret revisionsaktieselskab",Vejen,2017-01-01,2017-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Vejen, 575",2018-12-31,2018-01-01,false,2019-05-28,Aabenraa,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27438126,indberetninger-20180424,2.5124327999999996,35846484.0,AWsw0GqcRYGX6_YTIhzB,2019-06-07T07:22:08.623Z,2019-06-07T07:21:33.023Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BL-45-XT,2019-06-07T07:21:33.195Z,,,,,,,-855136.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35846484,2017-12-31,2017-12-31,ID_8,,http://regnskaber.virk.dk/48464853/ZG9rdW1lbnRsYWdlcjovLzAzLzY1LzkxL2M2LzI2LzBjYjctNDExMC04M2FmLWJkYzFhMTgyYjk0YQ.pdf,http://regnskaber.virk.dk/48464853/ZG9rdW1lbnRsYWdlcjovLzAzLzkwLzU3L2RkLzUxLzZiYTUtNDFiZi1hNjI4LTc4ZTRkNGNkNjhkYg.xml,false,"Aabenraa, 6200",NÃ¦stmark 25,Til den daglige ledelse i EMS Kapital ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-05-28,2019-05-28,2019-06-06,35846484.0,26632315.0,mne10833,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for EMS Kapital ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Michael KjÃ¦r SÃ¸rensen,EMS Kapital ApS,"Intension, Statsautoriseret revisionsaktieselskab",Vejen,2017-01-01,2017-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Vejen, 575",2018-12-31,2018-01-01,false,2019-05-28,Aabenraa,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27438126,indberetninger-20180424,2.5124327999999996,35846484.0,AWsw0GqcRYGX6_YTIhzB,2019-06-07T07:22:08.623Z,2019-06-07T07:21:33.023Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BL-45-XT,2019-06-07T07:21:33.195Z,,,,,,,,,,,29590645.0,1557423.0,58825.0,2810419.0,0.0,50000.0,287500.0,5906539.0,4674460.0,0.0,9809042.0,280000.0,29590645.0,23582406.0,11965096.0,146773.0,23353719.0,23312641.0,41078.0,0.0,26780226.0,51628.0,2209933.0,9320890.0,40087.0,147749.0,14815130.0,101700.0,101700.0,5847714.0,228687.0,19850.0,1252996.0,168750.0,1055247.0,,,,
35846484,2018-01-01,2018-12-31,ID_0,,http://regnskaber.virk.dk/48464853/ZG9rdW1lbnRsYWdlcjovLzAzLzY1LzkxL2M2LzI2LzBjYjctNDExMC04M2FmLWJkYzFhMTgyYjk0YQ.pdf,http://regnskaber.virk.dk/48464853/ZG9rdW1lbnRsYWdlcjovLzAzLzkwLzU3L2RkLzUxLzZiYTUtNDFiZi1hNjI4LTc4ZTRkNGNkNjhkYg.xml,false,"Aabenraa, 6200",NÃ¦stmark 25,Til den daglige ledelse i EMS Kapital ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-05-28,2019-05-28,2019-06-06,35846484.0,26632315.0,mne10833,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for EMS Kapital ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Michael KjÃ¦r SÃ¸rensen,EMS Kapital ApS,"Intension, Statsautoriseret revisionsaktieselskab",Vejen,2017-01-01,2017-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Vejen, 575",2018-12-31,2018-01-01,false,2019-05-28,Aabenraa,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27438126,indberetninger-20180424,2.5124327999999996,35846484.0,AWsw0GqcRYGX6_YTIhzB,2019-06-07T07:22:08.623Z,2019-06-07T07:21:33.023Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BL-45-XT,2019-06-07T07:21:33.195Z,1267752.0,20119.0,-537297.0,274630.0,229949.0,295056.0,-1645797.0,-2164905.0,-2120224.0,-519108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35846484,2018-01-01,2018-12-31,ID_1,,http://regnskaber.virk.dk/48464853/ZG9rdW1lbnRsYWdlcjovLzAzLzY1LzkxL2M2LzI2LzBjYjctNDExMC04M2FmLWJkYzFhMTgyYjk0YQ.pdf,http://regnskaber.virk.dk/48464853/ZG9rdW1lbnRsYWdlcjovLzAzLzkwLzU3L2RkLzUxLzZiYTUtNDFiZi1hNjI4LTc4ZTRkNGNkNjhkYg.xml,false,"Aabenraa, 6200",NÃ¦stmark 25,Til den daglige ledelse i EMS Kapital ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-05-28,2019-05-28,2019-06-06,35846484.0,26632315.0,mne10833,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for EMS Kapital ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Michael KjÃ¦r SÃ¸rensen,EMS Kapital ApS,"Intension, Statsautoriseret revisionsaktieselskab",Vejen,2017-01-01,2017-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Vejen, 575",2018-12-31,2018-01-01,false,2019-05-28,Aabenraa,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27438126,indberetninger-20180424,2.5124327999999996,35846484.0,AWsw0GqcRYGX6_YTIhzB,2019-06-07T07:22:08.623Z,2019-06-07T07:21:33.023Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BL-45-XT,2019-06-07T07:21:33.195Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26632315.0,"Allan  SÃ¸berg, HD(R)",,
35846484,2018-01-01,2018-12-31,ID_13,,http://regnskaber.virk.dk/48464853/ZG9rdW1lbnRsYWdlcjovLzAzLzY1LzkxL2M2LzI2LzBjYjctNDExMC04M2FmLWJkYzFhMTgyYjk0YQ.pdf,http://regnskaber.virk.dk/48464853/ZG9rdW1lbnRsYWdlcjovLzAzLzkwLzU3L2RkLzUxLzZiYTUtNDFiZi1hNjI4LTc4ZTRkNGNkNjhkYg.xml,false,"Aabenraa, 6200",NÃ¦stmark 25,Til den daglige ledelse i EMS Kapital ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-05-28,2019-05-28,2019-06-06,35846484.0,26632315.0,mne10833,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for EMS Kapital ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Michael KjÃ¦r SÃ¸rensen,EMS Kapital ApS,"Intension, Statsautoriseret revisionsaktieselskab",Vejen,2017-01-01,2017-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Vejen, 575",2018-12-31,2018-01-01,false,2019-05-28,Aabenraa,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27438126,indberetninger-20180424,2.5124327999999996,35846484.0,AWsw0GqcRYGX6_YTIhzB,2019-06-07T07:22:08.623Z,2019-06-07T07:21:33.023Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BL-45-XT,2019-06-07T07:21:33.195Z,,,,,,,-1645797.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35846484,2018-01-01,2018-12-31,ID_2,,http://regnskaber.virk.dk/48464853/ZG9rdW1lbnRsYWdlcjovLzAzLzY1LzkxL2M2LzI2LzBjYjctNDExMC04M2FmLWJkYzFhMTgyYjk0YQ.pdf,http://regnskaber.virk.dk/48464853/ZG9rdW1lbnRsYWdlcjovLzAzLzkwLzU3L2RkLzUxLzZiYTUtNDFiZi1hNjI4LTc4ZTRkNGNkNjhkYg.xml,false,"Aabenraa, 6200",NÃ¦stmark 25,Til den daglige ledelse i EMS Kapital ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-05-28,2019-05-28,2019-06-06,35846484.0,26632315.0,mne10833,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for EMS Kapital ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Michael KjÃ¦r SÃ¸rensen,EMS Kapital ApS,"Intension, Statsautoriseret revisionsaktieselskab",Vejen,2017-01-01,2017-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Vejen, 575",2018-12-31,2018-01-01,false,2019-05-28,Aabenraa,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27438126,indberetninger-20180424,2.5124327999999996,35846484.0,AWsw0GqcRYGX6_YTIhzB,2019-06-07T07:22:08.623Z,2019-06-07T07:21:33.023Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BL-45-XT,2019-06-07T07:21:33.195Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26632315.0,"Mette  Klena, HD(R)",,
35846484,2018-01-01,2018-12-31,ID_3,,http://regnskaber.virk.dk/48464853/ZG9rdW1lbnRsYWdlcjovLzAzLzY1LzkxL2M2LzI2LzBjYjctNDExMC04M2FmLWJkYzFhMTgyYjk0YQ.pdf,http://regnskaber.virk.dk/48464853/ZG9rdW1lbnRsYWdlcjovLzAzLzkwLzU3L2RkLzUxLzZiYTUtNDFiZi1hNjI4LTc4ZTRkNGNkNjhkYg.xml,false,"Aabenraa, 6200",NÃ¦stmark 25,Til den daglige ledelse i EMS Kapital ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-05-28,2019-05-28,2019-06-06,35846484.0,26632315.0,mne10833,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for EMS Kapital ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Michael KjÃ¦r SÃ¸rensen,EMS Kapital ApS,"Intension, Statsautoriseret revisionsaktieselskab",Vejen,2017-01-01,2017-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Vejen, 575",2018-12-31,2018-01-01,false,2019-05-28,Aabenraa,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27438126,indberetninger-20180424,2.5124327999999996,35846484.0,AWsw0GqcRYGX6_YTIhzB,2019-06-07T07:22:08.623Z,2019-06-07T07:21:33.023Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BL-45-XT,2019-06-07T07:21:33.195Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Intension, Statsautoriseret revisionsaktieselskab",
35846484,2018-01-01,2018-12-31,ID_4,,http://regnskaber.virk.dk/48464853/ZG9rdW1lbnRsYWdlcjovLzAzLzY1LzkxL2M2LzI2LzBjYjctNDExMC04M2FmLWJkYzFhMTgyYjk0YQ.pdf,http://regnskaber.virk.dk/48464853/ZG9rdW1lbnRsYWdlcjovLzAzLzkwLzU3L2RkLzUxLzZiYTUtNDFiZi1hNjI4LTc4ZTRkNGNkNjhkYg.xml,false,"Aabenraa, 6200",NÃ¦stmark 25,Til den daglige ledelse i EMS Kapital ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-05-28,2019-05-28,2019-06-06,35846484.0,26632315.0,mne10833,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for EMS Kapital ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Michael KjÃ¦r SÃ¸rensen,EMS Kapital ApS,"Intension, Statsautoriseret revisionsaktieselskab",Vejen,2017-01-01,2017-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Vejen, 575",2018-12-31,2018-01-01,false,2019-05-28,Aabenraa,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27438126,indberetninger-20180424,2.5124327999999996,35846484.0,AWsw0GqcRYGX6_YTIhzB,2019-06-07T07:22:08.623Z,2019-06-07T07:21:33.023Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BL-45-XT,2019-06-07T07:21:33.195Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Michael KjÃ¦r SÃ¸rensen
