entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,HomepageOfReportingEntity,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherExternalExpenses,OtherFinanceIncomeFromGroupEnterprises,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,ReportingPeriodEndDate,ReportingPeriodStartDate,RestOfOtherFinanceExpenses,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,OtherShorttermReceivables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxPayables,ShorttermTradePayables,NameAndSurnameOfMemberOfExecutiveBoard
32653189,2016-01-01,2016-12-31,ID_4,,http://regnskaber.virk.dk/98135623/ZG9rdW1lbnRsYWdlcjovLzAzLzA3LzA1LzhiLzBkLzA3ZGYtNDZmNy05Yjk4LTAwYmMyZTJlMzkwZg.pdf,http://regnskaber.virk.dk/98135623/ZG9rdW1lbnRsYWdlcjovLzAzLzQzL2FhLzVlL2U4LzIzN2EtNGM3OC1iMDQ5LWQ0MmFlYzdlNmIwYw.xml,"BrÃ¸ndby, 2605","Park Alle 350A, 2",Til den daglige ledelse i Komplementarselskabet ZÃ¶rbig 3 ApS,"Regnskabsklasse B, mikrovirksomhed",Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-03-08,2018-03-08,2009-12-10,2018-05-14,www.momentum-gruppen.com,29198535.0,32653189.0,29198535.0,mne30144,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for Komplementarselskabet ZÃ¶rbig 3 ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jimmi Christensen,Henrik BÃ¸ker Nielsen,CR Statsautoriseret Revisionsaktieselskab,Komplementarselskabet ZÃ¶rbig 3 ApS,CR Statsautoriseret Revisionsaktieselskab,168.0,382.0,Roskilde,2016-01-01,2016-12-31,120.0,212.0,-168.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,2.0,2018-03-08,BrÃ¸ndby,92.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25559714,indberetninger-20180424,2.5118417999999996,32653189.0,AWOl9CkA0wkEsASktEb-,2018-05-28T08:54:38.744Z,2018-05-28T08:53:50.729Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AM-76-EM,2018-05-28T08:53:50.932Z,,,,,,,,,,,,,
32653189,2016-01-01,2016-12-31,ID_6,,http://regnskaber.virk.dk/98135623/ZG9rdW1lbnRsYWdlcjovLzAzLzA3LzA1LzhiLzBkLzA3ZGYtNDZmNy05Yjk4LTAwYmMyZTJlMzkwZg.pdf,http://regnskaber.virk.dk/98135623/ZG9rdW1lbnRsYWdlcjovLzAzLzQzL2FhLzVlL2U4LzIzN2EtNGM3OC1iMDQ5LWQ0MmFlYzdlNmIwYw.xml,"BrÃ¸ndby, 2605","Park Alle 350A, 2",Til den daglige ledelse i Komplementarselskabet ZÃ¶rbig 3 ApS,"Regnskabsklasse B, mikrovirksomhed",Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-03-08,2018-03-08,2009-12-10,2018-05-14,www.momentum-gruppen.com,29198535.0,32653189.0,29198535.0,mne30144,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for Komplementarselskabet ZÃ¶rbig 3 ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jimmi Christensen,Henrik BÃ¸ker Nielsen,CR Statsautoriseret Revisionsaktieselskab,Komplementarselskabet ZÃ¶rbig 3 ApS,CR Statsautoriseret Revisionsaktieselskab,,,Roskilde,2016-01-01,2016-12-31,-120.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,,2018-03-08,BrÃ¸ndby,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25559714,indberetninger-20180424,2.5118417999999996,32653189.0,AWOl9CkA0wkEsASktEb-,2018-05-28T08:54:38.744Z,2018-05-28T08:53:50.729Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AM-76-EM,2018-05-28T08:53:50.932Z,,,,,,,,,,,,,
32653189,2016-12-31,2016-12-31,ID_8,,http://regnskaber.virk.dk/98135623/ZG9rdW1lbnRsYWdlcjovLzAzLzA3LzA1LzhiLzBkLzA3ZGYtNDZmNy05Yjk4LTAwYmMyZTJlMzkwZg.pdf,http://regnskaber.virk.dk/98135623/ZG9rdW1lbnRsYWdlcjovLzAzLzQzL2FhLzVlL2U4LzIzN2EtNGM3OC1iMDQ5LWQ0MmFlYzdlNmIwYw.xml,"BrÃ¸ndby, 2605","Park Alle 350A, 2",Til den daglige ledelse i Komplementarselskabet ZÃ¶rbig 3 ApS,"Regnskabsklasse B, mikrovirksomhed",Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-03-08,2018-03-08,2009-12-10,2018-05-14,www.momentum-gruppen.com,29198535.0,32653189.0,29198535.0,mne30144,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for Komplementarselskabet ZÃ¶rbig 3 ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jimmi Christensen,Henrik BÃ¸ker Nielsen,CR Statsautoriseret Revisionsaktieselskab,Komplementarselskabet ZÃ¶rbig 3 ApS,CR Statsautoriseret Revisionsaktieselskab,,,Roskilde,2016-01-01,2016-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,,2018-03-08,BrÃ¸ndby,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25559714,indberetninger-20180424,2.5118417999999996,32653189.0,AWOl9CkA0wkEsASktEb-,2018-05-28T08:54:38.744Z,2018-05-28T08:53:50.729Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AM-76-EM,2018-05-28T08:53:50.932Z,19350.0,16750.0,19350.0,19132.0,19350.0,217.0,19350.0,2382.0,217.0,19350.0,49.0,168.0,
32653189,2017-01-01,2017-12-31,ID_0,,http://regnskaber.virk.dk/98135623/ZG9rdW1lbnRsYWdlcjovLzAzLzA3LzA1LzhiLzBkLzA3ZGYtNDZmNy05Yjk4LTAwYmMyZTJlMzkwZg.pdf,http://regnskaber.virk.dk/98135623/ZG9rdW1lbnRsYWdlcjovLzAzLzQzL2FhLzVlL2U4LzIzN2EtNGM3OC1iMDQ5LWQ0MmFlYzdlNmIwYw.xml,"BrÃ¸ndby, 2605","Park Alle 350A, 2",Til den daglige ledelse i Komplementarselskabet ZÃ¶rbig 3 ApS,"Regnskabsklasse B, mikrovirksomhed",Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-03-08,2018-03-08,2009-12-10,2018-05-14,www.momentum-gruppen.com,29198535.0,32653189.0,29198535.0,mne30144,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for Komplementarselskabet ZÃ¶rbig 3 ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jimmi Christensen,Henrik BÃ¸ker Nielsen,CR Statsautoriseret Revisionsaktieselskab,Komplementarselskabet ZÃ¶rbig 3 ApS,CR Statsautoriseret Revisionsaktieselskab,192.0,384.0,Roskilde,2016-01-01,2016-12-31,120.0,192.0,-192.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,0.0,2018-03-08,BrÃ¸ndby,72.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25559714,indberetninger-20180424,2.5118417999999996,32653189.0,AWOl9CkA0wkEsASktEb-,2018-05-28T08:54:38.744Z,2018-05-28T08:53:50.729Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AM-76-EM,2018-05-28T08:53:50.932Z,,,,,,,,,,,,,
32653189,2017-01-01,2017-12-31,ID_1,,http://regnskaber.virk.dk/98135623/ZG9rdW1lbnRsYWdlcjovLzAzLzA3LzA1LzhiLzBkLzA3ZGYtNDZmNy05Yjk4LTAwYmMyZTJlMzkwZg.pdf,http://regnskaber.virk.dk/98135623/ZG9rdW1lbnRsYWdlcjovLzAzLzQzL2FhLzVlL2U4LzIzN2EtNGM3OC1iMDQ5LWQ0MmFlYzdlNmIwYw.xml,"BrÃ¸ndby, 2605","Park Alle 350A, 2",Til den daglige ledelse i Komplementarselskabet ZÃ¶rbig 3 ApS,"Regnskabsklasse B, mikrovirksomhed",Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-03-08,2018-03-08,2009-12-10,2018-05-14,www.momentum-gruppen.com,29198535.0,32653189.0,29198535.0,mne30144,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for Komplementarselskabet ZÃ¶rbig 3 ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jimmi Christensen,Henrik BÃ¸ker Nielsen,CR Statsautoriseret Revisionsaktieselskab,Komplementarselskabet ZÃ¶rbig 3 ApS,CR Statsautoriseret Revisionsaktieselskab,,,Roskilde,2016-01-01,2016-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,,2018-03-08,BrÃ¸ndby,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25559714,indberetninger-20180424,2.5118417999999996,32653189.0,AWOl9CkA0wkEsASktEb-,2018-05-28T08:54:38.744Z,2018-05-28T08:53:50.729Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AM-76-EM,2018-05-28T08:53:50.932Z,,,,,,,,,,,,,Christian Ãster HjortshÃ¸j
32653189,2017-01-01,2017-12-31,ID_2,,http://regnskaber.virk.dk/98135623/ZG9rdW1lbnRsYWdlcjovLzAzLzA3LzA1LzhiLzBkLzA3ZGYtNDZmNy05Yjk4LTAwYmMyZTJlMzkwZg.pdf,http://regnskaber.virk.dk/98135623/ZG9rdW1lbnRsYWdlcjovLzAzLzQzL2FhLzVlL2U4LzIzN2EtNGM3OC1iMDQ5LWQ0MmFlYzdlNmIwYw.xml,"BrÃ¸ndby, 2605","Park Alle 350A, 2",Til den daglige ledelse i Komplementarselskabet ZÃ¶rbig 3 ApS,"Regnskabsklasse B, mikrovirksomhed",Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-03-08,2018-03-08,2009-12-10,2018-05-14,www.momentum-gruppen.com,29198535.0,32653189.0,29198535.0,mne30144,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for Komplementarselskabet ZÃ¶rbig 3 ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jimmi Christensen,Henrik BÃ¸ker Nielsen,CR Statsautoriseret Revisionsaktieselskab,Komplementarselskabet ZÃ¶rbig 3 ApS,CR Statsautoriseret Revisionsaktieselskab,,,Roskilde,2016-01-01,2016-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,,2018-03-08,BrÃ¸ndby,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25559714,indberetninger-20180424,2.5118417999999996,32653189.0,AWOl9CkA0wkEsASktEb-,2018-05-28T08:54:38.744Z,2018-05-28T08:53:50.729Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AM-76-EM,2018-05-28T08:53:50.932Z,,,,,,,,,,,,,
32653189,2017-01-01,2017-12-31,ID_3,,http://regnskaber.virk.dk/98135623/ZG9rdW1lbnRsYWdlcjovLzAzLzA3LzA1LzhiLzBkLzA3ZGYtNDZmNy05Yjk4LTAwYmMyZTJlMzkwZg.pdf,http://regnskaber.virk.dk/98135623/ZG9rdW1lbnRsYWdlcjovLzAzLzQzL2FhLzVlL2U4LzIzN2EtNGM3OC1iMDQ5LWQ0MmFlYzdlNmIwYw.xml,"BrÃ¸ndby, 2605","Park Alle 350A, 2",Til den daglige ledelse i Komplementarselskabet ZÃ¶rbig 3 ApS,"Regnskabsklasse B, mikrovirksomhed",Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-03-08,2018-03-08,2009-12-10,2018-05-14,www.momentum-gruppen.com,29198535.0,32653189.0,29198535.0,mne30144,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for Komplementarselskabet ZÃ¶rbig 3 ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jimmi Christensen,Henrik BÃ¸ker Nielsen,CR Statsautoriseret Revisionsaktieselskab,Komplementarselskabet ZÃ¶rbig 3 ApS,CR Statsautoriseret Revisionsaktieselskab,,,Roskilde,2016-01-01,2016-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,,2018-03-08,BrÃ¸ndby,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25559714,indberetninger-20180424,2.5118417999999996,32653189.0,AWOl9CkA0wkEsASktEb-,2018-05-28T08:54:38.744Z,2018-05-28T08:53:50.729Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AM-76-EM,2018-05-28T08:53:50.932Z,,,,,,,,,,,,,
32653189,2017-01-01,2017-12-31,ID_5,,http://regnskaber.virk.dk/98135623/ZG9rdW1lbnRsYWdlcjovLzAzLzA3LzA1LzhiLzBkLzA3ZGYtNDZmNy05Yjk4LTAwYmMyZTJlMzkwZg.pdf,http://regnskaber.virk.dk/98135623/ZG9rdW1lbnRsYWdlcjovLzAzLzQzL2FhLzVlL2U4LzIzN2EtNGM3OC1iMDQ5LWQ0MmFlYzdlNmIwYw.xml,"BrÃ¸ndby, 2605","Park Alle 350A, 2",Til den daglige ledelse i Komplementarselskabet ZÃ¶rbig 3 ApS,"Regnskabsklasse B, mikrovirksomhed",Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-03-08,2018-03-08,2009-12-10,2018-05-14,www.momentum-gruppen.com,29198535.0,32653189.0,29198535.0,mne30144,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for Komplementarselskabet ZÃ¶rbig 3 ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jimmi Christensen,Henrik BÃ¸ker Nielsen,CR Statsautoriseret Revisionsaktieselskab,Komplementarselskabet ZÃ¶rbig 3 ApS,CR Statsautoriseret Revisionsaktieselskab,,,Roskilde,2016-01-01,2016-12-31,-120.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,,2018-03-08,BrÃ¸ndby,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25559714,indberetninger-20180424,2.5118417999999996,32653189.0,AWOl9CkA0wkEsASktEb-,2018-05-28T08:54:38.744Z,2018-05-28T08:53:50.729Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AM-76-EM,2018-05-28T08:53:50.932Z,,,,,,,,,,,,,
32653189,2017-01-01,2017-12-31,ID_9,,http://regnskaber.virk.dk/98135623/ZG9rdW1lbnRsYWdlcjovLzAzLzA3LzA1LzhiLzBkLzA3ZGYtNDZmNy05Yjk4LTAwYmMyZTJlMzkwZg.pdf,http://regnskaber.virk.dk/98135623/ZG9rdW1lbnRsYWdlcjovLzAzLzQzL2FhLzVlL2U4LzIzN2EtNGM3OC1iMDQ5LWQ0MmFlYzdlNmIwYw.xml,"BrÃ¸ndby, 2605","Park Alle 350A, 2",Til den daglige ledelse i Komplementarselskabet ZÃ¶rbig 3 ApS,"Regnskabsklasse B, mikrovirksomhed",Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-03-08,2018-03-08,2009-12-10,2018-05-14,www.momentum-gruppen.com,29198535.0,32653189.0,29198535.0,mne30144,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for Komplementarselskabet ZÃ¶rbig 3 ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jimmi Christensen,Henrik BÃ¸ker Nielsen,CR Statsautoriseret Revisionsaktieselskab,Komplementarselskabet ZÃ¶rbig 3 ApS,CR Statsautoriseret Revisionsaktieselskab,,,Roskilde,2016-01-01,2016-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,,2018-03-08,BrÃ¸ndby,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25559714,indberetninger-20180424,2.5118417999999996,32653189.0,AWOl9CkA0wkEsASktEb-,2018-05-28T08:54:38.744Z,2018-05-28T08:53:50.729Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AM-76-EM,2018-05-28T08:53:50.932Z,,,,,,,,,,,,,
32653189,2017-12-31,2017-12-31,ID_7,,http://regnskaber.virk.dk/98135623/ZG9rdW1lbnRsYWdlcjovLzAzLzA3LzA1LzhiLzBkLzA3ZGYtNDZmNy05Yjk4LTAwYmMyZTJlMzkwZg.pdf,http://regnskaber.virk.dk/98135623/ZG9rdW1lbnRsYWdlcjovLzAzLzQzL2FhLzVlL2U4LzIzN2EtNGM3OC1iMDQ5LWQ0MmFlYzdlNmIwYw.xml,"BrÃ¸ndby, 2605","Park Alle 350A, 2",Til den daglige ledelse i Komplementarselskabet ZÃ¶rbig 3 ApS,"Regnskabsklasse B, mikrovirksomhed",Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2018-03-08,2018-03-08,2009-12-10,2018-05-14,www.momentum-gruppen.com,29198535.0,32653189.0,29198535.0,mne30144,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2017 - 31. december 2017 for Komplementarselskabet ZÃ¶rbig 3 ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jimmi Christensen,Henrik BÃ¸ker Nielsen,CR Statsautoriseret Revisionsaktieselskab,Komplementarselskabet ZÃ¶rbig 3 ApS,CR Statsautoriseret Revisionsaktieselskab,,,Roskilde,2016-01-01,2016-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2017-12-31,2017-01-01,,2018-03-08,BrÃ¸ndby,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25559714,indberetninger-20180424,2.5118417999999996,32653189.0,AWOl9CkA0wkEsASktEb-,2018-05-28T08:54:38.744Z,2018-05-28T08:53:50.729Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AM-76-EM,2018-05-28T08:53:50.932Z,19464.0,16750.0,19464.0,19252.0,19464.0,212.0,19464.0,2502.0,212.0,19464.0,44.0,168.0,
