entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GrossProfitLoss,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TaxExpenseOnOrdinaryActivities,TelephoneNumberOfReportingEntity,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,AverageNumberOfEmployees,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,DeferredIncomeAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,OtherShorttermPayables,RetainedEarnings,ShorttermDeferredIncome,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermTaxReceivables,NameAndSurnameOfMemberOfExecutiveBoard,TitleOfMemberOfExecutiveBoard
33145063,2017-01-01,2017-12-31,ID_10,,http://regnskaber.virk.dk/36054133/ZG9rdW1lbnRsYWdlcjovLzAzL2MxLzE2LzE4LzM1LzIzNzUtNDdiZi04NDI0LTkzZmQ2ODBkOTgwMQ.pdf,http://regnskaber.virk.dk/36054133/ZG9rdW1lbnRsYWdlcjovLzAzL2IzLzY3Lzg3L2UyLzE2ZTYtNDg2OC05ZWE1LTc3YWZhNTI1YTYwMw.xml,true,"2900, Hellerup",HÃ¸jsgÃ¥rds AllÃ© 14,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-05-07,2019-05-07,2010-08-16,2019-05-10,3451.0,105235.0,111048.0,33145063.0,26886929.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for Nightingale String Quartet ApS.,Ãrsrapport,Anette Jensen,Nightingale String Quartet ApS,Byens Revisionskontor ApS,0.0,Frederiksberg,2017-01-01,2017-12-31,1730.0,2362.0,2362.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Frederiksberg, 147",2018-12-31,2018-01-01,false,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende regnskabsÃ¥r og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",632.0,2426 6011,Ingen bistand,urn:ofk:oid:27136305,indberetninger-20180424,2.5097437,33145063.0,AWq105kTRYGX6_YTHq0_,2019-05-14T10:12:20.926Z,2019-05-14T10:11:44.153Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BD-38-EF,2019-05-14T10:11:44.286Z,,,,,,,,,,,,,,,,,,,
33145063,2017-01-01,2017-12-31,ID_12,,http://regnskaber.virk.dk/36054133/ZG9rdW1lbnRsYWdlcjovLzAzL2MxLzE2LzE4LzM1LzIzNzUtNDdiZi04NDI0LTkzZmQ2ODBkOTgwMQ.pdf,http://regnskaber.virk.dk/36054133/ZG9rdW1lbnRsYWdlcjovLzAzL2IzLzY3Lzg3L2UyLzE2ZTYtNDg2OC05ZWE1LTc3YWZhNTI1YTYwMw.xml,true,"2900, Hellerup",HÃ¸jsgÃ¥rds AllÃ© 14,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-05-07,2019-05-07,2010-08-16,2019-05-10,,,,33145063.0,26886929.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for Nightingale String Quartet ApS.,Ãrsrapport,Anette Jensen,Nightingale String Quartet ApS,Byens Revisionskontor ApS,,Frederiksberg,2017-01-01,2017-12-31,1730.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Frederiksberg, 147",2018-12-31,2018-01-01,false,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende regnskabsÃ¥r og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",,2426 6011,Ingen bistand,urn:ofk:oid:27136305,indberetninger-20180424,2.5097437,33145063.0,AWq105kTRYGX6_YTHq0_,2019-05-14T10:12:20.926Z,2019-05-14T10:11:44.153Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BD-38-EF,2019-05-14T10:11:44.286Z,,,,,,,,,,,,,,,,,,,
33145063,2017-01-01,2017-12-31,ID_9,,http://regnskaber.virk.dk/36054133/ZG9rdW1lbnRsYWdlcjovLzAzL2MxLzE2LzE4LzM1LzIzNzUtNDdiZi04NDI0LTkzZmQ2ODBkOTgwMQ.pdf,http://regnskaber.virk.dk/36054133/ZG9rdW1lbnRsYWdlcjovLzAzL2IzLzY3Lzg3L2UyLzE2ZTYtNDg2OC05ZWE1LTc3YWZhNTI1YTYwMw.xml,true,"2900, Hellerup",HÃ¸jsgÃ¥rds AllÃ© 14,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-05-07,2019-05-07,2010-08-16,2019-05-10,,,,33145063.0,26886929.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for Nightingale String Quartet ApS.,Ãrsrapport,Anette Jensen,Nightingale String Quartet ApS,Byens Revisionskontor ApS,,Frederiksberg,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Frederiksberg, 147",2018-12-31,2018-01-01,false,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende regnskabsÃ¥r og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",,2426 6011,Ingen bistand,urn:ofk:oid:27136305,indberetninger-20180424,2.5097437,33145063.0,AWq105kTRYGX6_YTHq0_,2019-05-14T10:12:20.926Z,2019-05-14T10:11:44.153Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BD-38-EF,2019-05-14T10:11:44.286Z,3.0,,,,,,,,,,,,,,,,,,
33145063,2017-12-31,2017-12-31,ID_7,,http://regnskaber.virk.dk/36054133/ZG9rdW1lbnRsYWdlcjovLzAzL2MxLzE2LzE4LzM1LzIzNzUtNDdiZi04NDI0LTkzZmQ2ODBkOTgwMQ.pdf,http://regnskaber.virk.dk/36054133/ZG9rdW1lbnRsYWdlcjovLzAzL2IzLzY3Lzg3L2UyLzE2ZTYtNDg2OC05ZWE1LTc3YWZhNTI1YTYwMw.xml,true,"2900, Hellerup",HÃ¸jsgÃ¥rds AllÃ© 14,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-05-07,2019-05-07,2010-08-16,2019-05-10,,,,33145063.0,26886929.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for Nightingale String Quartet ApS.,Ãrsrapport,Anette Jensen,Nightingale String Quartet ApS,Byens Revisionskontor ApS,,Frederiksberg,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Frederiksberg, 147",2018-12-31,2018-01-01,false,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende regnskabsÃ¥r og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",,2426 6011,Ingen bistand,urn:ofk:oid:27136305,indberetninger-20180424,2.5097437,33145063.0,AWq105kTRYGX6_YTHq0_,2019-05-14T10:12:20.926Z,2019-05-14T10:11:44.153Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BD-38-EF,2019-05-14T10:11:44.286Z,,329535.0,326661.0,80000.0,329535.0,0.0,913.0,122902.0,329535.0,206633.0,25017.0,42902.0,150000.0,206633.0,31616.0,2873.0,1960.0,,
33145063,2018-01-01,2018-12-31,ID_0,,http://regnskaber.virk.dk/36054133/ZG9rdW1lbnRsYWdlcjovLzAzL2MxLzE2LzE4LzM1LzIzNzUtNDdiZi04NDI0LTkzZmQ2ODBkOTgwMQ.pdf,http://regnskaber.virk.dk/36054133/ZG9rdW1lbnRsYWdlcjovLzAzL2IzLzY3Lzg3L2UyLzE2ZTYtNDg2OC05ZWE1LTc3YWZhNTI1YTYwMw.xml,true,"2900, Hellerup",HÃ¸jsgÃ¥rds AllÃ© 14,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-05-07,2019-05-07,2010-08-16,2019-05-10,,,,33145063.0,26886929.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for Nightingale String Quartet ApS.,Ãrsrapport,Anette Jensen,Nightingale String Quartet ApS,Byens Revisionskontor ApS,,Frederiksberg,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Frederiksberg, 147",2018-12-31,2018-01-01,false,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende regnskabsÃ¥r og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",,2426 6011,Ingen bistand,urn:ofk:oid:27136305,indberetninger-20180424,2.5097437,33145063.0,AWq105kTRYGX6_YTHq0_,2019-05-14T10:12:20.926Z,2019-05-14T10:11:44.153Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BD-38-EF,2019-05-14T10:11:44.286Z,,,,,,,,,,,,,,,,,,Gunvor Sihm,DirektÃ¸r
33145063,2018-01-01,2018-12-31,ID_1,,http://regnskaber.virk.dk/36054133/ZG9rdW1lbnRsYWdlcjovLzAzL2MxLzE2LzE4LzM1LzIzNzUtNDdiZi04NDI0LTkzZmQ2ODBkOTgwMQ.pdf,http://regnskaber.virk.dk/36054133/ZG9rdW1lbnRsYWdlcjovLzAzL2IzLzY3Lzg3L2UyLzE2ZTYtNDg2OC05ZWE1LTc3YWZhNTI1YTYwMw.xml,true,"2900, Hellerup",HÃ¸jsgÃ¥rds AllÃ© 14,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-05-07,2019-05-07,2010-08-16,2019-05-10,,,,33145063.0,26886929.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for Nightingale String Quartet ApS.,Ãrsrapport,Anette Jensen,Nightingale String Quartet ApS,Byens Revisionskontor ApS,,Frederiksberg,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Frederiksberg, 147",2018-12-31,2018-01-01,false,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende regnskabsÃ¥r og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",,2426 6011,Ingen bistand,urn:ofk:oid:27136305,indberetninger-20180424,2.5097437,33145063.0,AWq105kTRYGX6_YTHq0_,2019-05-14T10:12:20.926Z,2019-05-14T10:11:44.153Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BD-38-EF,2019-05-14T10:11:44.286Z,,,,,,,,,,,,,,,,,,,
33145063,2018-01-01,2018-12-31,ID_11,,http://regnskaber.virk.dk/36054133/ZG9rdW1lbnRsYWdlcjovLzAzL2MxLzE2LzE4LzM1LzIzNzUtNDdiZi04NDI0LTkzZmQ2ODBkOTgwMQ.pdf,http://regnskaber.virk.dk/36054133/ZG9rdW1lbnRsYWdlcjovLzAzL2IzLzY3Lzg3L2UyLzE2ZTYtNDg2OC05ZWE1LTc3YWZhNTI1YTYwMw.xml,true,"2900, Hellerup",HÃ¸jsgÃ¥rds AllÃ© 14,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-05-07,2019-05-07,2010-08-16,2019-05-10,,,,33145063.0,26886929.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for Nightingale String Quartet ApS.,Ãrsrapport,Anette Jensen,Nightingale String Quartet ApS,Byens Revisionskontor ApS,,Frederiksberg,2017-01-01,2017-12-31,-19567.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Frederiksberg, 147",2018-12-31,2018-01-01,false,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende regnskabsÃ¥r og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",,2426 6011,Ingen bistand,urn:ofk:oid:27136305,indberetninger-20180424,2.5097437,33145063.0,AWq105kTRYGX6_YTHq0_,2019-05-14T10:12:20.926Z,2019-05-14T10:11:44.153Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BD-38-EF,2019-05-14T10:11:44.286Z,,,,,,,,,,,,,,,,,,,
33145063,2018-01-01,2018-12-31,ID_2,,http://regnskaber.virk.dk/36054133/ZG9rdW1lbnRsYWdlcjovLzAzL2MxLzE2LzE4LzM1LzIzNzUtNDdiZi04NDI0LTkzZmQ2ODBkOTgwMQ.pdf,http://regnskaber.virk.dk/36054133/ZG9rdW1lbnRsYWdlcjovLzAzL2IzLzY3Lzg3L2UyLzE2ZTYtNDg2OC05ZWE1LTc3YWZhNTI1YTYwMw.xml,true,"2900, Hellerup",HÃ¸jsgÃ¥rds AllÃ© 14,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-05-07,2019-05-07,2010-08-16,2019-05-10,,,,33145063.0,26886929.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for Nightingale String Quartet ApS.,Ãrsrapport,Anette Jensen,Nightingale String Quartet ApS,Byens Revisionskontor ApS,,Frederiksberg,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Frederiksberg, 147",2018-12-31,2018-01-01,false,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende regnskabsÃ¥r og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",,2426 6011,Ingen bistand,urn:ofk:oid:27136305,indberetninger-20180424,2.5097437,33145063.0,AWq105kTRYGX6_YTHq0_,2019-05-14T10:12:20.926Z,2019-05-14T10:11:44.153Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BD-38-EF,2019-05-14T10:11:44.286Z,,,,,,,,,,,,,,,,,,Josefine Dalsgaard,DirektÃ¸r
33145063,2018-01-01,2018-12-31,ID_3,,http://regnskaber.virk.dk/36054133/ZG9rdW1lbnRsYWdlcjovLzAzL2MxLzE2LzE4LzM1LzIzNzUtNDdiZi04NDI0LTkzZmQ2ODBkOTgwMQ.pdf,http://regnskaber.virk.dk/36054133/ZG9rdW1lbnRsYWdlcjovLzAzL2IzLzY3Lzg3L2UyLzE2ZTYtNDg2OC05ZWE1LTc3YWZhNTI1YTYwMw.xml,true,"2900, Hellerup",HÃ¸jsgÃ¥rds AllÃ© 14,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-05-07,2019-05-07,2010-08-16,2019-05-10,,,,33145063.0,26886929.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for Nightingale String Quartet ApS.,Ãrsrapport,Anette Jensen,Nightingale String Quartet ApS,Byens Revisionskontor ApS,,Frederiksberg,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Frederiksberg, 147",2018-12-31,2018-01-01,false,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende regnskabsÃ¥r og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",,2426 6011,Ingen bistand,urn:ofk:oid:27136305,indberetninger-20180424,2.5097437,33145063.0,AWq105kTRYGX6_YTHq0_,2019-05-14T10:12:20.926Z,2019-05-14T10:11:44.153Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BD-38-EF,2019-05-14T10:11:44.286Z,,,,,,,,,,,,,,,,,,Louisa Schwab,DirektÃ¸r
33145063,2018-01-01,2018-12-31,ID_4,,http://regnskaber.virk.dk/36054133/ZG9rdW1lbnRsYWdlcjovLzAzL2MxLzE2LzE4LzM1LzIzNzUtNDdiZi04NDI0LTkzZmQ2ODBkOTgwMQ.pdf,http://regnskaber.virk.dk/36054133/ZG9rdW1lbnRsYWdlcjovLzAzL2IzLzY3Lzg3L2UyLzE2ZTYtNDg2OC05ZWE1LTc3YWZhNTI1YTYwMw.xml,true,"2900, Hellerup",HÃ¸jsgÃ¥rds AllÃ© 14,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-05-07,2019-05-07,2010-08-16,2019-05-10,,,,33145063.0,26886929.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for Nightingale String Quartet ApS.,Ãrsrapport,Anette Jensen,Nightingale String Quartet ApS,Byens Revisionskontor ApS,,Frederiksberg,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Frederiksberg, 147",2018-12-31,2018-01-01,false,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende regnskabsÃ¥r og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",,2426 6011,Ingen bistand,urn:ofk:oid:27136305,indberetninger-20180424,2.5097437,33145063.0,AWq105kTRYGX6_YTHq0_,2019-05-14T10:12:20.926Z,2019-05-14T10:11:44.153Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BD-38-EF,2019-05-14T10:11:44.286Z,,,,,,,,,,,,,,,,,,Marie Louise Broholt Jensen,DirektÃ¸r
