entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfFinancialDistrictName,AddressOfFinancialStreetName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,CurrentTaxExpense,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DividendIncomeRelatedToInvestments,DividendPaid,ExternalExpenses,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,IncreaseDecreaseOfInvestmentsThroughTransfers,InformationOnTypeOfSubmittedReport,InterestIncomeFromGroupEnterprises,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,OtherInterestIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ProfitLossRelatedToInvestments,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,TaxExpenseOnOrdinaryActivities,TransferRevaluationOfInvestments,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,NumberOfEmployees,OtherShorttermInvestments,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,AccumulatedRevaluationsOfInvestments,InvestmentsGross,AdditionsToDisposalsOfEquityThroughMergersAndBusinessCombinations
32082203,2015-10-01,2016-09-30,c347,,http://regnskaber.virk.dk/30228023/ZG9rdW1lbnRsYWdlcjovLzAzLzFkLzE0LzExLzBiL2Y5ODktNGQxMy1hNDFhLTcxZmExNTAyMzE4ZQ.pdf,http://regnskaber.virk.dk/30228023/ZG9rdW1lbnRsYWdlcjovLzAzLzRlLzc3L2ZiLzAzL2YzOGYtNDk2Ni05YjNlLWIzNDEwMjliNmQwOQ.xml,true,8100  Ãrhus C,Ãboulevarden 69,8660 Skanderborg,Slotsholmen 2,8660 Skanderborg,Slotsholmen 2,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,77990.0,2017-10-01,2009-01-15,2017-10-01,-1500000.0,-100000.0,2315.0,32082203.0,32082203.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for HOLDINGSELSKABET SPE AF 15/1 2009 APS.,190038.0,-2492768.0,Ãrsrapport,16974.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.","Dirigent, Steen Pedersen",Steen Pedersen,Den Danske Bank,HOLDINGSELSKABET SPE AF 15/1 2009 APS,HOLDINGSELSKABET SPE AF 15/1 2009 APS,3026.0,354639.0,337665.0,Skanderborg,2015-10-01,2016-09-30,461346.0,539336.0,187723.0,176298.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Skanderborg,2017-09-30,2016-10-01,true,77990.0,2492768.0,Ingen bistand,urn:ofk:oid:24560959,indberetninger-20180424,2.5116906,32082203.0,,2018-03-27T10:32:55.254Z,2017-10-04T07:43:42.934Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-AY-16-VM,2017-10-04T07:43:43.054Z,,,,,,,,,,,,,,,,,,,,,
32082203,2015-10-01,2016-09-30,c350,,http://regnskaber.virk.dk/30228023/ZG9rdW1lbnRsYWdlcjovLzAzLzFkLzE0LzExLzBiL2Y5ODktNGQxMy1hNDFhLTcxZmExNTAyMzE4ZQ.pdf,http://regnskaber.virk.dk/30228023/ZG9rdW1lbnRsYWdlcjovLzAzLzRlLzc3L2ZiLzAzL2YzOGYtNDk2Ni05YjNlLWIzNDEwMjliNmQwOQ.xml,true,8100  Ãrhus C,Ãboulevarden 69,8660 Skanderborg,Slotsholmen 2,8660 Skanderborg,Slotsholmen 2,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2017-10-01,2009-01-15,2017-10-01,-1500000.0,-100000.0,,32082203.0,32082203.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for HOLDINGSELSKABET SPE AF 15/1 2009 APS.,,-2492768.0,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.","Dirigent, Steen Pedersen",Steen Pedersen,Den Danske Bank,HOLDINGSELSKABET SPE AF 15/1 2009 APS,HOLDINGSELSKABET SPE AF 15/1 2009 APS,,,,Skanderborg,2015-10-01,2016-09-30,100000.0,,,176298.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Skanderborg,2017-09-30,2016-10-01,true,,2492768.0,Ingen bistand,urn:ofk:oid:24560959,indberetninger-20180424,2.5116906,32082203.0,,2018-03-27T10:32:55.254Z,2017-10-04T07:43:42.934Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-AY-16-VM,2017-10-04T07:43:43.054Z,,,,,,,,,,,,,,,,,,,,,
32082203,2015-10-01,2016-09-30,c368,,http://regnskaber.virk.dk/30228023/ZG9rdW1lbnRsYWdlcjovLzAzLzFkLzE0LzExLzBiL2Y5ODktNGQxMy1hNDFhLTcxZmExNTAyMzE4ZQ.pdf,http://regnskaber.virk.dk/30228023/ZG9rdW1lbnRsYWdlcjovLzAzLzRlLzc3L2ZiLzAzL2YzOGYtNDk2Ni05YjNlLWIzNDEwMjliNmQwOQ.xml,true,8100  Ãrhus C,Ãboulevarden 69,8660 Skanderborg,Slotsholmen 2,8660 Skanderborg,Slotsholmen 2,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2017-10-01,2009-01-15,2017-10-01,-1500000.0,-100000.0,,32082203.0,32082203.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for HOLDINGSELSKABET SPE AF 15/1 2009 APS.,,-2492768.0,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.","Dirigent, Steen Pedersen",Steen Pedersen,Den Danske Bank,HOLDINGSELSKABET SPE AF 15/1 2009 APS,HOLDINGSELSKABET SPE AF 15/1 2009 APS,,,,Skanderborg,2015-10-01,2016-09-30,361346.0,,,176298.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Skanderborg,2017-09-30,2016-10-01,true,,2492768.0,Ingen bistand,urn:ofk:oid:24560959,indberetninger-20180424,2.5116906,32082203.0,,2018-03-27T10:32:55.254Z,2017-10-04T07:43:42.934Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-AY-16-VM,2017-10-04T07:43:43.054Z,,,,,,,,,,,,,,,,,,,,,
32082203,2016-09-30,2016-09-30,c398,,http://regnskaber.virk.dk/30228023/ZG9rdW1lbnRsYWdlcjovLzAzLzFkLzE0LzExLzBiL2Y5ODktNGQxMy1hNDFhLTcxZmExNTAyMzE4ZQ.pdf,http://regnskaber.virk.dk/30228023/ZG9rdW1lbnRsYWdlcjovLzAzLzRlLzc3L2ZiLzAzL2YzOGYtNDk2Ni05YjNlLWIzNDEwMjliNmQwOQ.xml,true,8100  Ãrhus C,Ãboulevarden 69,8660 Skanderborg,Slotsholmen 2,8660 Skanderborg,Slotsholmen 2,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2017-10-01,2009-01-15,2017-10-01,-1500000.0,-100000.0,,32082203.0,32082203.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for HOLDINGSELSKABET SPE AF 15/1 2009 APS.,,-2492768.0,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.","Dirigent, Steen Pedersen",Steen Pedersen,Den Danske Bank,HOLDINGSELSKABET SPE AF 15/1 2009 APS,HOLDINGSELSKABET SPE AF 15/1 2009 APS,,,,Skanderborg,2015-10-01,2016-09-30,,,,176298.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Skanderborg,2017-09-30,2016-10-01,true,,2492768.0,Ingen bistand,urn:ofk:oid:24560959,indberetninger-20180424,2.5116906,32082203.0,,2018-03-27T10:32:55.254Z,2017-10-04T07:43:42.934Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-AY-16-VM,2017-10-04T07:43:43.054Z,5735546.0,26261.0,269250.0,5639904.0,5735546.0,95642.0,1731666.0,1731666.0,1731666.0,1.0,3292192.0,100000.0,5270654.0,3292192.0,95642.0,685427.0,685427.0,95642.0,,,
32082203,2016-10-01,2016-10-01,c401,,http://regnskaber.virk.dk/30228023/ZG9rdW1lbnRsYWdlcjovLzAzLzFkLzE0LzExLzBiL2Y5ODktNGQxMy1hNDFhLTcxZmExNTAyMzE4ZQ.pdf,http://regnskaber.virk.dk/30228023/ZG9rdW1lbnRsYWdlcjovLzAzLzRlLzc3L2ZiLzAzL2YzOGYtNDk2Ni05YjNlLWIzNDEwMjliNmQwOQ.xml,true,8100  Ãrhus C,Ãboulevarden 69,8660 Skanderborg,Slotsholmen 2,8660 Skanderborg,Slotsholmen 2,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2017-10-01,2009-01-15,2017-10-01,-1500000.0,-100000.0,,32082203.0,32082203.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for HOLDINGSELSKABET SPE AF 15/1 2009 APS.,,-2492768.0,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.","Dirigent, Steen Pedersen",Steen Pedersen,Den Danske Bank,HOLDINGSELSKABET SPE AF 15/1 2009 APS,HOLDINGSELSKABET SPE AF 15/1 2009 APS,,,,Skanderborg,2015-10-01,2016-09-30,,,,176298.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Skanderborg,2017-09-30,2016-10-01,true,,2492768.0,Ingen bistand,urn:ofk:oid:24560959,indberetninger-20180424,2.5116906,32082203.0,,2018-03-27T10:32:55.254Z,2017-10-04T07:43:42.934Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-AY-16-VM,2017-10-04T07:43:43.054Z,,,,269250.0,,,,,,,,,,,,,,,,,
32082203,2016-10-01,2016-10-01,c428,,http://regnskaber.virk.dk/30228023/ZG9rdW1lbnRsYWdlcjovLzAzLzFkLzE0LzExLzBiL2Y5ODktNGQxMy1hNDFhLTcxZmExNTAyMzE4ZQ.pdf,http://regnskaber.virk.dk/30228023/ZG9rdW1lbnRsYWdlcjovLzAzLzRlLzc3L2ZiLzAzL2YzOGYtNDk2Ni05YjNlLWIzNDEwMjliNmQwOQ.xml,true,8100  Ãrhus C,Ãboulevarden 69,8660 Skanderborg,Slotsholmen 2,8660 Skanderborg,Slotsholmen 2,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2017-10-01,2009-01-15,2017-10-01,-1500000.0,-100000.0,,32082203.0,32082203.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for HOLDINGSELSKABET SPE AF 15/1 2009 APS.,,-2492768.0,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.","Dirigent, Steen Pedersen",Steen Pedersen,Den Danske Bank,HOLDINGSELSKABET SPE AF 15/1 2009 APS,HOLDINGSELSKABET SPE AF 15/1 2009 APS,,,,Skanderborg,2015-10-01,2016-09-30,,,,176298.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Skanderborg,2017-09-30,2016-10-01,true,,2492768.0,Ingen bistand,urn:ofk:oid:24560959,indberetninger-20180424,2.5116906,32082203.0,,2018-03-27T10:32:55.254Z,2017-10-04T07:43:42.934Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-AY-16-VM,2017-10-04T07:43:43.054Z,,,,5270655.0,,,,,,,,,,,,,,,,,
32082203,2016-10-01,2016-10-01,c432,,http://regnskaber.virk.dk/30228023/ZG9rdW1lbnRsYWdlcjovLzAzLzFkLzE0LzExLzBiL2Y5ODktNGQxMy1hNDFhLTcxZmExNTAyMzE4ZQ.pdf,http://regnskaber.virk.dk/30228023/ZG9rdW1lbnRsYWdlcjovLzAzLzRlLzc3L2ZiLzAzL2YzOGYtNDk2Ni05YjNlLWIzNDEwMjliNmQwOQ.xml,true,8100  Ãrhus C,Ãboulevarden 69,8660 Skanderborg,Slotsholmen 2,8660 Skanderborg,Slotsholmen 2,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2017-10-01,2009-01-15,2017-10-01,-1500000.0,-100000.0,,32082203.0,32082203.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for HOLDINGSELSKABET SPE AF 15/1 2009 APS.,,-2492768.0,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.","Dirigent, Steen Pedersen",Steen Pedersen,Den Danske Bank,HOLDINGSELSKABET SPE AF 15/1 2009 APS,HOLDINGSELSKABET SPE AF 15/1 2009 APS,,,,Skanderborg,2015-10-01,2016-09-30,,,,176298.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Skanderborg,2017-09-30,2016-10-01,true,,2492768.0,Ingen bistand,urn:ofk:oid:24560959,indberetninger-20180424,2.5116906,32082203.0,,2018-03-27T10:32:55.254Z,2017-10-04T07:43:42.934Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-AY-16-VM,2017-10-04T07:43:43.054Z,,,,100000.0,,,,,,,,,,,,,,,,,
32082203,2016-10-01,2016-10-01,c736,,http://regnskaber.virk.dk/30228023/ZG9rdW1lbnRsYWdlcjovLzAzLzFkLzE0LzExLzBiL2Y5ODktNGQxMy1hNDFhLTcxZmExNTAyMzE4ZQ.pdf,http://regnskaber.virk.dk/30228023/ZG9rdW1lbnRsYWdlcjovLzAzLzRlLzc3L2ZiLzAzL2YzOGYtNDk2Ni05YjNlLWIzNDEwMjliNmQwOQ.xml,true,8100  Ãrhus C,Ãboulevarden 69,8660 Skanderborg,Slotsholmen 2,8660 Skanderborg,Slotsholmen 2,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2017-10-01,2009-01-15,2017-10-01,-1500000.0,-100000.0,,32082203.0,32082203.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for HOLDINGSELSKABET SPE AF 15/1 2009 APS.,,-2492768.0,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.","Dirigent, Steen Pedersen",Steen Pedersen,Den Danske Bank,HOLDINGSELSKABET SPE AF 15/1 2009 APS,HOLDINGSELSKABET SPE AF 15/1 2009 APS,,,,Skanderborg,2015-10-01,2016-09-30,,,,176298.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Skanderborg,2017-09-30,2016-10-01,true,,2492768.0,Ingen bistand,urn:ofk:oid:24560959,indberetninger-20180424,2.5116906,32082203.0,,2018-03-27T10:32:55.254Z,2017-10-04T07:43:42.934Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-AY-16-VM,2017-10-04T07:43:43.054Z,,,,,,,,,,,,,,,,,,,-1169066.0,2900732.0,
32082203,2016-10-01,2017-09-30,c0,,http://regnskaber.virk.dk/30228023/ZG9rdW1lbnRsYWdlcjovLzAzLzFkLzE0LzExLzBiL2Y5ODktNGQxMy1hNDFhLTcxZmExNTAyMzE4ZQ.pdf,http://regnskaber.virk.dk/30228023/ZG9rdW1lbnRsYWdlcjovLzAzLzRlLzc3L2ZiLzAzL2YzOGYtNDk2Ni05YjNlLWIzNDEwMjliNmQwOQ.xml,true,8100  Ãrhus C,Ãboulevarden 69,8660 Skanderborg,Slotsholmen 2,8660 Skanderborg,Slotsholmen 2,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,180070.0,2017-10-01,2009-01-15,2017-10-01,-1500000.0,-100000.0,505.0,32082203.0,32082203.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for HOLDINGSELSKABET SPE AF 15/1 2009 APS.,176298.0,-2492768.0,Ãrsrapport,29800.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.","Dirigent, Steen Pedersen",Steen Pedersen,Den Danske Bank,HOLDINGSELSKABET SPE AF 15/1 2009 APS,HOLDINGSELSKABET SPE AF 15/1 2009 APS,0.0,819048.0,789248.0,Skanderborg,2015-10-01,2016-09-30,814771.0,994841.0,175793.0,176298.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Skanderborg,2017-09-30,2016-10-01,true,180070.0,2492768.0,Ingen bistand,urn:ofk:oid:24560959,indberetninger-20180424,2.5116906,32082203.0,,2018-03-27T10:32:55.254Z,2017-10-04T07:43:42.934Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-AY-16-VM,2017-10-04T07:43:43.054Z,,,,,,,,,,,,,,,,,,,,,
32082203,2016-10-01,2017-09-30,c2,,http://regnskaber.virk.dk/30228023/ZG9rdW1lbnRsYWdlcjovLzAzLzFkLzE0LzExLzBiL2Y5ODktNGQxMy1hNDFhLTcxZmExNTAyMzE4ZQ.pdf,http://regnskaber.virk.dk/30228023/ZG9rdW1lbnRsYWdlcjovLzAzLzRlLzc3L2ZiLzAzL2YzOGYtNDk2Ni05YjNlLWIzNDEwMjliNmQwOQ.xml,true,8100  Ãrhus C,Ãboulevarden 69,8660 Skanderborg,Slotsholmen 2,8660 Skanderborg,Slotsholmen 2,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",Direktionen anser fortsat betingelserne for at undlade revision for opfyldte.,,2017-10-01,2009-01-15,2017-10-01,-1500000.0,-100000.0,,32082203.0,32082203.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017 for HOLDINGSELSKABET SPE AF 15/1 2009 APS.,,-2492768.0,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.","Dirigent, Steen Pedersen",Steen Pedersen,Den Danske Bank,HOLDINGSELSKABET SPE AF 15/1 2009 APS,HOLDINGSELSKABET SPE AF 15/1 2009 APS,,,,Skanderborg,2015-10-01,2016-09-30,,,,176298.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Skanderborg,2017-09-30,2016-10-01,true,,2492768.0,Ingen bistand,urn:ofk:oid:24560959,indberetninger-20180424,2.5116906,32082203.0,,2018-03-27T10:32:55.254Z,2017-10-04T07:43:42.934Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-AY-16-VM,2017-10-04T07:43:43.054Z,,,,,,,,,,,,,,,,,,,,,
