entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AuditorsReportsOtherReports,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DescriptionOfAuditor,EmployeeBenefitsExpense,GrossProfitLoss,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberOfAuditor,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TaxExpense,TelephoneNumberOfReportingEntity,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,ContributedCapital,CurrentAssets,Equity,Inventories,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,ManufacturedGoodsAndGoodsForResale,OtherShorttermPayables,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermDebtToBanks,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxPayables,ShorttermTaxReceivables,ShorttermTradePayables
27969852,2016-07-01,2017-06-30,c3,http://regnskaber.virk.dk/25896972/ZG9rdW1lbnRsYWdlcjovLzAzLzdmLzUyL2ZiLzQ3LzNhZTMtNDI0OC1iMDgzLTQ4NDE4M2NmZDc0NA.xhtml,http://regnskaber.virk.dk/25896972/ZG9rdW1lbnRsYWdlcjovLzAzLzE3L2E0LzU5L2ZlL2I1ZmEtNDMxNi04NThmLWIyZGZiZDBhOGRiZQ.pdf,http://regnskaber.virk.dk/25896972/ZG9rdW1lbnRsYWdlcjovLzAzLzAzL2NhL2FmLzBhL2M0YzktNGRlZi1iYzMyLWM5MDZmZDc5MDQ3NA.xml,true,Greve,2670.0,20.0,Mosede Strandvej,2600 Glostrup,"Smedeland 13, 1.",Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-08-14,2018-08-28,Registreret revisor,544876.0,731319.0,15553782.0,27969852.0,mne2542,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Benny Klitbo,Benny Klitbo,Jesper Andersen,Multi Revision ApS,ALPHA AUTO ApS,Multi Revision ApS,10743.0,Karlslunde,2016-07-01,2017-06-30,153824.0,197186.0,186443.0,2018-06-30,2017-07-01,false,false,2018-08-14,Glostrup,Ja.,43362.0,43441129.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26066508,indberetninger-20180424,2.59262,27969852.0,AWWApa7B5OzuYdPkEhpm,2018-08-28T13:08:18.792Z,2018-08-28T13:07:44.516Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-AV-73-YX,2018-08-28T13:07:44.975Z,,,,,,,,,,,,,,,,,
27969852,2016-07-01,2017-06-30,c5,http://regnskaber.virk.dk/25896972/ZG9rdW1lbnRsYWdlcjovLzAzLzdmLzUyL2ZiLzQ3LzNhZTMtNDI0OC1iMDgzLTQ4NDE4M2NmZDc0NA.xhtml,http://regnskaber.virk.dk/25896972/ZG9rdW1lbnRsYWdlcjovLzAzLzE3L2E0LzU5L2ZlL2I1ZmEtNDMxNi04NThmLWIyZGZiZDBhOGRiZQ.pdf,http://regnskaber.virk.dk/25896972/ZG9rdW1lbnRsYWdlcjovLzAzLzAzL2NhL2FmLzBhL2M0YzktNGRlZi1iYzMyLWM5MDZmZDc5MDQ3NA.xml,true,Greve,2670.0,20.0,Mosede Strandvej,2600 Glostrup,"Smedeland 13, 1.",Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-08-14,2018-08-28,Registreret revisor,,,15553782.0,27969852.0,mne2542,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Benny Klitbo,Benny Klitbo,Jesper Andersen,Multi Revision ApS,ALPHA AUTO ApS,Multi Revision ApS,,Karlslunde,2016-07-01,2017-06-30,51700.0,,,2018-06-30,2017-07-01,false,false,2018-08-14,Glostrup,Ja.,,43441129.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26066508,indberetninger-20180424,2.59262,27969852.0,AWWApa7B5OzuYdPkEhpm,2018-08-28T13:08:18.792Z,2018-08-28T13:07:44.516Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-AV-73-YX,2018-08-28T13:07:44.975Z,,,,,,,,,,,,,,,,,
27969852,2016-07-01,2017-06-30,c7,http://regnskaber.virk.dk/25896972/ZG9rdW1lbnRsYWdlcjovLzAzLzdmLzUyL2ZiLzQ3LzNhZTMtNDI0OC1iMDgzLTQ4NDE4M2NmZDc0NA.xhtml,http://regnskaber.virk.dk/25896972/ZG9rdW1lbnRsYWdlcjovLzAzLzE3L2E0LzU5L2ZlL2I1ZmEtNDMxNi04NThmLWIyZGZiZDBhOGRiZQ.pdf,http://regnskaber.virk.dk/25896972/ZG9rdW1lbnRsYWdlcjovLzAzLzAzL2NhL2FmLzBhL2M0YzktNGRlZi1iYzMyLWM5MDZmZDc5MDQ3NA.xml,true,Greve,2670.0,20.0,Mosede Strandvej,2600 Glostrup,"Smedeland 13, 1.",Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-08-14,2018-08-28,Registreret revisor,,,15553782.0,27969852.0,mne2542,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Benny Klitbo,Benny Klitbo,Jesper Andersen,Multi Revision ApS,ALPHA AUTO ApS,Multi Revision ApS,,Karlslunde,2016-07-01,2017-06-30,102124.0,,,2018-06-30,2017-07-01,false,false,2018-08-14,Glostrup,Ja.,,43441129.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26066508,indberetninger-20180424,2.59262,27969852.0,AWWApa7B5OzuYdPkEhpm,2018-08-28T13:08:18.792Z,2018-08-28T13:07:44.516Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-AV-73-YX,2018-08-28T13:07:44.975Z,,,,,,,,,,,,,,,,,
27969852,2017-06-30,2017-06-30,c9,http://regnskaber.virk.dk/25896972/ZG9rdW1lbnRsYWdlcjovLzAzLzdmLzUyL2ZiLzQ3LzNhZTMtNDI0OC1iMDgzLTQ4NDE4M2NmZDc0NA.xhtml,http://regnskaber.virk.dk/25896972/ZG9rdW1lbnRsYWdlcjovLzAzLzE3L2E0LzU5L2ZlL2I1ZmEtNDMxNi04NThmLWIyZGZiZDBhOGRiZQ.pdf,http://regnskaber.virk.dk/25896972/ZG9rdW1lbnRsYWdlcjovLzAzLzAzL2NhL2FmLzBhL2M0YzktNGRlZi1iYzMyLWM5MDZmZDc5MDQ3NA.xml,true,Greve,2670.0,20.0,Mosede Strandvej,2600 Glostrup,"Smedeland 13, 1.",Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-08-14,2018-08-28,Registreret revisor,,,15553782.0,27969852.0,mne2542,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Benny Klitbo,Benny Klitbo,Jesper Andersen,Multi Revision ApS,ALPHA AUTO ApS,Multi Revision ApS,,Karlslunde,2016-07-01,2017-06-30,,,,2018-06-30,2017-07-01,false,false,2018-08-14,Glostrup,Ja.,,43441129.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26066508,indberetninger-20180424,2.59262,27969852.0,AWWApa7B5OzuYdPkEhpm,2018-08-28T13:08:18.792Z,2018-08-28T13:07:44.516Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-AV-73-YX,2018-08-28T13:07:44.975Z,2308000.0,125000.0,2308000.0,1172141.0,2308000.0,2308000.0,1135859.0,2308000.0,772956.0,51700.0,995441.0,330888.0,1135859.0,0.0,32015.0,0.0,0.0
27969852,2017-07-01,2018-06-30,c0,http://regnskaber.virk.dk/25896972/ZG9rdW1lbnRsYWdlcjovLzAzLzdmLzUyL2ZiLzQ3LzNhZTMtNDI0OC1iMDgzLTQ4NDE4M2NmZDc0NA.xhtml,http://regnskaber.virk.dk/25896972/ZG9rdW1lbnRsYWdlcjovLzAzLzE3L2E0LzU5L2ZlL2I1ZmEtNDMxNi04NThmLWIyZGZiZDBhOGRiZQ.pdf,http://regnskaber.virk.dk/25896972/ZG9rdW1lbnRsYWdlcjovLzAzLzAzL2NhL2FmLzBhL2M0YzktNGRlZi1iYzMyLWM5MDZmZDc5MDQ3NA.xml,true,Greve,2670.0,20.0,Mosede Strandvej,2600 Glostrup,"Smedeland 13, 1.",Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-08-14,2018-08-28,Registreret revisor,544361.0,609918.0,15553782.0,27969852.0,mne2542,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Benny Klitbo,Benny Klitbo,Jesper Andersen,Multi Revision ApS,ALPHA AUTO ApS,Multi Revision ApS,-33743.0,Karlslunde,2016-07-01,2017-06-30,24333.0,31814.0,65557.0,2018-06-30,2017-07-01,false,false,2018-08-14,Glostrup,Ja.,7481.0,43441129.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26066508,indberetninger-20180424,2.59262,27969852.0,AWWApa7B5OzuYdPkEhpm,2018-08-28T13:08:18.792Z,2018-08-28T13:07:44.516Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-AV-73-YX,2018-08-28T13:07:44.975Z,,,,,,,,,,,,,,,,,
27969852,2017-07-01,2018-06-30,c1,http://regnskaber.virk.dk/25896972/ZG9rdW1lbnRsYWdlcjovLzAzLzdmLzUyL2ZiLzQ3LzNhZTMtNDI0OC1iMDgzLTQ4NDE4M2NmZDc0NA.xhtml,http://regnskaber.virk.dk/25896972/ZG9rdW1lbnRsYWdlcjovLzAzLzE3L2E0LzU5L2ZlL2I1ZmEtNDMxNi04NThmLWIyZGZiZDBhOGRiZQ.pdf,http://regnskaber.virk.dk/25896972/ZG9rdW1lbnRsYWdlcjovLzAzLzAzL2NhL2FmLzBhL2M0YzktNGRlZi1iYzMyLWM5MDZmZDc5MDQ3NA.xml,true,Greve,2670.0,20.0,Mosede Strandvej,2600 Glostrup,"Smedeland 13, 1.",Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-08-14,2018-08-28,Registreret revisor,,,15553782.0,27969852.0,mne2542,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Benny Klitbo,Benny Klitbo,Jesper Andersen,Multi Revision ApS,ALPHA AUTO ApS,Multi Revision ApS,,Karlslunde,2016-07-01,2017-06-30,,,,2018-06-30,2017-07-01,false,false,2018-08-14,Glostrup,Ja.,,43441129.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26066508,indberetninger-20180424,2.59262,27969852.0,AWWApa7B5OzuYdPkEhpm,2018-08-28T13:08:18.792Z,2018-08-28T13:07:44.516Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-AV-73-YX,2018-08-28T13:07:44.975Z,,,,,,,,,,,,,,,,,
27969852,2017-07-01,2018-06-30,c2,http://regnskaber.virk.dk/25896972/ZG9rdW1lbnRsYWdlcjovLzAzLzdmLzUyL2ZiLzQ3LzNhZTMtNDI0OC1iMDgzLTQ4NDE4M2NmZDc0NA.xhtml,http://regnskaber.virk.dk/25896972/ZG9rdW1lbnRsYWdlcjovLzAzLzE3L2E0LzU5L2ZlL2I1ZmEtNDMxNi04NThmLWIyZGZiZDBhOGRiZQ.pdf,http://regnskaber.virk.dk/25896972/ZG9rdW1lbnRsYWdlcjovLzAzLzAzL2NhL2FmLzBhL2M0YzktNGRlZi1iYzMyLWM5MDZmZDc5MDQ3NA.xml,true,Greve,2670.0,20.0,Mosede Strandvej,2600 Glostrup,"Smedeland 13, 1.",Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-08-14,2018-08-28,Registreret revisor,,,15553782.0,27969852.0,mne2542,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Benny Klitbo,Benny Klitbo,Jesper Andersen,Multi Revision ApS,ALPHA AUTO ApS,Multi Revision ApS,,Karlslunde,2016-07-01,2017-06-30,,,,2018-06-30,2017-07-01,false,false,2018-08-14,Glostrup,Ja.,,43441129.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26066508,indberetninger-20180424,2.59262,27969852.0,AWWApa7B5OzuYdPkEhpm,2018-08-28T13:08:18.792Z,2018-08-28T13:07:44.516Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-AV-73-YX,2018-08-28T13:07:44.975Z,,,,,,,,,,,,,,,,,
27969852,2017-07-01,2018-06-30,c4,http://regnskaber.virk.dk/25896972/ZG9rdW1lbnRsYWdlcjovLzAzLzdmLzUyL2ZiLzQ3LzNhZTMtNDI0OC1iMDgzLTQ4NDE4M2NmZDc0NA.xhtml,http://regnskaber.virk.dk/25896972/ZG9rdW1lbnRsYWdlcjovLzAzLzE3L2E0LzU5L2ZlL2I1ZmEtNDMxNi04NThmLWIyZGZiZDBhOGRiZQ.pdf,http://regnskaber.virk.dk/25896972/ZG9rdW1lbnRsYWdlcjovLzAzLzAzL2NhL2FmLzBhL2M0YzktNGRlZi1iYzMyLWM5MDZmZDc5MDQ3NA.xml,true,Greve,2670.0,20.0,Mosede Strandvej,2600 Glostrup,"Smedeland 13, 1.",Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-08-14,2018-08-28,Registreret revisor,,,15553782.0,27969852.0,mne2542,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Benny Klitbo,Benny Klitbo,Jesper Andersen,Multi Revision ApS,ALPHA AUTO ApS,Multi Revision ApS,,Karlslunde,2016-07-01,2017-06-30,0.0,,,2018-06-30,2017-07-01,false,false,2018-08-14,Glostrup,Ja.,,43441129.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26066508,indberetninger-20180424,2.59262,27969852.0,AWWApa7B5OzuYdPkEhpm,2018-08-28T13:08:18.792Z,2018-08-28T13:07:44.516Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-AV-73-YX,2018-08-28T13:07:44.975Z,,,,,,,,,,,,,,,,,
27969852,2017-07-01,2018-06-30,c6,http://regnskaber.virk.dk/25896972/ZG9rdW1lbnRsYWdlcjovLzAzLzdmLzUyL2ZiLzQ3LzNhZTMtNDI0OC1iMDgzLTQ4NDE4M2NmZDc0NA.xhtml,http://regnskaber.virk.dk/25896972/ZG9rdW1lbnRsYWdlcjovLzAzLzE3L2E0LzU5L2ZlL2I1ZmEtNDMxNi04NThmLWIyZGZiZDBhOGRiZQ.pdf,http://regnskaber.virk.dk/25896972/ZG9rdW1lbnRsYWdlcjovLzAzLzAzL2NhL2FmLzBhL2M0YzktNGRlZi1iYzMyLWM5MDZmZDc5MDQ3NA.xml,true,Greve,2670.0,20.0,Mosede Strandvej,2600 Glostrup,"Smedeland 13, 1.",Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-08-14,2018-08-28,Registreret revisor,,,15553782.0,27969852.0,mne2542,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Benny Klitbo,Benny Klitbo,Jesper Andersen,Multi Revision ApS,ALPHA AUTO ApS,Multi Revision ApS,,Karlslunde,2016-07-01,2017-06-30,24333.0,,,2018-06-30,2017-07-01,false,false,2018-08-14,Glostrup,Ja.,,43441129.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26066508,indberetninger-20180424,2.59262,27969852.0,AWWApa7B5OzuYdPkEhpm,2018-08-28T13:08:18.792Z,2018-08-28T13:07:44.516Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-AV-73-YX,2018-08-28T13:07:44.975Z,,,,,,,,,,,,,,,,,
27969852,2018-06-30,2018-06-30,c8,http://regnskaber.virk.dk/25896972/ZG9rdW1lbnRsYWdlcjovLzAzLzdmLzUyL2ZiLzQ3LzNhZTMtNDI0OC1iMDgzLTQ4NDE4M2NmZDc0NA.xhtml,http://regnskaber.virk.dk/25896972/ZG9rdW1lbnRsYWdlcjovLzAzLzE3L2E0LzU5L2ZlL2I1ZmEtNDMxNi04NThmLWIyZGZiZDBhOGRiZQ.pdf,http://regnskaber.virk.dk/25896972/ZG9rdW1lbnRsYWdlcjovLzAzLzAzL2NhL2FmLzBhL2M0YzktNGRlZi1iYzMyLWM5MDZmZDc5MDQ3NA.xml,true,Greve,2670.0,20.0,Mosede Strandvej,2600 Glostrup,"Smedeland 13, 1.",Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-08-14,2018-08-28,Registreret revisor,,,15553782.0,27969852.0,mne2542,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Benny Klitbo,Benny Klitbo,Jesper Andersen,Multi Revision ApS,ALPHA AUTO ApS,Multi Revision ApS,,Karlslunde,2016-07-01,2017-06-30,,,,2018-06-30,2017-07-01,false,false,2018-08-14,Glostrup,Ja.,,43441129.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26066508,indberetninger-20180424,2.59262,27969852.0,AWWApa7B5OzuYdPkEhpm,2018-08-28T13:08:18.792Z,2018-08-28T13:07:44.516Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-AV-73-YX,2018-08-28T13:07:44.975Z,2210004.0,125000.0,2210004.0,1144774.0,2200000.0,2210004.0,1065230.0,2200000.0,874743.0,0.0,1019774.0,188987.0,1065230.0,10004.0,0.0,10004.0,1500.0
