entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AuditorsReportsOtherReports,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DescriptionOfAuditor,EmployeeBenefitsExpense,ExtraordinaryProfitLossBeforeTax,GrossProfitLoss,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TaxExpense,TelephoneNumberOfReportingEntity,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,Goodwill,IntangibleAssets,Inventories,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,ManufacturedGoodsAndGoodsForResale,NoncurrentAssets,OtherShorttermPayables,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermDebtToBanks,ShorttermLiabilitiesOtherThanProvisions,ShorttermTaxPayables,ShorttermTradePayables
27969852,2013-07-01,2014-06-30,c3,http://regnskaber.virk.dk/25896972/ZG9rdW1lbnRsYWdlcjovLzAzL2Y4LzQwLzVmL2RmLzAxMjktNGU5Zi05MmZlLTMwZDBmZGRmMDIwOQ.xhtml,http://regnskaber.virk.dk/25896972/ZG9rdW1lbnRsYWdlcjovLzAzL2Y4LzZjLzk2Lzk0L2I4ZTctNDM1MC1hMjQxLTA5NmRkODVlNWE3MQ.pdf,http://regnskaber.virk.dk/25896972/ZG9rdW1lbnRsYWdlcjovLzAzL2NhL2Q4Lzg5L2U3L2UxZGYtNGUzNy1iMDU2LTFkMDIyOTFlNGVjMg.xml,Greve,2670.0,20.0,Mosede Strandvej,2750 Ballerup,Postbox 86,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-08-11,2015-08-11,25000.0,Registreret revisor,244558.0,570116.0,839268.0,27969852.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Benny Klitbo,Benny Klitbo,Jesper Andersen,Multi Revision ApS,ALPHA AUTO ApS,Multi Revision ApS,406.0,Karlslunde,2013-07-01,2014-06-30,438616.0,570116.0,569710.0,2015-06-30,2014-07-01,2015-08-11,Ballerup,Ja.,131500.0,43441129.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5726551,indberetninger-20180424,2.5953746,27969852.0,,2018-03-30T11:54:39.583Z,2015-08-11T11:02:43.276Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AF-86-VH,2015-08-11T11:02:43.374Z,,,,,,,,,,,,,,,,,,,
27969852,2013-07-01,2014-06-30,c5,http://regnskaber.virk.dk/25896972/ZG9rdW1lbnRsYWdlcjovLzAzL2Y4LzQwLzVmL2RmLzAxMjktNGU5Zi05MmZlLTMwZDBmZGRmMDIwOQ.xhtml,http://regnskaber.virk.dk/25896972/ZG9rdW1lbnRsYWdlcjovLzAzL2Y4LzZjLzk2Lzk0L2I4ZTctNDM1MC1hMjQxLTA5NmRkODVlNWE3MQ.pdf,http://regnskaber.virk.dk/25896972/ZG9rdW1lbnRsYWdlcjovLzAzL2NhL2Q4Lzg5L2U3L2UxZGYtNGUzNy1iMDU2LTFkMDIyOTFlNGVjMg.xml,Greve,2670.0,20.0,Mosede Strandvej,2750 Ballerup,Postbox 86,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-08-11,2015-08-11,,Registreret revisor,,,,27969852.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Benny Klitbo,Benny Klitbo,Jesper Andersen,Multi Revision ApS,ALPHA AUTO ApS,Multi Revision ApS,,Karlslunde,2013-07-01,2014-06-30,100000.0,,,2015-06-30,2014-07-01,2015-08-11,Ballerup,Ja.,,43441129.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5726551,indberetninger-20180424,2.5953746,27969852.0,,2018-03-30T11:54:39.583Z,2015-08-11T11:02:43.276Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AF-86-VH,2015-08-11T11:02:43.374Z,,,,,,,,,,,,,,,,,,,
27969852,2013-07-01,2014-06-30,c7,http://regnskaber.virk.dk/25896972/ZG9rdW1lbnRsYWdlcjovLzAzL2Y4LzQwLzVmL2RmLzAxMjktNGU5Zi05MmZlLTMwZDBmZGRmMDIwOQ.xhtml,http://regnskaber.virk.dk/25896972/ZG9rdW1lbnRsYWdlcjovLzAzL2Y4LzZjLzk2Lzk0L2I4ZTctNDM1MC1hMjQxLTA5NmRkODVlNWE3MQ.pdf,http://regnskaber.virk.dk/25896972/ZG9rdW1lbnRsYWdlcjovLzAzL2NhL2Q4Lzg5L2U3L2UxZGYtNGUzNy1iMDU2LTFkMDIyOTFlNGVjMg.xml,Greve,2670.0,20.0,Mosede Strandvej,2750 Ballerup,Postbox 86,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-08-11,2015-08-11,,Registreret revisor,,,,27969852.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Benny Klitbo,Benny Klitbo,Jesper Andersen,Multi Revision ApS,ALPHA AUTO ApS,Multi Revision ApS,,Karlslunde,2013-07-01,2014-06-30,338616.0,,,2015-06-30,2014-07-01,2015-08-11,Ballerup,Ja.,,43441129.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5726551,indberetninger-20180424,2.5953746,27969852.0,,2018-03-30T11:54:39.583Z,2015-08-11T11:02:43.276Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AF-86-VH,2015-08-11T11:02:43.374Z,,,,,,,,,,,,,,,,,,,
27969852,2014-06-30,2014-06-30,c9,http://regnskaber.virk.dk/25896972/ZG9rdW1lbnRsYWdlcjovLzAzL2Y4LzQwLzVmL2RmLzAxMjktNGU5Zi05MmZlLTMwZDBmZGRmMDIwOQ.xhtml,http://regnskaber.virk.dk/25896972/ZG9rdW1lbnRsYWdlcjovLzAzL2Y4LzZjLzk2Lzk0L2I4ZTctNDM1MC1hMjQxLTA5NmRkODVlNWE3MQ.pdf,http://regnskaber.virk.dk/25896972/ZG9rdW1lbnRsYWdlcjovLzAzL2NhL2Q4Lzg5L2U3L2UxZGYtNGUzNy1iMDU2LTFkMDIyOTFlNGVjMg.xml,Greve,2670.0,20.0,Mosede Strandvej,2750 Ballerup,Postbox 86,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-08-11,2015-08-11,,Registreret revisor,,,,27969852.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Benny Klitbo,Benny Klitbo,Jesper Andersen,Multi Revision ApS,ALPHA AUTO ApS,Multi Revision ApS,,Karlslunde,2013-07-01,2014-06-30,,,,2015-06-30,2014-07-01,2015-08-11,Ballerup,Ja.,,43441129.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5726551,indberetninger-20180424,2.5953746,27969852.0,,2018-03-30T11:54:39.583Z,2015-08-11T11:02:43.276Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AF-86-VH,2015-08-11T11:02:43.374Z,2073587.0,248587.0,125000.0,2048587.0,903884.0,25000.0,25000.0,1800000.0,2073587.0,1169703.0,1800000.0,25000.0,1029480.0,100000.0,678884.0,0.0,1169703.0,126500.0,13723.0
27969852,2014-07-01,2015-06-30,c0,http://regnskaber.virk.dk/25896972/ZG9rdW1lbnRsYWdlcjovLzAzL2Y4LzQwLzVmL2RmLzAxMjktNGU5Zi05MmZlLTMwZDBmZGRmMDIwOQ.xhtml,http://regnskaber.virk.dk/25896972/ZG9rdW1lbnRsYWdlcjovLzAzL2Y4LzZjLzk2Lzk0L2I4ZTctNDM1MC1hMjQxLTA5NmRkODVlNWE3MQ.pdf,http://regnskaber.virk.dk/25896972/ZG9rdW1lbnRsYWdlcjovLzAzL2NhL2Q4Lzg5L2U3L2UxZGYtNGUzNy1iMDU2LTFkMDIyOTFlNGVjMg.xml,Greve,2670.0,20.0,Mosede Strandvej,2750 Ballerup,Postbox 86,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-08-11,2015-08-11,25000.0,Registreret revisor,518698.0,12933.0,536461.0,27969852.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Benny Klitbo,Benny Klitbo,Jesper Andersen,Multi Revision ApS,ALPHA AUTO ApS,Multi Revision ApS,20170.0,Karlslunde,2013-07-01,2014-06-30,2458.0,12933.0,-7237.0,2015-06-30,2014-07-01,2015-08-11,Ballerup,Ja.,10475.0,43441129.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5726551,indberetninger-20180424,2.5953746,27969852.0,,2018-03-30T11:54:39.583Z,2015-08-11T11:02:43.276Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AF-86-VH,2015-08-11T11:02:43.374Z,,,,,,,,,,,,,,,,,,,
27969852,2014-07-01,2015-06-30,c1,http://regnskaber.virk.dk/25896972/ZG9rdW1lbnRsYWdlcjovLzAzL2Y4LzQwLzVmL2RmLzAxMjktNGU5Zi05MmZlLTMwZDBmZGRmMDIwOQ.xhtml,http://regnskaber.virk.dk/25896972/ZG9rdW1lbnRsYWdlcjovLzAzL2Y4LzZjLzk2Lzk0L2I4ZTctNDM1MC1hMjQxLTA5NmRkODVlNWE3MQ.pdf,http://regnskaber.virk.dk/25896972/ZG9rdW1lbnRsYWdlcjovLzAzL2NhL2Q4Lzg5L2U3L2UxZGYtNGUzNy1iMDU2LTFkMDIyOTFlNGVjMg.xml,Greve,2670.0,20.0,Mosede Strandvej,2750 Ballerup,Postbox 86,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-08-11,2015-08-11,,Registreret revisor,,,,27969852.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Benny Klitbo,Benny Klitbo,Jesper Andersen,Multi Revision ApS,ALPHA AUTO ApS,Multi Revision ApS,,Karlslunde,2013-07-01,2014-06-30,,,,2015-06-30,2014-07-01,2015-08-11,Ballerup,Ja.,,43441129.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5726551,indberetninger-20180424,2.5953746,27969852.0,,2018-03-30T11:54:39.583Z,2015-08-11T11:02:43.276Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AF-86-VH,2015-08-11T11:02:43.374Z,,,,,,,,,,,,,,,,,,,
27969852,2014-07-01,2015-06-30,c2,http://regnskaber.virk.dk/25896972/ZG9rdW1lbnRsYWdlcjovLzAzL2Y4LzQwLzVmL2RmLzAxMjktNGU5Zi05MmZlLTMwZDBmZGRmMDIwOQ.xhtml,http://regnskaber.virk.dk/25896972/ZG9rdW1lbnRsYWdlcjovLzAzL2Y4LzZjLzk2Lzk0L2I4ZTctNDM1MC1hMjQxLTA5NmRkODVlNWE3MQ.pdf,http://regnskaber.virk.dk/25896972/ZG9rdW1lbnRsYWdlcjovLzAzL2NhL2Q4Lzg5L2U3L2UxZGYtNGUzNy1iMDU2LTFkMDIyOTFlNGVjMg.xml,Greve,2670.0,20.0,Mosede Strandvej,2750 Ballerup,Postbox 86,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-08-11,2015-08-11,,Registreret revisor,,,,27969852.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Benny Klitbo,Benny Klitbo,Jesper Andersen,Multi Revision ApS,ALPHA AUTO ApS,Multi Revision ApS,,Karlslunde,2013-07-01,2014-06-30,,,,2015-06-30,2014-07-01,2015-08-11,Ballerup,Ja.,,43441129.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5726551,indberetninger-20180424,2.5953746,27969852.0,,2018-03-30T11:54:39.583Z,2015-08-11T11:02:43.276Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AF-86-VH,2015-08-11T11:02:43.374Z,,,,,,,,,,,,,,,,,,,
27969852,2014-07-01,2015-06-30,c4,http://regnskaber.virk.dk/25896972/ZG9rdW1lbnRsYWdlcjovLzAzL2Y4LzQwLzVmL2RmLzAxMjktNGU5Zi05MmZlLTMwZDBmZGRmMDIwOQ.xhtml,http://regnskaber.virk.dk/25896972/ZG9rdW1lbnRsYWdlcjovLzAzL2Y4LzZjLzk2Lzk0L2I4ZTctNDM1MC1hMjQxLTA5NmRkODVlNWE3MQ.pdf,http://regnskaber.virk.dk/25896972/ZG9rdW1lbnRsYWdlcjovLzAzL2NhL2Q4Lzg5L2U3L2UxZGYtNGUzNy1iMDU2LTFkMDIyOTFlNGVjMg.xml,Greve,2670.0,20.0,Mosede Strandvej,2750 Ballerup,Postbox 86,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-08-11,2015-08-11,,Registreret revisor,,,,27969852.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Benny Klitbo,Benny Klitbo,Jesper Andersen,Multi Revision ApS,ALPHA AUTO ApS,Multi Revision ApS,,Karlslunde,2013-07-01,2014-06-30,0.0,,,2015-06-30,2014-07-01,2015-08-11,Ballerup,Ja.,,43441129.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5726551,indberetninger-20180424,2.5953746,27969852.0,,2018-03-30T11:54:39.583Z,2015-08-11T11:02:43.276Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AF-86-VH,2015-08-11T11:02:43.374Z,,,,,,,,,,,,,,,,,,,
27969852,2014-07-01,2015-06-30,c6,http://regnskaber.virk.dk/25896972/ZG9rdW1lbnRsYWdlcjovLzAzL2Y4LzQwLzVmL2RmLzAxMjktNGU5Zi05MmZlLTMwZDBmZGRmMDIwOQ.xhtml,http://regnskaber.virk.dk/25896972/ZG9rdW1lbnRsYWdlcjovLzAzL2Y4LzZjLzk2Lzk0L2I4ZTctNDM1MC1hMjQxLTA5NmRkODVlNWE3MQ.pdf,http://regnskaber.virk.dk/25896972/ZG9rdW1lbnRsYWdlcjovLzAzL2NhL2Q4Lzg5L2U3L2UxZGYtNGUzNy1iMDU2LTFkMDIyOTFlNGVjMg.xml,Greve,2670.0,20.0,Mosede Strandvej,2750 Ballerup,Postbox 86,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-08-11,2015-08-11,,Registreret revisor,,,,27969852.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Benny Klitbo,Benny Klitbo,Jesper Andersen,Multi Revision ApS,ALPHA AUTO ApS,Multi Revision ApS,,Karlslunde,2013-07-01,2014-06-30,2458.0,,,2015-06-30,2014-07-01,2015-08-11,Ballerup,Ja.,,43441129.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5726551,indberetninger-20180424,2.5953746,27969852.0,,2018-03-30T11:54:39.583Z,2015-08-11T11:02:43.276Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AF-86-VH,2015-08-11T11:02:43.374Z,,,,,,,,,,,,,,,,,,,
27969852,2015-06-30,2015-06-30,c8,http://regnskaber.virk.dk/25896972/ZG9rdW1lbnRsYWdlcjovLzAzL2Y4LzQwLzVmL2RmLzAxMjktNGU5Zi05MmZlLTMwZDBmZGRmMDIwOQ.xhtml,http://regnskaber.virk.dk/25896972/ZG9rdW1lbnRsYWdlcjovLzAzL2Y4LzZjLzk2Lzk0L2I4ZTctNDM1MC1hMjQxLTA5NmRkODVlNWE3MQ.pdf,http://regnskaber.virk.dk/25896972/ZG9rdW1lbnRsYWdlcjovLzAzL2NhL2Q4Lzg5L2U3L2UxZGYtNGUzNy1iMDU2LTFkMDIyOTFlNGVjMg.xml,Greve,2670.0,20.0,Mosede Strandvej,2750 Ballerup,Postbox 86,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2015-08-11,2015-08-11,,Registreret revisor,,,,27969852.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Benny Klitbo,Benny Klitbo,Jesper Andersen,Multi Revision ApS,ALPHA AUTO ApS,Multi Revision ApS,,Karlslunde,2013-07-01,2014-06-30,,,,2015-06-30,2014-07-01,2015-08-11,Ballerup,Ja.,,43441129.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:5726551,indberetninger-20180424,2.5953746,27969852.0,,2018-03-30T11:54:39.583Z,2015-08-11T11:02:43.276Z,regnskab,0.0,,2015-06-30,2014-07-01,X15-AF-86-VH,2015-08-11T11:02:43.374Z,2100000.0,0.0,125000.0,2100000.0,806342.0,0.0,0.0,2100000.0,2100000.0,1293658.0,2100000.0,0.0,789325.0,0.0,681342.0,498858.0,1293658.0,5475.0,0.0
