entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfAuditorCountry,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,Equity,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TelephoneNumberOfAuditor,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss,GainsLossesFromCurrentValueAdjustmentsOfInvestmentProperty,GrossProfitLoss,OtherFinanceExpenses,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ValueAdjustmentsOfEquity,Assets,ContributedCapital,CurrentAssets,InvestmentProperty,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermLiabilitiesOtherThanProvisions,LongtermMortgageDebt,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,RetainedEarnings,ShorttermDeferredIncome,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermTradeReceivables,AccumulatedRevaluationOfPropertyPlantAndEquipment,PropertyPlantAndEquipmentGross,NameAndSurnameOfMemberOfExecutiveBoard
31484588,2012-07-01,2012-07-01,c718,http://regnskaber.virk.dk/88548413/Y3ZyLmRrOi8vcGRmcy8zMTQ4NDU4ODtBcFM0MzM2NjY7MjAxMzA3MDE7MjAxMzA5MzA7UjtS.pdf,http://regnskaber.virk.dk/88548413/Y3ZyLmRrOi8veGJybHMvWC1BMkZFQkM5Ni0yMDE0MDMxMV8xODQxMTRfODg2.xml,Danmark,2100 KÃ¸benhavn Ã,Stockholmsgade 45,2100 KÃ¸benhavn Ã,Stockholmsgade 45,kapitalejerne,Regnskabsklasse B,2014-02-28,2014-02-28,2008-06-10,2014-02-28,statsautoriseret revisor,17000.0,34209936.0,31484588.0,34209936.0,Ãrsrapport,SÃ¸ren Poulsen,Mads Harboe NÃ¸rring,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",63 Avenue Des Champs Elysees Paris VIII (II) ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",KÃ¸benhavn,KÃ¸benhavn,2013-09-30,2013-07-01,2014-02-28,KÃ¸benhavn,33 110 220,RevisionspÃ¥tegning,urn:ofk:oid:19550486,indberetninger-20180424,2.5118417999999996,31484588,,2018-04-01T01:19:31.135Z,2014-03-11T23:00:00.000Z,regnskab,0.0,,2013-09-30,2013-07-01,14-177.280,2014-03-11T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31484588,2012-07-01,2012-07-01,c736,http://regnskaber.virk.dk/88548413/Y3ZyLmRrOi8vcGRmcy8zMTQ4NDU4ODtBcFM0MzM2NjY7MjAxMzA3MDE7MjAxMzA5MzA7UjtS.pdf,http://regnskaber.virk.dk/88548413/Y3ZyLmRrOi8veGJybHMvWC1BMkZFQkM5Ni0yMDE0MDMxMV8xODQxMTRfODg2.xml,Danmark,2100 KÃ¸benhavn Ã,Stockholmsgade 45,2100 KÃ¸benhavn Ã,Stockholmsgade 45,kapitalejerne,Regnskabsklasse B,2014-02-28,2014-02-28,2008-06-10,2014-02-28,statsautoriseret revisor,4407000.0,34209936.0,31484588.0,34209936.0,Ãrsrapport,SÃ¸ren Poulsen,Mads Harboe NÃ¸rring,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",63 Avenue Des Champs Elysees Paris VIII (II) ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",KÃ¸benhavn,KÃ¸benhavn,2013-09-30,2013-07-01,2014-02-28,KÃ¸benhavn,33 110 220,RevisionspÃ¥tegning,urn:ofk:oid:19550486,indberetninger-20180424,2.5118417999999996,31484588,,2018-04-01T01:19:31.135Z,2014-03-11T23:00:00.000Z,regnskab,0.0,,2013-09-30,2013-07-01,14-177.280,2014-03-11T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31484588,2012-07-01,2013-06-30,c123,http://regnskaber.virk.dk/88548413/Y3ZyLmRrOi8vcGRmcy8zMTQ4NDU4ODtBcFM0MzM2NjY7MjAxMzA3MDE7MjAxMzA5MzA7UjtS.pdf,http://regnskaber.virk.dk/88548413/Y3ZyLmRrOi8veGJybHMvWC1BMkZFQkM5Ni0yMDE0MDMxMV8xODQxMTRfODg2.xml,Danmark,2100 KÃ¸benhavn Ã,Stockholmsgade 45,2100 KÃ¸benhavn Ã,Stockholmsgade 45,kapitalejerne,Regnskabsklasse B,2014-02-28,2014-02-28,2008-06-10,2014-02-28,statsautoriseret revisor,,34209936.0,31484588.0,34209936.0,Ãrsrapport,SÃ¸ren Poulsen,Mads Harboe NÃ¸rring,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",63 Avenue Des Champs Elysees Paris VIII (II) ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",KÃ¸benhavn,KÃ¸benhavn,2013-09-30,2013-07-01,2014-02-28,KÃ¸benhavn,33 110 220,RevisionspÃ¥tegning,urn:ofk:oid:19550486,indberetninger-20180424,2.5118417999999996,31484588,,2018-04-01T01:19:31.135Z,2014-03-11T23:00:00.000Z,regnskab,0.0,,2013-09-30,2013-07-01,14-177.280,2014-03-11T23:00:00.000Z,521000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
31484588,2012-07-01,2013-06-30,c3,http://regnskaber.virk.dk/88548413/Y3ZyLmRrOi8vcGRmcy8zMTQ4NDU4ODtBcFM0MzM2NjY7MjAxMzA3MDE7MjAxMzA5MzA7UjtS.pdf,http://regnskaber.virk.dk/88548413/Y3ZyLmRrOi8veGJybHMvWC1BMkZFQkM5Ni0yMDE0MDMxMV8xODQxMTRfODg2.xml,Danmark,2100 KÃ¸benhavn Ã,Stockholmsgade 45,2100 KÃ¸benhavn Ã,Stockholmsgade 45,kapitalejerne,Regnskabsklasse B,2014-02-28,2014-02-28,2008-06-10,2014-02-28,statsautoriseret revisor,,34209936.0,31484588.0,34209936.0,Ãrsrapport,SÃ¸ren Poulsen,Mads Harboe NÃ¸rring,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",63 Avenue Des Champs Elysees Paris VIII (II) ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",KÃ¸benhavn,KÃ¸benhavn,2013-09-30,2013-07-01,2014-02-28,KÃ¸benhavn,33 110 220,RevisionspÃ¥tegning,urn:ofk:oid:19550486,indberetninger-20180424,2.5118417999999996,31484588,,2018-04-01T01:19:31.135Z,2014-03-11T23:00:00.000Z,regnskab,0.0,,2013-09-30,2013-07-01,14-177.280,2014-03-11T23:00:00.000Z,521000.0,2560000.0,-379000.0,1660000.0,521000.0,2181000.0,,,,,,,,,,,,,,,,,,,,,,
31484588,2012-07-01,2013-06-30,c737,http://regnskaber.virk.dk/88548413/Y3ZyLmRrOi8vcGRmcy8zMTQ4NDU4ODtBcFM0MzM2NjY7MjAxMzA3MDE7MjAxMzA5MzA7UjtS.pdf,http://regnskaber.virk.dk/88548413/Y3ZyLmRrOi8veGJybHMvWC1BMkZFQkM5Ni0yMDE0MDMxMV8xODQxMTRfODg2.xml,Danmark,2100 KÃ¸benhavn Ã,Stockholmsgade 45,2100 KÃ¸benhavn Ã,Stockholmsgade 45,kapitalejerne,Regnskabsklasse B,2014-02-28,2014-02-28,2008-06-10,2014-02-28,statsautoriseret revisor,,34209936.0,31484588.0,34209936.0,Ãrsrapport,SÃ¸ren Poulsen,Mads Harboe NÃ¸rring,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",63 Avenue Des Champs Elysees Paris VIII (II) ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",KÃ¸benhavn,KÃ¸benhavn,2013-09-30,2013-07-01,2014-02-28,KÃ¸benhavn,33 110 220,RevisionspÃ¥tegning,urn:ofk:oid:19550486,indberetninger-20180424,2.5118417999999996,31484588,,2018-04-01T01:19:31.135Z,2014-03-11T23:00:00.000Z,regnskab,0.0,,2013-09-30,2013-07-01,14-177.280,2014-03-11T23:00:00.000Z,521000.0,,,,,,1000.0,,,,,,,,,,,,,,,,,,,,,
31484588,2013-06-30,2013-06-30,c4,http://regnskaber.virk.dk/88548413/Y3ZyLmRrOi8vcGRmcy8zMTQ4NDU4ODtBcFM0MzM2NjY7MjAxMzA3MDE7MjAxMzA5MzA7UjtS.pdf,http://regnskaber.virk.dk/88548413/Y3ZyLmRrOi8veGJybHMvWC1BMkZFQkM5Ni0yMDE0MDMxMV8xODQxMTRfODg2.xml,Danmark,2100 KÃ¸benhavn Ã,Stockholmsgade 45,2100 KÃ¸benhavn Ã,Stockholmsgade 45,kapitalejerne,Regnskabsklasse B,2014-02-28,2014-02-28,2008-06-10,2014-02-28,statsautoriseret revisor,4946000.0,34209936.0,31484588.0,34209936.0,Ãrsrapport,SÃ¸ren Poulsen,Mads Harboe NÃ¸rring,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",63 Avenue Des Champs Elysees Paris VIII (II) ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",KÃ¸benhavn,KÃ¸benhavn,2013-09-30,2013-07-01,2014-02-28,KÃ¸benhavn,33 110 220,RevisionspÃ¥tegning,urn:ofk:oid:19550486,indberetninger-20180424,2.5118417999999996,31484588,,2018-04-01T01:19:31.135Z,2014-03-11T23:00:00.000Z,regnskab,0.0,,2013-09-30,2013-07-01,14-177.280,2014-03-11T23:00:00.000Z,,,,,,,,38576000.0,17000.0,576000.0,38000000.0,38576000.0,33630000.0,26641000.0,26641000.0,38000000.0,71000.0,444000.0,38000000.0,4929000.0,970000.0,6989000.0,5948000.0,576000.0,132000.0,,,
31484588,2013-06-30,2013-06-30,c717,http://regnskaber.virk.dk/88548413/Y3ZyLmRrOi8vcGRmcy8zMTQ4NDU4ODtBcFM0MzM2NjY7MjAxMzA3MDE7MjAxMzA5MzA7UjtS.pdf,http://regnskaber.virk.dk/88548413/Y3ZyLmRrOi8veGJybHMvWC1BMkZFQkM5Ni0yMDE0MDMxMV8xODQxMTRfODg2.xml,Danmark,2100 KÃ¸benhavn Ã,Stockholmsgade 45,2100 KÃ¸benhavn Ã,Stockholmsgade 45,kapitalejerne,Regnskabsklasse B,2014-02-28,2014-02-28,2008-06-10,2014-02-28,statsautoriseret revisor,17000.0,34209936.0,31484588.0,34209936.0,Ãrsrapport,SÃ¸ren Poulsen,Mads Harboe NÃ¸rring,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",63 Avenue Des Champs Elysees Paris VIII (II) ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",KÃ¸benhavn,KÃ¸benhavn,2013-09-30,2013-07-01,2014-02-28,KÃ¸benhavn,33 110 220,RevisionspÃ¥tegning,urn:ofk:oid:19550486,indberetninger-20180424,2.5118417999999996,31484588,,2018-04-01T01:19:31.135Z,2014-03-11T23:00:00.000Z,regnskab,0.0,,2013-09-30,2013-07-01,14-177.280,2014-03-11T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31484588,2013-06-30,2013-06-30,c738,http://regnskaber.virk.dk/88548413/Y3ZyLmRrOi8vcGRmcy8zMTQ4NDU4ODtBcFM0MzM2NjY7MjAxMzA3MDE7MjAxMzA5MzA7UjtS.pdf,http://regnskaber.virk.dk/88548413/Y3ZyLmRrOi8veGJybHMvWC1BMkZFQkM5Ni0yMDE0MDMxMV8xODQxMTRfODg2.xml,Danmark,2100 KÃ¸benhavn Ã,Stockholmsgade 45,2100 KÃ¸benhavn Ã,Stockholmsgade 45,kapitalejerne,Regnskabsklasse B,2014-02-28,2014-02-28,2008-06-10,2014-02-28,statsautoriseret revisor,4929000.0,34209936.0,31484588.0,34209936.0,Ãrsrapport,SÃ¸ren Poulsen,Mads Harboe NÃ¸rring,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",63 Avenue Des Champs Elysees Paris VIII (II) ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",KÃ¸benhavn,KÃ¸benhavn,2013-09-30,2013-07-01,2014-02-28,KÃ¸benhavn,33 110 220,RevisionspÃ¥tegning,urn:ofk:oid:19550486,indberetninger-20180424,2.5118417999999996,31484588,,2018-04-01T01:19:31.135Z,2014-03-11T23:00:00.000Z,regnskab,0.0,,2013-09-30,2013-07-01,14-177.280,2014-03-11T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31484588,2013-07-01,2013-07-01,c151,http://regnskaber.virk.dk/88548413/Y3ZyLmRrOi8vcGRmcy8zMTQ4NDU4ODtBcFM0MzM2NjY7MjAxMzA3MDE7MjAxMzA5MzA7UjtS.pdf,http://regnskaber.virk.dk/88548413/Y3ZyLmRrOi8veGJybHMvWC1BMkZFQkM5Ni0yMDE0MDMxMV8xODQxMTRfODg2.xml,Danmark,2100 KÃ¸benhavn Ã,Stockholmsgade 45,2100 KÃ¸benhavn Ã,Stockholmsgade 45,kapitalejerne,Regnskabsklasse B,2014-02-28,2014-02-28,2008-06-10,2014-02-28,statsautoriseret revisor,,34209936.0,31484588.0,34209936.0,Ãrsrapport,SÃ¸ren Poulsen,Mads Harboe NÃ¸rring,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",63 Avenue Des Champs Elysees Paris VIII (II) ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",KÃ¸benhavn,KÃ¸benhavn,2013-09-30,2013-07-01,2014-02-28,KÃ¸benhavn,33 110 220,RevisionspÃ¥tegning,urn:ofk:oid:19550486,indberetninger-20180424,2.5118417999999996,31484588,,2018-04-01T01:19:31.135Z,2014-03-11T23:00:00.000Z,regnskab,0.0,,2013-09-30,2013-07-01,14-177.280,2014-03-11T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,38828.0,37961172.0,
31484588,2013-07-01,2013-07-01,c199,http://regnskaber.virk.dk/88548413/Y3ZyLmRrOi8vcGRmcy8zMTQ4NDU4ODtBcFM0MzM2NjY7MjAxMzA3MDE7MjAxMzA5MzA7UjtS.pdf,http://regnskaber.virk.dk/88548413/Y3ZyLmRrOi8veGJybHMvWC1BMkZFQkM5Ni0yMDE0MDMxMV8xODQxMTRfODg2.xml,Danmark,2100 KÃ¸benhavn Ã,Stockholmsgade 45,2100 KÃ¸benhavn Ã,Stockholmsgade 45,kapitalejerne,Regnskabsklasse B,2014-02-28,2014-02-28,2008-06-10,2014-02-28,statsautoriseret revisor,4928946.0,34209936.0,31484588.0,34209936.0,Ãrsrapport,SÃ¸ren Poulsen,Mads Harboe NÃ¸rring,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",63 Avenue Des Champs Elysees Paris VIII (II) ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",KÃ¸benhavn,KÃ¸benhavn,2013-09-30,2013-07-01,2014-02-28,KÃ¸benhavn,33 110 220,RevisionspÃ¥tegning,urn:ofk:oid:19550486,indberetninger-20180424,2.5118417999999996,31484588,,2018-04-01T01:19:31.135Z,2014-03-11T23:00:00.000Z,regnskab,0.0,,2013-09-30,2013-07-01,14-177.280,2014-03-11T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
