entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityPostcodeAndTown,AddressOfReportingEntityStreetAndNumber,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,AuditorsReportOnFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,EmailOfReportingEntity,EmployeeBenefitsExpense,HomepageOfReportingEntity,IdentificationNumberCvrOfReportingEntity,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherExternalExpenses,OtherFinanceExpenses,OtherFinanceIncome,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,Revenue,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TitleOfMemberOfExecutiveBoard,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTradePayables,ShorttermTradeReceivables,NameAndSurnameOfMemberOfSupervisoryBoard,TitleOfMemberOfSupervisoryBoard,DescriptionOfAuditor,NameAndSurnameOfAuditor,NameOfAuditFirm
entity identifier,2011-01-01,2011-12-31,ID_12,http://regnskaber.virk.dk/41605185/Y3ZyLmRrOi8vcGRmcy81ODE1MDYxNDtBL1M3OTIwOzIwMTIwMTAxOzIwMTIxMjMxO1I7Ug.pdf,http://regnskaber.virk.dk/41605185/Y3ZyLmRrOi8veGJybHMvWC0xMDI4RTUzQS0yMDEzMDUyNF8wOTMyNDJfODAz.xml,"Glostrup, 2600",Park Alle 295,"2605, BrÃ¸ndby",Park Alle 295,Til kapitalejerne i GE Lighting A/S,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,1925-12-10,2013-05-20,support.dansk@gelighting.com,759.0,www.gelighting.com,58150614.0,Bestyrelse og direktion har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar -  31. december 2012 for GE Lighting A/S.,Ãrsrapport,Christian Knappe,Bernadett  Hederics,GE Lighting A/S,"GE International Inc, USA, Filial i Danmark",1257.0,2443.0,-2456.0,-22.0,-216.0,-203.0,"0161, Glostrup",2012-12-31,2012-01-01,-2219.0,2013-05-20,KÃ¸benhavn,Administrerende direktÃ¸r/Bestyrelsesmedlem,urn:ofk:oid:19604081,indberetninger-20180424,2.5124266,58150614.0,,2018-04-01T19:58:39.743Z,2013-05-23T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-8.799,2013-05-23T22:00:00.000Z,,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_14,http://regnskaber.virk.dk/41605185/Y3ZyLmRrOi8vcGRmcy81ODE1MDYxNDtBL1M3OTIwOzIwMTIwMTAxOzIwMTIxMjMxO1I7Ug.pdf,http://regnskaber.virk.dk/41605185/Y3ZyLmRrOi8veGJybHMvWC0xMDI4RTUzQS0yMDEzMDUyNF8wOTMyNDJfODAz.xml,"Glostrup, 2600",Park Alle 295,"2605, BrÃ¸ndby",Park Alle 295,Til kapitalejerne i GE Lighting A/S,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,1925-12-10,2013-05-20,support.dansk@gelighting.com,,www.gelighting.com,58150614.0,Bestyrelse og direktion har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar -  31. december 2012 for GE Lighting A/S.,Ãrsrapport,Christian Knappe,Bernadett  Hederics,GE Lighting A/S,"GE International Inc, USA, Filial i Danmark",,,,-22.0,,,"0161, Glostrup",2012-12-31,2012-01-01,,2013-05-20,KÃ¸benhavn,Administrerende direktÃ¸r/Bestyrelsesmedlem,urn:ofk:oid:19604081,indberetninger-20180424,2.5124266,58150614.0,,2018-04-01T19:58:39.743Z,2013-05-23T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-8.799,2013-05-23T22:00:00.000Z,,,,,,,,,,,,,,,,,,,
entity identifier,2011-01-01,2011-12-31,ID_16,http://regnskaber.virk.dk/41605185/Y3ZyLmRrOi8vcGRmcy81ODE1MDYxNDtBL1M3OTIwOzIwMTIwMTAxOzIwMTIxMjMxO1I7Ug.pdf,http://regnskaber.virk.dk/41605185/Y3ZyLmRrOi8veGJybHMvWC0xMDI4RTUzQS0yMDEzMDUyNF8wOTMyNDJfODAz.xml,"Glostrup, 2600",Park Alle 295,"2605, BrÃ¸ndby",Park Alle 295,Til kapitalejerne i GE Lighting A/S,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,1925-12-10,2013-05-20,support.dansk@gelighting.com,,www.gelighting.com,58150614.0,Bestyrelse og direktion har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar -  31. december 2012 for GE Lighting A/S.,Ãrsrapport,Christian Knappe,Bernadett  Hederics,GE Lighting A/S,"GE International Inc, USA, Filial i Danmark",,,,-22.0,,,"0161, Glostrup",2012-12-31,2012-01-01,,2013-05-20,KÃ¸benhavn,Administrerende direktÃ¸r/Bestyrelsesmedlem,urn:ofk:oid:19604081,indberetninger-20180424,2.5124266,58150614.0,,2018-04-01T19:58:39.743Z,2013-05-23T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-8.799,2013-05-23T22:00:00.000Z,,,,,,,,,,,,,,,,,,,
entity identifier,2011-12-31,2011-12-31,ID_18,http://regnskaber.virk.dk/41605185/Y3ZyLmRrOi8vcGRmcy81ODE1MDYxNDtBL1M3OTIwOzIwMTIwMTAxOzIwMTIxMjMxO1I7Ug.pdf,http://regnskaber.virk.dk/41605185/Y3ZyLmRrOi8veGJybHMvWC0xMDI4RTUzQS0yMDEzMDUyNF8wOTMyNDJfODAz.xml,"Glostrup, 2600",Park Alle 295,"2605, BrÃ¸ndby",Park Alle 295,Til kapitalejerne i GE Lighting A/S,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,1925-12-10,2013-05-20,support.dansk@gelighting.com,,www.gelighting.com,58150614.0,Bestyrelse og direktion har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar -  31. december 2012 for GE Lighting A/S.,Ãrsrapport,Christian Knappe,Bernadett  Hederics,GE Lighting A/S,"GE International Inc, USA, Filial i Danmark",,,,,,,"0161, Glostrup",2012-12-31,2012-01-01,,2013-05-20,KÃ¸benhavn,Administrerende direktÃ¸r/Bestyrelsesmedlem,urn:ofk:oid:19604081,indberetninger-20180424,2.5124266,58150614.0,,2018-04-01T19:58:39.743Z,2013-05-23T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-8.799,2013-05-23T22:00:00.000Z,305101.0,-1000.0,305101.0,-2680.0,-305100.0,-302420.0,-1680.0,-302420.0,-301247.0,305101.0,302694.0,-18.0,-3.0,2407.0,,,,,
entity identifier,2012-01-01,2012-12-31,ID_0,http://regnskaber.virk.dk/41605185/Y3ZyLmRrOi8vcGRmcy81ODE1MDYxNDtBL1M3OTIwOzIwMTIwMTAxOzIwMTIxMjMxO1I7Ug.pdf,http://regnskaber.virk.dk/41605185/Y3ZyLmRrOi8veGJybHMvWC0xMDI4RTUzQS0yMDEzMDUyNF8wOTMyNDJfODAz.xml,"Glostrup, 2600",Park Alle 295,"2605, BrÃ¸ndby",Park Alle 295,Til kapitalejerne i GE Lighting A/S,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,1925-12-10,2013-05-20,support.dansk@gelighting.com,,www.gelighting.com,58150614.0,Bestyrelse og direktion har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar -  31. december 2012 for GE Lighting A/S.,Ãrsrapport,Christian Knappe,Bernadett  Hederics,GE Lighting A/S,"GE International Inc, USA, Filial i Danmark",,,,,,,"0161, Glostrup",2012-12-31,2012-01-01,,2013-05-20,KÃ¸benhavn,Administrerende direktÃ¸r/Bestyrelsesmedlem,urn:ofk:oid:19604081,indberetninger-20180424,2.5124266,58150614.0,,2018-04-01T19:58:39.743Z,2013-05-23T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-8.799,2013-05-23T22:00:00.000Z,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_1,http://regnskaber.virk.dk/41605185/Y3ZyLmRrOi8vcGRmcy81ODE1MDYxNDtBL1M3OTIwOzIwMTIwMTAxOzIwMTIxMjMxO1I7Ug.pdf,http://regnskaber.virk.dk/41605185/Y3ZyLmRrOi8veGJybHMvWC0xMDI4RTUzQS0yMDEzMDUyNF8wOTMyNDJfODAz.xml,"Glostrup, 2600",Park Alle 295,"2605, BrÃ¸ndby",Park Alle 295,Til kapitalejerne i GE Lighting A/S,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,1925-12-10,2013-05-20,support.dansk@gelighting.com,,www.gelighting.com,58150614.0,Bestyrelse og direktion har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar -  31. december 2012 for GE Lighting A/S.,Ãrsrapport,Christian Knappe,Bernadett  Hederics,GE Lighting A/S,"GE International Inc, USA, Filial i Danmark",,,,,,,"0161, Glostrup",2012-12-31,2012-01-01,,2013-05-20,KÃ¸benhavn,Administrerende direktÃ¸r/Bestyrelsesmedlem,urn:ofk:oid:19604081,indberetninger-20180424,2.5124266,58150614.0,,2018-04-01T19:58:39.743Z,2013-05-23T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-8.799,2013-05-23T22:00:00.000Z,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_10,http://regnskaber.virk.dk/41605185/Y3ZyLmRrOi8vcGRmcy81ODE1MDYxNDtBL1M3OTIwOzIwMTIwMTAxOzIwMTIxMjMxO1I7Ug.pdf,http://regnskaber.virk.dk/41605185/Y3ZyLmRrOi8veGJybHMvWC0xMDI4RTUzQS0yMDEzMDUyNF8wOTMyNDJfODAz.xml,"Glostrup, 2600",Park Alle 295,"2605, BrÃ¸ndby",Park Alle 295,Til kapitalejerne i GE Lighting A/S,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,1925-12-10,2013-05-20,support.dansk@gelighting.com,,www.gelighting.com,58150614.0,Bestyrelse og direktion har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar -  31. december 2012 for GE Lighting A/S.,Ãrsrapport,Christian Knappe,Bernadett  Hederics,GE Lighting A/S,"GE International Inc, USA, Filial i Danmark",,,,,,,"0161, Glostrup",2012-12-31,2012-01-01,,2013-05-20,KÃ¸benhavn,Administrerende direktÃ¸r/Bestyrelsesmedlem,urn:ofk:oid:19604081,indberetninger-20180424,2.5124266,58150614.0,,2018-04-01T19:58:39.743Z,2013-05-23T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-8.799,2013-05-23T22:00:00.000Z,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_11,http://regnskaber.virk.dk/41605185/Y3ZyLmRrOi8vcGRmcy81ODE1MDYxNDtBL1M3OTIwOzIwMTIwMTAxOzIwMTIxMjMxO1I7Ug.pdf,http://regnskaber.virk.dk/41605185/Y3ZyLmRrOi8veGJybHMvWC0xMDI4RTUzQS0yMDEzMDUyNF8wOTMyNDJfODAz.xml,"Glostrup, 2600",Park Alle 295,"2605, BrÃ¸ndby",Park Alle 295,Til kapitalejerne i GE Lighting A/S,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,1925-12-10,2013-05-20,support.dansk@gelighting.com,775.0,www.gelighting.com,58150614.0,Bestyrelse og direktion har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar -  31. december 2012 for GE Lighting A/S.,Ãrsrapport,Christian Knappe,Bernadett  Hederics,GE Lighting A/S,"GE International Inc, USA, Filial i Danmark",1414.0,409.0,-648.0,-784.0,-664.0,-425.0,"0161, Glostrup",2012-12-31,2012-01-01,-2614.0,2013-05-20,KÃ¸benhavn,Administrerende direktÃ¸r/Bestyrelsesmedlem,urn:ofk:oid:19604081,indberetninger-20180424,2.5124266,58150614.0,,2018-04-01T19:58:39.743Z,2013-05-23T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-8.799,2013-05-23T22:00:00.000Z,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_13,http://regnskaber.virk.dk/41605185/Y3ZyLmRrOi8vcGRmcy81ODE1MDYxNDtBL1M3OTIwOzIwMTIwMTAxOzIwMTIxMjMxO1I7Ug.pdf,http://regnskaber.virk.dk/41605185/Y3ZyLmRrOi8veGJybHMvWC0xMDI4RTUzQS0yMDEzMDUyNF8wOTMyNDJfODAz.xml,"Glostrup, 2600",Park Alle 295,"2605, BrÃ¸ndby",Park Alle 295,Til kapitalejerne i GE Lighting A/S,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,1925-12-10,2013-05-20,support.dansk@gelighting.com,,www.gelighting.com,58150614.0,Bestyrelse og direktion har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar -  31. december 2012 for GE Lighting A/S.,Ãrsrapport,Christian Knappe,Bernadett  Hederics,GE Lighting A/S,"GE International Inc, USA, Filial i Danmark",,,,-784.0,,,"0161, Glostrup",2012-12-31,2012-01-01,,2013-05-20,KÃ¸benhavn,Administrerende direktÃ¸r/Bestyrelsesmedlem,urn:ofk:oid:19604081,indberetninger-20180424,2.5124266,58150614.0,,2018-04-01T19:58:39.743Z,2013-05-23T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-8.799,2013-05-23T22:00:00.000Z,,,,,,,,,,,,,,,,,,,
entity identifier,2012-01-01,2012-12-31,ID_15,http://regnskaber.virk.dk/41605185/Y3ZyLmRrOi8vcGRmcy81ODE1MDYxNDtBL1M3OTIwOzIwMTIwMTAxOzIwMTIxMjMxO1I7Ug.pdf,http://regnskaber.virk.dk/41605185/Y3ZyLmRrOi8veGJybHMvWC0xMDI4RTUzQS0yMDEzMDUyNF8wOTMyNDJfODAz.xml,"Glostrup, 2600",Park Alle 295,"2605, BrÃ¸ndby",Park Alle 295,Til kapitalejerne i GE Lighting A/S,PÃ¥tegning pÃ¥ Ã¥rsregnskabet,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,1925-12-10,2013-05-20,support.dansk@gelighting.com,,www.gelighting.com,58150614.0,Bestyrelse og direktion har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar -  31. december 2012 for GE Lighting A/S.,Ãrsrapport,Christian Knappe,Bernadett  Hederics,GE Lighting A/S,"GE International Inc, USA, Filial i Danmark",,,,-784.0,,,"0161, Glostrup",2012-12-31,2012-01-01,,2013-05-20,KÃ¸benhavn,Administrerende direktÃ¸r/Bestyrelsesmedlem,urn:ofk:oid:19604081,indberetninger-20180424,2.5124266,58150614.0,,2018-04-01T19:58:39.743Z,2013-05-23T22:00:00.000Z,regnskab,0.0,,2012-12-31,2012-01-01,13-8.799,2013-05-23T22:00:00.000Z,,,,,,,,,,,,,,,,,,,
