entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfAuditorCountry,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DepreciationOfPropertyPlantAndEquipment,DescriptionOfAuditor,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfExternalExpenses,EmailOfAuditor,Equity,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,LongtermLiabilitiesOtherThanProvisionsDueAfterFiveYearsAndMore,LongtermLiabilitiesOtherThanProvisionsDueInOneYear,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TelephoneNumberOfAuditor,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,GrossProfitLoss,InterestExpenseAssignedToGroupEnterprises,OtherFinanceExpenses,OtherFinanceIncome,OtherInterestExpenses,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermLiabilitiesOtherThanProvisions,LongtermMortgageDebt,NoncurrentAssets,OtherShorttermPayables,PropertyPlantAndEquipment,Provisions,ProvisionsForDeferredTax,RetainedEarnings,ShorttermDeferredIncome,ShorttermLiabilitiesOtherThanProvisions,ShorttermPartOfLongtermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayablesToGroupEnterprises,AccumulatedImpairmentLossesAndDepreciationOfPropertyPlantAndEquipment,PropertyPlantAndEquipmentGross
35521607,2015-07-01,2015-07-01,c720,,http://regnskaber.virk.dk/70612553/ZG9rdW1lbnRsYWdlcjovLzAzL2ZiLzYwLzk2LzhlLzk3NjUtNDNhNS04MjdlLTc3M2JmMGUxYTU3Zg.pdf,http://regnskaber.virk.dk/70612553/ZG9rdW1lbnRsYWdlcjovLzAzLzAwL2VlLzVmL2M3LzJmMGYtNDMzZC04MDQ2LTQ5ZDc0YTVlYjM1OQ.xml,Danmark,Viborg,8800.0,1.0,Agerlandsvej,Viborg,8800.0,6.0,Egelundvej,"8800, Viborg","Agerlandsvej, 1",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016/17 for opfyldt.,2017-09-29,2017-09-29,2013-10-28,2017-09-29,212058.0,statsautoriseret revisor,Eksterne omkostninger omfatter omkostninger til lokaler og administration.,uw@uw.dk,80000.0,32093272.0,35521607.0,32093272.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017 for Ejendomsselskabet VR - 1313 ApS.,Ãrsrapport,7623000.0,938000.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Henrik Lundsgaard,Tina HÃ¸jvang,Lars HÃ¸jvang,"Ullits & Winther, Statsautoriseret Revisionspartnerselskab",Ejendomsselskabet VR - 1313 ApS,"Ullits & Winther, Statsautoriseret Revisionspartnerselskab",Viborg,2015-07-01,2016-06-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Viborg Kommune,2017-06-30,2016-07-01,2017-09-29,Viborg,86629222.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24562107,indberetninger-20180424,2.5116906,35521607.0,,2018-03-27T10:38:09.065Z,2017-10-04T11:17:51.878Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-AY-22-TJ,2017-10-04T11:17:52.040Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35521607,2015-07-01,2015-07-01,c741,,http://regnskaber.virk.dk/70612553/ZG9rdW1lbnRsYWdlcjovLzAzL2ZiLzYwLzk2LzhlLzk3NjUtNDNhNS04MjdlLTc3M2JmMGUxYTU3Zg.pdf,http://regnskaber.virk.dk/70612553/ZG9rdW1lbnRsYWdlcjovLzAzLzAwL2VlLzVmL2M3LzJmMGYtNDMzZC04MDQ2LTQ5ZDc0YTVlYjM1OQ.xml,Danmark,Viborg,8800.0,1.0,Agerlandsvej,Viborg,8800.0,6.0,Egelundvej,"8800, Viborg","Agerlandsvej, 1",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016/17 for opfyldt.,2017-09-29,2017-09-29,2013-10-28,2017-09-29,212058.0,statsautoriseret revisor,Eksterne omkostninger omfatter omkostninger til lokaler og administration.,uw@uw.dk,2713498.0,32093272.0,35521607.0,32093272.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017 for Ejendomsselskabet VR - 1313 ApS.,Ãrsrapport,7623000.0,938000.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Henrik Lundsgaard,Tina HÃ¸jvang,Lars HÃ¸jvang,"Ullits & Winther, Statsautoriseret Revisionspartnerselskab",Ejendomsselskabet VR - 1313 ApS,"Ullits & Winther, Statsautoriseret Revisionspartnerselskab",Viborg,2015-07-01,2016-06-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Viborg Kommune,2017-06-30,2016-07-01,2017-09-29,Viborg,86629222.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24562107,indberetninger-20180424,2.5116906,35521607.0,,2018-03-27T10:38:09.065Z,2017-10-04T11:17:51.878Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-AY-22-TJ,2017-10-04T11:17:52.040Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35521607,2015-07-01,2016-06-30,c123,,http://regnskaber.virk.dk/70612553/ZG9rdW1lbnRsYWdlcjovLzAzL2ZiLzYwLzk2LzhlLzk3NjUtNDNhNS04MjdlLTc3M2JmMGUxYTU3Zg.pdf,http://regnskaber.virk.dk/70612553/ZG9rdW1lbnRsYWdlcjovLzAzLzAwL2VlLzVmL2M3LzJmMGYtNDMzZC04MDQ2LTQ5ZDc0YTVlYjM1OQ.xml,Danmark,Viborg,8800.0,1.0,Agerlandsvej,Viborg,8800.0,6.0,Egelundvej,"8800, Viborg","Agerlandsvej, 1",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016/17 for opfyldt.,2017-09-29,2017-09-29,2013-10-28,2017-09-29,212058.0,statsautoriseret revisor,Eksterne omkostninger omfatter omkostninger til lokaler og administration.,uw@uw.dk,,32093272.0,35521607.0,32093272.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017 for Ejendomsselskabet VR - 1313 ApS.,Ãrsrapport,7623000.0,938000.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Henrik Lundsgaard,Tina HÃ¸jvang,Lars HÃ¸jvang,"Ullits & Winther, Statsautoriseret Revisionspartnerselskab",Ejendomsselskabet VR - 1313 ApS,"Ullits & Winther, Statsautoriseret Revisionspartnerselskab",Viborg,2015-07-01,2016-06-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Viborg Kommune,2017-06-30,2016-07-01,2017-09-29,Viborg,86629222.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24562107,indberetninger-20180424,2.5116906,35521607.0,,2018-03-27T10:38:09.065Z,2017-10-04T11:17:51.878Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-AY-22-TJ,2017-10-04T11:17:52.040Z,649082.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35521607,2015-07-01,2016-06-30,c3,,http://regnskaber.virk.dk/70612553/ZG9rdW1lbnRsYWdlcjovLzAzL2ZiLzYwLzk2LzhlLzk3NjUtNDNhNS04MjdlLTc3M2JmMGUxYTU3Zg.pdf,http://regnskaber.virk.dk/70612553/ZG9rdW1lbnRsYWdlcjovLzAzLzAwL2VlLzVmL2M3LzJmMGYtNDMzZC04MDQ2LTQ5ZDc0YTVlYjM1OQ.xml,Danmark,Viborg,8800.0,1.0,Agerlandsvej,Viborg,8800.0,6.0,Egelundvej,"8800, Viborg","Agerlandsvej, 1",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016/17 for opfyldt.,2017-09-29,2017-09-29,2013-10-28,2017-09-29,212058.0,statsautoriseret revisor,Eksterne omkostninger omfatter omkostninger til lokaler og administration.,uw@uw.dk,,32093272.0,35521607.0,32093272.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017 for Ejendomsselskabet VR - 1313 ApS.,Ãrsrapport,7623000.0,938000.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Henrik Lundsgaard,Tina HÃ¸jvang,Lars HÃ¸jvang,"Ullits & Winther, Statsautoriseret Revisionspartnerselskab",Ejendomsselskabet VR - 1313 ApS,"Ullits & Winther, Statsautoriseret Revisionspartnerselskab",Viborg,2015-07-01,2016-06-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Viborg Kommune,2017-06-30,2016-07-01,2017-09-29,Viborg,86629222.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24562107,indberetninger-20180424,2.5116906,35521607.0,,2018-03-27T10:38:09.065Z,2017-10-04T11:17:51.878Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-AY-22-TJ,2017-10-04T11:17:52.040Z,649082.0,212058.0,1423478.0,13577.0,435158.0,55668.0,421581.0,831930.0,1211420.0,182848.0,,,,,,,,,,,,,,,,,,,,,,,,
35521607,2015-07-01,2016-06-30,c742,,http://regnskaber.virk.dk/70612553/ZG9rdW1lbnRsYWdlcjovLzAzL2ZiLzYwLzk2LzhlLzk3NjUtNDNhNS04MjdlLTc3M2JmMGUxYTU3Zg.pdf,http://regnskaber.virk.dk/70612553/ZG9rdW1lbnRsYWdlcjovLzAzLzAwL2VlLzVmL2M3LzJmMGYtNDMzZC04MDQ2LTQ5ZDc0YTVlYjM1OQ.xml,Danmark,Viborg,8800.0,1.0,Agerlandsvej,Viborg,8800.0,6.0,Egelundvej,"8800, Viborg","Agerlandsvej, 1",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016/17 for opfyldt.,2017-09-29,2017-09-29,2013-10-28,2017-09-29,212058.0,statsautoriseret revisor,Eksterne omkostninger omfatter omkostninger til lokaler og administration.,uw@uw.dk,,32093272.0,35521607.0,32093272.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017 for Ejendomsselskabet VR - 1313 ApS.,Ãrsrapport,7623000.0,938000.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Henrik Lundsgaard,Tina HÃ¸jvang,Lars HÃ¸jvang,"Ullits & Winther, Statsautoriseret Revisionspartnerselskab",Ejendomsselskabet VR - 1313 ApS,"Ullits & Winther, Statsautoriseret Revisionspartnerselskab",Viborg,2015-07-01,2016-06-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Viborg Kommune,2017-06-30,2016-07-01,2017-09-29,Viborg,86629222.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24562107,indberetninger-20180424,2.5116906,35521607.0,,2018-03-27T10:38:09.065Z,2017-10-04T11:17:51.878Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-AY-22-TJ,2017-10-04T11:17:52.040Z,649082.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35521607,2016-06-30,2016-06-30,c4,,http://regnskaber.virk.dk/70612553/ZG9rdW1lbnRsYWdlcjovLzAzL2ZiLzYwLzk2LzhlLzk3NjUtNDNhNS04MjdlLTc3M2JmMGUxYTU3Zg.pdf,http://regnskaber.virk.dk/70612553/ZG9rdW1lbnRsYWdlcjovLzAzLzAwL2VlLzVmL2M3LzJmMGYtNDMzZC04MDQ2LTQ5ZDc0YTVlYjM1OQ.xml,Danmark,Viborg,8800.0,1.0,Agerlandsvej,Viborg,8800.0,6.0,Egelundvej,"8800, Viborg","Agerlandsvej, 1",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016/17 for opfyldt.,2017-09-29,2017-09-29,2013-10-28,2017-09-29,212058.0,statsautoriseret revisor,Eksterne omkostninger omfatter omkostninger til lokaler og administration.,uw@uw.dk,3442580.0,32093272.0,35521607.0,32093272.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017 for Ejendomsselskabet VR - 1313 ApS.,Ãrsrapport,7623000.0,938000.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Henrik Lundsgaard,Tina HÃ¸jvang,Lars HÃ¸jvang,"Ullits & Winther, Statsautoriseret Revisionspartnerselskab",Ejendomsselskabet VR - 1313 ApS,"Ullits & Winther, Statsautoriseret Revisionspartnerselskab",Viborg,2015-07-01,2016-06-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Viborg Kommune,2017-06-30,2016-07-01,2017-09-29,Viborg,86629222.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24562107,indberetninger-20180424,2.5116906,35521607.0,,2018-03-27T10:38:09.065Z,2017-10-04T11:17:51.878Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-AY-22-TJ,2017-10-04T11:17:52.040Z,,,,,,,,,,,17521411.0,4449.0,80000.0,358536.0,17162875.0,17521411.0,13960831.0,12331051.0,12331051.0,17162875.0,196635.0,17162875.0,118000.0,118000.0,3362580.0,20250.0,1629780.0,934000.0,345047.0,354087.0,354087.0,133848.0,,
35521607,2016-06-30,2016-06-30,c722,,http://regnskaber.virk.dk/70612553/ZG9rdW1lbnRsYWdlcjovLzAzL2ZiLzYwLzk2LzhlLzk3NjUtNDNhNS04MjdlLTc3M2JmMGUxYTU3Zg.pdf,http://regnskaber.virk.dk/70612553/ZG9rdW1lbnRsYWdlcjovLzAzLzAwL2VlLzVmL2M3LzJmMGYtNDMzZC04MDQ2LTQ5ZDc0YTVlYjM1OQ.xml,Danmark,Viborg,8800.0,1.0,Agerlandsvej,Viborg,8800.0,6.0,Egelundvej,"8800, Viborg","Agerlandsvej, 1",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016/17 for opfyldt.,2017-09-29,2017-09-29,2013-10-28,2017-09-29,212058.0,statsautoriseret revisor,Eksterne omkostninger omfatter omkostninger til lokaler og administration.,uw@uw.dk,80000.0,32093272.0,35521607.0,32093272.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017 for Ejendomsselskabet VR - 1313 ApS.,Ãrsrapport,7623000.0,938000.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Henrik Lundsgaard,Tina HÃ¸jvang,Lars HÃ¸jvang,"Ullits & Winther, Statsautoriseret Revisionspartnerselskab",Ejendomsselskabet VR - 1313 ApS,"Ullits & Winther, Statsautoriseret Revisionspartnerselskab",Viborg,2015-07-01,2016-06-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Viborg Kommune,2017-06-30,2016-07-01,2017-09-29,Viborg,86629222.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24562107,indberetninger-20180424,2.5116906,35521607.0,,2018-03-27T10:38:09.065Z,2017-10-04T11:17:51.878Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-AY-22-TJ,2017-10-04T11:17:52.040Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35521607,2016-06-30,2016-06-30,c743,,http://regnskaber.virk.dk/70612553/ZG9rdW1lbnRsYWdlcjovLzAzL2ZiLzYwLzk2LzhlLzk3NjUtNDNhNS04MjdlLTc3M2JmMGUxYTU3Zg.pdf,http://regnskaber.virk.dk/70612553/ZG9rdW1lbnRsYWdlcjovLzAzLzAwL2VlLzVmL2M3LzJmMGYtNDMzZC04MDQ2LTQ5ZDc0YTVlYjM1OQ.xml,Danmark,Viborg,8800.0,1.0,Agerlandsvej,Viborg,8800.0,6.0,Egelundvej,"8800, Viborg","Agerlandsvej, 1",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016/17 for opfyldt.,2017-09-29,2017-09-29,2013-10-28,2017-09-29,212058.0,statsautoriseret revisor,Eksterne omkostninger omfatter omkostninger til lokaler og administration.,uw@uw.dk,3362580.0,32093272.0,35521607.0,32093272.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017 for Ejendomsselskabet VR - 1313 ApS.,Ãrsrapport,7623000.0,938000.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Henrik Lundsgaard,Tina HÃ¸jvang,Lars HÃ¸jvang,"Ullits & Winther, Statsautoriseret Revisionspartnerselskab",Ejendomsselskabet VR - 1313 ApS,"Ullits & Winther, Statsautoriseret Revisionspartnerselskab",Viborg,2015-07-01,2016-06-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Viborg Kommune,2017-06-30,2016-07-01,2017-09-29,Viborg,86629222.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24562107,indberetninger-20180424,2.5116906,35521607.0,,2018-03-27T10:38:09.065Z,2017-10-04T11:17:51.878Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-AY-22-TJ,2017-10-04T11:17:52.040Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35521607,2016-07-01,2016-07-01,c145,,http://regnskaber.virk.dk/70612553/ZG9rdW1lbnRsYWdlcjovLzAzL2ZiLzYwLzk2LzhlLzk3NjUtNDNhNS04MjdlLTc3M2JmMGUxYTU3Zg.pdf,http://regnskaber.virk.dk/70612553/ZG9rdW1lbnRsYWdlcjovLzAzLzAwL2VlLzVmL2M3LzJmMGYtNDMzZC04MDQ2LTQ5ZDc0YTVlYjM1OQ.xml,Danmark,Viborg,8800.0,1.0,Agerlandsvej,Viborg,8800.0,6.0,Egelundvej,"8800, Viborg","Agerlandsvej, 1",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016/17 for opfyldt.,2017-09-29,2017-09-29,2013-10-28,2017-09-29,212058.0,statsautoriseret revisor,Eksterne omkostninger omfatter omkostninger til lokaler og administration.,uw@uw.dk,,32093272.0,35521607.0,32093272.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017 for Ejendomsselskabet VR - 1313 ApS.,Ãrsrapport,7623000.0,938000.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Henrik Lundsgaard,Tina HÃ¸jvang,Lars HÃ¸jvang,"Ullits & Winther, Statsautoriseret Revisionspartnerselskab",Ejendomsselskabet VR - 1313 ApS,"Ullits & Winther, Statsautoriseret Revisionspartnerselskab",Viborg,2015-07-01,2016-06-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Viborg Kommune,2017-06-30,2016-07-01,2017-09-29,Viborg,86629222.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24562107,indberetninger-20180424,2.5116906,35521607.0,,2018-03-27T10:38:09.065Z,2017-10-04T11:17:51.878Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-AY-22-TJ,2017-10-04T11:17:52.040Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,565355.0,17728230.0
35521607,2016-07-01,2016-07-01,c181,,http://regnskaber.virk.dk/70612553/ZG9rdW1lbnRsYWdlcjovLzAzL2ZiLzYwLzk2LzhlLzk3NjUtNDNhNS04MjdlLTc3M2JmMGUxYTU3Zg.pdf,http://regnskaber.virk.dk/70612553/ZG9rdW1lbnRsYWdlcjovLzAzLzAwL2VlLzVmL2M3LzJmMGYtNDMzZC04MDQ2LTQ5ZDc0YTVlYjM1OQ.xml,Danmark,Viborg,8800.0,1.0,Agerlandsvej,Viborg,8800.0,6.0,Egelundvej,"8800, Viborg","Agerlandsvej, 1",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016/17 for opfyldt.,2017-09-29,2017-09-29,2013-10-28,2017-09-29,212058.0,statsautoriseret revisor,Eksterne omkostninger omfatter omkostninger til lokaler og administration.,uw@uw.dk,80000.0,32093272.0,35521607.0,32093272.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017 for Ejendomsselskabet VR - 1313 ApS.,Ãrsrapport,7623000.0,938000.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Henrik Lundsgaard,Tina HÃ¸jvang,Lars HÃ¸jvang,"Ullits & Winther, Statsautoriseret Revisionspartnerselskab",Ejendomsselskabet VR - 1313 ApS,"Ullits & Winther, Statsautoriseret Revisionspartnerselskab",Viborg,2015-07-01,2016-06-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Viborg Kommune,2017-06-30,2016-07-01,2017-09-29,Viborg,86629222.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24562107,indberetninger-20180424,2.5116906,35521607.0,,2018-03-27T10:38:09.065Z,2017-10-04T11:17:51.878Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-AY-22-TJ,2017-10-04T11:17:52.040Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
